cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,8.911571798299255,8.711959047439732,8.084341385112504,7.280933583922734,6.53557564624549,6.003855807075931,5.733048384553502,5.662903019093721,5.654568042466536,5.5357764643061875,5.150838357021195,4.401263553565237,3.2673401471114225,1.804456742141742,0.11796122482292387,-1.6733753483106333,-3.470684551304928,-5.213091102104541,-6.8754456836399855,-8.450336815258222,-9.925469597213622,-11.26916160794494,-12.43155484793192,-13.361157099134967,-14.027703983895933,-14.439838963303364,-14.647844715826219,-14.730253929413946,-14.769530511612395,-14.826931319850484,-14.924799006563378,-15.041206253678233,-15.116388090200038,-15.068222497678235,-14.812871724091831,-14.286085059300596,-13.460377637478,-12.353231751387836,-11.023962543447823,-9.559380608465286,-8.053395504825293,-6.5865745709635775,-5.21227871608739,-3.95223402757924,-2.8016510161152954,-1.7396777577946618,-0.740752822377454,0.2170535778118872,1.1478201611962773,2.0569305826187128,2.9418305184621296,3.793264410593023,4.596912903015603,5.3358802578320415,5.994439777102768,6.56241901740636,7.038962694557344,7.433882899620861,7.765759041211402,8.05684930426421,8.32655398591311,8.585639916172894,8.833442363191358,9.058735327765138,9.24378800898934,9.369854256692422,9.422171437884641,9.392861794655163,9.281094555711121,9.0907992114292,8.827146185031664,8.493484521414125,8.090185943624363,7.615885536513123,7.070447279542864,6.458170025133427,5.790025032596964,5.084477497831318,4.367324474283682,3.6710295460287714,3.033098322466365,2.492387545807291,2.0821179456469174,1.820295562517499,1.7002519331366903,1.6863767733988486,1.7186614949522427,1.7272064062562706,1.6530754404024117,1.4695024431597052,1.1967644983806591,0.9069460526657988,0.7175202486331598,0.7740435047145695,1.2236734150712851,2.1809324729983657,3.6912193710297054,5.700349454731851,8.044336388372644,10.46792375540318,12.675078579704223
7kg_10bpm,3CA,5.882299137270297,6.601066734268331,7.268894584776265,7.782428657976184,8.093076502064807,8.198455904402582,8.123671454041475,7.8991324211781855,7.542373663546754,7.048396790163935,6.389902197549596,5.525955978016799,4.41639099048986,3.0380422856871205,1.3984822301870765,-0.45573039702456053,-2.4399050492379617,-4.440704093296953,-6.33359645219787,-8.004493771687708,-9.371094338467238,-10.399422091923093,-11.111414458687936,-11.580759466147034,-11.91760613189563,-12.244222037442018,-12.667683763368832,-13.256465692744737,-14.026207295191604,-14.939335330157837,-15.9164537344347,-16.85630192207875,-17.65719210582498,-18.23401446633444,-18.527295606005556,-18.504283742725292,-18.154620197724473,-17.484916461167995,-16.51487676761632,-15.276541522370525,-13.815098454235972,-12.189299228416747,-10.468755489893734,-8.727530943932928,-7.034963725192323,-5.446279115851988,-3.9959008391922097,-2.6952449567372243,-1.5350836248812587,-0.49157276834244723,0.4662735865600172,1.3692062676633632,2.24191799832331,3.0995624427591717,3.946548593331693,4.777609284993077,5.580296125206003,6.338316252038316,7.034895703725835,7.65561443221379,8.190391168466215,8.634553452352874,8.988945044737934,9.259245359506846,9.45441341178734,9.584529687218666,9.658363061286341,9.68132947313381,9.654632434175381,9.575937218522904,9.44145295402061,9.248618969101903,8.998347142261059,8.69595852779827,8.35056100480213,7.973141868852325,7.574264094577479,7.162310662102095,6.742978430444155,6.320283490458797,5.89862257218627,5.485025311746846,5.090584274225111,4.730168959227233,4.420063095078613,4.173805213776176,3.9971965500873194,3.883835803846879,3.813051200742204,3.7512921698884374,3.658136549126089,3.496505510160738,3.2458498169734096,2.916285603798679,2.5597724960327857,2.274934855937781,2.2012356115693823,2.5000713159159527,3.323415899745823,4.774850620701153,6.869817628319384
7kg_10bpm,5CA,6.178338639786773,4.02117573952692,3.0751107204053816,3.184198012804584,3.975930421698461,5.0085031311191965,5.89650743579043,6.383415206079287,6.354717617742805,5.808353826097811,4.808679259649737,3.4471532980614548,1.821065661173777,0.028201376582211595,-1.8321332149227922,-3.6607898074411516,-5.3672002948817905,-6.882879090186404,-8.174511954886077,-9.249702445409953,-10.149961780306855,-10.930762800531443,-11.635856400672786,-12.277175742977786,-12.829828677622904,-13.244927935393795,-13.474712721892272,-13.498774305526073,-13.339342718403007,-13.05731743502726,-12.72878232958676,-12.41177999138702,-12.11881318383918,-11.808458698011108,-11.400478823843574,-10.807305771903685,-9.9675363569665,-8.868032521933753,-7.547949997361612,-6.086562778279384,-4.582995177594442,-3.1362946036867503,-1.8301208611766495,-0.7219576943840716,0.16449592885540537,0.8433887500418891,1.3648128039235197,1.8046984560400772,2.246997133913281,2.762572520031333,3.391440216917174,4.134177902945642,4.954929288832436,5.794062103198608,6.585259081175035,7.271370618311187,7.814771912081116,8.20015794440992,8.43018276568196,8.516778167165675,8.47265220777997,8.307509594252508,8.031003095752123,7.660014085559118,7.22455576446069,6.766781247093571,6.331462060393263,5.951870478668469,5.63837103103002,5.3760174991374035,5.132978758949025,4.876126844491262,4.5864786656601195,4.267418493940278,3.94200598283721,3.64078190875542,3.3862728607889974,3.181920242072959,3.0104694978004582,2.8418369139775805,2.645851377699596,2.403461666164404,2.111777472253131,1.781855755007965,1.431669114621306,1.0788706522510076,0.73771374686659,0.42185097006523126,0.15086233354562467,-0.04520944899202623,-0.12963143982437436,-0.07286059881942317,0.13000489041603713,0.4522019015720385,0.8522701451190011,1.315689750842246,1.9023051832357634,2.766099115099612,4.11680989119636,6.120762384949605,8.778438158693806
7kg_10bpm,6CA,7.971360697423794,7.516869079888801,7.17541699693025,6.973466003707992,6.908522220201246,6.95160207044653,7.0479603553010275,7.11834051404455,7.064928616309868,6.7847085815582995,6.18951362132721,5.228100917445327,3.902541670357105,2.2726858534499663,0.44474202744232394,-1.4527940184337205,-3.2989955108831888,-5.006310306773314,-6.534740740022267,-7.890942886642361,-9.113592159273574,-10.251215433834648,-11.3399022710665,-12.388866795842663,-13.377875257535681,-14.26679650098896,-15.012074300413522,-15.583225742064135,-15.972585354989832,-16.195227658565603,-16.279869014706115,-16.25486184433015,-16.134803277508105,-15.912420796167162,-15.558825475004578,-15.032051670053077,-14.291470098259646,-13.3126233965496,-12.097246492723318,-10.674726921645725,-9.095980503787974,-7.42373425850534,-5.72404019754631,-4.061751268987944,-2.499121481792696,-1.0944602052150856,0.10236497159373867,1.0586430634329027,1.7694224131827825,2.265647517068044,2.6142768773791323,2.9078430950826135,3.2446936538702253,3.70553466671201,4.334293467466623,5.129491828494687,6.048787587266964,7.022955050419721,7.973482698221095,8.82728675518021,9.525597157334987,10.027317305873199,10.309307200890766,10.365947942827868,10.208437597011116,9.863115890135768,9.36752222108652,8.76387175615713,8.091599773465024,7.381599989791805,6.654909401247786,5.926510439234986,5.212731955240609,4.538419809287571,3.9399901929676804,3.461585457126535,3.1446543639026285,3.01374012202079,3.063602257722348,3.2526375896071738,3.5060973182418778,3.7298204099808676,3.831011994392003,3.7408812563112117,3.4325086221193466,2.930043827354625,2.3067947761884393,1.6728377551359632,1.1537962603339225,0.8631773672172022,0.873312504502345,1.1914848034271526,1.751259370175678,2.4257363008202515,3.065425025845119,3.5530134968995664,3.859000981526492,4.077065037372849,4.420156905751754,5.170567866570116,6.58933796017182
7kg_10bpm,7CA,4.03808117777395,2.407740877422936,2.2752828842551422,3.337210272030466,5.044973624041216,6.802828937504899,8.139522304293509,8.804313591807162,8.771252471212716,8.171382200560837,7.193947504912231,6.000999269485336,4.685356768590949,3.2763669841810152,1.7760644096223719,0.19805114496494577,-1.4147800802394581,-3.0010957196284402,-4.509311014081098,-5.922085640724678,-7.259716650239192,-8.560118163217643,-9.848567330458572,-11.115839756281217,-12.317088900650411,-13.390155983027777,-14.280372378827213,-14.957298813812546,-15.416096540171615,-15.666657813780967,-15.72013610901345,-15.581188364321928,-15.248518600107332,-14.721027858719488,-14.004916083217054,-13.118377935791113,-12.092666907384928,-10.969673509520662,-9.796635205797312,-8.61880739449372,-7.471498597368061,-6.373907656547383,-5.32776560861333,-4.322409849790318,-3.344842767731735,-2.3902137138118604,-1.466997727737289,-0.5933939896637223,0.21368724175076906,0.951228251778459,1.636915007922678,2.305616815114649,2.997059982329363,3.740924938421756,4.546220852954393,5.3985055956624715,6.263768509423712,7.095319968832387,7.840773823387356,8.448564994133621,8.875016100038833,9.092330439029368,9.095744729684496,8.906492833699529,8.567967409907624,8.13569143474148,7.664861663312457,7.200357094088264,6.772463726146767,6.3979852268304915,6.083499655317127,5.827078324511965,5.616785601663297,5.42753928412926,5.220324597266455,4.947871442273279,4.568402024815712,4.064360773372729,3.4585274575215554,2.8186012633820914,2.2445702829848346,1.8404770034206193,1.680420114108621,1.7819884366776062,2.097302051125292,2.5243241576540734,2.932751506423358,3.1946901825454006,3.2120111791392034,2.936408370737777,2.3812982287220112,1.6255005472725867,0.8075901946162586,0.10968205177353271,-0.2686481716196172,-0.1423680720417992,0.6263899799492938,2.0993560836705973,4.239397187437605,6.897162967248398,9.813542130977844
7kg_10bpm,8CA,-1.079826782970064,-1.5321538834650807,-0.7771052645977204,0.8184829541822172,2.774175047839659,4.648414151008339,6.160800249095024,7.237015841951792,7.96095367375662,8.464919266290108,8.818802242532644,8.974600991895237,8.789617355473956,8.1103090371704,6.869089610636364,5.140118946703083,3.1207431001437675,1.0465400165100005,-0.9110367986226825,-2.7039458188020484,-4.392869986826092,-6.075812837628135,-7.8078796834293085,-9.556690895248144,-11.21179153547332,-12.63831210713832,-13.745772093778692,-14.535045152704075,-15.094800128425184,-15.545725801845997,-15.964122719447628,-16.3317774600464,-16.54260222831279,-16.459750275919298,-15.986325794630671,-15.107921192760491,-13.886684813526228,-12.41891166009509,-10.789351532921035,-9.051180319291555,-7.2364616617424655,-5.379840660840602,-3.5348428665660396,-1.774149761467187,-0.17772979521467996,1.1835225154037867,2.263886774899328,3.0569161336896147,3.6052171959319956,4.000196558726489,4.364178891949601,4.81258254497934,5.407383813197246,6.126090290302915,6.868962677761082,7.506694816367557,7.9440089737116555,8.162288147576911,8.216587564432,8.19063944870917,8.138928722420209,8.051881386543222,7.864738870246217,7.5026917674591775,6.932637768424502,6.1899121720862365,5.3662880642086295,4.569833165967327,3.8821105266605844,3.3361454135587922,2.9230770227872918,2.6174216027982187,2.401455729464283,2.2728548636176966,2.232597373260095,2.2639213241688596,2.3199315428317253,2.3329623539212383,2.2443910882550004,2.037698458648139,1.7518531338230865,1.4627441442020441,1.2421827365456588,1.1219387896042143,1.088742526883848,1.1125329445248322,1.1811167675687053,1.3052636455103963,1.481710548956807,1.642282343828685,1.6408088513742687,1.3109580656866784,0.5763987772997686,-0.45217351706900655,-1.4635699834582467,-2.0418116749706097,-1.8286437638944297,-0.6642339584517155,1.3716970431033375,4.030682850938248,7.017637918396699
7kg_10bpm,9CA,5.724000414859237,5.2367700617635675,5.474921953881953,6.43368310934398,7.757761561718835,8.976221491313497,9.7157824660878,9.791865601280769,9.181599865586374,7.95022034456099,6.20010272704016,4.062375596418313,1.7039973980403342,-0.6851829534888235,-2.933083863802328,-4.931705528663476,-6.661988034654155,-8.184712619065927,-9.600177424645077,-10.989064249908711,-12.356950698825951,-13.612670742407131,-14.60099094975346,-15.179224273759225,-15.29574189309649,-15.021284904674962,-14.509504760599832,-13.908317878493051,-13.279111740962305,-12.57782924582602,-11.708319359461528,-10.606536806453567,-9.295656324015965,-7.879434746371448,-6.488025337384896,-5.2185779307881575,-4.105195670739577,-3.1245558000733404,-2.2228667100775827,-1.346600725066101,-0.46432776773856144,0.42753166295363576,1.3153014312130205,2.1869487290883742,3.0455761321298693,3.9052783191367926,4.767857397963287,5.595319387833613,6.303208921192345,6.790446285337262,6.994333581034583,6.9359130581282304,6.722156042227922,6.497761704733389,6.371704568827178,6.360542771124086,6.381970642730114,6.303496485697358,6.019344809846086,5.511904918438226,4.862962420773033,4.210181894911329,3.6767634757198184,3.3161157610550362,3.101955493189251,2.9658809858148385,2.8543865147405145,2.763256589335959,2.7227836440942084,2.74667674551635,2.789998062444911,2.7559308946476992,2.5499600976256223,2.1403713878785693,1.581196707112207,0.986419676198024,0.4787679761030134,0.14527753550328582,0.017348647183746426,0.07530168007038324,0.26851034830779885,0.5395455361360547,0.8407065714081969,1.1364601594275399,1.395421702951008,1.5826381447300861,1.6613306055363242,1.6059782851433455,1.421500575892055,1.1581673707431377,0.9086356601581294,0.7766904222426467,0.824821968587709,1.0353116050224038,1.3307520553686583,1.6671932670138954,2.146728413271619,3.052579618018388,4.7420088382452406,7.429160602642406,10.978918257840675
7kg_10bpm,10CA,3.403564354321429,2.6423719657786613,3.175522186563216,4.5695451043144,6.2478521299259056,7.704599730288704,8.63546985765139,8.957939971379204,8.744424956652994,8.120448869686589,7.180930515704447,5.956684494447463,4.432878705653448,2.596396357382809,0.48043022315550515,-1.817321690236172,-4.149534877440374,-6.357584658517011,-8.31482835133056,-9.956800591341759,-11.287335138591194,-12.35925325658113,-13.23785843902899,-13.963123340069203,-14.528571976211312,-14.887882524918146,-14.98583511339567,-14.79654864248055,-14.347732095716607,-13.717446953460499,-13.004972243495322,-12.291604600263428,-11.612688519756844,-10.954985176008234,-10.277533164194491,-9.540047137881984,-8.720825164428632,-7.817136522449627,-6.8351802334252,-5.782018274056543,-4.6658443484878065,-3.5014499706480486,-2.3137699014007884,-1.1354997799592308,-5.715351269296176e-05,1.0660867973629298,2.0482481464489424,2.94433778792568,3.7624770314209264,4.5168835028956975,5.222738434413306,5.890171647796217,6.5185939248528975,7.094462363489055,7.595126110510243,7.997275906446513,8.283974777498624,8.44467845929249,8.469289424416994,8.3441629284418,8.05719564572683,7.610049884678185,7.027065404898304,6.351798828961507,5.632768073227891,4.909709253217364,4.2110840584578595,3.563062313234361,2.999472382182095,2.561153538936771,2.2822717653085984,2.1716742028244176,2.2006043218983224,2.3035868259481647,2.3930538051077317,2.384717130519445,2.2281795921857697,1.9327073427754429,1.5738382494645058,1.2699655055042012,1.1325642508048952,1.2115784886806105,1.4649513398432417,1.7711258160075225,1.9809902957908332,1.9846184982650177,1.7604391277520497,1.384132891817514,0.9953953919147683,0.7403322858594049,0.7154601713461222,0.9347533624086009,1.3300732085107851,1.784129942048117,2.186233053793734,2.494027181217388,2.7790648501623325,3.232415974985871,4.113117346269503,5.642082551266062,7.875082523547391
7kg_10bpm,11CA,6.349643476503778,6.607840675406485,7.037113510993987,7.537097781108852,7.991162550946374,8.293608369343225,8.369268549842127,8.18213104482352,7.732235100354357,7.043407428546508,6.147330407136761,5.070515548474019,3.8286073021446017,2.428565418469886,0.8764635233281801,-0.8124172120125814,-2.6042338179442837,-4.440624805583704,-6.239040479515515,-7.9020132305910185,-9.335591504429217,-10.47303004263025,-11.295389446714902,-11.839107189059725,-12.185572427281741,-12.435896534836633,-12.680415085826974,-12.973874305576327,-13.323094618302354,-13.68855962365405,-13.998086867106348,-14.168525937399048,-14.129478359285468,-13.842571796743217,-13.310775384763396,-12.575031528917485,-11.700036391339513,-10.75450818871423,-9.792827788719741,-8.84404951595733,-7.910764656824938,-6.976508328229144,-6.018014780237665,-5.017805785342929,-3.9734078667506134,-2.901225352731888,-1.8345562274753524,-0.816355081673395,0.11156338751183148,0.9202863319398452,1.603108894385376,2.1789756810521954,2.6885005709212795,3.183464899198081,3.712726435180036,4.308595898095983,4.977353093788432,5.696195437138598,6.417418752305396,7.078955115148788,7.618565768311386,7.988083012045741,8.16403206401784,8.152002323201254,7.984476391881538,7.713677793556899,7.401521525114877,7.108149979327514,6.87980056532845,6.736980857674199,6.6655269083302136,6.614889507304876,6.507436251572611,6.259471094922569,5.809732852596533,5.146070902761606,4.319705204359963,3.4399443861178836,2.6486167103416287,2.081168973954848,1.8270300782446245,1.902058890648521,2.242165421026177,2.720404518955617,3.181562718179424,3.483659566820603,3.5346188090636437,3.313907565087323,2.8737991051692258,2.320594254055381,1.7817398911957063,1.3698912094319793,1.1564736630247072,1.1631718840313816,1.372307079159231,1.7488288570920583,2.2622994121724402,2.9000267396053663,3.668620424218706,4.586564632656086,5.67185232972978
7kg_10bpm,12CA,6.747682353251341,8.186586522844738,9.454309119044892,10.307391343915478,10.647004009843242,10.523047508437985,10.087223495949953,9.517417549168432,8.944257347584717,8.406285976135615,7.848058507905716,7.15549855658029,6.208900633760275,4.930500307182848,3.309531471318567,1.4011735675686925,-0.694079151153168,-2.859397982363714,-4.987438896312028,-6.995789150329431,-8.829746150505223,-10.455229947715463,-11.848742466926348,-12.991518735677245,-13.872118386617773,-14.496226907435961,-14.897494840248546,-15.141217755015756,-15.314396655047757,-15.502226386836572,-15.758081294358218,-16.079379770541873,-16.401706592737995,-16.615966116390286,-16.603755375868253,-16.27726575457272,-15.607309562711215,-14.629135339412736,-13.424982948924988,-12.092363641702251,-10.71213741248422,-9.328428164654772,-7.94711538046412,-6.551115623637137,-5.123825231718408,-3.6696471129691974,-2.2225675995107514,-0.8405636654217586,0.41027077552411734,1.474879886347316,2.3247847260988705,2.9660519552815625,3.438315440613254,3.805350621719508,4.13975578657266,4.505453825324827,4.942815721516583,5.461060750713886,6.03995563312961,6.639647729584245,7.2144915842304425,7.725380316163402,8.146745830876384,8.467095134168073,8.6848673252584,8.803070208797664,8.8255592884253,8.756011008382625,8.598542478381239,8.358085044048961,8.039458904582396,7.645933237783934,7.179422185980243,6.644062937089648,6.052688383181872,5.432697149260128,4.826644826344238,4.2844050182512845,3.847938151516908,3.5344918847491242,3.325909087809797,3.170482620207564,2.9987233490390044,2.7480541064506006,2.3876092411681826,1.9332011779937586,1.4464611811730954,1.0184920728059765,0.7438072253957797,0.693904860878936,0.8985963428155974,1.3391474227895743,1.9537688497955246,2.653351395269433,3.3451154813724613,3.96151635800938,4.488517651735304,4.983852348166284,5.574637277152331,6.426917270248581,7.690219065987268
