cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,9.810139563492978,8.809992459841006,6.957693135175575,4.646214073578629,2.282724485737427,0.2042584733137966,-1.3731722634058554,-2.3698277807703896,-2.8251302248493477,-2.8628394350885786,-2.649462981488232,-2.356508438329346,-2.1312545534230294,-2.0782398690952677,-2.2505891415681973,-2.650371638229017,-3.236826635649162,-3.940743941068971,-4.6830964169375235,-5.393371667116999,-6.023048579682021,-6.5501862795874795,-6.975043479290846,-7.309416748055963,-7.565248173332178,-7.746947760335013,-7.849998223473953,-7.865141751858964,-7.785423919634911,-7.612270370956725,-7.357601880458246,-7.04085079531064,-6.682195286517418,-6.294930376358678,-5.880252735210108,-5.426666646867757,-4.914332836158805,-4.322789352505155,-3.6394350311260903,-2.8659924175407934,-2.0208696417116347,-1.1365428104474447,-0.252771788530285,0.5924294545058845,1.3710443133295147,2.069846437603901,2.6900273760049593,3.242121918854403,3.7381738944210077,4.184448398876823,4.577479821444895,4.905018478898932,5.151147301092624,5.303153760146204,5.3568692903836705,5.318112882307851,5.199775511583169,5.016224423430874,4.777765773613246,4.48777553417427,4.143868003015258,3.742751417507861,3.287034457207552,2.7912990091412055,2.285041810024093,1.8108093292854688,1.4175041846871383,1.1503062286485033,1.039778073861372,1.0929564012591901,1.2890298234836242,1.5815061353418414,1.9072362640529228,2.201575448514268,2.4162206652343485,2.5349631919283055,2.581290057381973,2.614196617921564,2.7108998810716147,2.941019919828771,3.339105379264112,3.8848353908652578,4.496996815233984,5.045536986714487,5.378779185013575,5.360393272514637,4.90567088991819,4.0080831844085285,2.746997766470756,1.2753846991849682,-0.21016900193009092,-1.5079229159977432,-2.4481377611020076,-2.9200972426538563,-2.8861553450709527,-2.3838294738064096,-1.5196682808746427,-0.45807631040339936,0.596978011411199,1.4298302474869122,1.8539766294170499
7kg_10bpm,2BC,4.243747783240485,2.75444034035013,1.5394301780461184,0.48303606473668637,-0.5189936542943103,-1.5234241322584037,-2.5287259570846636,-3.4874680619676295,-4.333052272260383,-5.009288769987223,-5.492596812232369,-5.801053856634548,-5.988207725024331,-6.126115410470788,-6.283227251312498,-6.504589255115702,-6.800456482411578,-7.145911158335561,-7.4909048637552464,-7.7769257044685265,-7.954513322655945,-7.996210398785967,-7.901896585135174,-7.695185751364449,-7.4136558721213515,-7.096117219483689,-6.771173240370946,-6.450254188302692,-6.126635454113336,-5.7800844431997485,-5.38550483712744,-4.922656807291846,-4.384003882068986,-3.778621329939264,-3.13073631923927,-2.4738866191102735,-1.8424005580921021,-1.262919848186204,-0.748331377567627,-0.29559141007478174,0.1125607215818113,0.5025132624228786,0.9030143643233118,1.338087077780723,1.8209850793765248,2.350509218054211,2.910236881130813,3.4712290916097697,3.9978597615527858,4.455621421331044,4.819006590554743,5.077347017755524,5.2364752832321635,5.3160242448622235,5.342770618815559,5.342321986744737,5.331502261587718,5.313478090009804,5.276851563291687,5.198931931992773,5.052246551884398,4.812938774362516,4.469124431377596,4.026882900337005,3.512551183600647,2.969850461003866,2.452499327691977,2.01372778951489,1.695420105640512,1.5198536330518697,1.4867061250162716,1.5758411117779427,1.7553562102305105,1.9915342952315693,2.257174383805164,2.5351726212027446,2.816105156351267,3.091400816253744,3.3456681013863476,3.5524601218568774,3.6764431186842645,3.6825731916291375,3.5496546371432323,3.2830636365747212,2.9216785382935413,2.5341328402863215,2.2040869095683977,2.0072038609615284,1.986187687080113,2.131376140048054,2.3741025449821924,2.5949736093233478,2.6474523897721847,2.390723941986961,1.724770430351,0.6205324291971206,-0.8623239247074908,-2.5728283077628737,-4.282653811216258,-5.715035783093744,-6.584458426181484
7kg_10bpm,3BC,8.04321920345427,5.804204497789653,3.7494050881164496,1.9503371170597052,0.41347187040719613,-0.8870600356816355,-1.982309375164621,-2.8933651714141964,-3.6300940875536023,-4.200101989189243,-4.620980657368684,-4.92876547351406,-5.178427895118859,-5.435226012088081,-5.760061186802607,-6.194109210809663,-6.747785921399014,-7.39815279672459,-8.094740253634578,-8.771917282267008,-9.36357486724242,-9.816005465126462,-10.096168474346896,-10.193877102879082,-10.11858540824639,-9.89244513933681,-9.542066249683938,-9.091343780273569,-8.556902390848903,-7.946806976046026,-7.26218219441285,-6.500667965667791,-5.660498297223269,-4.744048362171217,-3.7601732178945744,-2.7251360147450847,-1.6620770171268902,-0.5992508852061335,0.43292883084132294,1.405642092883091,2.295611819153418,3.0883524598894536,3.779537437143572,4.373995796127248,4.88213845697814,5.314963359298598,5.679206256477867,5.974415798838418,6.193256892819198,6.32482239994868,6.359777965196895,6.295259037789958,6.137483913995395,5.901317741493774,5.606914507953395,5.275212345169364,4.924275094281202,4.568094679210546,4.218285824058511,3.8874621894531933,3.5921666657721922,3.3533699061030777,3.1935630007285343,3.1312159681313636,3.174733704534984,3.318137368630427,3.540512143571032,3.809360695743702,4.087023197503281,4.3379950569840116,4.534808413858745,4.660904183749238,4.709880654193176,4.681966437930915,4.57927651703648,4.40170719815461,4.145092123276864,3.802525998001815,3.3688607451651573,2.847447450723712,2.257247824556713,1.6379232600950835,1.0505164012998347,0.5716431467473693,0.28075994694979495,0.2415117599181122,0.48051608534104256,0.9689919382515204,1.6125743666621764,2.2558174467030963,2.7034272177281697,2.758876715397865,2.2744023374298297,1.2014222566497073,-0.3710561725902873,-2.207142251628771,-3.9495365867439785,-5.183524173868138,-5.525694160791,-4.716752848434089,-2.69814139578411
7kg_10bpm,4BC,6.866506711624321,3.9032240511174967,1.5133332593315898,-0.2941387967571633,-1.6037576302487873,-2.5381595095500833,-3.2145808600615,-3.7205765863504667,-4.109730884353903,-4.412026668220069,-4.649726519459291,-4.85029025959459,-5.050865391606626,-5.2931970500167305,-5.611895676677523,-6.021598793119642,-6.509129761808626,-7.033856045830213,-7.5372979673336395,-7.958266813551589,-8.248648904338324,-8.384734231725238,-8.370206832071437,-8.231060896440292,-8.004503574052508,-7.726472457387047,-7.422004563185833,-7.101029583783634,-6.759904273207343,-6.386986787454467,-5.969469060066295,-5.499088346997385,-4.975245946839936,-4.405119960985999,-3.8015501896411124,-3.1795356343784063,-2.552526058569726,-1.9293859721628857,-1.3126024612018625,-0.6982701270871704,-0.07773098941684048,0.5594215189519798,1.2218041320431559,1.913103356347102,2.629995727422105,3.3613264194812174,4.088262851869228,4.784855635756801,5.4189309073774385,5.953529882851039,6.349823440480583,6.572123162127949,6.594862133649957,6.4104926447180075,6.035381121414123,5.511502023055167,4.90131425598115,4.276508829330875,3.703158416681789,3.227864039172232,2.869663976457855,2.6202113632379223,2.4517276760793236,2.3295756543844615,2.224531538447971,2.1206191192291093,2.016583889220361,1.9214126218896055,1.8471481771743825,1.802541326775106,1.7904958232534924,1.810246994341518,1.8626424006258309,1.9552520159865148,2.103838792365539,2.3279697582875527,2.6413942197500133,3.040755548993446,3.4978657723497473,3.960316741696005,4.362511438607574,4.64441281244332,4.771674936567573,4.7494226702751,4.622364179536559,4.460033229020265,4.329573394818103,4.264302366925285,4.239050861276964,4.160706413189303,3.8815004915833144,3.2341322567007076,2.0827490379067797,0.37784791632629866,-1.8009170358047317,-4.228467755981659,-6.553292210469852,-8.35336477993096,-9.217411593437133,-8.833504656010216,-7.067007482920914
7kg_10bpm,5BC,9.722811022191033,6.785400348866242,4.165686255432307,2.0167085681726675,0.36223949731404803,-0.8592286343411591,-1.7437328972228234,-2.380377492830032,-2.8312645759439525,-3.1337141587629946,-3.316422756929583,-3.418125351010501,-3.4978179374819516,-3.6305816449521946,-3.8904426675654187,-4.327117006891319,-4.9465590766183665,-5.704488582732653,-6.515997603426389,-7.279280302628748,-7.904529830818639,-8.337888696179172,-8.57197417261951,-8.639755552508264,-8.595618631593302,-8.491398319476005,-8.357126189964575,-8.193045610335727,-7.9747136666759815,-7.667701562575317,-7.244954934831318,-6.7000280738218185,-6.051503891477144,-5.33828229376812,-4.608492771705609,-3.906707572990167,-3.2638977559635154,-2.6923978602167202,-2.1863979722835003,-1.72613581302941,-1.2839500245004563,-0.8303459780956838,-0.339301565843114,0.20731979576197057,0.816512390586787,1.4820882904983161,2.184737057142999,2.894277258302823,3.574403753511217,4.189051525826239,4.709131302735718,5.118067085834888,5.41421589753012,5.609583700691954,5.724619063163772,5.780916334665711,5.794120767315927,5.769511657915731,5.701997659581324,5.580126321705228,5.392464670600575,5.133408497911683,4.805933936004944,4.420577989264617,3.9917627542609955,3.534346764811747,3.0629192626829402,2.594756588000628,2.1549802969914396,1.780832466897652,1.5215893455744365,1.4321500134125886,1.560271523075303,1.930298522685631,2.528073295425504,3.292592097179048,4.119015887603939,4.874478898367099,5.424622690136186,5.664428583813323,5.545577063818285,5.091553731434232,4.3951735664737415,3.596366308547685,2.844201116975216,2.2524965075773573,1.8609614035812703,1.615953092650832,1.378389279675091,0.9620274766321416,0.19449059453899478,-1.0144733415232454,-2.616146288844048,-4.400891733223278,-6.021456641388576,-7.065668822781765,-7.160926575875783,-6.08027003666389,-3.818552673370031,-0.6070983265981078,3.1331601442036145
7kg_10bpm,6BC,16.080182188677362,11.483493975500995,6.838149737893058,2.775788191918996,-0.32051603000658696,-2.344281608090488,-3.422359449545932,-3.8244151146569267,-3.86088375612816,-3.7984492725627885,-3.8122301097303444,-3.975860230953253,-4.282627423850745,-4.680004498370673,-5.104039804712521,-5.5026892349200205,-5.845601870991038,-6.122447134898443,-6.335347919741594,-6.490319011666117,-6.591392633562575,-6.638592623531583,-6.629018651651484,-6.559254211002435,-6.427235196332432,-6.232773423926563,-5.977082174880991,-5.662378554846023,-5.2923184069856735,-4.873276710015885,-4.415775015473599,-3.9352909597977472,-3.451901589751261,-2.988486457838024,-2.5673811656407226,-2.2057009912135195,-1.9100533163324722,-1.672439554073829,-1.4690852137042814,-1.2638452365202175,-1.0159078637211607,-0.6901330132933409,-0.266735323218119,0.2524979832420995,0.8439598959618474,1.4675795570293373,2.0764404632088436,2.627125973210353,3.0876883079009647,3.4409364924129298,3.683086073752911,3.8193769567473104,3.8595238106878766,3.815051976733186,3.699278275488507,3.528801006744336,3.3244150800072054,3.109658385949112,2.9067805354877776,2.731681473749129,2.5906080373661675,2.480522967178124,2.3935684387200995,2.3233617626008685,2.269942354724425,2.2406314784126535,2.2463891436197976,2.29587453713026,2.390739678887378,2.525168671704471,2.6898194156672717,2.877801114537374,3.088673945509555,3.3274291741297652,3.5981302234858004,3.894767438717061,4.194020491775291,4.453677052608025,4.619047354350248,4.63600228164243,4.467665067022399,4.110155985524753,3.602911914854648,3.0288673382085047,2.501676444790187,2.138775610430971,2.024079926646377,2.169571987074667,2.4881782049157115,2.7927535934140573,2.8292199855751194,2.343459710940183,1.1665390205182913,-0.7047864584221423,-3.0648709513875194,-5.5109981404439585,-7.520720981497311,-8.574793944147162,-8.294606785967279,-6.549284101605814,-3.502882746799558
7kg_10bpm,7BC,6.555179382077789,5.899338420800314,5.028005290230468,3.8707449786853907,2.4482981916164213,0.8708617309776947,-0.6944473123271893,-2.071366354198966,-3.1230506706684604,-3.7882117179621586,-4.097861586094138,-4.168318379452893,-4.171115572228912,-4.2868036465279715,-4.654053363714775,-5.330442847636817,-6.276910337698302,-7.372272518778877,-8.45138406699373,-9.353122431082708,-9.961534730301375,-10.227479301031675,-10.1675375484482,-9.844148304754738,-9.338152286102275,-8.724213473468128,-8.057155333688069,-7.370656441099231,-6.684436936454906,-6.013098056275221,-5.370777552783142,-4.769641152160467,-4.214221205857141,-3.6957153428723544,-3.1902213092651137,-2.662746561236004,-2.076036959657278,-1.4013395590897122,-0.6271949836789545,0.23629515335591067,1.158920010112612,2.0963771514891016,2.9989949871712014,3.821060110995101,4.528769551364197,5.105296256281706,5.551391627151015,5.881354423604148,6.115472361767971,6.271876329011125,6.360939494026337,6.383953639840949,6.335655427094239,6.208451223640018,5.9963586094894055,5.697888364598781,5.3187042581091095,4.8748788134299215,4.395921417842566,3.9248379310129553,3.5120144112652185,3.202928803288221,3.023311718250545,2.96839383331988,3.0014385755231623,3.0632102033177264,3.0896860822451724,3.031845292929246,2.8713824710649924,2.627009475192101,2.349895121458096,2.1091142074773725,1.9712756207705993,1.979826826687076,2.139925491028118,2.4138224106747788,2.7281391116866778,2.991629625865086,3.11761412840844,3.044758456567878,2.7503900354414834,2.2542641738473006,1.6143840900589093,0.917751468575586,0.26877427005909893,-0.22559390805081095,-0.47650319425004145,-0.440475527328112,-0.1486790088880081,0.2750292577711086,0.6219584179023894,0.643970762050659,0.13185954454952953,-0.9949290745644433,-2.6220758499989594,-4.431893402671076,-5.965110230750601,-6.741388061410623,-6.395782163374974,-4.785201053703115,-2.0270072733926465
7kg_10bpm,8BC,5.221871070908512,5.448541551728006,5.113909867979158,4.2600224763972045,3.062790082806196,1.749720858429514,0.5186229296583892,-0.513196389626874,-1.3186824084749111,-1.936599377979591,-2.4336326452195074,-2.8733077374887035,-3.3015952907387662,-3.7470583212295905,-4.226029644118301,-4.7450564888414615,-5.298897524133156,-5.867806309572652,-6.418879257905637,-6.913342113268325,-7.316873360191812,-7.607892984730303,-7.779604713781103,-7.835499088358977,-7.781874802761214,-7.622137390387156,-7.356053925978481,-6.983530985422797,-6.509964720402332,-5.949613906736704,-5.325265814200052,-4.664673995246195,-3.9956063383242344,-3.3412998729477463,-2.716942573343523,-2.127207237136815,-1.565032541101308,-1.0125319315374626,-0.44525248546769125,0.16019056124540643,0.8168870765072597,1.5200095390659303,2.2442945869177717,2.948128972963438,3.5834370931655584,4.108053200185285,4.496074784672128,4.742732549267279,4.862215546192691,4.880021374684484,4.823055886459268,4.711055037413995,4.552153462611322,4.34358046000918,4.076934701450465,3.7458462141150837,3.3531881713628704,2.9153598583078097,2.461917230320052,2.0304272488645476,1.6577002512554764,1.3701265270211156,1.1766429332857422,1.0669794000766124,1.0161031368044364,0.9929378641142013,0.9700517634291909,0.9312095748086825,0.8750729140515568,0.8153140357504857,0.7781084273793464,0.7978788225315633,0.9115828466936549,1.1512098387784166,1.5347537023314306,2.057216433033565,2.684297594034424,3.3519962188057693,3.9736462123831973,4.453881118543011,4.707285900864814,4.677803145352707,4.355008326228885,3.783101704367693,3.0586187554408344,2.3146227479276624,1.6906402982860564,1.2923988119817928,1.1511949930244887,1.196471583911943,1.257257246587,1.100407210414555,0.5027660475883476,-0.6598172693101131,-2.3372075206528375,-4.27428344153352,-6.048257091659073,-7.172582915325152,-7.236982129659564,-6.035596960755257,-3.632014440334491
7kg_10bpm,9BC,7.238798062983847,5.186929598124841,3.6916451618421005,2.6982106228535563,1.9957168580231512,1.3473486978540077,0.595327621571782,-0.2928992738099434,-1.242160658677533,-2.1296459341114,-2.8539971592786033,-3.38266021244656,-3.761265934895275,-4.087442915505602,-4.465779434325503,-4.964364859549589,-5.588452340183255,-6.278050478416335,-6.927895300564813,-7.421818640512337,-7.670083626983952,-7.637688808035835,-7.35465745458122,-6.905445990063362,-6.401993295164278,-5.9499537590434395,-5.6190589189202615,-5.426243684557954,-5.335429044903504,-5.2723629404995105,-5.1491477377641575,-4.891267269285948,-4.459696955897797,-3.8617803426998245,-3.1475634283198453,-2.392597956708676,-1.672864546978165,-1.0406818466233756,-0.510398130531528,-0.05835512298572557,0.364561406845201,0.8141300510152683,1.3351282220875984,1.9497447146601532,2.653243995449628,3.415597013806715,4.187307730508711,4.908067681917822,5.516985947702808,5.962665470625057,6.211003463366552,6.248974708954949,6.0840714731333945,5.740645650123605,5.2548633886768465,4.669017992453904,4.025206358665675,3.359190339751859,2.697013497991394,2.0570388090815577,1.457091087295568,0.9220615993304733,0.485283638590244,0.17985641963257595,0.022955945976519256,0.0023030734715157025,0.07512892679701819,0.18464063867451846,0.28883873467454424,0.38700389818575065,0.5271021030258874,0.7852913327586462,1.223703740266133,1.8470055927808904,2.5823494505106894,3.297378969913451,3.8513468795823846,4.154601337381375,4.203433057829086,4.069256154957046,3.847545813608418,3.5967370524235376,3.305060108622138,2.9081079381051467,2.349252757671885,1.6481407428208632,0.9338738534595756,0.413807901674957,0.280782662225896,0.5963618296438304,1.2065768330837117,1.741428370594594,1.7199938981104417,0.7374750624491336,-1.3332835642668621,-4.212619171643845,-7.228372808665847,-9.493691986756094,-10.196437221017403,-8.889069697061508,-5.658994810147356
7kg_10bpm,10BC,2.599073321678902,2.97531050360938,3.036355666956938,2.6232104945765276,1.7335119940813482,0.49751533607943016,-0.8759923741676183,-2.1647100457989503,-3.193378498184453,-3.8757026531372896,-4.230429338353462,-4.366555460365266,-4.4431665161414085,-4.614949972695853,-4.98172362574591,-5.558520843986005,-6.276157785312261,-7.01020807340169,-7.625180131557699,-8.016867839089409,-8.137529912854362,-7.998554336858867,-7.6535864727060705,-7.173473860697894,-6.623549244981039,-6.0508557907948175,-5.482142395049471,-4.929652455640346,-4.3994572312071,-3.8980568578981556,-3.434675203064648,-3.0190607138853145,-2.6565820580939725,-2.3437319908958636,-2.0665491690218722,-1.8028813845063654,-1.5270761113830653,-1.2147021917010485,-0.8454830561709267,-0.4043247702905196,0.11820880617166944,0.7245772911414339,1.4077165335939585,2.148401849171693,2.9143596721026914,3.6622324900109167,4.34262670274925,4.9069062071511915,5.314131194300773,5.53644281967918,5.562229057192239,5.39718672302508,5.0638247202474265,4.6000615471516015,4.056438883894554,3.491295689711953,2.963377973772842,2.5225819229602715,2.201055819563145,2.0072586626203295,1.9252559043675872,1.9190948724007493,1.9410386632350745,1.9410629111226743,1.8757021457943281,1.715339024909261,1.4500874686199765,1.0945634433281324,0.6901515127008976,0.30267140797260067,0.012672886947883372,-0.10174312423509561,0.013684905397798628,0.3703057344202848,0.9271010018044286,1.5953621620057639,2.258649771818367,2.8025090904432126,3.145806650247069,3.2626428570474295,3.1876966928526658,3.001857864652449,2.803508938878621,2.675690788652121,2.6614624919269585,2.7556479920165073,2.9135179653257537,3.069791728088303,3.15736269878535,3.118724350463144,2.909268737690107,2.498368108487065,1.8752113480985977,1.0619158093182257,0.12903237262741624,-0.798048499150312,-1.5508306302225165,-1.9501794079552504,-1.850053316222278,-1.1770995429875786,0.04913979674926734
