cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,2.4656159384039236,3.585182818406617,4.619647308756145,5.422752027558392,5.9192501994106355,6.093752419831668,5.969293454353883,5.589466300457768,5.010779939095941,4.303262692333497,3.5506166135586774,2.841577407211913,2.251011012064614,1.817647406510643,1.5303768164092693,1.3320360957391695,1.1421674469458412,0.8893587746640973,0.5394941426963508,0.10688810907571819,-0.355671384186477,-0.7830487242859436,-1.1266130012171827,-1.372872785275613,-1.5440252980422682,-1.6827385794935745,-1.8299131129215305,-2.0070105589425538,-2.2099231852728694,-2.415148735405684,-2.592606331323757,-2.717963585498668,-2.7787080641808064,-2.772507505235923,-2.700012747983452,-2.556780343652091,-2.3289535975184577,-1.9954949176909438,-1.5365948913470648,-0.9448593109356286,-0.23459046472521314,0.5548533639582454,1.3631881676676108,2.119464294175145,2.755591901696939,3.219300386135816,3.4837255403358345,3.551447506662907,3.4527152067007854,3.237558132096468,2.9634153402070655,2.6803081960428607,2.417484838734008,2.175284437136765,1.9256798640675277,1.6218106193771298,1.214280772536859,0.6694614350392787,-0.01548570207778153,-0.8055385749983633,-1.6312293033621283,-2.402015105161341,-3.026730648910806,-3.435344903205771,-3.5963111005964876,-3.5241946575116074,-3.276136996571263,-2.9375802277992427,-2.602112950266422,-2.350457338326805,-2.2344021509002316,-2.2687237841273147,-2.432788494308138,-2.680137932111698,-2.953107100458015,-3.1980840046551107,-3.3770226915048753,-3.47215966825429,-3.483460225467912,-3.420939126514998,-3.2951927722849246,-3.109666318984406,-2.857030439540699,-2.5211594975365603,-2.085078568052243,-1.5441964961652461,-0.9220559855257383,-0.2837807298862999,0.26013668231865145,0.5656876691736397,0.48695065555540173,-0.0768978749898363,-1.1299326137919286,-2.5437916299228127,-4.055885314005915,-5.316204427438267,-5.976522149018358,-5.800015528358505,-4.7509504188263545,-3.029457935059704,-1.0285050861349778
7kg_10bpm,3CA,4.128027648127231,4.671990215705431,5.3012114451046255,5.981864109503231,6.655435308930764,7.248228756593518,7.68334110526185,7.893436660959103,7.832095831265304,7.481845881348542,6.857653450844305,6.005627179541463,4.99649659918296,3.9153447720753167,2.8488174873708823,1.8725069278528663,1.0411552588765565,0.3829370055141016,-0.10109764016489656,-0.4336979480893888,-0.6550038658073055,-0.8144740570629243,-0.9621675404627441,-1.1403742113848694,-1.376733200584328,-1.6803233784709666,-2.041296560301482,-2.4347902445914693,-2.827711483877176,-3.1868049362519884,-3.4853879967692185,-3.70657460039895,-3.842250930298561,-3.888606181512819,-3.840697635023454,-3.6890517531462708,-3.42053842958038,-3.0238447514086335,-2.4976794095771995,-1.858506294553938,-1.1438114208135406,-0.4092755804465017,0.2805053076623684,0.8648755557785555,1.2997016523704905,1.5661021776959867,1.6728667900060759,1.6524020373488686,1.5519722917550598,1.422659507705318,1.308977975482753,1.2412395005266905,1.231414724206531,1.2729734998268578,1.3434296190754917,1.4091367539479671,1.4311302436737094,1.3715423069200594,1.2000251276381473,0.8995413013565918,0.47069166158615544,-0.06622459563015534,-0.6725754684815822,-1.2961114808576273,-1.8789624874123594,-2.3672901690929455,-2.7207490070882745,-2.9201825169717814,-2.9716425414926424,-2.9063489489321226,-2.775863927491119,-2.6430674223615642,-2.5701119862323636,-2.60536128491688,-2.771793642650381,-3.0599380980059188,-3.426833965393182,-3.803118673055586,-4.1069806308534496,-4.263202044599733,-4.222937965954393,-3.978232049543745,-3.566548963513754,-3.0618081059948126,-2.553303195982487,-2.1183889606611688,-1.7980580063394593,-1.5844037261611994,-1.4267779297051,-1.2552598284507068,-1.0149148712049354,-0.6985506609805376,-0.3639950074938477,-0.12828513052009022,-0.13646802121096976,-0.5135248312861016,-1.314306617601065,-2.488586193444164,-3.874324613429696,-5.225320603571238,-6.266190980419399
7kg_10bpm,5CA,2.161939694273192,4.05759322596794,5.44061484607189,6.302717382117771,6.755047102240293,6.92243733451593,6.871103985104148,6.598273083823899,6.0745672431181,5.301833637976013,4.345996890448896,3.324484663701933,2.358583915942355,1.523057427581496,0.8234261550127748,0.21120627292842836,-0.3756856968827586,-0.9722082594182407,-1.5653544097172682,-2.099722679798112,-2.5032742673683375,-2.7198086142838624,-2.7339843984890746,-2.57946582097482,-2.32794680866054,-2.064262533332497,-1.858087843831738,-1.7430351855358592,-1.7097878371749662,-1.7141253335622508,-1.695565615878429,-1.5991386597415338,-1.3926774131965332,-1.0743127580998895,-0.6687910966196062,-0.21563135181186707,0.24487290277803203,0.6817744979938174,1.0761171134863188,1.416447864493823,1.6913146989096681,1.8841406544200723,1.9740700582314332,1.9427885681083215,1.7838946028570497,1.5100408509047443,1.1541258920490678,0.7633765852979728,0.3882247318745936,0.07031793636103287,-0.1656656935741212,-0.313627043286318,-0.3816038278402506,-0.3849785073949903,-0.3420871794013601,-0.27471792490204583,-0.21168536757386502,-0.18996406479797256,-0.24823736843301075,-0.4132122655135392,-0.6857387550669466,-1.0362212148329502,-1.4141619100807798,-1.7674013007619032,-2.0603897611461557,-2.2819392494806054,-2.4401196134094216,-2.5501227385149474,-2.62388328553609,-2.666658844983828,-2.6797670211333906,-2.6649123473240404,-2.6261379330672767,-2.568585186742238,-2.4956478364033696,-2.406536470526432,-2.295483836026035,-2.1531916774276723,-1.9710044527341446,-1.7475847605834611,-1.495844858897634,-1.2458700431048608,-1.0398656075950417,-0.9184680263299787,-0.9027351052396312,-0.9798878742934235,-1.100161659211069,-1.1874215900501273,-1.160752049409625,-0.9612235895069342,-0.5781120505326769,-0.06963404535843355,0.4283128836778448,0.7147709837179573,0.5664904347089594,-0.18934777423637034,-1.5885263061108283,-3.462230449931975,-5.428910018852622,-6.971559220154917,-7.591815897043895
7kg_10bpm,6CA,4.277170906482669,5.000098774313597,5.561423229950785,5.996846258730826,6.294503973260861,6.403226890217932,6.263823796002333,5.846990957312343,5.18036983640742,4.3514747190530105,3.4852988216515226,2.7050038223102773,2.0931170289304277,1.6685227817240937,1.3888670485692989,1.1750767661726653,0.946792091917005,0.6532281213526918,0.2878891382631194,-0.11657262602289237,-0.5086645470524326,-0.8428586212820737,-1.0981826611582803,-1.2830144667889263,-1.42571963731849,-1.55630612291809,-1.6887709779481512,-1.8122399240936862,-1.8951452956603694,-1.8994783091819052,-1.7981889866701375,-1.5872168928813306,-1.2873754057718967,-0.9359362513416882,-0.5726213394300732,-0.22636254193870312,0.09193916993900306,0.3885027423889282,0.6791271582834952,0.9787671767338929,1.2930296525433154,1.614628700816435,1.925451138226792,2.201753407078172,2.419286302357425,2.556019269777542,2.592685120890072,2.5131670984242542,2.3068156134494275,1.9731464374712202,1.5270245902460344,1.0011849419843448,0.443476748858675,-0.09195165780466893,-0.5569160454169512,-0.9206976785284314,-1.1759839679203288,-1.337436957262613,-1.4339908065286306,-1.4989724803928721,-1.5622489379638984,-1.6466123178758338,-1.767934478072363,-1.9368009084430182,-2.1594343050176903,-2.4368217972041766,-2.762495509990484,-3.120583867211971,-3.4858003943988676,-3.826499997290579,-4.110430801540538,-4.311303692264654,-4.41365111069321,-4.413934599493828,-4.317809795344457,-4.135031881232444,-3.874762887170265,-3.5434005725569606,-3.1457989700480957,-2.688986610625984,-2.1866432579310766,-1.6623034840763067,-1.150029780374025,-0.6917678127278852,-0.3312737928305373,-0.10500679107455145,-0.031170678259164575,-0.0996362534811447,-0.26625207215228425,-0.45617448568396735,-0.5783319261894778,-0.550385924932297,-0.3285479948854834,0.06653116193822067,0.5375975911242152,0.9209028689246773,1.020432554843706,0.6629969168831703,-0.23924186461235122,-1.6357426384603222,-3.315282142943814
7kg_10bpm,7CA,-0.6081589381727928,1.7178072772318087,3.716647532704817,5.170526973972977,6.053427640298182,6.465818488236308,6.5424623762954655,6.376673049946166,5.990546760337349,5.355301857574737,4.443471183331888,3.2822500552724976,1.9785613425734885,0.7016729165259373,-0.3702494498676125,-1.115501704903652,-1.5141609293965357,-1.6508397425263812,-1.674043110287589,-1.7324192236949434,-1.9181637820325776,-2.2410797561191385,-2.638445326006915,-3.0094256327137265,-3.2552035696503343,-3.3084377120684016,-3.1450654459689424,-2.7806418872402103,-2.258172925459023,-1.634418833730209,-0.9685347367971288,-0.31338328592105913,0.2913985629923866,0.8243429773759399,1.283104271888835,1.679472662178073,2.029093905044853,2.3403850958125343,2.6092971337628743,2.8240741442251913,2.9778774375416446,3.0808950978917444,3.1618651784626777,3.25472647954439,3.3759675327392364,3.505795629062041,3.5867625355971136,3.544852562334342,3.324752958765237,2.9213643295110705,2.3890386715136196,1.8207837259517206,1.3068904805357822,0.8941928753082834,0.5672581868669779,0.2611059619367991,-0.10244376364094139,-0.5740136241082163,-1.1509367013379168,-1.7770865021584576,-2.3657251338188052,-2.8332525036097307,-3.1297877859181806,-3.2560732361412277,-3.2622799609221858,-3.2304554111885153,-3.2463284603380713,-3.3689616605426527,-3.6084204149048165,-3.9201130686506906,-4.219112767657602,-4.4104489521599834,-4.424292713285302,-4.241511532137266,-3.8986675519714717,-3.470419167534642,-3.037701430405757,-2.65718915655961,-2.3462367903027403,-2.0883376297465097,-1.8531693958177538,-1.6184300054975402,-1.3818897499722143,-1.1596776811584877,-0.9743896049814053,-0.8406610540580357,-0.7557254438755632,-0.6990611539303627,-0.6409642643654093,-0.5562800876508309,-0.4374474533313753,-0.30140297657007864,-0.18731786303723358,-0.14539851917563867,-0.22029003480668677,-0.43495349399490557,-0.7809895134765434,-1.219673810935209,-1.6948725353501217,-2.154523457821552,-2.572869039992836
7kg_10bpm,8CA,1.0315626829426172,0.7429452210714746,0.300709859732533,0.16090736361876026,0.6161464618818846,1.7090739568977669,3.2510900423849454,4.910894725397174,6.324121299893855,7.188025958001446,7.325374356718428,6.715035388856855,5.490250889105161,3.904461192022847,2.266544132648045,0.8566671130270627,-0.15273905537105203,-0.740211407377947,-1.0224224476692494,-1.189027523581877,-1.4130823883569077,-1.776139636561386,-2.2404185145271196,-2.6796635677125984,-2.9540631108552895,-2.992285114825174,-2.8358919232992625,-2.6174845128852113,-2.481346979470642,-2.493050674119314,-2.594901428748566,-2.636184096915811,-2.457978211685158,-1.9768378502137565,-1.2166822578313126,-0.27926377957951004,0.7139349007312921,1.6655214989463805,2.5132735273506492,3.2201688420868138,3.7639624035384824,4.134529914235857,4.333476750064432,4.369744873902322,4.252958790379536,3.990630038185277,3.5914682075274036,3.070885956142499,2.4535595399207573,1.7724099090553291,1.0680989611431457,0.3918335227127581,-0.19302205028466252,-0.6203845015675546,-0.8469106748118206,-0.8839824145339533,-0.8139982990548643,-0.7710857481726557,-0.8865834214974521,-1.225371701696225,-1.7507905960764205,-2.3418158801425815,-2.8535523868439183,-3.1841530170383074,-3.3096468214334736,-3.273628392814291,-3.149561099177039,-3.005347081461958,-2.8874618682732898,-2.820787657104883,-2.8100431694942696,-2.8358490305369974,-2.8525505243391116,-2.7999525024108776,-2.630907256880596,-2.3406133262481412,-1.9773753606449422,-1.6251877473792526,-1.366890318588208,-1.2476568294478982,-1.2558742373970726,-1.327994255561772,-1.37383097369078,-1.3115606527218362,-1.0978908255874338,-0.7412934193011581,-0.2955601275721419,0.15870409126724763,0.5338772539685198,0.7515681293359452,0.7584341713281909,0.5450820880241674,0.1623775575704567,-0.28035114614733697,-0.6492330639204629,-0.8490462952850043,-0.8887162789300914,-0.9077243060028783,-1.133485948300625,-1.7776825726859946,-2.921008554323807
7kg_10bpm,9CA,-1.166267477594183,1.0627292827349613,3.229845193419764,4.838829444287555,5.673167443848807,5.77388632361771,5.3246580981064575,4.53337824353147,3.569937949642737,2.559211127719411,1.5901979157422308,0.7141650402539937,-0.05900461651232565,-0.7436836993713806,-1.3421368128016138,-1.818833110741411,-2.110767846988955,-2.16635090324622,-1.9806897125636926,-1.601771032615607,-1.1091678734357269,-0.5868216680669803,-0.10840093957753931,0.26512877000529805,0.4910457665997798,0.5644747909847331,0.5408443673328438,0.5320702609451536,0.6589088665057155,0.9801610373444734,1.44851031010164,1.9301467311843752,2.2788184673847307,2.415870456115198,2.3684619858239144,2.2504652329507597,2.2029856025702728,2.325438763360838,2.6270613546753783,3.018649168561403,3.347091494537173,3.45719034328072,3.2543180229713924,2.7405861847458604,2.007380815312863,1.1886026971716452,0.40175571302951507,-0.2893704864189955,-0.8739950746641492,-1.3671890622304024,-1.7834358926957858,-2.130248198269415,-2.4199027829499533,-2.681663456576103,-2.9572768594667074,-3.2765722602263767,-3.628216657997085,-3.9505890697277453,-4.158393614381775,-4.193992589506926,-4.068765102709245,-3.861682886952118,-3.671449024187733,-3.5531685049796535,-3.483983363896873,-3.383730776129641,-3.178053675172748,-2.859223436186658,-2.4981574950426557,-2.1936203255900013,-1.9909256327557399,-1.830946168355784,-1.5762033339877852,-1.1066617844464708,-0.42054018162158546,0.3364119463643488,0.9407137450570198,1.2142491966821178,1.1170709906138598,0.7540345874933375,0.30528229213802727,-0.06345882884093064,-0.2595600024594005,-0.27528481259198956,-0.1658337161309075,-0.014447139887245605,0.10021539313822635,0.12715400002373922,0.054737274899984076,-0.08795071499737754,-0.23837584473203516,-0.31680172130164136,-0.2548708013863195,-0.03708961633095733,0.25619266455896117,0.4293418880919918,0.20333683138454683,-0.6873897752409401,-2.349611641719446,-4.593799634657881,-6.892477583118016
7kg_10bpm,10CA,-0.5245574102350973,0.6275626013102705,2.248720121768528,4.032178960072137,5.590307995398065,6.567475321812596,6.755782765972249,6.16019695834747,4.984006866879999,3.5433266176694693,2.1499629921442125,1.0120250916604678,0.1893767624991024,-0.38578204441254543,-0.8416417030992654,-1.2889637725526208,-1.767953214003921,-2.2381154022809757,-2.6071778399137844,-2.779174305644891,-2.6980694997368855,-2.370628673922493,-1.864217785747764,-1.2848447998114385,-0.7449022757288252,-0.33039280791990094,-0.07674309131539687,0.03908786382149733,0.08636790207799427,0.1511854076789323,0.3003364432541854,0.55349705406844,0.8770271349883377,1.2037088953685466,1.4691191257845304,1.6448260024016275,1.7496328220209367,1.8338619927179656,1.9487011983582643,2.120086845740167,2.3399349445946593,2.574079123125444,2.7773463278850925,2.9066754712980107,2.929108835510623,2.8260609436862327,2.595401256372064,2.250578895510008,1.8152347633709776,1.3142907012184222,0.7662244111772352,0.1820784705704099,-0.427295287680643,-1.0407843304242494,-1.6220218505333397,-2.1255176885982623,-2.5117657145525243,-2.7628752596802504,-2.890379367954506,-2.9322002419182374,-2.9411038802530767,-2.969029768504926,-3.0514547976346846,-3.1959209781750246,-3.379183129358063,-3.555894199755765,-3.6769068904989513,-3.7092407612665657,-3.6474495451970816,-3.5106762761693187,-3.328555129482896,-3.1257801552598536,-2.9147474622113942,-2.698619455429924,-2.4786171011273135,-2.2558806090999584,-2.0234427160481885,-1.7549367386901022,-1.404737711110388,-0.9301171321148792,-0.3290463197147013,0.33050485067016494,0.915912910693604,1.2766278148775791,1.3110642624513136,1.016705675040689,0.4945568517558981,-0.09413406474290482,-0.5928586009668292,-0.8998704557310053,-0.9808952411103581,-0.8504340805849425,-0.5479280543110789,-0.13264974866285223,0.3005570862718061,0.6062027011481366,0.6025617709292613,0.12821057366745833,-0.8774636135705299,-2.312750310019613,-3.913710967525546
7kg_10bpm,11CA,3.295981633796256,5.244553214796551,6.431181722619473,6.879723006330346,6.771484838464223,6.34621808999434,5.810057768962042,5.280801965386172,4.780105546920944,4.264138073122936,3.6743701730705753,2.985317458464149,2.2284668889899546,1.4828483770854948,0.8387376166310079,0.35551567099450626,0.03705938294719376,-0.16392663417566494,-0.3177203888597474,-0.4827943999695857,-0.6824266475177748,-0.9013206812783534,-1.1000292172503416,-1.2375886856903366,-1.291198572611699,-1.2652506069051714,-1.1870573200536898,-1.0922850734253757,-1.00779187447998,-0.9403634406321415,-0.8766782736921235,-0.7936712363981367,-0.6725490536280647,-0.5084375358611808,-0.3108920428498523,-0.09629144645123182,0.12199501609583542,0.3392940010972682,0.5580726346439081,0.7810135826501498,1.004123044354614,1.2148982096803012,1.3971266822556034,1.5391796126473452,1.6397226961714195,1.706013950972297,1.7446114559642165,1.7501208508067854,1.7002942815698416,1.5627347896440633,1.3115490404560923,0.9452421760872383,0.49536152350670803,0.020186158977675284,-0.4146226064048288,-0.7597660105452005,-0.9998791872047044,-1.1578871405984361,-1.2848231681567912,-1.4396333558293344,-1.6672533773495175,-1.9829712496624032,-2.368226969157239,-2.7785481267671757,-3.1595250376163757,-3.4641860193601266,-3.6649066662338026,-3.7554780279506996,-3.744265730358928,-3.6441426514209465,-3.466289523889309,-3.2217877239660013,-2.928538442177671,-2.616342383591891,-2.3233565512467367,-2.0830717935810763,-1.9087815270763295,-1.7855900651501755,-1.6762469113533982,-1.5385694643261667,-1.3448823365388622,-1.0937050772520995,-0.8093722165908207,-0.5322312828380211,-0.30595467108880614,-0.16704663592461555,-0.13799941362186702,-0.22295065372358674,-0.40457751159642036,-0.6426980724647599,-0.8764725457562785,-1.0320761659372581,-1.036339237518757,-0.8355956733935552,-0.417706666759097,0.1671863753675527,0.7946754342589762,1.2729673475618635,1.3778608628251074,0.9165299409485719,-0.19441919370383842
7kg_10bpm,12CA,6.462945828237798,7.2513108462699964,7.399882856210312,7.135545679383443,6.705023546192823,6.278154713419639,5.903404430292232,5.526478124992508,5.052520932835606,4.415532100384708,3.618464603635674,2.7284994649455734,1.8391791677026346,1.0264673808261204,0.3240056193767592,-0.2748265197597921,-0.7968653783473743,-1.2665047595460817,-1.6921191924133607,-2.0641785726513353,-2.3615569778256496,-2.560865309778581,-2.645406097039281,-2.612622584286564,-2.479030876551292,-2.2805349037707967,-2.0657853899386245,-1.881981869459106,-1.756724670741584,-1.6833700639828715,-1.6175367990115717,-1.4889612973397235,-1.2256856731511643,-0.7812159714494075,-0.15356730886092318,0.6122610913322045,1.4389780358792064,2.2420771659346714,2.9546056006706594,3.54144447710576,3.999099065450108,4.343992779179105,4.597108057007394,4.773371047515147,4.879550565932549,4.918837625626184,4.896378493109808,4.820245615930565,4.696097939514684,4.518542551443288,4.265537664138618,3.9012552975477544,3.388581356328782,2.706558270103242,1.8644037793083528,0.9050360504569567,-0.10446601139169943,-1.091513548235725,-1.9974874901110327,-2.7899445711560995,-3.4630996697048646,-4.028598834535947,-4.5027405211946885,-4.896438012468651,-5.211354116438058,-5.4417297331362615,-5.5795083583331655,-5.6201599998128735,-5.567043195654519,-5.432740544622964,-5.236508699018449,-4.998672008882584,-4.734860080309934,-4.453477025895891,-4.158107794929685,-3.852980397481929,-3.5470862374342653,-3.2531297924782234,-2.980962514513815,-2.72951439328732,-2.4828956090359573,-2.214692767669539,-1.8998451149276074,-1.5289468371268513,-1.1181833214189711,-0.7093501119630884,-0.3589425294018481,-0.11977549555836224,-0.02137705242626315,-0.05624989871161645,-0.17687464874857187,-0.3053670828812844,-0.35462818609133623,-0.25646001040744254,0.009451826626763327,0.39314590110603015,0.7676995771222721,0.9460439214391239,0.725375840884771,-0.04583130789814796,-1.3969939517274503
