cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,1.221944467627576,2.300308930893296,3.7503304854661845,5.349486443186953,6.838261367810339,7.9823979568865875,8.62847868576035,8.736986143326885,8.381368416183815,7.717940689307844,6.937149003246031,6.213445592292839,5.666816576685412,5.345085827783285,5.2270297097096865,5.242526779562619,5.301350472899206,5.322279302505079,5.255192492007971,5.0916772502015215,4.862290295450929,4.622322801976888,4.431194436945702,4.3323649937866255,4.340387565174493,4.438825951490612,4.588616783835541,4.742597658512304,4.860576382864185,4.919613457092337,4.916624606254835,4.863312385062199,4.776408636081716,4.667569131755661,4.537232217931758,4.374780865865204,4.16457944004261,3.8949602065475744,3.5659654578444036,3.192360725744834,2.8002606504036436,2.4185318221472167,2.0681953176729624,1.7542269106646509,1.4631438670551564,1.1678623577995864,0.8380405544682055,0.451840637684844,0.0040244106756142164,-0.4928409070697818,-1.0144078401562442,-1.5344212283821932,-2.0334990097560994,-2.5023997402726934,-2.9386322630074115,-3.338642886395734,-3.690675758979364,-3.9729805075108047,-4.159742333319595,-4.232683849822905,-4.193462154143537,-4.070596234777485,-3.917288555930112,-3.799472550657456,-3.7784235863131435,-3.8938746021673984,-4.154208643510047,-4.536642321090473,-4.997316936717782,-5.486376819764542,-5.962522280052514,-6.401735557562181,-6.798582637860758,-7.161265351712343,-7.504577250734744,-7.844335042489258,-8.19509569090837,-8.569772034324785,-8.977824654573022,-9.418967239733869,-9.8720091781889,-10.282828423589438,-10.557825647499932,-10.570831631704543,-10.186660287771648,-9.299859841693127,-7.878253070550947,-5.9978969538540765,-3.8519832400629097,-1.7256964389982064,0.06383399164252423,1.2468106504716352,1.6764596400434033,1.3722134489928262,0.5142340322332379,-0.6148654261416304,-1.7230442062825722,-2.607801187977469,-3.2267165024077626,-3.717112792472072,-4.355229456512708
7kg_10bpm,2BC,2.82125559220497,4.186930586802886,5.605287484245344,6.96636286776798,8.159272879246053,9.090974957297787,9.701185439350958,9.970040475084353,9.917670129454137,9.59730955156829,9.084215550696035,8.463761326712525,7.820185830827577,7.227111077818841,6.74034608187599,6.392896854543434,6.193076046329148,6.125838422192794,6.157536060735606,6.243570048278727,6.3374475374838815,6.399635191195496,6.404592489301973,6.344436605123724,6.229160430581079,6.083067067630901,5.938460904635956,5.827509821049628,5.773725718388128,5.784691455157156,5.848030323065798,5.931743077192144,5.9900024219497014,5.972997554288116,5.838607858477597,5.562620680600307,5.144281808817207,4.605916928559892,3.9869511391288928,3.334327153338273,2.692303967269519,2.094213649124984,1.557649484814628,1.0838817888817687,0.66035856968607,0.2654038006253157,-0.12657817007926317,-0.5403930897016974,-0.996441980309985,-1.5081823848514584,-2.080365254506441,-2.707418206183072,-3.372180456554583,-4.04521817901753,-4.686301846246515,-5.248987615076234,-5.688855995269261,-5.974119401661598,-6.095656996191907,-6.072632346909371,-5.951065943390319,-5.794059728688745,-5.66640194364679,-5.617946964972645,-5.671059095349816,-5.816843239978754,-6.0208375530950455,-6.236296312097605,-6.420071089655316,-6.545577773747222,-6.608628972809371,-6.625349078235514,-6.623512441465398,-6.631556313119381,-6.669087457660247,-6.741585200939966,-6.840308147935647,-6.946270681111684,-7.036376806160041,-7.0895877487384595,-7.091481423172359,-7.036298562962962,-6.926691092756922,-6.771551049312324,-6.583047511004232,-6.373624656989029,-6.153790217232931,-5.93136936436762,-5.712809045294306,-5.506833759464436,-5.330015512182097,-5.212940170613411,-5.204160902914632,-5.369636115185098,-5.785260708136917,-6.522894351948165,-7.632315174245469,-9.123243832698106,-10.952387570345923,-13.01971724695092,-15.174656053921737
7kg_10bpm,3BC,3.1444081147671783,3.849436888481259,4.695905628390513,5.654306187653188,6.667981369050622,7.65924666094007,8.540689957852077,9.229901909673483,9.66410412158807,9.810870965859783,9.673439498765926,9.289115665891046,8.722585435596002,8.055194566576898,7.372738741200024,6.753473489943608,6.257782262519623,5.921047433706664,5.750212657450294,5.725121062844522,5.804342438332653,5.935144290931176,6.065907144238565,6.158337537750165,6.196486230562563,6.189560613523878,6.167259396834102,6.168491155715488,6.226628439519489,6.356127957094452,6.54496576794999,6.755466142218569,6.933308532200581,7.021252769585783,6.9730631286507485,6.763283448448811,6.390476600762432,5.874442740867025,5.249125896379001,4.5543256568400725,3.828230537551769,3.102109219386936,2.3973480758643326,1.7241345973451863,1.0813941086944587,0.45735852104181823,-0.16872668355422438,-0.8235070480938551,-1.534332802858605,-2.3221082616849347,-3.1932130306067643,-4.132117671437186,-5.097958671077999,-6.026986240694987,-6.842921250441802,-7.473695951991659,-7.870779336869187,-8.025723011514366,-7.976971231762737,-7.804308569421987,-7.609960037425043,-7.491694381455478,-7.515811525233665,-7.698232885025801,-8.001282540338142,-8.346977432269576,-8.643931982697254,-8.819131002380104,-8.84383968138768,-8.745304486397783,-8.599055767535248,-8.504160144077366,-8.548698508538777,-8.775974916844525,-9.16259993929994,-9.615315702305812,-9.98898151003089,-10.12203840336045,-9.880545024926759,-9.199563321933208,-8.109765954901597,-6.74000182727683,-5.292996246468314,-3.997511534491208,-3.049613736497096,-2.559451208081057,-2.5202653042850445,-2.8125874010010468,-3.243601849807365,-3.613698818808162,-3.789760136115617,-3.7615666654950677,-3.6627953213837294,-3.7435121135438276,-4.301135530309283,-5.585657514197711,-7.706759870119705,-10.574046742589127,-13.887160914733256,-17.18783369077733,-19.958350171084465
7kg_10bpm,4BC,-0.9672594500861879,1.854191639571319,4.754771986525897,7.414207710887772,9.56196520308205,11.01839454929737,11.721026263695075,11.72610469574774,11.186348482192196,10.30956635413736,9.31054178522832,8.369097409727326,7.6038127111931315,7.064746805000638,6.743328789101265,6.59182377587947,6.545938691461757,6.543700784401077,6.53770102841146,6.500469233358369,6.424007750592011,6.316156256917331,6.1949560317832,6.082392280290822,5.9980814095837705,5.953827324116796,5.950304538199127,5.976751719967053,6.013799017901376,6.038387400613503,6.028858937872955,5.968491886717755,5.846688405326933,5.658103723532677,5.401089892562462,5.076562331825453,4.687952411954836,4.241762058273029,3.7478840739631103,3.2188076583687915,2.667672577982984,2.1057917168332465,1.5405969013457803,0.974754741888699,0.40650209374037827,-0.16928178814680753,-0.7598791518951703,-1.3737453446042807,-2.0194268421467068,-2.703741614628321,-3.428718088591831,-4.187333410925859,-4.95943312620223,-5.709420193995409,-6.38818605412685,-6.940031498882894,-7.31417507352443,-7.478227436551027,-7.429270572430136,-7.19884912964454,-6.849087019918137,-6.460306118685116,-6.113224827179488,-5.870495721634847,-5.762718990342637,-5.783251031701798,-5.89263570443169,-6.032150267639714,-6.141896810113692,-6.178534925035925,-6.1278774941165235,-6.008435124764125,-5.8661065821033915,-5.761221356155593,-5.75208122734116,-5.879168907377704,-6.153496056759047,-6.5516763490871925,-7.018506933868496,-7.476478853826409,-7.840797780872336,-8.037003083759457,-8.017719938845326,-7.775136759764487,-7.344916361028422,-6.800700544170546,-6.238453531442804,-5.755055838383938,-5.42698719989997,-5.295983929432362,-5.367809170379084,-5.624695615166181,-6.047462937954933,-6.637990628328228,-7.431052760242808,-8.487497586950038,-9.867663150116801,-11.592119756109483,-13.603364275948573,-15.745576248394194,-17.771875191950567
7kg_10bpm,5BC,-0.5458219883094912,1.5576507365815617,3.8512640217143765,6.069567688560845,7.981294165420293,9.415524391778538,10.278315119085791,10.557021703658448,10.314343264940769,9.6708297060575,8.780542740794345,7.8030355602343136,6.8777862960724665,6.105696754103108,5.539800673116443,5.186002818764685,5.010886857289184,4.954756638519531,4.946735562404033,4.920559417541429,4.828969839135413,4.654436541147217,4.413694256099644,4.153838282792814,3.9401156638606825,3.837472574414562,3.8908632618511656,4.109919443618548,4.463238644558994,4.884507513603489,5.288878923522081,5.594585783935049,5.74277465326542,5.710038244436037,5.510243915611568,5.186743978280525,4.798222429262379,4.403188889691302,4.0474227618398935,3.75650114317371,3.5340004640209273,3.3636262226317575,3.21402892979843,3.0447648250166317,2.813216754502386,2.4822672078587615,2.028099175540662,1.4470960023353352,0.7593101362496774,0.007135541085576305,-0.7524374604404637,-1.4606568167366862,-2.0721869702123934,-2.568331841354494,-2.963038005559591,-3.2994187383082876,-3.636037957187724,-4.027407019192703,-4.50506848967079,-5.066048613174499,-5.67396075764269,-6.271970922747271,-6.803384102412551,-7.231358137214927,-7.549822793509882,-7.7817819475813845,-7.965743607543846,-8.136953317399485,-8.311340237597408,-8.47889645236323,-8.609264525717318,-8.666920813110725,-8.630280098772724,-8.507106400569945,-8.339794337873466,-8.19711077985776,-8.15277831387112,-8.256363517751176,-8.504881102625424,-8.82588845100824,-9.080462321172341,-9.089991801683848,-8.683266939921742,-7.752182350679775,-6.301092684098933,-4.4718734300868395,-2.53537880800258,-0.8459147775668487,0.23084236112679338,0.3982204964491663,-0.5028680247064929,-2.457775625030631,-5.279077222240187,-8.644998473495468,-12.158751279336789,-15.414006001806648,-18.05164201293497,-19.800101568271057,-20.501495270519047,-20.12351196791039,-18.763232820182516
7kg_10bpm,6BC,-4.991187337167459,-2.424143329882659,0.9823925131904736,4.643766047574593,7.979966911579567,10.533031947733217,12.047801173389075,12.4995301159373,12.063853397816423,11.044058287088868,9.778267320752546,8.555465391109077,7.562105086208426,6.8674648593302665,6.444687224117429,6.2116801052878,6.075146934299862,5.963023533672559,5.839185316143492,5.700486021037931,5.563159827361848,5.446078465778299,5.358303069060932,5.2943833052226745,5.237254500015152,5.165580550101351,5.06152517499249,4.915981911722636,4.72984226610228,4.511843699408536,4.27404052455293,4.026755570072195,3.774775013660065,3.5164679790556552,3.2462899134562564,2.9596462889229698,2.657652917515871,2.34903572757058,2.0478495158980157,1.7675223978397359,1.5138865653196247,1.280279037521704,1.047360187554099,0.7880683759761541,0.4763907967820291,0.09682999905718315,-0.34901310803016755,-0.8412737409108246,-1.3471099778903752,-1.8308600450395927,-2.265936725284882,-2.6440383537087797,-2.9784572622224004,-3.299297665386285,-3.6421652263948014,-4.033762846469766,-4.479947221872621,-4.960911426324552,-5.435965461714885,-5.856384957584465,-6.181758554249225,-6.3938582592746,-6.502652831991576,-6.542975509624767,-6.563005312977077,-6.609291582691096,-6.713158937168557,-6.883028307446949,-7.104181069297542,-7.345875912362526,-7.572566838785162,-7.755542979342353,-7.880937094768736,-7.951617539408131,-7.982636473291997,-7.992152501231543,-7.991361394501617,-7.977084655677002,-7.930136858050235,-7.8199995579472,-7.614743033397948,-7.2926905860294315,-6.852042890830525,-6.314791377632247,-5.723669915035538,-5.132717770614302,-4.595013040480662,-4.151903186706217,-3.827715259964323,-3.632039982668247,-3.568343089914077,-3.645125151916853,-3.883826832125268,-4.318654155414583,-4.985869676397453,-5.9050819645446095,-7.059494925311014,-8.384049193135716,-9.769051197657847,-11.08043168714985,-12.191100501870793
7kg_10bpm,7BC,0.3498501493562342,2.1469427184381935,4.149977039325806,6.129263342497078,7.849576355429063,9.12659906317289,9.869037767270243,10.092606860462162,9.901078753021372,9.442852674782666,8.862489737671599,8.266159091903685,7.712482774938493,7.224694891063598,6.810903105518542,6.477214976205828,6.22734284171896,6.052987321397054,5.926187509572946,5.802833646646569,5.639139033158098,5.413203179457472,5.140182796731334,4.870909777611886,4.6728765620817825,4.600769081044044,4.670314150681159,4.847483090980608,5.0581634562969064,5.213840857007282,5.241473347004109,5.105643448134042,4.81489551754721,4.412517080464521,3.956891750547555,3.5003222300792127,3.0736037108634418,2.680753232549215,2.30379127493524,1.9141181590845655,1.4858177841753348,1.006316410511454,0.4819303031510418,-0.06303291875456621,-0.59323606597899,-1.074419609849763,-1.4879893502093378,-1.8436119677502423,-2.1841244062956244,-2.5775795233813614,-3.0960125039018602,-3.785638965445832,-4.639856167114698,-5.586916421482976,-6.501633213777275,-7.24052123129343,-7.689662392838441,-7.807347329259256,-7.643212753091479,-7.325339587977919,-7.017698531223132,-6.864746584706984,-6.943099398190264,-7.239531638549442,-7.6622514307999126,-8.080249542092515,-8.37401383796788,-8.476499518018574,-8.38910461135154,-8.16774557577042,-7.888682383038381,-7.610071665131345,-7.346950245182084,-7.068586840272965,-6.717813995168163,-6.241566623841463,-5.618474847234285,-4.871058897312917,-4.058021326538752,-3.251858421404312,-2.513690183071156,-1.8786260962625139,-1.3581348529943837,-0.9568504505287537,-0.6923093877607468,-0.6049813751345435,-0.7502511695899616,-1.1743570956189917,-1.8843382113448086,-2.827630819673632,-3.8930918376802306,-4.938173229467006,-5.834691118133937,-6.516890297683919,-7.0119114533344735,-7.4371383168374265,-7.96227376936775,-8.746691280348344,-9.876194038144808,-11.322112219025856,-12.939489420054413
7kg_10bpm,8BC,1.8828840592338656,3.2086238892041203,4.641263415794171,6.0806694660238785,7.399243875336547,8.468084132818914,9.190133245972177,9.527771451737305,9.51264274979348,9.231417605892464,8.793793881580896,8.297983166530232,7.808769014269451,7.355130788909143,6.941925657684737,6.564451733422325,6.216513311641345,5.890404213518426,5.573942184424805,5.251249972949377,4.910135859524925,4.5532657968109085,4.206133184545364,3.914943396977775,3.7324159266820103,3.6958506694884634,3.8076233386014597,4.027824582889215,4.283725812365298,4.492559924573889,4.587238010593101,4.534401862807875,4.338036377696792,4.02990446971097,3.653296541932331,3.247792571733582,2.840222216312946,2.4423808029858813,2.053473121736243,1.6645231553347362,1.2630508565956131,0.8375910671558717,0.38185364344575207,-0.10206364203010636,-0.6026019470022858,-1.1010860643692724,-1.5774777232380202,-2.017963012660444,-2.4212684744687962,-2.800611656120217,-3.1798626927020273,-3.5846234534190744,-4.031301453178582,-4.5179416075228485,-5.020349621884659,-5.4957141323712175,-5.893456310556325,-6.170929522295253,-6.308814393495016,-6.320067672715934,-6.247529524534193,-6.148906214685368,-6.074283097196893,-6.045165640414131,-6.045063024287281,-6.026759561543462,-5.93354699010587,-5.7254084951674304,-5.398200514223766,-4.988258805054914,-4.561481951976543,-4.192865762485808,-3.945671621462019,-3.857249531040951,-3.9347576875557633,-4.158911433818573,-4.4915471485618585,-4.882784275518091,-5.275235890977888,-5.605702993671378,-5.807188542092479,-5.814934976575611,-5.578728245767647,-5.08021794532448,-4.349214237376225,-3.471073806297665,-2.5785526515894945,-1.8269276396787881,-1.3591255525793584,-1.2713532854669019,-1.5910410248337346,-2.274056353958318,-3.221702726942236,-4.3128816575734765,-5.441382533575041,-6.547228064431851,-7.631140534842901,-8.74493565830889,-9.959122307196587,-11.317326993854554,-12.795798760697657
7kg_10bpm,9BC,-0.6271130529084106,1.432442768411172,3.4831742250963025,5.335657469936466,6.847376640706285,7.92632941933739,8.53423379029214,8.687495279017016,8.451937497156422,7.928886533849671,7.2347209585094046,6.480123202909549,5.755294477200546,5.123292223986619,4.619103208581497,4.251063285977959,4.003495578411099,3.842121498998872,3.7242369346107256,3.6129039661426945,3.4904323798645693,3.364391654398846,3.2618156811578918,3.2136619720690756,3.2378415265943463,3.3301721339780213,3.4677339857030245,3.621570094320158,3.770295006491583,3.9063556990744974,4.031902786669479,4.147791688151653,4.243406693193117,4.294417582427981,4.270480323753462,4.148849444423754,3.9264882535768493,3.624024722063484,3.2790502334961884,2.9315837257458144,2.607974168702257,2.3098334155398503,2.0120955528154973,1.6705975859069162,1.236478716569235,0.6734227853203374,-0.026484747119210762,-0.8326225130482046,-1.675802056046625,-2.461403713009462,-3.0953833740707233,-3.5173387542876875,-3.729008629840072,-3.803921846320834,-3.868568621079293,-4.056793521521117,-4.452840518972199,-5.047869917226405,-5.73334457844855,-6.339250974797506,-6.703170622556714,-6.73937495802811,-6.475361523497917,-6.038714181932724,-5.602271281077438,-5.314508466294242,-5.246260961089626,-5.374364936114391,-5.6041937661937675,-5.815866513090579,-5.912096215086405,-5.849459147462532,-5.645129337918359,-5.361917240983626,-5.08127752618873,-4.874858084782936,-4.78278603355575,-4.803686651209985,-4.898395529303146,-5.00584270476718,-5.0660346098888285,-5.042151055774664,-4.933060764166259,-4.770158877726804,-4.59843237270045,-4.448595321658597,-4.3123678783879384,-4.1339420008013406,-3.825855335582151,-3.307303300812535,-2.55188102216424,-1.6247397979134046,-0.6904335905164628,0.0166596238468999,0.2512765999110267,-0.1749389255396165,-1.3407738406772371,-3.1953729387898457,-5.575120168383544,-8.247588582543909,-10.964795640314785
7kg_10bpm,10BC,-2.0534761129287173,0.3891290761915935,3.195486006958682,5.899119384040619,8.106667193639275,9.583843586287701,10.283205855897625,10.314498995893734,9.874560555614577,9.171226687840047,8.369692473397112,7.575447618308136,6.846913730310142,6.219889083449884,5.725882048087383,5.395693513889136,5.250431866977017,5.288854853669364,5.4798640131025795,5.7656063158667115,6.0741377063220945,6.336806529605742,6.503799189729152,6.553159489236493,6.491383411416313,6.346107643126486,6.153606270267823,5.944606071765888,5.733458895457472,5.514558601724403,5.267821051966356,4.970301597278951,4.608636206255319,4.186369465115205,3.7236806728062137,3.250386705983257,2.7961383806022857,2.3816706631865636,2.013675887460536,1.6837488376443555,1.3706796788894156,1.0452218905288575,0.6762684094377903,0.23761458657922682,-0.28609130264497945,-0.8953030867023111,-1.5744346021219926,-2.2936122412945252,-3.0128749539959836,-3.6882984259868294,-4.279163464913522,-4.755279974353056,-5.102738774383603,-5.326620255307297,-5.449360949197494,-5.505238891008535,-5.532759156837299,-5.567242175704729,-5.635308661176142,-5.7513168452221235,-5.91522132625909,-6.111467818015732,-6.31024503719557,-6.472898106817455,-6.562115356977118,-6.5547035447367215,-6.451766459176248,-6.28096968098757,-6.087711490794321,-5.917852653131779,-5.798584037776048,-5.726703301556526,-5.670184279001826,-5.584086332295922,-5.434053374531974,-5.217253263331301,-4.969726366160461,-4.755494835454823,-4.640100002132975,-4.659814076190749,-4.799977615600222,-4.99328826931776,-5.139837799495791,-5.141675521653586,-4.938937356137291,-4.53414715704742,-3.9969524973399095,-3.447897995223765,-3.028578021249108,-2.867874365881681,-3.0558623570717307,-3.63182482457173,-4.5880370616200015,-5.883005595467241,-7.454640083695383,-9.224727132098408,-11.092435840977814,-12.92386587306612,-14.551277991023856,-15.793228639256801,-16.497872400510378
