cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,86.82467146048519,84.22363991440241,81.19621931823185,78.46221087037965,76.66785835757638,76.18445004295967,77.0200644056565,78.86628523499716,81.21657638796476,83.49300865629486,85.16907725558683,85.8797146691796,85.48048534633674,84.02763392658619,81.70059050619479,78.72015082137706,75.29801827358352,71.61783863059401,67.83599240815134,64.0981029960156,60.56528044664813,57.431131797072176,54.90926489189599,53.189192624597766,52.38198561012133,52.48641404059397,53.39090313641659,54.9001799327089,56.76808476543065,58.73291992765706,60.56042014260316,62.08731923925036,63.24459935485038,64.04714375674868,64.56069479162339,64.87017249669239,65.06220120270396,65.21678905392247,65.39992414088,65.6564101537447,66.00483096601975,66.43463224037254,66.90861600885096,67.3777718307416,67.80788679411606,68.20459988589198,68.62091385962225,69.14069640482457,69.84347880623137,70.76374401092697,71.86247669014247,73.0289569912357,74.12066569578776,75.02757440621122,75.72735624730474,76.29842427925458,76.88133350046671,77.60967932717104,78.5475929340642,79.66302880649809,80.8432776986165,81.93892701924842,82.81543773206153,83.39516110518679,83.67859308907936,83.7386331633388,83.68891224104479,83.63788816616079,83.64775203806687,83.71424719142753,83.77260495946112,83.72491617644751,83.4792978099624,82.98771292360819,82.26626994145042,81.38526376432715,80.43142610376745,79.46612254584814,78.51203442655883,77.58207680928389,76.73005852600075,76.08526300164655,75.84483324978353,76.21866477324751,77.33861626388033,79.16749002021368,81.46014378846967,83.80073509076948,85.69246954828773,86.6789529045559,86.50003651271942,85.24022348215497,83.35138021327191,81.48141303828204,80.24833217912496,80.18346315103912,81.76315578850232,85.16888104605117,89.83151335139014,94.40274209036846,97.43148423604424
15kg_10bpm,10BC,87.48983084742002,85.74100248901775,84.30429487353594,82.92616133439792,81.55111056469086,80.44703972291003,80.03744790557532,80.5747516377409,81.92049106878605,83.59626972980934,85.03095786147644,85.80141163544553,85.74595790252619,84.95822273490292,83.70608144512683,82.32885139181862,81.13939635877514,80.3506996014007,80.03607774176145,80.12984139319668,80.46247525216704,80.8167543852732,80.98600703872005,80.82317853267106,80.27332780949654,79.37809269886507,78.24787897523892,77.01301068469463,75.78437082181102,74.6421173390035,73.64079102671762,72.80467399878755,72.11361177475851,71.5060536071063,70.9167874306473,70.32606648062621,69.78040581666457,69.36861231007133,69.17175525404903,69.22159813854958,69.48626919343849,69.8817700890108,70.295261897806,70.61155097077832,70.7379553631299,70.62397635940627,70.27150422560771,69.73227758987359,69.09385627278456,68.45873884652605,67.92312414031456,67.56058939358616,67.41395701591543,67.49406992399796,67.78339348438098,68.24083921415702,68.80729332499936,69.41212875492761,69.98156320868753,70.44789444361051,70.7580126488424,70.87969255074326,70.80637238685375,70.56026937218355,70.19355940100102,69.7845597158603,69.42779040925615,69.21852522227714,69.23552926305277,69.52428147234004,70.08198767879085,70.84485616958159,71.68541554833753,72.42781739946659,72.88639688547883,72.91771579117533,72.4683455215862,71.60131538863669,70.49564934458476,69.42632636315389,68.73892805148604,68.81871736035087,70.02953374445947,72.59365344140446,76.44036198476718,81.13300177094426,85.95387127506947,90.11865643166438,93.00177691661465,94.2791897302278,93.95377697215868,92.31482623083863,89.90678569817331,87.54325239308059,86.2469254487145,86.93384315230804,89.88834685072571,94.49912460948116,99.58559329993048,104.00015616034383,107.03516946642297
15kg_10bpm,10CA,85.79356781687348,82.68481942392363,79.92203675560607,78.37162738298098,78.72994972463388,81.25495657244875,85.59365395620925,90.86261840027201,95.96603659938775,99.96149984491848,102.30512824953415,102.9212215647768,102.1222489284621,100.43731109924519,98.4136574258797,96.4562494174577,94.76184492041303,93.35970886584647,92.20037128858183,91.2071939881628,90.26109768994762,89.16752810424141,87.67364943671431,85.55362064378124,82.71767968438034,79.27532456289987,75.50599816800245,71.75056383767665,68.2929493767878,65.30218571283716,62.85277571997622,60.99308490975057,59.811491957709826,59.44002571466762,59.9509345709816,61.18274179565967,62.64090324622052,63.6147483209478,63.490633503621154,62.08162020491564,59.77440331425271,57.398862301148284,55.87958427544532,55.84641841832825,57.39551637156388,60.100345078599545,63.227629055903,66.0133067975734,67.87227699227023,68.50470458455007,67.9243538313036,66.43644012212988,64.56158580013596,62.89109139605604,61.898441590165646,61.78925496856994,62.47258266209412,63.66339530707522,65.0484890648857,66.42356713015309,67.7368175226374,69.03276295630576,70.34895932548501,71.64245460476744,72.79570222116585,73.68905577061815,74.27772439258457,74.61603672713659,74.81885517223893,74.99219253615595,75.1745072994187,75.31509355567326,75.29714110026164,74.99860029315437,74.36998222846778,73.49499727124672,72.5999528924159,72.00062415517627,72.00395923885074,72.78922339331541,74.29630176451315,76.18172035054147,77.90638414633929,78.92812720778058,78.8905949508532,77.7340399942099,75.72448643864875,73.40847279566147,71.48771989748263,70.63486104170633,71.301412928533,73.54365608411668,76.88975205584238,80.37185395990807,82.8556752140665,83.5671775175228,82.49350186314174,80.3785586516047,78.27777496361396,76.89425382922444,76.12334383756817
15kg_10bpm,11AB,80.69846581956614,81.35508011259486,81.35183371413542,80.64522687118155,79.52392672304593,78.46971048662971,77.95322273852948,78.2595117538368,79.4146840854472,81.19592647989793,83.17413746436984,84.80114646738186,85.57053688097228,85.20151823247244,83.74181365028235,81.52864189581656,79.02960753625996,76.64070443612894,74.53187912364196,72.60833208364525,70.60173232855082,68.23875992166292,65.39491703850545,62.15684536962712,58.77550255849624,55.55531732179609,52.75123320224119,50.52655085789573,48.98005681865509,48.205257339273984,48.318550708204576,49.41353789096307,51.46648811252001,54.27077418304459,57.455351122110855,60.58056373982269,63.26953692347037,65.32373797336028,66.77167606368195,67.82360716170385,68.75287715229626,69.76437068852579,70.91127205752424,72.0880009370705,73.09101164410994,73.71756287658185,73.86250406145508,73.57441515239861,73.04902004988702,72.56428481504318,72.38474956569652,72.67170436354006,73.43018790164372,74.51130423601039,75.6722828910041,76.67412760137898,77.37574800897076,77.78190993469937,78.02232225179144,78.265966432248,78.60317628747433,78.96023000813511,79.11705649055378,78.83635599875507,78.02136116691663,76.79776439866752,75.48315194802215,74.48685556422402,74.20045115271682,74.89560114709013,76.61857663835698,79.11725979870604,81.87794939413618,84.28578523835812,85.82752746523923,86.2412248736409,85.56198885809586,84.06069734410043,82.11672121702237,80.09833714653101,78.31339400982218,77.03330065803964,76.53492238428377,77.09851365491643,78.93569700628349,82.05362665773221,86.08859559578725,90.20416958150349,93.20097604729412,93.9065772537661,91.7140242051954,86.97865346521843,81.00042320091893,75.56121281102916,72.35995229890426,72.71980720011362,77.27721302732473,85.3106010058026,94.5879069268589,102.36157672127591,106.71619181588554
15kg_10bpm,11BC,89.75852714705945,87.2803256043133,84.21211999749185,81.0879256491711,78.52591248664292,77.0476144768097,76.89981282568809,77.95657452634073,79.76892008728862,81.728491070989,83.26045648459629,83.97008577310855,83.72047872967853,82.63765506635899,81.05220147718508,79.38859653785362,78.02898032361219,77.19816045679467,76.91948017068248,77.05589271509983,77.39822504482906,77.74648911915786,77.95625698540114,77.95692685478382,77.7531324354328,77.40860526146805,77.00708554826011,76.60544534124391,76.20747017894587,75.77549270995458,75.26482798926992,74.65363030607334,73.95349032562356,73.20514186306339,72.4668333137504,71.79781718883437,71.2369953905391,70.78312319059445,70.38707736462453,69.96535000517939,69.43172356636204,68.73449441800605,67.88108406153631,66.940196641324,66.02193356402586,65.24816958871489,64.72433240792526,64.51918538160528,64.65279952495229,65.0949342545924,65.77597170068977,66.60956896441294,67.51812292940849,68.44945995150879,69.37751385505881,70.28896221937666,71.16435894405576,71.96514154308919,72.63437543867352,73.11239499572369,73.35923578913915,73.37222909792459,73.18911417586216,72.87726433695279,72.51607543466639,72.18132964821723,71.93462631826424,71.81679638300456,71.84410032080417,72.00909083782938,72.28824077059947,72.65376471444179,73.08285562274912,73.55732034001934,74.0524314202886,74.52121803806978,74.88361906213645,75.02929117872525,74.83867497617143,74.2231605787626,73.17669580445025,71.82168942117629,70.42473220621733,69.36607970480968,69.06890120183868,69.90565570836637,72.09151428813382,75.56720289223847,79.920415579711,84.42327389883452,88.22508677254976,90.62652562620121,91.3286714739128,90.56209806783662,89.06509887370581,87.8876478544334,88.03712386528868,90.05989558407404,93.80952818461142,98.56108541620151,103.3518692001878
15kg_10bpm,11CA,76.96983269702665,73.08248088004501,70.45533497502902,69.31726301964584,69.88888454024116,72.06623757493473,75.35925445895383,79.19012214900464,83.19149824794437,87.23944317733056,91.2795382775091,95.14255433143263,98.48944100808096,100.90273240268766,102.05095039554597,101.82825904675076,100.40092419930228,98.14781283594603,95.53376741915298,92.97721387798491,90.76145632645347,89.00831977361094,87.7037763977663,86.74913697818029,86.00988214778896,85.3445214222181,84.6128601641817,83.67875916449951,82.42651577415799,80.79616233643584,78.81955500321295,76.62694195861563,74.4068384013182,72.33246965649852,70.49276305529396,68.86658531600769,67.35470984560493,65.85100193340921,64.31412616521193,62.80366293800384,61.463326888706305,60.45803653014901,59.89369231844804,59.760611146387824,59.933804224889705,60.23375228649877,60.51393292720995,60.72179923330358,60.897040011838456,61.115497538771216,61.42355150843853,61.806455690645635,62.20194717089217,62.539769147304646,62.77841672850177,62.91879822395034,62.991295967840216,63.031464708799234,63.06825737563677,63.13371395180422,63.27653051746443,63.55800927801509,64.03106804986342,64.7153190975831,65.57597166903349,66.52184417892653,67.44479877903112,68.2858294396174,69.06749235292216,69.8548048876915,70.67823843994366,71.48481379799222,72.15219315574575,72.55716018824691,72.665645948949,72.59742861453823,72.61667456787251,73.0278017961992,74.01458119436943,75.51215489949975,77.19278251028472,78.57427930975349,79.19683781466333,78.80361172092503,77.47046662946578,75.63313007198242,73.97595791367385,73.19645323809429,73.72501613188577,75.51745269175773,78.02224303863078,80.36147622498306,81.67423475999092,81.48460034013245,79.91823191899714,77.64010201455531,75.52638536909491,74.25525200208689,74.06033116383541,74.74686302914947,75.88834522573251
15kg_10bpm,12AB,85.38552787142477,83.89411110423842,81.1695005435745,77.97025925311988,75.29744088877213,73.9982727542762,74.40549105272157,76.17261070268857,78.43787978717086,80.28148123296596,81.19652630900963,81.25916171560992,80.89831460212731,80.45827126084424,79.9131415933151,78.94706670606244,77.26731637782603,74.8571637894564,72.01104970098639,69.1843665788365,66.76897635830065,64.91206649232713,63.486813791933116,62.241222135526904,61.00213780191302,59.77500569497146,58.70674564609736,57.989740534419994,57.77466318813043,58.11446588566297,58.95402557999994,60.16579126759229,61.596676167320055,63.091458958599155,64.49352329347623,65.64519778499093,66.40540051380631,66.68685176232017,66.49746305524523,65.96308856245605,65.31824742337356,64.85984008186763,64.86229689998991,65.48216571499455,66.7190701960511,68.46371227303555,70.56651122194197,72.84556615104378,75.05158261471075,76.87509380988564,78.02655088961153,78.33371388241034,77.79679132312621,76.59514650536288,75.06219049526017,73.62543522723142,72.70307651210068,72.58176030120076,73.33283235755768,74.81305641944847,76.74669317738561,78.83901017695732,80.85815573893603,82.64644715963766,84.06773944272365,84.95049713541478,85.11798414882752,84.53644704423319,83.45206802216896,82.3181818749877,81.52308793964053,81.19551950637495,81.23917118265516,81.40712638799408,81.29456629180221,80.42784823664931,78.54896398146268,75.88941326671986,73.18394155867283,71.39446096570575,71.35325860698929,73.55400508748673,78.00947789719254,83.98819727555623,89.9270501299731,93.94826473386095,94.76378852027368,92.3191996947224,87.73284191358837,82.5919007607215,78.15188516571905,75.02602883025241,73.34117400275797,72.88448857954268,73.1752083053519,73.78977943221209,74.88975150780028,77.38246652479857,82.19539916691684,89.10574549665488,96.51048473286036
15kg_10bpm,12BC,90.7183234834032,89.69661227703247,89.18642386339073,88.6644932128328,87.59547214969787,85.8017570856894,83.55805355540879,81.41948700651243,79.93655626421551,79.41728785988192,79.84554090478122,80.95601087088289,82.37858273832929,83.75879832511734,84.8159965474978,85.35984044054754,85.30119794808381,84.67096865946789,83.62840952878763,82.42980153355616,81.34834198566935,80.57577020742876,80.15834570102643,80.00057516045636,79.92866372818973,79.77283571695337,79.42998111075119,78.88638955666748,78.19760274843921,77.44172287886032,76.6757810596176,75.92208114178307,75.18429912413606,74.46616664940076,73.77202203088189,73.09792486061946,72.43443127116421,71.78045816801763,71.14698594865071,70.541256022939,69.95044468601147,69.34674369615183,68.71136888834144,68.05524951174614,67.42251562267077,66.88024889900875,66.50341313955417,66.3577282221143,66.48029612497206,66.86414742213599,67.45728150181156,68.1792996928727,68.94670308787438,69.69220264322551,70.36984930217227,70.94855590222738,71.40258434332806,71.70733792281777,71.8433586410351,71.80541641452393,71.61007225848665,71.29666066595951,70.92121864671275,70.54604469961004,70.22849008881357,70.01222309532166,69.92360246239618,69.97360284871111,70.16129140403059,70.47380850215237,70.88322437352555,71.34779690304121,71.82367392902698,72.2821411259561,72.71748524202746,73.13405839261638,73.51776659123003,73.81256355403247,73.92552497438598,73.76717334372485,73.31021341376281,72.63660480061627,71.95324447412565,71.58145741761058,71.92365570988598,73.36999014145941,76.10429102189687,79.88831100316622,84.03408699123719,87.66509543108847,90.0981751869907,91.09822661126975,90.88547568820454,89.98948572759517,89.13328699158976,89.16858024767993,90.83069562594557,94.22957166496744,98.52783082460125,102.29390074810773,104.28529087401664
15kg_10bpm,13AB,85.43342918751884,82.27440420210728,78.75875856317161,75.6698555350408,73.6419031583096,73.02893801774835,73.83152008993322,75.71519578483358,78.09773531113655,80.30963068869094,81.82300764899644,82.44932519405931,82.37113804485848,81.9678447455118,81.54147192874244,81.12508151056743,80.49101516747001,79.3233650351906,77.41704701882396,74.77865339082516,71.59128327816835,68.1022457832895,64.53833416475955,61.111545772581316,58.08171708661454,55.78200856980284,54.54868715354671,54.59259917728166,55.90229628028272,58.2256220209049,61.11621748827849,64.02672274866698,66.4362773429295,67.98035026922486,68.53781038059927,68.24246434421165,67.41336144416614,66.43103303732731,65.61539425636191,65.15977482003646,65.13183529913077,65.50551046609942,66.18912847921692,67.04979820587403,67.94946580855276,68.78981007109319,69.5437234215221,70.25610261036144,71.01764543192236,71.9283984417945,73.06337494696386,74.44299453855032,76.0108341896667,77.62880953546856,79.10228359943113,80.23437838740517,80.88627105779008,81.0122140831914,80.65835256698809,79.94207992728374,79.03163597502427,78.12718009596551,77.4352508756958,77.13248384026376,77.31181033063422,77.9148188941507,78.70584197455752,79.35804864046428,79.61539896905367,79.39336598750714,78.75085232433926,77.80936043858712,76.71067645529592,75.61142282397148,74.6775622021407,74.07245305082643,73.93114822750813,74.30341881233353,75.08719479852304,76.01346887651268,76.72744301309106,76.95975856487048,76.72246814165862,76.41688334260967,76.7506451062519,78.44623865651195,81.82956309441943,86.47379650693851,91.13767246696146,94.17072399648346,94.27613213916418,91.22310966308095,86.05686319777068,80.67350277791068,77.14434067273717,77.2049883439733,81.57481992818218,89.09333484858635,97.02454348765886,102.66581612479668,104.75313304840031
15kg_10bpm,13BC,89.30875993418736,87.45000133045409,84.61446148517923,81.18038217441281,77.89477354802072,75.54999961916373,74.64825163607522,75.20808593632432,76.82609026968473,78.92107063733836,80.9800798185821,82.6906862145947,83.95688561776622,84.84385388088714,85.49587257162838,86.06127350729867,86.63938912285775,87.25382548578034,87.84682982347503,88.29238524165513,88.42679214165213,88.09651465379554,87.21391117032067,85.8016902829538,84.0051258460079,82.0614615444116,80.23513022562148,78.73657281179315,77.6506290411927,76.89944118415286,76.26567576017777,75.47466732329592,74.30593930313948,72.68188123628101,70.69732678563503,68.58109446316259,66.61473992511372,65.04748909003705,64.03971578673064,63.64288084877985,63.80332644570292,64.37958293996374,65.17183237567914,65.96588803495936,66.58031693012023,66.90008821532142,66.88597007815929,66.56434833259746,66.00987444635118,65.32982204229283,64.65129946020583,64.10616325961871,63.811747136964335,63.851194734051745,64.26019488152328,65.02370324376137,66.08105748481059,67.3373600854768,68.67869409952988,69.9900782797627,71.17292629748074,72.1583068469319,72.9132829935935,73.44019577081421,73.77107942976097,73.958765011154,74.06644993869178,74.15683801288012,74.28287685167912,74.48127997626456,74.76760148309853,75.13015552373183,75.52212050485686,75.8577993089352,76.02208230366806,75.89896270282372,75.41488409593836,74.58205981152034,73.52402099852728,72.47095946383075,71.72962347515595,71.63784654569771,72.50434996087498,74.51242197631628,77.59172930883604,81.3341863802271,85.05296509526706,87.9918460144096,89.57092911267881,89.5425718197766,88.00376448246806,85.32787965134317,82.12614677249647,79.27778864502852,77.87104212645339,78.81715650039769,82.27156711299811,87.46311999601299,93.1726742255288,98.33614031454292,102.31872737480982
