cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,37.704392315097834,36.07068098865545,34.78310015021629,34.339310439358485,35.00134332707286,36.66058966404297,38.906654868113215,41.20620549327966,43.06015937764143,44.11145973223263,44.20908759786108,43.41544662275089,41.94921353649026,40.08565940747175,38.06098885521031,36.02327632637313,34.04148065137032,32.151653574317145,30.407073276170333,28.903141139203818,27.760405420982924,27.071566989506234,26.843740530500863,26.974613240315573,27.280724764592776,27.56365701764174,27.67879808160049,27.572917840852686,27.277736256911258,26.872370598019348,26.441214636617033,26.04884279853061,25.73696594368043,25.53311142683973,25.456527993456373,25.515513129487275,25.70265373597886,25.99766906750167,26.37922414291014,26.836844336818615,27.371885263390148,27.98409023582529,28.652088363562843,29.323798187185005,29.929382310180944,30.415519180932513,30.783895305632356,31.10959011297149,31.52232428778225,32.15384426975252,33.07684972757022,34.26735176709838,35.60750215881359,36.92577162533726,38.05966779023846,38.9182965190048,39.51566810652018,39.9520413010455,40.346643988517556,40.757134276508914,41.13284975686849,41.32960655808268,41.181228080572474,40.59686972133658,39.63802853109298,38.530149932611835,37.589134537874564,37.08750762271915,37.129506934103695,37.61397601995982,38.303711407978994,38.93752427604895,39.31466840064241,39.33585961131339,39.01401104878728,38.45835741649426,37.83043884400555,37.283140456493136,36.90580499435278,36.69626367305707,36.568151537743674,36.38889476169972,36.0363482574777,35.45811975889473,34.71319853982254,33.97473356967138,33.484320197801026,33.47119525924661,34.06763220653103,35.249265560196704,36.818716511750694,38.44995169751591,39.79805179258833,40.639489705570256,40.97874971792708,41.072172006423905,41.35999497068892,42.314233165811125,44.20588597218868,46.86672737384519,49.651360556372985
7kg_10bpm,2AB,38.78368399415144,37.94340227996707,37.427561246336644,37.41112541234615,37.81782785430472,38.48317996195591,39.261341887165024,40.020094284020594,40.599342690105885,40.81539726003594,40.520365931730524,39.66713409012415,38.33140368663891,36.67909899402134,34.90444660714899,33.17325754579176,31.59615537991351,30.232501392473768,29.109609394647578,28.240000626267083,27.62740747560993,27.262217476913936,27.1129350749068,27.122535022090148,27.21595161340573,27.31859301743093,27.377491102732904,27.37458432128632,27.325988533273243,27.26842061201057,27.240329946380918,27.26639218558557,27.352095953907906,27.48910936937912,27.666578524484148,27.88124833777474,28.141298666831204,28.463225882807016,28.86391002620668,29.35132394915494,29.91709360929354,30.533846279465397,31.159465414418037,31.748009087264624,32.26467158173338,32.69929310578282,33.07226161667061,33.42874859268759,33.821890624878236,34.29207281175448,34.85133882577056,35.47918177115638,36.12934146831329,36.74284164432302,37.26277982583087,37.647683951675134,37.88161865753637,37.97925628370519,37.9838590764155,37.9576198035645,37.96592234974391,38.06058215324847,38.268221898482295,38.58589485410109,38.981499346675164,39.3964991904527,39.75406544749275,39.97744709462649,40.01457688908301,39.85649295382597,39.539601222135246,39.13340066456511,38.72324279366051,38.39289195182145,38.20552417551788,38.1837340925669,38.29571507393934,38.4563415255828,38.54421401555281,38.43073280959412,38.01718494165278,37.273343716061625,36.26603627917994,35.16113648736855,34.18942211550861,33.5871266417955,33.536411533906296,34.12739455875353,35.34179181983704,37.05455491686032,39.061940935562,41.13444712629652,43.07145706851722,44.73094762964695,46.03022053908239,46.93568046935556,47.460152730724964,47.66945121490945,47.67983777383969,47.62294558112936,47.57930117603685
7kg_10bpm,3AB,39.777558591918684,38.17354223757676,37.512723941994324,37.776212061473394,38.68549269449469,39.92542363776181,41.230356735887575,42.35330292788038,43.03726084037211,43.05194933900459,42.270104095461164,40.7222507775618,38.59579223019582,36.178911961451995,33.77822381353721,31.64284331362802,29.9184292502762,28.63781169440326,27.743028052157147,27.128412545173518,26.688208658283422,26.352208781297954,26.09695366365284,25.933375762537988,25.881129884269413,25.94498860197414,26.103789333526706,26.315326467430353,26.532032816984373,26.719012849817926,26.86570864902837,26.987051874851662,27.114477507733437,27.282569357440956,27.51776227761007,27.833464010272678,28.230526400867532,28.699334581711835,29.220507918170966,29.76493059725838,30.296098004943882,30.776323953289065,31.17558193671083,31.479229581581496,31.691670756295633,31.834725440228222,31.942580029537087,32.055883291702756,32.216928080407634,32.46588694406804,32.836598248553145,33.35082527017623,34.01137295372665,34.7967450335757,35.66011202795216,36.53485775731908,37.3465963060983,38.02856240014349,38.53480327565843,38.8449787212974,38.95865318075277,38.883797067280206,38.63032610941709,38.21648756495252,37.68434129806155,37.109928242824616,36.59362048271344,36.232466310760934,36.092072468336674,36.1971183282196,36.53883015083149,37.082994381567886,37.76928456883092,38.51195698969753,39.21472287374035,39.79437719942464,40.19669230067533,40.395662641072285,40.38538219600179,40.1782684729227,39.812501332304606,39.35777443295607,38.907135114595846,38.556801635850846,38.38641241532819,38.44859516047448,38.76011170271646,39.284856562206436,39.919287817783925,40.5084730321188,40.90446849216326,41.038227291056515,40.95993893271153,40.82335231096671,40.82969620420853,41.16287738381668,41.935854665476256,43.14923840729025,44.67766747984683,46.30659646008965,47.816106748446884
7kg_10bpm,4AB,38.753842574826045,37.47987521076776,36.685273559451886,36.60279059219061,37.2782539470194,38.57308296483617,40.21539036570675,41.8671223861969,43.192140531729855,43.91697858221922,43.87782639950696,43.04266822561183,41.50488125332502,39.451217249975386,37.11387327308995,34.721061796260706,32.45749370891295,30.443945213605044,28.737039121477867,27.345496250398554,26.251986252785816,25.43066670492056,24.855116814600947,24.498161552736857,24.32871938592571,24.31036862918828,24.403240296394138,24.568128542020283,24.770572288995115,24.98413744234859,25.19347922307212,25.39760579172296,25.611707192154753,25.864575210034836,26.190445096924066,26.616831408041662,27.15312724503233,27.784324890589573,28.472383690380433,29.163633523727682,29.799215572622213,30.325813872085124,30.705306819273638,30.922399795713794,30.988451806531405,30.940229326077954,30.832996418728197,30.73024513964422,30.693221007779425,30.7732470085335,31.00776768692214,31.419160702852714,32.01475156444032,32.786641305965,33.71112023327659,34.747953342274776,35.84059151472233,36.91936406803649,37.90890378488184,38.73990882574255,39.36282126598503,39.75990484089659,39.951582582322054,39.994089299474325,39.9683668449641,39.96214291171228,40.05000460207955,40.275863242770825,40.64275409554704,41.11192517603736,41.61033594190548,42.04254374561147,42.30497452143709,42.30513852375908,41.985218700366616,41.34128049634216,40.42450080665525,39.32422770309233,38.14775544694828,37.01350563876911,36.055447465991584,35.419869373952764,35.2428291243059,35.6178728243627,36.57117612534323,38.044336961998255,39.87673809539543,41.79849705286103,43.45785297817138,44.497536987888964,44.66293485155934,43.90863459757335,42.46118944636678,40.80482161616608,39.560358388087955,39.25081544443158,40.050573348559176,41.71721858196158,43.78325497834049,45.82457347066808,47.61000034883794
7kg_10bpm,5AB,39.18846075859434,37.78096801141196,36.827220356011246,36.47792092439616,36.69727126324892,37.35633802937984,38.294056238185064,39.32348339835372,40.23329339603354,40.81921546690781,40.932304709251156,40.51168493919144,39.58825770196568,38.263445964598056,36.679037547932886,34.98870837917777,33.33685138521122,31.84350818479939,30.593321256492683,29.62723872351095,28.939290423892132,28.481538591692214,28.177685286548094,27.94308601856405,27.705452394706036,27.421328575306344,27.084187581932277,26.7231731002426,26.392428793870984,26.154129010191767,26.05893063811876,26.130436969171217,26.359543540985804,26.71215607101794,27.145888477651013,27.627456128792677,28.141938214968903,28.69089751399415,29.281665398948665,29.914429349730412,30.573154029087377,31.22401329875987,31.821165090878264,32.317817870412384,32.678845004332025,32.891210271218505,32.96844276026311,32.94765722371782,32.87952550903479,32.81528595914069,32.79542528212457,32.844212543097086,32.9708478456637,33.17550117065154,33.456122384718824,33.81249152262006,34.24569468848688,34.754128085267176,35.328915181768856,35.951126346338455,36.591453029237286,37.211905683787215,37.76985832492792,38.226129320365644,38.55733956214205,38.76871209074424,38.89882107387002,39.00943929094044,39.160880146946184,39.384918635955536,39.67042849925211,39.96929736454874,40.216257290890844,40.350916872543834,40.333408737820164,40.15192359904167,39.82294471767041,39.385769317218646,38.89290476796274,38.40032473555241,37.96085904914993,37.62166253596546,37.42300441625139,37.395091575381635,37.552320170540966,37.888598972764,38.37848747311561,38.984603161017795,39.66665154610723,40.38647519279192,41.11017378070631,41.81396932784616,42.49634055744953,43.18516496302238,43.92404983892165,44.73751107757202,45.603238753686796,46.46156829355033,47.25861691169932,47.97955033600436,48.63456447824537
7kg_10bpm,6AB,39.51914920920923,38.013092457151224,37.29444771495193,37.5709902686263,38.69888353587703,40.30419709909688,41.960189257515715,43.29471547226864,44.022115168519896,43.956345670467634,43.03196104666984,41.32087679746612,39.018716832879036,36.39589743088957,33.72924480627547,31.244990845217494,29.095204751517088,27.36406500962949,26.084257122298553,25.24463310193008,24.792660661712635,24.644529331460916,24.706039514116036,24.8921483444062,25.134573054255373,25.379134761984854,25.58360277895854,25.72229605416684,25.79454090745388,25.827536727871113,25.86866879874138,25.96916342002588,26.167678837333806,26.48106413545981,26.904311773423142,27.416204546571652,27.985911262661936,28.577755748811203,29.1543732069453,29.679787756995484,30.123660228034677,30.466737589999898,30.705798592635805,30.856205043878408,30.950167971958777,31.030993198118068,31.1447722671612,31.332248363609214,31.622874160100302,32.032216921290605,32.5620612843393,33.20233274441114,33.9333850123169,34.72841197594462,35.55575185344679,36.381163497420616,37.16933954463369,37.88405392928948,38.48732117695431,38.93951701993056,39.20287471740281,39.249402955426504,39.07116085575937,38.68928926659728,38.15694368296849,37.55472644611058,36.97855684464413,36.52347461753602,36.26650924147524,36.251831460542384,36.48146649585072,36.914866789442414,37.4794849590699,38.09045714146281,38.67312222492395,39.17973959434871,39.59508612247235,39.93016296634534,40.21077426300213,40.46827985129741,40.73622456319119,41.04826356973996,41.42975926238473,41.881299798585815,42.36393906889024,42.800193435164886,43.09633448982788,43.175787981669046,43.00496829402202,42.599624865560344,42.01119732033329,41.3070505569203,40.559875948481924,39.85435176665135,39.302420338497186,39.04550334425362,39.223171422158195,39.91263244340435,41.07527321942244,42.55668505288247,44.14560922673194
7kg_10bpm,7AB,38.54526301611026,37.34512107698761,36.75289387442923,36.90119192386125,37.76987093814119,39.193810254158926,40.88657631996742,42.4890176084884,43.637213148633094,44.03698017926907,43.526454997107194,42.108529041876544,39.94331577799439,37.30399755635548,34.51264852273427,31.87308057076866,29.61310885672249,27.848275303675845,26.57711625904212,25.70979616250995,25.116758322081708,24.675912048995073,24.306388999782957,23.98601720979952,23.751327805192957,23.67956307047548,23.85548768346592,24.33333804423131,25.10918955124743,26.114722872831603,27.23388634998802,28.33358786421162,29.29600830737474,30.04257307305695,30.543137902830864,30.810145742618438,30.882661374618777,30.80800550847429,30.628788026531318,30.37925356804539,30.090027259924785,29.796129211236707,29.541802917267514,29.37827272787909,29.355074962161513,29.510195403370226,29.864724606082437,30.423738695088726,31.179352525099482,32.110230010391085,33.17697054618174,34.319355980619086,35.46162677404534,36.52512633508593,37.441747154875884,38.16182045031905,38.65532598888398,38.90855955479527,38.9192451174665,38.694954376009704,38.26084054484865,37.67730075421276,37.05468992144689,36.54527695630071,36.30406188875297,36.43620984960257,36.96318991105995,37.82265931416788,38.892185595404456,40.01963441900736,41.05348999235052,41.87112439564207,42.39811141919996,42.61182105874096,42.52980600202365,42.190727180334065,41.63802004619086,40.91252881545763,40.05557580617989,39.12007965561795,38.18397187799956,37.35776648936062,36.77716775827061,36.57563451591496,36.839306201296026,37.55659651743829,38.58641786473373,39.66894506821604,40.487968597561185,40.76832169234215,40.37140749192251,39.354212962829386,37.972367331433965,36.632022963292826,35.80829904914382,35.92887908801868,37.2163189525343,39.55591434404702,42.514407388190065,45.5319721749931,48.15475827011245
7kg_10bpm,8AB,40.66326005553057,38.54832286517592,36.99195611355771,36.412360403576244,36.886327661424104,38.20778728368868,40.02924610055475,41.95003178920533,43.55632685008404,44.47417060324579,44.44595824063808,43.39460888332485,41.436829132732385,38.83959704545514,35.93844500426781,33.05300080665557,30.429751625352782,28.221101136833266,26.491565294827137,25.235630792836034,24.40055239600956,23.90932647257293,23.67733587781344,23.620762760302267,23.66283834325201,23.7444165006809,23.83659624265142,23.946579871241376,24.111579762983766,24.38247360586729,24.80469595306145,25.40270636702227,26.171034796274455,27.0724983245106,28.04332702618097,29.004874862922748,29.878954682037627,30.60268606367805,31.138890599439215,31.480182304116965,31.64736978537066,31.683392330070934,31.644906583196036,31.593280872345055,31.586532097467913,31.673291496792643,31.888914221322395,32.253659075274136,32.7723095567487,33.43438111056496,34.21433983228112,35.0719148226274,35.95380280929287,36.79823710237118,37.54218145962611,38.12942720294021,38.51704202282785,38.6792376091311,38.6101606174475,38.327886015965674,37.87972076268721,37.34418591075185,36.82280346702642,36.42008980016087,36.218009584389776,36.257243087103774,36.53285329839714,37.00339757080786,37.60663460489115,38.2753807675991,38.950533612727085,39.588890956848694,40.16406668047959,40.659873662263756,41.0588633851544,41.33155222390506,41.43256122433294,41.30780020887309,40.91240331835335,40.23508849674287,39.32043799488983,38.28027259815908,37.28543055963791,36.534960074748156,36.207828264916074,36.41136360870552,37.14520368640739,38.289609961966086,39.61906870748365,40.839442580582464,41.651891101586386,41.84159848162219,41.37107532728609,40.444458899837144,39.49206959814037,39.03463739562281,39.44474440627465,40.7541972944587,42.67572003737082,44.80237945485154,46.79804062002167
7kg_10bpm,10AB,37.9937655503035,36.33616890784775,35.70934347505092,36.56073615021706,38.62882909821299,41.166013214755516,43.333531225615985,44.49247180886729,44.328337424653625,42.86095040902251,40.38912758106903,37.38519477941344,34.347223174357694,31.64984339219247,29.460009932195312,27.754682267460115,26.4159343003468,25.343318042192838,24.526980294718136,24.05157798558586,24.03960418718925,24.57498925895277,25.65176309544166,27.166391020066786,28.94101995587411,30.75592673453234,32.3819075157176,33.61486306464726,34.3130009168642,34.42799654936254,34.01690665104631,33.227066871518375,32.25762034399667,31.310140110026666,30.54228912517357,30.03519096536164,29.782220650009197,29.704180268472648,29.68833527672722,29.636997377708777,29.504868135248326,29.309991446104476,29.11659014717872,29.001426678653104,29.023067939639542,29.210116907774722,29.57026825930531,30.108546818302592,30.8402250580874,31.78883114500185,32.96704450356192,34.34714684449432,35.83596753961276,37.273106678418216,38.46537051825965,39.25082486328145,39.5630242754318,39.46101840227817,39.10828869483513,38.70664049764869,38.40958693581496,38.259137310682114,38.192355898902136,38.117154933535325,37.9940863458562,37.86026992707805,37.79334442692872,37.86041778438333,38.085300130381604,38.43516889027855,38.824789405922026,39.14410828274308,39.30130810388516,39.263472375958344,39.08487469982622,38.90495257253953,38.89232480147043,39.159019991299246,39.706326564504586,40.40971015448539,41.017766822519704,41.20768252816341,40.735961237229006,39.593906361558794,38.0312468625118,36.431351072266835,35.148905834120356,34.41431652361138,34.31628892943185,34.823407279834015,35.81299769417048,37.09674566927702,38.449694356439004,39.64123923305035,40.4633168135726,40.775010022877666,40.560057769081816,39.93254537469035,39.065505787431746,38.131889211434476,37.31775681639063
7kg_10bpm,11AB,42.90172829644626,41.203667528377764,40.01784422598028,39.98892318828866,40.967894322006856,42.38214003879844,43.58846454772052,44.01141525906721,43.29623933054519,41.45436500178119,38.82615115657519,35.87006151660863,32.95798009515089,30.31175117326616,28.056282620530077,26.282129404673775,25.055727308325427,24.391309377698832,24.227066952314242,24.43220522376912,24.845970085629688,25.33322611212681,25.830799615994533,26.35747200373657,26.978808170214517,27.747963993368487,28.658947704586172,29.63583217168084,30.556170114126434,31.29192519979858,31.749239311804846,31.892121471375425,31.74343667432273,31.367939605607102,30.84963406676601,30.274936928783887,29.726386831625653,29.28364364131749,29.023539892686966,29.012800427855,29.29502403622633,29.8801174057656,30.74280844956875,31.82972170647562,33.0698473554492,34.38412455288047,35.693044699915255,36.92326622812473,38.01420853969933,38.92382898024867,39.630692943952184,40.12955540322744,40.42179992692317,40.50747639807828,40.38599659335068,40.066311638575826,39.58069769609283,38.993888510495395,38.400148432519224,37.90426486557168,37.58960786495514,37.4848433764633,37.54533575599056,37.66274356882573,37.70537903561232,37.57470986303636,37.25041299391058,36.79990964578825,36.34833994078848,36.0254525347269,35.91122663405692,35.99745911609743,36.18207773836347,36.30985851688444,36.25276542196722,35.99303369192786,35.65709910153177,35.4734299878454,35.68657828834521,36.47823606849052,37.88033656432826,39.659924977189945,41.29080023906967,42.14052424705643,41.78997447958399,40.266449628715925,38.04656227367341,35.83988697405497,34.28412056668604,33.714420446713255,34.09922199704873,35.12351561315512,36.342852272329814,37.34204840324164,37.86484931861122,37.900183273173305,37.69980390090208,37.6741684024341,38.14862179891718,39.12913359908514,40.316592632991345
