cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,46.72326204895129,44.70675132840231,42.54943246182072,40.751907223647535,39.65181787054645,39.31053551423276,39.54217269847368,40.0379991268923,40.48562484592667,40.63453605513877,40.32586270503849,39.50676700829055,38.232540503476216,36.64800258904081,34.94975466954736,33.33665311950033,31.964109272568386,30.914955762254145,30.19589047005627,29.755574470884447,29.514427977221803,29.39287585259585,29.33074321560281,29.295275768612832,29.279335629489225,29.29236626090862,29.34883624325376,29.459039364472492,29.62538190583351,29.843513349796016,30.10537552056015,30.401373041042046,30.720986797276307,31.052769529773602,31.384892776717344,31.706866744239473,32.01226181011684,32.30168140148306,32.584419296103405,32.87744614308532,33.20105179078155,33.57230128997906,33.99843608992043,34.47261898241938,34.97295915299121,35.46485772351347,35.9058550335851,36.252042588409005,36.465132600734535,36.519228342503396,36.406454614194715,36.14036327999388,35.756296650811294,35.30728653636293,34.855617630943726,34.46087493423496,34.16756459241114,33.99580116622649,33.93896609613285,33.969063779615986,34.04802498406856,34.1401507281052,34.22146679053906,34.28351143088392,34.33195350009492,34.38125445232881,34.447239370103404,34.539545740115166,34.65650142539869,34.784198537662235,34.89994063528684,34.97809513491123,34.995984321256984,34.93828238767684,34.79956031194828,34.58479645496186,34.30775926515833,33.9881022881182,33.64911491638835,33.31802776812597,33.02774166170587,32.815692746629416,32.717084298485915,32.75732928205173,32.954687513591274,33.33737591014126,33.95817572897289,34.87673786875982,36.09940831894343,37.516320207484746,38.89948002638993,39.98211612491161,40.57304015929549,40.63663681943791,40.30054391207753,39.79389061363621,39.356419371528695,39.16481086827903,39.302834271047516,39.76946147407511,40.51380682284342
7kg_10bpm,2BC,42.485552588989485,41.47363984702808,40.602972493014676,40.06396539785448,39.96239158581862,40.28858073060711,40.92343563616563,41.67272617390258,42.31503652980472,42.651590070114615,42.547446806914095,41.95595508352489,40.91981781851163,39.55342472970542,38.01143636293177,36.45450732895264,35.0193314634419,33.79813249779118,32.83040681566343,32.10766417258626,31.587861071925914,31.214426872807834,30.93238857540101,30.69769384913646,30.47976850820973,30.259811030618224,30.02822851929237,29.78287146040064,29.52836807339327,29.27591660716476,29.042594845303498,28.849788640914547,28.72053474746303,28.676191818654594,28.732927719106023,28.898314262100133,29.168533967973342,29.526719302332037,29.943527283614745,30.38087794762272,30.798555637521673,31.162201504497524,31.45043029971234,31.658706333789535,31.799390425215265,31.897737759221464,31.98539912551184,32.09307193060719,32.24421985626025,32.45124332938258,32.714726732468485,33.025012754891996,33.36533822816827,33.71531726489699,34.05450001855324,34.365817940631885,34.6386375437127,34.87078517793967,35.06849844652238,35.243580853915994,35.408357690874915,35.570442846356364,35.729906439486,35.8804035691886,36.013131457229555,36.12118889315099,36.202130729290445,36.2580785881769,36.29393542903408,36.314353145601416,36.32002273893127,36.30447616494129,36.25374428565217,36.15061578275715,35.98335790807269,35.75586691953794,35.49442564829359,35.2475356437244,35.077669283789845,35.04703087813953,35.20175808185982,35.559499263248966,36.10268790200341,36.77889976325051,37.50624536244568,38.184084713122274,38.708606984824534,38.992675843354434,38.986563589879786,38.69402915526841,38.177421512600716,37.55093611585784,36.96403686384542,36.58368019067212,36.579372948570764,37.10785824001807,38.28791417829524,40.16281285389046,42.666795114781074,45.619627125915244,48.755619449678015
7kg_10bpm,3BC,45.651523146437526,44.360851700194424,43.15894867122257,42.28069496234228,41.87022569675324,41.94234621462905,42.37803608382132,42.95963478501036,43.42970784355288,43.55594820794676,43.18443402386168,42.26815885169163,40.86913708258089,39.13473799791815,37.25924036890633,35.4404232820292,33.84144164974524,32.56532346553,31.64462786682084,31.047835571641055,30.698358790999773,30.500164313751647,30.362084608829864,30.214962334687094,30.019626201448588,29.76629680672012,29.46828397777549,29.15329915799507,28.8551133046713,28.607014332647903,28.437011512968077,28.364538463594688,28.398928501361745,28.540049712373996,28.780716512359973,29.109121777771172,29.50986243556059,29.963478841392334,30.446158839502207,30.931273312446564,31.39328665909675,31.812868454638277,32.181138679171454,32.501477254645046,32.787897333878846,33.06070517851779,33.340538556163864,33.642642321748305,33.97305588642185,34.327474012864464,34.69291063129011,35.050708798240116,35.37968307914688,35.658628261416965,35.86891795743258,35.99840013775655,36.04633606562412,36.02740276920372,35.971019154173376,35.914713992363176,35.89332589348627,35.92888715228277,36.02550842507386,36.16942193973268,36.33242098134213,36.47663707375651,36.56104156569688,36.5497126962775,36.419678636959965,36.165229415100896,35.797371912867725,35.34151484274735,34.83722520892833,34.34053420199558,33.923678757925735,33.66686269622632,33.64325849157268,33.90567632242732,34.48109210995948,35.36655826690211,36.51404698819933,37.8062751127066,39.047563287556976,39.99590558188427,40.434575235596846,40.25379209087289,39.50433715101654,38.39576029084024,37.2394597616062,36.357834333289844,36.00184563013506,36.30995354517225,37.30788074964136,38.92918408892312,41.03969639444874,43.46812202320659,46.035822855328554,48.57352505456782,50.9215025981284,52.927028778297355,54.45639350149934
7kg_10bpm,4BC,44.4697984319646,42.542683321213204,41.255876868354434,40.72263427944566,40.86660197786623,41.47792350640405,42.29381343381004,43.06019560094703,43.56251625676798,43.64179320036614,43.21001518105644,42.26284356901685,40.879969214654395,39.207672439013514,37.425399821342886,35.70675732528935,34.18573194075639,32.93634770330138,31.97085854526377,31.25287877909183,30.72022987873324,30.307263191373497,29.96009847124684,29.642502430685873,29.33439348311796,29.027581190472773,28.72216614592972,28.425209090221955,28.151207033722557,27.92285818417577,27.770481329738253,27.72865144770367,27.829743010811434,28.095356169047488,28.52780151424803,29.105094424414602,29.781114407881002,30.492143062912803,31.16759059930601,31.742304458346535,32.167324008312534,32.41647775321458,32.488111192236175,32.402034334596856,32.19336295677275,31.905361718788345,31.583170103834995,31.269686881807743,31.003749855071444,30.819913669052763,30.74891996185123,30.817795372995683,31.048923450305946,31.45730251316039,32.046135393966594,32.80149609139497,33.68886512030594,34.65350840279574,35.62588447992977,36.53045814540174,37.295778261328124,37.86438313015159,38.20192129889501,38.30444790249063,38.20200913279278,37.955225282792824,37.64426334081624,37.35134044179546,37.14155304988969,37.0473809527154,37.05969969719777,37.128167602973775,37.17069551659706,37.09294408089356,36.815112154002605,36.29995892481044,35.573854316853875,34.731703739958675,33.92095349990054,33.307364427538005,33.03364167268413,33.1863712224368,33.780140396666376,34.75347836275887,35.97264510416297,37.24506015719797,38.35312094937284,39.1059279105312,39.393028088518946,39.22187255860128,38.724969324455834,38.14148914863442,37.781450217361176,37.976589017717195,39.007579087492,41.00841393797409,43.892914670734854,47.363527132032345,50.99969725645713,54.372437709558945,57.13301704302691
7kg_10bpm,5BC,44.84423208800871,43.01135762428928,41.597474095433164,40.795579838506406,40.63279885344807,40.990148099223326,41.65441745894,42.376943133112704,42.9210802944844,43.099083950762534,42.800822930981326,42.009318486979545,40.79948505953567,39.31634076452484,37.73986020768828,36.24450276158724,34.96363894980656,33.96591853044598,33.24813430962264,32.74848011298874,32.375879074088516,32.044679950420075,31.69963579327076,31.322913411076804,30.925035043926254,30.528374944791544,30.152798138814436,29.808065252750463,29.493175686377825,29.20068053813712,28.924057868124546,28.666084829914112,28.44481066934253,28.293816004982865,28.255163649315616,28.367061624175463,28.65111156318283,29.103770708100893,29.694958122512677,30.37272643058173,31.0720116203504,31.72482027540628,32.27036412086084,32.66425796938242,32.88541104526337,32.940018029832665,32.860837844368724,32.70182519798842,32.527873575170844,32.401973825350254,32.37306323005822,32.46796849172505,32.689918094904804,33.02200116679343,33.433291546357424,33.884659421885935,34.3341357195487,34.74219466944187,35.07679544340276,35.31693356618804,35.453406926516436,35.48773016317372,35.430789560408726,35.302650289074826,35.13244518030908,34.956661287507366,34.81453200168075,34.74114661349512,34.759644478300224,34.87416876765847,35.065778038347275,35.29318538911562,35.49942617317361,35.62273864373746,35.60903738524614,35.42369407140188,35.06232659185574,34.560190323466614,33.99762057581551,33.49661780039334,33.20593321028696,33.27826321693837,33.845169767450436,34.988296600657876,36.69822862775114,38.83084316168021,41.09405776455939,43.09907183354362,44.47125070644593,44.98294165529533,44.664353200154736,43.84288396453085,43.07479767453119,42.94325583786913,43.78825996784818,45.55421326538692,47.87265714064572,50.28139858417281,52.389864797800826,53.93248158043133,54.75848774120898
7kg_10bpm,6BC,49.4107037411156,46.5971593218503,44.039677411150635,42.26255131784717,41.39243150162473,41.21354136146749,41.390068782869776,41.6503089410459,41.8283959017143,41.82143614396044,41.54945436185532,40.956487162948676,40.03509894771853,38.84160246528954,37.48466207824562,36.09457188214829,34.78981399284034,33.65500096881093,32.73289073604016,32.02744354524283,31.51159940869893,31.137451558571296,30.846802861045553,30.581602215324615,30.293125083497312,29.949564990913654,29.541243641414916,29.08321199790381,28.61366487984101,28.187959100264116,27.8678985426177,27.70830405200776,27.743601084300852,27.978414715958117,28.38464203353305,28.90665082055834,29.472576963964702,30.009117975487538,30.45579687674454,30.77573122854648,30.960750228691463,31.030065576030136,31.02263361873448,30.985277753011264,30.959601988406682,30.971647868572934,31.02779062774431,31.117891042468592,31.22449827545686,31.334183204193675,31.446787268795937,31.578767437119755,31.759661345231322,32.0227624097477,32.39382472521037,32.88179647346521,33.47443981948068,34.13969845718209,34.83203418965884,35.50174840267685,36.104609551781955,36.608992911336955,36.99847384193185,37.27033558709718,37.431765972761475,37.49633243027344,37.48184645233138,37.40904357130727,37.29964546426758,37.173020355929985,37.042223576531946,36.91136057659406,36.77578049982402,36.625649206931584,36.451932635101194,36.25299349931768,36.03916084270013,35.83357390101502,35.66882286511838,35.58139830010582,35.60570000436646,35.767848720269235,36.07757618670135,36.5184106238486,37.040456688550556,37.56430256067043,37.999648511358735,38.274090500405464,38.3596865984491,38.2874259428952,38.15073010611738,38.10732021079149,38.37852662776887,39.22021721738342,40.831065015485585,43.22031153935396,46.13632454983348,49.127065685592775,51.69713505917849,53.46204177327324,54.24028689883382
7kg_10bpm,7BC,48.86445849062308,47.56997878350856,45.73176747682441,43.81265562406388,42.23364698735534,41.242100287694434,40.856425246466536,40.89477301532706,41.06064177095236,41.04737546038597,40.63189399743791,39.73363571372103,38.4211355559696,36.872071904288596,35.30718543117565,33.92494634464411,32.851491382559956,32.1138000803873,31.642852851269407,31.308405162675,30.97324321602351,30.54128367906031,29.981657018044622,29.324636198468315,28.64033138994657,28.01337710189008,27.52294957603118,27.230144048407723,27.171266862732814,27.35692177579324,27.775997591689535,28.401302317285854,29.192445597920386,30.095694038060646,31.045330951926683,31.97067315695939,32.80834042179482,33.515012032602336,34.07472140230817,34.49752645805446,34.80955843527166,35.03877690658945,35.20207703534234,35.299440726702386,35.31748579831345,35.240884496413926,35.06640904239207,34.81313109034271,34.52398397165779,34.25753271868173,34.07350178722302,34.01682851572018,34.10435433158585,34.31623147036929,34.59629599574204,34.86631468424176,35.05335351526438,35.11932516899846,35.07630042280303,34.97986254984443,34.90595018694874,34.926131235057774,35.08982679652275,35.41233974972891,35.86520131330184,36.37328212275229,36.827212085743874,37.11031842295801,37.130684178466026,36.846548553262096,36.27974157820477,35.51494393466445,34.684018096386936,33.93760046757545,33.409625043040414,33.18527682936866,33.280629679135345,33.64088183266498,34.16003279783178,34.71911561061423,35.22991629734418,35.663422456353764,36.04851385734133,36.439806938126374,36.871653028647714,37.322096599550875,37.70938990664273,37.926370371470405,37.89954903273276,37.643263964350574,37.28334124019949,37.04261023290561,37.202064699062895,38.04715721543626,39.78100558796,42.40533518902951,45.64070496352971,48.977190510315616,51.83778820106332,53.75955686400291,54.51121944333835
7kg_10bpm,8BC,46.15174533635232,45.50803749492525,44.48420541985045,43.3874616000736,42.50630233881531,42.00342876759532,41.865611103341266,41.93271959083477,41.975712150659156,41.77964588446295,41.204640092181364,40.21710788732892,38.88814528180099,37.36236945064969,35.81095752967662,34.385588825542214,33.18745550734878,32.25602657735508,31.574950913423933,31.08958037802052,30.728732249073065,30.42461031874355,30.126451876668476,29.80652338883056,29.46032181183496,29.103087555755092,28.763329161085814,28.473286893788078,28.258160542125207,28.129281957810505,28.085326425744142,28.12055190176234,28.234294982472186,28.43581622848385,28.742208720174226,29.170281136236937,29.72576003911529,30.393990157773665,31.13651358455632,31.896041972096796,32.60865461023869,33.21901490888668,33.692565146661856,34.02059929506495,34.2174977625605,34.31254218134545,34.34044804937328,34.3335555264871,34.31697931207124,34.30647566750535,34.3082072582209,34.319883451986755,34.33291753044878,34.33539645609103,34.31583124872263,34.26761600826669,34.19391869543963,34.11196081672725,34.05445722849851,34.06599083333832,34.19334014061662,34.4716237946584,34.910645062467566,35.48564751891306,36.13585388333774,36.77232864413157,37.29489623772252,37.61494934236551,37.67683201006329,37.470493950924656,37.031285580180665,36.42811854624036,35.74598281342864,35.069085443403914,34.46930819971331,34.00097314983166,33.69980756495139,33.58331714466098,33.65102433391147,33.885439510361074,34.255702371498195,34.72398256114673,35.251835707389304,35.8022613832881,36.33532118835487,36.801228521298256,37.14038897299486,37.29903477546831,37.25806562864795,37.06090964228629,36.822799930171854,36.71707839562554,36.948447019352805,37.720192717895806,39.18426461765979,41.364929141581925,44.09290460025881,47.016621155924234,49.70315997108473,51.773014832004314,52.99577846258254
7kg_10bpm,9BC,41.138485127188936,39.87680166996834,39.19318004271583,39.147901464258965,39.67699128572488,40.583356035267634,41.56919045668939,42.306754107343615,42.522343682557604,42.067863952230134,40.95847467245099,39.36219547477761,37.5434238917829,35.781549302803846,34.29581706536692,33.20070810587474,32.499223584134015,32.10642457009852,31.890078674472733,31.716118199522704,31.487930267136992,31.16919755576663,30.784025132580265,30.396259330946087,30.078628746181852,29.88562314504121,29.840163347763948,29.935396313627678,30.145229286759484,30.435535837372292,30.771873268327106,31.12373896726583,31.4667863200584,31.78383801396474,32.06521072799408,32.30899682673051,32.52131049476772,32.71512744268811,32.906052699709484,33.10536353172143,33.31331669238516,33.51644662185163,33.690851361449404,33.810816205477884,33.8600024160789,33.84111765533076,33.779420126979446,33.716643774489576,33.69596945864332,33.74428626243722,33.86081991220553,34.01795703012067,34.17244254277867,34.27999265102799,34.308483268475776,34.24941068041411,34.125807650032115,33.98877054584054,33.89651339319344,33.885517376783135,33.95554860126183,34.07942589902169,34.22494651866997,34.37027052880711,34.509228857228145,34.65259668675413,34.824561791420926,35.048070155300685,35.32202233408291,35.60605304941066,35.827202752222924,35.90883112860281,35.80820065088523,35.54243726716631,35.186521490357954,34.84259618216274,34.59897414722683,34.502388827383115,34.552050825169665,34.708281605480785,34.909469820843086,35.095898039257776,35.23459604085578,35.334877697751516,35.44786200655718,35.64697193201697,35.99018980481801,36.47991648239249,37.0515528343511,37.60412566443923,38.046997410360326,38.33182758796847,38.47908412762602,38.62705973728802,39.068408367799414,40.158145417790806,42.05187973899412,44.488593020028624,46.88738100822917,48.682108029299094,49.599623256844005
7kg_10bpm,10BC,45.8357955052287,45.10156393340612,44.19193284230052,43.422369268874384,42.96286696383498,42.81555804959331,42.85563769847957,42.88777193720822,42.70267267817268,42.13589943066576,41.120201626125365,39.706517808815896,38.04331708942854,36.32581621348258,34.73938711703451,33.41639083382865,32.41396383905043,31.714976475333398,31.2496044069509,30.929572574666103,30.67833810581022,30.44547308324751,30.20412294447224,29.941165957391483,29.649864842273768,29.329532344151463,28.99014804286236,28.65675772617181,28.369288798713193,28.176440086479836,28.125224641649066,28.249904654846805,28.56340648233148,29.053366679930868,29.683112565520197,30.397944522818886,31.13549400751542,31.837624228090615,32.46048275119652,32.98015665020754,33.39335602467729,33.71368789009484,33.96526505526447,34.17490471973287,34.3645589202504,34.54539635792855,34.715091150598504,34.8590265399404,34.95500106175553,34.980095176266175,34.91781275365909,34.76412196696614,34.531048999088696,34.24710870155779,33.95381507255254,33.698851866246514,33.52745171810438,33.47423622967208,33.55719404228971,33.77415642064445,34.10179756317655,34.497075327112114,34.902304517995056,35.25450772769607,35.498461414938355,35.60062468229292,35.559332272431035,35.4069350542651,35.20119730196976,35.00825890485762,34.88233750330045,34.849855726648954,34.90282694195828,35.00280286534288,35.09175015651454,35.105831382402464,34.99040228957008,34.71672848394232,34.29964886862313,33.80903254425584,33.36567350195054,33.11540057935374,33.189124514928,33.664436494356714,34.542233737534296,35.7396461180681,37.09831416013084,38.412897520949976,39.48096263727753,40.164614994734364,40.440898950743346,40.421873067578886,40.33176573270152,40.44599457798799,41.00616970099634,42.13826357789479,43.80443060413973,45.810218374741744,47.86355395924357,49.65820867434011,50.9532840161708
