cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-86.67020473482374,-83.99426426907462,-80.6314878879934,-77.25607785236748,-74.5979495805903,-73.24696648347508,-73.47219179953709,-75.12643062046263,-77.68504993801528,-80.41217659423044,-82.58775488289751,-83.7032138793003,-83.55603350059012,-82.22637338369663,-79.97015264891888,-77.08879765781288,-73.83138050925271,-70.359265547415,-66.77146911705806,-63.16338432353337,-59.680489632563564,-56.536007905088624,-53.983264997701156,-52.2565755821489,-51.50586359929737,-51.748453049158186,-52.854075152511385,-54.57012237479982,-56.58174888440378,-58.58698969014488,-60.35908523134337,-61.774232405882394,-62.80112261564207,-63.46789073831022,-63.83018515668431,-63.9561616051638,-63.92717849690955,-63.83997253034502,-63.796295828766304,-63.878031680634535,-64.11985339575105,-64.49705208056554,-64.93933139051634,-65.36693307690544,-65.7329332922049,-66.05213190350162,-66.40293057095536,-66.89971826024654,-67.64524545293766,-68.68175691507277,-69.96258293616208,-71.35998040903654,-72.71065240815932,-73.88180656929754,-74.82723191206593,-75.60486854805207,-76.3459248192454,-77.19029433971184,-78.2194262133884,-79.41761546664169,-80.67745112710399,-81.84365697045905,-82.77291003596805,-83.38323219278192,-83.67534189276547,-83.72281669776075,-83.63960198456377,-83.5382739529099,-83.49198953086996,-83.51080365788103,-83.54022018559657,-83.4844791279657,-83.24768126777319,-82.77563886451087,-82.07787336442425,-81.21785285457635,-80.27741694621574,-79.3179430718776,-78.36500972153019,-77.43057980272604,-76.56244453025172,-75.88821433749423,-75.61558875455724,-75.96995334265694,-77.08750206226756,-78.91473240945257,-81.1701272174139,-83.39600440794148,-85.08598064607534,-85.84177502288965,-85.50527903635341,-84.22414000486268,-82.43090031680994,-80.7395883589153,-79.78613403738645,-80.05515627317466,-81.73920543210875,-84.66506665619649,-88.3027503612238,-91.85863730100598,-94.44802525750075
15kg_10bpm,10BC,-85.03271206738965,-84.60869236339732,-83.76824909672618,-82.50736908597166,-80.95883298199608,-79.32705745450629,-77.81490349649597,-76.56380663818909,-75.62482299225636,-74.96445728539544,-74.49945460156485,-74.14458597726863,-73.85483109171028,-73.64673217617326,-73.59052948749128,-73.77841051529742,-74.28110229474979,-75.11047863212445,-76.2010577443981,-77.41642163771327,-78.57637202783883,-79.4960135511571,-80.02565255696746,-80.08172691535826,-79.6634539715291,-78.84990348319928,-77.77841180531759,-76.6072982934333,-75.47375498286168,-74.45983747602412,-73.58010298207239,-72.79452155219818,-72.04179487728112,-71.27746265274756,-70.50041863373212,-69.7575405349272,-69.1252987889143,-68.678167083078,-68.45700665386728,-68.4506299411028,-68.59606144687781,-68.79680041836444,-68.95033649043798,-68.97487805389812,-68.82680940401194,-68.50471932015958,-68.0423570081384,-67.49538568386427,-66.92834211330691,-66.40542721895335,-65.98565117894964,-65.71986246768923,-65.647007192384,-65.78817991841538,-66.14033487562945,-66.6724965286127,-67.3278311576781,-68.03189217541156,-68.70513731580422,-69.2756320404517,-69.68871552849352,-69.91185555804668,-69.93622953120357,-69.77673018692899,-69.47269116618885,-69.08836129987864,-68.71085364703754,-68.44145458796807,-68.37823142000292,-68.59097116764423,-69.09530147248364,-69.83422161438915,-70.67759471100102,-71.44229770497921,-71.93250355862824,-71.9906425636411,-71.54783813440483,-70.66142553252537,-69.5297488972759,-68.47640460409795,-67.90225020765041,-68.20734271559711,-69.69385838099468,-72.47170632190925,-76.39012005142126,-81.02634017551787,-85.74347761687008,-89.81903588898581,-92.61477359639152,-93.74670509582735,-93.19888285379174,-91.34822899740396,-88.87834703985143,-86.61100951031815,-85.2973906658661,-85.43141449087223,-87.13525340947315,-90.14127445295922,-93.86837700935678,-97.56715421834855,-100.49867774443238
15kg_10bpm,10CA,-84.9756187912974,-82.17122053331488,-79.59976560217689,-78.08492237365643,-78.32236358213017,-80.58932288079525,-84.60193367311102,-89.59265362379954,-94.56433964061044,-98.60104865593674,-101.11484138202803,-101.95814231528438,-101.38780846759333,-99.9103509796383,-98.07176058530986,-96.27592239654247,-94.70314847070503,-93.34586885544483,-92.10927386176238,-90.89270335921483,-89.60173942034021,-88.11147098737354,-86.24502869328514,-83.81425134629673,-80.71257144712871,-77.00124476598998,-72.92419872412752,-68.82971798405387,-65.04159163213174,-61.761199130576465,-59.06166006820524,-56.96614421353899,-55.53624471970396,-54.885458412175886,-55.08832044720744,-56.039166860014895,-57.368090821602436,-58.50563506433026,-58.903189697483846,-58.308884478859085,-56.93959382864051,-55.42955020641729,-54.562060999104965,-54.92265556158004,-56.655802642027744,-59.432813539261126,-62.60893145299958,-65.4609389890644,-67.39722027710029,-68.08828410940329,-67.51848412249645,-65.97433003919909,-63.970083362067875,-62.1057419664184,-60.88244486194436,-60.54536205526748,-61.03438756758653,-62.07270399906513,-63.341296302857785,-64.63460994785956,-65.91070134504179,-67.22536150132285,-68.61663838796576,-70.029368566722,-71.32773566300997,-72.37488680446653,-73.11469457824906,-73.59827067838722,-73.94265486456898,-74.25424363380455,-74.56517358290685,-74.8141590206333,-74.87544010602066,-74.62174448368307,-74.00057509558755,-73.0975038899935,-72.15507786858142,-71.52273022925914,-71.53918450895722,-72.3861838589613,-73.97874420316504,-75.95101440942807,-77.75598741639472,-78.84337977730549,-78.84453255461739,-77.69599678690726,-75.66888950214512,-73.3122427523652,-71.33566131562154,-70.44404621758827,-71.12657258046801,-73.43388069051454,-76.84488972642978,-80.35529072730566,-82.83658895835639,-83.53381882720336,-82.42400649565695,-80.19287277304342,-77.81735143387819,-76.00505006015796,-74.83342511695926
15kg_10bpm,11AB,-80.16998216791623,-80.78501242749965,-80.86057446689364,-80.12547070258294,-78.62927324116527,-76.7830368768781,-75.23147884249921,-74.60064179474287,-75.23092686404887,-77.01807416047606,-79.43658354403824,-81.73457913861232,-83.21034087790443,-83.44927322635263,-82.42809741229205,-80.45932265323441,-78.01766316880867,-75.53228736748459,-73.23277904237321,-71.10558634644975,-68.96537638345902,-66.59407787124678,-63.87370469800884,-60.85126448215465,-57.71718175844833,-54.72616313305621,-52.11401563231619,-50.054365007047785,-48.66534413670331,-48.0411721340167,-48.26860492369764,-49.40172207777825,-51.402035820051,-54.08294779205524,-57.105556888176324,-60.04897978387161,-62.535919825696034,-64.35863955769683,-65.5433267796749,-66.31744300577073,-66.99180004114585,-67.81217642344411,-68.85061338234496,-69.98540759057492,-70.97349574694283,-71.57518237515433,-71.67155434133207,-71.32531913984867,-70.76519866925665,-70.30552037077153,-70.23462242713765,-70.71413905079838,-71.72597047233322,-73.08634389193895,-74.52136287773239,-75.7740056008105,-76.69820513825795,-77.29911472504952,-77.70125531009555,-78.0596410454217,-78.4573585132351,-78.84134944899884,-79.0313261099037,-78.80354205712814,-78.01764177652291,-76.7331480588821,-75.2572675693587,-74.0829808856483,-73.72157315080877,-74.49442067349204,-76.384682367446,-79.02480383499295,-81.82274679066363,-84.1615993612459,-85.58479421094839,-85.90162457611142,-85.19051145397596,-83.719710983121,-81.83457455557266,-79.86736817493107,-78.1057334038455,-76.81754887011114,-76.29192870750559,-76.8380705305387,-78.69871399541393,-81.88379500359598,-85.99479349565159,-90.15605537518562,-93.1576840357366,-93.82898420670368,-91.52980814376413,-86.54135408031593,-80.13683800275042,-74.24215219899625,-70.79731898306407,-71.08343004003085,-75.29241422144223,-82.48859726019886,-90.93287184683307,-98.61718769393572,-103.82891267408415
15kg_10bpm,11BC,-89.06384092485028,-86.4735806369644,-83.1329784951198,-79.50189988414655,-76.09485321850724,-73.36449260433685,-71.60378115688594,-70.88905450196181,-71.08196459262489,-71.88499398585775,-72.93479981713828,-73.90405276814155,-74.58239060069754,-74.9128648342107,-74.97694283129438,-74.93783631140258,-74.96515289391404,-75.16955552338517,-75.56890270968591,-76.0940059087234,-76.62556339249353,-77.04460860491797,-77.27506282594844,-77.30374108039024,-77.17237573166265,-76.94861422238108,-76.68990619719975,-76.41734558391906,-76.11013418291732,-75.7218784000662,-75.20910023019051,-74.55812991693382,-73.79785178994163,-72.99332723699365,-72.22315383661018,-71.55051757333919,-70.99917870885965,-70.54368260104806,-70.11676511795982,-69.63188878574307,-69.01287535390117,-68.22178239837154,-67.27570730762072,-66.24785125371366,-65.25119164546886,-64.41048063535723,-63.830539719235034,-63.57166704163622,-63.638989048628055,-63.98910923950006,-64.54950333341648,-65.24306851902179,-66.00823771590704,-66.80829570255862,-67.62779618683533,-68.45978198592294,-69.29036749280814,-70.08822825478205,-70.80365892221843,-71.378252555479,-71.76137148491252,-71.92738817926399,-71.88662889571638,-71.68622381427696,-71.4002066462831,-71.11262219662255,-70.89934988987405,-70.8142675615256,-70.88313317576785,-71.10555869331827,-71.46284381556433,-71.92728738839159,-72.46885446538701,-73.0558588169656,-73.64886937054486,-74.19038713135494,-74.5959004985839,-74.75475714066859,-74.54825537571806,-73.88817376791754,-72.76922078236845,-71.31959162380174,-69.82560380105863,-68.70740700848344,-68.43654876360809,-69.40512469816379,-71.78338809941754,-75.41507362928955,-79.80362334502958,-84.20926103257098,-87.84720217634859,-90.12364505058886,-90.8328447394231,-90.23288280228513,-88.97209475887136,-87.87869020876687,-87.69211333976038,-88.82386584558903,-91.23371385907626,-94.44944712918893,-97.7204777008037
15kg_10bpm,11CA,-76.77747381925552,-72.82381764905071,-70.18653516593236,-69.22036741188661,-69.88562789781854,-71.84291218875757,-74.65673898283185,-77.98568221274752,-81.65707436774885,-85.60360501123435,-89.72450402908824,-93.77304336140455,-97.34697017037975,-99.99132213869609,-101.35700239891143,-101.33086863799798,-100.07466005028951,-97.9618728917366,-95.45084670684476,-92.9536327298041,-90.74870576539783,-88.95499558296684,-87.55563714263212,-86.44576166294337,-85.48042982234988,-84.50944435593713,-83.3977343245877,-82.03822226597042,-80.36550640506108,-78.37255876108397,-76.12264804318819,-73.74298440041603,-71.39214028396191,-69.20863300830696,-67.2627166884219,-65.5363035114184,-63.944057911628434,-62.38854240069296,-60.82433468854548,-59.29901213106458,-57.94718966148291,-56.93606853466629,-56.38793783912249,-56.32082727224833,-56.64051228414941,-57.187846009836356,-57.812722046269066,-58.43111012985876,-59.034600329403226,-59.65403570894231,-60.3081206241506,-60.973977983318065,-61.5955874222642,-62.11533090037993,-62.499535110388514,-62.741420474650994,-62.8489418364176,-62.83699812978685,-62.734854519540185,-62.60118076520495,-62.52819161714521,-62.62206121229381,-62.963993813867766,-63.5718901047478,-64.38618860384885,-65.29263756622319,-66.17374835444681,-66.9609789323923,-67.6561770331054,-68.30913330762428,-68.96675419461933,-69.62823981783646,-70.2373298460551,-70.72034924121469,-71.05107394933084,-71.30466143466421,-71.66227107101714,-72.34781979152842,-73.51265799519904,-75.11848706226073,-76.88454014295193,-78.34692570146197,-79.02682603319158,-78.64300169625962,-77.26906883906982,-75.35274029780096,-73.57653926781686,-72.61248362725972,-72.86830193941807,-74.3232670049945,-76.51687791593189,-78.70183905649651,-80.11651122016075,-80.28088853863767,-79.19385589535031,-77.33444690641863,-75.45274631312596,-74.24144374745308,-74.04349490487786,-74.73039400218194,-75.79090486584367
15kg_10bpm,12AB,-83.74829801090402,-82.71740528774718,-80.26743502095904,-77.0074352177547,-73.96042146548521,-72.06785894363645,-71.76879945134448,-72.8666121813721,-74.71751370261732,-76.59724271131041,-78.02330944769312,-78.86504565396731,-79.22180072861218,-79.19678123828767,-78.74468357819963,-77.6955486050006,-75.91706789695684,-73.47798454916673,-70.68357098025399,-67.954497306318,-65.6326920737191,-63.84204307324463,-62.48468946851415,-61.35803249042912,-60.30442723807703,-59.3004902156629,-58.44820305883008,-57.89770254660302,-57.76406840717413,-58.08405669743201,-58.81783293020971,-59.87189416433745,-61.11994168749715,-62.41653185390562,-63.610709526757205,-64.56392445245355,-65.1682505383234,-65.36058804157379,-65.13547490183873,-64.5610600152146,-63.79347378903709,-63.073552244089235,-62.690873968468125,-62.91615147109396,-63.922635309551666,-65.72581077420814,-68.16320546818797,-70.9199502309069,-73.5922122850968,-75.77358054717568,-77.14539918805472,-77.55023504176458,-77.03137116967153,-75.82913164123887,-74.33215100373559,-72.98912766538079,-72.19857762439615,-72.20828368326947,-73.06127808270597,-74.61082391149165,-76.5952348634931,-78.73233845974585,-80.78486975149787,-82.57101940135958,-83.93597378721799,-84.7316813273218,-84.84687783373796,-84.28520860708119,-83.23528007797218,-82.05761213391332,-81.15627868229362,-80.78556770984787,-80.90152844213081,-81.15299717572515,-81.02605150172162,-80.07325277095913,-78.13007977109814,-75.44500353079239,-72.68553635582431,-70.80249355219557,-70.75311429235703,-73.13188638989243,-77.83300154729775,-83.91600728135658,-89.80296101767189,-93.79175906639618,-94.69446581162453,-92.31017711857858,-87.49600857625275,-81.79233452837161,-76.78306572597164,-73.49907168900714,-72.13589619906968,-72.18716200851127,-72.89009609428622,-73.73994263991857,-74.81009720984535,-76.70980407948177,-80.17755204165093,-85.49028420239371,-92.0015493007798
15kg_10bpm,12BC,-86.08104194842362,-87.44154445886556,-88.4099812171836,-88.4825171562647,-87.5151975872068,-85.71465616197152,-83.51177846329422,-81.3781832403299,-79.65962242530505,-78.48320436243384,-77.76282245705879,-77.2822500538098,-76.80919473836116,-76.19152849431433,-75.40358521227994,-74.53928089035834,-73.76762633129708,-73.27234718220399,-73.19493852617967,-73.592808367832,-74.41986525062205,-75.53407662516155,-76.73015484686017,-77.78943960117968,-78.53285503431216,-78.86045248416413,-78.7666416035619,-78.32814199385884,-77.67013681574863,-76.92336876811774,-76.18607008421661,-75.5029181961817,-74.86703080609131,-74.24117672619026,-73.58699269963557,-72.88768589274761,-72.1540130601559,-71.4129316185718,-70.686924683814,-69.9768087627194,-69.25818289077415,-68.49450158360338,-67.66155104289143,-66.7715562361792,-65.88467402652573,-65.100024686853,-64.52743378533549,-64.25116006642492,-64.30094130081116,-64.64361858518728,-65.19871383976064,-65.86945874180839,-66.57434491810284,-67.26455918439781,-67.92158391931997,-68.54009401874059,-69.10810770917777,-69.59666078369285,-69.96411962802736,-70.17181822927743,-70.20188031154078,-70.06795157745891,-69.81466959875809,-69.50735316777185,-69.21744101010803,-69.0092584255371,-68.93064275988249,-69.007347694382,-69.24034682139522,-69.6065620582048,-70.06507171984408,-70.56959174087395,-71.08361999420323,-71.59068009953654,-72.09151024540235,-72.58623553011755,-73.04942940728843,-73.41329755065615,-73.575167666161,-73.43582168923362,-72.96107621551222,-72.24419900023504,-71.5369203072518,-71.22191281088121,-71.7160884360393,-73.32373118366756,-76.09096278525146,-79.7248882054751,-83.63048827408994,-87.07568431329328,-89.4342993894342,-90.4166833350754,-90.18540573754726,-89.2977422267801,-88.49448207199684,-88.41985050220134,-89.39059577589609,-91.29922898409137,-93.66956890837542,-95.82627228217748,-97.10823094462518
15kg_10bpm,13AB,-85.30565117991743,-82.05955753330929,-78.45265352053558,-75.26136227710663,-73.03490280710116,-72.02913112128765,-72.21647645663292,-73.33695349743743,-74.97898996502015,-76.69315700909327,-78.12307554892695,-79.10373932640432,-79.66978254739479,-79.95785164556514,-80.05584649757016,-79.89458870689974,-79.2555911849476,-77.89215838094472,-75.6839138040457,-72.72333737842749,-69.28345417858799,-65.70142940513352,-62.26768224904513,-59.19231125543537,-56.649267098182044,-54.8352125696455,-53.97323554445993,-54.240962080390446,-55.66446219863789,-58.04589149970409,-60.97136631030594,-63.90076122106046,-66.30416564195717,-67.79538741007192,-68.22012758292948,-67.67658100365804,-66.46875712208266,-65.01073995031969,-63.71134041501969,-62.87230700050059,-62.62779778851132,-62.93875361350201,-63.63820776704884,-64.5087691163432,-65.36497343579103,-66.11239084419763,-66.76440893920912,-67.41601043109463,-68.19321192766263,-69.2041818410642,-70.50823418745225,-72.10179109942136,-73.91249540064925,-75.79986190768999,-77.57160304520163,-79.02262958652973,-79.9876168916431,-80.38509732995915,-80.23584772853552,-79.65496917838288,-78.82823177608225,-77.98106326741483,-77.33948643834881,-77.0787916365304,-77.26629848682532,-77.8233602173869,-78.53776073952987,-79.13533864423839,-79.38120675444809,-79.1585462465066,-78.487707191531,-77.48934139265708,-76.32894250093588,-75.18052037516085,-74.2178745742046,-73.61037648663384,-73.49324233806227,-73.90622070578708,-74.7319708243799,-75.68818725576004,-76.41500752748541,-76.65038916169478,-76.42293022738046,-76.15082289951488,-76.5499591674072,-78.33215726920456,-81.79055581990195,-86.46878818103201,-91.12937354237317,-94.13384161592442,-94.14219088912068,-90.82802191673998,-85.22322390198985,-79.44312735874884,-75.8601649158592,-76.11026533918883,-80.41892493068384,-87.54747178456171,-95.31942303022406,-101.42714135972426,-104.17601423396812
15kg_10bpm,13BC,-89.27750239730344,-87.4264312889955,-84.5567964010308,-81.15004228583736,-77.73573769887788,-74.75128208286694,-72.46234334933887,-70.95220269818647,-70.16691898612925,-69.98364223179922,-70.27227668565558,-70.9329621406833,-71.9066625226395,-73.16616213320003,-74.69645540478928,-76.47199250240546,-78.43494896922233,-80.4791323922206,-82.44421014504448,-84.12733029995303,-85.31521930621648,-85.83426458748595,-85.6047812908929,-84.67939785676641,-83.24522441367395,-81.58006469366904,-79.9731810673321,-78.63570913391221,-77.63609672783736,-76.88455484427664,-76.17557062724669,-75.26958413028972,-73.98441669321147,-72.26137260699691,-70.18645732355795,-67.96245033616809,-65.84735443871988,-64.0827810751306,-62.835389434977024,-62.16641519488271,-62.03186930053565,-62.30796384468951,-62.828143986575476,-63.42059868167836,-63.936964369337595,-64.26989237769935,-64.36061539890474,-64.20024378336608,-63.82762248227535,-63.32355739947429,-62.80069149824615,-62.387288347065095,-62.20590365510728,-62.35038800050375,-62.86672165531651,-63.74328886003155,-64.91310896452468,-66.26836248402745,-67.68246479203054,-69.03436682093647,-70.22864202002927,-71.20740696190684,-71.95246665113781,-72.47938649879143,-72.82750274397102,-73.04941676662281,-73.20267000047753,-73.3435127007911,-73.52139320874223,-73.77243364872373,-74.1112106335264,-74.52228763594286,-74.95423064985944,-75.32080297119052,-75.51286321239779,-75.42277874477332,-74.97934752922211,-74.18664548425744,-73.15656911165281,-72.12013938696374,-71.40620976207698,-71.37895884207279,-72.34190082164531,-74.42848478162112,-77.51632200921806,-81.20046432885479,-84.84998916939462,-87.74772600433826,-89.27832916521088,-89.11251877202842,-87.32326895205864,-84.39682219390481,-81.12382085628268,-78.40737546643985,-77.04175035201125,-77.5269101464938,-79.96046730230096,-84.02359204720402,-89.05417797639521,-94.1824955559405,-98.51101835723217
