cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-37.39164462360422,-35.67512258593689,-34.31152600112908,-33.744508717159285,-34.21845133458817,-35.690192687152326,-37.83379765834706,-40.13936880585576,-42.06844478397756,-43.20750785262619,-43.3662955835163,-42.593526151238905,-41.11557560450709,-39.23068616062574,-37.20421790217647,-35.20529258387397,-33.30366473122847,-31.51661087552617,-29.871995169319057,-28.447105225313177,-27.358195774423315,-26.706357966685594,-26.513640502131167,-26.69061972114079,-27.057638298245763,-27.409482616370997,-27.58859927352509,-27.529876588660507,-27.259589943904995,-26.85807348905408,-26.41319102577526,-25.99040027294142,-25.62830889906852,-25.34985010637287,-25.172671857131462,-25.110465149541437,-25.169221265039983,-25.34695228342941,-25.639850828372044,-26.04899784982977,-26.578375210108536,-27.221064601380547,-27.941837077896047,-28.671213249369806,-29.321806425244205,-29.824499764710115,-30.168327910744335,-30.422121760619067,-30.7217899451366,-31.22267795330227,-32.03468451316408,-33.16924817127388,-34.524989491464254,-35.922444281490904,-37.175046418983136,-38.16444841506355,-38.88336407712612,-39.422492137559665,-39.90525438861264,-40.402460683668885,-40.87314367060002,-41.16833710371355,-41.104289375314536,-40.573631732584296,-39.63559595083345,-38.52777081055422,-37.580196070415134,-37.07156144619393,-37.10719266583855,-37.58567411263834,-38.262738071506426,-38.864065223761784,-39.18437491802077,-39.13720976603433,-38.75522418863717,-38.1585442457837,-37.50783342133401,-36.95243031909828,-36.5827386153801,-36.39957722246821,-36.313906998942215,-36.182389760531265,-35.869421537361156,-35.31295909278953,-34.56777914001909,-33.80753328540694,-33.281359069951066,-33.235693344390185,-33.8238074589894,-35.03314097057209,-36.661526578489266,-38.3636386869967,-39.76567373657808,-40.61408946264344,-40.89767945770574,-40.878887387558926,-40.99868971719545,-41.67221151040781,-43.04943035796331,-44.85312228220737,-46.4030370210904
7kg_10bpm,2AB,-36.70344753180779,-36.845744842518876,-36.57297310175022,-36.123549485128386,-35.80195761560321,-35.84337818340044,-36.31550171736483,-37.09334419743485,-37.90994177756242,-38.45832452491644,-38.49911478766032,-37.93306349281692,-36.81587071877768,-35.317968742577406,-33.65513874609178,-32.02096446399572,-30.547140479435754,-29.299152711037248,-28.29713277077307,-27.542358897704894,-27.03179737993181,-26.755881144268184,-26.68699811864233,-26.771830365472283,-26.935882504484358,-27.099713286231246,-27.198621553841825,-27.19683216900445,-27.091438449634836,-26.906605103534968,-26.682590424299416,-26.46413661132886,-26.29157914744089,-26.19607521578547,-26.19865649790573,-26.31201356316768,-26.54320841615568,-26.89546114111574,-27.36751946564961,-27.950244270661425,-28.621860186800177,-29.345074760456626,-30.06974564446206,-30.742579637065653,-31.322109715724224,-31.793389605386242,-32.17578515166738,-32.519358674513406,-32.8894053165449,-33.34445207756613,-33.91546757566332,-34.59405556736404,-35.33379833129474,-36.06356421756133,-36.708037154862495,-37.208224626260304,-37.53602127144353,-37.69982060167381,-37.741036114265334,-37.72405507005315,-37.72208747704737,-37.801106151146236,-38.00413559077668,-38.33847158332038,-38.76998149803511,-39.22812860845336,-39.62263755289657,-39.868658234696944,-39.91218571556253,-39.74683747235201,-39.41586038954386,-38.99898173538715,-38.59005963804411,-38.272933925212364,-38.10186245086804,-38.088998676683,-38.19862583135078,-38.3488261476584,-38.4226710114245,-38.291791004953694,-37.852303956404874,-37.06556099400873,-35.99074925475741,-34.79383763782316,-33.722394947154775,-33.04889478269655,-32.99653779475675,-33.672910669771234,-35.035799533542566,-36.90493657263429,-39.017683578722625,-41.106050241883956,-42.965486299055826,-44.48839299692748,-45.652417628555476,-46.475853497512134,-46.96653976954078,-47.093779539030486,-46.7980093621828,-46.0333963219157,-44.82061196328203
7kg_10bpm,3AB,-38.89563645545552,-37.53660455991739,-36.50176397804304,-36.03420381123873,-36.2559879902596,-37.11551070832524,-38.38357972438137,-39.702296756444504,-40.67712815247809,-40.98160134103854,-40.44375931013628,-39.0846876189086,-37.10144437080189,-34.80093188640438,-32.510361078024495,-30.49374775479626,-28.900045562169307,-27.754152719204132,-26.98617808931422,-26.48265449303698,-26.137059186903087,-25.882847869891048,-25.70060223321173,-25.603366684868334,-25.610900616923633,-25.726851525454386,-25.92797543302869,-26.168370402172044,-26.39411233118237,-26.560969069411758,-26.64756096074521,-26.66034617043867,-26.629867169313165,-26.601435974734116,-26.623496549987635,-26.736822581858394,-26.966005173452338,-27.31420215766994,-27.761708201702355,-28.269046517683392,-28.78505427685057,-29.258513173183285,-29.650667754077315,-29.944520280420377,-30.148246009141378,-30.291595807219863,-30.417581273514422,-30.572678604860837,-30.798930444527123,-31.129369436553922,-31.586187500210276,-32.17978746617339,-32.907102822337635,-33.749430624334714,-34.67122196483942,-35.6218440629301,-36.54100638087453,-37.36648034169126,-38.041866937845924,-38.522319562375586,-38.77801901688465,-38.79633148124768,-38.58441077323186,-38.17259426828648,-37.61709873430596,-36.99946976803586,-36.419501361666136,-35.981011641672985,-35.772163624513794,-35.845835704534174,-36.206117812245076,-36.806522533961825,-37.56107725172726,-38.36449170090909,-39.11461702065,-39.72943372575198,-40.15463059076036,-40.36214620907889,-40.34511082191282,-40.11505870743229,-39.705020565549276,-39.17663946018611,-38.62386011816886,-38.165354025995015,-37.920988972655366,-37.97682931063013,-38.35040327096139,-38.973210120818685,-39.70235036903556,-40.36302032943381,-40.809514682928004,-40.981733424968525,-40.933257404380484,-40.81620976972496,-40.8269351089841,-41.131524580613664,-41.80131168164608,-42.78213821856668,-43.909806530388224,-44.9624042368268,-45.7308747463828
7kg_10bpm,4AB,-38.32986873506866,-36.758584836575515,-35.54872915100029,-34.999301593536934,-35.24639190289052,-36.234477384456305,-37.73536227104752,-39.40610167017724,-40.87185268679438,-41.80934107413344,-42.01148765832598,-41.41745487929464,-40.10592973109792,-38.25810264281062,-36.1035788960043,-33.86660910780311,-31.72577804665764,-29.796224763536074,-28.13329593286121,-26.75098453613198,-25.642981828652953,-24.797229143037356,-24.200324697685573,-23.83470150611001,-23.67441284170165,-23.684140887843288,-23.822129322435217,-24.045205577746202,-24.313426884230783,-24.59357109314139,-24.861914103992593,-25.10703023037856,-25.332222376990376,-25.555825659636234,-25.807806937820267,-26.121812371033453,-26.524262439857193,-27.023495121566647,-27.603020739303584,-28.2216145882372,-28.82093376977414,-29.33885815923796,-29.72448179749488,-29.950575376599797,-30.019864478855794,-29.9643478184814,-29.83827607248101,-29.70772971118173,-29.63954451725347,-29.692017591491602,-29.908715799736736,-30.315591478075934,-30.92087321057045,-31.716145552888882,-32.67732690028489,-33.76464728723098,-34.92222347022948,-36.07966829777673,-37.158105375943286,-38.08186126281048,-38.79378441860805,-39.269717621590864,-39.52655673306273,-39.62010327297797,-39.633011531713834,-39.65575593640207,-39.76633474679926,-40.01300467458074,-40.403646772209356,-40.902589002764245,-41.435433395061494,-41.901387727801094,-42.19148167326533,-42.21032166330875,-41.89683223840365,-41.23976003804455,-40.283245293067175,-39.12174835719942,-37.88581137662292,-36.723305272756754,-35.78162773660555,-35.19383571195928,-35.06825720592978,-35.47676902753695,-36.437209827195026,-37.88949523485237,-39.67357936634943,-41.527064563280994,-43.11774807722344,-44.117875797896104,-44.302430129784554,-43.63825391892955,-42.321694709741955,-40.74187514488646,-39.37405533922953,-38.637245072951934,-38.76694138662983,-39.74633126621449,-41.32056202993029,-43.083448932999886,-44.60825815172428
7kg_10bpm,5AB,-37.95741064359098,-36.56987934073136,-35.36729391889812,-34.58299647694099,-34.36094287838169,-34.71792517633194,-35.53932300382858,-36.60849634261162,-37.66221008070368,-38.45290034538886,-38.80069818847911,-38.62118224434068,-37.927328991086334,-36.80957610937612,-35.40606057084973,-33.87159058113465,-32.35233263208403,-30.96775370634917,-29.79980599298236,-28.887751394370067,-28.228508820213122,-27.782693947647836,-27.48600083489111,-27.265162093869222,-27.05519443591635,-26.814184034381146,-26.5311632915741,-26.22518765324513,-25.935615086423837,-25.707670043427115,-25.578018065840414,-25.56548819871933,-25.669202677994864,-25.874091443347673,-26.160349992843614,-26.512751229722184,-26.925636605055132,-27.401737572880176,-27.945272912762885,-28.55257372941819,-29.20441569217064,-29.86402641839788,-30.482170051409412,-31.008321384734938,-31.404017941925144,-31.653915689502877,-31.770352694936104,-31.790096117335988,-31.763978001431813,-31.743557005477303,-31.76929016122563,-31.86454739356059,-32.036745284222,-32.28435121889026,-32.605473594873175,-33.003671308043984,-33.4878071095674,-34.06589444971887,-34.73572498120264,-35.47674741206846,-36.2474690715212,-36.99074754627011,-37.64626410188061,-38.16677776934757,-38.53268083854236,-38.759322745239224,-38.89329747693332,-38.998033490000026,-39.13252023851294,-39.330639212721266,-39.58839881139519,-39.864250244782944,-40.09215341089712,-40.20310466033125,-40.14696041460243,-39.907426779260305,-39.505575181039326,-38.99268759770212,-38.43604179484838,-37.90400373288519,-37.45485406676774,-37.131673820567265,-36.962161616683574,-36.961166658898186,-37.133137625811,-37.47323967303114,-37.967136372306115,-38.590506230110755,-39.31010916574188,-40.08748489669383,-40.885443721944256,-41.67532186963803,-42.44169539244661,-43.18056221143752,-43.88963788274409,-44.55304950883015,-45.1278209932868,-45.54055359187682,-45.700955616648955,-45.53044943634279,-44.997447397231134
7kg_10bpm,6AB,-39.207979702255194,-37.401860821333166,-36.13188006128247,-35.66570155026401,-36.0662586135702,-37.18358377172513,-38.693233480674316,-40.17654236207054,-41.22004040801008,-41.510656177359614,-40.900238430205796,-39.42611845061187,-37.28321911137229,-34.762869098133145,-32.177280955317876,-29.793304220020584,-27.791676784210093,-26.255652850326758,-25.185791630241894,-24.527600331547895,-24.20112148089506,-24.122753164374586,-24.216610643264175,-24.417103113410782,-24.66763612498192,-24.919757774753926,-25.13505290322899,-25.288807070126516,-25.373435069456328,-25.399062131917407,-25.390839081991338,-25.383247125459352,-25.41315992632156,-25.512983590492556,-25.705125163381524,-25.99829115712709,-26.386087171509054,-26.847793885722087,-27.35156442418652,-27.859576266552352,-28.33479510111079,-28.7482571521803,-29.085267408705995,-29.349039776684574,-29.56035692248232,-29.753439861059483,-29.968996724941867,-30.246552560570876,-30.617833216816525,-31.10257225415235,-31.706737646854442,-32.423005919543066,-33.23243745654892,-34.107100787677645,-35.01292992517873,-35.91258522370592,-36.76762182370932,-37.53963235701809,-38.190530185713605,-38.68308441690138,-38.98332395450161,-39.06612056613582,-38.923408332636036,-38.573021485396126,-38.063741937933614,-37.473746124967086,-36.900161026973024,-36.44195636865674,-36.18004962374929,-36.16029914011165,-36.384401960940124,-36.81125155930665,-37.3684600561932,-37.970703853648146,-38.539905872188356,-39.02172251022536,-39.3949914037276,-39.67189393757986,-39.89070572724475,-40.10303473746784,-40.35934086929791,-40.695185811369456,-41.12041642095218,-41.61306412201694,-42.11963006836443,-42.562918152782814,-42.8571611232276,-42.927884642667095,-42.73145587808031,-42.26960661106677,-41.59378363653786,-40.79929805080648,-40.00971653884602,-39.356053487030614,-38.95405760176502,-38.88335715154649,-39.17112876167805,-39.78344448270022,-40.62676207267232,-41.56213542228051,-42.43116459991353
7kg_10bpm,7AB,-38.03486468699149,-36.414441237242706,-35.375623681600686,-35.154195860298046,-35.78976010727791,-37.12435091414683,-38.84192538543344,-40.53824254100629,-41.80735061277105,-42.32861478741636,-41.93319794400944,-40.63269384824262,-38.60277589739143,-36.12754598998851,-33.52470646174094,-31.074580607579577,-28.970921607518118,-27.30271482494844,-26.064130606666644,-25.183519048922545,-24.56032207542176,-24.099590137967937,-23.737920724505074,-23.45703247291685,-23.28297042218428,-23.272051151353196,-23.487202413981024,-23.971315560846612,-24.725675037742445,-25.700000009341295,-26.79812115369491,-27.89818065271166,-28.880693306735278,-29.65513729317541,-30.175652378140086,-30.441607949645732,-30.485353977923236,-30.35411920566903,-30.094730069580017,-29.746602471935663,-29.343626931023838,-28.92137344551532,-28.524184313805833,-28.20796795735366,-28.03678394320852,-28.0739361985966,-28.369840717461035,-28.949621456803026,-29.80407318404365,-30.887093719249584,-32.121533513071654,-33.41318585146364,-34.6689824183716,-35.813422775534114,-36.797161414617364,-37.59439047173786,-38.19127321249688,-38.57239947662754,-38.71485620410163,-38.59683630618289,-38.22010384700283,-37.63634841017133,-36.960775215642016,-36.35992382991376,-36.01202900302053,-36.053665229519126,-36.535857491884826,-37.40801547944107,-38.5356184731821,-39.74143665257047,-40.851940453743744,-41.733240186163286,-42.30789626456101,-42.55339331308466,-42.48822854673137,-42.15292565598245,-41.59338359045487,-40.85211457913666,-39.97054208942239,-39.00150476739756,-38.02548812799771,-37.15997193981161,-36.55033182637979,-36.33726634937643,-36.60677856474565,-37.33984574142557,-38.3860747945472,-39.47958746610771,-40.30203736993737,-40.57873611386147,-40.17572807035827,-39.16256769778204,-37.812804336538086,-36.535533873956204,-35.75888629647143,-35.80177837606888,-36.77706317206718,-38.556310507514546,-40.80394773907944,-43.069862364233806,-44.91262382029623
7kg_10bpm,8AB,-39.76312000785456,-37.79613164028563,-36.06985558627461,-35.01937511131221,-34.92044055404,-35.80792633116339,-37.46253530278829,-39.466702754370615,-41.31291090977702,-42.530790111398765,-42.79546027963804,-41.99089759404802,-40.21393878236271,-37.7274304442686,-34.88037685914492,-32.0215562145445,-29.430731179414057,-27.281371314845167,-25.638634050039443,-24.482729712218642,-23.74400934094078,-23.33493024934707,-23.1701783367561,-23.174327726314598,-23.282174779753735,-23.438971248290397,-23.604834374112514,-23.762362336895706,-23.92245611494257,-24.12231815547691,-24.41336864061359,-24.842316949150668,-25.432279069933234,-26.17151129415947,-27.013164348190344,-27.885621165426173,-28.708777636202456,-29.411122616040593,-29.94344694576818,-30.286721851437726,-30.453811664922817,-30.48524968278601,-30.440784406813368,-30.38865789947431,-30.39476129303976,-30.513821074709693,-30.783582442126534,-31.22227801499229,-31.828533230050894,-32.58278937464256,-33.44994474481602,-34.38302180945073,-35.32784807802933,-36.22814898194551,-37.029897805452684,-37.68433638077753,-38.15015356229684,-38.39658586243235,-38.40907620579899,-38.19700431392444,-37.800558691170195,-37.2921995337211,-36.7688821839659,-36.335409177519004,-36.082682182888455,-36.06808948229714,-36.30438608862653,-36.76066717151871,-37.374729263812156,-38.071549839997,-38.78166692306649,-39.453177685951644,-40.054323739533,-40.566785082623475,-40.97353146380412,-41.24727054612921,-41.34565722165947,-41.21748519696103,-40.8198598537651,-40.14211405291028,-39.22768005423448,-38.184959865277285,-37.17933635907449,-36.40472352297018,-36.039428363086806,-36.19642221474878,-36.88265680740913,-37.980085754836125,-39.25989111321017,-40.431527314251056,-41.21869447275854,-41.443282758317395,-41.0894464203848,-40.324036285662864,-39.457341886010035,-38.85252665945239,-38.809383939389534,-39.46258247454619,-40.73219206103005,-42.345454062146494,-43.926724977415816
7kg_10bpm,10AB,-37.97122903502404,-36.16992798904552,-35.1550596297354,-35.39807363347672,-36.85231942770369,-39.0172106221022,-41.153108625228334,-42.54545508092282,-42.7246209419262,-41.5804624926651,-39.35046188436139,-36.499623777295646,-33.543314907672794,-30.881927868445892,-28.70899687429953,-27.02062156463443,-25.706702403591628,-24.667328414156287,-23.891481973098106,-23.463542557630703,-23.50763664556827,-24.111606688061926,-25.27302085453384,-26.885725294270316,-28.759849285253807,-30.65832834009886,-32.337978143238054,-33.59034912412167,-34.278271198194155,-34.3605187980608,-33.89679774241584,-33.03081430308365,-31.956089712397088,-30.872805173225768,-29.94483329182489,-29.26666095857231,-28.849472329707236,-28.6317511363709,-28.512050655964384,-28.392819768677168,-28.218705004140116,-27.99430379039429,-27.775431380486836,-27.640510637430317,-27.657926058467147,-27.865971823507078,-28.273993073547935,-28.88053386169127,-29.693345229400634,-30.733682636374752,-32.016506788105836,-33.514884552514786,-35.13081966277895,-36.69596061881973,-38.011368893895856,-38.91310657668377,-39.333415911810825,-39.32643717530436,-39.04373108857151,-38.669905027573726,-38.34935273561228,-38.140003888528916,-38.01532133634998,-37.90891906349159,-37.7726746544454,-37.61388134374567,-37.492924300540736,-37.48801416988772,-37.650074759346246,-37.970807683962605,-38.376187070763756,-38.747180773609585,-38.963565354641716,-38.960304247890434,-38.77488338865905,-38.55566873944379,-38.51036083273964,-38.80438324974198,-39.45557726259025,-40.28673261672534,-40.97448854541076,-41.18098053361528,-40.70458119772181,-39.571906159617626,-38.0266320507455,-36.42982024647536,-35.131064698621486,-34.37260848901519,-34.25487998492301,-34.75127239182143,-35.74086335556582,-37.03673176351644,-38.40884902006252,-39.61332881101664,-40.435363262601356,-40.73839211650697,-40.500357768973615,-39.81790715923221,-38.871019317735346,-37.85831680707983,-36.92970793570254
7kg_10bpm,11AB,-42.666331445143555,-40.83979404180917,-39.06222098812192,-38.201327665407305,-38.595819654183494,-39.92642738481376,-41.41478652235225,-42.22383978006069,-41.83256705133619,-40.197882002154124,-37.664120486630786,-34.72937929949451,-31.82986127020551,-29.24296998044177,-27.105259422971127,-25.47524094147451,-24.37529210034821,-23.793868006193485,-23.670654194566772,-23.896162165640774,-24.338669768895006,-24.88658030514367,-25.481648608741914,-26.1242427143402,-26.84901025563814,-27.68503214148258,-28.620384676053302,-29.58719450554199,-30.473537057862515,-31.1565335997082,-31.54134922324927,-31.588614750358527,-31.31989338786452,-30.802999686600607,-30.128537792360632,-29.390494202196745,-28.67744541295474,-28.07220041514767,-27.652734584656848,-27.488638612211297,-27.63240928253358,-28.109309292260647,-28.91078384820201,-29.99466135712346,-31.292103493281488,-32.718560226734645,-34.18530189868975,-35.60914725401612,-36.91921081574891,-38.06021412814543,-38.99272561621406,-39.69146750647903,-40.14287087477595,-40.342933601477505,-40.29707137857544,-40.02400387911882,-39.56355964492669,-38.983771417638515,-38.37934054168049,-37.85527091420609,-37.49669161820025,-37.33522580294864,-37.328619748087256,-37.369066209925926,-37.324369235527215,-37.098028116892024,-36.67970602880912,-36.15769848933084,-35.6828268550427,-35.39939468588183,-35.377102425484175,-35.57648984066884,-35.86251488769562,-36.06001006525349,-36.03164995670386,-35.753365481508446,-35.35809972235285,-35.117935230294805,-35.34902995328061,-36.26036861617092,-37.81059190176891,-39.65501669486177,-41.23416854850261,-41.98415708642271,-41.57808402419343,-40.081337845585054,-37.94047699529278,-35.80714255242422,-34.28147946237681,-33.69682696704069,-34.03681566362397,-34.999793723916476,-36.15570133823813,-37.11615332475274,-37.65796307127196,-37.77436752817623,-37.65253149491485,-37.58826247712008,-37.859940308273224,-38.5988523486168,-39.70497955853592
