cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-40.71074120378179,-40.143172723066954,-39.547941072512565,-39.11491477820854,-38.98365644621108,-39.184617473286124,-39.617152976931536,-40.073439794074346,-40.303895600087365,-40.099835376893516,-39.365344116958745,-38.150790921752524,-36.638112186095505,-35.081705996399954,-33.729841038011024,-32.75407609318678,-32.2126609079638,-32.055329988309744,-32.163233569826346,-32.401378480447924,-32.66273640652156,-32.88885178339242,-33.06646993097474,-33.208191638759786,-33.33076823326628,-33.4405234649386,-33.530054255001446,-33.58374692638325,-33.58688897393642,-33.53288276051124,-33.425563201922365,-33.2763605783157,-33.098389497170444,-32.90039441370827,-32.68323371840823,-32.44034370009675,-32.161952919388575,-31.841322589611607,-31.48035886867155,-31.09219549026975,-30.699387735033312,-30.328270063207135,-30.001620417176383,-29.732678596223074,-29.52303538266276,-29.36560596645495,-29.251711473912422,-29.1796162349246,-29.160782878830787,-29.220860670291813,-29.393940825983147,-29.711475503732906,-30.189244001932313,-30.817267402770334,-31.556324081475495,-32.343042768614644,-33.10223657450188,-33.76284129575035,-34.272641488962094,-34.607689161959485,-34.77398918116762,-34.80145751922235,-34.732588618646375,-34.60926461769288,-34.46192645380103,-34.30411373190152,-34.13380631948926,-33.94044170441718,-33.714961568496285,-33.45904023126584,-33.19028108349386,-32.9413315501269,-32.75303841402004,-32.66318329037072,-32.693917016597,-32.841206761739016,-33.069815332875514,-33.31588746746161,-33.49899841555388,-33.542606450792555,-33.400278484567444,-33.08069093729213,-32.663611070939034,-32.296882680583565,-32.17091841697055,-32.47177576224017,-33.32471031075952,-34.743706025214976,-36.60683563867736,-38.66730549207296,-40.60277651756827,-42.08995535370134,-42.88452152616699,-42.88184634906602,-42.142673332691544,-40.87671702601205,-39.39161773448416,-38.02389923302534,-37.07020689959652,-36.73441123826236,-37.09763024060965
7kg_10bpm,2BC,-40.720187133494015,-39.90715464259199,-39.28142664884165,-38.99163686957165,-39.08983369992978,-39.52444043374236,-40.155711626037935,-40.791618857544826,-41.235099151831854,-41.33141630241677,-41.00379914019384,-40.2699152034697,-39.233238909376816,-38.05461138664339,-36.91029948549222,-35.949464806562084,-35.26263988980142,-34.868547156341364,-34.7210188263271,-34.731535698920865,-34.7979695824444,-34.830860231555256,-34.77060430390307,-34.59265910191703,-34.30322738894246,-33.92850233753601,-33.50252692817814,-33.056979805002726,-32.614891057691246,-32.188543160920176,-31.780757414028365,-31.387880751725778,-31.003289239271357,-30.620329164516324,-30.234376758556664,-29.843991593733797,-29.45119262929153,-29.060976785245305,-28.680188412748134,-28.316000992705415,-27.97445932899455,-27.659606042593754,-27.373578485559264,-27.117878166690478,-26.895558939747495,-26.713678293242126,-26.585121822022643,-26.52872255926548,-26.566971563317445,-26.72128359543946,-27.005717483758207,-27.42076896255214,-27.949671033372336,-28.558496118402118,-29.201219119434597,-29.828520254383776,-30.39829733444471,-30.884944423613717,-31.284611339634075,-31.61466564443038,-31.90764072232267,-32.20107025420048,-32.52644032018771,-32.90051773858536,-33.321177182914504,-33.76890154749429,-34.21251387072497,-34.61698705591235,-34.95060013549955,-35.189509645881145,-35.319068583211106,-35.33289753223451,-35.231250109515805,-35.020849300199686,-34.71710969956362,-34.34878647436431,-33.96303149687171,-33.62827189664403,-33.43191527065129,-33.47087912542686,-33.835020022701656,-34.5858418131153,-35.73436043119727,-37.22538515284203,-38.932427598096986,-40.669264445580055,-42.217237721754216,-43.36466284126768,-43.949538770082995,-43.895080652063115,-43.22747280463911,-42.07277273734895,-40.63145036528491,-39.140339024465234,-37.83088841630697,-36.894671430999125,-36.46307435537262,-36.60166168890209,-37.31557684995665,-38.56000773078925,-40.249018460313515
7kg_10bpm,3BC,-42.65337801716379,-41.328472566587024,-40.07044993495125,-39.08897411982268,-38.51783840786217,-38.387415105589504,-38.6222969351451,-39.06637151673302,-39.52539150682312,-39.817006824315875,-39.81521544758988,-39.47726189507004,-38.84849710776941,-38.04318498215634,-37.209353777607426,-36.48756060005258,-35.97538302758528,-35.707358418778696,-35.65310348761107,-35.73258256900416,-35.8413238786027,-35.87767608380796,-35.76492872172161,-35.46359541484773,-34.973315503601754,-34.32616668386949,-33.57517880374432,-32.781810565326545,-32.004963454828356,-31.29287734991592,-30.677962262663232,-30.17424288087069,-29.77729893011696,-29.466617628616966,-29.210621706330162,-28.973770996151334,-28.7247508386412,-28.44390558171193,-28.127935739515337,-27.790717634199968,-27.459664233545208,-27.168940984661536,-26.951221220019693,-26.83039058733251,-26.817214149490308,-26.908699753052495,-27.091250654170327,-27.345934867497377,-27.654191661774476,-28.00204282850326,-28.38163780377865,-28.790150597106035,-29.226718529275285,-29.688935940523873,-30.17035215492125,-30.659904029893713,-31.14360908338449,-31.60780305709727,-32.042710120347216,-32.44503204805744,-32.81839034029854,-33.17151732962134,-33.51465324078705,-33.85543556351534,-34.19568391181599,-34.52994215510159,-34.8461360938505,-35.12769177898451,-35.356273075943136,-35.514284079372665,-35.58683711042638,-35.56356864649977,-35.44092029228064,-35.22548777275233,-34.9381470734147,-34.61793849949807,-34.32362257082904,-34.130717878158116,-34.12247747856815,-34.37481713772768,-34.93774205393152,-35.81767987560823,-36.96604502735592,-38.27892315213017,-39.60936698951506,-40.79154763751269,-41.67152504070155,-42.13833354108926,-42.14893774021747,-41.74106249539688,-41.03258631917338,-40.205710078117434,-39.47975319899907,-39.07505410971845,-39.173670716227484,-39.88316475130448,-41.20841281831953,-43.04001450242378,-45.161098167116805,-47.2779526128778,-49.07020991905004
7kg_10bpm,4BC,-40.738225308395556,-39.88584305093421,-39.10935326709952,-38.58632750426582,-38.423049045522,-38.62350634440834,-39.087689339727575,-39.640605790109596,-40.08119870931513,-40.237114289570926,-40.0095649207991,-39.395528841345914,-38.48214755111828,-37.41754553121116,-36.368000940880215,-35.47617792296007,-34.832279866659896,-34.46343625068896,-34.34190155937375,-34.40402395055506,-34.57290774334327,-34.77659358427525,-34.95800398535964,-35.07680971241321,-35.10591317684267,-35.026969538784606,-34.82801788956278,-34.50430966451411,-34.06104506477264,-33.515549556308876,-32.89688170998487,-32.242034720706336,-31.58981302780617,-30.974101016266975,-30.41832119288783,-29.932452489286547,-29.51255563063086,-29.142911832552475,-28.79981437558078,-28.45671840269236,-28.09005958186297,-27.68503536377845,-27.240519924583477,-26.771800197391876,-26.310153492545812,-25.898702723246377,-25.584864031161086,-25.41095207482316,-25.405206357229073,-25.5755042186749,-25.907988525820134,-26.370632912284382,-26.921391137302866,-27.51829152560982,-28.128786143935784,-28.735877192337856,-29.339144567295982,-29.950961094972346,-30.58898123762549,-31.267315766314244,-31.9889504006879,-32.7414625364259,-33.49719743985857,-34.21794181282759,-34.86266117606054,-35.39621333138391,-35.79650871006392,-36.05781208343258,-36.1896715669006,-36.211646788572814,-36.146168173925155,-36.01194157346316,-35.82034599109987,-35.57639992090247,-35.284176756683664,-34.955087666920804,-34.616255049909604,-34.315516980373225,-34.120298416313354,-34.109068589713395,-34.35602833377927,-34.91205614023962,-35.78679780325708,-36.936328371897986,-38.26195422430591,-39.620784590533745,-40.84871192591596,-41.79089972107229,-42.33348976713919,-42.42994295854738,-42.11420980405076,-41.498771007820054,-40.756567652450755,-40.091675052754674,-39.704857805144556,-39.7604055158511,-40.35911009849048,-41.52039973973892,-43.17358742987399,-45.1609381408461,-47.25155555543054
7kg_10bpm,5BC,-42.85936607841709,-41.65621614595172,-40.23233172744797,-38.85547921968593,-37.7761509558691,-37.16114038343661,-37.05424663837296,-37.37481933226963,-37.94835163300383,-38.56028582456539,-39.01414943323335,-39.178229620789985,-39.00963063378287,-38.55018893798677,-37.90058810188236,-37.18201241532242,-36.500187657569995,-35.92256311790884,-35.47340870769428,-35.14467606106502,-34.91383328538481,-34.75965339624236,-34.66912515053469,-34.634507094646,-34.644642882290825,-34.67695464060953,-34.69552781590247,-34.656923812089964,-34.5211126982847,-34.26269236051655,-33.877491807353486,-33.382387350338526,-32.808968162126156,-32.19414311803725,-31.57135643223321,-30.965040607994137,-30.389417549733576,-29.850775750317197,-29.351587999103085,-28.89448317969588,-28.484684335367266,-28.130425084445147,-27.841588448364675,-27.627436115978306,-27.494420062762963,-27.444795366708696,-27.47646096745951,-27.583751930943922,-27.7587695642467,-27.99254475239114,-28.27561576614888,-28.59784628728689,-28.94775046445745,-29.311825442043133,-29.674560108159437,-30.019496878765967,-30.331394652759464,-30.599022281835914,-30.81767137684421,-30.990615517847118,-31.128693676958793,-31.248111919921417,-31.366793425347606,-31.500366347358266,-31.6588943879922,-31.845212044763677,-32.0553688190149,-32.280837618164746,-32.51187636039793,-32.740921634543874,-32.9649703591175,-33.18611525388259,-33.40985262013673,-33.641597212300944,-33.88249890198716,-34.12633123546441,-34.359252904066224,-34.56357844557021,-34.72543450138709,-34.84434915296491,-34.941747318851164,-35.06455234340348,-35.2812637365164,-35.669613885149694,-36.29771896732785,-37.20363661962147,-38.379062813053665,-39.763881891686445,-41.25425265922347,-42.72419115541742,-44.05481117146859,-45.16208181511504,-46.01422140665661,-46.63124953671295,-47.067679968205134,-47.38428761945261,-47.62076572874874,-47.78082258338018,-47.83485085757231,-47.73861349228309,-47.458249577505384
7kg_10bpm,6BC,-42.5374073011221,-41.53981341719448,-40.38056108180499,-39.275345373606164,-38.40932399957894,-37.890569758630804,-37.727501974870755,-37.83493301989459,-38.066101490059935,-38.26032386351489,-38.29154109782494,-38.10346831173086,-37.7199081698567,-37.22960651088086,-36.75079847332972,-36.389458801072266,-36.204798992804626,-36.193891290146354,-36.29788699901936,-36.426624776337,-36.49036958339915,-36.42749237741315,-36.21900460169217,-35.88658285231561,-35.47708682003567,-35.04068179599243,-34.61132199660054,-34.19600449545013,-33.77618241657792,-33.31902451249728,-32.793892520067764,-32.18712529967809,-31.509896001433585,-30.79636119115449,-30.093537485034982,-29.44700997827732,-28.88805584524919,-28.426885414164243,-28.053492496210893,-27.745129815492866,-27.4765962258034,-27.229555513806698,-26.997806446057854,-26.787873189047026,-26.615590186139563,-26.500876192471917,-26.462394521136666,-26.51340443251575,-26.6591424527666,-26.89567932326786,-27.210001143472613,-27.58147790868825,-27.984767822480684,-28.39433182225119,-28.789987847143802,-29.162341560556776,-29.516439435775098,-29.87202204397977,-30.25944400972125,-30.711709507093243,-31.254439614615407,-31.89644851409301,-32.624148039224984,-33.40151283484517,-34.176535758449,-34.89256477043883,-35.50181139872697,-35.97673458802777,-36.31583161056519,-36.5408433966354,-36.686204640059245,-36.783583545079786,-36.847492856757576,-36.86794622709266,-36.814464669981604,-36.65176874701913,-36.362839880049314,-35.97193494828771,-35.557482760995725,-35.248273732068455,-35.198650292703945,-35.54716378055239,-36.36807519497805,-37.63199132491445,-39.18920397842714,-40.78791487381861,-42.12483235325108,-42.918630919824416,-42.9853186947603,-42.29380841916829,-40.98496702608603,-39.348896024155,-37.76620253831908,-36.62998051470635,-36.26675149412027,-36.87107496430594,-38.4651924787906,-40.88609168519027,-43.80394387757323,-46.771708566308355,-49.30429007081714
7kg_10bpm,7BC,-42.806527437084284,-41.57796816506727,-40.21093840659197,-38.97088718515306,-38.07055357531868,-37.610819680650586,-37.559049841189655,-37.76945289402249,-38.03815379170033,-38.17243587052259,-38.04997507714711,-37.64931551790202,-37.04327486978032,-36.3626571690867,-35.74542543322148,-35.29193433502804,-35.04008425545433,-34.96591246474401,-35.00354118241388,-35.07278631128236,-35.10305803721683,-35.046734749830875,-34.882069401517874,-34.609013454364074,-34.242730557844126,-33.807425605095425,-33.33120723333938,-32.8416240754976,-32.36146516544894,-31.905367478867337,-31.478129902016132,-31.075571821683926,-30.68786964246695,-30.304304071802058,-29.91801956961934,-29.529443105405512,-29.14789056482327,-28.791328325872428,-28.484599376094536,-28.25614201059286,-28.133022676940445,-28.134739737594447,-28.267037461851046,-28.518156331248626,-28.859485247826132,-29.25136579904442,-29.652671179828136,-30.030845500692315,-30.36901160953883,-30.667594568944285,-30.940571946242333,-31.208093520642166,-31.488560509950986,-31.792736812135576,-32.121274593166085,-32.46555761157065,-32.81059532787341,-33.13855555076124,-33.431696147373266,-33.67436077796219,-33.85435766883034,-33.96442290605034,-34.00430699540499,-33.983242067821664,-33.92181641021058,-33.85170942846118,-33.811901827273815,-33.84148838559493,-33.97053205635149,-34.211853517877216,-34.55620745188176,-34.97238033181683,-35.411992197856826,-35.8172039558471,-36.12951676441537,-36.298106512804246,-36.28765438290127,-36.0861958574811,-35.71320706357526,-35.22680587783591,-34.72594118618283,-34.34283189854373,-34.22169972389526,-34.48423465514247,-35.189381274582075,-36.29954814336613,-37.66909729908767,-39.06406346553136,-40.21472139353521,-40.88912946773229,-40.96667114068729,-40.487832091835294,-39.65983387397846,-38.8133982629691,-38.317109546310725,-38.47356112791323,-39.42533864912325,-41.100889448999666,-43.219860463714916,-45.36073214545226,-47.0780320904771
7kg_10bpm,8BC,-42.122399639779985,-41.17119560758554,-40.023356073590406,-38.96813993052353,-38.258692782573085,-38.030235814514555,-38.25780151389593,-38.76791542499054,-39.299725427012895,-39.5953835735111,-39.486193350309314,-38.94460212365123,-38.083809787806835,-37.10698876845649,-36.22933635368006,-35.60344040014651,-35.27680935636205,-35.19287893087418,-35.228344171890775,-35.246738826305574,-35.14423246986998,-34.873297801972825,-34.441437996661854,-33.893657832653766,-33.29101132139843,-32.6940340855209,-32.15395533715235,-31.70900405799069,-31.38192535202415,-31.176974539510464,-31.077586729557243,-31.047563838630552,-31.037904012930017,-30.99837815217768,-30.89065614817447,-30.698423692483768,-30.430927051822323,-30.11913216328946,-29.806073816717145,-29.53519231647519,-29.34049511159094,-29.241078542590355,-29.24067524804404,-29.33073113431592,-29.49479073220068,-29.712096635381506,-29.95934937504776,-30.21102439465806,-30.439672782816643,-30.617886240019168,-30.722939846530746,-30.743718575828996,-30.687780407781794,-30.585603172362458,-30.489039815285537,-30.46265062136008,-30.569244950465468,-30.852959179822744,-31.325144759863147,-31.957789992713337,-32.687295854199135,-33.42853266090033,-34.094986394301436,-34.61935835359941,-34.96865022400293,-35.14977653833748,-35.20502941590308,-35.19885159924996,-35.199753094864995,-35.26183401544514,-35.410063578312474,-35.633129110365445,-35.88560116529523,-36.09945560561356,-36.20256564520614,-36.13930857865512,-35.888270800883355,-35.47230819172407,-34.95876788260531,-34.45014565161239,-34.06659450313724,-33.92321824372345,-34.1053400426037,-34.64583644627627,-35.510307971945245,-36.595083569321496,-37.741671595930896,-38.76697097679333,-39.50251775201799,-39.833728756651425,-39.728886763275305,-39.25159819209075,-38.55530221566861,-37.86041142592377,-37.41692955615414,-37.455203419014246,-38.129730485474965,-39.46796160020182,-41.34015297563715,-43.46804690754094,-45.48211953866237
7kg_10bpm,9BC,-42.597317600817334,-41.03200770990463,-39.1867172902656,-37.494763831017664,-36.31501405138572,-35.82398962736944,-35.97650043591052,-36.54167493530638,-37.19477396068818,-37.62837071151096,-37.645802377816636,-37.21060004346343,-36.442321654642754,-35.565784644092886,-34.83284360820798,-34.44006848852667,-34.464959053564314,-34.83935340560486,-35.370815819671314,-35.80830359921524,-35.93139476305295,-35.62986149597633,-34.94112391652455,-34.029822149360484,-33.1200384882514,-32.41072826481165,-32.00973764578625,-31.910473292393384,-32.014466861039246,-32.1830973767239,-32.2932499299601,-32.275356791983576,-32.12362540072468,-31.88099242116419,-31.610369058361382,-31.365824742011213,-31.174111570613178,-31.03102933696627,-30.911192439402566,-30.7854217506871,-30.638281541923927,-30.4787722653706,-30.339727652238874,-30.265829612545176,-30.29525060573687,-30.44308877444696,-30.694250089531522,-31.009074013966472,-31.33882122579315,-31.64353874885951,-31.904480422336725,-32.12647033660589,-32.330232425014785,-32.53862864252926,-32.76273296674962,-32.9934272287511,-33.20229248477442,-33.35221040066745,-33.41396269633856,-33.38202493527731,-33.28261351319569,-33.169790444593524,-33.109749218381296,-33.15784327616389,-33.33635125581425,-33.62212158433991,-33.95098566820262,-34.2396114205852,-34.41726783886288,-34.45437550576532,-34.375464711373084,-34.250425876187606,-34.166756313075346,-34.19341367799642,-34.35067884507891,-34.59849804745721,-34.84934211951613,-35.00278689277719,-34.99055968489081,-34.815807459544544,-34.570614793782,-34.42093375329642,-34.55770100760834,-35.12571337401128,-36.15363409716605,-37.51327746953933,-38.930788801429976,-40.05574910358065,-40.57073412864649,-40.30378995242666,-39.301428530246326,-37.83224117367225,-36.31670916278039,-35.20698554446742,-34.85868158254999,-35.43588877752765,-36.87536076514822,-38.914227427801094,-41.167013852606296,-43.22714308813371,-44.767257716079556
7kg_10bpm,10BC,-39.89469392435779,-38.68763564392692,-37.79502057145262,-37.35726798763557,-37.396608602077215,-37.80912571326359,-38.393654053209744,-38.90892472281437,-39.143126361125866,-38.972723799236206,-38.394053100279066,-37.517257589107174,-36.527752774274795,-35.62796877204267,-34.97894947242395,-34.65954949221927,-34.6546211630112,-34.87363137581542,-35.189702808599804,-35.48401392600126,-35.67832794224688,-35.74643946408338,-35.703506559444826,-35.582774409325786,-35.41144048212591,-35.19648129911485,-34.92417134317846,-34.570964151637504,-34.11819588625681,-33.563204148767,-32.92203939979439,-32.22430587507352,-31.50402839071873,-30.79172841271642,-30.11087288907146,-29.478807156725935,-28.90974479258639,-28.416904648746222,-28.01215616404798,-27.703512930517817,-27.49217968146731,-27.371289338484807,-27.32745023055579,-27.345129402208915,-27.41245398541155,-27.526475457968957,-27.695766152951474,-27.93900591023793,-28.279319343497505,-28.735491786158004,-29.312693932314623,-29.99588497359617,-30.749025005644118,-31.520951349271776,-32.25689441691791,-32.91166855365362,-33.46011729468477,-33.90055563342527,-34.250051400664134,-34.533232490072685,-34.76932715440199,-34.96290014812969,-35.102290520539256,-35.16644054204324,-35.13716946680747,-35.011731729534375,-34.810209107454945,-34.574620277430434,-34.35950936388847,-34.21761166229195,-34.18529067050176,-34.27277150078493,-34.46132753170436,-34.707638112905585,-34.9528000084413,-35.13349902406192,-35.19375780304837,-35.09681207363929,-34.83707785562402,-34.450154991804325,-34.01769225371571,-33.661800984008046,-33.52595839388054,-33.74297913774593,-34.39643397244713,-35.48703543603053,-36.916266101069034,-38.497910374864766,-39.99730442032913,-41.190844789905775,-41.927019482209644,-42.170154263277375,-42.0097013270775,-41.631739349662396,-41.261392322824555,-41.0960385298864,-41.25235935293617,-41.74281173800337,-42.485740708009764,-43.33882232564148,-44.142108490987006
