cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-43.07409921596794,-43.72549412209252,-44.76574407273993,-46.186600211196506,-47.85747890859484,-49.55827023559931,-51.0384540141235,-52.08478436368194,-52.57558364147758,-52.5046541189504,-51.96908847128102,-51.12761632491308,-50.14726592782405,-49.15624326425543,-48.217346386478404,-47.325503132139495,-46.42590536373889,-45.44182204054721,-44.30239067023261,-42.96214714487909,-41.410053001199884,-39.66871520191107,-37.78787681062822,-35.83515478026886,-33.88642500391042,-32.016787627566806,-30.29257640185728,-28.764953649900875,-27.465597778327933,-26.40509749244009,-25.573731294938096,-24.944550791822735,-24.477794241038225,-24.126009993924207,-23.839314929075908,-23.570451954070723,-23.279695446754364,-22.93956967952423,-22.53928273058966,-22.087769837963474,-21.614356148242514,-21.165606556469175,-20.7980898661557,-20.567913762923286,-20.51912082661471,-20.673844049649443,-21.02703500181518,-21.547969726852884,-22.18833454437192,-22.895158550517305,-23.62423609545953,-24.34986917980731,-25.06731525709465,-25.787579162574183,-26.52629738515295,-27.291254120342995,-28.07297633236511,-28.842405731247833,-29.55663893582015,-30.17161538863667,-30.657335293970185,-31.01041815086358,-31.25840754217566,-31.453782026803346,-31.65857300133163,-31.92486759678702,-32.27762590536085,-32.70624518652526,-33.167603611829726,-33.60009486431153,-33.944442798943285,-34.1654022953234,-34.26801427865996,-34.30334717490352,-34.360916204451435,-34.54751017168158,-34.95671295125564,-35.63595573653009,-36.56117915727622,-37.62762631163717,-38.6646536440688,-39.47369729154629,-39.88329690470427,-39.80462689390951,-39.26994391235582,-38.43538193094195,-37.54404737876519,-36.85665478386514,-36.5734864783902,-36.77420294618634,-37.39873878804005,-38.27355436566666,-39.17153656567941,-39.88074885179684,-40.25738936977359,-40.24812152986085,-39.88180080240905,-39.241487589531935,-38.4300617470295,-37.54067392853117,-36.63647458381206
7kg_10bpm,3CA,-44.29302704767037,-44.99824311584068,-46.117552816659966,-47.6537873172977,-49.503834454778094,-51.47011491864248,-53.2964097770277,-54.72139504140127,-55.53527238691546,-55.6243552354284,-54.99197060648261,-53.75192865463811,-52.09598434935399,-50.2471041809117,-48.41013812022409,-46.73250042169392,-45.28408095679081,-44.05677958976598,-42.982317779832485,-41.95965775867199,-40.88447485595228,-39.67332968730318,-38.278177046203055,-36.69007755676111,-34.934518765738495,-33.06138222623565,-31.13436076108634,-29.22223073825535,-27.39356073659476,-25.714101363949393,-24.245030220785125,-23.040168830248483,-22.14088842436236,-21.569237636014684,-21.32110453092863,-21.36214818320912,-21.62931037865611,-22.038608622841164,-22.498856256962846,-22.928049605911973,-23.268190033701266,-23.49488532968691,-23.618174660743332,-23.675191773138636,-23.71637593060445,-23.78976457756074,-23.92786640303097,-24.140519025251685,-24.41496038710949,-24.722476431182763,-25.028672391215142,-25.304249268217017,-25.53311169770184,-25.715489007401303,-25.86600272924059,-26.007450618876025,-26.1629888964571,-26.34944662806914,-26.574020092326684,-26.835296927674364,-27.127859524192356,-27.448285231083165,-27.799900542754315,-28.19423452230182,-28.64820044726248,-29.177917314769505,-29.791079670245118,-30.48013438541861,-31.218783056415038,-31.96297486901136,-32.65723143408579,-33.245527117834555,-33.68472095224415,-33.957302594623535,-34.07999746568106,-34.10444017677284,-34.109093490176804,-34.182272082181434,-34.40002095654595,-34.80431555442438,-35.38729254150725,-36.08817101921359,-36.80491709593443,-37.41996946676619,-37.8339020857441,-37.997436557893145,-37.930982482808155,-37.724841217092134,-37.516718164027736,-37.453306786266864,-37.646491973237914,-38.13723901838185,-38.87955002751048,-39.74691808111655,-40.55985035130605,-41.12438873338666,-41.2709686673978,-40.88464195785956,-39.92232662264401,-38.4162388116954,-36.46843872629805
7kg_10bpm,5CA,-38.951592835479495,-39.00090438618228,-40.183907839275854,-42.47588522238322,-45.565611301020155,-48.9303704305893,-51.98007560174226,-54.21434581611216,-55.33744648375549,-55.30116385277544,-54.275216096069684,-52.56648239445977,-50.518177642083096,-48.41928958875682,-46.44579169104016,-44.64441666152953,-42.95798222320621,-41.27914324268452,-39.511469516853175,-37.616682062453535,-35.63362360028844,-33.66571928559072,-31.845432440887073,-30.29078176165318,-29.069584891760595,-28.18311772949988,-27.57355531059259,-27.150710418066758,-26.82696632962942,-26.54656437361326,-26.29776739093302,-26.10381623585554,-25.997549693713374,-25.991195532101248,-26.055256136244722,-26.117407487226924,-26.08397249591336,-25.87668264281444,-25.469782082460394,-24.91043638813939,-24.311485888505782,-23.817415823047657,-23.55606297101641,-23.595536789807785,-23.924513529523352,-24.463142355554854,-25.09785630924472,-25.72356848445991,-26.27522110869772,-26.737762789036132,-27.134983423355926,-27.506391194995864,-27.884536575466107,-28.282546122371926,-28.694863063322277,-29.107460232006463,-29.51017440103794,-29.904111321679146,-30.30074198430463,-30.71413676549999,-31.150933623728196,-31.60322855801078,-32.04809248557933,-32.45469267555535,-32.797054081170366,-33.067597132362266,-33.28455445557761,-33.487402339240994,-33.71988127092011,-34.00746212379848,-34.34104020196319,-34.67732852797345,-34.9579146164366,-35.1385515120103,-35.21404635130031,-35.22523547522419,-35.24313284676443,-35.337121782776315,-35.54179966676057,-35.83765272927641,-36.1543883981809,-36.39534389093108,-36.472964494837285,-36.34211494224482,-36.01967380214406,-35.58404192184992,-35.1551471845967,-34.861293610599006,-34.803231969993014,-35.027246604432634,-35.5161839592188,-36.200236377388194,-36.9810168287084,-37.756393438894726,-38.433551195589416,-38.92575977451215,-39.14023722345484,-38.973073213304964,-38.326171463939055,-37.147871586650524,-35.48039881004472
7kg_10bpm,6CA,-43.78255833435829,-44.18818944117341,-44.92052714894769,-46.05037277992964,-47.53598501788714,-49.21624311238523,-50.84477024981287,-52.15415215778575,-52.93000096382361,-53.06728912316923,-52.590990436299265,-51.63384485592842,-50.38284797215782,-49.01563321057727,-47.6504590274877,-46.32602090086586,-45.01333955670952,-43.65032597018258,-42.18075185656488,-40.58203544489198,-38.87234222741243,-37.099182746051966,-35.31843123739368,-33.576239778939296,-31.901940521261903,-30.313509896578502,-28.82966003718141,-27.47979051980766,-26.304249726726347,-25.343428345349796,-24.620176181343872,-24.124635227994847,-23.809327451390907,-23.598472801055784,-23.40894054302978,-23.17543286412177,-22.87080816596131,-22.513891781051495,-22.16239471761648,-21.893045646286648,-21.776747203159005,-21.85689100902717,-22.138271924020476,-22.588882848332865,-23.152939078414413,-23.769413276926016,-24.3888760829346,-24.98277498634306,-25.542517028634236,-26.07057028155694,-26.56877270019641,-27.030434350271904,-27.440375740821125,-27.783379169218207,-28.05679720836647,-28.281020553294518,-28.501574606369214,-28.780914457537,-29.18174687276111,-29.7476906596381,-30.487248764111268,-31.36627998091899,-32.311360466193186,-33.22358261120696,-34.00050003705799,-34.56094980509505,-34.867319754560754,-34.93849731813084,-34.84946743844603,-34.7153844602085,-34.66252570836383,-34.79309786517691,-35.15343155264504,-35.716369053877926,-36.38382831224601,-37.011376794333415,-37.44743391921167,-37.57608094998372,-37.34965318258024,-36.80177109897831,-36.038136167795805,-35.209494923119195,-34.47734175646912,-33.98146816447266,-33.816217123856184,-34.01607711772975,-34.5498297314692,-35.32238262004026,-36.185836687503226,-36.96371501302668,-37.48787760798544,-37.64262522641572,-37.40134191749344,-36.83989099462923,-36.11501499226909,-35.4094015423528,-34.86129102303376,-34.50550481761816,-34.25344208991158,-33.92333825110351,-33.315101282983875
7kg_10bpm,7CA,-40.88829173519705,-40.36201182912996,-40.53602132690967,-41.56017788526177,-43.383263639878905,-45.7499736845333,-48.265005621036515,-50.499262546858134,-52.10011820273742,-52.87037851864437,-52.7938234452597,-52.0045528071965,-50.71816443712133,-49.15524669655485,-47.48507037959631,-45.804090387640194,-44.14644745105027,-42.51092309958578,-40.887872225552655,-39.27656968575673,-37.69154413184844,-36.16126119757136,-34.722902968460026,-33.41536773970224,-32.27160352715749,-31.31153844630301,-30.537182163500393,-29.93119007681514,-29.45922881360493,-29.07527004951861,-28.727964772758355,-28.366272818497922,-27.943532716809873,-27.420877560913006,-26.772171106945187,-25.99190880246366,-25.104714754602274,-24.171817794781923,-23.288563530892862,-22.569451229401068,-22.12211328977972,-22.01727887346119,-22.265783263837527,-22.81274882188046,-23.552912138627075,-24.362372927960614,-25.134265435310866,-25.803460282089627,-26.351385951825296,-26.79247123044272,-27.15279231744101,-27.454077712786567,-27.710285154948913,-27.93453325664563,-28.148185786805975,-28.384472626199816,-28.684710830924107,-29.09022798674554,-29.63383105459608,-30.332300325075565,-31.17936686579452,-32.139418924005135,-33.14493637528867,-34.10220018597061,-34.907606299209796,-35.47130797315012,-35.74003454496551,-35.70994090668146,-35.424466487574975,-34.95993954282369,-34.40727758779254,-33.85826808895775,-33.40003598960785,-33.1145155864226,-33.075749765848215,-33.33919875166449,-33.922761724494656,-34.78622020235332,-35.81988883957379,-36.85222049001284,-37.68013260291076,-38.116546569181544,-38.04082672327087,-37.435376770204584,-36.396304468222034,-35.11550320828946,-33.84157838545565,-32.831660017049664,-32.303814745502265,-32.39554772335901,-33.13241832950891,-34.412449686219375,-36.0142202876475,-37.633915645753035,-38.94724459214723,-39.67969918233595,-39.66346712328333,-38.864774697046606,-37.378593088708406,-35.40107516176893,-33.194258042085956
7kg_10bpm,8CA,-36.4942311537962,-34.79798732747954,-33.61628166626893,-33.396097432415424,-34.45701921407023,-36.85871686722996,-40.32708719044176,-44.28192165905533,-47.97706684873608,-50.717920134617046,-52.080240389784024,-52.03999102689296,-50.950775108717224,-49.37076445365668,-47.81712073550074,-46.56808343568562,-45.60832156831799,-44.730124988540794,-43.71248987073564,-42.46208689229347,-41.03865953248155,-39.57206804296385,-38.14796889554617,-36.74895932465151,-35.288041948691436,-33.70102604155176,-32.02357313359685,-30.393643734772322,-28.97707348973587,-27.86975408854583,-27.045220997651732,-26.382989795862372,-25.755869761891304,-25.114215084169686,-24.51000796847106,-24.048918118037154,-23.809398815977335,-23.78778811935653,-23.905923165693668,-24.071719895871617,-24.246433808177596,-24.469678439621593,-24.824704670981763,-25.368150166805105,-26.07221290276482,-26.819458461271047,-27.4573095852179,-27.88047788309908,-28.08924180846826,-28.184925598217553,-28.3047237194798,-28.538562129204127,-28.88251823521006,-29.258635112876714,-29.586358769912422,-29.85541312555304,-30.1477717283082,-30.590450367988925,-31.268669563194635,-32.15710944361176,-33.11528623723873,-33.95004392531998,-34.5052447931429,-34.72611856495807,-34.66856292713603,-34.46017278535959,-34.24288453067368,-34.12691892184177,-34.1707917787886,-34.385731087000536,-34.752270090138076,-35.23392972254138,-35.778150904421054,-36.30692695890435,-36.71253084090293,-36.87612795655776,-36.712504331441295,-36.22065005455357,-35.506763706895356,-34.757498199686225,-34.171370849113124,-33.882992840586,-33.918443802198915,-34.19959982289031,-34.58670813073734,-34.93176385302471,-35.119401061871045,-35.08937597746035,-34.8479228876641,-34.47339871863345,-34.109980586927996,-33.937045975146894,-34.11156932899807,-34.70128137327373,-35.640287421432866,-36.73240756533909,-37.703190145704404,-38.276602778441685,-38.24430443217259,-37.50787025294448,-36.09466213865506
7kg_10bpm,9CA,-37.01069086791997,-36.897186688762055,-37.98546436934002,-40.32012691139958,-43.54149022564203,-46.9797040296089,-49.885263585279866,-51.69069665219834,-52.18906656386996,-51.56234200261502,-50.26081849338455,-48.7937060981901,-47.52425496923196,-46.55672122409785,-45.75593969517611,-44.873895608023815,-43.70628258297168,-42.19479636217391,-40.43039687138889,-38.57315459631818,-36.74806021163689,-34.980728915832955,-33.205865776626844,-31.336631152951156,-29.34832054746881,-27.322278785691587,-25.421475278568348,-23.814739749484698,-22.60094887136749,-21.780779207413513,-21.28533917179457,-21.03042469007727,-20.95559689590085,-21.031328837313545,-21.247039335198824,-21.60049410506142,-22.094564262277295,-22.733267023240494,-23.511937464185372,-24.407719476703235,-25.37944275611858,-26.378095012237395,-27.35963384682052,-28.289653187933116,-29.137614305770796,-29.870566642341554,-30.4594985157238,-30.90006913430102,-31.233040060808797,-31.543580787277552,-31.929874901286194,-32.453604164825684,-33.101640305698986,-33.78557884436755,-34.382911013758836,-34.79588272905813,-34.99167956508883,-35.00040464327999,-34.877481267427626,-34.66454661740096,-34.386218716776845,-34.0910171406543,-33.9007973983679,-34.010552266685906,-34.60440948198934,-35.715598213743704,-37.11829621063732,-38.34873354284736,-38.88742508754771,-38.423941926685686,-37.047799130977346,-35.233282383793316,-33.61170244082121,-32.66530196724597,-32.52581140860849,-32.98140376854836,-33.656091687413614,-34.229132346304034,-34.56503912288844,-34.70550910720693,-34.76619265520228,-34.82563246671246,-34.87624236228176,-34.853440965771775,-34.70784308934694,-34.46474395914404,-34.23098768142696,-34.14632620626819,-34.3091304414901,-34.718235016443394,-35.26355697702277,-35.77540294512695,-36.11183836974523,-36.234917185669175,-36.21939546540358,-36.17088201860107,-36.09681825295265,-35.828021129280245,-35.07572475021973,-33.61879016164087,-31.50738418743824
7kg_10bpm,10CA,-39.14548159917949,-39.647889298793565,-41.00061819214163,-43.154270380935785,-45.84202510650364,-48.61817294725034,-50.96855101063203,-52.457795787067845,-52.85989007378661,-52.22085786841147,-50.826168464180476,-49.083680548066916,-47.37011195143426,-45.90565258586111,-44.706864834420635,-43.62946387334559,-42.47072888201146,-41.07782755940436,-39.41332321115867,-37.55651720737005,-35.65221041631003,-33.84008756676409,-32.20004760241574,-30.73452761667633,-29.388543258118105,-28.09222204891941,-26.80430363349572,-25.537996135345594,-24.35959663598707,-23.362111895735577,-22.627089708723748,-22.193277884786596,-22.046744629460512,-22.13474996490301,-22.392201874212358,-22.764068732153014,-23.21337050512852,-23.716723512146498,-24.257400741610525,-24.823803121957745,-25.412931039077097,-26.032455513082237,-26.696087120483632,-27.41263665494947,-28.173953387781463,-28.94801076213446,-29.68138073234511,-30.311638944935734,-30.786068239338086,-31.079797630604823,-31.20584448795046,-31.212341287453693,-31.167800707968723,-31.140974711401796,-31.18443152717175,-31.32863402365221,-31.586902762124147,-31.964374798843362,-32.460404488916865,-33.05764774118761,-33.702303455396674,-34.29207987034401,-34.69088116286579,-34.77635822310413,-34.504640132502146,-33.9601541724242,-33.358849851665276,-32.9914691369643,-33.12082943054904,-33.870205587294315,-35.148838460766434,-36.65195307360766,-37.94779289325099,-38.62871581990457,-38.46981029249052,-37.52481214512483,-36.10933800602226,-34.67236352433949,-33.61376567053461,-33.13483849716744,-33.190598471093686,-33.55768809002214,-33.97265622345227,-34.2649709752991,-34.42024115150754,-34.55116789605819,-34.802132490886876,-35.243891164687604,-35.815129830297174,-36.34051110393566,-36.61513129463718,-36.512246746080926,-36.059491095539464,-35.44292486788468,-34.931214318626346,-34.749635713872586,-34.959450729496986,-35.40087255950118,-35.7345267295825,-35.57444431402781,-34.66139458214909
7kg_10bpm,11CA,-41.531570410137086,-40.87050854023307,-40.912678553603,-41.86280280687114,-43.66874498949018,-46.028186416213835,-48.47610900084259,-50.5232697348421,-51.79620958896267,-52.13191344610713,-51.59784947040615,-50.43673459928743,-48.96603172111766,-47.47434886976394,-46.150402322168,-45.060376152202714,-44.16571652643609,-43.36152748153797,-42.51707607478898,-41.508407092899276,-40.24198801354425,-38.6720014913659,-36.81187940904386,-34.73698344628185,-32.574703854143856,-30.480974290351575,-28.607222382519364,-27.066931379922696,-25.912507105636593,-25.12979538554644,-24.65148098081379,-24.383525608829125,-24.233911339514666,-24.1336588365124,-24.044405528021905,-23.953097060893896,-23.86018681714947,-23.76957885214601,-23.6865071836373,-23.624425258955515,-23.61583895563576,-23.718371277600138,-24.00791810411272,-24.55625662656736,-25.399302529413102,-26.508978388073025,-27.7832406639313,-29.063231514169544,-30.174334851871045,-30.977415954768922,-31.411648016577207,-31.512466715920702,-31.39814999871946,-31.229763820605733,-31.15802930753987,-31.275634358867016,-31.59125137230246,-32.03306686188357,-32.47913553569539,-32.8019155331109,-32.9097033565983,-32.7715109394181,-32.41993333075448,-31.935337264056777,-31.420787898163365,-30.977137185636987,-30.68455375396053,-30.592893610216183,-30.71989473650553,-31.054756033512636,-31.564796294077194,-32.20360336788108,-32.91959715450258,-33.66414192595684,-34.3978986246224,-35.093410057289894,-35.73206054274988,-36.29529180955114,-36.75342188305999,-37.05920385562477,-37.15358973502022,-36.98641172633755,-36.54663238109662,-35.88878730955066,-35.14044665354646,-34.48131856650888,-34.09522139941766,-34.108876904506765,-34.54012942113081,-35.277798513203294,-36.106765461571,-36.775129890805914,-37.08038861074213,-36.941313956755224,-36.424689376599815,-35.71294910562024,-35.02622150894966,-34.53220782192533,-34.282571487462505,-34.20299811803125,-34.13801981432408
7kg_10bpm,12CA,-41.312717884456525,-41.74347419474617,-42.68618168505829,-44.13090583670917,-45.95455286141721,-47.933464301049646,-49.78912218279347,-51.253260259174915,-52.13190942589892,-52.349419423156306,-51.95881052336157,-51.11652992391333,-50.03025538714361,-48.89614309260982,-47.84667012580737,-46.92539141755972,-46.09406158768264,-45.265231414485044,-44.34285505574994,-43.25342646560103,-41.9577540667006,-40.44469398436677,-38.717883669880536,-36.7879027606559,-34.67683479454338,-32.43244185268618,-30.141486445960226,-27.930301225264646,-25.946017550770428,-24.322622477633658,-23.144220997842748,-22.421065935673365,-22.08931691350814,-22.03425733174008,-22.127197483424368,-22.260699745819565,-22.3688167161502,-22.427789368171286,-22.44153982700796,-22.422983276200366,-22.382540568400383,-22.32960389339218,-22.284745755853653,-22.2930427295064,-22.42706682686501,-22.77218530379995,-23.396336254159912,-24.316694742266826,-25.479513519822344,-26.766008404163827,-28.024769651202256,-29.11794148256959,-29.962321695361776,-30.54842752481315,-30.932074595896292,-31.204772212875106,-31.456370396394682,-31.745175248822143,-32.08517530442575,-32.45210387617842,-32.80272319690921,-33.096937001748366,-33.3135413892256,-33.45453086085934,-33.53841170708102,-33.58779011802359,-33.617866230615974,-33.631292559168344,-33.62110084477876,-33.57916213308193,-33.50511736969638,-33.410469365127824,-33.31545169621785,-33.24037714369824,-33.19671990954429,-33.18424191846239,-33.197323029195196,-33.23823988925746,-33.32947640222414,-33.515623883183494,-33.84970560399693,-34.36672519876972,-35.05611551346528,-35.84766831328167,-36.62151655927834,-37.24290999934028,-37.60925428626321,-37.689682940279425,-37.53786692330837,-37.2694305906988,-37.01347019016733,-36.860448623016154,-36.832202360666976,-36.88757888856459,-36.956234860907074,-36.97770086816343,-36.920260674573434,-36.7698229923261,-36.50036326152671,-36.051431059791895,-35.33524204919999
