cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-82.72837387170689,-78.46421198159734,-74.8186284475625,-72.48133582587799,-71.71966263341747,-72.32040801487396,-73.69656450723205,-75.1137867046035,-75.94930067179462,-75.88832475829058,-74.99106827178929,-73.61667219690715,-72.24702478353294,-71.28817561487982,-70.92623894048916,-71.08308335351651,-71.47329488925706,-71.72749575905642,-71.53015514885954,-70.72466290124213,-69.35856607067126,-67.66573718041491,-65.99867428700391,-64.73082975180323,-64.15194453941119,-64.38277057674966,-65.33489375545608,-66.73033752142784,-68.17636541684682,-69.27263318508264,-69.71801007636228,-69.38509560459882,-68.34074661040555,-66.80806396988582,-65.08449642931379,-63.445442527844804,-62.067365756895484,-60.99642222314695,-60.170431219038456,-59.48066361425767,-58.84402889957303,-58.25289865383406,-57.78145436805832,-57.549479118759365,-57.665702033928326,-58.18090471419088,-59.07178415896025,-60.25721713876872,-61.632205471556006,-63.1003211212991,-64.59232146304356,-66.06953843163812,-67.51807850466166,-68.94074924992562,-70.3503232022043,-71.76433444064574,-73.2001139599498,-74.66926349316982,-76.17251576720294,-77.69741695295028,-79.22095770532586,-80.71679585639748,-82.16305243915515,-83.54448090711251,-84.8453988999284,-86.03714287178494,-87.07057749664061,-87.88322902377597,-88.42018295774012,-88.65558120068061,-88.59892246316096,-88.28157151736164,-87.73534761498095,-86.98276234326644,-86.05017315100753,-84.99603055251251,-83.93011152744836,-82.99944686677824,-82.33631362054051,-81.99204745596008,-81.89715604355995,-81.87879797152878,-81.73479700843488,-81.32900566060317,-80.65823472483997,-79.85499719551801,-79.12389230465001,-78.64409109547167,-78.48910987537859,-78.60857234388664,-78.88531960633077,-79.23707378177036,-79.69859027096912,-80.42334381265549,-81.58998318804775,-83.26141822333919,-85.27994176098525,-87.26531890172723,-88.72738077762466,-89.24715589406372,-88.65147658753928
15kg_10bpm,10BC,-95.58521121784996,-94.56660235584701,-92.37000903096984,-89.33348126127585,-86.01342207895068,-83.03452606322732,-80.9207099669813,-79.95241100582153,-80.09623550221274,-81.02557024227707,-82.22607106318374,-83.14711200538483,-83.35014091451279,-82.60993182137388,-80.94022329177835,-78.55096185122288,-75.75819413728016,-72.88579411597884,-70.18853154650711,-67.81602011755375,-65.8165761717706,-64.17026808268801,-62.83099641377104,-61.76168682589527,-60.951814367705175,-60.41509489591109,-60.17307403772382,-60.233852562173645,-60.5764976661977,-61.14760488219986,-61.87159532309434,-62.66990011375475,-63.481194790741846,-64.27518925365571,-65.05504371993979,-65.84934594359855,-66.6969576082933,-67.63055017663063,-68.66300389505948,-69.77974124909926,-70.93765569380774,-72.0712100119132,-73.10444513458631,-73.96738710835801,-74.6134189242765,-75.03291893030863,-75.2587506794455,-75.35989072964331,-75.42320721081926,-75.52684610123423,-75.71315599182756,-75.96953154474465,-76.22622606193889,-76.37305446948228,-76.29298426119588,-75.90205160534526,-75.18255610578117,-74.19705940207714,-73.0767809685581,-71.9870845425428,-71.08135443120973,-70.45962155894794,-70.1448352492147,-70.08524025254233,-70.17835328391892,-70.30809827375201,-70.38091258827858,-70.3502265299499,-70.22276373801444,-70.0471425058362,-69.89007531851807,-69.80928928356542,-69.83279045931955,-69.95120480264383,-70.12699486856751,-70.3173924213329,-70.50411504903705,-70.7183090902452,-71.04956987761766,-71.63093571794181,-72.5997394384518,-74.04337720379576,-75.94548008298902,-78.15458701408232,-80.38935397933051,-82.29084252856963,-83.51284319175386,-83.83145512186951,-83.24032971922718,-82.00032447089755,-80.6145969165438,-79.72686314640697,-79.95906293087157,-81.73270680967104,-85.13187444444073,-89.85142487100045,-95.25663776950316,-100.5317007157719,-104.8720945434915,-107.6573268833022,-108.56499647173834
15kg_10bpm,10CA,-99.49706545295675,-98.48883649222616,-93.24136508024105,-85.70887104597796,-78.82325484497501,-75.18399637973071,-75.9758289032511,-80.63235883960955,-87.30421167847662,-93.76530301683384,-98.26515496440608,-100.00017920421044,-99.13749916697957,-96.51369588822757,-93.20371627989452,-90.1390331905107,-87.88501520079382,-86.59957733602097,-86.12467884479378,-86.13281104690905,-86.26192571273216,-86.20516657404146,-85.75346947890249,-84.80600641836398,-83.36439244234283,-81.51758985351275,-79.41436398468028,-77.21823572460265,-75.05036365632795,-72.94140803083395,-70.81959545948051,-68.55063825164842,-66.02072609596907,-63.22937778536479,-60.347724688671846,-57.70762834555292,-55.71553297998959,-54.718009018714795,-54.86636595849069,-56.0296818456012,-57.794076289447325,-59.563355327583395,-60.74130454806479,-60.936729512321925,-60.10931585429182,-58.58803381646164,-56.94588709935556,-55.78020160644101,-55.48994207779849,-56.14069429692053,-57.469400551977046,-59.02289957939209,-60.3664618050996,-61.26406315582897,-61.74603201401387,-62.04345097546156,-62.443191527004466,-63.15022302798942,-64.21739776374665,-65.55027126314835,-66.96130510967905,-68.24613750915672,-69.26229033715148,-69.98704558236317,-70.52308995588776,-71.03196312995307,-71.6159804915642,-72.21619116106659,-72.60666004848595,-72.52091714094384,-71.86271828153984,-70.8821524537232,-70.19098772519234,-70.5607468574999,-72.55874306911458,-76.17643285031559,-80.6470221601369,-84.60511948806338,-86.5971744440953,-85.74646656131294,-82.22804356789224,-77.25313181333023,-72.52392759241313,-69.44533036171305,-68.53570163755928,-69.34543597225463,-70.87270864374553,-72.18679990461743,-72.89576176047959,-73.23180219764117,-73.76251825870526,-74.93740229172222,-76.75598797458976,-78.76157872103052,-80.35569017002331,-81.20647019188718,-81.44075847236942,-81.4508512626274,-81.442108613731,-81.0826123954548,-79.58566518154298
15kg_10bpm,11AB,-89.57686997939611,-84.32219046402072,-78.0579937207673,-72.5912285597591,-69.21088852178691,-68.35803824715859,-69.65966077918048,-72.24015111509462,-75.12859985302843,-77.58129741870266,-79.21841069526275,-79.98032642590674,-79.98620941698076,-79.39331555062813,-78.31882413599854,-76.8323269513894,-74.99099949189774,-72.88181662254357,-70.6450807876442,-68.46711772381583,-66.54335336731616,-65.02726229821897,-63.99113532938446,-63.42104692022278,-63.24784744713505,-63.391305829798185,-63.78568631375752,-64.37074004526468,-65.06085673322794,-65.72476232521066,-66.20342176197836,-66.36676597198837,-66.17789565021835,-65.71958815545939,-65.15594694111614,-64.64339342835173,-64.24211773910797,-63.883993945834156,-63.41984871063964,-62.71961246500889,-61.766679613996914,-60.692497635122656,-59.73295845488303,-59.13106642507652,-59.03696985320658,-59.454713246893355,-60.25804204241704,-61.26079202498078,-62.30108442768474,-63.29665786625093,-64.25040436602907,-65.21571521767014,-66.25135144953316,-67.39377325694207,-68.6550388522735,-70.03323280316488,-71.51639849914108,-73.07273510392402,-74.6371740490524,-76.11214685422235,-77.39229178213327,-78.40561014479331,-79.15042803867088,-79.70743703743611,-80.21760645955949,-80.8317760436204,-81.64959857320943,-82.67178117936707,-83.78848293537789,-84.81539679271737,-85.56854227729566,-85.94773808010088,-85.98891254678048,-85.85401878622638,-85.75233866030862,-85.81843728332488,-85.99724277389826,-85.99511683576375,-85.34165313098549,-83.5704493056681,-80.47534863057496,-76.34665066778709,-72.0634212084998,-68.9400862095285,-68.31185838230618,-70.97503046042432,-76.71477037985585,-84.17689255445288,-91.22519766772513,-95.70248692483686,-96.288722021153,-93.05684721532577,-87.44319168410696,-81.63432251317089,-77.67314300686262,-76.7226590164395,-78.80906053939586,-83.07561686330641,-88.30985032206922,-93.4234261579954,-97.68442956425604
15kg_10bpm,11BC,-89.93420791636768,-89.24921364322458,-87.71940590660104,-85.79859351987908,-84.01129409227465,-82.7901591805982,-82.34870843692549,-82.62336863539936,-83.30586862556774,-83.94786927383126,-84.10303235262334,-83.45621095013502,-81.90218309037776,-79.5524883932252,-76.67936097149702,-73.62267181581157,-70.69470091526297,-68.11217488854099,-65.97109373163588,-64.26344533825392,-62.92131593645103,-61.86883124906347,-61.06160348565745,-60.50169591875924,-60.225465059644456,-60.272615549791624,-60.65092952852639,-61.312623375673866,-62.15269026484667,-63.03108058724183,-63.81034810244039,-64.3957355455834,-64.76354709887322,-64.96936299145568,-65.1329662498608,-65.40589468589175,-65.92973329334059,-66.79710839583839,-68.0241773328642,-69.54267330575163,-71.21209267269168,-72.85002156227142,-74.2718367497877,-75.32984692625254,-75.94136700991137,-76.10026503925427,-75.87115146905106,-75.37039514802278,-74.74111001600409,-74.1271975039444,-73.65033174662952,-73.39058953828157,-73.37255829064823,-73.55858466277105,-73.85400283565048,-74.1267518708917,-74.24095820576302,-74.09749136318612,-73.66969545456907,-73.02040836933071,-72.29074096438016,-71.66097342939688,-71.29415469187128,-71.28257967109825,-71.61673010924663,-72.18960176613487,-72.83344121185037,-73.37553363517681,-73.69057996143643,-73.73237430969569,-73.53510475955142,-73.18906302399208,-72.80132337320187,-72.4571375270322,-72.19318944528786,-71.99074836553783,-71.78954357383948,-71.52070073078289,-71.1505713541296,-70.72425912542218,-70.39079975196606,-70.3947084421368,-71.02252177640057,-72.51064014760271,-74.93591203018971,-78.12879143477645,-81.64715157571145,-84.83993080369929,-87.00098915328647,-87.57978609974218,-86.38685368189638,-83.7213030946446,-80.36526375223121,-77.42185899382902,-76.03529817093046,-77.06328375723822,-80.80492832505145,-86.86278101560791,-94.19982454048417,-101.37556545968962,-106.91814994822289
15kg_10bpm,11CA,-80.81532949498211,-78.92458208302949,-77.86130498325593,-77.6142257679996,-77.87281694444675,-78.2619134486809,-78.60050472574547,-79.02399906518531,-79.89466636312287,-81.55439305883196,-84.06612385019143,-87.09352332011933,-89.98864909184418,-92.04519735225588,-92.79025114965665,-92.17129765836022,-90.55332347042247,-88.54029151449669,-86.72054340009754,-85.4610655028462,-84.8333732007,-84.6756049725986,-84.72933776974786,-84.76955747166369,-84.67335596596762,-84.41990357284361,-84.04859993709886,-83.60961016730684,-83.12861452002062,-82.5915775392074,-81.94657653363997,-81.11894306836116,-80.03708860851962,-78.66387954132661,-77.02290347230104,-75.20655405966586,-73.35860716292056,-71.63571730101047,-70.16211309588824,-68.99364257231636,-68.1019687215615,-67.38231622087979,-66.68221182615659,-65.84359646775192,-64.7461167290766,-63.338482401697476,-61.650049437700304,-59.78308096535708,-57.891569268640126,-56.153154860631695,-54.73913523269441,-53.786272778684996,-53.37350944401593,-53.50677949177896,-54.115796686292256,-55.0664917713913,-56.18933881340552,-57.317148054041276,-58.32030071580498,-59.12822596805446,-59.73385717579665,-60.186886926216076,-60.583953292935895,-61.05753453104975,-61.75725072713151,-62.81601898958895,-64.30095042596054,-66.1611467533836,-68.19631628910162,-70.0744385041208,-71.4156564027123,-71.93117715327905,-71.57065022045643,-70.60898785017152,-69.61131650726925,-69.2571571583934,-70.06999331691739,-72.15914354720525,-75.10234159526566,-78.05392998171956,-80.06144214047217,-80.46010409226486,-79.15878076911548,-76.67684535798736,-73.92080761612905,-71.82310448882313,-71.01834729563491,-71.67971489041915,-73.5326911876922,-75.98617452799293,-78.31182634066487,-79.8346453428108,-80.11670117761285,-79.09878849523321,-77.14067619623924,-74.91590062872552,-73.18176267070469,-72.51660794823013,-73.13695990459512,-74.85856731669362,-77.18661278594593
15kg_10bpm,12AB,-90.27409585507418,-84.76807379014276,-78.26923160150378,-72.44423655242429,-68.57382577868222,-67.17999616236311,-67.98472571209169,-70.1593516113195,-72.70429419689852,-74.78208701168838,-75.89453096500792,-75.89253922768762,-74.88275395967237,-73.1200988759154,-70.94698103324313,-68.7780380854736,-67.07535975739374,-66.25687423361478,-66.54121225750977,-67.81234474530858,-69.61411046350108,-71.32016295946856,-72.40788013387629,-72.68492671527953,-72.33884451342395,-71.78878836975872,-71.43516733647525,-71.45040343123824,-71.71342778104568,-71.90082156056752,-71.66661299051717,-70.81074210820614,-69.3594208028252,-67.53632634046397,-65.65750067416157,-64.00924427600295,-62.76159348112435,-61.94248746620184,-61.467718918791896,-61.20150539213199,-61.01555264259502,-60.82078466921857,-60.564193906197175,-60.206617857526766,-59.71163374634085,-59.06823449285752,-58.34147103374784,-57.71487531460654,-57.48092828941036,-57.96151931356481,-59.38532446470361,-61.7826879427682,-64.95524370576588,-68.53759839933288,-72.1183289582617,-75.35877067130701,-78.05710694367212,-80.1440852989509,-81.63705087136519,-82.59467540538253,-83.10133792541866,-83.28157820859815,-83.31949582408053,-83.4495835568231,-83.90030880964588,-84.80367147424919,-86.11442253456671,-87.58897859536529,-88.84686507237272,-89.49295256648216,-89.24839451704291,-88.04144461819578,-86.03660742706025,-83.60469983085446,-81.24138619056473,-79.43894994267033,-78.52867291755778,-78.54330845555884,-79.1744151011402,-79.88170775696074,-80.13959988352269,-79.71314579734164,-78.80609418577352,-77.96780425125158,-77.77594167724068,-78.45852018408779,-79.68737166881888,-80.70325384516762,-80.74127387021693,-79.52467608631873,-77.52259703011067,-75.78671112364559,-75.42690078184445,-77.00319390259051,-80.16613935612294,-83.74578267714088,-86.25855981085891,-86.59879796331778,-84.59511730662719,-81.16643919224533,-77.98313721369036
15kg_10bpm,12BC,-78.32730846445084,-80.0117888254569,-83.32958709250546,-87.39698742289386,-91.13858520193946,-93.54871284874275,-93.9601100326092,-92.24003821142338,-88.8446636978542,-84.69698318070384,-80.91006013896768,-78.44411526996647,-77.8107504705292,-78.92763195883971,-81.17531853505582,-83.62476676640189,-85.3480859543919,-85.69767107138922,-84.45895126432704,-81.84422836810204,-78.3539655598833,-74.57764130966586,-71.01687651459116,-67.98462190693044,-65.59658222677135,-63.831107096171245,-62.61290355656591,-61.87916487581684,-61.60327161422338,-61.77703286365984,-62.371810301808296,-63.305736893262356,-64.43794448264748,-65.59358532935262,-66.6081653532367,-67.37082991252093,-67.84869196317048,-68.0855806645462,-68.17941119131129,-68.24975758447462,-68.40722531867692,-68.73062044376141,-69.25308610096648,-69.95575856535052,-70.76836114343347,-71.57867708794427,-72.25328170840218,-72.66874453559713,-72.74816070110673,-72.49242453854653,-71.99297960310035,-71.41626393290578,-70.95781454749849,-70.77718179225106,-70.93727950423116,-71.3741751214629,-71.91597490329224,-72.34881432792781,-72.50472374696147,-72.33443988945226,-71.93036751040242,-71.48825415243103,-71.22465013174215,-71.28680271717104,-71.69577754071184,-72.34452007799827,-73.04675442964563,-73.61158195949515,-73.91017836171298,-73.91148677175552,-73.67989319857035,-73.34269773178332,-73.04356869006013,-72.89600535313842,-72.94654114595163,-73.15360485812558,-73.38615763458334,-73.44754823284745,-73.12897575736041,-72.28901124309628,-70.9439107261235,-69.33699964062197,-67.94476599562269,-67.38797121160462,-68.24481052983863,-70.81319680770169,-74.91509331774681,-79.8414508802161,-84.50306235240512,-87.77040919086713,-88.89197292857051,-87.83158140612763,-85.36413461371947,-82.85870694600675,-81.80958544894219,-83.28390204297588,-87.51080113702605,-93.77218481392977,-100.62662285042096,-106.37333595966084,-109.57616058329263
15kg_10bpm,13AB,-77.66513625144842,-75.80887809277321,-74.54741688987733,-73.7509145521387,-73.20741660003583,-72.74918519612153,-72.33113194810528,-72.03623122004038,-72.00417841251526,-72.32064993782024,-72.93700043943954,-73.67462386489602,-74.30723835670851,-74.65910292382657,-74.6546545358098,-74.30251677780083,-73.649834184752,-72.75808434286718,-71.72154620670143,-70.70470758297631,-69.95313013390688,-69.7469238047175,-70.30175832283594,-71.65635812512136,-73.60201931841084,-75.70037583629731,-77.39968187738434,-78.21090192647324,-77.87080665502748,-76.42305340924005,-74.18672702175017,-71.63074332673013,-69.2087039498864,-67.22001084532235,-65.74580761296195,-64.67073418763526,-63.764653891285626,-62.78256043890511,-61.54827460759598,-60.004848462705894,-58.22826631200937,-56.40722702952511,-54.794339794386225,-53.63852724918868,-53.1166655320707,-53.28886696750597,-54.096518368743325,-55.40249565591314,-57.050006365602755,-58.907957580259286,-60.88482564741164,-62.91834386540889,-64.96319732678049,-66.99225600367672,-69.00742595604687,-71.04241929743442,-73.14353513989856,-75.33160256380391,-77.56323311248357,-79.71211206983543,-81.58305705162776,-82.95937305291652,-83.67104421633923,-83.65957905971965,-83.01056088943052,-81.93558095905664,-80.71183417538249,-79.61286813989022,-78.86327483846358,-78.62093309815964,-78.9623571291167,-79.85241847148038,-81.11630244988872,-82.45826925586216,-83.55166770319505,-84.16617022155374,-84.25115763911094,-83.90571453881287,-83.23936807436701,-82.21756575309674,-80.62556520693167,-78.23133048413965,-75.09671043863094,-71.84949594819957,-69.68292602862681,-69.95569835929307,-73.4994914512464,-79.97747216954672,-87.70850642783823,-94.1818472827255,-97.1072887254396,-95.49836006473484,-90.2054246329857,-83.58395130978414,-78.45679933772307,-76.91384611361104,-79.5416866997779,-85.37859340725778,-92.47684024622122,-98.704817330604,-102.4379791380429
15kg_10bpm,13BC,-87.35113601601769,-83.50439883310818,-79.53925514159643,-76.23766390502632,-74.30200639686072,-74.13747622981475,-75.72910601658184,-78.64575673127975,-82.16886279973004,-85.49191522359199,-87.92427711939497,-89.03807700719292,-88.72654716848652,-87.17473159332116,-84.76401112444135,-81.94993669738882,-79.14534809499874,-76.63809329389817,-74.55458308201644,-72.87153670996989,-71.46273557904019,-70.16323835063669,-68.83124450722666,-67.39115452603302,-65.84957526557592,-64.28380752847181,-62.81205325716642,-61.5570897632205,-60.61683773331325,-60.04895793295887,-59.871085492952986,-60.070848940516015,-60.618087918547786,-61.47269086924254,-62.58565688388456,-63.89546428458071,-65.32423961404103,-66.77783488455646,-68.15237270938891,-69.34658176521197,-70.27752174405661,-70.89531251540697,-71.1931002603139,-71.20910534704278,-71.01970801040802,-70.72534705723795,-70.43206500092539,-70.23352088597186,-70.1969925007057,-70.3560344401112,-70.70920759072933,-71.2230978705076,-71.83764688017209,-72.47291544363644,-73.03882603943032,-73.44901941137958,-73.6386144304666,-73.58196634463027,-73.30453028587196,-72.88300891305629,-72.43048891544164,-72.06947626857968,-71.89944649601972,-71.96993589148575,-72.2679960319735,-72.72602377801448,-73.24683923162333,-73.7370750737787,-74.13516214474026,-74.42255621686904,-74.61340512480608,-74.7279647669566,-74.76308588825982,-74.67565031935618,-74.38994584982329,-73.82974102092236,-72.96479628484013,-71.85402922367001,-70.66753061628692,-69.67369512775808,-69.190296116054,-69.5062920954766,-70.79456200353815,-73.03771757501592,-75.99433454316778,-79.22125908099083,-82.15805128659869,-84.26140315996194,-85.15861186850705,-84.7784424858309,-83.41125001074188,-81.67110514436412,-80.35100192835385,-80.2093452801602,-81.74436727812456,-85.03141998819375,-89.6713330097137,-94.8710045701115,-99.635589058021,-103.01979689991634,-104.3764325590925
