cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-37.18450478700055,-34.86160571330762,-33.10808884820922,-32.44070465336315,-33.03036316215023,-34.6918600949963,-36.97024296986539,-39.28775031561392,-41.10451062513648,-42.04799395979453,-41.980361907961665,-40.99426542107057,-39.34930136902482,-37.37733355438901,-35.39041514781566,-33.61774911229898,-32.18171054003182,-31.106726386712115,-30.346850815872887,-29.819077174494424,-29.43446875154052,-29.122572535569184,-28.845269905728827,-28.596915054491863,-28.390721930000186,-28.236889150375813,-28.123531729475843,-28.012648306949202,-27.856395869977195,-27.625958116414672,-27.334987762533796,-27.04079228034945,-26.820098699537088,-26.733435470731578,-26.799502563921628,-26.99220433215177,-27.256911869763698,-27.533393589815617,-27.775075662772323,-27.960474925301032,-28.09575416587423,-28.208352681400385,-28.33434382833417,-28.50559470927791,-28.74259666196103,-29.054213379008186,-29.441194875728826,-29.90029062777731,-30.42813193926885,-31.02387602656089,-31.6874002923915,-32.411268075547476,-33.171300744835506,-33.92553347909061,-34.627332886749784,-35.247313472152555,-35.78995321095708,-36.29238486286641,-36.80417023860758,-37.35961433650313,-37.95884935822019,-38.567406671915364,-39.13196077028489,-39.60161478393248,-39.94418711807472,-40.1525848418476,-40.24181488653621,-40.23979140154173,-40.175620302656206,-40.068887942548194,-39.92319647827988,-39.72665597377903,-39.46053220877062,-39.11378178361091,-38.69651335736137,-38.24294313087235,-37.79777920704357,-37.38942074409507,-37.00451543124713,-36.58381099037987,-36.052549263889375,-35.37997887540755,-34.64062510862397,-34.038526095730944,-33.865247917798754,-34.39245600503487,-35.73664481186121,-37.75739163149699,-40.04570071015543,-42.024001091195714,-43.1292640399641,-43.010842989644,-41.66644488835478,-39.466948649715484,-37.066532701927514,-35.23218150904571,-34.63952427551698,-35.67599919635268,-38.28888701858407,-41.927747663302085,-45.641588307942484
7kg_10bpm,2AB,-34.647801571498135,-32.805738548236214,-31.71066928548709,-31.540855673243193,-32.271010196825415,-33.685903679537304,-35.441954048883844,-37.15296642295013,-38.474800811727576,-39.1690192992239,-39.13473784188819,-38.40923285234991,-37.14194329390694,-35.5503786776907,-33.868919869189725,-32.301034336990526,-30.986192328056386,-29.987960584583817,-29.303128290502123,-28.885465088189548,-28.672442609581516,-28.605089461629227,-28.63582424269608,-28.725832044414545,-28.83855296271226,-28.936467792361654,-28.98504929843207,-28.962035569505346,-28.866097503737777,-28.71819195940173,-28.55309000101558,-28.40379949831993,-28.28597963911926,-28.189731449674447,-28.082338081878248,-27.92091593716329,-27.66954288348651,-27.314846397874405,-26.875176182300983,-26.40088365139427,-25.966073738661194,-25.653629092999367,-25.537107357689614,-25.663873030332457,-26.043703702433803,-26.646775606972728,-27.412095762054147,-28.264756794319638,-29.137136152384098,-29.986701232237618,-30.804338995927154,-31.61024766930558,-32.44020185230751,-33.32891952479264,-34.29743943040939,-35.348382630696754,-36.467636057668074,-37.62813326424526,-38.791772916350894,-39.90879063802583,-40.917530116150985,-41.74899615545972,-42.33828113171888,-42.64097729305915,-42.64859802367751,-42.39589369809843,-41.95594300328976,-41.42316763388128,-40.88991289655077,-40.42434065920484,-40.05615616884515,-39.77362765892826,-39.53060087462162,-39.260212539968684,-38.89159376885046,-38.3670416020617,-37.65930788729654,-36.78835874085633,-35.83499224631971,-34.94570661368773,-34.32021462778507,-34.1757335209029,-34.68954636065393,-35.93158020991118,-37.81054477402471,-40.05775985548506,-42.26607334927625,-43.98338656936065,-44.83580502041124,-44.64295911601917,-43.48198165746915,-41.674713526698994,-39.69996980739653,-38.05867062599041,-37.14066997351533,-37.135305441526285,-38.00986714797555,-39.552210472035085,-41.450103268031725,-43.37611292337563,-45.05225221164801
7kg_10bpm,3AB,-37.490325638719256,-34.643380505168594,-32.58914768361205,-31.70812480360259,-32.10864524916295,-33.607470246050816,-35.78479809603211,-38.093605442473816,-39.99440052087603,-41.07548404370704,-41.132041273470826,-40.18520003769699,-38.44675064550004,-36.24346797735012,-33.927838991735086,-31.799761619711926,-30.057584970418574,-28.784515206763515,-27.964933202911514,-27.518874865667424,-27.339284339822775,-27.322481044804217,-27.386388099468565,-27.47750051869017,-27.56925334671208,-27.655927073330847,-27.744745586701693,-27.847957934082793,-27.975745947316625,-28.130391925752335,-28.302560439882917,-28.47053943840753,-28.60322822374345,-28.666240249907524,-28.62976238674792,-28.475756918610763,-28.202561221508272,-27.825347199756493,-27.372682279803517,-26.880700990814677,-26.38746115340634,-25.93001687227993,-25.545139034717874,-25.272308750468685,-25.15581300546125,-25.242429966934818,-25.57331149427348,-26.17159708340554,-27.030800263174687,-28.10924720806881,-29.334896391532755,-30.62010356010291,-31.88190045266781,-33.060555402465454,-34.130020272887755,-35.09719283478891,-35.99096081862084,-36.845703512817515,-37.684642277896316,-38.508484895380306,-39.29231715024708,-39.99191728708459,-40.55709148425105,-40.948035871203054,-41.148644082200775,-41.17220003550947,-41.05687188173191,-40.85337983736062,-40.60965073064048,-40.358431244959185,-40.11121896410434,-39.858917643131626,-39.57716640235916,-39.23442633185054,-38.802688527448005,-38.27127459888542,-37.663323227986346,-37.05021266084404,-36.55680700024123,-36.34816413721126,-36.59403581681437,-37.41478073899877,-38.823948985032274,-40.68800980548564,-42.72420281499729,-44.54773758163987,-45.76102279059547,-46.06233344160783,-45.33734282864691,-43.70283895968763,-41.48194187060503,-39.12150628890522,-37.07724912463241,-35.70845850511594,-35.21250109466721,-35.61517145298108,-36.80560000036583,-38.59291564238831,-40.7584767090057,-43.08718089569516,-45.37687414223068
7kg_10bpm,4AB,-39.35911003461584,-37.10939959701101,-35.00241093748432,-33.58087048590358,-33.20407398315198,-33.94665833105855,-35.581436626979745,-37.64571389529957,-39.57348892547998,-40.84895074602888,-41.137545738756245,-40.35532641383015,-38.66324888105095,-36.39595510494088,-33.953926355446114,-31.698241899065483,-29.87711362727034,-28.60012118102873,-27.853597403953234,-27.54196609991726,-27.533085261582322,-27.69384385445937,-27.910260904245597,-28.094998913091114,-28.188694049055393,-28.160422894774733,-28.00943770731262,-27.765906878181916,-27.487238424293785,-27.247559259421717,-27.120606669375668,-27.16013886120655,-27.3830936179245,-27.761467361561483,-28.225543621398277,-28.6790097035538,-29.021756131221178,-29.174141062708564,-29.095524765554774,-28.792166822600255,-28.31325953700631,-27.736913565422846,-27.15143340865083,-26.636870031175732,-26.251799108040682,-26.02731614958294,-25.968579110592515,-26.061667762321342,-26.282968077653837,-26.608349448168056,-27.01998067907443,-27.509922174237605,-28.080452705419745,-28.742057396711587,-29.509646668515916,-30.39730154152092,-31.41153196898746,-32.54430206477374,-33.76856021223643,-35.039499191614944,-36.30302112783487,-37.50878700978862,-38.62245478530576,-39.63083392517036,-40.537229272732624,-41.34846431334872,-42.05996272124003,-42.64595795836561,-43.06055979370566,-43.25002311192172,-43.172288123964,-42.8157858292583,-42.210642014309684,-41.42798702237512,-40.56898634279328,-39.748563757202795,-39.079492256833376,-38.660441480898285,-38.56739248430484,-38.845634573864906,-39.49909517803795,-40.47769527597818,-41.6678340135926,-42.89338936115712,-43.935140313726485,-44.56884024738337,-44.615910761394666,-43.991572991059044,-42.73529871866101,-41.01130036848531,-39.07762439059017,-37.233946170849165,-35.76320322435691,-34.884232982637805,-34.72412077917521,-35.31310618913984,-36.59509519051266,-38.446029005751285,-40.69217118829961,-43.12405504953698,-45.50789782131786
7kg_10bpm,5AB,-40.48694259252893,-37.749912838727525,-35.093393961266244,-32.9371085880246,-31.5974647092985,-31.215738083034335,-31.727617819155434,-32.88296459390963,-34.31569250626848,-35.64055486884604,-36.54969730689134,-36.8777098085674,-36.620722966744886,-35.906741865972016,-34.93608141510978,-33.91323140177017,-32.99370456197987,-32.25737587910877,-31.71123917516292,-31.312107246116376,-30.99778010598734,-30.714046261577913,-30.43069305795894,-30.144511804654964,-29.872942300688372,-29.643210167153363,-29.481885763821055,-29.407195777826587,-29.424528727622125,-29.524161285583087,-29.680766379813825,-29.855092282622856,-29.99859535778463,-30.06157075032835,-30.003473671752197,-29.802878990680323,-29.46347682921705,-29.01405383540348,-28.501813991722006,-27.98176951486038,-27.505458634444405,-27.11254721961245,-26.8267568307855,-26.656377674111944,-26.597887459896445,-26.641360992191508,-26.776039491523854,-26.994725137366682,-27.2956985902712,-27.681667447990222,-28.156312802653577,-28.72038202176575,-29.369409097549127,-30.094261266973227,-30.88363386921772,-31.726419018510068,-32.61193120121272,-33.52773553449588,-34.456772720761386,-35.37611283669589,-36.25870254735768,-37.077482242844454,-37.81001764221059,-38.441701228352365,-38.96682955147666,-39.38784762443171,-39.71357220995536,-39.95693907664779,-40.13226067595117,-40.25209466221134,-40.32407398221352,-40.34861040911837,-40.31831747081517,-40.22010644183218,-40.04030131579896,-39.772929926677385,-39.429993851061404,-39.051537075595654,-38.71088813684034,-38.51085146001067,-38.56699416275566,-38.9788735991804,-39.794327862543156,-40.97822867619475,-42.39717226219434,-43.83054090498963,-45.00989202207192,-45.679284791226024,-45.66084154243958,-44.906921859549534,-43.52307132145312,-41.75397051569626,-39.93708636123405,-38.434269411734846,-37.55936319684903,-37.516396045901345,-38.36184198340307,-39.99492974371027,-42.17921975155147,-44.5874413236474,-46.862406070319636
7kg_10bpm,6AB,-41.61958602446327,-38.697362520811375,-35.82546716613337,-33.54949950041505,-32.26590332109363,-32.12963618064879,-33.02175314567438,-34.589472713710634,-36.344127351494485,-37.791127252687836,-38.551966911057356,-38.44697730310473,-37.51557459296075,-35.97854226310957,-34.15646970898007,-32.37592772601459,-30.889908386153397,-29.83130398150694,-29.20723473534826,-28.92610655682205,-28.845427015513717,-28.822387865955612,-28.754021121236516,-28.597219307881918,-28.36751956999776,-28.119941481751354,-27.92122640830765,-27.82293158004197,-27.843482648277153,-27.963923860581666,-28.13587006094363,-28.297683963088723,-28.391739707619845,-28.37751074439128,-28.23748061401779,-27.976487948344584,-27.616853063264376,-27.192402014723417,-26.743128357464123,-26.311275241477706,-25.938448329851614,-25.663187364670787,-25.518499922850417,-25.528976450539083,-25.707650838511164,-26.05313937043901,-26.54824941455854,-27.161266847459135,-27.850497078676746,-28.57159232071609,-29.286041395908597,-29.968445176984655,-30.610854254793495,-31.222684355098856,-31.826869270121076,-32.45315520242615,-33.13067934330225,-33.88131555715856,-34.714862127546375,-35.62627020903091,-36.594858505118665,-37.58524961246528,-38.5503250926866,-39.43615898585441,-40.18892247534217,-40.76288330155682,-41.12784350445624,-41.27437968829351,-41.21485481981608,-40.97987352548779,-40.61057371879026,-40.14927827214216,-39.63158766450642,-39.0833263766933,-38.52418117974321,-37.9776240556866,-37.48386876317996,-37.109808537859514,-36.950243087374254,-37.11528409244384,-37.70421860822943,-38.77041265407553,-40.28686549498212,-42.12442714396562,-44.05332302803491,-45.77349263924753,-46.97115956629986,-47.39045443840627,-46.900011298512595,-45.53695396375325,-43.50902032260147,-41.15547300380495,-38.87304438391906,-37.031277624526204,-35.900391922931895,-35.61056581967624,-36.14880734174901,-37.38657662325065,-39.123275036980615,-41.13025300963039,-43.18467008748255
7kg_10bpm,7AB,-40.76237194789616,-37.72020386579775,-34.935603429778126,-32.9560263122811,-32.1281138702114,-32.51103548911666,-33.86375031713071,-35.71504311707253,-37.49828074803527,-38.71164913348615,-39.049475040117215,-38.46213154487751,-37.13141302033498,-35.378521005741035,-33.54763435293341,-31.90850722703243,-30.60664378978403,-29.66783147988215,-29.04035369795525,-28.64881116442832,-28.434418531564233,-28.368077532785495,-28.43879173894604,-28.63086281061114,-28.906750390654928,-29.20577084074185,-29.4585351605378,-29.608708573707645,-29.63083884276385,-29.536829527017574,-29.369188769672736,-29.18504550294003,-29.03794080744649,-28.963525149599672,-28.97271546232115,-29.052065559381155,-29.169184496082362,-29.281197571883666,-29.344762645619397,-29.326431402995937,-29.211605981264274,-29.009517895001583,-28.752447727273616,-28.489017404068267,-28.27319897710598,-28.152205598518158,-28.156262336852635,-28.292539828185124,-28.544898712660988,-28.880061597027694,-29.259968769299025,-29.6578765637196,-30.07256629749155,-30.533900540577093,-31.09475343331563,-31.81026867424614,-32.71218897253122,-33.78864860771352,-34.97853895797258,-36.1829452381626,-37.28943998483858,-38.20097401099828,-38.85977372336277,-39.25992991169121,-39.44656686776788,-39.50291993128566,-39.529558112879904,-39.620166418018265,-39.83852441502989,-40.201735203195845,-40.67367214847851,-41.171152394738016,-41.58257048840053,-41.79476680416953,-41.7223027015014,-41.33235758932036,-40.65913819363861,-39.804167587111614,-38.92073472414536,-38.18402055225507,-37.75266026183291,-37.72978836098548,-38.133932389981034,-38.888682417680194,-39.834891443643336,-40.76364284492935,-41.46143109245099,-41.75553532629208,-41.54953188931449,-40.84213929800871,-39.728613712073134,-38.38775306757218,-37.05775176320816,-36.00374646044468,-35.478980362291104,-35.681076716987214,-36.708058833754855,-38.52216505667237,-40.93209041735026,-43.606095826580486,-46.123005189445365
7kg_10bpm,8AB,-42.383308037994325,-39.56444238069192,-36.54097340819836,-33.97088623954846,-32.38747257522051,-32.046821972319805,-32.85684627678871,-34.4106622085878,-36.11592919633652,-37.3774167587183,-37.77007216540695,-37.15042769530387,-35.671847836458824,-33.7104510287099,-31.73193608613809,-30.14909933641115,-29.21564524340359,-28.982324411207042,-29.319500954281974,-29.98490580617855,-30.70931872541361,-31.270672601361085,-31.53890807731696,-31.486170362763243,-31.1680369440942,-30.68923623938556,-30.166201784908424,-29.697106623751047,-29.34399076196303,-29.127701171331783,-29.033029601946197,-29.019525717334382,-29.03420920054072,-29.023057604328443,-28.94013349129174,-28.754067755110857,-28.451868160674003,-28.040309356371957,-27.54496302789391,-27.007388590863112,-26.48085863547954,-26.024559297695856,-25.69640741177467,-25.5447864607783,-25.60066607998389,-25.872490546653303,-26.34603563712941,-26.990335849490243,-27.767640078045577,-28.643647228295077,-29.59378781672995,-30.603530172504662,-31.66382164681312,-32.76492877238166,-33.89210461933789,-35.024497789636385,-36.136750822299874,-37.20158568559669,-38.192269549233146,-39.084704068382464,-39.85927480672606,-40.502181964330575,-41.005389380344894,-41.364755054318124,-41.576966625631556,-41.63729160018578,-41.540348375111186,-41.28491855443047,-40.88145984555747,-40.35909997934465,-39.76814480213172,-39.17504810035677,-38.649744694312176,-38.248109752952736,-37.995945067808144,-37.881263097564066,-37.86021941458158,-37.876718276695115,-37.88943761507305,-37.89560317115407,-37.9395040811081,-38.099576809135776,-38.45551148322795,-39.04742332792909,-39.84278565777934,-40.726187136826724,-41.51823255655083,-42.01899239388775,-42.063554413709944,-41.571875021274366,-40.57972287337957,-39.24182095561559,-37.80822461530147,-36.58043492578511,-35.85595905221108,-35.872223041423794,-36.757665539833475,-38.49916506982149,-40.9319217452543,-43.75592212866893,-46.58125776958736
7kg_10bpm,10AB,-43.057042022713645,-40.40942757717957,-36.867402726911386,-33.583768157635404,-31.645139209181334,-31.65554540013949,-33.47907675748477,-36.27834393816901,-38.8601951384133,-40.17786320850085,-39.744929225839485,-37.76527874501812,-34.94679019897594,-32.13413146550117,-29.964357078025976,-28.695203851239288,-28.237093191349132,-28.316342403458123,-28.65773852331475,-29.099560588611023,-29.61171691576442,-30.240670820353262,-31.02983719101183,-31.959065583909858,-32.925302330273425,-33.76449590815464,-34.300581592368346,-34.40162760241866,-34.024150378313216,-33.23218102470708,-32.18528034110791,-31.09753530816604,-30.17793184492707,-29.570458958577753,-29.314756833208165,-29.34115737930902,-29.500725924853867,-29.61819708586704,-29.548328790916024,-29.21651698075341,-28.632427920766432,-27.877060212808264,-27.07305628761891,-26.351264522925476,-25.823541050657457,-25.565775011489038,-25.610630518886442,-25.94890406329427,-26.5392815690319,-27.324851301510826,-28.251655678236464,-29.283836226669482,-30.41193566274758,-31.651779923200788,-33.03023695626417,-34.55599642739132,-36.18275875133882,-37.78545072266857,-39.175463606211075,-40.16689701260021,-40.67384815148441,-40.78726909963823,-40.77290218202766,-40.9629026752482,-41.57607842858723,-42.56443951643751,-43.599261371202665,-44.24193587303424,-44.21300122521832,-43.57056846473339,-42.6469461696055,-41.77886185456645,-41.054551365383766,-40.299494049373635,-39.30742233269574,-38.097195507189866,-36.9626693144351,-36.28009654412129,-36.23927427464309,-36.70031403340811,-37.26214426105419,-37.484466064066304,-37.12476878074657,-36.258996191383524,-35.22912457474215,-34.45936340911019,-34.2491656880832,-34.6497639462675,-35.47129069390789,-36.39449232464613,-37.118032092551296,-37.47379832813678,-37.47359037719731,-37.28566913148559,-37.16186024614335,-37.343066740614375,-37.970102865961735,-39.0234522445141,-40.3100497186718,-41.50553354215412,-42.24642938085371
7kg_10bpm,11AB,-40.05298092760905,-36.435329811674684,-33.69447935002941,-32.630455741830104,-33.38384587322756,-35.4411345950353,-37.89090573604808,-39.79501225824131,-40.50863288320475,-39.836889231793634,-38.00852657728341,-35.521519236053976,-32.94311990905049,-30.736379349402203,-29.158366946979736,-28.24529166037735,-27.870598090319984,-27.83978258229615,-27.97885810960719,-28.185033270959615,-28.43096424032555,-28.73527913724634,-29.122340992582078,-29.591595976398377,-30.106598069232533,-30.60345341475316,-31.011922076390466,-31.279001713251603,-31.38394233147913,-31.33726180384927,-31.16503108053724,-30.88917143300799,-30.517345692639008,-30.048366746771517,-29.48669480082838,-28.85382770850429,-28.189730224904174,-27.547125645326915,-26.985716503912126,-26.569543956277855,-26.364175580898333,-26.428004396485132,-26.795896391135553,-27.46060202883875,-28.362244396371512,-29.395127977778696,-30.434289376231987,-31.375188142478166,-32.17279513708347,-32.863418476870365,-33.55626415531921,-34.39312332850088,-35.48846734227626,-36.870456320481175,-38.44413975878311,-39.99500672365359,-41.243770354229014,-41.946749631691986,-42.009961880586594,-41.56046507208698,-40.91694975378652,-40.44287810339977,-40.34528815637535,-40.551211143025874,-40.774245629045645,-40.7478344371747,-40.44250227011319,-40.06821391140871,-39.850921602322096,-39.80036622085063,-39.703535582885294,-39.34488710576981,-38.72457777490804,-38.068612679679326,-37.64285341055103,-37.544479671252454,-37.624176359576126,-37.57108076481572,-37.09310936056234,-36.09026679731657,-34.73333922269742,-33.408066849788675,-32.550093827286204,-32.45062306131855,-33.127197255476695,-34.319962805423216,-35.6097810759548,-36.59519716817253,-37.04253242859768,-36.946863653601774,-36.4925984139035,-35.949378288480645,-35.56023088851372,-35.470787637804854,-35.72062253589897,-36.284370045622616,-37.12544048852392,-38.22107376130639,-39.53868860818039,-40.98027210492361,-42.34129181821454
