cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-45.66542707517139,-43.76976933055808,-41.80883034221843,-40.13117945707195,-38.99091333557993,-38.49100938855368,-38.564868466532396,-39.00116298602428,-39.507687491361445,-39.791991018502976,-39.63623988879496,-38.94386396230026,-37.75012909647902,-36.196508278240884,-34.48330642070523,-32.81499480961,-31.354787179658675,-30.19732276990808,-29.36397957259888,-28.816324357915146,-28.48126538116183,-28.278443360621576,-28.14259773735771,-28.03598132117402,-27.95009064523811,-27.898464935086146,-27.904772165897658,-27.99075434830467,-28.16780505917856,-28.433888951009035,-28.775443216113782,-29.17221385699668,-29.602587955944298,-30.047664495850242,-30.493403974034052,-30.93118135824093,-31.357464492297247,-31.773281255481663,-32.1835794912075,-32.59633843293551,-33.02097009772984,-33.46577730382682,-33.93452980081542,-34.42285803183028,-34.91543171879595,-35.3851376510962,-35.79513844956217,-36.10394829895301,-36.273019473652624,-36.27535652710691,-36.10329060893916,-35.7730647833832,-35.32482576948497,-34.81693611737698,-34.31592167964492,-33.883964353084984,-33.56730119660541,-33.38813302830175,-33.34250936710233,-33.40421520308814,-33.53373284397532,-33.68934425128099,-33.83724302926123,-33.95779423322808,-34.04680768277125,-34.1120120759733,-34.166438568964146,-34.22098610807312,-34.2785468501218,-34.33140801569716,-34.36266268088946,-34.35089093989575,-34.27624006643398,-34.125546326298654,-33.89472879383285,-33.58792216240663,-33.21445047339925,-32.785913175044335,-32.3158266608916,-31.823331562040682,-31.34047749036867,-30.919909870611633,-30.63848790278095,-30.59154693155852,-30.875775737146206,-31.56199333792006,-32.6653535163952,-34.122512342654915,-35.78801428724603,-37.45487277619649,-38.898859887349495,-39.934226136316255,-40.464408284394864,-40.50835584510513,-40.1937685819449,-39.71766644350586,-39.289293814159265,-39.075206978491096,-39.16560653526547,-39.56958581324381,-40.23634290436164
7kg_10bpm,2BC,-42.17882526134986,-41.16972068069567,-40.18472633406078,-39.45069657106272,-39.11712635876582,-39.2199358691122,-39.67644700360407,-40.31193333453766,-40.90753955096538,-41.25477922800396,-41.20186376687507,-40.68187162733336,-39.71671714016335,-38.40199225793207,-36.877610667536096,-35.29521701820592,-33.78983692899371,-32.461109253814136,-31.365693023026317,-30.519490823766468,-29.90577609106009,-29.486367505072135,-29.212221914972975,-29.032406366763865,-28.900718522972333,-28.780159067790354,-28.645774274618738,-28.48602814873724,-28.30287979826624,-28.11062543964795,-27.933299665570598,-27.80093849425209,-27.744720143714037,-27.791532898145086,-27.95872428687081,-28.249773136444507,-28.652141961840375,-29.137906369595107,-29.667474371924424,-30.195902809150937,-30.680447499821444,-31.087692377650345,-31.398851401154246,-31.611840742968383,-31.740340281374383,-31.809909140054245,-31.852475912180708,-31.90021624018325,-31.979898414829883,-32.10850386217677,-32.290906314042175,-32.519869394520576,-32.778856706585536,-33.046916478204224,-33.30468857366978,-33.53978422210741,-33.74977412086797,-33.941841362465354,-34.12912822925041,-34.32498034970321,-34.5371019815116,-34.763786984568924,-34.99349984487794,-35.20832589908781,-35.38992350141755,-35.52582874381734,-35.61360570341717,-35.66092799828374,-35.68134024958473,-35.68722046390181,-35.682766759377664,-35.66001216192571,-35.60030567324164,-35.48130871610808,-35.28782336899416,-35.02293451562562,-34.71503941595784,-34.41774658398033,-34.201444270202515,-34.13813368112153,-34.2835008316488,-34.6613222942602,-35.253723216085284,-36.00076255789576,-36.80822766150945,-37.563004671111855,-38.152707176455635,-38.486605665975375,-38.51455771116293,-38.24081446774557,-37.728899435401324,-37.09668637505279,-36.49997651802049,-36.10841095195739,-36.07779155591777,-36.52478900985715,-37.50956478352861,-39.028147086326115,-41.01413616135366,-43.347175807340754,-45.863767276586486
7kg_10bpm,3BC,-44.82723377638522,-43.81067288864586,-42.73856925488613,-41.85548812422403,-41.3337978560337,-41.227534015571614,-41.46112647143118,-41.856516479522966,-42.18491522825665,-42.22826995060543,-41.83260061910186,-40.93918559849613,-39.59023572316235,-37.909101134052406,-36.065432723145314,-34.23517417179676,-32.566097299930696,-31.156196629017952,-30.046507262248006,-29.227461089336877,-28.653486401754154,-28.260930765724645,-27.98443130778192,-27.768755077191308,-27.575274942063462,-27.383595545040635,-27.189955015861162,-27.003926800495073,-26.844480232641537,-26.7359153775097,-26.70370309508579,-26.770357276616288,-26.951570112056086,-27.253081632603617,-27.668883993610528,-28.181067348689698,-28.761626179808797,-29.375871602622542,-29.98712435315321,-30.561838110869946,-31.07431733261487,-31.51027781406447,-31.86837871837733,-32.159626109557195,-32.40434546074229,-32.62747642198888,-32.85284986257739,-33.09766722268056,-33.36851821776191,-33.65976686970707,-33.95518532008794,-34.23225827072305,-34.468301308103875,-34.646610914288225,-34.76084151687201,-34.816674238550746,-34.83017206742776,-34.82375701117859,-34.82080103733334,-34.84030823977672,-34.89291661055016,-34.97876997255347,-35.08776264658652,-35.201701769609734,-35.29794993231172,-35.353400806358934,-35.347658415954754,-35.264616805603744,-35.092388383301156,-34.82276913160459,-34.452047865872956,-33.98496631284122,-33.4420263892343,-32.86843159906627,-32.340264365885304,-31.962916878223893,-31.857614342758243,-32.13534734018755,-32.862921665726084,-34.030188281409536,-35.53042617599883,-37.164530095953396,-38.67289150796168,-39.79152235920888,-40.31843680282658,-40.17162834662983,-39.42093283130725,-38.28033923999832,-37.06286283739129,-36.107394532634636,-35.69961238983556,-36.009070506259604,-37.05791347085014,-38.73014488900459,-40.811997662260644,-43.05119985629863,-45.213979075934155,-47.124367261844974,-48.678669987491666,-49.835715545096214,-50.59528717822312
7kg_10bpm,4BC,-43.92582915910636,-42.32238727641255,-40.953014005479496,-40.04093084822677,-39.69982396284037,-39.90706550866082,-40.5098980712402,-41.26543404835194,-41.90069439767428,-42.176446072856606,-41.93803607347189,-41.14098901406211,-39.8477476425651,-38.20095574907763,-36.38261661455531,-34.57254259009966,-32.915738335008754,-31.50409254081032,-30.374056131020794,-29.515289411627105,-28.886408286653918,-28.43119129493573,-28.09216424737396,-27.819635129167118,-27.576395208801884,-27.339605432305472,-27.10111722471182,-26.867198089929552,-26.65761401105756,-26.503402184199352,-26.442729456919416,-26.51443571583628,-26.749911314340878,-27.164862901391434,-27.75269182897555,-28.48202051190133,-29.29884772331439,-30.1339620779606,-30.913575217319067,-31.570961380408203,-32.05642251146175,-32.34317153867871,-32.42855453758596,-32.33081682031647,-32.08318077249683,-31.727352731084697,-31.3082296782456,-30.870880858367563,-30.459637384527653,-30.118305782157694,-29.8901274782852,-29.816269848307748,-29.93238241438332,-30.26334412629713,-30.817526713955672,-31.58159939838828,-32.5179875990886,-33.565654937673294,-34.64529051127771,-35.66835814312774,-36.54900915974627,-37.21707111978564,-37.629833069581316,-37.780169356732145,-37.69928422673521,-37.45205083104972,-37.125473668116065,-36.810921139967235,-36.5836043427437,-36.484038099032546,-36.50567891992217,-36.59402262132768,-36.65760411557341,-36.59059848845353,-36.30206581473096,-35.74497216168131,-34.93789779332581,-33.97234707185124,-33.002061791580594,-32.21488254194311,-31.7916957537497,-31.86175303052424,-32.46606917629886,-33.5379558191942,-34.91011929769619,-36.34629327676312,-37.593859109297014,-38.44435773877862,-38.78645576737561,-38.63931192997251,-38.15422070492062,-37.585596831685336,-37.23612063167733,-37.39004574803116,-38.25082466006467,-39.89697718433216,-42.26431185571144,-45.15695213293244,-48.279985141703676,-51.28761074912515,-53.8367856937696
7kg_10bpm,5BC,-43.774126784517684,-42.443974904802964,-41.20879260348864,-40.29108220817642,-39.839581068236484,-39.88488529868601,-40.3287261621911,-40.97181105881374,-41.56702202057632,-41.88299762797277,-41.758996848762074,-41.13650023941654,-40.063192127867914,-38.66929302451782,-37.1277817696622,-35.60962768596112,-34.2473135035599,-33.1148375984684,-32.225919981514735,-31.547788736836097,-31.022525494331706,-30.588845426912368,-30.19780600529067,-29.819878645387266,-29.44399162871691,-29.071492450691004,-28.709073617481607,-28.363768275215822,-28.04159026314596,-27.74937174551426,-27.4979907058226,-27.304846709523165,-27.19388014145753,-27.192613650631227,-27.326784779853945,-27.613863600100498,-28.057265118990745,-28.642492281613915,-29.33647239851477,-30.09005937118382,-30.843675258546824,-31.535072161026566,-32.108119863879956,-32.52138035908264,-32.75468559369411,-32.812902294596825,-32.72534709774521,-32.54133442959892,-32.321964615522894,-32.13004362025441,-32.019884220182085,-32.02875038759738,-32.1717759703183,-32.44054261458597,-32.806009082574214,-33.22446370034017,-33.645807208636946,-34.022240054245245,-34.31578606689944,-34.50337833912934,-34.578482070432756,-34.549811618188585,-34.437737594514466,-34.270148556933684,-34.07865534968983,-33.89572880602673,-33.752290148749005,-33.67498283909241,-33.68249552651678,-33.78083173353178,-33.95841774987136,-34.182487644818195,-34.39902940622156,-34.53813235708232,-34.526224549363704,-34.304578405194526,-33.85162421718545,-33.20359114910616,-32.46657547258481,-31.812599406535032,-31.45514152395502,-31.605251394440224,-32.41572777546854,-33.928597607551566,-36.04117425379973,-38.506626754501035,-40.973521257456696,-43.06046283801248,-44.44928538410221,-44.97093780897826,-44.661108508250166,-43.76217857625493,-42.66996046743116,-41.83308772477327,-41.633128086414416,-42.28091995472853,-43.7567238071707,-45.817147099955164,-48.06043373137055,-50.033608053780036,-51.34799296321653
7kg_10bpm,6BC,-46.453562123227286,-45.094537941605395,-43.49441209007938,-41.914714146232484,-40.61468986627074,-39.775842391458085,-39.449725663488245,-39.54597909519445,-39.86440751187851,-40.15760264769296,-40.20209661892952,-39.85511898256614,-39.08046822554145,-37.9421357838508,-36.5720480583504,-35.12767380851129,-33.75281736853598,-32.55176028863993,-31.578622848973815,-30.84051528149615,-30.308178753631875,-29.930088795253752,-29.645740951313066,-29.39694007641675,-29.136493374010286,-28.834801129388254,-28.48404013655951,-28.099889949700113,-27.719339679206936,-27.39444249536776,-27.181855672442502,-27.130219341908163,-27.267982071695755,-27.595199612723576,-28.081275963601776,-28.670016201219948,-29.29029487194151,-29.870255173144606,-30.3513374200395,-30.698928331007437,-30.907025022295183,-30.995960612886343,-31.00380174970597,-30.974225107246095,-30.944428878688342,-30.936705615329632,-30.956264488460413,-30.99537954466567,-31.042241425183477,-31.09081792948357,-31.148047085800407,-31.23523707199089,-31.38325934044141,-31.623051173126253,-31.97514433739822,-32.44208472754627,-33.00630837870368,-33.63388745020655,-34.282232451606376,-34.90866388840434,-35.47699929148522,-35.96086694891075,-36.34382223063054,-36.61788323755424,-36.7819442856536,-36.84116998087896,-36.8072825407554,-36.698629619291914,-36.538726324329275,-36.35237315985248,-36.16002531425511,-35.97246662254372,-35.788391622343774,-35.59688440258055,-35.38466276593944,-35.14592184958218,-34.890820926478234,-34.64932759897727,-34.4679892806057,-34.40045222880504,-34.493791236691635,-34.77444808707512,-35.23719685194769,-35.840524790625416,-36.50995286778821,-37.15047329362152,-37.66646130295897,-37.986323143250445,-38.087043817681455,-38.0123093962177,-37.87798416213565,-37.86012618568853,-38.163691419320664,-38.975342620193736,-40.409397843650616,-42.458849824496106,-44.96846559489245,-47.64087498776692,-50.083528425595425,-51.88947528269612,-52.73628356154104
7kg_10bpm,7BC,-48.421508978176256,-47.15390618712791,-45.264670205226274,-43.20877455257401,-41.42547134687219,-40.210168781519684,-39.64047581043104,-39.575643365497655,-39.7264592652831,-39.766431166091564,-39.44128176134616,-38.64010315354839,-37.40726006309595,-35.90232736160829,-34.32999758744168,-32.87147837573916,-31.63922443832278,-30.66442700533931,-29.911941229787885,-29.3097689205742,-28.78037060394912,-28.26421943788471,-27.732643292711145,-27.190095118965054,-26.668928307805107,-26.21965541021765,-25.899482072042794,-25.761521489617472,-25.84590898114449,-26.173644679074922,-26.742995174806232,-27.528474140092932,-28.48255569388902,-29.540177740381907,-30.626427739321205,-31.66672511980406,-32.59801080463599,-33.37822404896336,-33.99096695461727,-34.44357112974351,-34.75851850095142,-34.961526023909045,-35.07078434771447,-35.09196538708791,-35.02089518486439,-34.852568765089295,-34.59220993828853,-34.26317181604436,-33.907758889132616,-33.57972945882774,-33.331018625152595,-33.197268776666746,-33.187921505017414,-33.284303801745985,-33.446616377354474,-33.62690589768059,-33.78340250442041,-33.89170804992436,-33.9500215989673,-33.97831155463403,-34.01239510169316,-34.09473926647653,-34.262938442330025,-34.53710516777834,-34.90836294608377,-35.33188331275767,-35.72916578009881,-36.001842467262975,-36.056424711882094,-35.83371140125941,-35.33364247419624,-34.62585309806151,-33.83958514898344,-33.13421508317816,-32.65723114812486,-32.5035220073625,-32.689297074235014,-33.151649446421224,-33.77455649854766,-34.43213420506563,-35.03232391141577,-35.54249207115441,-35.98672601240428,-36.41567917946986,-36.8641717643238,-37.31651318868716,-37.698915056261505,-37.90562968334376,-37.852381481532085,-37.53590352989045,-37.07430270679207,-36.70633451672081,-36.74143548631624,-37.47166908169503,-39.07026780268533,-41.5121480431236,-44.54318028067054,-47.715976692178714,-50.484781816337595,-52.33545560125218,-52.914401633786824
7kg_10bpm,8BC,-45.816704461689625,-45.06662098403552,-43.94486350160333,-42.74750716868759,-41.74512604537025,-41.103742592151555,-40.8411806497721,-40.83272384323076,-40.862346260687254,-40.70097444289235,-40.18169963029989,-39.24669909130094,-37.952739918542676,-36.43910341192265,-34.87656834188372,-33.41797557708521,-32.1665019492141,-31.16605833305238,-30.408989610864204,-29.85284051157127,-29.438222129712006,-29.104031453895963,-28.799119668155612,-28.490472188784977,-28.167749567432363,-27.843014409038958,-27.544864965985276,-27.308148246109596,-27.16235724519877,-27.123338724862254,-27.191622853900206,-27.357730914495196,-27.61144649621242,-27.949797846013006,-28.37932648823754,-28.910761636031104,-29.548343812549753,-30.278775240038467,-31.065535471491945,-31.852177340101925,-32.573942881143616,-33.173648013219015,-33.61556597779109,-33.89246556853305,-34.024005594712975,-34.04793771340007,-34.00828221483533,-33.94447521978393,-33.8843827685085,-33.84193040747476,-33.81833406509847,-33.80548534219757,-33.79017220594758,-33.758568304356245,-33.700904013602,-33.615997179452464,-33.51488252541972,-33.42224079895384,-33.374299713900214,-33.4129590575456,-33.576850595883876,-33.89109847548197,-34.357993853292385,-34.950661358974244,-35.61214242732208,-36.26150028012475,-36.807082612476634,-37.164996304633206,-37.27783992225099,-37.12802698490136,-36.74103321082812,-36.17721777477574,-35.51585625274758,-34.83729589466815,-34.20958073982795,-33.68289580511835,-33.29110045633449,-33.05694606695685,-32.99656621468177,-33.12041838877554,-33.43009578610184,-33.91253034255934,-34.53409577075276,-35.23749724545172,-35.94418938521195,-36.56397205673561,-37.01217553933401,-37.23184191871436,-37.215469987770135,-37.019770173779435,-36.76692156953349,-36.63006644214233,-36.80429287352837,-37.4670012970192,-38.73415925064701,-40.61920462994312,-43.00429186923797,-45.63598213475377,-48.15442619171342,-50.159095291726445,-51.29940097151289
7kg_10bpm,9BC,-40.49174595373924,-39.51203073435086,-38.863145747997834,-38.68861457401678,-39.030686379972295,-39.778973597967955,-40.67935875148297,-41.404142154882955,-41.65538685364706,-41.25896879807166,-40.213308249398544,-38.67748778214953,-36.90851148512378,-35.176185694410556,-33.688629895099794,-32.551045470328226,-31.76382730796669,-31.251344639370117,-30.90487634844397,-30.62312397824155,-30.339354829408414,-30.031075576721143,-29.714067031100008,-29.42651348714798,-29.21052454710095,-29.097396354154164,-29.10045272168295,-29.215887599902864,-29.428777377611357,-29.71976500690402,-30.06889126548416,-30.455844852114783,-30.85876297032549,-31.25471021163668,-31.623306807992265,-31.9520546953516,-32.24003448789064,-32.497122758875776,-32.73829031750834,-32.975256276551676,-33.209074584564505,-33.42684673643178,-33.604202532096004,-33.713186252472696,-33.733235385931366,-33.661572199667475,-33.51887420369114,-33.34710589363024,-33.198987112726115,-33.12197133441566,-33.14207541588772,-33.25357300302308,-33.41907356833242,-33.5811412100207,-33.68223018971958,-33.686270634570846,-33.593759836699334,-33.44355193612162,-33.299072530566825,-33.223648244877964,-33.25543068403823,-33.39368163923787,-33.603289629667316,-33.83514351076609,-34.0514453121007,-34.24264083846897,-34.4270422852005,-34.63306658403135,-34.87341122718251,-35.12573074368317,-35.33210634487331,-35.42049331507671,-35.33924620511123,-35.08707853782533,-34.721798220228045,-34.34195042939845,-34.049685731657675,-33.91281254164395,-33.94379327983214,-34.10348205761097,-34.32495837893976,-34.545075813991524,-34.73065366532516,-34.89043050645821,-35.06973465601737,-35.32987743649808,-35.7186922040255,-36.2425682370844,-36.852435501120475,-37.45365373583376,-37.942141314619406,-38.25776117853337,-38.434438217419796,-38.62003818681449,-39.04482485538003,-39.93619760922993,-41.40424439315145,-43.34624031576756,-45.42446068914613,-47.14772247316713,-48.04031287914058
7kg_10bpm,10BC,-45.71595130060526,-45.00154251029281,-43.971511201618405,-42.93973321929284,-42.155486454714605,-41.726187265042796,-41.59440255167143,-41.57265932983022,-41.422381054045026,-40.94266216071569,-40.036518390985876,-38.73181314999721,-37.157397350816076,-35.49056502815574,-33.90017392273181,-32.506065129832095,-31.36411681981748,-30.47498159872709,-29.805461057851986,-29.310852452832762,-28.949024426665304,-28.684400934176455,-28.48529896785679,-28.320853520173923,-28.16212023460096,-27.988131535891256,-27.794026784360888,-27.596556829901473,-27.433351634765444,-27.35519299889616,-27.41315982949485,-27.644864040387837,-28.063699405894354,-28.65448188832788,-29.37602248359658,-30.16984649349934,-30.972062134193685,-31.725171260776968,-32.386929618675744,-32.93466711054186,-33.36500422444947,-33.68969078309487,-33.9293415090478,-34.106480447299916,-34.23956060246532,-34.339056266259455,-34.40639913208255,-34.435639451253884,-34.41706973949236,-34.34168474699063,-34.20532232562465,-34.01179025417393,-33.77444461439482,-33.5161301798712,-33.26727108578793,-33.062301005072364,-32.93473796551089,-32.91150073617854,-33.007331955576,-33.22027873860471,-33.52963099892887,-33.897127184970216,-34.27220503110022,-34.60078301562086,-34.83620499083387,-34.94993496948242,-34.93906216327139,-34.82818335668333,-34.66392535021462,-34.50312348140506,-34.39700206215346,-34.3759659299255,-34.43916763593334,-34.55252616814191,-34.656057733852954,-34.679306657167096,-34.56195174924641,-34.27509964233096,-33.838429867326745,-33.327047023405825,-32.864370994341996,-32.59886008341127,-32.66864554407472,-33.16169896171256,-34.08356585212593,-35.34359897547905,-36.7671126232982,-38.13448494312043,-39.23780472930278,-39.94052074980061,-40.22020058133221,-40.180792426235456,-40.02605220497152,-40.00175611766812,-40.32266216064836,-41.10839886052776,-42.34832571154391,-43.90611268493514,-45.560487034294745,-47.065144939603094,-48.20845303024585
