cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-45.1079003206643,-43.62891909752755,-42.314898544222785,-41.514543223523596,-41.40418056346397,-41.96666269253871,-43.024222251794555,-44.309422266652945,-45.551270191100926,-46.54735359347661,-47.203558586062385,-47.53296934826358,-47.623113340225764,-47.586331799589985,-47.51338219381053,-47.443160586751745,-47.35550242245441,-47.18364136462685,-46.839471884163,-46.2412213333116,-45.33598665103051,-44.11187585043105,-42.59942206441389,-40.86379445008167,-38.99142811085987,-37.074915457597676,-35.199251745881014,-33.431796549347645,-31.81673865590561,-30.374140832479146,-29.102289004318433,-27.9826460818111,-26.98615921967253,-26.08036644930364,-25.23649428373937,-24.435585977958063,-23.672357408992006,-22.955673594727408,-22.305352625790757,-21.745874509457646,-21.298906646642237,-20.976752688648716,-20.7788791300115,-20.69244447160618,-20.696951459725213,-20.771505654376565,-20.902717131902097,-21.090478933730406,-21.349519790624747,-21.705181421560567,-22.18431035418424,-22.80379402692791,-23.561110693880416,-24.430259083568735,-25.364955102992642,-26.30752989769888,-27.200415459488347,-27.996619196239905,-28.667126813017322,-29.204619878727378,-29.623771623259433,-29.958364745376613,-30.254539355463564,-30.560499502451936,-30.913939255139507,-31.331096854281956,-31.801762194193472,-32.29439356744592,-32.77113986405598,-33.208894964929755,-33.61786227731111,-34.049158503640044,-34.58420429640502,-35.30571934452326,-36.256316089816345,-37.399566228325725,-38.6000123377647,-39.63806129908356,-40.26275603777373,-40.27153132693325,-39.58972514562615,-38.319106079872114,-36.73006264529409,-35.19333738644378,-34.07162921794472,-33.6090588394318,-33.85999732443986,-34.68387044052994,-35.808387331312936,-36.93461699052519,-37.845059770755135,-38.473410602638104,-38.91347899615171,-39.365487622011884,-40.04494520180113,-41.08820002098202,-42.491262332795706,-44.100939563910075,-45.6610853523342,-46.89256184984066,-47.579737832527286
7kg_10bpm,3CA,-45.62603533415891,-45.456846472150076,-45.37272845972195,-45.51537709610078,-45.954622315135595,-46.66991675670518,-47.558953577004935,-48.46954723843499,-49.242328826443554,-49.7510830092415,-49.92978351978399,-49.78106880907597,-49.36560403579915,-48.779009471583144,-48.12296409288413,-47.47885188263123,-46.88980590599131,-46.353211266559235,-45.82485389824399,-45.231730532408456,-44.49056968864048,-43.52758743416589,-42.295242629371835,-40.78262988676727,-39.018383236166265,-37.0658261059082,-35.01333256472251,-32.961754980560535,-31.012022852075624,-29.254339670817135,-27.75956594754505,-26.573244752443426,-25.71172547910746,-25.1608505749489,-24.87741330412421,-24.79380545950834,-24.826292391678077,-24.886071402584278,-24.891934568707065,-24.782414963133114,-24.524523189469196,-24.117751252797373,-23.591437665134045,-22.996838177167014,-22.395297833553094,-21.845709065411317,-21.394201754263854,-21.068258873900128,-20.876032487775937,-20.81050288948157,-20.856433786044878,-20.9981079014298,-21.225440181619273,-21.536785298083323,-21.93801580928382,-22.438273328787666,-23.044099493840623,-23.754000550415704,-24.555198032476795,-25.423577212468384,-26.326669253922297,-27.228407318915515,-28.094155986789634,-28.894712549842726,-29.608800869644806,-30.224785763713236,-30.742235907540135,-31.17422864285844,-31.549609741089203,-31.91410644616451,-32.32796638354424,-32.8583695662416,-33.565811173012214,-34.48566303716658,-35.60834450139409,-36.864788957426605,-38.12279072214841,-39.20147628847819,-39.90378077252034,-40.06308281377108,-39.59342597684545,-38.527120282005114,-37.02757175775612,-35.36774412425148,-33.87669066619363,-32.86660141455554,-32.559860083986244,-33.035976723753436,-34.21582093580171,-35.88318707594807,-37.73973960121143,-39.47273715019213,-40.81705849026852,-41.59585303929493,-41.73168356711944,-41.23323841775147,-40.16820119626898,-38.636176792529035,-36.75202642319714,-34.64171049279386,-32.4462518223096
7kg_10bpm,5CA,-44.759065195947755,-43.58422741755952,-42.534024659520576,-42.09405864209619,-42.53898067794103,-43.82526977040473,-45.61604885824133,-47.41940457488906,-48.77331664417439,-49.39833004041494,-49.263450606030695,-48.55301970315221,-47.56318587624576,-46.57922584399823,-45.780198002525225,-45.19713457398049,-44.72743075184732,-44.189478832347774,-43.393184582011564,-42.203616700617644,-40.58155611669802,-38.593373173663515,-36.39203979857492,-34.17767575550573,-32.14932229471462,-30.46053153165258,-29.190090424900724,-28.334706300215153,-27.824046623646414,-27.551506264880366,-27.408954520336167,-27.31317490407114,-27.21671297912712,-27.10298460871443,-26.971627857354402,-26.822897432603067,-26.648292602254614,-26.430032210739114,-26.147340689007944,-25.784831075348713,-25.3386664211845,-24.818951743497838,-24.24959357705541,-23.66790700870005,-23.124836100528075,-22.683831966056083,-22.41476622966328,-22.380889497747106,-22.621351007300696,-23.136100925864824,-23.880426077957452,-24.77276443233335,-25.71385837240004,-26.610455177161178,-27.395178948460654,-28.036637831561045,-28.538356601752593,-28.929680546551996,-29.254333866359058,-29.56127096821217,-29.89901078438527,-30.31159195502777,-30.833680416380158,-31.484323771146578,-32.261205265918804,-33.137778046522065,-34.064254468294216,-34.97182938732134,-35.779733481329,-36.40655513857876,-36.78790853202466,-36.89928261517303,-36.776570283195426,-36.522161296656016,-36.28610972086397,-36.22124467510274,-36.42541343247537,-36.89449681125594,-37.509254703936996,-38.0668075931264,-38.348072437323246,-38.194783532283296,-37.56540234393115,-36.549201718264726,-35.336568123992336,-34.16202398135427,-33.24448073556365,-32.743416722266446,-32.73769568164028,-33.22346780493497,-34.12357849928509,-35.303272642712685,-36.590664946580716,-37.8008749738983,-38.75984204481905,-39.322009255134816,-39.379337591586285,-38.86606191641726,-37.76834498078238,-36.1440018692748,-34.14492807577655
7kg_10bpm,6CA,-43.59845675515496,-42.79787377162016,-42.22289206532333,-42.11839209270904,-42.57014143032042,-43.492226446249106,-44.672543304934734,-45.85271023974385,-46.81333123064855,-47.43391056012445,-47.71215555039594,-47.740224626943615,-47.65248709889232,-47.56574891506147,-47.53349767484223,-47.528191321448695,-47.45378628387056,-47.18112031880458,-46.59063358639387,-45.60849893580106,-44.225355181990125,-42.4960835602429,-40.523814769063044,-38.43589714784088,-36.35893204195978,-34.39787851919749,-32.622490162359234,-31.062323341367314,-29.71145579380634,-28.541171198760427,-27.517262762979545,-26.615849440744967,-25.83177792764914,-25.176286191925882,-24.665410435192264,-24.305027235632508,-24.079916027188368,-23.952284027881092,-23.870232778540622,-23.78247471232925,-23.652633331657498,-23.467807830299943,-23.238507803510068,-22.99166999650834,-22.760585194231673,-22.576427607701874,-22.46403398651489,-22.44186479150541,-22.523924704599338,-22.721039529188864,-23.040174979534,-23.48222457494967,-24.039691312024427,-24.695714856170117,-25.42487236112732,-26.195681282905834,-26.974523348217343,-27.730535623423847,-28.440681400802283,-29.093314989186062,-29.688709531044275,-30.235810999389198,-30.746771178716287,-31.23219527782499,-31.700031737909093,-32.15890245336143,-32.62384861772868,-33.1200712990413,-33.68042685623737,-34.33471051207236,-35.09341228513914,-35.93235308916453,-36.78642841531542,-37.55810390317779,-38.1401210371992,-38.44582249487435,-38.43533204305992,-38.127723734187,-37.59362065992231,-36.93300899298012,-36.24841441361213,-35.62573570152923,-35.12887986648952,-34.8055953606097,-34.69451224749831,-34.82299792416532,-35.19236420395227,-35.75766589141564,-36.41582428270343,-37.016431757023895,-37.39824451931629,-37.442233457725585,-37.11940420402783,-36.51127808948743,-35.78891210526246,-35.15325821851877,-34.757793378041136,-34.64293259095967,-34.71148057401628,-34.756758283249724,-34.537923299045794
7kg_10bpm,7CA,-45.155817189399855,-44.62800131016401,-44.11771289483406,-43.74835728589397,-43.67741520542654,-44.02256239587371,-44.79136641954781,-45.8534457189079,-46.97179198263362,-47.87884607257697,-48.36221932128952,-48.322657703396594,-47.78319545488253,-46.854278285717164,-45.67805534180793,-44.37952479422591,-43.043067128623754,-41.71596709633311,-40.42701701191162,-39.204286106531626,-38.080880488063606,-37.08728689323052,-36.237387981307904,-35.51799454638389,-34.88889626075315,-34.294184172799234,-33.67978604205069,-33.010113637942624,-32.27806073732683,-31.505726561238696,-30.736629819217185,-30.02210809698379,-29.405448999660255,-28.907941074457806,-28.521225205101658,-28.208958489465537,-27.917855074585134,-27.594425595066557,-27.200995442997,-26.724998971335577,-26.178884958646854,-25.592360838533185,-25.002169315659756,-24.44513235933543,-23.957149627988134,-23.57634993248251,-23.34520313039049,-23.306504467681997,-23.49202174415026,-23.907561686661648,-24.52150882095659,-25.26376103924449,-26.037936442129755,-26.744322313542483,-27.30645619673462,-27.69222169129805,-27.922291365967244,-28.063376823458356,-28.208637218018236,-28.451493420010614,-28.86092843284288,-29.464877717450594,-30.244926026011232,-31.142122237054036,-32.07164455863073,-32.943540860624225,-33.68682787972042,-34.272586872579524,-34.728541476250065,-35.13633487095146,-35.60596026644729,-36.22980044900625,-37.02998118098023,-37.92215551621124,-38.71816475817739,-39.177472036792864,-39.095650204028935,-38.39561877008476,-37.17923684358821,-35.71045492122037,-34.330399791362765,-33.33748443842847,-32.8844591952425,-32.935722414262266,-33.30062270781629,-33.72560114315358,-34.003436693906345,-34.05458214934359,-33.95110520650089,-33.87782976196091,-34.04992335026894,-34.621946909676126,-35.62258357923183,-36.93597363667108,-38.3305583476351,-39.517585602695576,-40.21568382605481,-40.2052554058687,-39.36860756385005,-37.71889319352162,-35.41784779649413
7kg_10bpm,8CA,-33.26855108898213,-32.72942229621747,-33.85352649521439,-36.17631688067077,-38.90207828949222,-41.2767994548655,-42.85917188678551,-43.580182602713435,-43.62966995104252,-43.292323999461715,-42.836635427375654,-42.480836108771044,-42.39392455435456,-42.68214791066552,-43.35147391493052,-44.27913787915671,-45.233629192018,-45.94955825845866,-46.22173081466271,-45.96675511803791,-45.22210067103237,-44.09285978913078,-42.68550741905343,-41.0687818827887,-39.27895706294603,-37.35718050971266,-35.386838779276204,-33.499369514065464,-31.83838679325964,-30.50224455393385,-29.503120970176226,-28.771829780966243,-28.20718878384347,-27.738474131939586,-27.36037583950572,-27.117950916285515,-27.05216825842268,-27.14278785781942,-27.287378235665635,-27.332488029350806,-27.140831659082565,-26.657402097176043,-25.939439141326705,-25.136499855032813,-24.433022918909266,-23.98198958494412,-23.857957412907915,-24.04414527784758,-24.4507648660877,-24.950790082770787,-25.419766393232152,-25.772475909705598,-25.99112899247355,-26.135868109140375,-26.327795119468245,-26.704607356397826,-27.365027598929103,-28.327930806396562,-29.525943454803794,-30.834117805458416,-32.11510168700667,-33.25601681583159,-34.182638431674775,-34.85534660713398,-35.26413213223887,-35.436145635610885,-35.45179916622894,-35.44931373928834,-35.59724373363717,-36.032068597436734,-36.78325557304075,-37.72592270526959,-38.59806880361293,-39.09100561452952,-38.97930228119311,-38.2259610598357,-37.00487023940795,-35.62786906247654,-34.41871098050224,-33.601193385099975,-33.248527091960845,-33.29756275936588,-33.600099643069484,-33.98030731411185,-34.281725868679345,-34.400255147940165,-34.302731326067665,-34.029507163541105,-33.681295826923176,-33.394729797789594,-33.312236006543166,-33.549465368020485,-34.16314814328187,-35.126663693766226,-36.3239527415765,-37.56642327656385,-38.62413804450573,-39.25616845078742,-39.236709321252484,-38.39336454711375,-36.67488741346584
7kg_10bpm,9CA,-43.21993799068708,-42.23914382313146,-40.87318674573635,-39.84239857949891,-39.62090567403594,-40.264947372563825,-41.47555850755649,-42.824573172244854,-43.99512487530246,-44.90612028620395,-45.67727106803341,-46.484362634044494,-47.403193771209914,-48.32888491000577,-49.00299127761248,-49.1206544130166,-48.45549678399758,-46.94268233658713,-44.69119187828151,-41.9348641912959,-38.957022414369554,-36.02403560923877,-33.34422457244899,-31.04983757886389,-29.19564028825617,-27.771564415662873,-26.725530886769683,-25.9870771235356,-25.483350428240662,-25.14687141964536,-24.91979008373592,-24.757689913042896,-24.632249370809408,-24.531556959642852,-24.458718041213412,-24.430185156676163,-24.473886682983586,-24.62482941049149,-24.91492418169427,-25.357440741073724,-25.93366952637022,-26.59203560496429,-27.262061504585333,-27.874025712523615,-28.37294652012269,-28.724713220048358,-28.920495659861558,-28.982840775297653,-28.968397382980577,-28.96016453360534,-29.04909871303011,-29.31142088983749,-29.787040397952694,-30.462165459520563,-31.262745262898676,-32.06992351327534,-32.76225352694685,-33.26980732711235,-33.60859826811666,-33.870478535546546,-34.173790290443456,-34.60702312591728,-35.19644481958667,-35.903498597381244,-36.63691416055722,-37.267617762816926,-37.65214756923788,-37.675182662978465,-37.301953246793694,-36.60777578985923,-35.75618263592014,-34.93283446505681,-34.276741895010524,-33.848761492622856,-33.643477960178764,-33.620563513884626,-33.73087088454037,-33.93037436631067,-34.186193476428336,-34.47551542385626,-34.774544537502514,-35.042267464844244,-35.21484124279692,-35.224927186815144,-35.043062302383795,-34.71771031472452,-34.38230467589538,-34.20926952731202,-34.321247622323725,-34.70586564804885,-35.19744726316054,-35.563712572919044,-35.66829782565963,-35.60879973548988,-35.71165277775604,-36.335495002789386,-37.569565563797994,-39.025421106596646,-39.90751792756972,-39.38567707668587,-37.07684840058642
7kg_10bpm,10CA,-44.6048555813677,-43.53962996307285,-42.4128245449087,-41.75405021146673,-41.881876357522934,-42.78120435254967,-44.128485593014595,-45.44528717800236,-46.305516778330755,-46.50231685005007,-46.10463382485456,-45.388251600516575,-44.684434937596194,-44.22338054085287,-44.04475727739786,-44.00762121011463,-43.87847763430246,-43.440536244445205,-42.569889874052805,-41.257058790232946,-39.58607670332022,-37.69648312865542,-35.74693932620728,-33.88675098525984,-32.234672800242805,-30.864617621467982,-29.80044086675878,-29.021795710406852,-28.479072950287783,-28.11080469402807,-27.85601942163402,-27.65840831854616,-27.465621974980557,-27.230213500129924,-26.916058852560592,-26.5081127011295,-26.019347784248094,-25.489720143585767,-24.976719108072167,-24.54179231856056,-24.238496090058483,-24.105769986403118,-24.165297460000563,-24.419244703957066,-24.846341402481638,-25.398970632268902,-26.00711350408815,-26.593008417919783,-27.09406348341566,-27.485422748681373,-27.79196830868766,-28.08330495960202,-28.451808339715477,-28.979981219237136,-29.707819918029376,-30.612899537882846,-31.613207719272626,-32.59349984338172,-33.443242956728675,-34.086905813899044,-34.49284677010682,-34.662673378921845,-34.61640788362431,-34.389079876766985,-34.04158235300371,-33.67297756670932,-33.41483231522017,-33.396766833776574,-33.69248365846738,-34.27419462823701,-35.006430288710824,-35.692463793436985,-36.15623887147555,-36.3180377538188,-36.22103219014903,-35.992669806250646,-35.76429441875195,-35.598274179342724,-35.46591328616504,-35.28551387930427,-34.99192471770342,-34.592412970449374,-34.17744709749134,-33.885627806038144,-33.84633761051601,-34.12787209065572,-34.70742459527656,-35.466843271707624,-36.2137422921121,-36.72821092709725,-36.83157290762095,-36.461063010645724,-35.71988745074686,-34.869583353915935,-34.24952047053997,-34.14206715325697,-34.634974166762724,-35.54611685305413,-36.458611811267495,-36.86897333590852,-36.395294271158924
7kg_10bpm,11CA,-40.411072802164476,-38.63474557471689,-37.66681843468607,-37.78466920707167,-38.926416718222995,-40.74369893524585,-42.74948086333008,-44.494752460651,-45.70298885335184,-46.31911518201138,-46.46866677019499,-46.359715473048084,-46.17924756141425,-46.02612758066413,-45.89837727879202,-45.725325323293085,-45.417517724685254,-44.90822841502916,-44.17217826611828,-43.221527442114464,-42.08970969027493,-40.81513920574766,-39.43233509992495,-37.97175620564394,-36.46494652482545,-34.950375295383324,-33.47630651455085,-32.09862600562348,-30.873454178191515,-29.846173207046498,-29.04011308721302,-28.44902984606932,-28.03647984523448,-27.74305553894201,-27.500128720850363,-27.246579943081002,-26.943695088619474,-26.583660628260468,-26.188655766105313,-25.80068191706367,-25.46609526526573,-25.22049391314863,-25.07894491072602,-25.0340836603628,-25.061371854516246,-25.128901720148804,-25.208682008618517,-25.286528506119925,-25.368208091966146,-25.48014768031193,-25.66392563105586,-25.96523403050736,-26.419696619006885,-27.038910604633045,-27.800563421689745,-28.64618239753554,-29.4880835778128,-30.224653365087608,-30.761031895555934,-31.031074767259476,-31.016754653518035,-30.76190947755007,-30.37694712641637,-30.03000144913088,-29.92061618821769,-30.23504561395434,-31.089221002077995,-32.475464631567824,-34.234803087321495,-36.07358807982129,-37.630533193147095,-38.579324650445606,-38.73221103816012,-38.10511066312071,-36.91581138233186,-35.512457644500245,-34.26051877027762,-33.431462256866766,-33.13304706281357,-33.3023502633758,-33.755033728453874,-34.26608761347851,-34.65169293917734,-34.82573737211922,-34.81627579155077,-34.74035004560164,-34.747062974876236,-34.949588954993885,-35.372314856924106,-35.93477890235567,-36.481373704594645,-36.84646193253521,-36.926632823788324,-36.72737066900252,-36.360775107538544,-35.99245221640012,-35.76134920451923,-35.709740819359496,-35.758091364406674,-35.740654568300975,-35.48747174973893
7kg_10bpm,12CA,-44.46514305980084,-43.05377633275718,-41.610169795717944,-40.56801232008672,-40.22895660752761,-40.66587422449067,-41.72138408304321,-43.089878781755196,-44.43703686968386,-45.506251241146764,-46.17529954002461,-46.45529144926937,-46.447746984027084,-46.284844339529506,-46.07669841549006,-45.87921059291686,-45.685444412139155,-45.43716343750589,-45.04869126944322,-44.434563774942646,-43.5337400959939,-42.32520056832177,-40.833421115886445,-39.12472355220675,-37.29633971730317,-35.46053881962683,-33.72618081820428,-32.18053394197258,-30.87555729931597,-29.822675277858863,-28.998117803405275,-28.357579166653665,-27.85462564974688,-27.45551111223924,-27.144865338445285,-26.920846577235753,-26.783572875856684,-26.723047064953185,-26.712246580000343,-26.708414075140148,-26.661995750926124,-26.53043235070351,-26.292481742488878,-25.958171848739045,-25.570352552343174,-25.195515711726603,-24.90512415084907,-24.753212332682274,-24.758366245550206,-24.897930503620767,-25.117417744366456,-25.35134493859237,-25.54747273113726,-25.685072892753762,-25.78082036660323,-25.880669430261978,-26.040617465773266,-26.303953381266123,-26.684316472345557,-27.161892891231233,-27.69493922315126,-28.24128094561883,-28.779971118264925,-29.322701647268513,-29.90832631665067,-30.581562388134287,-31.363827454566433,-32.229367487853004,-33.099688522420976,-33.86259995306812,-34.412564836904785,-34.69783918090412,-34.75432995820731,-34.70927865204375,-34.74718227643457,-35.04629495761502,-35.706800530289485,-36.69695603232142,-37.841402534554966,-38.86079179656146,-39.45439683184451,-39.401106693806035,-38.64294283159213,-37.320254407493024,-35.74269918256558,-34.301662282516496,-33.35387123853813,-33.11469048068111,-33.59694117895195,-34.6164589409716,-35.8602343462743,-36.99375856834562,-37.769970181972774,-38.1000346187726,-38.06142804334362,-37.840200269139785,-37.63088541172458,-37.53742086397466,-37.51828604372018,-37.40364559271025,-36.978681208566286
