cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,10AB,L,AP,HeavyHand,14.769358280061399,8.03039984754019,14.072661628366841,16.16133869040098,18.541666656472444,AB
15kg_10bpm,10AB,L,ML,HeavyHand,16.410622351825467,18.305457073170665,15.530088886271342,20.339624267264167,9.708873326916741,AB
15kg_10bpm,10AB,L,Resultant,HeavyHand,25.628685762266667,25.591756755652455,9.20976685630517,5.191810190941061,42.59467514248228,AB
15kg_10bpm,10AB,L,Vertical,HeavyHand,27.02911696808714,29.88381819349937,9.349666434935166,2.591070658043366,43.46022809862038,AB
15kg_10bpm,10AB,R,AP,HeavyHand,16.334439554263593,6.450543609505135,12.26647521736085,19.94863822792054,21.6596071366134,AB
15kg_10bpm,10AB,R,ML,HeavyHand,17.709456331137993,21.31794979792483,20.731593353605053,8.997293100743946,17.036136316352945,AB
15kg_10bpm,10AB,R,Resultant,HeavyHand,25.61498321534993,22.03459834099031,2.8185585852010715,1.0669172076806077,45.53262193007795,AB
15kg_10bpm,10AB,R,Vertical,HeavyHand,27.233192882849778,24.79355205148271,9.176961116236715,3.565599110991144,46.8693223688006,AB
15kg_10bpm,11AB,L,AP,HeavyHand,14.694823120050941,8.534228949721207,12.449652348727284,15.973713286512735,19.35007442962664,AB
15kg_10bpm,11AB,L,ML,HeavyHand,17.280347644691485,17.869426162720337,13.175527710159535,23.353467400530366,12.713209136892567,AB
15kg_10bpm,11AB,L,Resultant,HeavyHand,25.71960625088587,28.072075317310524,8.78017629515116,5.429972330464302,41.345576927495635,AB
15kg_10bpm,11AB,L,Vertical,HeavyHand,26.739197695979822,31.1808994858167,8.86081746700196,2.9465713664725124,41.93737661554602,AB
15kg_10bpm,11AB,R,AP,HeavyHand,14.756430591146605,6.996320669929747,10.515154438997191,18.908966748356324,18.673641069753625,AB
15kg_10bpm,11AB,R,ML,HeavyHand,15.939258019717986,20.34351708156177,18.194247310989077,6.76334395506149,15.05662513294035,AB
15kg_10bpm,11AB,R,Resultant,HeavyHand,27.584916008539434,26.18750829898464,3.14390829686297,1.8282149369865088,47.78895258055437,AB
15kg_10bpm,11AB,R,Vertical,HeavyHand,28.281157386823327,28.19666557109778,8.544182363226131,3.0841278218388397,47.57303657245171,AB
15kg_10bpm,12AB,L,AP,HeavyHand,14.41626881095755,9.61271668623244,10.188126680278154,16.97120029108076,18.486078215812796,AB
15kg_10bpm,12AB,L,ML,HeavyHand,16.53560309245107,16.42848044121648,13.441838289662444,20.356998402905948,15.180210901062598,AB
15kg_10bpm,12AB,L,Resultant,HeavyHand,24.32826169970165,24.863452963669047,9.464404145492257,6.3519764233526885,39.74701244725126,AB
15kg_10bpm,12AB,L,Vertical,HeavyHand,25.650637587572444,28.07545026451098,10.033077094972953,2.8818460892110096,41.148657124916454,AB
15kg_10bpm,12AB,R,AP,HeavyHand,16.091537831528488,7.6297421940942165,10.303838930854997,21.275956374020048,20.31150395036786,AB
15kg_10bpm,12AB,R,ML,HeavyHand,15.60967342335942,17.4011462407148,14.967311864037352,11.551194216641298,17.6543656333984,AB
15kg_10bpm,12AB,R,Resultant,HeavyHand,25.535432667840684,25.961773521579005,3.9387667118418923,2.4067538630754925,43.17891654369809,AB
15kg_10bpm,12AB,R,Vertical,HeavyHand,26.69447523223543,27.248138839328444,9.481158964552463,4.308549851133897,44.15844270565937,AB
15kg_10bpm,13AB,L,AP,HeavyHand,15.611368508497915,8.451551962061293,14.274123445068343,18.669291689472384,18.628093884014692,AB
15kg_10bpm,13AB,L,ML,HeavyHand,17.5072545060622,20.761978529016194,13.747682581279609,21.836602805787223,11.659440252475159,AB
15kg_10bpm,13AB,L,Resultant,HeavyHand,25.554732830035288,26.979356172959637,8.407936685789787,5.799421400265203,41.67279719918981,AB
15kg_10bpm,13AB,L,Vertical,HeavyHand,27.45708279236391,32.47791922993732,8.21504590630348,2.8193672276929034,42.91617712485023,AB
