cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-5.06026032,-5.452164978415062,-2.725121123297301,2.226915813177357,6.567395627329513,8.370424237928527,8.068831839604705,7.077182559442629,6.145489872973508,5.410188574074011,5.000128054063824,5.0124995486669315,5.376408563669544,5.930192288464853,6.399141968840259,6.570685153083071,6.6227104826342424,6.8102479658544635,6.918866823121227,6.51066459122741,5.538635249035166,4.470360674199057,3.80370761646394,3.5707977958017,3.464081637365187,3.3064529899999995,3.0650632712722743,2.640504870801907,2.1124458734857643,1.802428001405436,1.7462684760843676,1.5789057075408834,1.0674951435448898,0.37269866085185,-0.22061647531080933,-0.5916537199419575,-0.7900741709260977,-0.8883056767051358,-0.8706680538104874,-0.6411071050552225,-0.16609368743779343,0.41404626040850606,0.9050642138788334,1.2217041986322816,1.3963879463400297,1.4943861467026538,1.5236693485507526,1.4814452062690884,1.4705784308069105,1.5836967574593148,1.68395571,1.5906120344292851,1.4069038395265006,1.3592631204185888,1.4691017138221913,1.6448544731553185,1.8981702727774175,2.2698893151495434,2.7066532706350954,3.150037871932547,3.6487392304825916,4.233989989457143,4.756545807597628,5.006071196592415,4.981037818899506,4.959446284321097,5.250932797740987,5.878034122136608,6.533058982156381,6.912851553277072,7.122106442588316,7.588617846768809,8.481144363773776,9.463087074546385,10.103046986684035,10.29779538,10.242401524049098,10.141490925509913,10.124683261009869,10.320992455696599,10.68416887285252,10.7701796844096,10.130609061966672,8.957237157198685,7.914516232330973,7.450374393187271,7.570075054820463,8.086569245825821,8.735732548103925,9.180850679926277,9.23393130970654,9.021010059656183,8.893502591540287,9.080603805372643,9.24835934637029,8.706516645128673,7.21009663736179,5.195696340345593,3.2568452736332114,1.7014312611425277,0.60186976
7kg_10bpm,2AB,-6.36152068,-3.7594867243662877,0.5824908473247072,5.669727054940386,9.957347234916538,12.288369738792639,12.634943022517199,11.825253297833905,10.68726717248702,9.56430829326422,8.511309067233833,7.679612485362627,7.29951492179408,7.340500248027167,7.387628398802058,6.924001417044157,5.734816729190622,4.076728586791851,2.4856690921892155,1.3857473538636742,0.8359288970383448,0.6389582942474047,0.6355380947494502,0.8154012084327154,1.1554698787282556,1.45713881,1.458308185626566,1.0851985298753852,0.4812227858232581,-0.17410441965236625,-0.7456122326363894,-1.1095086375730054,-1.2169426443207103,-1.1993690910287431,-1.2798429596370495,-1.5384127022866574,-1.8338114432550194,-1.9554102504568305,-1.7821965323761453,-1.3125496866581503,-0.6192883758792113,0.20155052648170907,1.0482831225497875,1.8086892735032014,2.390479035763894,2.784065681099231,3.065955961786341,3.324503588839257,3.573551829606788,3.7209204162284326,3.64824069,3.3645166447797417,3.061251182512206,2.980158471690981,3.2383109006539055,3.7879372043362065,4.51043053960112,5.32202149554251,6.195652651791001,7.1106324065932425,8.021754975239897,8.887054352493667,9.690547269096568,10.416260260205519,11.01915089506227,11.431535383771324,11.581299174408274,11.426910747162436,11.02973135151856,10.57977528134748,10.293482304774557,10.27586168919532,10.47373764663092,10.7295186606129,10.890864704576089,10.92140247,10.91796897281784,10.97477516795512,11.062632940997023,11.13405788351855,11.281272023664249,11.612787279935308,12.007389062260318,12.1815350175404,11.979390006185815,11.46601737382626,10.835223030557119,10.370090137766597,10.344244931418572,10.71844699228924,10.97202969481155,10.482053014728656,9.204281627341118,7.776398002816636,6.795273424593894,6.2032394423831585,5.46430967286807,4.175774594894706,2.434552807804014,0.7316314516680635,-0.44097583
7kg_10bpm,3AB,-5.41591613,-3.2564274123613486,0.2970252300879363,4.5871034181426085,8.545928886437897,11.247280721895747,12.356114397776158,12.144572003304862,11.221175068941953,10.173159582505994,9.299984672394046,8.58497315765658,7.877951848960558,7.1141645808158795,6.387891162224476,5.865932217904147,5.6332853775842056,5.581041317452971,5.455359622964366,5.049804132277924,4.358146459999999,3.5457576395145587,2.8097638201170496,2.301190377757942,2.135981690789953,2.3627617088866883,2.8637349943206116,3.364496219089096,3.621209000594192,3.58795023043257,3.3740841860393536,3.0807715163607323,2.7396596846680863,2.37733794841689,2.054385624781695,1.827461284375202,1.716828702948823,1.721552653311627,1.83946982753398,2.060520202848325,2.349408060000002,2.647062964893218,2.8952144256812153,3.0664893377789024,3.1690821437582883,3.2111463788266708,3.165049615525016,2.9943952376312377,2.7228195742176835,2.4561693348622735,2.3380433500013034,2.4840847615129844,2.9301779922313136,3.614689646387762,4.409278406497101,5.181403490362892,5.858340214735097,6.459134015409809,7.057240108760893,7.704369910310583,8.39501008,9.10849973842306,9.871026800382113,10.735538591282868,11.684971979826486,12.597787204912935,13.337100424644117,13.84904746142759,14.15818852450764,14.294052411690911,14.247013429512098,14.006125792648199,13.636968056309618,13.282781673681358,13.064083556748571,12.990991265534895,12.97635267145083,12.924167560712508,12.81428102216695,12.724839798517023,12.765510009999998,12.958727784207772,13.197365644707547,13.326891797931255,13.245394996846475,12.952333946739971,12.573001370392289,12.31040268690012,12.253905114515149,12.233610805498989,11.984021557980952,11.421559883229307,10.63393785583533,9.67846440330253,8.53826151039443,7.266951365372836,6.050274454781634,5.051953847698219,4.2595435915155555,3.4995541735162417,2.60393191
7kg_10bpm,4AB,-3.77617958,-1.9408365214727339,1.5747892266984287,6.2268786528352695,10.64841809284853,13.388584172373951,13.803794359638669,12.310557534786502,9.9287960093684,7.680118563042633,6.241722103747718,5.816825061029608,6.1218438353497495,6.579290118640575,6.698117995998871,6.359837703595916,5.77045982836813,5.147617369488309,4.474681569409914,3.6003311040475956,2.56900385213688,1.7529559138187885,1.5599272511325577,2.011202120866779,2.6678546977649797,3.0076650999999996,2.873491633417535,2.567288341306594,2.5549894002511944,3.0826729867885003,4.003261648189893,4.907924943729786,5.431123732668246,5.490478005831916,5.300474432971564,5.180174573523173,5.326391679699558,5.731606288140541,6.261519853839619,6.761347398491704,7.104106679355123,7.214163877558648,7.093790917433616,6.816430789302118,6.482466883912707,6.18004645876957,5.955757193611011,5.784087569261574,5.5785356859690465,5.278738203963902,4.92946497,4.652659203955781,4.55576710112594,4.673503748235551,4.948509197217276,5.248028281725648,5.454743604810606,5.586358289679644,5.8090637684925035,6.2904196364106,7.027359501093964,7.838912753227242,8.51887693181025,8.967637958617264,9.184672044124925,9.198413238923873,9.09783093921547,9.103690790973179,9.47063420270548,10.246241832839882,11.153956489511149,11.761795510542093,11.773352014255007,11.219992494573027,10.454046963947116,9.92088974,9.844822293319508,10.117473995257054,10.447350697809696,10.548304663789663,10.25924012010277,9.6643931240878,9.151628415884105,9.219336272503602,10.086734695243685,11.445216399252262,12.604496796975177,12.97711261607315,12.511462337417695,11.612740811495499,10.690865043000832,9.89820903036665,9.207141052713864,8.544475056086657,7.823097502849203,6.993683297252193,6.074880287233983,5.134192007790075,4.212363027113953,3.2539812515934874,2.2000348
7kg_10bpm,5AB,-7.10511966,-3.9584429888723403,0.8772033769873745,6.281669192054983,10.927673305382747,13.765153998687195,14.446755045632454,13.445276669656257,11.711885791159782,10.088127294464975,8.944817906458532,8.250980591234141,7.828346001850957,7.492581673465251,7.056076563324383,6.364755281054497,5.407442004233761,4.346259641173217,3.3819616640280605,2.5858371400649105,1.8800000148824638,1.1934203662268497,0.6219002253594521,0.36943302684511853,0.5091718214882368,0.865799366455061,1.1718407451112913,1.2983000406315302,1.2918056652300736,1.2387315190181458,1.1790910044643936,1.141189220048272,1.1687183070256997,1.2676639340084679,1.3689850594446997,1.3919418173047273,1.3358145231300012,1.2802845258223372,1.298726509450857,1.3926249642641837,1.5164063948606679,1.6497067869128164,1.8242981679580563,2.069289510171983,2.338923590449252,2.5214335889551,2.5276499040931313,2.3582542189154996,2.091988025772632,1.8380526536424,1.7034412480667156,1.76349969440032,2.0185828103664454,2.376296796490256,2.7017059415276887,2.9136145348980853,3.050401630976689,3.2399799719098796,3.5963728109057462,4.136079608617033,4.772919526027995,5.380023520522444,5.866507962152614,6.218431944790685,6.480746600767357,6.694296031712916,6.8451034677435665,6.885206368496328,6.805445015732806,6.687851461208125,6.6889013897926715,6.944161860904656,7.468270087829841,8.157325422694415,8.872020469090668,9.494101051028489,9.949501597784428,10.242826311883888,10.471750653182623,10.74627912839692,11.054471480946637,11.247241680204233,11.206874725615764,11.016904541825593,10.943507882604305,11.236086337090331,11.876742844031057,12.473331276125739,12.504904872867362,11.81178579113023,10.756952739417974,9.841475185417744,9.299985084553686,9.071781154034088,8.94745426127726,8.617569969314122,7.717201549822444,6.063245811117809,3.9432290256211653,1.9886042892647187,0.66765079
7kg_10bpm,6AB,-2.89218365,0.47176154414869187,5.3917076305885026,10.442620256158529,13.97768220292088,15.101837952868989,14.15662852143157,12.31493610884179,10.69054700447331,9.758570972653324,9.404301950316643,9.243794632082837,8.884162100663447,8.11124988620837,6.985591523275385,5.779775965636617,4.7931385374343956,4.163654678869624,3.8135286761281386,3.5724424200099443,3.344911266448325,3.150102946113253,3.0244364688461807,2.934190714853874,2.8084535130238124,2.6412627938827264,2.524365614443208,2.5565902776013743,2.7396578629906356,2.981130711468876,3.1750988589145654,3.2563436885668895,3.202214394905836,3.029516397204915,2.806871523174365,2.6420489922879806,2.619741789890273,2.747290508046096,2.9697329692571914,3.2253095822313016,3.4708923694799867,3.661840936298873,3.7387990772313544,3.658727706286761,3.4407264693472563,3.1738108114166783,2.9753237026704,2.9296620113801057,3.037678808161265,3.1975171173164147,3.2514471087220964,3.104605188343266,2.815136481324723,2.5490581350539747,2.445188109528172,2.539373888330681,2.801743054779462,3.1986632049285046,3.6970290558624193,4.234217876900403,4.731986072480414,5.170416590172957,5.62646088018138,6.200056567536573,6.901038200531109,7.619047698443281,8.187481925180455,8.46775169344687,8.423945240093591,8.180556312483649,8.002633245851912,8.152813000104683,8.703571221043392,9.473974655566654,10.166062392803816,10.582700206035522,10.761087855132956,10.913643729042978,11.207400478824447,11.582944563537803,11.811195390325405,11.73237351491579,11.435748381973786,11.23274093644962,11.448153942446508,12.151311598700401,12.997893553065014,13.3652954080426,12.808339979102996,11.507202428907965,10.166739960684815,9.378158843758253,9.177510800355101,9.16682694146032,8.907873188743718,8.196469947181498,7.111933481402519,5.8968208353916065,4.767092599495783,3.8160754005819344,3.0184252
7kg_10bpm,7AB,-6.8736666,-4.940871657814514,-0.399772824677858,5.354664907123429,10.252382394337866,12.822257541532611,12.955253681842763,11.706938000359678,10.37340116752246,9.602213793710304,9.2508079728379,8.922911896781764,8.45687369206621,7.8689382226677145,7.033273350314848,5.711204583754769,3.977246348577483,2.423004822078029,1.6991107024536571,1.8195202528070658,2.101520246060108,1.9247603412577605,1.4008231677022722,1.1341399414399826,1.4702162976670632,2.1596272488821135,2.709586323805733,2.896158972221058,2.879826753268362,2.945331341378812,3.243574299274217,3.7423701577693507,4.317063838044209,4.844533933514613,5.24932578525293,5.522131387117108,5.715020182399174,5.890595834524698,6.048800825840437,6.106359671947196,5.95799279056528,5.56036728272516,4.959986366697104,4.256442338871386,3.572395700170765,3.0517037029176066,2.8041341069690913,2.807141512181517,2.9183930989801112,3.0346734510116047,3.213719116060017,3.5962165664574295,4.215705499380517,4.925855526789565,5.531544282367242,5.975605842462445,6.393223407722974,6.993537716480669,7.887730367198899,9.02020701212676,10.2458841303356,11.440195921401786,12.535664360365772,13.521862824619575,14.444006462403316,15.3648250689032,16.31554102803547,17.314491866214752,18.393637417431314,19.501739591654264,20.40565210336385,20.831746124762287,20.71635566428035,20.25400096342975,19.69336431580754,19.130875414400208,18.547104334598185,17.970457786105364,17.515261092952514,17.27849240629823,17.25393403050469,17.358700982492195,17.5103268376088,17.687138342672082,17.934596726159253,18.257684379448804,18.47373392719249,18.268405445563342,17.48783571666773,16.31119313494318,15.146637049095789,14.399592108817389,14.177313752430084,14.064108260727764,13.360765463105887,11.723658911737505,9.488786022088318,7.3244084947924195,5.664848549068965,4.454438334731535,3.35282548
7kg_10bpm,8AB,-4.79478397,-1.5921678418772853,3.3888587455914316,8.966190605717133,13.16162805725302,14.567773879910906,13.443205740082796,11.303739670577128,9.528224449887245,8.510795564804303,7.92678827610705,7.375813644490912,6.643083433132522,5.628241994617873,4.366793961724434,3.1423665414331015,2.374677973659705,2.261280309268454,2.5385061850333424,2.6795147140348483,2.389918283773327,1.8757762557949802,1.580204176048721,1.7249743822741677,2.1631805932659325,2.589006480000001,2.793845033710655,2.7605657034343474,2.605517694755447,2.4540711297786397,2.348761082059596,2.2601008196877963,2.164738105478781,2.0875264081413665,2.06874651562935,2.111649405346337,2.176926796311633,2.222938496426251,2.2385419288055943,2.2381852934965543,2.2379951849068873,2.234511089217623,2.1928332282325766,2.0723992346743585,1.888989273495418,1.7382578948048688,1.7369200513882694,1.9341660077454894,2.267974836452459,2.5977274618433275,2.79926568,2.8707506563052014,2.963901711909786,3.285761362952615,3.932265782782543,4.799423954299262,5.667983817052953,6.386926973885375,6.982174267378437,7.615228926880909,8.436927283668755,9.456176256190016,10.546582336664382,11.577333277633862,12.503536871985224,13.321351481573155,13.993243261295483,14.45985564472958,14.695544493996497,14.72279355979073,14.587721154763834,14.35277379506977,14.111559072846246,13.96586783118246,13.961464299229581,14.059335619999999,14.183153561227789,14.28750211098865,14.382948271693168,14.506238468924407,14.65728052895386,14.778360198093203,14.815347240674308,14.787205555322867,14.809798329799177,15.03546962618932,15.477039721407783,15.876453374395052,15.875267826258689,15.380044892845445,14.648397591949173,14.010686106460502,13.612615500606047,13.329906298258258,12.797313591482066,11.651811197206849,9.880281507243158,7.855698628854819,5.954427141846887,4.276350661837813,2.79645154
7kg_10bpm,10AB,-1.7048195,0.03904948135805516,3.8979991407772707,8.640738290288537,11.953794981524611,12.25778737942736,10.23271836919923,8.103913979584531,7.376257955464492,7.688246577358427,7.698091711553786,6.614602361566577,4.781744329173478,3.010339629879937,1.720831400826919,0.9703287062055365,0.6890176482947578,0.6269690313571925,0.5359044459994922,0.3915370442191514,0.2833127958288984,0.22170772978374342,0.2415736516067368,0.6131492346914105,1.6683023815959883,3.369950390000005,5.244371740222838,6.758170146448669,7.66636616436361,8.029395324305632,8.021013158776958,7.819016445036088,7.578372092254,7.381070878990085,7.2384251695496244,7.151425269370436,7.113505366688218,7.08164875542369,7.049428981424256,7.068813935030076,7.115393102274582,7.031562495793308,6.67273829391083,6.078518385622758,5.433468162220749,4.902798030557839,4.553210615334654,4.387773791558226,4.3782913641245695,4.420482180447477,4.334537089999999,4.069736416699095,3.907619635763028,4.207621217919948,4.908488597485892,5.588274265443231,6.01726526989404,6.399763930145559,7.03826196288902,7.950944436780089,8.90941823057929,9.752309237154812,10.538263499384595,11.326642509243023,11.964755313562883,12.301305320451226,12.507113249562698,12.95725575188568,13.752011735971031,14.505170990488256,14.76565736141478,14.536261245555965,14.227875086114095,14.096647650568197,13.944617372589079,13.53518904,13.01745526140155,12.744587876408252,12.813780853983733,12.988438875992014,12.907591631389796,12.197279134662164,10.650470701043115,8.601500091826862,7.012657420417498,6.7174250696554845,7.440699743913091,7.937570501365264,7.242954730208564,5.507925197078711,3.5782344203529832,2.112445052103068,1.2398390404252597,0.822031045168387,0.6906864018973952,0.5641461255241054,0.15343590416571568,-0.4553999239305402,-0.8199279982972275,-0.6562706768458535,-0.13556695
7kg_10bpm,11AB,-3.56049998,-1.142530537842231,4.546001664070025,11.022316942363254,14.528695692033232,13.83741616049455,11.029850287100272,8.570358619337036,7.133971165664634,6.284314720908987,5.700622243251209,5.132716685678341,4.060470338457252,2.283139305353436,0.5070881131698058,-0.3524895923538382,-0.2905443503642312,-0.06337979367739939,-0.007762883171277962,0.2288345699406616,0.766659061996731,1.179806213941239,1.2926578825518629,1.5293407447785194,2.2924749163398697,3.501491278749705,4.781451138394135,5.814153538412548,6.4537065739817585,6.678663233827134,6.563486039571162,6.260720406235374,5.9405204920714745,5.724501387873598,5.621366616185405,5.486738904337492,5.175503244147531,4.711300677534687,4.189176517160768,3.595813650536357,2.88423251306962,2.0931057376316957,1.2970527024664764,0.5594822027891652,-0.0541987296043741,-0.47193410733656793,-0.6507568364037503,-0.5471793357217858,-0.07692650094797068,0.7394009883930415,1.6254372642043355,2.2971155894289743,2.8189061350036613,3.495582076760147,4.457310119512067,5.540428849962043,6.554507785855244,7.447109646166076,8.210378550066194,8.851714724687966,9.468445580559901,10.140837552633448,10.807059731236201,11.398396267494512,11.982294142384013,12.615965254865074,13.128461918817708,13.253191070390969,12.951036969252232,12.492031447779002,12.258797143341646,12.412017430192066,12.717306948064104,12.754088794629666,12.286063773090163,11.50184649574312,10.842043431775977,10.56573068873275,10.557861936364798,10.53835302310698,10.393832969209964,10.193233324885238,9.920858687990513,9.34360651043545,8.23520516284945,6.832847812677901,5.904330163441463,6.022761975225497,6.780484009002865,7.029035060523331,6.046651871956045,4.233886805351968,2.5577054491366744,1.593850455113403,1.1491655383565018,0.6944954921396467,0.0873928557460116,-0.3306150735507916,-0.25997389056706793,0.15049645847327967,0.48642243
