cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-13.53536041,-13.277527171078999,-11.85163926365436,-10.227617896314356,-9.630207755265516,-10.553708444528356,-12.383551579338482,-14.020482211782653,-14.731604902397242,-14.436967215131487,-13.516245068026581,-12.562273997974696,-12.157102255697488,-12.59936679569545,-13.746536163566248,-15.169592771653596,-16.514227626750113,-17.72204320352142,-18.911641830094137,-20.11634228801255,-21.22404879506891,-22.161711543648014,-23.03625701270939,-24.006909279782523,-25.024077392140217,-25.78443888,-26.008072945948623,-25.72479393157085,-25.235052379918944,-24.79913071356971,-24.40040171025923,-23.825438012474837,-22.954047521639936,-21.90838117343494,-20.893326515236883,-19.957918694249408,-18.977137831964477,-17.838851921721986,-16.56842327588078,-15.260202156102286,-13.954014992758067,-12.612509860671459,-11.189869769069361,-9.692754215826433,-8.18483231761697,-6.750517140402877,-5.433946706351924,-4.18937559512608,-2.9185344911039803,-1.5875839430739733,-0.29711533,0.7856231612794738,1.57743220428465,2.1561172233924863,2.693454575260679,3.33267190419888,4.110324537438927,4.962756572286997,5.793094392628466,6.5087989258881365,7.017453771007106,7.2660936146962065,7.302853210685422,7.240223264348133,7.155515019392801,7.086043133560422,7.0944576288707974,7.249581556235985,7.5272345195122945,7.793099485952277,7.911470051588945,7.827418759613395,7.5407091145893945,7.063103799965744,6.423225159986926,5.68535812,4.934415437011662,4.253039220271357,3.73578162499595,3.477479178067293,3.4676686245728203,3.516346414414162,3.3925620916498556,3.0506119738033375,2.646358883396767,2.3555872088245313,2.258354048160106,2.3668586661956588,2.5945840117179193,2.6227615041632713,1.9598853145259556,0.37102899500115083,-1.685111003352166,-3.2137049500963117,-3.421025898957909,-2.2979572002164517,-0.548068915468827,0.9571132853941559,1.6852952661074485,1.6113822811111038,1.06250278
7kg_10bpm,3CA,-11.70836475,-12.315601816494288,-11.317840532076504,-9.573378815390091,-8.582401969331778,-9.309197578143921,-11.405673661768184,-13.61635168105989,-14.83925697701223,-14.776780180439514,-13.853868435747588,-12.791270727198354,-12.199033077378138,-12.332154541246549,-13.080581907147733,-14.16889408786727,-15.390329868109259,-16.696114389505865,-18.11438902032389,-19.607826738604416,-21.004736299209736,-22.07084734543392,-22.666155158800056,-22.84675470878928,-22.8148410240833,-22.76560656,-22.77657364493762,-22.832684910908075,-22.931166288799698,-23.124185870304913,-23.43800065354823,-23.78078716341481,-23.984722751132008,-23.953205614727572,-23.737336692853983,-23.454120370106597,-23.1472187215477,-22.731933754492726,-22.05921571424722,-21.027654094194993,-19.647155260771843,-18.02472278665402,-16.312650904778632,-14.65162018647371,-13.109863774003433,-11.658148095888636,-10.222535146085438,-8.767263321205114,-7.319644431045778,-5.925488199361251,-4.60449796,-3.350053614444624,-2.1529530485500867,-1.0168532199260134,0.04163259355647928,1.005903026183352,1.882824679809428,2.708677472299674,3.5144891724798035,4.288013662872152,4.989161929826419,5.605171735806251,6.164474645713928,6.684233187595058,7.1308576424955925,7.45930671165202,7.679579939137509,7.849686060082726,7.992482528581282,8.054489826015388,7.9787956243612435,7.79634516665756,7.609546971896055,7.488103202798497,7.398190472513605,7.2293462900000005,6.881121372356795,6.350459338226048,5.774843431984473,5.372355578612638,5.272744449662977,5.368929840533334,5.3555832474394585,4.977868398398965,4.280470501895937,3.599851022476951,3.30183488297923,3.523176085525135,4.128543097853647,4.827283937443524,5.254426703137117,4.9961245576392015,3.7356381698805117,1.5526039879668834,-0.9068455643775714,-2.7145923046184945,-3.2517186831385243,-2.559752668502007,-1.186470760523843,0.23915836632238982,1.3129518
7kg_10bpm,5CA,-6.70828408,-5.82095228480049,-4.8845614566743585,-4.9295170683645875,-6.763139348928978,-9.996335173707973,-13.17856410719375,-14.9175188840245,-14.9034472217811,-13.964483810589218,-13.200184206256024,-13.151129283974546,-13.694616143293,-14.47452893321924,-15.324155724829119,-16.325198772797588,-17.54047096068535,-18.773336984355133,-19.668019273353174,-20.082766604747643,-20.255575126191584,-20.49798932941739,-20.84560412942843,-21.086063846315827,-21.0696176473464,-20.909365968761563,-20.809335531907802,-20.766924108817083,-20.580194214564074,-20.136812474850533,-19.566440155668378,-19.02955369870004,-18.471391142095996,-17.730318326983664,-16.800264290078513,-15.809367112495323,-14.773137468460966,-13.562394475986881,-12.153542593746643,-10.726079478299544,-9.451744953671223,-8.348413932912377,-7.355094825445462,-6.420123992301859,-5.507679506756605,-4.598407473016341,-3.706823676383204,-2.863823633202209,-2.10017720237479,-1.4279593421283514,-0.7706754148848876,0.01921051335485,0.9565712664395863,1.830913737400339,2.491244649688823,3.1008854749660997,3.9041009621244434,4.857340690224132,5.661339485566265,6.085222192402938,6.16679849391806,6.146408900199194,6.227832119153838,6.391694137164949,6.446025904138612,6.223494437272919,5.717852051489471,5.101667177653548,4.619700975207062,4.4048751930373315,4.368327331263469,4.2952632660246834,4.070675417822034,3.7607796072964623,3.4581853607577813,3.147340224232338,2.7704000164525184,2.367877851445834,2.1056722155804017,2.1170301292003866,2.311849525915607,2.366836299433031,1.9794217590593868,1.2390463776543506,0.6424856227234191,0.5717642750024549,0.8698403066334253,1.0943124975007419,1.1103068377060406,1.236041375775928,1.7438920222639267,2.380552242907486,2.4909017400895026,1.5487018258249645,-0.3638185325829313,-2.3875286388263435,-3.4132718536192796,-3.027254405477975,-1.7373518886771395,-0.35776356506522217,0.57039846
7kg_10bpm,6CA,-9.77537308,-9.583930839888472,-8.295174541342467,-6.606342846525724,-5.898777176522045,-7.054026279677653,-9.489818219746775,-11.67567476934472,-12.527822719505869,-12.115762624445885,-11.259259826886373,-10.781117245214178,-11.041750273518623,-11.889376631629478,-12.940383626837203,-13.933022948725693,-14.865446209461952,-15.892329363435744,-17.147898104550325,-18.604067826627315,-20.05725402527291,-21.291704508284027,-22.24880141013231,-23.004189766531972,-23.635257435247215,-24.17955551959281,-24.67754535888217,-25.167757537994337,-25.621686232270505,-25.939735570522508,-26.05794560884921,-26.005325011695575,-25.803390952077706,-25.372987401957765,-24.600184400496286,-23.468741685478385,-22.094472336061603,-20.62083711843025,-19.092353738621036,-17.45511129026853,-15.682255137631298,-13.851448716394563,-12.06786923386529,-10.365982276798933,-8.753722056067428,-7.3077175700034696,-6.133867540091313,-5.220517465793296,-4.3871213490893775,-3.4204426078554695,-2.25178113,-1.0010797243890164,0.1090638033806571,0.8971714264826957,1.3567755745220287,1.6988491834681203,2.248137038534578,3.2108870606969244,4.504515290908217,5.838819263888824,6.953674596010185,7.777144986750751,8.381433850385003,8.832662580538516,9.11282221877078,9.148637458413196,8.88759489671123,8.365060691249209,7.695831002572786,6.996573033209806,6.342312039951889,5.789447040308827,5.370275631507248,5.044288493726037,4.7194177845935545,4.331120577202749,3.8532242108616788,3.2759843302036695,2.6814640936000105,2.2971945581001774,2.3272732512572314,2.744155117400232,3.287939293642678,3.6142467120048702,3.4844599845030255,2.9594051017173317,2.4431261406550187,2.3933968460976383,2.8267414098659756,3.0992856382036105,2.3450294988087106,0.32961856952171337,-2.0807273244049114,-3.52055981182304,-3.412960169981021,-2.4794429366158024,-1.820652028432074,-1.728875411355835,-1.6139273011801514,-0.8978472165723985,0.30542525
7kg_10bpm,7CA,-4.57853639,-4.257318872611175,-4.76330908540147,-5.75232614355661,-6.812571901133292,-7.8820943,-9.057199034675369,-10.10476346443108,-10.522401554618336,-10.162588500396897,-9.494820819999997,-9.183283587177645,-9.537251998916677,-10.395900234153135,-11.458022272344557,-12.587543119999992,-13.74961188923876,-14.805549867751656,-15.582874970369188,-16.12084111462284,-16.66197731,-17.371486696788413,-18.192866251905127,-19.002373495308305,-19.822134379006197,-20.76922258,-21.781918185970085,-22.5225891962739,-22.68787096309108,-22.38753276668023,-22.059145279999996,-21.947282742340597,-21.783073291255175,-21.11327622705514,-19.862197250712054,-18.39106267,-17.051625090508285,-15.854334866806553,-14.599673780678303,-13.198676457894342,-11.7738488,-10.496628538392006,-9.433107731792068,-8.535147323799894,-7.6903960006938945,-6.776528630000004,-5.730253081501963,-4.583238604681003,-3.440543236922037,-2.408684010791515,-1.5025800499999997,-0.6537423775222166,0.18212341608059746,1.009792158062048,1.8746462854363317,2.82806215,3.792051041449312,4.5962776552928934,5.190451621081013,5.74242583826267,6.4652467399999916,7.329135014480007,8.026894783224769,8.283443108010738,8.108548405582422,7.67092996,7.093188851047209,6.511412352837998,6.1101045139234555,5.950546402887134,5.899981349999999,5.779096811111514,5.507157531412271,5.1132007609695656,4.70780863273028,4.451582330000001,4.4260378106490865,4.497682403581157,4.403480952801168,3.989205034920135,3.2765155899999994,2.4120578888024475,1.7018439930159452,1.5278223772812844,2.0098429007248786,2.83793660999999,3.551500889905267,3.8868210726796923,3.8989060318486417,3.867534980395836,4.022943209999997,4.317860457529122,4.3949095364550885,3.7418292318930506,2.106459124900734,-0.03083288,-1.5766659771403828,-1.726139419014249,-0.6693687747809476,0.6922864733855975,1.5242871
7kg_10bpm,8CA,-6.45025462,-6.1776897577267915,-6.168237406099289,-6.863060659377849,-8.054504724765108,-8.90343852370391,-8.968249914233642,-8.82895771183266,-9.361960942901074,-10.435432165886636,-10.90357965,-10.240051227634522,-9.18275250859102,-8.618137559353263,-8.742937629423626,-9.2144389179639,-9.701223302020182,-10.274917512467415,-11.163611009179528,-12.411685130892145,-13.994029990000007,-15.897766270047079,-17.867669028958616,-19.42568840085233,-20.34149064369553,-20.858806978264386,-21.38126629813321,-22.023590789213436,-22.587462239176126,-22.95538662139618,-23.293847970000005,-23.714373320727038,-23.91666446767485,-23.489755082761903,-22.468971730974925,-21.1656731766273,-19.6544681691304,-17.812802044604396,-15.657662541833961,-13.41441784888475,-11.330681819999988,-9.57819691621138,-8.191928443229985,-6.95385439661576,-5.508429906987954,-3.7910317340861424,-2.20775235014683,-1.1679690709251718,-0.5417765731091199,0.11776220237113436,0.9763071000000001,1.8164394839944051,2.4068860011960806,2.8362509046993667,3.430440531933333,4.333263314176233,5.246668588810715,5.743764467142294,5.838056374595578,5.883673013736389,6.04783665,6.281527572157999,6.5002024663026825,6.604427335754127,6.493880431069694,6.067478138051027,5.258663203961143,4.210538725273046,3.3363058113415165,2.9607831852349813,2.9169340499999996,2.8005504623098947,2.588350578174227,2.532248235370689,2.5245273357723557,2.1859895490621084,1.6044090009247671,1.3632242567351074,1.7423401178507472,2.2951611624477217,2.379647109999997,1.934463575857064,1.4177544846815413,1.1564518674773117,1.2083447441274182,1.5155409314929098,1.8723293311606903,2.038249346936952,1.9082974537886885,1.5366706936931034,1.13173915,0.9533816535533894,1.2700941655879279,2.0620956493789304,2.4359083310175706,1.135848820033677,-1.6769395789040924,-4.021492067952542,-4.295962145699891,-2.8125909168430065,-0.85173751
7kg_10bpm,9CA,-8.62568513,-7.465969837064204,-5.593702191179288,-4.140536208453142,-4.266471617899673,-5.73527358587552,-7.103280054537567,-7.2349958393955855,-6.504391790820563,-6.274177577455844,-7.199582913619158,-8.798756799051876,-10.317595486208596,-11.369980673603614,-12.278286207767838,-13.726539867834463,-15.744155933894639,-17.41341988475129,-18.079305667903732,-18.38148975706976,-19.32545857315294,-20.76557826274431,-21.636017937998023,-21.50170053033941,-21.082680450941172,-20.964086797412374,-20.728072814891316,-19.87932802874756,-18.630848035860055,-17.349724972011742,-15.969053520309728,-14.360664467549567,-12.78014719936251,-11.52279577206335,-10.446057509117542,-9.216853205667867,-7.82836459405225,-6.570088892611747,-5.609741987334444,-4.801571609402632,-3.9097903181786666,-2.913162077837459,-1.9255714496859626,-0.9850811761969066,-0.0963490597738364,0.7496241449952435,1.6512511340821838,2.707824236697191,3.789304040099677,4.583195818033362,4.93416918187696,5.0117826995356936,5.123151908016398,5.416199489485747,5.785564875717431,6.030261728335268,6.105188608700243,6.053649868537598,5.77277312917484,5.1925897838700745,4.538895971558003,4.044614103917992,3.6150414526003543,3.0808411394772945,2.6557370381799084,2.7125508881447358,3.132385821647353,3.1299132058462362,2.0512507792458226,0.5850449672988508,0.3282068005071201,1.4451573888416258,2.549670806397515,2.68131649930154,2.004377694791264,1.2928929810682472,1.0222747657544133,1.101375932442929,1.2909045545124997,1.5233359627318261,1.8380590985915934,2.1345628951965607,2.2861287429721586,2.400945755927763,2.657134651943984,3.040003600183889,3.3703821291816056,3.5048804024258438,3.434350242708642,3.327745943003332,3.322248052221571,2.9560008722760416,1.5084029076577885,-0.6204000513769862,-1.9769427176935828,-2.001061724302794,-1.2321525830420668,0.2621197203703065,2.492279011678866,4.265514962483889,4.14463361
7kg_10bpm,10CA,-4.8944748,-3.931694632738904,-3.7301760434156734,-4.677819915153805,-6.520928966172106,-8.43230235924762,-9.418300700053976,-9.101090423765633,-7.965540536892457,-6.803313637753069,-6.184332565949952,-6.302195331394781,-7.035627133741519,-8.161227003354755,-9.498745926145535,-10.929402938541054,-12.460479405663797,-14.19936436815652,-16.099492666329933,-17.860024115042197,-19.202352517121,-20.14735249050643,-20.935921735382163,-21.6912842730965,-22.21721571746855,-22.23419591037476,-21.789389408729022,-21.20817387568531,-20.6243244928184,-19.846219413194348,-18.75888494304412,-17.58192673751367,-16.59013719307459,-15.807187531213534,-15.081614829809272,-14.253146728488096,-13.169598204572402,-11.78935339745616,-10.319076656569743,-9.047779689802518,-8.035199594452012,-7.066284812703484,-5.9039484319518225,-4.565713601908792,-3.298202115822475,-2.268703686096731,-1.4273883101979457,-0.6344849346576223,0.2197472446558524,1.1435733689804435,2.0375049557751455,2.789091098582303,3.3637629924026724,3.8190105903426557,4.274120866562873,4.859183403291846,5.623476315933987,6.410543194821615,6.911704425460521,6.957204532079498,6.646783663784301,6.235179322852827,5.873674564554509,5.43876695737658,4.723010753781806,3.763602391852782,2.809066623657583,2.0327883746422044,1.4681046467870469,1.1581184189326692,1.1810643657288502,1.452137866269985,1.5924635707117467,1.2348912500894165,0.6018745205722628,0.41437878560536834,0.8402750997823997,1.2328509539205084,1.0826478156725658,0.4473626190931635,-0.3679158037878557,-1.033511965673363,-1.2784396039842836,-1.0481441063660026,-0.5719248920606951,-0.1213772460834841,0.28858007666627616,0.7991186951182272,1.2862500649666204,1.2063530657509505,0.06879490979050021,-1.8341156053961871,-3.3279458198130354,-3.5271154792231365,-3.0292007104985226,-2.9577826691453506,-3.2132247200528115,-2.753071256697731,-1.1597017855543021,0.8404637867503247,2.16641158
7kg_10bpm,11CA,-7.74827113,-5.987262284267202,-3.4424557404646654,-1.4406421665665985,-1.236381697720476,-2.9681246026864305,-5.402335493466577,-6.976853859895832,-7.087464995929976,-6.280780815292666,-5.497915142367554,-5.358036954720486,-5.945307751130614,-6.973961691511098,-8.107633884051493,-9.201000499369107,-10.300827724870661,-11.50794607990058,-12.86366920043901,-14.28244218552995,-15.541144830053947,-16.422454948636435,-16.94592911791027,-17.339444211898364,-17.727851268615762,-18.012541002949803,-18.068862872379768,-17.923486229823173,-17.73025825896662,-17.64807389313019,-17.75179094124013,-17.996157843109227,-18.2092993940828,-18.13781265155841,-17.60322035338216,-16.673928976533407,-15.616318534558136,-14.627545478577778,-13.693048123378366,-12.723461116090379,-11.715040790221636,-10.7291628228474,-9.780670108583168,-8.81556047827349,-7.796740257370726,-6.7569261267917335,-5.753571140347538,-4.799350071633732,-3.8710857633610205,-2.9690151581745905,-2.1138386866233043,-1.3290941891201578,-0.675091266507421,-0.22452281215599953,0.07338016183052204,0.47082439054205055,1.2645396201591323,2.51486789216285,3.940777152634194,5.082110338945089,5.590349756165078,5.493278870090691,5.201084297705801,5.106739353428159,5.201906574838289,5.225028509660574,5.059069661849806,4.811015083085229,4.6558716534208155,4.761057160494835,5.196963048908049,5.746532660312896,5.922934532080667,5.369290426277428,4.263148181014881,3.2301238026864323,2.78651899878546,2.863754667343123,2.8775373091520073,2.333300679643888,1.3912340098402733,0.6955354669272574,0.6450373486488067,0.9645644067389736,1.0444877909456391,0.6401764998942976,0.19300323681585443,0.43185387808526593,1.5745275055067163,2.93082605390721,3.358408102515454,2.165786550668601,-0.20539029375460735,-2.332696575663689,-3.09901106099127,-2.8690290170956505,-2.8253266949979445,-3.3107520099744656,-3.511427148738704,-2.6511689850274482,-0.87018232
7kg_10bpm,12CA,-6.66271673,-5.972375188896696,-4.160936352914123,-2.3627075389479133,-1.843100124330685,-2.9763621681886416,-4.905782521480371,-6.273543380121322,-6.3342537786038156,-5.450401244608361,-4.605319424195204,-4.531435471615705,-5.281582422169819,-6.473960942028986,-7.7906448689011984,-9.186590814851154,-10.709783211363991,-12.301141028453763,-13.823749534193734,-15.169612438960439,-16.296025604460993,-17.214881481125865,-17.99071691685097,-18.716762817968657,-19.440987462077892,-20.10432675281118,-20.56858490989433,-20.739069641380127,-20.67597729705204,-20.567520099108634,-20.563003790739405,-20.64467310145793,-20.685687309872648,-20.578309938014936,-20.267628774800745,-19.707106272088343,-18.85670360295912,-17.746041647210788,-16.476736520987874,-15.133320851115839,-13.732094878607858,-12.264709126237113,-10.760216975042237,-9.285489860259485,-7.899919227021452,-6.636523710636483,-5.509713293252955,-4.511565195973446,-3.6094143835028474,-2.755853658905105,-1.9126327999724495,-1.086822153668157,-0.32732276287493756,0.3425368858621314,0.9683632064954668,1.6211266615609567,2.3361967423481538,3.0891138486258183,3.8104588144813984,4.449866281917128,5.025104912239001,5.570306935662886,6.053262633731461,6.400693359170628,6.598989413014317,6.725211691037978,6.875954939213731,7.079325529347876,7.255722568428481,7.2626461376487805,7.006526511054668,6.519304566789175,5.934457486303475,5.410084553693541,5.03417998433948,4.740926556133861,4.339269680582489,3.717804450272006,3.0385851386401077,2.6388244682387336,2.665484373614168,2.86322350577821,2.85545989018925,2.615607714020362,2.4483037198608337,2.471101017218342,2.390526363663825,1.9844889844260567,1.5919031071856315,1.7756212260164037,2.4543610923464625,2.659604361263893,1.4035772444473926,-1.1131655421214457,-3.3868951712409627,-4.081450550126817,-3.3455933777256193,-2.2161330515974247,-1.1752719215466108,0.07350967633512362,1.6551221
