cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-4.368573,-4.2459577314234505,-1.8329058563697675,2.493358085139806,6.954046146276123,9.67764390126164,10.187830676753682,9.432969481461653,8.479679943428984,7.754763652737853,7.37823788116749,7.386170591009819,7.631029294628011,7.940581626030876,8.317746791479088,8.804391892473019,9.313535542197984,9.654670167433094,9.570791947384954,8.852672424748283,7.55503303505717,6.0257728691113615,4.671193295100307,3.6643057585587977,2.8524574288185844,1.9817279000000003,0.9948837930118324,-0.024429811290953493,-1.0555900213721985,-2.11350662032158,-3.2083708785760625,-4.407992098324905,-5.746428426031222,-7.128138829526294,-8.507690613498212,-9.963252291024753,-11.467107957863478,-12.819783462283215,-13.832541848287258,-14.419873780621744,-14.638652928556928,-14.712952440820542,-14.860054100907302,-15.079213865671194,-15.251089906332219,-15.348377327079357,-15.43394332401616,-15.623615622478756,-16.042052122318733,-16.630239851632968,-17.142384549999996,-17.402688644525373,-17.42518993694082,-17.298868063863235,-17.01840880427808,-16.4688814501137,-15.624245857996492,-14.665103871789682,-13.82772315732873,-13.198352665185661,-12.66965207601743,-12.053022990204,-11.262042429534926,-10.387799367221385,-9.582189849994355,-8.922268364738096,-8.380946244449644,-7.847011913559142,-7.220226018617705,-6.547728244647988,-5.933903365154219,-5.351225177308609,-4.702148815718655,-4.052544182256954,-3.6323242557189834,-3.5740468299999995,-3.7369783999086463,-3.831313657772697,-3.710721741678254,-3.468662221106546,-3.3299384572311213,-3.523394492125956,-4.113023163167206,-4.86197489917829,-5.383368245898522,-5.48835297170294,-5.335004799984617,-5.31520566446825,-5.823937735650987,-6.920876115255978,-8.011112457568139,-8.130229985514612,-6.965535109419984,-5.339479128939909,-4.322382167094402,-4.129278705747067,-4.032811052135289,-3.280124757776387,-1.9009963965786383,-0.5855610570712233,0.06776121
7kg_10bpm,2AB,-3.54489121,-1.03594130504724,3.5467284444150335,9.0371638873365,13.677335443497437,16.25723200119528,16.84214578937555,16.42196440951938,15.9061560691435,15.544933816289634,15.16938317445823,14.643751995139258,13.943055533139082,12.99897284166161,11.709262107131643,10.137763800864853,8.623616455714922,7.563795386890686,7.0128076077753505,6.574822793219506,5.79483507095731,4.641540960186074,3.529684466213719,2.849930586515592,2.5306178370567927,2.09096685,1.0970783041180867,-0.4629808318434181,-2.249949964502685,-3.97370013750033,-5.645870644816363,-7.419696409615244,-9.30518074678929,-11.154685550868397,-12.860059899850823,-14.439618988405659,-15.953848163803475,-17.41688112520878,-18.757783715047548,-19.819242803502632,-20.441190708397006,-20.598743342869163,-20.424614351702715,-20.073883709789527,-19.625035643045457,-19.135245684354345,-18.711497656172238,-18.447314728472534,-18.301035642405356,-18.09309608733472,-17.65456159,-16.96332578409954,-16.143058249359214,-15.37204220226167,-14.772775314105179,-14.343012786496095,-13.975416695187423,-13.542371965862761,-12.965542365175613,-12.2318088375236,-11.381043729388162,-10.500181426687375,-9.711903414325587,-9.120188374868729,-8.73585425740005,-8.46903804153137,-8.229534665064167,-8.03888830996729,-7.99664506055518,-8.110547257722843,-8.21440514103495,-8.116340059160752,-7.810078709123047,-7.468402526760366,-7.235584825817347,-7.073480639999998,-6.8148682137252425,-6.340417116261111,-5.692190349719674,-5.047610300835269,-4.582841467445929,-4.313581993436092,-4.074824793935153,-3.742416381580201,-3.5184410886836233,-3.8799685064315326,-5.044479550753399,-6.422672515182617,-6.858399298435652,-5.787528010621761,-4.05037461658991,-3.10731672434661,-3.4119628222234453,-4.03719289852749,-3.9317365997400793,-2.9997639667125537,-1.890504717831555,-1.18592175587355,-0.9837530559481136,-1.00530353179194,-0.92869615
7kg_10bpm,3AB,-1.57663891,1.134650472583766,4.864490182946335,9.198473888984175,13.346072161226196,16.49238041379811,18.204296405725945,18.577415373978585,18.062736045228004,17.162407867244557,16.190543820299002,15.194969543662387,14.08529676208746,12.870399485060876,11.743977877073087,10.906105239067724,10.321309112210386,9.680993039928017,8.63659059832524,7.11068892186727,5.386970949999995,3.8766949957548302,2.780467310298814,1.9637427576399455,1.1208789736415223,0.028180585910402928,-1.3421132429879479,-2.9011734948904393,-4.5793017091943335,-6.368851250452621,-8.284674027146147,-10.33205173329293,-12.480350628758465,-14.632057851236604,-16.641708727513087,-18.396279625386263,-19.884180600164886,-21.17215610840741,-22.31525699582439,-23.295703828178375,-24.034794500000004,-24.458465122322508,-24.563219452793884,-24.436335469225615,-24.2308568759035,-24.08789280793002,-24.036932508097777,-23.98527908526398,-23.83030288341753,-23.569120392243086,-23.279825398079353,-23.003317655030724,-22.674011500816093,-22.199798093637373,-21.607516908862742,-21.060238432813772,-20.691966922558173,-20.44093709168932,-20.079747987010965,-19.409647285707006,-18.41252744,-17.23215707963102,-16.041287556772367,-14.934284995799585,-13.917238638260974,-12.966885836262726,-12.095304656592333,-11.375313140398644,-10.905863953361514,-10.723470948902198,-10.712783505840763,-10.635635585745376,-10.324827970431206,-9.867907154627165,-9.524443264256362,-9.43704376478748,-9.499040168785552,-9.493165767465255,-9.289302576892208,-8.903679819691583,-8.429033529999993,-7.9546487000488,-7.548976710967336,-7.308300574902447,-7.385997127013031,-7.869804085522162,-8.539425210887392,-8.827146985561303,-8.249634594639684,-6.9569774066549295,-5.677213606540315,-5.042573056357003,-5.089710182435204,-5.374151227270629,-5.394819779381958,-4.906108751573023,-3.9989827788756283,-3.0008551316750127,-2.2125325075187376,-1.6722382425746922,-1.19486456
7kg_10bpm,4AB,-1.13940147,2.6713522528199714,7.849922494131633,13.324056870303245,17.60170083517562,19.65235014803945,19.570723983326634,18.322686289092573,16.885408458747445,15.699820281132572,14.762821390336414,13.94943292140371,13.199962612053337,12.531347449699565,11.918095738620988,11.150657967053505,9.88473980495905,7.966930055699252,5.737729012792887,3.8604666200344466,2.7167940160835746,2.031154302843347,1.19822550566658,-0.07451124456418409,-1.5872150225839103,-3.0595883299999995,-4.511437975291197,-6.169369074484868,-8.13169291614359,-10.238006682657527,-12.238219701228633,-13.994711519532542,-15.523450473827568,-16.94023078515946,-18.385017756728548,-19.90338679071159,-21.36398409439517,-22.54705431984653,-23.327112950119968,-23.731839918024853,-23.85677783639842,-23.78598649826317,-23.574998531662327,-23.27105675087953,-22.94322343870647,-22.67354688573208,-22.505412658628668,-22.42170336402248,-22.381103816927045,-22.34978983648563,-22.2902372,-22.16106061484701,-21.958990406545997,-21.748092707678783,-21.60118240555952,-21.49123087504379,-21.29731594484428,-20.958115909368868,-20.571816488183536,-20.298016763684142,-20.18313623530355,-20.104985706453228,-19.881282967151677,-19.417198002244106,-18.736332271028257,-17.885883180515567,-16.861807460828228,-15.683153943354416,-14.552239534976277,-13.891599236472821,-14.114662539251391,-15.174646857444474,-16.22936094669401,-15.995883287424643,-13.873170771731576,-10.732146760000001,-8.215719364880142,-7.2528068499330365,-7.512241559938795,-8.02838174516769,-8.033140013737068,-7.373482491339991,-6.4966755865053685,-6.17061388201684,-7.02412193056466,-8.994047958843709,-11.078050932344574,-11.900928475661878,-10.77252636569576,-8.218180455874126,-5.55987274105406,-3.9722640637841335,-3.725353230245268,-4.195890186833429,-4.5582747981722695,-4.360556703740647,-3.6074270294300184,-2.5481922965391135,-1.4655913184827813,-0.5744028862255175,0.01846829
7kg_10bpm,5AB,-3.04295396,1.3660629278945131,7.039708161567497,12.867209374969054,17.675205243950753,20.618069747545416,21.547198854157475,21.02893012967877,19.910025626127865,18.76955663990641,17.714252357832724,16.599151664217896,15.361298325417891,14.120673374763944,12.978112741445214,11.806696467894886,10.348989066100906,8.54558976553169,6.716185997122079,5.330076592182801,4.546989062756118,3.9868978936951005,2.973136430963879,1.0508427322953013,-1.656104679053397,-4.533366740472609,-6.914213551576007,-8.537908565936474,-9.696710281668562,-10.953441553056825,-12.665101980905128,-14.724637674106772,-16.719877674374228,-18.30738180829981,-19.435922829029384,-20.275333319198772,-20.998639664389536,-21.63542249854892,-22.102991754177207,-22.342477255035252,-22.39359569744017,-22.35043125829614,-22.280370930665722,-22.17966185153102,-21.98891014077622,-21.667282669793767,-21.254975725887363,-20.846135872016006,-20.505130648211246,-20.216873410626764,-19.91791294164216,-19.571605782271902,-19.197390258127378,-18.81654644748839,-18.392511602702527,-17.855784610497757,-17.188752679515385,-16.46308686897106,-15.77808454019809,-15.174011474632504,-14.613780261262333,-14.028892095068032,-13.366972153897155,-12.61135940363907,-11.79101004144705,-10.984233025236401,-10.28369205391587,-9.730004239601584,-9.289287881490521,-8.913293908241256,-8.610947398275291,-8.432878612401,-8.37379737946503,-8.310278192121368,-8.060233803869112,-7.558128125482818,-6.975968023743811,-6.571442881805548,-6.42875958810908,-6.401389450709619,-6.261476603799566,-5.876531448756324,-5.29910443410205,-4.7798311891204435,-4.70165756596806,-5.376456887849161,-6.744311559583279,-8.210551386843655,-8.892316923233395,-8.172603488112719,-6.155468837771877,-3.7137152658065276,-1.9770032201812004,-1.5173507778029358,-1.9383389799414796,-2.324356976155105,-2.0820843147222914,-1.3301801530400674,-0.5755935894491394,-0.16907920735881304,-0.10551788
7kg_10bpm,6AB,1.46425155,5.081569024634761,10.325111246184274,15.99917794565825,20.378757543300775,22.306458902352652,21.923063691486153,20.375237095558962,18.833964875821927,17.77077540570456,16.973039437893,16.00747924892946,14.64134105350426,12.97376651926168,11.286363897383414,9.790184333385234,8.47590951356907,7.147876246718453,5.595633178050376,3.801070055459834,2.018767138729424,0.5872539093104324,-0.4070209468195726,-1.2674308981806301,-2.457984204884971,-4.222461382381577,-6.412520534651379,-8.653497361505696,-10.644483204162487,-12.324963905748936,-13.83990503762597,-15.391547915587303,-17.0867445403859,-18.866934770832376,-20.55194918456341,-21.953343579967097,-22.984283139145145,-23.697293994374185,-24.206179510400688,-24.558960533357634,-24.701046308555362,-24.555117768408454,-24.11377676836956,-23.46609494635717,-22.755906723800273,-22.10327548117046,-21.54216507414337,-21.030803136523968,-20.512137345898488,-19.94128909113608,-19.279748542601908,-18.5119942981078,-17.679907693133835,-16.887171161176706,-16.24987401510327,-15.821601706043404,-15.548490810309456,-15.294595429869817,-14.932155024988846,-14.431146972472082,-13.865511858411974,-13.333177556881948,-12.86737426591169,-12.42269703644893,-11.93894433201398,-11.392353265772245,-10.788900540653085,-10.146124664352465,-9.492172034539923,-8.873825273907675,-8.356804731852757,-7.997026973277101,-7.794730791500718,-7.680129109683639,-7.552691862170371,-7.318764031668498,-6.926945908115024,-6.435297410925251,-6.0057900416414896,-5.7699618359261935,-5.707174160617104,-5.668828627573189,-5.52278189414872,-5.318494437425524,-5.356176314147037,-6.058406632319691,-7.639710621334606,-9.763822585827644,-11.544452943934917,-12.03241634774522,-10.900254465893678,-8.798049630284865,-6.940268494534088,-6.192716419917314,-6.446841065894417,-6.814501014991021,-6.412903937630943,-5.019331635579824,-3.119253275338426,-1.4176584364036993,-0.31899232
7kg_10bpm,7AB,-2.64086638,1.7911059236299878,6.955487188243479,11.859475655801724,15.670404098156336,17.91065860166005,18.587773478342967,18.150115268897384,17.18919936766004,16.141534021233536,15.168593617990188,14.159558595269955,12.889901633010929,11.323851946398335,9.738753711573406,8.412366348436809,7.228516360355163,5.813812375916422,4.090199328207493,2.4363172667057755,1.1894190558538638,0.20066640692095958,-1.0100623871926826,-2.7779891824893106,-5.031110879151774,-7.41891152289105,-9.613018550692592,-11.506698287108314,-13.189463614325128,-14.766038458738896,-16.219154594784616,-17.422849992353736,-18.2729211105922,-18.823622597565357,-19.281278519480153,-19.851661632169,-20.588108401874184,-21.35038426337996,-21.910200869761468,-22.14154230626871,-22.139375744082603,-22.129999734413577,-22.25386953543473,-22.4757545397867,-22.693401769909574,-22.851872139987318,-22.927275366620265,-22.873741555318546,-22.629630131658192,-22.160184190138896,-21.479876545890445,-20.65723305874058,-19.833197416132133,-19.181408286983377,-18.78317841080108,-18.563378789083803,-18.368007165807605,-18.080053954531266,-17.6622355339886,-17.131992987160967,-16.546656312209993,-15.980072776052555,-15.439634933465513,-14.833199640145383,-14.094106118749803,-13.356267646037765,-12.970144667910192,-13.268850329622481,-14.24356827677091,-15.471135284506653,-16.448112153876455,-17.012837513711037,-17.329289016525415,-17.51598748431493,-17.52105407154867,-17.28820305481323,-16.876913752199197,-16.43428035338138,-16.07231431518028,-15.761804725784684,-15.343563374554135,-14.695002401368251,-13.922245132542916,-13.383746831062233,-13.490282219970334,-14.349989560456065,-15.494187653151918,-16.071057906244068,-15.506682001439524,-13.996081568102387,-12.318338081006402,-11.140228797159539,-10.46357530661836,-9.821960785635198,-8.84924889227334,-7.447821309449389,-5.677637429772462,-3.7352475322257863,-1.9293771928130123,-0.5272849988080198,0.35719261
7kg_10bpm,8AB,1.00409233,5.716198861390343,11.122988002378188,16.039796412669155,19.289428308446936,20.476443219467367,20.15499535725275,19.183488191452234,18.064217284163206,16.905168499869678,15.723433771265293,14.572420035382,13.443162747965708,12.218490550121405,10.787976320767163,9.177803504801393,7.566310388423739,6.150321554606968,4.919604714366911,3.5687241129713465,1.750729837747182,-0.5118905857246846,-2.7330385661278678,-4.389153840820863,-5.4617820123757275,-6.499276260000004,-8.10324018955903,-10.389869601147069,-12.956693597051219,-15.2831937956963,-17.133065252435273,-18.624531113056356,-19.968865408469828,-21.198191529561203,-22.16407434422131,-22.742554350342566,-22.981836770961724,-23.046478174090076,-23.062857708312524,-23.04157552989607,-22.92565234497948,-22.688922068483883,-22.371261769423565,-22.038028982660173,-21.729997984189428,-21.444919752396043,-21.151428703760512,-20.82641481863598,-20.494879773743776,-20.23535131849989,-20.13457988,-20.214730647415024,-20.391816480194887,-20.533930961425664,-20.576332777618717,-20.55094736881604,-20.495638773573486,-20.362487975231733,-20.05308327047873,-19.543519218593374,-18.916992150752893,-18.262960841739623,-17.60507330147694,-16.93097795795148,-16.227112621601602,-15.479014078688794,-14.697744504847298,-13.98533643949103,-13.555312699746093,-13.636452474302121,-14.276790594252926,-15.15809436994899,-15.5994781901383,-14.981346164141902,-13.419110293444326,-11.8079548,-10.978582686043996,-11.008253994894607,-11.396656352216002,-11.639000610941983,-11.535352961337834,-11.167925733947223,-10.797988042845075,-10.757909882047079,-11.278428929276917,-12.279772583033413,-13.28916488700339,-13.634737321866575,-12.83427248249378,-10.915203485892654,-8.474908892517128,-6.428045953486659,-5.449264136618152,-5.47590057549669,-5.810257715273199,-5.6622678332210485,-4.591710236797167,-2.6900695876364615,-0.56360229595047,0.9971861002274096,1.54774545
7kg_10bpm,10AB,0.9980468,3.5805185465113087,7.7697931681579515,12.995983763130093,17.180854261133142,18.568859528821733,17.61206115837217,16.26126416647039,15.736477993628545,15.61348020147477,14.773473404764879,12.88299872025582,10.776451262825828,9.275526820370755,8.13074200995901,6.665934040033714,4.889870916135225,3.2391382348022018,1.665336412813535,-0.22695731761671467,-2.3796005616413227,-4.33339144899433,-5.892224574296799,-7.151574799944186,-8.163324349937554,-8.893087990000001,-9.307262552480962,-9.525236184431344,-9.822250415020374,-10.38189976132056,-11.183546059798095,-12.1089909070001,-13.054456199280963,-13.991824936166763,-14.984210271877409,-16.116091711023426,-17.375218217497103,-18.624857720119113,-19.7227040894677,-20.622497330666572,-21.338504264076896,-21.83876385097662,-22.049812706506398,-21.97109565490271,-21.67343472651605,-21.220883001410158,-20.6811015629236,-20.143115887655473,-19.614840236749476,-18.98067445281324,-18.176255589999993,-17.333038906293204,-16.614046655247357,-15.971824600164796,-15.199003381473654,-14.183918593597019,-13.045457128287188,-12.0450318253884,-11.356981747224275,-10.919866623583227,-10.57327705272438,-10.277697184862008,-10.112635801645045,-10.121294098849742,-10.384937164263702,-11.218449946343647,-12.931806921433015,-15.265245608698383,-17.238463296190133,-17.692997683118893,-16.167882428060253,-13.500302050589983,-11.61157313282429,-11.977155120484005,-13.84394798370514,-14.75170876,-13.538744645852617,-11.759040942398691,-11.483273860007216,-13.132987649545106,-15.73357786691932,-17.97873167121499,-18.834358936200534,-18.014036008489718,-16.21254638545224,-14.554911211694831,-13.789935664797373,-13.922440908558125,-14.37028293188628,-14.479966948273823,-14.051219169569451,-13.397436456756795,-12.774202390310647,-11.958516304653376,-10.63592971337362,-8.853465104471944,-6.9060309330122145,-5.131965896340332,-3.797403590928425,-2.9135825329316885,-2.26551345
7kg_10bpm,11AB,-0.52703339,4.9445175099475245,12.019635959550472,17.81415149810293,20.054196822591237,18.838062309012233,16.155687784723742,13.942547699491643,12.806370687503962,12.296756803128728,11.811739246823738,10.963784910657433,9.408383180122579,7.06375786532717,4.603877051111073,2.983942381243105,2.2206678691954282,1.3287187960429336,-0.2736859637065479,-1.9600521483684634,-2.8593711648223774,-3.0547231337600427,-3.3273915381396986,-4.073506871185178,-5.051259753310899,-5.946217780945327,-6.737528417199074,-7.591760296611378,-8.577957055936704,-9.583458460668805,-10.535052966639142,-11.525477370475643,-12.648755902706986,-13.884376450450693,-15.125063901596896,-16.26175868591288,-17.316765501831217,-18.389116911468175,-19.447536841531676,-20.294743081620222,-20.76023928548703,-20.88056838321607,-20.82919854821991,-20.650053508590076,-20.202701513829673,-19.489855497395187,-18.771043765158268,-18.155551020328446,-17.438582075050896,-16.536803484057813,-15.675363277453483,-14.988284097861635,-14.302656013873218,-13.494982749452829,-12.74621150341928,-12.296777696879117,-12.132791513298516,-11.910812280528717,-11.28304098315282,-10.43204846308053,-10.05902904181319,-10.63711207766211,-11.6633478791735,-12.014868362893997,-11.590965451187778,-11.602974804167532,-12.56346795822386,-13.338585061095445,-12.528261428722345,-10.513846875406038,-9.545518724202454,-10.988207045086982,-13.599460470587314,-15.175486477254493,-14.964639679734784,-14.283429628852696,-14.84328917191797,-16.862108570059593,-18.789240017945982,-18.671482667449578,-16.14568201728561,-13.117715639787303,-11.841854693330266,-12.452887323167108,-13.312697637088746,-13.35682396539364,-12.922481752266874,-12.594073213122314,-12.44823637489605,-12.411981902319116,-12.373572256463937,-11.995637477227195,-11.081802850674775,-9.995632738900994,-9.3810507959995,-9.407788890414208,-9.443574912052089,-8.760986180367283,-7.403386309516565,-6.040134911636203,-5.11502173
