cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-15.45095017,-15.795012593465895,-13.941707915287182,-10.675516883864102,-7.765472954914685,-6.986258577810818,-8.781328928727545,-11.953264611710567,-14.715686410655568,-15.946307260436765,-15.594905651205652,-14.317963858954618,-12.919702416312973,-11.943451414933286,-11.511634524739751,-11.438273298895384,-11.480261373065442,-11.504044323117789,-11.495141204251833,-11.49209228575939,-11.518752132398355,-11.545804178193565,-11.503969677765955,-11.34038455418659,-11.07379615210362,-10.798911816139041,-10.612380137592297,-10.518881955399904,-10.424340093166332,-10.222172915092976,-9.868793402737019,-9.385123343876636,-8.813938501616937,-8.184477320692888,-7.505009252822123,-6.773234106002137,-5.9898562987210235,-5.164893889368887,-4.315786454023042,-3.456625346383105,-2.5834038371948194,-1.6680148653983413,-0.6716232503219765,0.4254174958523934,1.6043099202024944,2.8174299258432645,4.007963262347359,5.1171629070253895,6.093540397556155,6.921486729908807,7.645410897814262,8.349026099159756,9.095372231485737,9.882062260819092,10.638672318548693,11.252562518204591,11.619070384868031,11.71306347295126,11.633758710512065,11.570310955500013,11.694600513232084,12.049421476471958,12.519995763932064,12.91424151769033,13.088734208722823,13.027403149937982,12.826794461884068,12.619708393561087,12.508453399994105,12.548316615159926,12.759687859441067,13.1310543946462,13.599114117638694,14.040259499325709,14.313575726432804,14.344672364165145,14.192642943095573,14.037178265323366,14.070158802789965,14.366747351055277,14.84736148909056,15.360657275978209,15.797095558061024,16.12602217688803,16.34465074160008,16.418883793989362,16.287804125464778,15.929698541334899,15.42956739835651,14.969798277673677,14.698411034218509,14.534907283105836,14.111310559044044,13.052981878360814,11.438034372230524,9.859818277791268,8.870468052433521,8.375389312294308,7.6899046058454825,6.282416104133874,4.38260328
7kg_10bpm,2BC,-13.04644194,-14.667880017338547,-15.103940197800856,-14.494972940831907,-13.670096662683193,-13.65187414855256,-14.954803682028638,-17.21077916391858,-19.477352704168442,-20.91838450691392,-21.241742589641497,-20.66732770679886,-19.651433552788706,-18.624831578782807,-17.842713866912842,-17.361605415545228,-17.113555424776834,-16.995204220652546,-16.898629483693732,-16.701496191679063,-16.287537527646357,-15.606525522357764,-14.71231318915396,-13.73672354569276,-12.813691904520226,-12.002382904881298,-11.262253645998875,-10.500269359565232,-9.650166938872871,-8.718124423291286,-7.766038635783994,-6.86224249241497,-6.04638628209176,-5.320984540240214,-4.655083529138198,-3.996163232286262,-3.297086062550348,-2.5398150473599514,-1.7319543180315016,-0.8865695467475984,-0.008396279944722099,0.9086173033713046,1.877079823045459,2.9073229353119805,3.997102523522474,5.125456378127558,6.255086701720652,7.346228975180751,8.37979982106778,9.375314661364124,10.381982600608888,11.439693711663516,12.536897423471,13.600937994362518,14.532248789557253,15.258946815809544,15.777306158428047,16.152154704734517,16.47518663999511,16.81045512871692,17.162623660023087,17.485746221631455,17.72007587227343,17.822554575134337,17.773868821177818,17.57800235627608,17.26648059770322,16.894575816073072,16.526792643785168,16.22024757753367,16.014784530971543,15.932743896062737,15.978385246271994,16.13355639176274,16.359321889491607,16.61176133672248,16.865312995455504,17.125843416333264,17.415835921800273,17.724001655300153,17.939708623614987,17.830379491219617,17.139065595625034,15.805003579692226,14.14007259600303,12.729430463702888,12.050507515519344,12.123296792931495,12.494303901758212,12.565768472375812,12.033080168532935,11.093648235116282,10.255911363220473,9.903282988101319,9.960929307489724,9.946750459070966,9.369442434167128,8.116485573530447,6.468394601943939,4.799018716783983,3.32507394
7kg_10bpm,3BC,-11.00670962,-11.417569012723899,-10.886656412458851,-9.639861493764931,-8.754271313483448,-9.273636928173815,-11.292606756148606,-13.881770931947454,-15.852777083625964,-16.580240090445383,-16.220150808471608,-15.358209597944992,-14.537764445518395,-14.010488892784803,-13.760027320074782,-13.662875705394404,-13.620111366618463,-13.588437726874346,-13.545006974790681,-13.452963105090646,-13.269512259999997,-12.97429637902076,-12.57806319138752,-12.111956264533234,-11.613554542527144,-11.108180028063378,-10.587297535545712,-10.003238138209472,-9.292773844300383,-8.420268661310855,-7.413295769079293,-6.359766061224854,-5.360448283702594,-4.46825481303209,-3.661171366337162,-2.869665780207416,-2.0328383247322592,-1.1346486267564215,-0.19583299500588844,0.7559993598657602,1.702677190000005,2.6322959110585025,3.535383194891135,4.4072918103606975,5.248378413490721,6.054682361009978,6.809228622568237,7.489036294358457,8.086370820089666,8.621903949571342,9.13427907234992,9.658930561017392,10.212560722043603,10.7862605334498,11.34407038028934,11.826188536418337,12.165485440380165,12.323608243930737,12.324432448426032,12.243683971334738,12.15533157,12.091500698477969,12.052455394436144,12.034078584073127,12.03352629170234,12.038107606338096,12.02177452385976,11.95648859061532,11.825014984512952,11.627494486669677,11.387461301074941,11.155790500455094,10.99782468707029,10.95940012094672,11.034572148696922,11.16528331884638,11.275412966578836,11.314057361037259,11.281927166210686,11.22790802734395,11.219929869999998,11.305121217446404,11.474145374314986,11.643873916566294,11.673167813264152,11.419785760010882,10.816583100766033,9.935345213502458,9.005815622149777,8.321502424870664,8.023863259815185,7.928542683649144,7.604800145891317,6.705407480396163,5.252827781603255,3.613891787089877,2.239475972836006,1.4173562751944655,1.1570289337074893,1.2106749426603851,1.24340753
7kg_10bpm,4BC,-13.29733817,-13.594173403566169,-12.989080615185532,-12.01148872109231,-11.693968475050857,-12.762651347216885,-15.022546439787073,-17.515601443106803,-19.243826397588236,-19.754073720513436,-19.210292745993254,-18.115855348472017,-16.991371102093407,-16.16628161494001,-15.714125934638513,-15.508516323158194,-15.35293056299503,-15.109129072400025,-14.74699211982951,-14.301875497740639,-13.809347167327175,-13.282449180176172,-12.726030610167276,-12.14734726360347,-11.550184950033632,-10.92999334,-10.276277589111553,-9.578461257027131,-8.833101227561105,-8.048028953691974,-7.239559916159041,-6.429659677717664,-5.647872769327268,-4.928765764616261,-4.295137470816984,-3.7361701464574866,-3.201163862910175,-2.621157150746696,-1.9459200874778848,-1.1675278008699306,-0.3196768039705125,0.5434767024555113,1.383124530936002,2.2040039716222193,3.051616255429282,3.9770933445699823,4.993024835673861,6.052822764316035,7.069630393819822,7.961377049028263,8.68818165,9.262091458694298,9.734915617603919,10.171389611808179,10.614542201352393,11.064887973611942,11.495685626770824,11.888313869580289,12.244870542636976,12.567768311843057,12.839390474422421,13.02783579100548,13.110062630847315,13.084753747464084,12.958589279347956,12.728456540417477,12.395142796890909,12.00276712153917,11.649724502901867,11.435097643758832,11.38101897724641,11.412819596437004,11.423921709775858,11.361061652498599,11.251456074713804,11.16612949,11.169985693806158,11.293843215790977,11.528993158079272,11.844020894204107,12.218458726251676,12.662516960041595,13.19806178026814,13.816931792241355,14.456588961093868,15.006843560797428,15.326829034248716,15.262143541209657,14.684812046229515,13.580677633470932,12.146817914623497,10.752008926447894,9.678865339042057,8.867174805861596,7.970169726694267,6.730944272116363,5.281223855227887,3.9993104801301844,3.1028403625738377,2.461979804914686,1.82040706
7kg_10bpm,5BC,-9.37634739,-8.649359113133725,-7.875202403600685,-7.50137188542675,-8.146338115443985,-10.048898134549232,-12.719834050938598,-15.187477470214061,-16.645659677980458,-16.91723053601877,-16.38753483206125,-15.601390253771475,-14.92255757292868,-14.459481497579812,-14.182327755826046,-14.048420940860368,-14.037441871891916,-14.118456803375969,-14.217558785269052,-14.233634113356022,-14.089540321694354,-13.771125893791254,-13.330699557888316,-12.855616139170872,-12.414396895607542,-12.011099868078407,-11.584112660657212,-11.057690602276512,-10.405689331781122,-9.666547100891233,-8.900758476336117,-8.145280154128615,-7.4045052323522755,-6.673020309217273,-5.960486956727653,-5.291087465623033,-4.678003513835106,-4.103379430273156,-3.5256436464255585,-2.901414077089542,-2.2015930647440136,-1.41992502477131,-0.5823780439669611,0.25210902665225937,1.0194238721114472,1.6922547479506906,2.2958986590993553,2.8842487486579835,3.502191395437563,4.164950146010519,4.862567491234337,5.574326034531156,6.278434186981392,6.955717398879451,7.586031608929028,8.143447432042063,8.605022428919254,8.970356000510584,9.266608411176012,9.5230532983308,9.736312557361273,9.863049435073275,9.84790300474134,9.669948929607584,9.37885513673007,9.087916561213422,8.916213493486248,8.918537129425046,9.057765075440532,9.241822329485647,9.393416398635825,9.491908883111735,9.567295153217776,9.675633000401014,9.872308881386623,10.18345336991003,10.588122628976913,11.026588945584596,11.432132993893731,11.76313439228124,12.01796782948556,12.229641758327888,12.438309355863995,12.652360302028004,12.822621583871257,12.840076494448796,12.56012929815148,11.866821160056144,10.759235368185486,9.387272946868702,7.9778825827203095,6.685378015787329,5.502751254794871,4.373497526423691,3.389061998179314,2.7330905051614263,2.400501194082248,2.114036366038332,1.5943848837187646,0.8504109089475311,0.15994088
7kg_10bpm,6BC,-14.49923874,-13.133693788098014,-11.190998294974388,-9.64633708571148,-9.649444762115602,-11.590831222873575,-14.619678012762844,-17.28534351465554,-18.616491881368617,-18.599120688474063,-17.85995691897507,-17.05918001061707,-16.489504300767912,-16.06913821530278,-15.612708732497723,-15.075428018983674,-14.55351479669038,-14.115413917438623,-13.700077995204666,-13.190574591969739,-12.549292062404618,-11.853042534892355,-11.203012681443138,-10.620943698027249,-10.038827206679054,-9.378222644714727,-8.63552509530203,-7.890358071276867,-7.231889622121985,-6.683711769718652,-6.198586264253562,-5.708973030718363,-5.172281337924737,-4.583181421407794,-3.966138026111319,-3.3585892020242105,-2.7870608875013256,-2.2530538170454766,-1.7459947730960768,-1.264869079546092,-0.8154548135426867,-0.38784944006783095,0.0526128023228239,0.5493227078924025,1.1335947853170119,1.8121959167292898,2.5596486482092327,3.3213709706971164,4.040713086448841,4.690764938328226,5.274955649192998,5.797036390586932,6.2396645074786585,6.57862365170803,6.821017621248055,7.026687310218176,7.283648361765728,7.653649038575142,8.131911229496263,8.661893887187315,9.187732250744247,9.675492143323313,10.091483951298756,10.39978004808035,10.593280450316094,10.699422945942832,10.749326452213015,10.765462975570943,10.786171477283894,10.875991663224344,11.082742245877022,11.389159383427923,11.722014979142314,12.003853367275173,12.191923868055216,12.28246662251819,12.297132002013296,12.270152644681662,12.237265344181807,12.219924088667115,12.20781516185874,12.151889547716912,11.979385416876124,11.632630669994494,11.121337830524212,10.55237979002574,10.080591389276112,9.776754893559314,9.51473806267776,9.042503704247633,8.252151081648805,7.323121761432242,6.511370406291774,5.891181237634274,5.385108170019076,4.949718196028948,4.591827990191462,4.2237413129327885,3.6446734483024463,2.7340669055857316,1.62127959
7kg_10bpm,7BC,-13.41398423,-14.5502925330341,-13.61901077,-11.484862202289214,-10.053704009999999,-10.82474973744655,-13.497388200000001,-16.283419809517632,-17.591108,-17.153934368219748,-15.774556650000001,-14.434801261005457,-13.668972359999998,-13.475591731693072,-13.599255069999998,-13.844897145924676,-14.151814390000002,-14.475375907437796,-14.7316166,-14.861778416505816,-14.8635981,-14.726751820741681,-14.383908180000002,-13.776882485973676,-12.960069970000001,-12.08991262709239,-11.30222991,-10.615258918622809,-9.94930636,-9.220769986726012,-8.401789530000002,-7.511798455252809,-6.58633049,-5.650389338810373,-4.70572639,-3.7319111108182774,-2.6983140600000004,-1.5949555727283775,-0.45744608000000003,0.6597592050723423,1.7328453599999998,2.7701252087855175,3.7801075000000006,4.7637260603663805,5.73437795,6.723438799859207,7.73645675,8.69160165760678,9.42724112,9.811274909461476,9.85133415,9.68657089534254,9.48762654,9.38079668769947,9.432707480000001,9.644446309977406,9.942704380000002,10.205678286784963,10.325652360000001,10.257288801493283,10.01356201,9.631112625579062,9.16117922,8.704555105165745,8.425261519999998,8.471121479315496,8.854315230000001,9.420612608015485,9.93919144,10.23392181347094,10.273823659999998,10.176260062652998,10.111051170000001,10.179014629955574,10.3697376,10.609188481763555,10.831427050000002,11.018987384361168,11.19207038,11.356327287216802,11.45727095,11.397904597139343,11.112729129999995,10.618757817264852,9.994435309999998,9.342142631462957,8.79124562,8.496427548900527,8.5483925,8.833655604694151,9.024987050000002,8.779340750418646,7.96099437,6.731166080841298,5.4671519799999855,4.521188578606439,3.9524103399999997,3.5012568721093027,2.86544449,1.971948004192451,1.00818083
7kg_10bpm,8BC,-15.536251,-16.93227467853751,-16.16213870426688,-13.66120581609143,-11.261018275059456,-10.915291635546401,-12.807680876167666,-15.205913425512563,-16.32790611859275,-15.8330734823727,-14.582835121671687,-13.538740911960803,-13.020367067587992,-12.756100639789564,-12.42584975710305,-12.050490921378357,-11.857275538913802,-11.90633296212334,-12.004211033877334,-11.95842994281908,-11.755425614734136,-11.449123846704005,-11.01563813821171,-10.422230300199272,-9.758102950202337,-9.179600152009735,-8.73597134285188,-8.315928500008514,-7.76661440307288,-7.03047295538629,-6.174975319338292,-5.319341060377139,-4.541248010511292,-3.846888751125335,-3.2100863945059057,-2.6033088092278756,-1.992563918998176,-1.3472973267888677,-0.6712365036153253,1.9022308749316093e-05,0.6431145939154875,1.2847485539737447,1.9854050224896849,2.771193357181819,3.5919946749781353,4.366906871297099,5.062508233814323,5.7121379018562894,6.371662922214618,7.069412003844906,7.78378553,8.451413025405849,9.00065790718735,9.40160533616161,9.705188293081598,10.019003461712835,10.414692186374927,10.85216965967904,11.208762242731938,11.40319933941812,11.506257009669287,11.717278723684371,12.19533266798019,12.89734276725233,13.598406319193312,14.092919481426595,14.378729448293393,14.6369144738389,15.039121231752226,15.584155482052282,16.10054405248361,16.393994554241534,16.410966471217364,16.284970609942672,16.23949908021045,16.43831694558234,16.894616774336495,17.484274533287813,18.016896033828335,18.31971373109881,18.323776883330208,18.11711508267422,17.90392034283946,17.847637412821552,17.89694598136368,17.78877665463676,17.279852690885438,16.383975407576237,15.367573591075997,14.529147780033695,14.03812394499835,13.905017896510536,13.918474982023683,13.637804141214929,12.6357881860201,10.855631742718959,8.697158605589717,6.669262252628094,4.968571736965069,3.464271475990109,2.0444467
7kg_10bpm,9BC,-9.81930663,-10.159314956010816,-9.300295509335784,-8.124334481941268,-7.944439557322333,-9.22550974071603,-11.181012776030949,-12.620926320471733,-12.998015314911443,-12.638851947750494,-12.193337622791837,-12.033486669481288,-12.124310982481015,-12.272540364133674,-12.363592014523169,-12.390808204409016,-12.375086120701246,-12.311284133249675,-12.176438937910765,-11.96552869307806,-11.671137199469845,-11.243359770573264,-10.633051804468417,-9.883053281719139,-9.149550320026462,-8.602196856234194,-8.280316135491388,-8.056829212365972,-7.763733032884792,-7.327578041424772,-6.770861082379476,-6.128530950117835,-5.397075614185042,-4.560340017603265,-3.6432800254773947,-2.7141813740687173,-1.8406696336284096,-1.0726103841956298,-0.4426492219739436,0.06847406956392664,0.5518440197828031,1.1168563028114686,1.8239848457696832,2.672940086956446,3.6244917964426313,4.611437122189277,5.548697498175837,6.363111191849922,7.017323630163789,7.5206260437668835,7.941831668353567,8.38383318392366,8.90324511108268,9.440510216604357,9.82831944118658,9.89507932210004,9.61129260526394,9.13633159471916,8.705620708168382,8.490297700751448,8.532500009696328,8.755485047183006,9.04171539895556,9.33032368987622,9.638764467438474,10.003182277718874,10.421387836786723,10.853449935760942,11.26439817089774,11.661643177198794,12.089727916977985,12.584043256285158,13.118593407133993,13.600587471659715,13.93340973269435,14.083469380547912,14.086846634404473,14.011778603274783,13.924960745491367,13.867057018879398,13.833116352713446,13.762044628733188,13.555137902600073,13.149981222514684,12.615694121918478,12.166854988371835,12.01430922289718,12.101836505548393,12.048729106157726,11.543756819155533,10.703508259208236,9.847720442254184,9.123070825619287,8.493210207052146,7.907685505202128,7.361845462131012,6.903284744568173,6.516564386673775,5.902354905670344,4.627316343327079,2.70689671
7kg_10bpm,10BC,-12.71231981,-13.751132630212604,-13.345962425533562,-12.35268953344995,-12.08791144032118,-13.159549894260943,-14.895753646808876,-16.072313240543117,-16.029923319375055,-15.027708645609685,-13.803804970692333,-12.97327844863576,-12.698319219365219,-12.742310065340671,-12.777001683453255,-12.635737424326429,-12.323652284652775,-11.895386891546163,-11.390024321946047,-10.847975412464816,-10.30777742638097,-9.76932690024692,-9.202183883503515,-8.59702739029341,-7.97974904060763,-7.37564375,-6.783666173608549,-6.183316777994324,-5.557880563942649,-4.9210285772738285,-4.322913787691063,-3.817366257979118,-3.4153672472070076,-3.071319261516763,-2.7189123838840183,-2.3150302517844,-1.8469752054021513,-1.3162306247719529,-0.7310270370257497,-0.10646026121302168,0.5454705977373824,1.22427565954246,1.9366572269700792,2.693980585585082,3.5066141391964307,4.361555731184547,5.200997536181875,5.933319585734688,6.481744791939285,6.830335366924583,7.0218205000000005,7.110105224529184,7.121881764528401,7.065819319973813,6.961488832801147,6.849028089993764,6.779787659233646,6.799754274467882,6.9373919712106495,7.2072696828042435,7.616595200575546,8.150029743227709,8.73278573162529,9.21683772443081,9.447431324446278,9.378525927160581,9.121712581012707,8.871437022201116,8.781405584208578,8.905324643375389,9.221937532185905,9.676158792140056,10.195491683796691,10.70008098385252,11.128316788927636,11.45663313,11.68623656523003,11.821835022174907,11.87187817622093,11.860289643057465,11.824117661686977,11.795737466494957,11.78869728763795,11.79441608722757,11.780774129595757,11.69076515941623,11.454695272090085,11.023665692216285,10.396001005345079,9.587600926944065,8.57046601275669,7.293489220800168,5.7977600965928255,4.320222193382009,3.220616140646342,2.6742710316003375,2.4557411715801916,2.1608533148609825,1.642215183841636,1.071823896353262,0.62022936
