cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,7.7869799,4.181458688962575,-0.7660504683164004,-5.617699807862624,-8.605397168104462,-8.744731423321921,-6.610541267389477,-3.8689152355210523,-1.9760341509299162,-1.333531521781502,-1.472499692848485,-1.7158338087945038,-1.6340052795468372,-1.137090165847581,-0.3658141448283594,0.463231283185261,1.1788779418161714,1.7292874831473575,2.2061897303606175,2.775702156502578,3.5341380646123803,4.41594502789842,5.255528124240924,5.946282376063411,6.530358211694975,7.134234484796922,7.8295935279976,8.56603957789623,9.234666077069452,9.784010885387485,10.25890653338449,10.734297420715766,11.243425361543613,11.780296397812366,12.332091095120942,12.867066684751082,13.319084043797618,13.637487530143137,13.856225816107345,14.079315388424954,14.385236637071644,14.75909527308797,15.114102231913414,15.362115226743157,15.472921915564347,15.488526980409123,15.484532475371504,15.50848489115137,15.550371400360467,15.569254084756524,15.545391406677489,15.500699293803606,15.474118370027881,15.493312371686173,15.570624594685349,15.697204472357285,15.824982452895869,15.872809527285128,15.764811441936258,15.48001412409808,15.092080915456958,14.75774614540999,14.627271085921643,14.73884945427735,15.004626905821693,15.303284394171838,15.577391528181343,15.847352453860346,16.15865927533258,16.53349639140854,16.967184577779758,17.44526355434879,17.942380676766888,18.41108073630159,18.79210416501572,19.03802071921623,19.13077783012705,19.110290612982585,19.100669694929262,19.26865591794372,19.69530835440793,20.263610423952986,20.703901200008147,20.790867452652307,20.496529064133238,19.94350947203497,19.24966382327469,18.457886427841405,17.584737768127166,16.657100350781963,15.666036113780976,14.53382085347542,13.183691691535753,11.646055227912262,10.05604547260851,8.500867105259747,6.873757482919584,4.994115841288843,2.97218983309714,1.3360111488635735,0.62176225
7kg_10bpm,2BC,7.30505426,4.619128194150346,0.3995382479704175,-4.317384547099404,-8.01565904411708,-9.564259763146412,-8.947738513257368,-7.187266776043924,-5.516884384209501,-4.594663327999429,-4.351806307901048,-4.346426696023358,-4.162182228684554,-3.602056992694977,-2.6867743093849104,-1.5519959189770969,-0.32979570494396676,0.916145681776252,2.174253101420416,3.4273040372404937,4.623157263788848,5.70677216044658,6.674989072169218,7.587214713107364,8.510177009622488,9.445347758657222,10.315472140566955,11.03477049294739,11.592722358028647,12.063663591391853,12.54315876384078,13.084129898686053,13.68587442092407,14.322416387607861,14.960508186513529,15.555014933685834,16.056089095639052,16.441857899823262,16.74501439034144,17.04162785291546,17.40912564330365,17.890420184043826,18.482805400752138,19.135963172558284,19.76014636181562,20.264676343280005,20.607241326899292,20.80555871437029,20.90401989176453,20.93669893848777,20.921260945878863,20.880913771031434,20.85947697097337,20.90149800272969,21.013615801829356,21.15142315587747,21.24541458762848,21.24003218532144,21.11536912706349,20.882065815457015,20.567311996579477,20.207456017749678,19.84373312405649,19.513744787958657,19.24724817320488,19.077532760077975,19.049975341366245,19.196482677089183,19.485205451207122,19.79962180706247,19.988952737188185,19.959456394369735,19.723816749731363,19.36853082807493,18.986025123136486,18.632135657273718,18.327555854536765,18.091121651851058,17.975841881992277,18.066260192330617,18.400973121630013,18.859147051828483,19.141691685383275,18.92250940086118,18.05943029828479,16.664861306820132,14.955428408198163,13.014509785718008,10.720006476756845,7.993736754940515,5.177793470022713,3.0231752800014524,2.141152688799208,2.501894307447799,3.449813961800002,4.128126813662766,3.9690416557608335,2.994108032742146,1.7436692952009851,0.8781912700296852,0.7505384
7kg_10bpm,3BC,6.33960826,2.755767239295173,-2.326348830261653,-7.421199348937571,-10.859131581847938,-11.761318286208489,-10.542028642266398,-8.511737719800474,-6.909830919777567,-6.203138135093773,-6.129984366505717,-6.190920409091467,-6.042951249725132,-5.594181244936481,-4.915085696900985,-4.119682225041859,-3.2842814566829874,-2.417858713471812,-1.4889906152011307,-0.48179559128322513,0.5730188900000028,1.6048515468377083,2.5309818274030036,3.297819526853096,3.922156566639032,4.502292045945986,5.169699398431755,5.998035454252824,6.944559862169758,7.885133389993267,8.712240975349484,9.401594779580565,10.001282760374153,10.575075385707626,11.152396018880772,11.715283156695744,12.22321385308085,12.647657688611138,12.982864654098565,13.229586002334543,13.381452209999999,13.4364984042073,13.414169133917236,13.34293650986869,13.230623380685723,13.067416617974384,12.86320236304613,12.665034718278795,12.531388866209772,12.497072138158277,12.56375067009911,12.711224620104911,12.907831375977054,13.113970617760728,13.286505978490252,13.390157623953227,13.413885655032827,13.380161145036139,13.330776840599533,13.290986775362216,13.243945859999998,13.154757225249565,13.028515370712022,12.932275666036526,12.943758937321283,13.077519214929058,13.267116317971666,13.419075806702319,13.475475659519473,13.426107956008805,13.283262356706771,13.063637083567261,12.795282079345403,12.537680941326629,12.390495788324495,12.463736530646436,12.814679190919792,13.40020614910208,14.085542599941876,14.70591047620781,15.144796800000002,15.382919961397644,15.470134533897603,15.424377880253036,15.152651220395732,14.490646335358749,13.333743170837861,11.741751929021286,9.90252509527564,7.956391845310205,5.901083190918512,3.750931760053984,1.779052276859184,0.48073385610541935,0.19444970062582057,0.810945649199331,1.8777790230822242,2.901732604288335,3.526911422093087,3.5466845694487104,2.91713746
7kg_10bpm,4BC,2.669448,-0.0800554227820951,-3.614446386099171,-7.328860306952182,-10.099264536350802,-11.00338617718705,-10.046779026087535,-8.179039264366228,-6.544081522894476,-5.728475148160676,-5.637712308713169,-5.843673017431085,-5.937291603142218,-5.687023188763773,-5.04798232047787,-4.099897238874428,-2.9643473991528957,-1.7487406748215177,-0.5361551467400645,0.6203732960800068,1.7259979100349407,2.8421150022990993,4.015445843326493,5.2007811626162335,6.268053968661857,7.098741490000001,7.679579041653021,8.105736882065777,8.500645448531948,8.936757525413386,9.420094325072222,9.923504673179176,10.42094880962279,10.898577640590505,11.352995488174235,11.798777293607227,12.278125560317429,12.836528693242578,13.472650118379821,14.120538409619753,14.688926892094429,15.119895773964808,15.41283601178221,15.595972599354765,15.67739543758292,15.624981449850203,15.40334432392411,15.041248654664578,14.653509502282557,14.377050938674769,14.28238087,14.3473200910902,14.495813230070555,14.641936290944527,14.708949931295352,14.643350742019114,14.440935238206393,14.163729454401397,13.916017362820318,13.782954076550093,13.7770570888094,13.838405390618258,13.885575931579703,13.867110580530639,13.774250466319993,13.619195123431044,13.410709801858234,13.14972588931826,12.838559904222723,12.485379604619494,12.09779499686303,11.683138736470735,11.261619379929959,10.871046741257189,10.558445973096752,10.371044960000003,10.34879285992259,10.513294934255388,10.8581060240337,11.345855666438817,11.915167897005558,12.502334678776023,13.070527036970267,13.609761681926601,14.078562249955967,14.338540245968339,14.1852241074712,13.492310675631936,12.331224211221215,10.917739585739712,9.434242477060472,7.904410413970856,6.202895874902337,4.239288533199086,2.2236280405546953,0.6767996785641,0.04107325761219753,0.3081809125296796,1.0558838242652333,1.7625950708700016,2.063915
7kg_10bpm,5BC,4.9177806,1.5813510115321856,-2.5710659620020753,-6.606675494507049,-9.27407148074931,-9.846306822468819,-8.662669945511299,-6.8227816485608646,-5.339272328627876,-4.56598831361046,-4.2853866793433575,-4.1192454573751,-3.8118109462549956,-3.2726321844273483,-2.508685640400582,-1.570218209730941,-0.5308659616464239,0.5346472098835094,1.5763090402720696,2.5687128073004635,3.487259435644875,4.302828898562649,5.016468846805325,5.685319578217646,6.384149979433689,7.130596121430867,7.862675751813758,8.494420800878837,8.985612775490559,9.363062145384259,9.69715273950333,10.061389828774725,10.486769069861404,10.944337236483934,11.382351917482694,11.779411374667102,12.14531521358646,12.470600671686654,12.703750661716786,12.796307696499012,12.760086887784091,12.662185585949851,12.563200621964201,12.468611141986862,12.340239179253219,12.146331319998325,11.895152504246173,11.62498254579633,11.369937124612267,11.14034607245208,10.931821437388361,10.743596276111042,10.585738257790961,10.473561548279353,10.419577104207757,10.428256823199366,10.488802831686046,10.56620949551491,10.603485771100415,10.55027586744408,10.40182711323274,10.210295461907695,10.056330899206651,10.00513404350756,10.084904844453035,10.299987446480849,10.650423954109375,11.130704899497394,11.713218388990482,12.329763806431323,12.865861188044217,13.193093354815442,13.238230891094911,13.03434047192034,12.69387930775125,12.331685855900592,12.011878382089945,11.749771681549829,11.54334854010563,11.390307655712109,11.28392547731514,11.217039636071274,11.19594877309042,11.229297101805052,11.295613334588388,11.343032012995925,11.33867136414204,11.299192397813487,11.226579506502127,10.977149736415763,10.21273550539459,8.588076929236545,6.114823279332532,3.352303920451103,1.1184971159262087,-0.026850261819948498,-0.04171172316873183,0.6877155495604046,1.5951064409681528,2.174635727992522,2.14134989
7kg_10bpm,6BC,3.37392491,0.9573522903565602,-2.9308662835409436,-7.352706076633393,-10.655584741914184,-11.645932452581546,-10.506278143890253,-8.532024726690983,-7.029300049552835,-6.4938791249394425,-6.615788044923611,-6.761407013359118,-6.438603779026567,-5.52536946449616,-4.219380325568763,-2.8107979453233023,-1.488902107877643,-0.3040368950598015,0.7817985507176483,1.8493282094556218,2.9750602065507605,4.166224924727966,5.334371373489805,6.349393953231445,7.129157181042087,7.687360757981808,8.11559561994939,8.536963836036467,9.056642519641088,9.71918400074275,10.491569244273037,11.284546361724614,11.99881415120421,12.568742292461355,12.980737265850758,13.261628425059804,13.454507630385082,13.602693011988157,13.740162084422177,13.87604035829133,13.986420971613938,14.033932164752601,13.999198506947296,13.887082428750652,13.700733684090075,13.41761998760764,13.00420170975794,12.463075472583624,11.86625471080681,11.340500680367269,11.006169333335595,10.901055902119946,10.945870725378887,10.98887572044318,10.900533073602464,10.652192595898464,10.32750101345145,10.061713575571858,9.947580312924632,9.973624082749888,10.048050826167938,10.092799733105501,10.124004329788757,10.241266002392079,10.527478861916528,10.947641942679887,11.349902616482643,11.592384604796141,11.675516594155619,11.724619765133978,11.847379231471054,12.024326905477448,12.128735129565372,12.032109158759434,11.685423778020862,11.128340786341978,10.464803548135583,9.83512532508032,9.363750360633889,9.090208391826312,8.946145657377006,8.815702759938956,8.631222982113618,8.411828556449105,8.202396648069326,7.968354875748311,7.55791101331988,6.7911110358075994,5.602837118334827,4.104404160206085,2.522928037527847,1.1046979484062969,0.07674672561064842,-0.3559470901243108,-0.08920052280538207,0.7705792952624927,1.9153759885230683,2.9485793559696125,3.504805021280308,3.3714414922641187,2.59448585
7kg_10bpm,7BC,6.255378,3.996697814451255,-0.11544151,-5.188658809193818,-9.37210073,-11.035012465447853,-10.05991695,-7.867770839183425,-6.11354349,-5.497817214593507,-5.7092676099999995,-6.050059578071519,-5.97174176,-5.295439025706178,-4.175846560000001,-2.8817498539522544,-1.57175951,-0.2496617212324643,1.12836606,2.553086642899078,3.9531253999999993,5.253572807692677,6.44900036,7.628045326879493,8.90002766,10.271357058688325,11.60639919,12.721296277101064,13.519722879999996,14.059164003705048,14.48984909,14.927093194385824,15.385177990000003,15.805832278547228,16.13549189,16.380559680181165,16.57876537,16.72264673102837,16.74252051,16.574107501827115,16.22481288,15.774132538251209,15.31729816,14.906733647621476,14.54269691,14.202150276980493,13.8691655,13.551488855129152,13.274797280000001,13.062765276732783,12.906117050000002,12.738582935688447,12.45693005,11.989220210506963,11.37335095,10.779165774436155,10.42414639,10.416836481018967,10.657541430000002,10.901440725529515,10.94096176,10.746696472219153,10.45451121,10.240285247938772,10.193654740000001,10.27040252442601,10.344015170000002,10.314106175689002,10.182514930000002,10.0414291778511,9.99915942,10.096550879440189,10.282602080000002,10.48525320812655,10.689032060000002,10.921101852633221,11.18588234,11.439062041399541,11.6086925,11.625030766518861,11.43976219,11.04460757233183,10.484987159999992,9.848896863473716,9.25286494,8.833303683657057,8.69306789,8.781525570572098,8.796500549999998,8.278332916810385,6.937922759999999,4.934310307852271,2.81485259,1.2176336348937344,0.5449641999999979,0.8010414152594332,1.6855363000000003,2.762259682844291,3.53680604,3.576210214510415,2.75511097
7kg_10bpm,8BC,7.62921951,4.796859498111815,0.272016555382936,-4.676759772585002,-8.104213641358525,-8.85457309179023,-7.553968389611406,-5.916543844233901,-5.201942606973507,-5.505099775781046,-6.1624514962685355,-6.481768889209789,-6.205271282190509,-5.529327694104432,-4.780846930786895,-4.074392865667972,-3.2618997653971804,-2.1727147070794377,-0.8433346064114144,0.5023940355359264,1.6531611269761946,2.556724574004487,3.2962501930002697,3.9758393433073596,4.6477201005129105,5.326150240960109,6.026289562904008,6.754688225748821,7.467690719359717,8.097208093684372,8.651610243677116,9.23555398193818,9.92714434358692,10.670029549862742,11.318368039369073,11.779214508263951,12.093991139977783,12.376758383611264,12.687583766449736,12.977892186662325,13.148050277984094,13.151651336120564,13.04579275390578,12.945373051005514,12.943522096857295,13.07608509705758,13.332164781550539,13.675228095545455,14.065072113771734,14.479724995953053,14.91626884,15.34915259611192,15.695299796182592,15.86279907880632,15.850200613974264,15.777224319244416,15.796719432523375,15.977376623938845,16.292213318603043,16.716538762118716,17.279993307409544,17.986620470712598,18.72943655939469,19.3215705321976,19.603038375423385,19.542491436013947,19.268608942866702,18.98454460181682,18.81480247650994,18.731661079382285,18.628351049402855,18.448379271301015,18.235197491423563,18.070526432742604,17.98786531953913,17.96024519016273,17.97227736797177,18.04917811777103,18.175576862957534,18.2436890830706,18.12706398908908,17.802599190673014,17.40555953227807,17.14979851865363,17.169034827025378,17.402199110428317,17.57976586001577,17.31785131619089,16.3297744590473,14.712728948882177,13.02488647245979,11.895711594293068,11.493857381763807,11.373799292953695,10.83114135859556,9.480039849113044,7.530993958137301,5.521149807502948,3.8791767234287473,2.734595931650652,1.94931966
7kg_10bpm,9BC,6.09477735,3.5384220504745474,-0.5597096745299367,-5.018956167590904,-7.923819261629322,-8.275607175606984,-6.940921307486531,-5.646432843717226,-5.328624262483088,-5.727727314184555,-6.133678628863982,-6.1061862182618505,-5.632892468380613,-4.930049043838709,-4.188313624768066,-3.467112262179755,-2.7470705798208996,-1.991927163565591,-1.160895481582379,-0.22234679754382958,0.8191149353748981,1.93096661599381,3.092100098371041,4.298495361708862,5.5231005917340905,6.680792592676052,7.650907947643541,8.36178652088174,8.859645104114371,9.271052596142715,9.683512267490144,10.085135881534573,10.430471079841842,10.73011755473608,11.040359321769627,11.373121211873924,11.65454889550133,11.790718163934756,11.75486795075944,11.607315044481775,11.449083727428008,11.354691467771156,11.336295331014549,11.367557865037329,11.430985244731525,11.517539731929437,11.583392974957,11.552307081581496,11.388286921538647,11.159632745910711,11.004176210606971,11.003588605839735,11.105335931114551,11.183912535140031,11.16298987591991,11.082734077381811,11.063545654751763,11.190345209126805,11.433152729225128,11.699316561572422,11.925253402752576,12.094959019686053,12.2329511495498,12.403766051515525,12.669718646895532,13.01661219415914,13.331480500040811,13.480953248117745,13.425112137325403,13.244918413942413,13.039928578243783,12.797996333343958,12.40481219293503,11.81332245086811,11.175725928550523,10.728999177662216,10.527613026166877,10.376696219071107,10.071886973302849,9.624718505862706,9.208438323913713,8.951744063009649,8.845847804074173,8.790850719806903,8.641107626387173,8.237683189092513,7.517794329290612,6.631046109643834,5.795121437406928,4.898391691079442,3.5471919482810588,1.73431602355527,0.15105241546752574,-0.46020643174337783,-0.05428750421662134,0.8847157756389448,1.8742839264376128,2.57336947231912,2.7442350910242053,2.3399661875440687,1.59970646
7kg_10bpm,10BC,6.3289826,3.1151645678986832,-1.4439579923327963,-5.846571759767672,-8.501973042584028,-8.806047271400187,-7.505852693208483,-5.963670870236355,-5.129466359238276,-5.13870295970543,-5.547971538368667,-5.782673159172206,-5.504035794096949,-4.738030511648758,-3.738990902695444,-2.758451743725849,-1.9289994629776988,-1.2745539459029844,-0.7490338888013021,-0.2663220044157731,0.2583040652702444,0.874625612536513,1.6081873954836539,2.4877628333727198,3.536539780521809,4.7234132,5.93303355832383,7.008597602750833,7.842846592882465,8.435194576154876,8.867844525739592,9.239415657671408,9.617146964388619,10.0184021269926,10.409975694343895,10.725459936901803,10.907104238299928,10.95548121519357,10.93507993813405,10.917494976277332,10.921221427886918,10.918640152548184,10.889936037666997,10.841499878035462,10.770735535478881,10.64844388590336,10.465394155586287,10.290139943592985,10.246279548084328,10.399166847542896,10.662447460000001,10.840956480190846,10.786804391751836,10.520294590447453,10.206024441595906,10.024808052314576,10.060509505172991,10.269571428755688,10.536489959321521,10.780704489981005,11.029173214443595,11.3668501653373,11.80200063597969,12.19418830682013,12.341807704693176,12.153040078444027,11.739509319663354,11.357364037712756,11.24279343334211,11.47177066284674,11.9494609691202,12.503825222759893,12.976035849180743,13.252191265194499,13.266313263889435,13.02280552,12.608830722635984,12.145384932241038,11.712576304338008,11.328787490899835,10.985310721888775,10.673812657214082,10.386516216794707,10.116847066847544,9.866549944371265,9.644113461234808,9.4512955216761,9.258535378954829,8.962081075681736,8.31571800581529,6.934835828375934,4.588720107170083,1.6618538355422723,-0.8242397241132711,-1.9110893308707388,-1.4445483080775792,-0.09085581355811027,1.2519962221634091,2.0266600024752917,2.11719850513099,1.63130309
