cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,5.59437579,8.5916336107192,12.905251240463889,17.695141329583347,21.54942779578818,23.260415324375774,22.523240153892306,20.032050765016248,16.975668658898176,14.37851614318055,12.71338516750597,11.890975609067002,11.51158667061617,11.183917210210025,10.723586431711492,10.17027378758111,9.665862124898108,9.301589812946071,9.097424739507815,9.086052036621924,9.296678627192724,9.602526637159087,9.693658661955826,9.373469293463204,8.879790434775678,8.74385452,9.261954642745588,10.184308205382923,10.944921074654756,11.145998380782045,10.831910963201453,10.38594937596367,10.197827089608552,10.374999378174268,10.72385546871378,10.981542497314997,11.045062767364282,11.001408379480644,10.99701185817266,11.115726141054008,11.356048292758269,11.670226597294915,12.00601995557676,12.32028948209801,12.58028660013426,12.779540984871895,12.96192344038968,13.213716920890674,13.589821752511085,14.033666837522508,14.39501774,14.531425264126293,14.370271775252917,13.916506698910327,13.304611532848647,12.813152454235665,12.68130220780244,12.85880281137522,12.996415474086115,12.725685400708835,11.960891594365155,10.933452129715963,9.974401169664418,9.279790201600738,8.826527738076912,8.479430535507056,8.15812270885382,7.9009024044898855,7.802604868581722,7.881321865869703,8.002068369006974,7.9715526460988455,7.724765989361427,7.388176376263636,7.13618708821104,7.02013219,6.95924174132598,6.876955021375033,6.827264503550419,6.968604149053077,7.402544553122446,8.041965169042346,8.66846658185531,9.127067759588272,9.416681216433355,9.590808026879317,9.645765007209667,9.535792130326776,9.241823851382769,8.79250517979805,8.243527339143288,7.653932203675414,7.059137313788788,6.407511240814502,5.534476356825779,4.367074951911205,3.0924458095217,1.9649177369971038,1.068634005702003,0.3845383323875548,-0.06812377
7kg_10bpm,3CA,3.75997431,7.172903583444952,11.919608028638653,17.1365343356415,21.559472738055426,24.195158606531308,24.860064862594044,24.084489491232034,22.57041530143782,20.79451867822444,18.969361005834987,17.195476009315417,15.607278738619579,14.383652462031897,13.622584535729978,13.234918531829296,13.000678522762366,12.733725728342641,12.377602413289372,11.963275337264488,11.536874260816218,11.15375479699019,10.885221718120544,10.769540392305755,10.760840239233046,10.75651833,10.684200135495235,10.542827001011936,10.351376129093913,10.103073801720885,9.803867807786375,9.517824763407335,9.323320686020896,9.235134547409855,9.211092796556407,9.233323476019743,9.347348177490368,9.611905666803898,10.031058754370358,10.54636224274789,11.081243688173862,11.572991194874907,11.968580252697103,12.2254499369961,12.339924340397157,12.373772395553683,12.434307784067963,12.60086495769809,12.85509455834224,13.087388218183658,13.18326174,13.114848364647749,12.95431609117308,12.794855449932353,12.662366536247848,12.509631715208812,12.283751528099028,11.97316660870828,11.58464637775721,11.117890484874458,10.602526659051323,10.13051790922779,9.795195187536951,9.594892663349007,9.421855673614957,9.14529436987387,8.698995847162182,8.103612554838017,7.429504716039779,6.75845176811964,6.172012264585194,5.73036502562829,5.4360230840514365,5.232233448850405,5.0427830192574445,4.81698814,4.5622395447221225,4.354252576054477,4.307512890005451,4.510260794914846,4.9639923086985025,5.567924041661009,6.167233782723705,6.647125489566012,7.006847169068086,7.355939117369077,7.8276772482787145,8.451556933489769,9.075229099339792,9.43481634245863,9.349285644890431,8.86684925179136,8.204588720476412,7.531680725257441,6.820194058602672,5.895020077699294,4.605826709288371,3.011591634034441,1.4391655112912312,0.29893221139058906,-0.20215657
7kg_10bpm,5CA,1.98534048,4.109084233294056,7.681056604327328,12.362293690228864,17.106974954364933,20.56605367966144,21.821778561113305,20.914713768340196,18.7239647187376,16.36329497935387,14.593926129939806,13.58541122643539,13.064378525503248,12.645641847539796,12.090106640172385,11.405513058493453,10.786895075851755,10.398761453989874,10.151667452704341,9.768991141488865,9.142259957148811,8.481221303896252,8.051152873360275,7.922351981669087,7.9963996978543275,8.149964183379609,8.330232066469057,8.586481334510667,8.995584432045995,9.509597081732448,9.981813725076776,10.391182254559812,10.920809149074334,11.723050337759286,12.643700614951277,13.309422302293997,13.514635375784064,13.407388331021565,13.287049671621595,13.322338998292487,13.48223218043157,13.6709728546713,13.851594696501298,14.035126774684617,14.213311012154023,14.367445398575313,14.53482558459785,14.772662225623863,15.046011982954097,15.24725261685673,15.358873466698011,15.50306735411118,15.76698149970816,16.09357285752459,16.384930733841827,16.578009421019207,16.608135602521614,16.422085758447917,16.044826654920545,15.578138779801689,15.143119090866954,14.776766100811528,14.380447346544152,13.876643414834906,13.34228582398044,12.861224021118833,12.384994796822257,11.85110718969957,11.340533394305082,11.030187111470942,10.981499368529176,11.06843913607334,11.156903190885847,11.220553025197441,11.264290074258831,11.2629578702636,11.184089641513323,11.046596873231984,10.973519600759618,11.126081389196246,11.530541063381763,11.984406805918436,12.228472964140556,12.264733559838943,12.357124423414453,12.642671826144928,12.932063886532868,12.979658047821893,12.786403140041234,12.509325699716543,12.182945647521834,11.648376975583002,10.725931859936864,9.401823495521434,7.812634087743543,6.068924270372436,4.175618798969879,2.221261244810174,0.594521605742066,-0.27598405518378566,-0.38685738
7kg_10bpm,6CA,4.08701915,6.735139141426288,10.515706121983733,15.049611875999007,19.156999265073136,21.544263820161582,21.739205101847052,20.30961777266785,18.265099048463167,16.417053212861102,15.147899715352281,14.46142119164183,14.159381092429259,14.02781999667357,13.909218209545456,13.691152451318123,13.323295779994915,12.849734092374703,12.375439069379423,11.976180426905026,11.649269085360801,11.361517135141034,11.133677184124823,11.048909456402608,11.17616447995995,11.488140349719846,11.823733652130713,11.95940860499857,11.833386411649085,11.702106153971144,11.95104258594,12.741419924138008,13.897479838478327,15.10139036298808,16.12485681724203,16.86112529347369,17.21962190520911,17.120178667119674,16.633231563754197,16.038296133282977,15.660473627471195,15.65962932165446,15.977591538804464,16.423139153751684,16.775859058620224,16.881722169035573,16.743924119429238,16.518566587262903,16.355174368430315,16.25434815355951,16.1330694,15.949950284651568,15.667895156207111,15.17586094224372,14.397968119952829,13.468207921899122,12.679471773884481,12.220052994737422,12.024837223598443,11.871262006980567,11.555285706595871,11.010862075288912,10.331412351828078,9.679104970834256,9.152230068355982,8.733777096229614,8.351112872531182,7.9719526032600365,7.645800694051687,7.462586342988393,7.4722750043410295,7.6338619823737135,7.843453128995627,8.05235197922161,8.365184815417857,8.953995054555104,9.83954978306694,10.782404271699484,11.438617047953606,11.657475861744091,11.651022300623229,11.845327682911238,12.499311075507658,13.454005945421198,14.273533194595831,14.63495148028918,14.56171855352083,14.310439279788314,14.116394235534028,14.078907443199018,14.16817686153855,14.203359877707486,13.898647555863864,13.08659013662276,11.912952369578424,10.738905551137918,9.730131356392816,8.543807762089912,6.6466052449851505,4.018137854076606,1.38481913
7kg_10bpm,7CA,3.95293932,5.12440940502773,7.423678187441944,10.901996964891536,14.947073376748882,18.409127039999998,20.093868999294827,19.54176750766956,17.382969743829676,14.786447411596672,12.628756860000001,11.15829197608922,10.189644566811888,9.431218064721376,8.657905487968996,7.757905730000001,6.801322999026251,6.01311574368666,5.528759373488421,5.226196521331185,4.88860998,4.477053197518281,4.186337300366296,4.233941357255402,4.605866852429273,5.06230387,5.464938494480743,5.984378111940482,6.80461479711391,7.7509411617953115,8.476924529999994,8.995435306863639,9.724885125133222,10.923405841673043,12.300177329046376,13.30052607,13.671002879404657,13.639741510931616,13.604651459388432,13.74791330196515,13.94980325,14.00989338401661,13.897365755714716,13.781273419411175,13.845770124125215,14.117572189999997,14.481691994604246,14.78448099794015,14.888301801557251,14.727052454703703,14.325380739999998,13.72312014022824,12.937604342437309,12.046958978085343,11.239316345589355,10.67886697,10.344056137230826,10.065757702958454,9.693092790245169,9.194523840544107,8.620367360000007,8.016663933202672,7.411978470560555,6.839077049269171,6.312493925697922,5.82334381,5.407016688354648,5.161139056842967,5.14154652196238,5.278836514531668,5.450536979999999,5.621213428699311,5.849228692412988,6.165526355503305,6.565324686731295,7.118275109999992,7.904216723742844,8.814473998022295,9.574940215882483,10.019981605784897,10.2378369,10.450643393784125,10.799442281752496,11.222003819239202,11.581437157714635,11.878692119999997,12.211131838343578,12.560472652431441,12.725451766353272,12.45770135826609,11.639597190000012,10.387611249331181,9.029152287998869,7.928049234111402,7.189379387277484,6.505250449999999,5.38363914277225,3.570159724006721,1.3933427056900907,-0.3384742970027529,-1.03388528
7kg_10bpm,8CA,-0.54336117,-0.5496095036940083,-0.3964972481547711,0.0067357118638884305,1.3557744858643195,4.375391009841333,8.945324500122041,13.983981719853272,17.997559197087124,19.92536842420268,19.79986117,18.50286193200098,17.040874816075682,16.00350898003865,15.295192463836571,14.470362831007447,13.301810260985992,12.003407690563696,11.023421193477985,10.558059134003571,10.337877719999998,9.943001571755284,9.212302595680026,8.436211100881122,8.21172165495337,8.740231568188438,9.408960316000776,9.620199921851103,9.698712020355005,10.245065423487866,11.072382069999998,11.612758766572464,11.97151054376218,12.717057816685795,13.928390547179772,15.128357576242289,15.961474114708805,16.522917012350593,17.059890369823723,17.54839285332524,17.706124229999997,17.476565429173824,17.290402992365323,17.602740012293562,18.36460921983923,19.088662218256115,19.254955336119888,18.68761106103766,17.672876202110913,16.651812579815306,15.868782420000002,15.301521430837113,14.817523092030973,14.401481699276811,14.162246689738529,14.082958600832093,13.934697881257094,13.592744796962567,13.267162626097084,13.237983112334636,13.491654020000002,13.739870822203109,13.726969192114904,13.45288805177824,13.162882136553494,13.095460453570695,13.190734232888982,13.210847143213675,13.151984180828457,13.321979995515619,13.94812123000001,14.90787194809347,15.956585591256466,17.014110421157856,18.03939424379513,18.83033645050886,19.239587867621008,19.507523989176356,20.013871438365094,20.684494821267926,21.099593130000002,21.230924904058732,21.5080675165741,22.14962221609231,22.907256452311305,23.411551369519653,23.478311267443694,23.125842082950992,22.527695855668405,21.864108357042955,21.17060615,20.43357149186903,19.60598887049903,18.52633052987363,17.06627190756014,15.121171679064108,12.480633073660714,9.078308498801952,5.351749094750318,2.213725780443603,0.38522076
7kg_10bpm,9CA,2.54205716,3.3058707979155364,4.940132293091038,8.297538881548107,12.84122852966164,16.71744035441818,18.065564850012915,16.615282585791054,14.018278807896397,12.152312917001467,11.50416691528864,11.198802816756249,10.351340995213329,9.094356683980974,8.083494274876077,7.584947813283822,7.367445398015365,7.232758667893085,7.189799003329501,7.132368162004536,7.079619342654131,7.507775854667202,8.673406503758963,9.940038692711429,10.383618648856137,10.11755088490305,10.198175582524255,10.99674774760028,11.76464688571414,12.053331624601206,12.319973186007406,12.915161874291465,13.60770542572266,14.208255164751625,14.749358592965319,15.108604806827634,15.13376121628472,14.983342559260752,14.95619168336693,15.14516090455846,15.418630572232901,15.703853961601846,16.013122031882826,16.14900309207305,15.829898740661292,15.072553272180665,14.231324052624085,13.56177923055556,12.870728994857542,11.92503854203871,10.861617337364967,9.938427776141655,9.232139966980712,8.626975874779262,7.943059488427218,7.18303817683832,6.660656632019879,6.493025644680875,6.300674134177209,5.824450907861367,5.426051696951225,5.503757898817645,5.845048381618677,6.076896427162162,6.252135270539608,6.711358307422149,7.78382757312224,9.529308822504298,11.395916968894998,12.495409711579184,12.698887490403534,13.018118471034668,14.30693830140947,16.092637280385965,17.3314784340383,17.834528302198887,18.281133881378107,19.1522287949219,20.450687078068967,21.99797156742166,23.359224699619105,24.123381870952503,24.435867893053178,24.722082931610874,25.118276791419536,25.46663356408806,25.66066128965059,25.675996401898043,25.387443449456075,24.69060130542414,23.775858996026162,22.975263559585233,22.257193287472532,21.209403924158927,19.64984535338348,17.782203230337007,15.48591693284359,11.923512035859591,6.848961696721776,1.917758506383383,-0.72309274
7kg_10bpm,10CA,3.1906598,5.491361499050016,9.05611826663509,13.134641166018929,16.210576295794482,17.181154383668968,16.053380408584218,13.664309201295977,10.984349176459592,8.673445365858155,6.988353708693173,5.88039216907269,5.125160424695685,4.512681801686751,4.005724200697186,3.5926680697475595,3.1130475709503935,2.493509581559532,1.9747817510293213,1.8268776418902586,1.9874272912560413,2.211689160900923,2.454909945636699,2.8924143200970227,3.6447185599797645,4.581286472950118,5.431609017517821,6.098095097232963,6.706531579014569,7.297324044639783,7.704568023186367,7.896093534484675,8.159505682337132,8.735318290679203,9.553810024795794,10.456557964850543,11.313751271545437,11.892364700308251,11.983080367158648,11.708465899697208,11.480051181961686,11.618440308509195,12.101238019457073,12.630451602133672,12.896295408819745,12.804320804970864,12.469709508836337,12.059617714258456,11.66436196397269,11.2461465175884,10.725746199774006,10.10239948352977,9.442951772582962,8.766576447537425,7.988070510639328,7.035991713397987,6.025848345938221,5.217252394411678,4.765682569398483,4.639513270854799,4.705585219432927,4.798860058034209,4.778455314810435,4.624546388358546,4.483663375429573,4.518673075332211,4.717315934810965,4.927800499363978,5.072136957448141,5.231719043983979,5.571941338458861,6.288806075094757,7.467120902595351,8.781722866840045,9.561331475760769,9.49672441275429,9.112716885151858,9.22570180670302,10.022989129436768,11.010406971507539,11.744601218574518,12.247339513543087,12.69508491685836,13.070409026921489,13.33598713812149,13.622855292641754,14.00334151443256,14.367108901131813,14.60368502193573,14.674240854480896,14.521151669003284,14.040003507276515,13.156961164446862,11.947552422206975,10.607272349899045,9.140417811266927,7.1836205440802985,4.582018969000284,1.954218295559201,0.24327311743675395,-0.17198566
7kg_10bpm,11CA,-0.36899034,1.1046718249006426,4.24493067399416,8.476887523836991,12.633110129676727,15.691929481927994,17.19018828635895,17.152275158252902,15.892891661529095,13.942672006949998,11.944373483870606,10.395453528264364,9.431601040485598,8.864468640615772,8.38724679320731,7.751667244337137,6.898002748330613,6.02236635968708,5.453859812649,5.362725862640223,5.5763062345778165,5.689387865313355,5.395463531625648,4.793482896228954,4.3353889726913435,4.405916770473051,4.977648033958564,5.6804579268335145,6.154506598254992,6.302476187788168,6.260551251444169,6.283941094830748,6.67050766520299,7.575180203641547,8.767287269268873,9.73096825978695,10.158813378691049,10.233527202322783,10.337329304881857,10.614635801616929,10.910856432056825,11.054665876008771,11.075260738076427,11.149569316009408,11.422221187922535,11.890768114616503,12.415784106553629,12.813892655282935,12.972589131859948,12.917149100628954,12.753866688042258,12.517351919953626,12.118900203667563,11.482348547695997,10.697907873643935,9.997479010872377,9.578069084624353,9.481369298016034,9.626475894721823,9.863834966498157,9.989041403499716,9.843208743433975,9.45022069558335,8.98790250985066,8.655663943151302,8.5819235167097,8.76942692770651,9.092241421580724,9.406168588096058,9.708664239512213,10.170729706619372,10.965837775722898,12.036058643025266,13.051703425278342,13.662725980484346,13.810733366135372,13.794279283582101,14.019816954448562,14.631978590564852,15.428112010698449,16.1712859877624,16.789478302423625,17.25082226178467,17.480697497277525,17.490069648795775,17.457190744636403,17.560016879698825,17.753268725949646,17.84306340581003,17.77449207542918,17.64433313755071,17.399412953011097,16.72473868708829,15.376623237192002,13.530938561307813,11.604185305731656,9.774861575854022,7.792227776444291,5.3913770634996485,2.8416001147631698,0.8465084
7kg_10bpm,12CA,-1.04758146,1.4768506902506744,5.762046885479046,11.081880858401902,15.994322419177015,19.03698158082054,19.50260925881717,17.76357797036485,14.931608691007664,12.139615408180923,10.022043000833714,8.646615552377979,7.735723489054707,6.967064882661726,6.18574059562608,5.412115387565514,4.698941965297885,4.036449733461418,3.400477672771252,2.8534828844564393,2.5219342042455284,2.4153359286154314,2.3861952681019933,2.3905572000249173,2.6227404942745878,3.226320445506805,4.020313098301723,4.653281499950018,4.954075109581363,5.059353823238009,5.268740644270355,5.83138777566528,6.802148749820193,8.023833968269741,9.266804413469037,10.42031143824417,11.51787112011799,12.577798191100507,13.496448537474183,14.119789191110218,14.376976990722849,14.32367345026394,14.084349573630845,13.795751502899725,13.581820981228311,13.518487328890627,13.589940892249542,13.707470894351111,13.805457911825362,13.892051534700837,13.960600716587686,13.883524460523333,13.485592150312343,12.722189691844632,11.722778168676879,10.682516606553984,9.728119006090031,8.850243197572253,7.960033378104397,7.02120122184488,6.095242448063797,5.24448841722495,4.480856165193769,3.8357635193570636,3.3726312461969994,3.1136836280290394,3.0197992843956216,3.039730157049068,3.1625063927962844,3.4084547482504615,3.7707956495743358,4.2235806700634,4.785517397494647,5.492034752959396,6.286371332942491,7.019514577856474,7.596721136429955,8.076318019617316,8.617311044303836,9.367523149795723,10.357815362806056,11.440288544472041,12.39429677351665,13.147560963447527,13.833386303185813,14.61477100354927,15.469460545396887,16.154632842548516,16.43223918836792,16.351019836627366,16.271674316268548,16.502242217434333,16.860377923741247,16.682768499714907,15.324577868749913,12.718425980004096,9.483320506995677,6.4219853520163275,3.876163132091915,1.7275145003611432,-0.0459513
