cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,9.269661862600499,14.007798013032714,19.470383120528805,26.550411621279842,34.06127825086429,39.97687512768001,43.953342377256696,46.65100390164301,48.44604614855242,49.32516315814888,49.26942167014344,48.42195266591861,47.03433641035076,45.35546212680876,43.504053626039344,41.505432490106855,39.48123919132784,37.56699924985315,35.73723059602404,33.967271593267355,32.350624916894965,30.996341386556804,29.97287880667082,29.34810361307173,29.176289575916247,29.369439590273323,29.636594471305177,29.69715363162607,29.59840583489926,29.57193948305845,29.613681850341074,29.440578914031114,28.925732509568032,28.34826803779453,28.028240433443116,27.990210668436514,28.131408581659997,28.424989302749324,28.799599626664637,29.119128672426704,29.38225828226585,29.74335409074561,30.271121247890306,30.820593260380726,31.230375941965065,31.49027814496205,31.61153184037099,31.60151240281166,31.64271459398697,32.01563889353859,32.80042253365612,33.75787069770114,34.5929910740559,35.34540389116525,36.34721186165514,37.739189713224356,39.19886858727536,40.21215056617604,40.54501430381582,40.38924924927178,40.09822493231193,39.94540693191101,39.99277652070479,40.038714748158995,39.8919084297796,39.66122606378022,39.56607095548179,39.6402256094634,39.6891189845859,39.492707384387835,39.083570030031815,38.72507879444371,38.644665005883645,38.88501930322064,39.281233999663904,39.486948557472346,39.165757187814606,38.31688339415065,37.44026050658142,37.16706825661054,37.565774562119195,37.931395085974216,37.55288829962475,36.577902059010235,35.68265374488607,35.175457452866965,34.92558446377717,34.91366086699028,35.3309619751146,36.02875365603559,36.10274189706777,34.394317911004094,30.76991108050858,26.420640378396627,22.42806643476155,19.201500910580354,16.96334034615664,15.081110886313825,12.211155109462256,8.095649803360057,3.9257938678976796
7kg_10bpm,2AB,14.062702377537638,15.47342698155489,19.73979767196636,27.19699366450762,35.333367023918015,42.01330045174581,46.532943977164344,49.12024336265532,50.18777735681596,50.05898347319982,49.08428748630836,47.67928388498274,46.131779529858875,44.47219427556597,42.58848297450809,40.42305919010158,38.059164240948846,35.696236966259065,33.571929244777586,31.90674580272601,30.87267810937032,30.4029142888113,30.148890054774732,29.833323342034348,29.502046113015282,29.348562954754847,29.350548689479005,29.258645708695084,28.94729044624548,28.58275380824556,28.49724306206816,28.913292606840226,29.693240191526165,30.405623033809032,30.697483785158695,30.586665225692304,30.39240770429803,30.415608524381316,30.71207129629482,31.164797962141105,31.684534545349443,32.237346867039314,32.730397266895054,33.04638905238697,33.20876354505144,33.362403398655466,33.57761541047452,33.80030636591187,33.966795408071064,34.07074840426822,34.13781660047046,34.20141977026482,34.304056186080935,34.50102091983648,34.85953749174169,35.409270868441936,36.07294061367771,36.70302449585242,37.20069078510155,37.595336951026304,38.003892579247264,38.48962002772211,39.00361360336206,39.475236628448016,39.90776205421654,40.35416447549152,40.80109621847439,41.11121980728403,41.13146199955601,40.85486422763594,40.45385559501228,40.16383434390011,40.12177838390511,40.261953643779044,40.356322689939425,40.17787848469897,39.65944402454891,38.927018670789295,38.231847149501405,37.82550996305524,37.801227075357815,37.998808973302644,38.076861556528655,37.788171743979994,37.26328840742289,36.96973193494013,37.24195507054814,37.64962026327937,36.88329417459032,33.783905661755185,28.782139591928363,23.754873980316496,19.62279333028028,15.768200035130047,12.735981665484626,11.535235912445058,10.783047047632762,8.967122677786083,6.324955881354638,3.7814454661616947,1.919138850961877
7kg_10bpm,3AB,15.730699057372163,18.239307194228576,23.301134258358722,30.9902642171779,39.525965236092844,46.913441226647834,51.94285254701677,54.357580802520424,54.58242521014533,53.329582478795494,51.26876721809398,48.87275120474649,46.451886059986336,44.219499506092724,42.279649127138725,40.60586943073355,39.07465963076806,37.55381013783115,35.98629377164775,34.41524620134997,32.95940340380097,31.7613326975708,30.934418608035394,30.521414567322847,30.486575489278874,30.744092500930194,31.166327007461863,31.570988635571954,31.77300701651237,31.704489191267722,31.440415907778487,31.100398875472187,30.793532009838096,30.62713234544216,30.6957284712327,31.032232332348396,31.551356295229347,32.06024047888427,32.38347255150742,32.51790595436742,32.635121988339755,32.89474628399759,33.26412959155309,33.55159866049566,33.597532676720185,33.40584640664324,33.10893402430414,32.85737349819145,32.76169353908984,32.87380394823025,33.14931160229572,33.46158719484959,33.7322305357528,34.025237312471425,34.48250852099319,35.177326832857574,36.04927343811808,36.974343459315534,37.824636599703865,38.46247242323689,38.77013086651538,38.75289519521723,38.605159565950736,38.60303859006659,38.88935988866203,39.36518798393461,39.78074897305505,39.91981484698183,39.74648211371738,39.439285545113385,39.27754868934748,39.46076864923246,39.99134268714656,40.66692369296042,41.20729644818804,41.459995478671296,41.49492846518015,41.49246264022157,41.549065746000345,41.599267399323146,41.51369113207702,41.250944035933365,40.926411934279905,40.787162030051185,41.10490144822873,41.893757936351506,42.550682600753305,41.897791060398916,39.07432558057292,34.62259364020103,30.07105833263912,26.154294194202294,22.542138078925706,19.022342829006075,15.669613535245114,12.594726656649707,10.02445455076578,8.172518375485947,6.924413677167911,5.798883866468699,4.367597089794556
7kg_10bpm,4AB,12.015684902035568,16.480582808282957,23.036660293395183,31.510802960172462,40.499518522434514,48.08551334822229,52.93460241935619,54.78998079448845,54.355603080488336,52.862776814628106,51.466973862504496,50.72981238321876,50.48134697191866,50.09724290958872,48.987558341199765,46.98350582722702,44.35440577909397,41.51392499051272,38.780731687910134,36.39452328800773,34.560951636602624,33.33966106263387,32.608733691446666,32.20704307887262,31.95941714185465,31.664563474243565,31.27490440562065,30.921852166655444,30.719266610547166,30.73728298469476,30.999531066956997,31.361485365115364,31.58403311136642,31.56502529606879,31.422126840388877,31.363648614564067,31.50850381251667,31.8458554882833,32.327544205509916,32.92210184678532,33.54877158035595,34.02995353386155,34.1815925966808,33.952963579783244,33.472588698164294,32.980129191926665,32.70026786783216,32.714679728491355,32.92883706721478,33.17582232025412,33.34214390552932,33.421959070354916,33.536181318015984,33.896136318506926,34.63270835265644,35.63034561594401,36.604678209050384,37.368662993624994,37.972475689473356,38.57271040510257,39.25699718230858,40.030473092925874,40.8597610554241,41.6752243974275,42.348604264204965,42.68622780253941,42.52684377936198,41.9079488869203,41.1646373643075,40.77318107011247,40.994881601998,41.691765672653744,42.472682186930165,42.94003389627307,42.882396995802715,42.336543822951775,41.47774081971025,40.505410844877495,39.59540220775649,38.829456970759864,38.15296932753234,37.506497056347825,37.00989155240983,36.92762306647691,37.373647866283775,37.97974989292241,37.92890112883421,36.45782610589014,33.27121858806061,28.699279036983775,23.784767616455667,19.72889427556507,17.047402532991796,15.60291210898545,14.888272928034574,14.200484964869212,12.885394822728884,10.677628465324462,7.925557047290576,5.268238867049485,3.1640085426717817
7kg_10bpm,5AB,16.813539110093437,18.89570759390078,24.12801142090545,32.213212848123845,40.720478149067,47.48998833653747,51.49538473679876,52.85172409437454,52.395907251015416,51.140277807282615,49.837279375995244,48.79311505520006,47.97405052677248,47.18544420157009,46.17752888226797,44.773631198666415,43.01706253861637,41.19275757930315,39.64646972047138,38.53172142418782,37.71855990391444,36.94918900522398,36.07454604299582,35.145586393855815,34.32055914607893,33.70564958709147,33.26039592211884,32.848712110537335,32.380129086630724,31.894836235077623,31.512973027717635,31.32132289771889,31.310353173635672,31.387953335294792,31.437706325654492,31.383034085683896,31.245889059686505,31.16268246372252,31.29915654306978,31.71634251627723,32.31520152658276,32.91900136453859,33.415970233969624,33.79751426472096,34.06056968184307,34.144379186429816,33.99558073235661,33.652331547969474,33.24625759364342,32.943534106036566,32.8668262027645,33.03999423431049,33.394407704465635,33.83729118549759,34.317743799560674,34.817238737192255,35.30776250464858,35.74395473641127,36.08928416638881,36.35871272531474,36.635903380496714,37.02429233817929,37.57393700016177,38.25661482439399,38.987079010318794,39.6295701765896,40.01372288423444,40.03487111797195,39.77958052907204,39.510514395687224,39.49810106144095,39.825934958614596,40.31785693550203,40.669814783470414,40.67982139854262,40.3493035418153,39.800541004288796,39.178499788759154,38.625965408765566,38.25916346014356,38.106492094581014,38.09366373352916,38.143416968135355,38.27305205351732,38.502941820670856,38.62688960798353,38.18802446555999,36.812063703328924,34.527773111110285,31.586123314380778,28.091475041144147,24.142141699755904,20.239701536305862,17.163544866336565,15.274595766302328,14.12356582064487,12.74787122717856,10.526399977832984,7.7120407465212955,4.970766822265504,2.7405281391883047
7kg_10bpm,6AB,20.942389665156913,26.15667549680374,33.20608741818065,41.41342806815842,48.820471898808606,53.91163781991919,56.43833106623133,57.03849157902207,56.52402583017296,55.50653301918186,54.306651012608945,52.94405395506831,51.23953519161008,49.02366351493199,46.32001812230004,43.39517626348977,40.65645829137406,38.46030203467888,36.94847616854951,36.00705630465162,35.37636336157078,34.85086570371455,34.39019766898948,34.04034544042543,33.80262222875133,33.61191172273314,33.39881694951813,33.1382447160798,32.84281812824389,32.5305975121411,32.22136349176964,31.953404116101634,31.772253035631383,31.692374660764475,31.685740370850723,31.719945796122378,31.791961885735063,31.91958192089041,32.11200276409989,32.3500819912891,32.58758208255759,32.76730141948438,32.85188448366578,32.8556399514814,32.84366212697949,32.88464621183967,33.000139270099446,33.16733878570703,33.35592056740225,33.53109094311101,33.64168134487879,33.64429306699121,33.54749189670805,33.42699439279749,33.41002527108264,33.62002724473256,34.09702651112673,34.78193451076956,35.582565466780395,36.4283124450392,37.26890624485782,38.04353675391932,38.67579426138884,39.108267682303754,39.32598085986062,39.340050582936954,39.16874585482441,38.8388298624689,38.41965773727758,38.0470821629054,37.87456612567787,37.98271151398788,38.337537872722244,38.83189281010984,39.34733851495753,39.78973733374294,40.12323980796078,40.3923715117659,40.65577381648595,40.86419094579577,40.88484264984701,40.72088513222482,40.66447211460817,41.08897449274572,41.95676202282371,42.53853123284316,41.82295127769482,39.41735274913861,35.916015076431734,32.13426756653761,28.460199102600015,25.081541418886317,22.007360160413246,19.11277276689316,16.53549823694579,14.450222908437539,12.602163443863441,10.566667412071501,8.229027749267493,5.904078648624597,4.13435894238617
7kg_10bpm,7AB,14.89974032840274,19.376213848427863,25.729354772473553,34.07588566545539,42.38999673533959,48.50009156261693,51.71150819336092,52.71750977293261,52.60104590675656,51.994277582723264,50.953199902551624,49.42109652983226,47.5930309879317,45.69684252451337,43.63301375336071,41.14727649572086,38.377400350854515,35.95086299576288,34.42502207514734,33.747905472966465,33.30067480466465,32.52676618896075,31.468340386974184,30.61760694359476,30.38960526297644,30.70521313824862,31.084107115245846,31.15506465341158,30.958901734452887,30.85156961779792,31.196350256702107,32.069039724246494,33.22443214400834,34.29717623688672,35.01773768922767,35.329003293655255,35.36357001372992,35.29925091943716,35.20415613800205,34.9992049217575,34.55748686354818,33.85639230287863,33.04248363606993,32.31935677003556,31.821059568721452,31.61391093009549,31.720472981054815,32.072883160619334,32.49068635607908,32.81240869265818,33.060775614855814,33.40272343141863,33.96377508857301,34.707849014558576,35.464104835229186,36.09821553959405,36.64679942634059,37.251089173272625,37.997638172745994,38.83368151623321,39.60498469243611,40.165102059943386,40.457039053607026,40.532124802045075,40.521245023495645,40.62146726655604,41.08721438175759,42.11989512464238,43.68509014080613,45.415058780052554,46.7783892333273,47.45496262347165,47.534088918230516,47.38103584566705,47.29911494177654,47.2363879569408,46.88876030900823,46.10976166458052,45.11345152334008,44.253281666130974,43.67504066105958,43.26691280656875,42.88781541337241,42.53322326778977,42.281640308221256,42.09093645029258,41.61115109655867,40.257534763541756,37.5813322241892,33.73753701552963,29.632118949602614,26.235040294372663,23.900138260775865,22.24371883723985,20.382807545198084,17.709320230979664,14.184795351848278,10.301558325027262,7.045580118112456,5.167877314622991,4.026129395053835
7kg_10bpm,8AB,16.45413583169213,19.929200081777232,26.62404758698701,35.457171740499305,43.89635124472225,50.10951079320203,53.74438553172441,55.36927659510029,55.66522697581554,55.12353302826799,54.056605432250606,52.64377253648559,50.9477287285072,48.994287679306524,46.90003086266137,44.85723801756356,43.042356661446114,41.609561060044065,40.61075928093757,39.85127737683178,38.97382310884647,37.732802064455754,36.19370491448312,34.69364751382505,33.58632127556614,32.98337946002394,32.72149013114828,32.533930963196426,32.22783056546726,31.76927061029622,31.286652102306693,30.98023281891605,30.983608845742836,31.291102042696316,31.79176288802951,32.35297389417775,32.88810176532527,33.378541775434314,33.82822920605938,34.17591366653805,34.29354623973937,34.09960583604466,33.655858992228644,33.13669626023915,32.71270670104548,32.49647222335818,32.55666502845666,32.878068227675264,33.30934959636432,33.6255334281982,33.6966344948677,33.61063904059365,33.64931757426044,34.13185076331052,35.19199485074066,36.621064457131425,37.94864353859459,38.771044819867875,39.02688789075015,38.935310368834934,38.75086073094408,38.66919679748274,38.84571368408237,39.322000580339136,39.94109526177421,40.45208389574883,40.74338763464215,40.92861735998613,41.212045705498674,41.70645661076769,42.3199462943754,42.80130025836998,42.96000233898365,42.85988724066776,42.78542406947805,42.97893356349787,43.402125076472515,43.76262186574184,43.77101553958833,43.36848191703279,42.71465918351509,42.01882534739219,41.42874775835866,41.027780416796936,40.81318242745179,40.64033980995863,40.23017242707561,39.2580838591202,37.439011435426174,34.623451962214254,31.005662214283312,27.237941058182887,24.0416794842683,21.64736666438513,19.746565836263212,17.84736819787672,15.596810196339387,12.811820349131303,9.500452242221437,6.076843475172782,3.3470429930785874
7kg_10bpm,10AB,14.781782362898594,20.962880663155435,29.795263112018787,40.15303620211932,48.919552635977155,53.72883707582267,54.738825841136936,53.830021453877855,52.512181098347156,51.014884865675214,48.87678916821572,45.87356390159144,42.409784939886826,39.25340431863281,37.01514159393838,35.652189440630735,34.58352510416996,33.44037971877073,32.377031250732756,31.663463709675213,31.42814306661537,31.70051842435444,32.465720389402755,33.63290449699513,34.993688139825466,36.364938715696766,37.66403356379291,38.72769058952932,39.25857145957071,39.05502893255073,38.23471976074659,37.16560693405762,36.207701591876635,35.50643012372597,34.94833578921704,34.36477147358803,33.786955181316024,33.41756565586684,33.34491210096477,33.414212029063386,33.384941768062546,33.095892010964214,32.57708696171197,32.077804122860755,31.87935206359086,32.01462447880907,32.29767495306594,32.703531905077355,33.42359135841936,34.41926264793462,35.290477295909994,35.8629712519796,36.61662885676098,38.02900716651414,39.73945178823269,40.94461258619225,41.331053302204566,41.18663807707681,40.90180264558574,40.66565127457175,40.503352926228,40.507767693114225,40.866016688425496,41.46723865858157,41.78669896116592,41.422332737728745,40.586089119957876,40.00518116557816,40.26022816067472,41.14647026099162,41.87825542794233,41.94947471948726,41.65842863204524,41.56052280168958,41.60182539942994,41.33799313287143,40.850875347737016,40.78607368804618,41.09458135193799,40.19047041614421,36.47819213163315,31.00556933263664,26.737801171634466,25.276339361660217,25.80878348831944,26.23604410890581,25.618515874528303,24.177383727725612,22.082985597547886,19.283458082628155,15.776865680414602,11.996544144581744,9.022033738604803,7.525063328381428,6.9095658287494315,6.071167503127217,4.783654618232395,3.8813561993165004,3.9937231473859462,4.866064705704216,5.130016893595034
7kg_10bpm,11AB,12.78460442796628,18.252617228805523,29.116340649401934,41.89063800867706,50.55864270942377,53.211775252596766,52.05704250420683,49.661115305775574,47.166856160585716,44.81605249739814,42.60259645863187,40.3369133238711,37.727372692188496,34.81278378540269,32.223195558856915,30.55281273280743,29.824108463071212,29.654885491276378,29.687760732977367,29.78035666641663,29.836910476505107,29.68154731067077,29.31613762325764,29.112740996282035,29.418105369867686,30.241065584066604,31.351123509785406,32.4980488442345,33.522611350743844,34.254749362711976,34.4967529120762,34.29485616684603,33.924652019831434,33.51114555454804,32.98428415921592,32.30299230778152,31.547417907380634,30.916931872855812,30.59888771727194,30.548439150029502,30.577897149655975,30.669431924350754,31.049846081569207,31.90402089794484,33.10001598793499,34.35576897544182,35.53423815009402,36.6486050320088,37.68364950276503,38.54704355371163,39.16936085217727,39.59298170738174,39.96358011071178,40.30467426986579,40.42857049719803,40.3047897688663,40.21234812700972,40.32251996817995,40.451871535723825,40.38382357179069,40.144207949171395,39.85998644293492,39.60641443775195,39.42816062546745,39.42410152890341,39.64064444454345,39.74938378942483,39.333834957617434,38.482943340768784,37.75334560521278,37.628363826542845,38.04446843409531,38.54797163487372,38.766568378895585,38.65141487982835,38.463869233914906,38.39334436891913,38.30792639003478,38.13833779803314,38.1467255241814,38.28840507444852,37.52264202006335,34.580440745915446,29.89627241869738,25.926028197776283,24.421483574015692,24.580309745246428,24.676294912166462,24.05068823375968,22.655382525188024,20.445247717558143,17.921298973360273,15.631527058127734,13.445125789402281,11.316288056452278,9.618781784879836,8.581120797536597,7.737774739195796,6.471791330458139,4.895016886845615,3.4012766739061417
