cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,7.964475333374816,11.915869721787084,17.472860545393278,24.74140487506908,32.42964252139919,38.71829291169112,42.77980995885938,45.011525434790705,46.22849460244985,46.951697162405594,47.1564162413986,46.51562901164784,44.91726873053305,42.72324413969902,40.52569699622741,38.701337506479035,37.294367430542934,36.15720094964838,35.020570804192886,33.682611146119235,32.26560021980409,31.11531821570614,30.46061316427164,30.233661317356727,30.134242390605408,29.903276297525327,29.560351634282263,29.28298045778268,29.17159319299349,29.213235223531616,29.294775304824697,29.243459211055825,28.980237632912825,28.637638949409947,28.500799631399204,28.794168203769264,29.437375111669144,30.074902023365198,30.434086407535407,30.5421550088512,30.616478563703083,30.907684141817654,31.529899903199194,32.281644674878784,32.79265781444731,32.90568001876551,32.78176351127814,32.753139685003035,33.160242339879176,34.09597651856434,35.27973394530243,36.27328947432362,36.86900219350227,37.25958281015047,37.78145445354608,38.5132398128447,39.17023469497226,39.394433058511645,39.17002923636871,38.930608743412606,39.14117505403192,39.789900885589205,40.390799511642435,40.47182282789621,40.06145761267842,39.600628286675835,39.43189691701614,39.53848119014585,39.69154006137657,39.66633617815347,39.414418428005604,39.132800232124886,39.0078035392288,38.950312579215726,38.76657026323451,38.44523052146604,38.089613170651475,37.71340027392639,37.25204570785753,36.703566556560645,36.12853446857684,35.538426614346264,34.923947709771774,34.31110756486139,33.7657784699316,33.512019728027106,33.81746652965449,34.22027293600373,33.02715499194673,28.657753240905222,22.081292652732294,16.483167516363405,13.519359012433606,12.317809504615656,11.1647107774447,9.415722543539568,7.716189258839049,6.2925887422436775,4.838060493502989,3.170764710559743,1.4200401104017424
7kg_10bpm,2AB,9.487756080177803,13.79381878463413,20.918905056297582,29.323030195361632,36.89876360231327,42.31442193115598,45.478267650538065,47.000771765236635,47.46612070030524,47.23098251811763,46.527727116278434,45.535659023924616,44.33779691903017,42.8704231986507,41.02535709243118,38.847617080462165,36.63281903615471,34.777235629085034,33.454015717959905,32.461031063448104,31.497588906666028,30.587583090198436,30.064757204135006,30.128440103836,30.600732934955246,31.132683966556527,31.495126729743145,31.630147783063258,31.53010212787953,31.22971379314779,30.9483926761185,31.042814002094893,31.699423108637244,32.778196305028324,33.94666092065836,34.848199742106075,35.23605100804601,35.123119258730114,34.77996668414908,34.50350652384323,34.405942241006144,34.422259596436746,34.43074615752234,34.33639398352098,34.12332746233939,33.89195289143358,33.832883855333726,34.109443711629005,34.71420305376927,35.42059982461536,35.92044819641612,36.07790511379416,36.07182556334423,36.26157394236432,36.874748559011174,37.8325414446039,38.86996401201497,39.77453410879748,40.50798958403739,41.14353402117268,41.72816262698198,42.236993817116726,42.64457716848289,42.97162380449934,43.22150235235291,43.31538281496007,43.15451477156504,42.729379858862245,42.13296357985995,41.5011291433366,40.94482318551541,40.51828495785625,40.21766486305465,39.99423504515897,39.785581899046015,39.508381347839375,39.031681421616845,38.23880859190418,37.1599438625128,36.015098671131604,35.09392640312425,34.58415128704082,34.501341188781105,34.646677413478415,34.41527088468916,32.79959213633049,29.161773335433665,24.208593309909674,19.481482816966633,15.733465300610698,12.979642901416515,11.203267356721847,10.099452322212045,8.953671882146269,7.309106285206188,5.634870768630082,4.696332286383367,4.580950858679749,4.7226301313495025,4.530534224015707,3.7927097664915403
7kg_10bpm,3AB,8.043525809372328,12.166418020197694,19.580610414715515,28.24255127407469,36.45086315326547,43.04844234444198,47.498992778479774,49.827276950394,50.454744558356445,49.93426712396777,48.696958675223534,46.99258255198614,44.997964978031135,42.90043453956501,40.86505311838649,38.96882244498166,37.202078822756086,35.524887465708275,33.93249282582852,32.49298202700394,31.329027606932065,30.559697715926685,30.252655757773933,30.408737742387395,30.946548664135467,31.696929469197073,32.44559428468796,33.003077015960024,33.25925058325985,33.2356966196506,33.1219301407909,33.2131833651352,33.737283415756316,34.69944692887542,35.88292471896978,36.992771607652664,37.81029658256023,38.25828769622281,38.37562493139695,38.25182189835346,37.96789164298269,37.582711035818384,37.15252139116524,36.73745898767785,36.393494957541066,36.15384918807171,36.01043387040014,35.94113331662433,35.973676853726595,36.18196896756099,36.590825073092084,37.13027878796294,37.716154026770425,38.34615364786931,39.104662378169856,40.06842572496085,41.18547394653269,42.245337510957135,42.99519255334189,43.31513398656344,43.28462938043514,43.1093662064313,43.005566977261225,43.093193014979555,43.33319916954932,43.563205587450625,43.61143716114961,43.39476463693178,42.94668332616955,42.38889599825172,41.863430917237615,41.45457592586355,41.16520584991715,40.9459739637104,40.72364959754411,40.45764398201288,40.19352958189999,39.999153036193626,39.853024503556895,39.654714888524836,39.34833996366822,38.985928561988395,38.612698985365,37.98396187392866,36.34893861958732,32.78849821169618,27.208509243176145,20.927662696093176,15.65519825340419,12.150094739188667,10.362326466512819,9.499752079980773,8.558497128122081,7.390667712881032,6.327890074588648,5.382771434534899,4.419686660116877,3.599452754659799,3.1357407512802737,2.842929261113261,2.391133355167951
7kg_10bpm,4AB,11.222399556709192,14.99810958248749,22.779489195644807,32.58609753920495,41.601244898083046,47.97070065414426,51.411884604688396,52.699512700268045,52.74646900058827,52.133279808374354,51.11429072801541,49.78605791920129,48.226599465191185,46.50444123326877,44.621363805484386,42.534462390507365,40.27898200951909,38.07299977727047,36.25764846336221,35.05932310592982,34.42670095436097,34.118805202125856,33.916317622926194,33.797665579652765,33.912409389254535,34.38250128180749,35.14021058487214,35.90629228836164,36.352858248207966,36.35792621283777,36.11048866587674,35.939632987427245,36.058117107342326,36.499848766065334,37.245534570372435,38.27750696213293,39.46572235690525,40.5158931437811,41.118499682979454,41.12837914560079,40.60354017291119,39.73016060154927,38.72877495509601,37.788309396982584,37.03134317071579,36.49637289231896,36.13494803957019,35.85745821666572,35.62538205058541,35.482479659317754,35.47381998040813,35.57289123420896,35.734125194515684,35.998149205229176,36.463939559501924,37.11251479193525,37.749963681272234,38.226152856601644,38.659055882298446,39.3465893857729,40.45805400832367,41.84142881233401,43.13768049627024,44.04819218258219,44.46923634222374,44.461198332686045,44.18734677296947,43.869440647588874,43.73021567221319,43.921196259161576,44.43150192917067,45.003704440601375,45.13648049156712,44.366365689496405,42.88606961035944,41.62400483248495,41.14211406569914,41.023317139559985,40.66121649103832,39.93684218707883,39.202142192184034,38.8530517641001,38.68955982760986,37.58842596792853,34.24415505044827,28.80936199111067,23.475996186130605,19.97339312041529,17.504653405451364,15.232735781588218,13.486823557164096,12.414004968767209,11.584117692434221,10.614026033585153,9.328563292777602,7.710758903789753,6.028367377825988,4.678390650101153,3.997955304829696,3.7966145987301,3.287631591790565
7kg_10bpm,5AB,13.164455852365023,14.654059964248649,20.602114199511256,28.864190242070514,36.71807702787461,42.728613549287736,46.50921486228385,48.32352161468512,48.742956616851316,48.3766424457001,47.64842281975683,46.725039484319936,45.66225993782491,44.53599988102982,43.410391430926566,42.289811083415145,41.154835184411404,40.034680555417495,39.013414426169916,38.13570111913388,37.33768810777396,36.46859067114689,35.394645958773914,34.22149390334724,33.41094566501203,33.438636449119834,34.29062510304539,35.47281868848509,36.45249467771487,36.98992876463763,37.19340050505956,37.35023797379107,37.66523369484035,38.144712467899836,38.66767281909725,39.08334235634379,39.288831391970454,39.26261522885978,39.016011232569575,38.57230970176083,38.02585738250378,37.557037367590326,37.330170743692285,37.36090934098712,37.476885566755286,37.42357461486454,37.03597300193386,36.351518989228744,35.59915590210569,35.074851845678815,34.97154601409555,35.27469082484647,35.797668992603285,36.3194042941573,36.71082141301777,36.95692701733648,37.10667868581164,37.249167085868834,37.504834800867414,37.95973110326291,38.57502305127599,39.210568898541155,39.771587357777655,40.29250943098193,40.848883800745206,41.41622969176223,41.855893082024515,42.036617596056104,41.94691001143782,41.686462504317845,41.36176623472996,41.02433936344025,40.71738680835608,40.52181958846114,40.49480647857136,40.57676590220566,40.57312621170626,40.2679998320814,39.61910832040636,38.84740298961408,38.35207925391439,38.50421183357347,39.3040844104414,39.96744319375425,38.8962263529903,34.58908837689984,27.246152122849455,19.55203101853949,14.600208485693129,12.207752331219053,10.534137870339004,9.12743893677338,8.127137602188515,7.5838277436613115,7.295135859208601,6.807504065480363,5.899272898402278,4.915692194936733,4.205969595218241,3.5503236295323104,2.5884996705955547
7kg_10bpm,6AB,15.269574928122074,19.595244116317883,26.943169165694805,36.09777996696677,44.53003127305693,50.34597064219141,53.203471821680644,53.906102656361625,53.421640789396726,52.34268889442173,50.91136698490828,49.21858352915897,47.350177089377695,45.39975522112686,43.412421290835624,41.426256320381924,39.57512296828848,38.08018361159781,37.14085423442062,36.78925670670641,36.79330951255612,36.80324018866994,36.63883164555437,36.36795615626046,36.15288657587567,36.106150951807,36.249580492614875,36.526826132466475,36.84829712225765,37.15421949860786,37.45530970854567,37.81532273294414,38.28531688417851,38.85679121059025,39.46570204947449,40.011679409040035,40.383775289858306,40.51166877707177,40.396799231484074,40.08457819445584,39.63217279443586,39.09772785163806,38.51686008228167,37.889681130248796,37.2205897860275,36.56797506611849,36.037128575352725,35.725404857679614,35.670448296184794,35.81591504159992,36.00855215497996,36.07113521386232,35.933534849083365,35.71430233734562,35.65971466771487,35.96722419260841,36.64844649295431,37.5604421060036,38.547705454916446,39.523643502654984,40.43967685585143,41.25686456219522,41.96351646421138,42.55788833137338,43.0063582422179,43.24103825667646,43.204047863025465,42.906508362519006,42.459422317092304,42.03141654244201,41.73541872699561,41.52771307022222,41.22672600233473,40.66221521913785,39.8392960257228,38.984010689004016,38.41289570986086,38.282103627485135,38.43551451762563,38.59474033604749,38.73910199628818,39.18596602061294,40.15136965844584,41.12239734431415,40.6647763548725,37.186394794878886,30.534524836796386,23.129465577060728,18.351131281108927,16.434188534001283,15.376187530684547,14.466277614612041,13.394476308029565,11.871906555967659,10.35253992946886,9.291610260204033,8.240658299641696,6.7084014795002735,4.922876279327378,3.4399202943652147,2.488735999262816
7kg_10bpm,7AB,12.967899055134362,15.502428820142287,22.074837085380388,30.55275500381683,38.6381445723799,44.903690283586144,48.768275033149536,50.386033675519954,50.40282747498677,49.604583740628016,48.535026498800065,47.3062047581333,45.785592448151334,43.96390478653834,42.073714259889094,40.34557322350451,38.80367106177815,37.3972406290843,36.20370158845563,35.30271402421346,34.592293102704694,33.94070885392229,33.43474274981832,33.40718664515439,34.16247711011794,35.58525671595068,37.080353356940044,38.01006935716833,38.2037893210924,37.998202781389836,37.83040606557857,37.880033788041494,38.07139504740993,38.29963139211948,38.5542343904042,38.85057493518018,39.16745542608128,39.44920750559962,39.58598073491365,39.43222128380353,38.95348074658089,38.32663313618475,37.783497219377914,37.376668303242994,37.0233812441425,36.763669557328434,36.789226154050894,37.17673023160004,37.708440226902894,38.03987824553931,38.02639214625576,37.826610061056705,37.724780227523375,37.90272488982746,38.33650704772735,38.87347908274415,39.39862049746256,39.92337815992361,40.53811490300923,41.29566889506354,42.12622519297473,42.844289045400984,43.252144126324204,43.290881352307615,43.10392767898086,42.92933152346882,42.94028150689072,43.19431411700139,43.67512071830819,44.32911416393874,45.08981343231677,45.885630721311706,46.59174834703881,47.02873528159947,47.06588502550143,46.67706209896751,45.95377754548295,45.05445654284197,44.08290808159167,43.06988179907791,42.08533147649363,41.27905713255712,40.65562030009642,39.72456109767025,37.589231707463114,33.818115909316525,29.25672885031607,25.272402573803337,22.209510023088942,19.753665788273526,18.047308237872706,17.298808510390202,17.020287709246908,16.338693551245697,14.80124556388215,12.71664889991491,10.725367211024242,9.16180554684047,7.789324429474458,6.122388976931575,4.129315466564113
7kg_10bpm,8AB,12.280467304031134,16.848347613618706,24.618882420310378,33.63128870785836,41.72727269368232,47.62241142245723,51.140185823071384,52.704929405904494,52.8528664142685,52.029902164878386,50.50085810197638,48.38821205902796,45.86792233075522,43.32624740445649,41.243111107727835,39.90595096190384,39.299073133583256,39.279858091913674,39.67548788581859,40.16497511008964,40.33864005143722,40.01758865640996,39.3686326664169,38.65077986946198,38.000101724401226,37.45598486074953,37.06254855053796,36.92344659263053,37.11750063893163,37.56481054183557,38.09037559691728,38.60612989015587,39.1390766260114,39.697441990955504,40.162828150331315,40.33593498817729,40.09925722036281,39.53960277473746,38.90057197354254,38.38559571430348,38.00069550410522,37.60435117921829,37.08114914686159,36.44462040670556,35.818744200683675,35.351014707215725,35.13405522335892,35.187832231348,35.4845270913051,35.962307250831564,36.5291368804331,37.11900250487045,37.77133836971525,38.61383104507465,39.73410118941656,41.064687326411935,42.397597073664,43.51009650492745,44.26735737245648,44.65001194417629,44.74587677084496,44.704368029217385,44.66283164619412,44.67754158772941,44.67793368510784,44.51566513665563,44.11603014333395,43.594627703413735,43.210509800364,43.18194835997537,43.48371344880631,43.771440795711044,43.575964155482076,42.7485888867701,41.73430534726678,41.11359853113127,40.950593068014285,40.93270655873374,40.8173491701195,40.54001760375021,40.17502070936543,39.91187519348005,39.93034020841762,40.08033004488872,39.61252934799768,37.47654082502079,33.282420556061844,27.97726738471704,23.080395727269547,19.402226059866898,17.202052325325646,16.424081465594966,16.05364811089212,14.95645606045949,13.036094630607689,10.9100394833223,9.044869838179833,7.655787923657832,6.7952156742506045,5.874066963432518,4.338801048958749
7kg_10bpm,10AB,9.376265112001544,12.088332280955553,17.558354058137567,26.567678237540857,37.036073589332155,45.426218865359616,49.909718939051494,51.17138231628535,50.755740528086385,49.48226677542186,47.31127949600347,44.29305276607015,41.130866206518526,38.63530742158687,37.04009219133836,35.96267619669546,34.986733903752224,34.0534573925107,33.37057442477359,33.13104930100188,33.467441306132315,34.601602006139,36.679643618916586,39.24509400908828,41.27806644187946,42.1630440321979,42.15807813116188,41.75600878463708,41.1265954250441,40.26029688347728,39.258575424692395,38.264207526121005,37.330353792768335,36.571589122737926,36.25981807399847,36.53960719571934,37.19715027616347,37.87245893466182,38.373270999727424,38.647339966012034,38.60843809314066,38.18415144239097,37.464456754779924,36.63700465628988,35.86323053141739,35.28219441119575,34.97398460367853,34.89001016448902,34.883503856744944,34.8233544211195,34.770514912637324,35.03810649472546,35.87359736409415,37.01184320539052,37.85096745651153,38.219577239441605,38.5850430898113,39.388248192065085,40.50229189416313,41.43402215517494,41.843083867054645,41.73870681402385,41.386051534610495,41.1319811984627,41.190012078834,41.49334093554012,41.85060283688405,42.1664770935618,42.297399845990775,41.897973581740814,40.97236465764538,40.29746801272909,40.57909706901803,41.32433801616828,41.32187031927766,39.89639082029939,37.846981697525386,36.95049713300833,37.81460745208089,39.69649760548891,41.50256705611946,41.89325176405067,39.9015811244704,36.09531993241163,32.380695118696316,30.308406596922843,29.837242846204937,29.687649798000386,28.63640513145981,26.42789863638146,23.765001006798798,21.55956677693955,20.087194885630275,18.89745279435406,17.465290643970594,15.48266238639763,12.63900705787876,9.022917515245755,5.729946820376848,3.975760302315431,3.534126790056406
7kg_10bpm,11AB,11.66257266371967,19.853938410870864,32.56022175418994,43.67334637123118,49.650184979385934,50.77153107209411,49.3918896327772,47.619525565937884,46.25020871921722,45.0562086402712,43.5435110524741,41.277277140520916,38.170716598586814,34.86676676454324,32.501909367885716,31.65728652804927,31.835510097176666,32.116223944548985,32.10418876122173,32.0763922131664,32.34135482189012,32.883852929627935,33.40144527286154,33.64278890606728,33.75546060334027,34.138622522607974,35.012336638925085,36.16151423116174,37.116910345478765,37.48480122324044,37.175912687340066,36.52538246946165,36.05140401120096,35.95967404027409,35.975981130198555,35.73412960494115,35.27132342465054,34.96492931715309,35.00130193816398,35.176690810713914,35.21132082616345,35.066702580231315,34.97386182875782,35.15730200986976,35.55432752714913,35.9386565190528,36.26796892397428,36.688008298567844,37.20800485754396,37.69387286551333,38.12596632142154,38.54204170719333,38.944626484705765,39.483161881071844,40.36435590017286,41.49966294018971,42.53196583679219,43.150803394495966,43.23356304907751,42.89125353343453,42.392401497410226,41.88525235755338,41.332364606019894,40.815740576204924,40.6206058334068,40.60158617131885,40.24986166740751,39.54425505049081,38.82939623961505,38.800621020983385,39.78816565341367,40.92925238469839,41.35094435471081,40.7019206853122,39.46429358152061,38.93901995753369,39.6836140357243,40.88121187075873,41.20377551339074,39.8365533791268,37.488738752959094,36.042642568616536,36.07020601904477,36.047976210444666,34.724179635562706,32.60956482182694,30.909080307634905,29.983406844547083,29.596380750138348,29.59234687719673,29.435290480181212,28.156958900081445,25.398067564474882,22.004622632150873,19.351426196854426,17.950701311774747,16.88524964464702,14.947423659782684,12.075808860904209,9.276878650738045,7.447984453587377
