cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-0.19271017,-5.184835970447819,-13.963130640380868,-27.238563674509866,-43.50850455746111,-59.02064310034019,-69.90768447324476,-74.87294832066571,-75.61245808816142,-74.78450166860478,-74.06266532242346,-73.85260911639637,-74.02518626412905,-74.3389004434516,-74.31094436253208,-73.32936884142124,-71.2530043120677,-68.56458622534156,-65.786032900178,-63.140269437994405,-60.86525408345401,-59.31196959195169,-58.450634798239996,-57.80491326261102,-57.25647510332351,-57.51455428334538,-59.346044006631395,-62.61702978866956,-66.4046616641213,-69.75715939605604,-72.15813216239951,-73.5756680408485,-74.31187563323674,-74.67949705591717,-74.79359457041764,-74.69313690023407,-74.41730589951298,-74.00791326521261,-73.60368524823454,-73.40734105505074,-73.52014292120673,-73.85120480521692,-74.16860888421934,-74.27963462883903,-74.1256877251645,-73.8063724265142,-73.61748443516016,-73.80332625431902,-74.26490138959596,-74.75054362495399,-75.21946280707243,-75.89388769163862,-76.95813278621988,-78.19945677393275,-79.17640326892207,-79.70680002084453,-79.88259235662825,-79.8900562125828,-80.0454766042435,-80.68291936580508,-81.71496468216222,-82.55695376401022,-82.80425138527002,-82.78450474091974,-83.09651651437547,-83.75120873981253,-84.2469860292699,-84.4765565690369,-84.92207641519599,-85.70745410170312,-86.11711026820738,-85.44911196610121,-84.05280015165678,-83.06648571048704,-83.00543646439687,-83.09901144176288,-82.36656443495103,-80.8569442922961,-79.42921575667154,-78.68290502865663,-78.51713090955504,-78.56688421846103,-78.58167663582446,-78.38200563089418,-77.67121635768274,-76.01217412387213,-73.20352996461203,-69.50758579086019,-64.91048549391546,-58.54250158394516,-50.26191395649814,-42.0354922746398,-35.68179847599618,-30.30787100592215,-24.100285566134104,-17.14263614193429,-11.259328681246343,-7.965935487718216,-6.867750878670726,-6.209711085833274,-4.86403369
15kg_10bpm,10BC,-0.91460841,-5.988334057889247,-13.926803342124025,-24.63734766537184,-37.402447767043284,-50.93978870000001,-63.638386450043825,-74.00079064845666,-81.14570946038468,-84.98914240887632,-85.99834723000001,-84.89258402462418,-82.5314803582882,-79.83153752574552,-77.57862127714527,-76.22065557,-75.76914134222268,-75.86020021144688,-75.98070912433317,-75.78955395238032,-75.33113553,-74.93658676095689,-74.88895728200146,-75.1961400388726,-75.65984083900717,-76.08470589,-76.38216787448017,-76.52173897970613,-76.45651016986703,-76.11793336713211,-75.47623962,-74.61801974763456,-73.74455146572808,-73.0500747599911,-72.59055640979578,-72.29035032,-72.095850864739,-72.08170285959288,-72.37206285105151,-72.96390487559631,-73.65418180000002,-74.16242681403864,-74.30244214210886,-74.05100877757138,-73.53405752403744,-72.97329264000001,-72.59592120003066,-72.52649754558615,-72.69065865513309,-72.80159884452638,-72.52884772000002,-71.78908446645391,-70.8789565846757,-70.2642065670852,-70.2046087606705,-70.57379578000001,-71.00618492294923,-71.1844207209658,-71.0126200021683,-70.58021743405386,-70.01500912000002,-69.37819332116209,-68.6799934332603,-67.96275014866045,-67.32193620204829,-66.81177098,-66.35316333467051,-65.79475494619712,-65.09355740063977,-64.4302306330088,-64.11419767000001,-64.33706838643128,-65.00150419527172,-65.77949899537282,-66.34127112168069,-66.56176689000002,-66.55016902408991,-66.51017489740428,-66.55252954785993,-66.63484437656008,-66.69373658000002,-66.82885706755582,-67.31333528847595,-68.34460909420648,-69.67268575654964,-70.36573645,-68.96349111490824,-64.12140851300377,-55.52330709437002,-44.49541067831111,-33.7062858,-25.75444325400851,-21.47267624491864,-19.54745261632016,-17.947301700215714,-15.648061830000001,-12.93204132563051,-10.372823129597876,-8.014368549693428,-5.595665166654985,-3.17086825
15kg_10bpm,10CA,-3.36223155,-9.952040944795426,-20.70546947332691,-35.22918630761938,-52.13004771396536,-69.49541259084799,-85.31711988028695,-97.52314689919312,-103.99573633003304,-104.21450292736255,-100.63548233992479,-96.69128497247748,-94.14643536951678,-92.90098504031691,-91.99024664345059,-90.64285612619508,-88.89684558446892,-87.2441657006296,-85.84195156839911,-84.52280286511669,-83.32850534092877,-82.3454257838908,-81.22020343605794,-79.21892315038905,-76.03567764445216,-72.37499893063998,-69.20149465132752,-66.66043478808427,-64.3089163227516,-61.750239619966806,-58.877533562947626,-56.194237632070134,-54.25234762332371,-52.844682375375584,-51.57271940255498,-50.65052500343751,-50.679897541228286,-51.77864501139777,-53.23592563709837,-54.093654797423966,-53.74342826709649,-52.32112381948025,-50.96898400413405,-50.96795447621179,-52.559800781657884,-55.06210940599464,-57.58650486056955,-59.497465653392695,-60.747889682492364,-61.774148166663366,-62.66887283759224,-62.9299498440203,-62.401853168442756,-61.73716779814606,-61.555147309645356,-61.86639558279153,-62.43186409606691,-63.213569316965945,-64.43217312147767,-66.21653454406294,-68.3950459403805,-70.57586155085419,-72.42744272564656,-74.05498767505176,-75.65598331589311,-76.83400863181873,-77.03872165656962,-76.56190402625008,-76.49644768344457,-77.34084860908268,-78.19365122305688,-78.05601048410401,-77.28655489925941,-76.91785384268792,-77.13092408048747,-77.47906271248952,-77.87561911477377,-78.40791605251292,-78.82716555433804,-78.67154718475958,-77.66387002837695,-75.97466785316786,-73.92887703132686,-71.46025793582685,-68.5174168221671,-65.81509957480685,-64.24913092282576,-63.57145749542378,-62.479816279819886,-60.22332376499287,-57.28066220433853,-54.161972362710564,-49.86846437769685,-42.35660955392846,-31.622328137446253,-21.666235421320483,-16.293359796321326,-13.96539933456662,-10.965790777046854,-6.562874338966771,-3.11319057
15kg_10bpm,11AB,-3.06510329,-5.347578218639579,-9.93086035576737,-18.165702615863967,-30.539480358505458,-45.715618773472336,-60.67042222477574,-72.11948454361374,-78.34840274778352,-79.9495378174384,-79.07753438127259,-77.88531691941068,-77.29897372988373,-76.96286201758299,-76.12035306067199,-74.49470752041039,-72.40065079669239,-70.2373837575194,-68.26175135818099,-66.71718615958532,-65.72171216,-64.88123254181392,-63.429520908523614,-61.16034653112454,-58.843752044671774,-57.36496554837739,-56.764704220304,-56.5357807401482,-56.542678111815896,-57.06403095936129,-58.173456188724046,-59.80733131744098,-62.18089032908466,-65.38145925526044,-68.85373353114448,-71.73679299687517,-73.55087072365669,-74.47205155768461,-75.07371107675715,-75.86223669142181,-76.93443326000002,-77.98691301199449,-78.60169151561517,-78.61974102202444,-78.29164006886731,-78.02105450047648,-77.88800162047502,-77.59645797187085,-76.97133599412628,-76.20376682954144,-75.60674389690801,-75.43440175087376,-75.78058195276269,-76.42181127909927,-76.88744098881186,-76.84801632067978,-76.48822672301884,-76.30437505735414,-76.47365517611689,-76.73398381019348,-76.87183626,-76.94657151557203,-77.04195312446389,-77.07608567078445,-76.99585560584008,-76.97100784615284,-77.19781922497525,-77.74216735556436,-78.64412881074858,-79.87627140188957,-81.2842573406206,-82.68686483435886,-83.87172801954102,-84.54968990188532,-84.56578887703178,-83.99342137751199,-83.00068915097812,-81.88230202178416,-81.00729038251716,-80.44596239298376,-79.90878948,-79.18860711091232,-78.42694225958107,-77.89792395590281,-77.73515545901952,-77.88018708269973,-77.78972066128867,-75.98060905332191,-70.60308538425556,-61.39995923729766,-51.093584579077095,-43.769721313862206,-40.564390456608635,-37.937481466038314,-31.922957192488003,-22.995943916398783,-15.332691524923879,-11.34783932177454,-9.318866439914496,-6.888640382442288,-4.07375272
15kg_10bpm,11BC,-3.81712474,-9.696661956666638,-18.96675989045159,-31.584322249276003,-46.3440669538445,-60.95886628059703,-72.88848433834065,-80.58005067075759,-84.11197948018727,-84.68052499650722,-83.58473133571471,-81.68500755978839,-79.50772652130237,-77.50101185937844,-76.03630136300401,-75.209047756548,-74.76386675402053,-74.32539130946722,-73.76202187755166,-73.31745710480318,-73.34504630553653,-73.9157699167295,-74.73133027118561,-75.40101521126918,-75.73486553312203,-75.77616264142986,-75.6486318718532,-75.45981916035319,-75.25436462020537,-74.91936015881583,-74.19418980721265,-72.93529317946526,-71.39419770290321,-70.1373099845864,-69.6253526781253,-69.8768946663226,-70.54596818622073,-71.25823884714202,-71.79816548953838,-72.06444770945704,-72.00730019464999,-71.64570187306919,-71.07282758492012,-70.38619562324607,-69.61670505777107,-68.75970708823671,-67.88141202920622,-67.15960208441314,-66.76896164535842,-66.71804510766458,-66.83314485756978,-66.93130828025029,-66.97593407517383,-67.03050722315025,-67.13671057387816,-67.28443869339755,-67.4552557328795,-67.64137189113363,-67.80780501084938,-67.88340550382445,-67.82869674312427,-67.69630903452963,-67.5862547536635,-67.54088782193402,-67.5206571818643,-67.48956609186924,-67.46797540037159,-67.4764558228163,-67.47367533995107,-67.41452132560025,-67.34484470026688,-67.37568125420329,-67.5746701206038,-67.91311954715864,-68.3130573204472,-68.71563132512935,-69.0987170579716,-69.46030460334191,-69.8067069805534,-70.12368140380681,-70.3084090203362,-70.1656411207147,-69.56608281699211,-68.71748932396149,-68.30393992580707,-69.13632428843599,-71.20882783017602,-72.7458334735145,-70.48463537804912,-62.01132562184833,-48.755530932408355,-36.09961593156182,-29.12693236744569,-28.24196279816034,-29.536629043136827,-28.797294822946444,-24.65253483413481,-18.482383808674694,-12.33393154126349,-7.336046053086331,-3.62374887
15kg_10bpm,11CA,-4.58872974,-7.764045307293854,-11.857328815901393,-17.068564590118438,-23.456493552808826,-31.300598067345568,-41.32735063548334,-54.15313530343079,-69.14909841115414,-83.97504794538543,-95.6849936702859,-102.33514796223923,-103.88368769202232,-102.0549505224599,-99.18037063943713,-96.81284624970573,-95.30723575194098,-94.27863541310808,-93.1726676074261,-91.63514542508189,-89.66228026724822,-87.47775043734524,-85.39745698936676,-83.77281979533689,-82.81037920688267,-82.32413083000002,-81.73101784621753,-80.46256603608981,-78.64296723759934,-77.0580527140498,-76.14808638082994,-75.3969476187101,-73.96365973284226,-71.73828989954815,-69.41289031124572,-67.4924075360048,-65.79670704849491,-64.02370378902008,-62.23473776320304,-60.58465002070676,-59.03864802883694,-57.683527508980816,-56.88922837415689,-56.87107585105569,-57.35649668287908,-57.80622324024368,-57.88523715819412,-57.64517270268803,-57.352887829749584,-57.20303346485152,-57.2090541,-57.36093356055301,-57.67900817033943,-58.163947426725684,-58.82579945723791,-59.75984665105664,-61.11097178389926,-62.78241181208886,-64.30796264937679,-65.16112326662956,-65.25918616025815,-65.09438561926332,-65.14816456116202,-65.36740437512317,-65.60972767282256,-66.34429225685795,-68.28171318074021,-71.304349624613,-74.21806317872363,-75.76419740346228,-75.78046996911638,-75.28290137772063,-75.4511469038559,-76.46163919162763,-77.47127638028999,-77.82480583,-77.71604810572977,-77.58841585016873,-77.66112560058622,-78.14036871970123,-79.18313101186789,-80.50012227287863,-81.41088417849487,-81.37165415043533,-80.41033085538696,-79.04471787719507,-77.6128714253379,-75.94923029948399,-74.02271545729992,-72.05780346374877,-69.44792524290214,-64.60777150970686,-56.77923911101103,-47.71266044070964,-40.21645148561642,-34.515794608315446,-28.138805382558118,-19.631366150840993,-10.865004635240442,-4.791970995437725,-2.11016644
15kg_10bpm,12AB,-2.12356729,-7.487174617986598,-17.98862515410167,-32.73280206581556,-47.83896603908208,-59.108966966165205,-65.40786279138071,-68.61145812404789,-70.51527923267024,-71.48056955111223,-71.62641416264643,-71.44312173200184,-71.3076884280411,-71.20322782326754,-70.81155303532947,-69.70413774347425,-67.8761410661752,-66.09814903280729,-65.25777977212283,-65.56873255343244,-66.609198904734,-67.60370500051623,-67.59359628821025,-66.35177311909067,-65.02679220236053,-64.97142792375156,-66.17360846339459,-67.59799390511178,-68.8291859545131,-70.2732267028374,-71.9680470112264,-73.32258491622636,-73.8981853481667,-74.1267440262814,-74.87264758975748,-76.1401289884107,-76.97496451566889,-76.61288403382989,-75.33361145706682,-74.19397928971647,-73.74992498117793,-73.55655970984388,-73.28696119978693,-73.32004942182283,-73.90973089472973,-74.58160050774168,-74.91438887130228,-75.29255371503174,-76.19914216398544,-77.35565570540744,-78.16875317000002,-78.49891702185272,-78.51498402857884,-78.24314146889198,-77.75115525334269,-77.39044870198343,-77.55813186125772,-78.15396363540414,-78.6108356784378,-78.79180422309359,-79.13880807559437,-79.92563016981845,-81.10615317824936,-82.68155245626113,-84.5409783245262,-86.12932864395223,-86.86998925230084,-86.60217761311691,-85.56238279464776,-84.36292162201737,-83.66789176196606,-83.5788776933101,-83.52742875055435,-82.79859899427463,-81.05545263773361,-78.61709495641053,-76.28038254791849,-74.67617913770806,-73.9980593988625,-74.24030381501427,-75.14643246697692,-76.30158103746625,-77.4623938410644,-77.8383255955736,-75.65612255234795,-70.47703752110024,-64.79315958268599,-60.68091284185886,-57.44542742380965,-54.02476327861709,-49.80023244775761,-43.60364923348234,-35.1108427973263,-26.00009516877384,-18.595791564980626,-13.811591911885678,-10.833951015196925,-8.679592331687353,-7.15619676540364,-6.086880557327898,-4.81286528
15kg_10bpm,12BC,3.20008744,4.331595279112282,4.874282653952177,4.721205299863017,3.5681772787675086,0.8286231750738238,-4.2614119119595655,-12.329381239056934,-23.47271036936817,-37.01046587121403,-51.47435218425731,-64.96325293619094,-75.82505529170815,-83.15400679502096,-86.78045605090107,-87.08459651427656,-84.94548068516659,-81.62393481396253,-78.382380246554,-76.05213968617944,-74.86250769729286,-74.56340844928184,-74.70352812318045,-74.89467840127442,-74.91716805454813,-74.70648503000001,-74.34118734154036,-74.01273178915982,-73.90261339303017,-74.033225443861,-74.25362728913633,-74.348330385823,-74.14726068344228,-73.60370742641076,-72.83663205896549,-72.07537472494106,-71.49110520512706,-71.05707531072655,-70.61648534401952,-70.07443917805583,-69.47108836118478,-68.87335648201999,-68.27282286861266,-67.66570279751204,-67.14621324840637,-66.80263216474575,-66.57730322121019,-66.3059779168334,-65.91751796171975,-65.55657838769223,-65.45617860000002,-65.69573661778695,-66.10018504015473,-66.38589311238276,-66.42900365484859,-66.38711817197202,-66.55083614562645,-67.02462272209125,-67.53866666732044,-67.65022815717775,-67.16431241975239,-66.33104199647917,-65.62462142685659,-65.3493579272263,-65.45961377754148,-65.71226620245619,-65.92359670943972,-66.08659185649468,-66.34069819190879,-66.88731176141431,-67.84714548463724,-69.09416564120886,-70.2451880899855,-70.89226558292779,-70.88933293246826,-70.41741655,-69.82225036619714,-69.45457184077182,-69.60048437899309,-70.4019008062913,-71.69197562077206,-72.90982761531703,-73.39182933177092,-72.96686850549237,-72.23339029833747,-71.95887699430196,-71.81009227990019,-69.51158484585854,-61.908652666523025,-48.11768024006161,-31.927386386021283,-19.635812087870473,-14.49035199100461,-14.153316278002979,-13.99868878445682,-11.858551290076822,-8.952616403043784,-7.0946094109821844,-6.323893971541464,-5.337518686127493,-3.4169232
15kg_10bpm,13AB,-0.89895987,-4.41807260303045,-10.01735450686908,-17.682697149731265,-26.964822269233316,-37.0799998803974,-46.822422668970646,-54.95857299297508,-61.144466460552714,-65.9633250157847,-69.84833957678084,-72.52216118209205,-73.73867713043305,-73.84718608168185,-73.33285274381248,-72.41743260003216,-71.34050648669793,-70.4315496244183,-69.42884491155893,-67.4227593623362,-64.4143919542078,-62.126148178524446,-62.07372367961422,-63.50446516305901,-64.38819361552414,-63.95471461481839,-63.24420865855423,-63.61081042145262,-65.35798208880135,-67.79619098810741,-70.41273723311473,-72.93206356386683,-74.65006199484017,-75.21549435006622,-75.15481980291712,-74.89881679282684,-74.27910220026166,-73.23758986340836,-72.19568298971846,-71.55953479212907,-71.4149862127962,-71.62137847012306,-71.89433762420744,-72.06586337993312,-72.29884601339162,-72.8240394116526,-73.63093262318705,-74.55346453854138,-75.42505168225071,-76.13510493342392,-76.86344299562285,-78.00505232827012,-79.52295020765553,-80.81701786984425,-81.42099525981858,-81.44015560256445,-81.21838623348222,-80.96743386334062,-80.86798218149129,-81.01833603546932,-81.11296188610416,-80.56156127789014,-79.26741013507427,-78.05178567453866,-77.65339831930683,-77.72228571917661,-77.54121653524042,-77.13090240572308,-77.0722251070866,-77.67897149316374,-78.58616417700068,-78.99274200077727,-78.36643041759946,-77.02514687566496,-75.95052869887826,-75.7652784802818,-76.05674366203306,-76.07278337069629,-75.69646657788381,-75.30456062101223,-75.26414928903128,-75.8412967539983,-76.97731315593153,-78.06861658193203,-78.42226286494058,-78.14863582995756,-78.15623346258845,-78.32253906578919,-75.78186206238328,-67.12479827838966,-53.81620305416144,-42.80746268906442,-38.72763298812805,-37.854536783524885,-33.5869918923422,-25.219323524399503,-17.8464839052768,-14.439002369616926,-12.286146754007943,-8.716054414931778,-4.85274533
15kg_10bpm,13BC,-1.17438517,-6.607870781268759,-15.235966892786463,-26.812766443392157,-39.92618988299457,-52.54191757955391,-62.996278298025885,-70.62993145598968,-75.6489913655336,-78.61590757942308,-80.14307838747268,-80.82221285641707,-81.14201024857017,-81.37342878015447,-81.55530638831821,-81.60889465597288,-81.51542976007696,-81.41858371057273,-81.53109721110408,-81.95795712966637,-82.61036894090626,-83.21595378285309,-83.410461330036,-82.92157386852386,-81.75447639944514,-80.21215927165693,-78.69498176699042,-77.44970284819016,-76.48035423018437,-75.63895286445522,-74.77662746419024,-73.82817116378969,-72.79266569536172,-71.68962982170632,-70.55347224556088,-69.43820728884306,-68.4291618166443,-67.66438852929662,-67.31032090469726,-67.45016404622604,-67.96377527347484,-68.56011441828348,-68.95364048139153,-69.02069465302016,-68.80821101199648,-68.41555427756235,-67.91178975537677,-67.34321545226767,-66.73754140902312,-66.08597736823998,-65.39002336726911,-64.7533818680394,-64.37684023202729,-64.42909824883299,-64.90951142353353,-65.63084768470547,-66.34116084227419,-66.87280334252958,-67.18747131798199,-67.32430760144074,-67.34845327729195,-67.35564262918159,-67.48702468189512,-67.88125063581184,-68.59363252301725,-69.56577091618139,-70.62550500823679,-71.49634125989408,-71.92821745220058,-71.92189823643406,-71.73662611711816,-71.59421873745667,-71.47578158751493,-71.2881354461478,-71.0858248363242,-71.01432793529513,-71.13805038239296,-71.39846677010665,-71.63626181899411,-71.63861191590067,-71.33142294450985,-70.98429568985988,-71.0922333976103,-71.90406699421453,-72.90035866882506,-72.65873244413991,-69.47116412603447,-62.53740184998499,-52.831559626136674,-42.822499352143126,-35.03884695125356,-30.289342263523235,-27.227342185506583,-23.982414550638154,-19.998117769366093,-16.036836704267266,-12.809253517489624,-10.12207846668292,-7.385369007423442,-4.5579019082051895,-2.21000649
