cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-1.86484122,-5.82293625593039,-12.525896249391803,-20.72050470908354,-28.301919998449552,-33.8188278471535,-37.24074173319382,-39.34682807388054,-40.69059810119448,-41.37683378874577,-41.43989413446923,-40.96517127948954,-40.03089532240958,-38.773054813118165,-37.34382300578646,-35.83842751553988,-34.341341842457794,-32.86052787161986,-31.31463832286979,-29.826781980969468,-28.718716673523502,-28.09717657247106,-27.782667064364432,-27.665563874528495,-27.83134021303175,-28.30434306,-28.861403583912267,-29.21327788355972,-29.35020722758709,-29.465640301232064,-29.56003963605169,-29.386950611280707,-28.856035120185737,-28.23904496781266,-27.84571219541818,-27.732793143063017,-27.837266110313735,-28.130485065889722,-28.525280285300614,-28.883038663673343,-29.188217325532168,-29.573478803662653,-30.11289488902297,-30.681807749064017,-31.12102474597324,-31.407793246212805,-31.548038761082225,-31.55138936775858,-31.598805104654282,-31.968887491436202,-32.74964844,-33.7116573712316,-34.5539994621838,-35.30732396345971,-36.304720713558986,-37.69292201040879,-39.14840303437056,-40.14780351592778,-40.45315517297973,-40.25995548008247,-39.91974030662108,-39.699923234769265,-39.67162217447284,-39.65360391059467,-39.457296767449854,-39.174723171916206,-39.00765367685337,-38.979447224096994,-38.9070790294091,-38.59033505552912,-38.0390493495057,-37.481545966473725,-37.18173907054404,-37.264404552859155,-37.6082190454281,-37.834670460000005,-37.539455620780544,-36.6928118307562,-35.79772395604638,-35.47098511473758,-35.79075998391129,-36.14914821567435,-35.92066888884683,-35.17983413585727,-34.47102192246129,-34.06231650572089,-33.817920904272874,-33.70920825583114,-33.97659318871838,-34.566863471584625,-34.561762153177256,-32.59004133392809,-28.21144541464688,-22.71058241751331,-18.152348683742215,-15.760458177079792,-15.012064226166448,-14.145423155798754,-11.760923954218455,-7.912070591982478,-3.87443424
7kg_10bpm,2AB,-0.38969438,-4.513937693713301,-11.445688618592632,-19.5493774268505,-26.908351690491834,-32.25332115434228,-35.3369581537932,-36.72765814711065,-37.20889445140013,-37.25523294668267,-36.979013225576644,-36.3824309461415,-35.52905494506442,-34.542570487132814,-33.50509003124718,-32.35546967636207,-30.96262112891038,-29.378910913035924,-27.961786645014197,-27.122655536965087,-26.94347791951448,-27.11445844839907,-27.26845098899099,-27.33799425445898,-27.525061355889363,-27.93310759,-28.349283138584152,-28.463950051876036,-28.224110960360377,-27.914675310172246,-27.938911167640523,-28.496125270583846,-29.397621220192498,-30.187675528405503,-30.51148318486227,-30.395831250204356,-30.17849110712304,-30.185769626044976,-30.485671117262637,-30.949258473595478,-31.46697512141516,-31.996327433696777,-32.451120817849,-32.72609728116735,-32.854472466666124,-32.98623187567153,-33.19193589166404,-33.41340198766116,-33.58161738427014,-33.69396397151262,-33.79034637,-33.908964782302775,-34.075306450166394,-34.31962016373921,-34.69045012495843,-35.205501946002975,-35.77989273667588,-36.266071901192106,-36.574157634398325,-36.741916084179124,-36.88748748171122,-37.07704106344518,-37.28095671197701,-37.46820268466355,-37.685114523001246,-38.01116482605362,-38.44375352017622,-38.85216745890243,-39.07284243968246,-39.042804746188445,-38.84872837780974,-38.669897612469676,-38.64982027615533,-38.771130242746025,-38.85010035835784,-38.66501795,-38.121566829772206,-37.33252444683337,-36.576167909097784,-36.13008984205292,-36.05949670783704,-36.15881783258045,-36.10418904901314,-35.727602012447726,-35.229190732925446,-35.09319474954843,-35.59323419445205,-36.15748987842878,-35.30340471286349,-31.609814402557685,-25.103236863104847,-17.70536444641827,-12.002503360344203,-9.297484944735025,-8.969431175734151,-9.425020133782297,-9.2622990922624,-7.884712945383186,-5.651003981132494,-3.41069614476703,-1.70279247
7kg_10bpm,3AB,-1.19407314,-6.184257605620978,-13.383365319454047,-21.655468287221336,-29.48885657404305,-35.58812143121445,-39.3395892366765,-40.90455699348362,-40.91768977061542,-40.04917089990646,-38.72336429669368,-37.13548236610857,-35.44699258724446,-33.882723250758595,-32.630570966625335,-31.70567300174484,-30.93221295437993,-30.07030731230561,-29.001477575885,-27.82947422030881,-26.824941659999993,-26.243433733802537,-26.155206589816817,-26.443703815156155,-26.96004748200948,-27.624553780989764,-28.364349155808227,-29.03047121311217,-29.458153334815,-29.616163047253718,-29.62708743160264,-29.624374277695683,-29.668337665112258,-29.797381061252246,-30.07678168622948,-30.552885269795052,-31.162279848209863,-31.720813351053337,-32.05238900726083,-32.15677517301865,-32.22057289,-32.425949179990184,-32.75092671994841,-32.99430159254532,-32.981932943640295,-32.71662358738689,-32.34786532698373,-32.04823377946377,-31.93754175914891,-32.06337309692894,-32.36963171471307,-32.70900244559719,-32.97624356871217,-33.220657014325525,-33.598682682592724,-34.22007807906888,-35.05254583557111,-35.9683678627876,-36.81047809888933,-37.41242364446679,-37.64733074,-37.52371005624411,-37.22912219349281,-37.02350430173725,-37.054608005509664,-37.263020698140195,-37.44439612240555,-37.401494937208476,-37.096599912780626,-36.71516216385621,-36.56308494506791,-36.855708081708634,-37.5591551847971,-38.393975924736424,-39.01910246841219,-39.274072399907126,-39.268094805591225,-39.2340776243993,-39.29051878841642,-39.34237835887765,-39.20746933999999,-38.82580301976343,-38.35766180683265,-38.13658029767165,-38.50900242631916,-39.4787173645024,-40.30334319722184,-39.58395416935246,-36.192666195045156,-30.414956549217855,-23.992423695736147,-18.752298518866137,-15.26875569019626,-12.89958049334491,-10.805723811956888,-8.71938268967677,-6.908604303384624,-5.691447848123221,-4.991811240446434,-4.345176366848645,-3.37812752
7kg_10bpm,4AB,-1.59489944,-6.017359699404274,-12.667174138482718,-20.68085954016905,-28.532071493988216,-34.73923017144746,-38.497250110630524,-39.86995245646709,-39.56288046747616,-38.51510095630177,-37.504772399164544,-36.872678818999795,-36.475054664603526,-35.934338310827385,-35.0261901699451,-33.84281733495017,-32.55467819069829,-31.124182955770266,-29.40171015699418,-27.459418044453912,-25.70011082319024,-24.60851245042609,-24.390116449185438,-24.78580237090969,-25.210096470593832,-25.171572509999997,-24.67542059310489,-24.210246278635434,-24.30055953892112,-25.07490283717163,-26.224686505372613,-27.300257769317138,-28.031572251613138,-28.43041099544207,-28.690329252711305,-29.010650669682892,-29.463577071895653,-30.007870657099794,-30.60153471905023,-31.244845724728975,-31.89054225797605,-32.375721426270225,-32.50810547584024,-32.22250527780974,-31.645713642837382,-31.028703672255656,-30.610362171495744,-30.4842155834142,-30.55802134765184,-30.651377548039445,-30.636794790000003,-30.518989150621,-30.450374208347718,-30.662540927610383,-31.277002271485976,-32.15305885853983,-32.9860782569735,-33.57824222373973,-33.97983120598054,-34.369911957893606,-34.88373994204199,-35.574393349814855,-36.41731361145269,-37.30274922122466,-38.06076848346573,-38.49629642983701,-38.45556229098703,-37.93552660131842,-37.195724290691736,-36.67958873880812,-36.72541183011008,-37.35427512069118,-38.2831914516924,-39.07036779674619,-39.35030876745968,-39.01164003000001,-38.160175390093606,-37.015398509990334,-35.840897005791824,-34.839718839905,-34.05906263957382,-33.4556636751928,-33.075072532608345,-33.07105851967031,-33.41777033212401,-33.60525181181198,-32.798961167765945,-30.391366510942976,-26.283685701077946,-20.86822977638324,-15.215546023774813,-10.808520297794297,-8.403351636497383,-7.48999346561756,-7.049633858248874,-6.509940770998408,-5.912297610293577,-5.403023349771343,-4.789766848622159,-3.7269782301771968,-2.26500393
7kg_10bpm,5AB,-2.44733914,-7.702729570536337,-14.841586475607244,-22.522768449343047,-29.211640631459332,-33.808197259283844,-36.06718736570763,-36.58797044900536,-36.3453179168876,-36.06064339224568,-35.90354484567519,-35.701469135692356,-35.30854256355572,-34.70115747693405,-33.85306923750287,-32.72524725118544,-31.40519061641476,-30.153442602632566,-29.233069966964724,-28.70375037820548,-28.41075699086855,-28.159712845376465,-27.87448657600261,-27.592887502063704,-27.370035860931008,-27.227369950254285,-27.170531208807777,-27.213218877580058,-27.367801133273225,-27.62087193291749,-27.934419605109074,-28.28080820297144,-28.655895012225486,-29.04549899237595,-29.393078579423012,-29.622148961140564,-29.726399350119774,-29.834146844661042,-30.131006835164875,-30.696065624570366,-31.423076561044542,-32.11224046735942,-32.63700329406039,-32.99652288185864,-33.216559182259836,-33.26985524001687,-33.1175355574132,-32.78410596518364,-32.37723125893434,-32.054788649552194,-31.954625924708335,-32.12251449516794,-32.49739286893486,-32.97938630679882,-33.50880047097239,-34.05746621506238,-34.57830472511429,-35.00329105872926,-35.28810611328197,-35.46399569558808,-35.64438461205215,-35.95462558085492,-36.44892506285094,-37.091488329907236,-37.7861572906834,-38.38705378361522,-38.71608577680765,-38.66847585567616,-38.34567125527871,-38.03384889630758,-38.00966998162642,-38.32848647250658,-38.773027721671326,-39.021117571744405,-38.885355497224374,-38.403026665703344,-37.73387912492974,-37.03833280901329,-36.44080118464552,-36.024433853824306,-35.81164285781376,-35.765534349646344,-35.847099502117274,-36.05532619172946,-36.32396502032199,-36.325089490746514,-35.50088095995496,-33.4707784886498,-30.433203822177948,-26.94280291158095,-23.274218423451806,-19.404321194834615,-15.65862407726944,-12.844304490590476,-11.409303071330864,-10.811772020548064,-10.03855048611112,-8.573193587941649,-6.61450355105948,-4.553977204555664,-2.64151884
7kg_10bpm,6AB,-3.47949656,-10.244570761012149,-18.68491399702157,-27.222052437348058,-34.21001978336938,-38.69172707779574,-40.70424753114171,-40.96304162758504,-40.280099063000804,-39.20703376695842,-38.00231022437977,-36.69321760268229,-35.16651283335242,-33.339365313648095,-31.308770155916225,-29.3285630333528,-27.637200307320427,-26.32737045940491,-25.375958486924972,-24.742961442577133,-24.40646486543756,-24.329363050186316,-24.428359101389233,-24.605922207232943,-24.822850577562914,-25.128011278585273,-25.587345745212875,-26.176077088176783,-26.7678378766301,-27.245066659742715,-27.605552482432188,-27.948138243436773,-28.360833262995072,-28.835298533024872,-29.2930376784867,-29.677745684408002,-30.001561187769934,-30.314363824872043,-30.652212111618635,-31.010530880276455,-31.34745416382533,-31.606190625685098,-31.753246000169938,-31.811159604825264,-31.85048005399997,-31.936149688075936,-32.077431542016434,-32.23624736346882,-32.373176823013964,-32.4629271702145,-32.48511495157311,-32.42297370181323,-32.27593071141599,-32.0836357583195,-31.953975355339637,-32.04181332235719,-32.45933485360143,-33.200508415459005,-34.156235191118185,-35.18989792830823,-36.19304695789461,-37.07665632096406,-37.75284726889088,-38.15952982425313,-38.28799477727451,-38.17339560294251,-37.873590444749524,-37.45632730415649,-37.011679346896685,-36.655983471195086,-36.48772150162802,-36.535814138583525,-36.759168673676264,-37.099057183960824,-37.50662652231563,-37.91696735660075,-38.255363132573336,-38.49549867120649,-38.65563709564826,-38.711279515866806,-38.601234201801255,-38.39507891759947,-38.398720449986754,-38.916989384328794,-39.767286836183914,-40.0577114637283,-38.64962001746201,-35.12013741136784,-30.363025643324228,-25.9511240165244,-22.763184504631376,-20.414983144236352,-17.956505073089943,-14.913566778271774,-11.631794464966653,-8.775123978600396,-6.690986759137116,-5.275229810225236,-4.258052442275745,-3.4427932221648647,-2.72156006
7kg_10bpm,7AB,-2.23877203,-7.864706513258686,-15.604525161450212,-24.125549408943712,-31.53179780891532,-36.4522393299906,-38.82172844054495,-39.61440404610484,-39.806781543407354,-39.647949429623544,-38.90833794352542,-37.59140158169084,-36.11859095936211,-34.77040147341347,-33.27346992788588,-31.24106506684833,-28.894710020213846,-27.018979884528328,-26.11769353619195,-25.83579831289349,-25.391801157327983,-24.489010368007836,-23.598716918313396,-23.35326239653197,-23.850101579728918,-24.60251096645305,-25.089804733872505,-25.251231554349182,-25.446640278768275,-26.055480544204393,-27.17988527254887,-28.648265754158498,-30.17523223703352,-31.490316109816977,-32.4109749893949,-32.90255621398275,-33.08299282086422,-33.12083081505245,-33.093467975174185,-32.935844102796096,-32.52621657157451,-31.842222762498086,-31.040784195371344,-30.343079918592682,-29.874015904566914,-29.651942777938647,-29.663641995305454,-29.866430949154523,-30.145515243696032,-30.373842026039544,-30.53955063024635,-30.752456034562428,-31.12537927882381,-31.678948836755314,-32.33705132297951,-33.019058878885325,-33.71968236345608,-34.47532830624144,-35.28540642680418,-36.06848267296024,-36.67348423485085,-36.95385717053302,-36.85973318096366,-36.47969245223551,-36.004195285287686,-35.687358737788244,-35.80961700901109,-36.53399016340798,-37.7422956990736,-39.042117934732694,-40.008016573943756,-40.45925698069325,-40.49911012466702,-40.389629840027276,-40.35615601454029,-40.355786559857016,-40.114498996296824,-39.4662832843463,-38.55989998174508,-37.6992852006614,-37.04489607575614,-36.53869967443591,-36.0741710565038,-35.64388760166671,-35.28839308163021,-34.89300833197345,-34.05288478324869,-32.208201151432,-28.93624787317298,-24.36141387099802,-19.585420653351616,-16.07724196961909,-14.134287841541331,-12.674038387632505,-10.646297681387281,-8.02299103738937,-5.505890155989647,-3.7772223853470765,-2.964374812154917,-2.586199733727445,-2.04849927
7kg_10bpm,8AB,-2.26876157,-8.526763334012587,-16.597108639476858,-24.86210172327841,-31.727870318815732,-36.38947983007412,-39.02314989950614,-40.32225457916381,-40.813058515117575,-40.61404172140649,-39.72996500360856,-38.29131547893031,-36.43738626719479,-34.231442727649764,-31.86523635361309,-29.76038106548535,-28.288395769774027,-27.446652759133023,-26.904448159920786,-26.35067372141483,-25.743702426263884,-25.213866615666866,-24.83476296663368,-24.593955859586558,-24.515327322967444,-24.66432928,-25.024451986998102,-25.4436825237921,-25.7457163429745,-25.89128614877346,-26.02669851908349,-26.365640582143268,-27.01724902353815,-27.925523696374196,-28.93512172494068,-29.888080130645896,-30.693939724998682,-31.353651052873435,-31.903380763827847,-32.30612124318332,-32.43911994861038,-32.215792208016595,-31.701874500715434,-31.09685060826871,-30.607929333959337,-30.366950048143952,-30.420627538959305,-30.69968670567712,-31.005333573475937,-31.101031333771946,-30.882369429999994,-30.493015385617607,-30.296439306742744,-30.686965231186214,-31.802754308881532,-33.36363096106649,-34.83337680301413,-35.796754535730315,-36.19784996425218,-36.22988279234651,-36.097989548109275,-35.9747570091984,-36.04269828091708,-36.383061277977724,-36.84473124007007,-37.165787010526145,-37.25889813035128,-37.30340066782505,-37.557270315739984,-38.12409250247994,-38.84410562996034,-39.380730000239815,-39.4801676879664,-39.201486389326405,-38.90262327660837,-38.92661257999999,-39.26978828753091,-39.59510854692474,-39.55788332401717,-39.08021785989483,-38.33363789382813,-37.54877970298397,-36.893979329254925,-36.466022291531026,-36.22732045876402,-35.91646774927871,-35.140565182666386,-33.61795997824499,-31.28043973087771,-28.13824113856877,-24.304641999620834,-20.312564959753388,-16.95638597302217,-14.594980041730325,-12.981385331641532,-11.720969158521239,-10.482345790556872,-8.879240374198586,-6.66305071994183,-4.088998116293873,-1.83170077
7kg_10bpm,10AB,-3.86295789,-10.723233044307223,-19.836131698326387,-29.229924372473526,-36.546521480170675,-40.509268034075696,-41.63060083937816,-41.40909715211619,-40.84251182799857,-39.887115125053306,-38.11799122574468,-35.51254084155721,-32.60235616854545,-30.120977558107583,-28.4707147262968,-27.418181074980218,-26.48318657348922,-25.542486864537125,-24.858183736774187,-24.654901698031644,-24.959608914003027,-25.69390700557415,-26.823520121494063,-28.4038424270125,-30.380212136981935,-32.49561632000001,-34.475278202900206,-36.079716404648316,-37.04720515817773,-37.21380218163543,-36.697843098020925,-35.8548273438652,-35.05236153034652,-34.46288581746496,-33.98718192040772,-33.452425292106795,-32.897191111040215,-32.5461081229066,-32.48907539034054,-32.549801435175105,-32.482478240777354,-32.15317608621606,-31.62383802375724,-31.143677045344916,-30.97103718438025,-31.118742916751103,-31.380909989824676,-31.714657528501508,-32.30421559476446,-33.115421548743505,-33.77429336000001,-34.141471038245456,-34.6823557425743,-35.811832222074685,-37.16198285325768,-38.0362635462462,-38.21583788509474,-37.917281306881314,-37.3846870836297,-36.817974527282146,-36.40399063162793,-36.321894891520635,-36.71251853679502,-37.40999740969388,-37.88798634370616,-37.73803087482306,-37.0802398346171,-36.52672498997862,-36.680698442270796,-37.520562418152494,-38.40243110563687,-38.75095001388654,-38.69060443888287,-38.717168807790266,-38.86736792557186,-38.778488870000004,-38.507096138583464,-38.622283367391624,-38.99829798554629,-38.001357536158686,-34.01109816604665,-28.162704023082473,-24.038009283954217,-23.462104617195646,-24.684058038594284,-25.2116860792055,-24.295361934715395,-22.563301237191496,-20.560308756102728,-18.107042032055556,-14.821090565710486,-10.998186656401275,-7.869630825643333,-6.411994761317297,-6.028140318901396,-5.323997154557922,-4.048855063711535,-3.316804213990564,-3.8241798668016345,-4.777729591457972,-4.86162695
7kg_10bpm,11AB,-0.0787117,-8.479890600879713,-21.24770738597111,-33.80965184162805,-41.51089630505601,-43.53523054824022,-42.450680538574325,-40.68999621554381,-38.85885477295498,-36.86171308253901,-34.88399249635774,-33.02146676333882,-30.94632830533614,-28.512432017929374,-26.333775958340347,-25.11716369727918,-24.806027795528927,-24.887852390534867,-25.178262951807408,-25.791777497018742,-26.55486624233902,-27.013089656664892,-27.0894213434387,-27.26453533591651,-27.93387134765735,-29.020119165905754,-30.27457973376909,-31.54511785923531,-32.71328015626693,-33.55841107533946,-33.86624500727201,-33.70827357469021,-33.36562287851741,-32.958346309045346,-32.425217468711665,-31.74934562546549,-31.0367815750293,-30.49000974420348,-30.273535198317227,-30.32306236144337,-30.440858365748127,-30.592724935673335,-30.992248058483934,-31.82592916821568,-32.96828728790928,-34.138862085643794,-35.20536167515499,-36.190702050167104,-37.071734819372445,-37.73005198510647,-38.1120303829174,-38.32544298425105,-38.515808818034316,-38.61402765474339,-38.361525183990985,-37.75937533680628,-37.203953909194006,-36.982079064696826,-36.94930045805706,-36.851115468376086,-36.631112567782736,-36.3519060902319,-36.10566506660699,-35.97528499338625,-36.03847535815918,-36.29318795202357,-36.4048417531014,-36.024174479364426,-35.32050885886292,-34.83071486310315,-34.901494049885386,-35.37538385182842,-35.873309737500044,-36.183841724150646,-36.32795590233724,-36.471673631120126,-36.65419559886288,-36.68299322228574,-36.540640389390774,-36.58053214915566,-36.778723788365696,-36.026639100422464,-32.99780877401092,-28.1746293220238,-24.196087462913823,-22.863944586531876,-23.15562886677715,-23.271675439351156,-22.566506719675,-21.050315868074165,-18.693279324189227,-15.6101339987998,-12.193280814635385,-8.990013548601892,-6.70969178280538,-5.784852395320654,-5.669922931680901,-5.247836559649208,-3.985039508589569,-2.328603732794334,-1.06457683
