cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-2.29216274,-8.667294539816028,-17.450545066511356,-26.75752030625521,-34.38331644823358,-38.97040208558087,-40.61753754737328,-40.544539851282224,-40.083515541167365,-39.8572889038883,-39.73612839718526,-39.31517429352273,-38.37599454945699,-37.03206965106824,-35.57692496295331,-34.26158550295165,-33.21889782442654,-32.51128177493853,-32.159079612857965,-32.135854435224175,-32.35832195289241,-32.68863391497862,-32.98620629284087,-33.19146586281702,-33.34320842071263,-33.49123437846327,-33.60358733536089,-33.58359094420958,-33.384714600227376,-33.10208307509695,-32.925658648997924,-32.97458640775549,-33.17166938269656,-33.30177789655598,-33.211383503159055,-32.94661855430536,-32.67536962503593,-32.48513480652178,-32.31855226282311,-32.099225003441724,-31.84873289282563,-31.663250513783343,-31.59165942480563,-31.561027220840703,-31.45586937389806,-31.25423642193195,-31.05876779359127,-30.990078832904956,-31.058910398208756,-31.147545784496888,-31.128403490507097,-30.994860970883085,-30.863510076904745,-30.87630288919688,-31.115812062161115,-31.574819551970606,-32.16294882263229,-32.76295164507697,-33.29893379601226,-33.731756797492466,-34.02033166041937,-34.139076135253916,-34.12760184105439,-34.06573146185053,-33.988206420218745,-33.87107945186424,-33.697862880686,-33.48851111608736,-33.2568488204633,-32.98376102561252,-32.66579960270288,-32.34982041926513,-32.087319806499686,-31.867555080277302,-31.627622350857674,-31.322176426957057,-30.954810252769956,-30.570691688130218,-30.269972789976475,-30.212570010147708,-30.50719564127789,-31.02945081882803,-31.422389770839498,-31.3849077526587,-30.96749133247698,-30.558596524674055,-30.613772379540876,-31.32515204357658,-32.31374819799577,-32.51815840868449,-30.67279322262839,-26.457488198199737,-21.373722661849982,-17.915946109356447,-17.26546874588647,-17.99771424107089,-17.425729876466715,-14.203120681984261,-9.462490844716665,-5.420436778747998,-3.27966223
7kg_10bpm,2BC,-3.35022343,-9.645649453237416,-18.101338062540954,-27.31138348662361,-35.46618350135017,-41.203298766507565,-44.170374528019494,-44.93980065786171,-44.45961955211309,-43.50463216448445,-42.47430135654523,-41.48514112432676,-40.52486613141357,-39.55906436060257,-38.5915907123571,-37.66940173491618,-36.84300287294209,-36.14030404429709,-35.569155399989874,-35.12265399034468,-34.78787268001729,-34.5570147043686,-34.422236656791256,-34.35537106690449,-34.2962486922027,-34.169088123116076,-33.91777879934963,-33.53140668772927,-33.04379967651701,-32.51859970994536,-32.02644819429134,-31.61302362287181,-31.27968551164715,-30.99872378756499,-30.744015775210837,-30.495118082331896,-30.21653501913898,-29.869271177935502,-29.472349091632804,-29.134938806472483,-28.98131804596305,-29.022222453983083,-29.120105043862974,-29.09833899297867,-28.881544074825545,-28.532553427698048,-28.172968568997906,-27.887930134114086,-27.7038075435315,-27.62893020346777,-27.691206828322564,-27.92889114424823,-28.34892508995336,-28.898223071067168,-29.48009447984273,-30.00109126108288,-30.405665368497687,-30.68823907105092,-30.884004161117083,-31.03853544362896,-31.17786570889924,-31.30912693830651,-31.45691006581425,-31.683795598563382,-32.05863617408934,-32.59257792017716,-33.19538560691706,-33.70740091512415,-33.99802713202065,-34.050799404503096,-33.95351511537871,-33.801998765402786,-33.620077042776934,-33.37758022143587,-33.075965056691345,-32.79194355569446,-32.619059360188984,-32.57832265336001,-32.61321617745592,-32.66746131752177,-32.74111658932117,-32.88199927841164,-33.168570578925966,-33.69254440901291,-34.44667919314346,-35.08457699306112,-34.76677532537643,-32.46621503134848,-27.820407449920403,-21.910365502500557,-16.92115734697004,-14.521396175329274,-14.533282234971141,-15.29334915809017,-15.132307443150582,-13.521077268382893,-11.044712030778818,-8.554288231506883,-6.507190300902663,-4.964225981719315,-3.84801297
7kg_10bpm,3BC,-4.36843059,-11.211933423734035,-20.02877622646516,-29.131510883501964,-36.60962789167871,-41.29138350042217,-43.25367349436843,-43.49041539898983,-43.06477070653313,-42.48929041900512,-41.74755468106231,-40.702784581374914,-39.398785885107245,-38.06317479216601,-36.95521941499818,-36.23400894520308,-35.91371990763482,-35.893013471882405,-36.024300227559216,-36.174630573112076,-36.24890308999999,-36.1875700100541,-35.956906158363,-35.54273544996923,-34.9638760957968,-34.29176684338959,-33.62955421215024,-33.050829328070975,-32.560403809589744,-32.11457529529522,-31.665893571557234,-31.1892931019975,-30.685693944634462,-30.181742504986186,-29.723975510238407,-29.356018209711614,-29.099201866846045,-28.95641257538488,-28.91996368895103,-28.963831173599754,-29.036712639999998,-29.08101174791532,-29.069704127783954,-29.018975378899654,-28.9592314432803,-28.908823286918643,-28.885524846661774,-28.9208306370185,-29.043722223611557,-29.25883859307709,-29.54746882955668,-29.88672516634849,-30.264425743581878,-30.674200558605666,-31.09630125122245,-31.48661307892206,-31.798153022187226,-32.01759671867013,-32.174222155468236,-32.313551122609816,-32.47176670000001,-32.668801763126794,-32.903054951931395,-33.140867582099084,-33.32350753743696,-33.41606112454081,-33.45582654512232,-33.534366767921234,-33.71497428207684,-33.96668494715035,-34.181376739501175,-34.25254953712437,-34.14772562746001,-33.92299532426132,-33.678978787374106,-33.47701583359098,-33.28392873303741,-33.01944941398149,-32.67973108770239,-32.412591234341136,-32.44291745,-32.86446245091727,-33.448157581334726,-33.65208422208829,-32.91078870402034,-31.100943942342013,-28.809590279831838,-26.937793941627096,-25.80085941649344,-24.694021746778724,-22.515529033528406,-18.847945145985967,-14.378166201197326,-10.257455504236889,-7.271557643324303,-5.65529434624682,-5.243957321502349,-5.501511939489492,-5.61598716561845,-4.927392093592263,-3.40892041
7kg_10bpm,4BC,-3.45260422,-9.928408745100864,-18.44031114720101,-27.5898223997317,-35.56591899329898,-40.99784328216872,-43.56697263441689,-43.95614535553977,-43.2250014058289,-42.17978323039151,-41.17385825175623,-40.24250005746961,-39.30400737102528,-38.30849874866138,-37.309212416761426,-36.432067760818725,-35.78192058199307,-35.38220304420811,-35.18741157977145,-35.12852750616524,-35.14065677139526,-35.16291711755941,-35.13242869271839,-34.9918589754811,-34.71405486454478,-34.32671569,-33.89894408960379,-33.49314138548956,-33.124176024792646,-32.757359388215285,-32.347546866232385,-31.88189062331879,-31.382071969697794,-30.882600568696134,-30.42435997274332,-30.051024061897873,-29.795975401148116,-29.674676121189684,-29.68655973101042,-29.80956654103391,-29.98382856968732,-30.103735559180105,-30.03979296371853,-29.69529348038836,-29.074950938499693,-28.309888914613385,-27.608165561716213,-27.153108495677074,-27.006532092953645,-27.089519683329186,-27.271047270000004,-27.4911035694515,-27.79236482683975,-28.23235171377478,-28.789869467695404,-29.372619838397384,-29.895955571814245,-30.338501112665842,-30.73904220548265,-31.159220996679657,-31.648923998584657,-32.23174302958274,-32.90416250205523,-33.63682006387396,-34.3664307983903,-34.995351928704196,-35.43293200792297,-35.66749323045284,-35.79114336251477,-35.9211189523922,-36.07027135423186,-36.114125037581836,-35.916841833118355,-35.49370841867107,-35.037509375099525,-34.7786075,-34.80280183937757,-34.96867134002506,-34.99957704214292,-34.688495839194154,-34.07844168995052,-33.502715760121205,-33.420264521413884,-34.07007120932052,-35.11832092713603,-35.62354082287564,-34.561527008359455,-31.68321542075814,-27.963248822382763,-24.959691639305554,-23.416952556646855,-22.55087934282769,-20.870906680935914,-17.651753922337935,-13.529683935951745,-9.76106739380429,-7.154212449855125,-5.719454954869951,-4.960097636162142,-4.272188383577004,-3.2737148
7kg_10bpm,5BC,-2.9811247,-9.482038824567177,-18.007510054307907,-27.057575369759324,-34.81420991102016,-40.02625450942612,-42.52549565332201,-43.02391684138535,-42.45988356022767,-41.48121706851279,-40.372161503115834,-39.23982705194195,-38.164066551463144,-37.22559508494455,-36.48475283230627,-35.97166436229117,-35.68205797468923,-35.56014870561045,-35.4990564237524,-35.40028876803859,-35.252448031809834,-35.128984370243664,-35.08450474580841,-35.06936131387856,-34.972551017591854,-34.74350540414004,-34.44147072545761,-34.14769225623061,-33.85701045698515,-33.496131556536035,-33.041444637459655,-32.58004797607128,-32.233888738060635,-32.022664362712426,-31.815256851866543,-31.44865240534161,-30.89616594592479,-30.302453338808697,-29.85807991459613,-29.658416150671957,-29.660290981998905,-29.73581131790468,-29.768904697242494,-29.722270817292745,-29.638695094164817,-29.600787782029062,-29.67202453532746,-29.8401146122306,-30.011713697757916,-30.077577309522535,-29.998266460579416,-29.84730887716985,-29.77360041461146,-29.902700433468382,-30.25735806356652,-30.758631113891518,-31.29246700627884,-31.76702944474557,-32.11755188296607,-32.29421300910799,-32.2801830327657,-32.11983494125909,-31.909375675745746,-31.750325148870804,-31.703761363314896,-31.771713608358265,-31.91305269719536,-32.07042134930101,-32.187879988127335,-32.231013836754954,-32.21472494363676,-32.2149975441971,-32.33185885195803,-32.61410255448048,-33.00395926595615,-33.371503691823186,-33.62566758319112,-33.79271346710955,-33.97143740939847,-34.21012754055656,-34.44969363640566,-34.595335249040076,-34.63455050035347,-34.691025100841976,-34.975151108565356,-35.64132516330484,-36.56227431282878,-37.11971655161387,-36.27470963040125,-33.12285983775869,-27.699623428837466,-21.324235373964164,-15.940268156682622,-12.839416853029766,-11.902611829554356,-11.955734476328157,-11.738899011092245,-10.646499453524784,-8.822132613939434,-6.76151928263243,-4.85380008
7kg_10bpm,6BC,-3.69009563,-10.528977645599316,-19.913355835555127,-29.860419246721253,-37.9720723849833,-42.68942362375045,-43.991062860770015,-43.12280051136955,-41.61693741217449,-40.41324451109389,-39.67328580022368,-39.13468595628585,-38.535919617244645,-37.813106119564104,-37.06554152331987,-36.44954955394911,-36.09487132264058,-36.042574327761514,-36.20218970041801,-36.389350811104215,-36.44207951363376,-36.30374487471168,-36.0096095146548,-35.62970753807736,-35.229028700612396,-34.83580891649641,-34.420342577141014,-33.9208613051264,-33.31393616410424,-32.65963297413025,-32.06374650531957,-31.590331067033823,-31.207698106435632,-30.822688542302693,-30.368534412861628,-29.86517377769077,-29.401725047177052,-29.060871619161244,-28.85144902952372,-28.700178475924332,-28.51355556541612,-28.264030954316333,-28.02818511634841,-27.93208680788083,-28.036105575438,-28.266872834025072,-28.463092209592787,-28.5033499902525,-28.405447246137623,-28.3041421770397,-28.33139054390453,-28.51877740361293,-28.81503571599388,-29.17767829622525,-29.612664411667176,-30.1136506939866,-30.607259283127885,-30.99386952871178,-31.23224244268435,-31.373999709653383,-31.526260529417648,-31.789959017275006,-32.224220546953575,-32.835125620520344,-33.56085778636321,-34.2647282237135,-34.78413488177023,-35.03804372062116,-35.07977356260554,-35.02616779261772,-34.96673939968885,-34.937182709667766,-34.93959097216463,-34.96960796845166,-35.031741605850186,-35.13443864451313,-35.28007441160485,-35.45558106675927,-35.61195078773704,-35.67004514801243,-35.60434404342315,-35.5553901304586,-35.78537755200445,-36.34825231013539,-36.67014005270491,-35.53596707189863,-31.862484620653166,-25.91155069392,-19.726536444751794,-15.774576307122278,-14.810424074953822,-15.387437877442025,-15.458945799777636,-14.153470586438957,-12.12013380413151,-10.534648859640713,-9.895305806915486,-9.621337285453313,-8.662630642606103,-6.508292311025934,-3.66673725
7kg_10bpm,7BC,-1.79747175,-8.425651913488885,-18.15119051,-29.11415631877603,-38.4820432,-43.93095245708513,-45.00630614000001,-43.21637915135304,-40.73144392,-38.92762835371901,-38.00489671,-37.53143679304376,-37.07261285,-36.49078236624042,-35.91636412,-35.53463649501705,-35.40809549,-35.45226385538014,-35.52090724,-35.48945211522464,-35.29193683,-34.92136964731012,-34.43248381000001,-33.935135468018515,-33.5306516,-33.22436639592334,-32.918755950000005,-32.51998213878438,-32.04327035,-31.59702955825881,-31.271128419999997,-31.055666167355717,-30.86871474,-30.654656710429553,-30.43865936,-30.28323877694967,-30.218936200000005,-30.221277943940873,-30.247196830000004,-30.277127310868913,-30.30580948,-30.32033370799933,-30.31861318,-30.342659730723884,-30.450198730000004,-30.642981128624125,-30.85603271,-31.031615118756733,-31.17857038,-31.346004563647,-31.552442180000003,-31.750553551150738,-31.8767916,-31.959874078905468,-32.15605266,-32.606181742556636,-33.26357654,-33.910092460862344,-34.32825633000001,-34.43318409654111,-34.29271724,-34.08273388204236,-33.98593453,-34.07326678697008,-34.25531161,-34.362619125511756,-34.30703763000001,-34.157498168911275,-34.04571797,-34.0574089192905,-34.22052098,-34.51080736059105,-34.84914877,-35.154274867605814,-35.40838757,-35.62994085075359,-35.79101032,-35.81043566314944,-35.63773015,-35.32431038781871,-35.01029511,-34.86505609901217,-35.02773752000001,-35.50603124291152,-36.05827094,-36.15645352383782,-35.11862124999999,-32.51230096331872,-28.694183080000002,-24.811919898450963,-21.84895494,-19.715760115032733,-17.60060424,-15.019908447635023,-12.28008501999997,-10.156799266253236,-9.191313399999999,-9.042415016855259,-8.56357706,-6.800502395442543,-3.97356308
7kg_10bpm,8BC,-0.79269456,-8.022957729245961,-18.263401621630265,-29.075036945131565,-37.43383652912771,-41.70673811838211,-42.5107878398986,-41.68910053346594,-40.68416788008859,-39.89395263588717,-39.11302329242717,-38.15556216965119,-37.095323974871114,-36.18541025303362,-35.65219778860889,-35.49587876368103,-35.4697765260036,-35.29806612499333,-34.918002192897106,-34.49636225864819,-34.24908572354845,-34.26371124000295,-34.468477958068895,-34.710674437854266,-34.822631265115476,-34.651896874255016,-34.12168019861137,-33.310966421618545,-32.43926646992446,-31.742103492227088,-31.343436227773804,-31.226001134358942,-31.28454228136727,-31.38740004519808,-31.44095772887566,-31.42751685463232,-31.37547776443782,-31.31044130007994,-31.24621705878585,-31.188582284785934,-31.12149230126155,-31.019152054001502,-30.894733171769623,-30.80590795798811,-30.795415131490554,-30.856121151675463,-30.958432329502614,-31.09324273874879,-31.26294432154902,-31.428458766927445,-31.48681313,-31.333967889888218,-30.9778857799128,-30.55888859395312,-30.234278714716353,-30.074551641782573,-30.072139141128034,-30.203012500869782,-30.455443646213347,-30.820715871830725,-31.28699553700583,-31.842279236773894,-32.47133321756083,-33.12936326369653,-33.72094419736345,-34.13941212186571,-34.331855442966855,-34.3142589703712,-34.15594488908988,-33.96531906089468,-33.841421154915054,-33.8019878386273,-33.791902469500585,-33.78274546177204,-33.81349913104679,-33.91567668172986,-34.0651907360002,-34.18473478039954,-34.15434819598568,-33.889664745817754,-33.446341788568645,-33.05949855550925,-33.07444012382103,-33.702472483450066,-34.70309446233802,-35.301232337468655,-34.57388612243393,-32.237056161151244,-29.20524754674699,-27.027578866903124,-26.386608334476108,-26.34637453135511,-25.30019838186451,-22.535668439903162,-18.780786326102376,-15.299371960329944,-12.65008039433974,-10.404706985373787,-7.904342014753084,-5.071054508825195,-2.4560048
7kg_10bpm,9BC,-1.34089679,-9.014919118386013,-19.405787667695538,-29.94863451005318,-37.655118859742686,-40.98606054233471,-40.75080584578209,-39.14284311420921,-37.88175811626773,-37.387675609103,-37.26003792797783,-37.03047457892253,-36.55055133381778,-36.012685866781965,-35.703520937308284,-35.68776122715492,-35.75070957717449,-35.638624783198225,-35.27219824311384,-34.73821716838507,-34.187211464439166,-33.75442304626965,-33.51413665859494,-33.457498586835435,-33.50764360029836,-33.58760469237184,-33.67585106270148,-33.76859163980252,-33.81528780351479,-33.754801502009535,-33.57242192404887,-33.28717592387283,-32.94789314210202,-32.65114898782738,-32.50312249483048,-32.52418766553184,-32.593114581851765,-32.532973877904595,-32.29772990752114,-32.038899789032854,-31.92221254612977,-31.943479747708235,-31.969964064396056,-31.88836651799809,-31.709135395310756,-31.56713800317489,-31.592028831650342,-31.80690197770447,-32.14742748488127,-32.50609025711747,-32.775908507111225,-32.90180306538052,-32.90121278316028,-32.8560456053655,-32.85857988582877,-32.935852417569855,-33.052456069128716,-33.15869303200087,-33.18677242332387,-33.049496706437104,-32.71176962524027,-32.28487280880255,-32.013380771181,-32.10844596953787,-32.56412959696455,-33.13941152894944,-33.530643864490266,-33.6024737845687,-33.50232713397723,-33.50332033748464,-33.708338684146185,-33.98794820104676,-34.2137528352517,-34.43659756759119,-34.7442620871616,-35.06473722125037,-35.24514156269856,-35.25572355148792,-35.174895200834364,-35.02723928124319,-34.80486117340217,-34.655895320174984,-34.89722751935191,-35.64785703833094,-36.36992532860116,-35.862654298752986,-33.05363034706894,-28.296085125210126,-23.67280772354309,-21.065787519367493,-20.088645598452786,-18.87978775466423,-16.37287648764462,-13.001611393764744,-9.88912677365859,-7.895986270596204,-7.096167508443874,-6.787510484401995,-5.994568223439263,-4.281773405667492,-2.16817899
7kg_10bpm,10BC,-3.68688356,-12.935790267412868,-24.39599922773985,-35.24773341105614,-42.68630324841395,-45.49879388119435,-44.59416534430331,-42.034431236367155,-39.59700104398306,-38.058677149181804,-37.302325973286024,-36.804501459235965,-36.161172664217396,-35.34755443294457,-34.59740209236683,-34.12093024129632,-33.95003841801726,-33.98405390555216,-34.12708357917339,-34.356570279720174,-34.68078022987349,-35.07625840912878,-35.4665402276184,-35.73903601795264,-35.785149000853615,-35.55037532000001,-35.079228384894165,-34.504484485469426,-33.952217001386195,-33.45137173700034,-32.94827994175016,-32.39574615132133,-31.818866432939572,-31.287604090696984,-30.833298357375444,-30.430912931497,-30.05932340619138,-29.742923511927163,-29.522201770889314,-29.39242218877023,-29.288119764489206,-29.147866761957825,-28.9724546341899,-28.80806679952875,-28.707793612900957,-28.72738217157048,-28.924851200664076,-29.31993048348793,-29.84534058454605,-30.35582133647712,-30.71403825,-30.900059149106674,-31.036058621005278,-31.290722334945112,-31.743147681420933,-32.31916639576963,-32.858852261072926,-33.24943652737307,-33.497420992601434,-33.68947370718839,-33.9082293089031,-34.18082922673901,-34.46563822815689,-34.665462916595665,-34.67134966200041,-34.42757003288507,-33.985389326947434,-33.504817566567915,-33.1884289800211,-33.16856307661854,-33.42460298967727,-33.81164048251267,-34.16783976803819,-34.40300669349369,-34.521458343114155,-34.58186236,-34.629379491543425,-34.67291074493268,-34.69181915493192,-34.625817498075364,-34.392935479751614,-33.99137150069552,-33.604996057645884,-33.5533860507022,-34.01986171606857,-34.71435314746262,-34.785602511329294,-33.231423463773424,-29.687615625058047,-24.8940382832936,-20.14086305320512,-16.297477430656706,-13.661003851778675,-12.293931014464041,-11.927954021496502,-11.916238736447314,-11.65934437858136,-10.839779892908991,-9.282693245677915,-7.038990959731656,-4.56579792
