cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-3.1405829,-12.703360389691607,-25.819802129759626,-39.38651504948515,-49.77485919425414,-54.93514082398978,-55.43329256037257,-53.59635870931359,-51.708776439981555,-50.81535036517849,-50.71126814318832,-50.65384273048296,-50.10600199058783,-49.08257024789768,-48.01511391581564,-47.335369960450976,-47.10473411504652,-46.96556309926769,-46.45993029829893,-45.4222357002986,-44.045098386413514,-42.57331420110643,-40.99842747991828,-39.1119165400443,-36.865817696761454,-34.58945709,-32.73103177715316,-31.424923201052625,-30.439595091884627,-29.51852374291478,-28.624395654205973,-27.85342248722651,-27.252941278231354,-26.76401200219716,-26.282550200638724,-25.738562845259562,-25.13654895209241,-24.54684251675063,-24.042955711383907,-23.637128138427716,-23.282414207895993,-22.931339698019865,-22.582182100248133,-22.280414320347035,-22.093417735643683,-22.062819518673958,-22.171678058425417,-22.38430539475508,-22.699377096779152,-23.14619073308428,-23.73988585,-24.423263074665485,-25.046274709700526,-25.4644357488714,-25.72890066165447,-26.1196095041164,-26.893145978474145,-28.015836249328547,-29.18842173030472,-30.115349373761312,-30.736505109267576,-31.22775791003566,-31.778299537258412,-32.3520674372531,-32.71968434224867,-32.77330464345278,-32.71823571727923,-32.89300537983211,-33.44384997598471,-34.19103863681765,-34.80877393025669,-35.10669096569644,-35.13736292834203,-35.08800360297739,-35.10864349205443,-35.24418341,-35.48967110329107,-35.8447903679927,-36.28486850439531,-36.70313884216076,-36.902981233364606,-36.62013302832632,-35.54313874927467,-33.44942673373917,-30.59779754806725,-28.009380300068393,-26.936820517477127,-27.648528280540237,-28.771464997395846,-28.058175574664137,-24.096337137582662,-17.644133852379525,-11.329853203041505,-7.558032400559349,-6.6273136987105845,-7.10343235721021,-7.517469745002517,-7.238208503016958,-6.179633620510627,-4.4763896447445495,-2.55345391
7kg_10bpm,3CA,-2.19240265,-10.805566082601148,-23.509015519970326,-37.662819606781945,-49.64580827516825,-56.87721820538119,-59.118486498096296,-58.021422713156696,-55.66267355758503,-53.4544805136326,-51.901442429483,-50.88336331437163,-50.072351029317275,-49.241385916349856,-48.3607850081671,-47.51315388603244,-46.73467736698785,-45.91509709119924,-44.8526395810832,-43.43598908674405,-41.78297815693274,-40.18146311691727,-38.876827743508784,-37.89379916292562,-37.02833799501936,-35.99666781,-34.610225973990055,-32.862068285887354,-30.89356464673534,-28.89720094927029,-27.046996183321404,-25.49364638962544,-24.367486699368136,-23.73463593758762,-23.53850289062644,-23.609947084134554,-23.773964459259258,-23.954686971839564,-24.16956124673592,-24.43321052393457,-24.68748219583313,-24.833985026094496,-24.816566033873308,-24.66854789337488,-24.49281194867786,-24.391050980741767,-24.404973556876648,-24.509998163814195,-24.64554904470422,-24.76105049657213,-24.84803149,-24.943821346024738,-25.109447976809285,-25.373337870698688,-25.682317778229173,-25.93942223834392,-26.110743362847654,-26.263297109883823,-26.472504752790453,-26.734024666553267,-27.011017993527528,-27.344288285473965,-27.842450618728943,-28.543099396083544,-29.332607910587104,-30.03876866474643,-30.599438746638466,-31.111800916223203,-31.696315890043714,-32.34726229682899,-32.95432774640976,-33.43996356488447,-33.83636533079811,-34.24593966528377,-34.736536652386235,-35.24884092,-35.60671019705184,-35.65212561488288,-35.391958507582395,-35.00618588148458,-34.702065079993694,-34.55111811024895,-34.43183183868175,-34.090243969724604,-33.27175254313844,-31.88705316214349,-30.169956172134498,-28.693944371798498,-28.047976615015767,-28.249897982186173,-28.426709472536437,-27.223974315600216,-23.762794822202526,-18.4569254223954,-12.945360895429692,-8.90789416545026,-6.804109687617111,-5.9179342765333836,-5.361952702680241,-4.738352326434528,-4.02181553
7kg_10bpm,5CA,-4.66147701,-11.871141728847364,-22.144108006311495,-33.850224487253335,-44.23276582934811,-51.038210538013274,-53.78398836706128,-53.59916424239523,-52.07570122972532,-50.35023015684644,-48.902683940150105,-47.7517010105374,-46.73584929659939,-45.73542625547221,-44.70812202097146,-43.58438376500982,-42.23572492946973,-40.600853126483635,-38.812781164365504,-37.14046608100858,-35.7422813987784,-34.49348247981933,-33.16389595219599,-31.71223123093809,-30.29632137668131,-29.08905725014939,-28.178190857864053,-27.561656328154683,-27.15319738429798,-26.839229359610545,-26.593435614272497,-26.51235143806026,-26.670552661486624,-26.950605177559527,-27.090723414034183,-26.935538613865738,-26.536543227347934,-25.977521203945876,-25.293987847074057,-24.5923186102728,-24.053693523759474,-23.78862097742628,-23.770254710326643,-23.89714901771647,-24.064502240857326,-24.21503153769428,-24.354020151921993,-24.505459298697943,-24.688096483520926,-24.966212898975765,-25.448598697594466,-26.14788006902641,-26.85749500736732,-27.315474245006627,-27.521300917663314,-27.756084023396344,-28.26172865523307,-28.972034413932445,-29.601482868675227,-29.962511761146217,-30.145865855120885,-30.37522939397306,-30.79880751165495,-31.494964406643962,-32.47141779109489,-33.52915013152948,-34.3314990142777,-34.72210980374067,-34.85935810030274,-34.97178461608811,-35.041926054712356,-34.90033697291348,-34.607531068033325,-34.48788205823739,-34.750126147516696,-35.2331505330811,-35.58557803552154,-35.63428196772884,-35.47124796198674,-35.21191859503386,-34.879611086661825,-34.518121852211216,-34.195668479165704,-33.8772584497093,-33.468340349210536,-33.01991942474872,-32.72205802638712,-32.600928775244476,-32.35790728655301,-31.655857178636868,-30.44981112584737,-28.794106538698255,-26.33928628246501,-22.43449174450418,-17.235468733543815,-12.324361552656383,-9.170370483543788,-7.48774097903159,-6.012150021653887,-4.101685016142874,-2.07662519
7kg_10bpm,6CA,-1.61234477,-9.431466330924373,-21.982529453768088,-36.569533796031344,-48.84184574268275,-55.50753476945805,-56.38877307712973,-53.933406027698084,-50.974146638752515,-49.054086765559,-48.27648604676946,-48.01528788062139,-47.6532140561676,-46.955923930801504,-46.045211505448435,-45.13603212093977,-44.28102895850809,-43.33382532711502,-42.132918781393776,-40.65215015673351,-38.97178056502485,-37.196367368098855,-35.432316341892204,-33.798256875645286,-32.37775087867379,-31.132482997847074,-29.893001388941183,-28.49855991846288,-26.952981916205225,-25.44639619576902,-24.263078598871004,-23.6109442398203,-23.45477991350062,-23.531100083246358,-23.55760771752567,-23.405728525792878,-23.086068303467787,-22.655366987414858,-22.189273735037986,-21.793692326290248,-21.5678260925927,-21.562625576467585,-21.787335531057835,-22.209685897621714,-22.732384910512174,-23.222262674558,-23.6214773585466,-24.007134884392798,-24.474490518001193,-24.995900639576874,-25.47520254,-25.889935358501848,-26.296208832707737,-26.730719560496603,-27.17062922100767,-27.589196545924175,-28.011149363693878,-28.49347838529098,-29.07933189228466,-29.774220414819094,-30.55071521527064,-31.381128524663723,-32.230991747451554,-33.02801298198011,-33.70817323910744,-34.29664654763327,-34.89456468283187,-35.563328421587805,-36.200850780916255,-36.5791706051263,-36.591643147978466,-36.41290110571985,-36.30738053596572,-36.311134492681376,-36.14695802599452,-35.4295384629648,-34.034871827775305,-32.37420665886306,-31.212957348193704,-31.02697220199938,-31.625662628716707,-32.45600699942692,-33.009827212890976,-32.96317762287064,-32.20484756482696,-30.952415338575385,-29.79599910448865,-29.28950116058578,-29.25818108069733,-28.680095745990293,-26.54606647430342,-22.996374571943214,-19.522749037646143,-17.63729640590457,-17.272424449228104,-16.954855171915302,-15.414106136052546,-12.537028777718822,-9.01001885453838,-5.624668566481224,-2.94996454
7kg_10bpm,7CA,-2.33055044,-6.964334684563625,-14.849374740244773,-25.81221782599455,-37.738597574396444,-47.45411698,-52.69007406450846,-53.4937883575104,-51.809820010605385,-49.77943142057925,-48.45623886,-47.7697233343972,-47.23204593862662,-46.49248232346136,-45.364585010073434,-43.76210945,-41.85412453666828,-40.09114094156628,-38.830318947131566,-37.93493438553184,-36.90782608,-35.45928466282896,-33.81205739001278,-32.407310477489105,-31.446729133346025,-30.80896254,-30.31104008179432,-29.87045361913632,-29.44736005294635,-28.98862029497503,-28.473596439999998,-27.95277612025028,-27.50091772153457,-27.121705002384275,-26.695914109684992,-26.06224323,-25.188816820932367,-24.222181402245635,-23.355930157223668,-22.689723359577577,-22.22290757,-21.94807009770411,-21.883932921305483,-22.047382766465628,-22.44303070516293,-23.061342229999997,-23.859057191654735,-24.72377361387917,-25.464100425477508,-25.92665813668337,-26.13968328,-26.28646775298319,-26.539523064655533,-26.939716720248242,-27.43773593536924,-27.98847985,-28.56042733905452,-29.11286390916194,-29.622063363051744,-30.1369134926269,-30.763764179999995,-31.557755268432683,-32.48738998769813,-33.51535870106617,-34.585376488022675,-35.508375,-36.030561907576036,-36.092628514604755,-35.90968686860575,-35.7288509386327,-35.58602980999999,-35.356824550041715,-34.98388915842888,-34.55867322551801,-34.22316492137525,-34.06316110000001,-34.04799940744209,-34.07853503579442,-34.04472264831126,-33.73713542970693,-32.85176598,-31.36943237334825,-29.903577075812134,-29.232730735436352,-29.305283195714377,-29.224232550000004,-28.337906888163275,-26.97866008694682,-25.96490528992489,-25.549161060228695,-25.185035260000006,-24.111621343523193,-21.69871421980968,-17.631616417379277,-12.570894342642625,-8.410816300000002,-6.748112698216182,-6.92733055640573,-6.8120937415206555,-5.350010669551488,-3.2448414
7kg_10bpm,8CA,-1.90224934,-3.5800750760350586,-5.462874570210603,-8.298514484561323,-13.409722548234866,-21.74348922920384,-32.66578918743679,-43.46499936089951,-50.68437165069794,-52.82190805337354,-51.33972451,-48.822514805569455,-46.98137443457637,-46.19472918957745,-45.91004772437809,-45.39931659738705,-44.38739943668355,-43.13105650512649,-42.11183277046995,-41.55036617244367,-41.16381362999999,-40.42218368382302,-38.99534137970332,-37.074164915951805,-35.16492250871147,-33.5364047119536,-32.20716707574751,-31.243891398424168,-30.546896413687328,-29.62422394699652,-28.133570209999995,-26.46465326286133,-25.37665507654479,-25.012935174368426,-24.777833617622438,-24.261572850337473,-23.719773319238247,-23.48019884276672,-23.384596147032607,-23.082024519714835,-22.532135299999997,-22.044933053011434,-22.014005941486612,-22.611382469205676,-23.658914303490132,-24.76109047249983,-25.56230926622382,-25.942304647322672,-26.042727927859513,-26.135853454121825,-26.483509760000004,-27.117082755186875,-27.824120271858444,-28.45773429806346,-29.07764875010468,-29.737604169124474,-30.319396568131822,-30.741271888055607,-31.21698475522263,-32.02067071503653,-33.082051029999995,-34.105832292741,-34.97844447569064,-35.83482517664681,-36.654998621560566,-37.004822635458325,-36.547188291335836,-35.67257716938322,-35.162563955290175,-35.31224210555366,-35.80761933000001,-36.315608466705676,-36.71699758510648,-36.91539327090122,-36.80619588525879,-36.48105129423758,-36.097422062908095,-35.54524803704188,-34.68984407775687,-33.77462343309104,-33.22417135999999,-33.12696780215824,-33.222372987867566,-33.277884314573726,-33.17049792844459,-32.770530259485554,-32.043887520096845,-31.116775924148083,-30.233386335104544,-29.715676694924316,-29.46646177,-28.874737958855352,-27.612627072462207,-25.50784017405101,-21.709953785065867,-15.75467144972973,-9.557714501011434,-5.844899911550733,-4.495875160313041,-3.544090911210452,-2.29396229
7kg_10bpm,9CA,-0.84132312,-6.4785683193346255,-16.099290757187166,-28.556412256275337,-40.5869610717156,-48.86398849103447,-51.953325341314894,-51.21628692217956,-49.40293339319449,-48.06355332215205,-47.18007118811893,-46.533159989900874,-46.25705391688579,-46.24338186107046,-45.90016111886652,-44.87224971084231,-43.36600784457319,-41.645406022629686,-39.80601571132719,-37.94941884255791,-36.06809660775215,-34.15602034170292,-32.44065964318712,-30.90878839893632,-29.14978680108264,-27.14406630330291,-25.471368808850766,-24.48290344802005,-23.77960096414023,-22.849792438405956,-21.80003349405067,-21.088457247528307,-20.894706212098544,-21.055882270799007,-21.30608475440792,-21.422530910311504,-21.397245636038377,-21.53854278534693,-22.135154617917365,-23.096421966921774,-24.110372574060754,-25.107163839057872,-26.21364653297583,-27.28407996131953,-28.018606036980753,-28.4692690499924,-29.051371471688313,-29.962016743844423,-30.89831695189523,-31.572686707127037,-32.05864391559563,-32.53659908493623,-33.113579205494695,-33.80060323469622,-34.45097758638964,-34.92451222693574,-35.33702687580832,-35.80289378633801,-36.2159449313564,-36.43669124552595,-36.50637994885283,-36.5309517004436,-36.355848891517425,-35.86940318442173,-35.55333344938883,-35.96014888730722,-36.58573332765744,-35.84321999926314,-32.995924320009685,-30.075506861396292,-29.568263322656907,-30.78841166473753,-31.623993253781265,-31.326890290616166,-30.16151358345043,-28.544696116174112,-27.206719673770582,-26.605710571238536,-26.381035756665813,-26.158922439344682,-25.81685608217412,-25.189422015763533,-24.5029887147848,-24.27027101608216,-24.460341661442524,-24.631475666643713,-24.46248338054815,-23.85204345139196,-23.06177101128493,-22.541298055699762,-22.098381337505874,-20.763822333249223,-18.155153193045294,-15.533746511961928,-14.285745614638156,-13.622594242696083,-12.206437543747091,-10.306485566876596,-8.45873985320189,-6.285731672699365,-3.59164377
7kg_10bpm,10CA,-4.94532586,-13.284233150984257,-26.063198144760932,-39.61553711621209,-49.249069911455194,-53.0849620082614,-52.84012422119765,-51.26450752660422,-49.8794283926594,-48.86843448545581,-47.88196269829737,-46.65846222597256,-45.290144697092686,-44.10736996660231,-43.32210119811117,-42.70313012753705,-41.7054786391981,-40.07732968916986,-38.170460961005055,-36.551038620283556,-35.348157714710595,-34.15793682825906,-32.625417501134734,-30.90648336909455,-29.425653605426504,-28.297065778706973,-27.250846460597195,-26.137396563785934,-25.172117598760835,-24.537764429408217,-24.057394815231206,-23.507303484081913,-23.009643116929695,-22.82906844312678,-23.01308464124474,-23.43398229854789,-23.951307890803466,-24.368919795158448,-24.469836243245478,-24.27285831406778,-24.10376920300703,-24.311925795637656,-25.009391028453614,-26.060828031202067,-27.232172957742755,-28.27749647842609,-28.952621380833463,-29.192295444009606,-29.28147808536125,-29.58640613089885,-30.125666111886503,-30.579003059831653,-30.696255189287136,-30.570959302291783,-30.5223832981206,-30.84268423791711,-31.619933982592908,-32.63911616958505,-33.56698865900065,-34.288415771418066,-34.92218654154321,-35.574233284303205,-36.10334503009426,-36.2148869711092,-35.84984856472255,-35.33683028836125,-34.998954522671895,-34.80813946212412,-34.635371696684075,-34.600727960438284,-34.82348354064532,-34.89434851520541,-34.03708450403902,-32.19204954270941,-30.619617304260135,-30.518174082403533,-31.45352658852408,-32.2724628846747,-32.47339999828859,-32.08656424647652,-31.15392273874585,-29.88349875994289,-28.941742754227445,-28.85364295772159,-29.208146211531496,-29.19594967837291,-28.64786378967473,-27.951695593624382,-27.236482906927474,-26.11293575202607,-24.215752444847254,-21.958037988566492,-20.424248807970926,-19.799572322505835,-18.678771473156555,-15.916862336613955,-12.096378328314875,-8.602119127652275,-6.140828244734433,-4.522765830302404,-3.19249564
7kg_10bpm,11CA,-1.72626769,-10.335222073133831,-22.87300474275504,-36.18461020111452,-46.430332262449745,-51.60494074238098,-52.49048578161789,-51.37309925969865,-50.05711372307774,-49.09406442788421,-48.312217347583186,-47.49167482946993,-46.561564122343015,-45.55493347802215,-44.56808214048152,-43.68387470014767,-42.8780982775479,-42.01723456302214,-41.001350976325945,-39.940113118198525,-39.06015996032689,-38.318233067284524,-37.25636505824321,-35.454062690912004,-33.08616812136916,-30.8589399235776,-29.377615316785274,-28.632984216572332,-28.098996388330274,-27.261442769380537,-26.05832737706734,-24.898951028819333,-24.28368559529929,-24.34757448370714,-24.73332394243228,-24.93468252387856,-24.752045238238935,-24.3683495011542,-24.05442808703779,-23.902487697095125,-23.826874969721242,-23.75081187268073,-23.74814916080276,-23.988174479545968,-24.575784523362508,-25.47205936556604,-26.546055427067383,-27.6477942900777,-28.628950271918747,-29.377160844974714,-29.857702966977147,-30.09311110788038,-30.125265594273365,-29.996188142036843,-29.79262878148576,-29.72763150883616,-30.070907311389625,-30.91815504260079,-32.050781941200974,-33.02477901945306,-33.444089552525455,-33.25928608424071,-32.785362872610776,-32.35700594797904,-32.05388503321846,-31.796475709855194,-31.55856031798574,-31.40636282311672,-31.425674124649998,-31.68090588060492,-32.14953212617438,-32.651556815865035,-32.96430213809051,-33.06648379008376,-33.159326563650026,-33.43671881450747,-33.90615731600705,-34.35054400067648,-34.42061408817895,-33.902946645938336,-32.974360271874296,-32.166961079952564,-31.905992380056997,-31.99781783378632,-31.7976859761692,-30.979548232101564,-29.979377568287806,-29.49503087391302,-29.5414571839224,-29.24734752440978,-27.677556179504926,-24.76597096464203,-21.57537790160626,-19.526190851048902,-18.7679784736336,-17.727897592922677,-15.022048330105134,-11.09457967225132,-7.467040366544923,-5.038127022854548,-3.63734504
7kg_10bpm,12CA,-2.87866326,-9.241241478227739,-20.22087488527203,-33.74835745409861,-45.80416349109167,-52.958008990546126,-54.52767020718583,-52.55424392692251,-49.888150838401174,-48.22898427158897,-47.62447372791466,-47.32613032092129,-46.821531081268425,-46.1467170547295,-45.534704685674,-45.01965063961379,-44.399082402110366,-43.51488241303795,-42.48464251812896,-41.547342064127925,-40.72696099957977,-39.73879703162168,-38.2308949637636,-36.12971247752192,-33.74431950757594,-31.54214364278046,-29.792786811206025,-28.392232087587132,-27.04694083793172,-25.644811435144284,-24.412056221473158,-23.66953374885331,-23.46209296438612,-23.475144271040918,-23.340763775600113,-22.974108541983007,-22.56734600763749,-22.313396338873808,-22.229949283032354,-22.209047779693197,-22.137932139563638,-21.976165121693132,-21.768857726533867,-21.612690010978948,-21.623977434592927,-21.91237623900641,-22.523972745976742,-23.404010197327256,-24.438125305548358,-25.52927610675943,-26.618591133432375,-27.643561157320793,-28.52200168313591,-29.195656574711176,-29.68444347662104,-30.099387678026908,-30.577877140412667,-31.19091475839586,-31.91316649339671,-32.66395526761528,-33.34877661676024,-33.86649177772499,-34.13602672878409,-34.16651235224141,-34.074617999066774,-34.00185641350294,-34.00159029458777,-33.99882260098056,-33.88496783709475,-33.68066385043442,-33.57455343072099,-33.73061723810993,-34.06215922440294,-34.29900089704145,-34.29439250283812,-34.16759321084748,-34.12315168510598,-34.198556151860444,-34.211627005627776,-33.94588106148907,-33.39459741305817,-32.82235669963409,-32.547480806599985,-32.58322444578172,-32.48797709436452,-31.741765980288797,-30.414398872285144,-29.408643942399326,-29.664999371613266,-30.894459454533784,-31.45996098632725,-29.649089939267142,-25.177612233955507,-19.7394610670201,-15.717948847130883,-13.794717404356298,-12.518374279743542,-10.467599941290265,-7.759511161624057,-5.3101595537958675,-3.57337573
