cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-5.09435939,-13.55328307902045,-25.069874671103832,-38.34195894611794,-51.42055848311366,-62.62746115764561,-71.19518134013266,-77.17523129642724,-80.94525137128976,-82.84831616860393,-83.32636884543017,-83.07076415924789,-82.71422391203205,-82.44558834876655,-82.01760700018491,-80.97368526021106,-78.93196655869572,-75.93352474165395,-72.3911340307497,-68.67261059255688,-64.94179633738625,-61.47747250739753,-58.897779865058176,-57.66431876731434,-57.29616377656865,-56.8082015355592,-56.0309606804662,-55.649698885588776,-56.204562561601186,-57.42583360540683,-58.33205149825529,-58.118846569799395,-56.93054939975269,-55.45622713541112,-54.146647567120816,-53.10749737636665,-52.3092467703904,-51.64414508987333,-51.03554925595914,-50.5601883551238,-50.29372340571375,-50.18674374331877,-50.293322135688484,-50.81147609704047,-51.69793081588643,-52.56053201524117,-53.17897598208499,-53.86950322470919,-55.04363726942562,-56.665923534579264,-58.39698785116706,-60.12115695192484,-62.10476213845009,-64.49475408881447,-66.88821049404369,-68.74852356796367,-70.05669262298416,-71.26002922519747,-72.74072013326888,-74.54720589365529,-76.48165730949573,-78.26707162283883,-79.73358098282057,-80.9243483305868,-82.01811268441203,-83.16181508434047,-84.29237497893624,-85.16741376570064,-85.66934768956793,-85.86644038577835,-85.76966912698076,-85.28202588794892,-84.38213915593857,-83.24625019549923,-82.10892325508341,-81.04890725712518,-79.98862075622908,-78.8355144527534,-77.62550783986978,-76.56465507860946,-75.9031747965799,-75.73316344348652,-75.80949863703154,-75.47670143054138,-73.81601059205653,-70.36342525802657,-65.97766195913003,-62.18317778693963,-58.75281869524051,-52.999752145877345,-43.109122371521735,-31.3996818533146,-22.449637070411573,-18.059254834335903,-15.912181178313253,-13.157784283694047,-9.411030158954496,-5.834574734288107,-3.1107775539565417,-1.2464077028565486,-0.21321024
15kg_10bpm,10BC,4.16223512,2.0794445758422193,-4.7207849306579455,-17.062524642256086,-33.78701856769279,-51.8556108,-67.6247510697238,-78.47822233110384,-83.68755728415707,-84.14792136368416,-81.54978658,-77.62260208739782,-73.68023758976621,-70.44595615122131,-68.10316389109614,-66.47906765000002,-65.25753849855126,-64.15439807775212,-63.01500245286638,-61.839226951916515,-60.755255610000006,-59.93708771776791,-59.49983696865386,-59.43240078564482,-59.62406387978496,-59.97195536000001,-60.44242047300275,-61.01512248246105,-61.616339826862884,-62.14319259919841,-62.53131785000001,-62.795953319386214,-63.021413749409284,-63.293381741799024,-63.650162601357465,-64.12716834,-64.82045994979156,-65.84579500044214,-67.20278444057983,-68.69016375909787,-69.99867453,-70.91966029791095,-71.45806328734112,-71.75574358775259,-71.94789439747366,-72.09422978000002,-72.1860818130699,-72.17536553542232,-72.00801095513162,-71.6684167796335,-71.24442421,-70.9497327271249,-71.01481635916794,-71.48133539945849,-72.10415527240248,-72.51303509000002,-72.49040511105765,-72.07753710162818,-71.46635347680355,-70.86331326589249,-70.4002116,-70.07251051830724,-69.74641186478698,-69.25928449679886,-68.54619513713669,-67.68792361,-66.86173022071401,-66.2561537530779,-66.00056157797005,-66.11557364489103,-66.49154314,-66.92680316891821,-67.2299017670135,-67.31733480537542,-67.22691134021048,-67.05524985,-66.89077120179633,-66.79237334749584,-66.7859055543376,-66.84503808261475,-66.85814610000001,-66.578803576115,-65.62649358304311,-63.66591968573425,-60.72395585737934,-57.27971406,-53.76207383147292,-49.807542728748544,-44.3515445962901,-36.90496818258903,-28.69894877,-22.04436484956298,-18.239993626458045,-16.430742064166186,-14.743316267321212,-12.21529641,-9.353105134468734,-7.013560846259292,-5.2751430276462905,-3.651279919815657,-1.99770188
15kg_10bpm,10CA,1.83223844,-0.2614830804705204,-9.289088445783971,-26.605807511228793,-48.961247684671115,-70.71343692447292,-87.50184370789663,-97.67009213706142,-101.62792409464268,-101.09219485430626,-98.43365435775449,-95.85512297374677,-94.29602618775505,-93.25650333508007,-92.09658206693827,-90.84314631901168,-89.77457184501728,-89.18436229173868,-89.2804464588705,-89.9406506968729,-90.79875745939829,-91.39647800140558,-91.28870757924663,-90.1616784024244,-87.91647221293013,-85.00336189794527,-82.36514241526292,-80.38694462912298,-78.50137012432376,-76.27952098833623,-73.84807602976761,-71.38213399794522,-69.12190947443477,-67.34569226430969,-65.89795429570151,-64.55321414931066,-63.78833261886281,-64.03577617237585,-64.6366935904593,-64.6786863226838,-64.1601009325392,-63.55082152220245,-63.0335135566779,-62.675647877588645,-62.735231253550346,-63.21564807202611,-63.62217049874908,-63.52598538297322,-63.00890918310581,-62.57605597099496,-62.603979590703375,-62.7836995550299,-62.493022929353735,-61.77040092568356,-61.194821735969484,-60.91000544355549,-60.626130935343916,-60.46430234503093,-60.93558287309068,-62.22338966066685,-63.99477374907588,-65.63854246105629,-66.694842612013,-67.26341210228192,-67.59542121715135,-67.65753168416512,-67.65044544087516,-67.92106450446758,-68.39824940655458,-68.83597472002614,-68.9385202593946,-68.44286413977437,-67.74927224988015,-67.76566016855449,-68.8696893741236,-70.54130184659458,-71.7564811903882,-71.26920383453557,-68.45557761093544,-64.64867596009451,-62.44596137198441,-62.57865181370425,-62.90851166668481,-61.17005698692498,-57.67883390577051,-54.619790076902795,-52.83380113991522,-51.23671484280902,-49.07704296847901,-46.800167896549894,-44.98524497836676,-43.191553585268515,-40.017441508845216,-34.16114121362301,-25.831869255298777,-17.489944728878513,-12.224030105822674,-10.444243575575806,-8.892853425618547,-5.446193563517182,-1.96762208
15kg_10bpm,11AB,-2.00094947,-8.87271508355728,-19.40675399392805,-32.11559949028428,-45.37893644529742,-58.03959147175665,-69.14433217238083,-77.78208700613045,-83.43094728961749,-86.50275933445688,-88.1219666200344,-89.09590042043075,-89.3671419466427,-88.57570386947944,-86.81813734900533,-84.52286607863387,-81.82182747039774,-78.52370804176408,-74.72803236508015,-71.07765802708369,-68.28727872000002,-66.46648909155257,-64.94418859437786,-62.96076861069319,-60.4766610992297,-58.09249582260712,-56.31607821815759,-55.12536303158243,-54.32652952538008,-54.01636646845376,-54.32039398194339,-54.92314020273106,-55.2419642764459,-55.00952981239597,-54.53884521667892,-54.348026108343035,-54.60047808432578,-55.02511110033879,-55.284397425959384,-55.228939636256726,-54.832274160000004,-54.12247693483931,-53.28564869609653,-52.683247674071445,-52.63469267732414,-53.196735271014845,-54.18320471728289,-55.38731478497468,-56.7152005275511,-58.067006872932964,-59.35344354456795,-60.73927155075687,-62.46742206723886,-64.42034950066618,-66.21859261242474,-67.68127569993489,-68.93345949547405,-70.20216216221814,-71.59882194464888,-73.0258538634912,-74.33502885,-75.4664920202515,-76.3409813490532,-76.88588098037842,-77.29458610345156,-77.9331277588392,-78.89189653741265,-79.8358099643407,-80.45412789935648,-80.92049337714083,-81.7057056513806,-82.90963160383296,-84.02896700203932,-84.46781281384185,-84.06550974776866,-83.08133775381079,-81.85794414906925,-80.576086521271,-79.3592672993924,-78.54039551431624,-78.39700372000001,-78.60160675382387,-78.28693330305495,-76.7836526812863,-74.38185914189016,-72.24612107869072,-70.88040996242746,-68.42010605771367,-61.88729166473441,-51.36994753226004,-41.17170274887611,-35.1735726013567,-32.495732360956445,-29.027558082420754,-22.428278476258633,-14.359966132198714,-7.904522345536766,-4.291807216773776,-2.604601365783122,-1.6306881277134277,-0.99088061
15kg_10bpm,11BC,-1.56637599,-7.489088380664129,-18.599102638199106,-34.15813343911696,-51.512948154588386,-67.34695291177783,-79.13122466100442,-85.84966705304006,-87.85365791805519,-86.25099088958908,-82.37840988741145,-77.61005926721138,-73.21895013434408,-70.01814906742501,-68.08166652397325,-66.92591122910483,-65.99383807115115,-64.9880132142723,-63.891729535425675,-62.862928867361376,-62.13895912596418,-61.92739498028974,-62.26493237833064,-62.95178327715337,-63.678450527546445,-64.24256786686618,-64.63978180433067,-64.97079130180683,-65.29171896323535,-65.5549349140575,-65.6697212248729,-65.62701539591255,-65.57925080635829,-65.78074607884801,-66.42670709446692,-67.5080891434574,-68.78986410891301,-69.96371871210175,-70.8652407873241,-71.54360524304033,-72.15260577533591,-72.7868122008147,-73.38184004336688,-73.74840136520866,-73.72999266372345,-73.37804161307763,-72.96644550999048,-72.78153578888137,-72.90369630775334,-73.22013282163964,-73.60645756394548,-74.03042678933492,-74.50736993159344,-75.05265877909484,-75.68080487961753,-76.36250791548062,-76.9633623917705,-77.28266414404003,-77.21481774970395,-76.87710144385973,-76.53083573132473,-76.3561248529174,-76.30840763674396,-76.20751015374647,-75.92785024276566,-75.46881735423531,-74.90750165490826,-74.3481792773674,-73.90827467932631,-73.6819587768916,-73.65374829911742,-73.65887455674991,-73.50281984202584,-73.13692756470523,-72.69571399162847,-72.38011457736498,-72.31853479689993,-72.50841144666602,-72.8322610228669,-73.11006361096129,-73.18147540286617,-73.00476302968295,-72.70775124450077,-72.48480848980881,-72.33980653576216,-71.80509252125084,-69.88191123820346,-65.4943409638292,-58.34285423407338,-49.399482301738146,-40.51264177966358,-33.55380491440463,-29.653635773557134,-28.556036935747404,-28.564611302279484,-27.573207162677708,-24.361404580901095,-19.03450834746296,-12.594829195616096,-6.4013721822111584,-1.74868268
15kg_10bpm,11CA,-0.55615611,-0.8181973426475324,-0.8263010369141738,-1.8693457440805548,-6.380931178510621,-16.365608689703574,-31.538042701978846,-49.21715136142319,-66.10347363118828,-79.98222230280064,-89.98369752598553,-95.88627009300457,-97.7860728507988,-96.46242024120767,-93.55940920431536,-90.84331200778551,-89.24805897249404,-88.76867025219646,-88.80778577052364,-88.49472027688594,-87.38532473797038,-86.0406387705919,-85.40865989436726,-85.67521609839943,-86.16683025204338,-86.22197730000002,-85.85357333420866,-85.59750863048937,-85.75498945926795,-86.03768476886528,-85.96366611314373,-85.2600923681036,-83.93944269342882,-82.22372763707173,-80.29361508872087,-78.01079935110013,-75.21217627108418,-72.3596618957598,-70.34140946119076,-69.40610512279228,-68.87395768691425,-68.15056259575368,-67.38938896293207,-66.87510401179867,-66.427659120784,-65.71638147573461,-64.66592162785956,-63.35978124031968,-61.924023299994424,-60.50110119778139,-59.200439320000015,-58.25781276988657,-57.85379658003535,-57.73857969676671,-57.57230340440498,-57.490534356480566,-57.85294655162183,-58.65892551558149,-59.54857177745926,-60.1829527056559,-60.37851717586641,-60.06379321399183,-59.385470825151565,-58.77318209555139,-58.705779435364256,-59.49256169269683,-61.15752806675456,-63.311913576631085,-65.27162072550666,-66.43252352978797,-66.65237235994391,-66.36851976378198,-66.22233853467826,-66.44945404301633,-66.77544434571672,-66.94983692,-67.13268848157387,-67.435656636925,-67.24623390929285,-65.64345620651234,-62.720329670792786,-60.15461584077103,-59.546503152873996,-60.13544232441431,-59.6052133120779,-57.16233463960249,-54.45889124102144,-53.06089609300575,-52.23962392027598,-50.45879565459429,-47.39933400507282,-43.18871933084669,-37.76610527629906,-31.836320743886585,-26.452926064132388,-21.494765008422913,-15.640395214551628,-8.555514748109209,-2.0225323902853103,1.8465295973161424,2.9065654
15kg_10bpm,12AB,-2.88153338,-10.501562789704852,-22.565025069880832,-37.74704156686593,-53.66394776933189,-67.48332118385805,-76.80060328664885,-81.40121185531103,-83.1883100463368,-83.78366656951118,-83.55660288854929,-82.6427967598632,-81.47780851003753,-80.21864001371969,-78.2690512713158,-75.02592526166309,-71.10345170489848,-68.12990456372313,-67.1136066565734,-67.43531903729101,-67.79329816150698,-67.60011149023575,-66.85363701391117,-65.51704351668161,-63.74422239099059,-62.01505848735206,-60.78090529570552,-60.20232726767665,-60.09598732410878,-60.022813064311386,-59.537572444337584,-58.38664616857927,-56.67449987986074,-54.959930085234674,-53.91589916490964,-53.734833063844896,-53.964661678850376,-53.891784497694985,-53.155223743289774,-52.092053361754026,-51.31650931671323,-51.064608690386855,-51.226005390747794,-51.71529750729224,-52.42804935803402,-53.13444744058477,-53.719924118599955,-54.290632832979384,-55.113206395305866,-56.56986677542057,-58.75735948,-61.18913011111487,-63.26238096765055,-64.8900226104147,-66.49116227749619,-68.49477547802667,-70.82985326462456,-72.9752233410343,-74.60350842264674,-75.87734690940356,-77.10416725439516,-78.39668322846266,-79.73471455851352,-81.1438530866055,-82.63109545479155,-83.97675918529646,-84.8461655191122,-85.17786799986882,-85.21198296173196,-85.13094563894334,-84.87962188094714,-84.22683974391919,-83.00023974816278,-81.38918077041693,-79.67373334410499,-77.859355894468,-75.98161673398502,-74.51696834705498,-74.07619128864887,-74.58669390465931,-75.18720686821047,-75.17332554936456,-74.79580525356327,-74.88421244081823,-75.51700824582974,-75.06713122486717,-71.04038517202395,-62.96289436209952,-54.16818574415673,-48.69459577937283,-46.57572080191892,-43.85743105400354,-37.07298567396598,-26.939155428095987,-17.186032986972467,-10.2626164458194,-5.840193989844451,-2.8581572409203972,-0.960233388641462,-0.046492285120371506,0.18824572
15kg_10bpm,12BC,1.82573215,1.2092950361759676,1.0864372606999797,2.0235692428607153,3.8307599024476016,5.363219725697126,4.6024065961913205,-0.8022013688213486,-12.29143383510276,-29.0936828162921,-48.070709017485825,-65.15622878369963,-77.40315478250163,-83.90860560540793,-85.28803000144447,-82.89552817739379,-78.45337193772777,-73.71753358772868,-69.9167383103479,-67.38849854348209,-65.77121185130773,-64.53741734998255,-63.405619512927444,-62.39738644552126,-61.670801097121284,-61.35903018,-61.495510703012684,-62.0133712166867,-62.80398998570122,-63.77077118229157,-64.82425239103043,-65.86378522004601,-66.80776853788282,-67.64124854045477,-68.4025053229717,-69.12576609676297,-69.80903069382033,-70.41451035416353,-70.87934673726976,-71.15647663653385,-71.26941531400598,-71.3054655649806,-71.37237554705162,-71.59119277991937,-72.04699379807587,-72.66606977918421,-73.21084647795915,-73.45490346710271,-73.36470007027883,-73.11755477676051,-72.97146759,-73.10836388536899,-73.54981392853263,-74.18198181037107,-74.85527024275358,-75.4668479977512,-75.98595003284059,-76.39135372893833,-76.5758877621629,-76.3881703666227,-75.80571232701799,-75.0217303256692,-74.33916190947035,-73.96810027047053,-73.91192092091252,-74.04718133739388,-74.26233257782295,-74.4694923911233,-74.5623011810692,-74.49185734249143,-74.37426622103645,-74.38024069296415,-74.47783053080005,-74.37404166385325,-73.78954851643704,-72.76749330000001,-71.68427030741589,-70.97822967364202,-70.860753784655,-71.22929743667528,-71.7385438503637,-71.94224499761108,-71.53586476066167,-70.6286230256525,-69.75198587994284,-69.33245315931119,-68.78894479918127,-66.00098325958251,-58.29177728938993,-45.158549853880146,-30.45324562322474,-20.485689227898906,-18.557369836413933,-21.939729750445224,-24.714935927548975,-23.020821539820112,-17.573818944273025,-11.574996025066719,-7.021713910535618,-3.871170727359202,-1.66997561
15kg_10bpm,13AB,-4.17596212,-9.525194781701527,-17.603068548050043,-27.29240451040807,-37.068230536941435,-46.154801747511904,-54.82991253097997,-63.447101268317255,-71.41199790334824,-77.51588724652846,-81.22905227184225,-83.16624081219207,-84.1339131553115,-84.3929698375064,-83.94810410204633,-82.79876792248605,-80.93865041902265,-78.4746709732403,-75.64830031388142,-72.64222166890137,-69.65124980466982,-67.19795967645508,-65.9909839605413,-66.21184081312566,-67.13731250913862,-67.85401037380716,-68.16494456549552,-68.31018724413128,-68.1039272426191,-67.12479638968516,-65.56905311489353,-64.15970914860947,-63.25125044759331,-62.574273377714434,-61.61678674745287,-59.933464684304376,-57.59237668387023,-55.27880688230515,-53.51490463356724,-52.164151118799296,-50.96210622752752,-49.93013425954315,-49.18118453350722,-48.86696248095062,-49.18557676642192,-50.17841804470192,-51.74804359853171,-53.75087751250292,-55.91946920071117,-57.907890432422924,-59.61738913549294,-61.33981185259247,-63.355356928981124,-65.49673248395007,-67.36925079670647,-68.92280994798273,-70.50432143687567,-72.38724850966817,-74.52522884272018,-76.69287875220053,-78.5934765891247,-79.80722690298006,-79.94951254123792,-79.15244305829748,-78.22235589884629,-77.99055111986766,-78.57131994309056,-79.49388642587763,-80.3207926882532,-80.83495419658827,-80.84636162607082,-80.32215276495305,-79.6970265078456,-79.56088582729797,-79.96338808457341,-80.32123401995881,-80.04417352654741,-79.08609123320618,-77.85635941815045,-76.68971368086034,-75.70272492170098,-75.02574792745533,-74.73245744043005,-74.71673099250683,-74.84355586312378,-74.94991973727589,-74.52066078359823,-72.34927827572464,-66.49611391834438,-55.9936993339473,-43.65632371979275,-34.548438436289835,-30.413282668282438,-27.65098306133487,-22.243020905504927,-14.661240525583056,-8.116584418786099,-4.162178678143434,-2.0196778099039916,-0.7416566263934236,-0.22901192
15kg_10bpm,13BC,-3.91105313,-10.243361559491957,-18.990482149800783,-29.80978083551842,-41.66604950389246,-53.20861819960223,-63.31551449203247,-71.28697309655007,-76.76253834133473,-79.67252228533329,-80.2234585160056,-78.86775343680945,-76.30933090036868,-73.44065081256015,-71.05334149441676,-69.49804875797848,-68.62857711633276,-68.07260408982799,-67.52300857381783,-66.82986123981213,-65.98605846283981,-65.11464131399967,-64.37919290244169,-63.83122559672585,-63.36390392972221,-62.83385682862801,-62.21779769344179,-61.655922548817074,-61.346397108697765,-61.36929821544631,-61.61116010683232,-61.86863115536537,-62.03034262209557,-62.16290979634592,-62.45211448909242,-63.075316894420645,-64.09858158732435,-65.44891213840731,-66.9561553343768,-68.41696198348146,-69.64305775853691,-70.50829209880187,-70.98655586154233,-71.13286286933742,-71.0093533468094,-70.65706710497545,-70.1526173508526,-69.65103216736877,-69.34438347851257,-69.37066073890438,-69.74030198893023,-70.31310899248015,-70.84893783985281,-71.15686523748818,-71.26383703045715,-71.41965817768313,-71.8893062622737,-72.70002158426686,-73.56929474436524,-74.11181935285516,-74.13227484068473,-73.75716612790812,-73.33223357118814,-73.15879322097805,-73.2850378956428,-73.56457413825915,-73.87542170970028,-74.1909981776504,-74.46109722409552,-74.5503267708501,-74.36214317430355,-73.94958657442164,-73.45050894698204,-72.96516070867582,-72.54262060847496,-72.23663831264574,-72.08243666259837,-71.99463985758533,-71.75319690895488,-71.17485805470378,-70.32414746862511,-69.52865921209953,-69.18242755975568,-69.46944181246849,-70.0658692788387,-69.9170923219358,-67.44705447263254,-61.5197069317392,-52.674631973862446,-43.370785718411064,-36.434734953881105,-32.68407246271172,-30.284016425862703,-26.842043011387087,-21.832895297364782,-16.72380673410292,-12.987752333706315,-10.532918340478469,-8.248369862864191,-5.526896947836963,-2.79639757
