cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-3.39296664,-7.95837952324029,-14.732580687434396,-22.59035796764285,-29.972465925620256,-35.71541687637253,-39.4510917083235,-41.61703815478321,-42.97961865099744,-43.98584349914492,-44.51291536981861,-44.143879385886024,-42.70739073123232,-40.56485001320503,-38.34465513327908,-36.458655921612575,-34.97757461047789,-33.781530387317275,-32.649537456881575,-31.4355382712306,-30.25812352640041,-29.369112212185417,-28.88697321351993,-28.714839186581557,-28.615948982497255,-28.408443949999995,-28.109267507339904,-27.817010626019,-27.56134025958432,-27.348694148047375,-27.170123812987335,-26.927363798838666,-26.509317012205365,-25.958882203934458,-25.467197472000727,-25.198182324598584,-25.142548663845826,-25.152844189918262,-25.11633237954706,-25.066472294468195,-25.141008975415705,-25.483543126269705,-26.136012148056466,-26.929649318076102,-27.561722557738705,-27.852951023189306,-27.880192480715383,-27.90478231877462,-28.22696386976178,-28.978880266154768,-29.99770652,-30.935040364561864,-31.59353842502292,-32.14376952405433,-32.92986274969759,-34.05449677702474,-35.1900113636246,-35.877745521544476,-36.039436545648066,-36.11422952118865,-36.60671165746869,-37.54487764007343,-38.453560363837575,-38.840180573875784,-38.69942434931038,-38.4422424998927,-38.407748605047104,-38.60628970936679,-38.847839768505075,-38.92451103695228,-38.76522992379909,-38.53791522252432,-38.415442682306754,-38.30274996360089,-38.026469480392045,-37.62482017000001,-37.23882225373107,-36.878903860648535,-36.44315730931655,-35.88329462433758,-35.24131095841945,-34.56290347202365,-33.89575503169505,-33.279865696078524,-32.75739933040798,-32.52764060580479,-32.82206229385457,-33.14006186775948,-31.778349100537522,-27.13412978167685,-20.12889566011978,-14.19776639427591,-11.585327071485647,-11.080023391364053,-10.27674010771464,-8.461543392628323,-6.511858468849115,-5.149646054581954,-4.149218965889484,-2.86541123150115,-1.26529961
7kg_10bpm,2AB,-5.02825297,-11.304324175487803,-18.897150034267653,-26.467612268719208,-32.791609271658224,-37.26937915758917,-40.01030029841088,-41.48984245587644,-42.13960574498878,-42.207646312147276,-41.84156448085131,-41.17503762205163,-40.297878359920375,-39.19340632036458,-37.784656655370995,-36.07678309366983,-34.27192265968451,-32.70828755277939,-31.595491562966032,-30.82769325916928,-30.158281015053216,-29.540767732440468,-29.181975036464472,-29.239010645817952,-29.586308016308028,-29.93097675,-30.025105001480604,-29.735465378448538,-29.069818933325628,-28.210155005336965,-27.43965060710716,-26.96378469297502,-26.79139245828837,-26.804478305813788,-26.88559765180388,-26.90956375113298,-26.715019919166654,-26.232497809279366,-25.59749959616324,-25.064440249928378,-24.826917719616695,-24.89969312272044,-25.15135092901383,-25.437822328781273,-25.697584361394245,-25.967294200370933,-26.354830250965914,-26.97674511047282,-27.8625297597576,-28.880334202844626,-29.79060963,-30.446603626124187,-30.950808777609982,-31.56550691289721,-32.451876187144435,-33.52893126652134,-34.581757668268445,-35.450894856020795,-36.118314476793806,-36.65336032496413,-37.10391917349908,-37.45873527741545,-37.70072278553575,-37.84740425854461,-37.91543514890236,-37.87805035449856,-37.69886570936648,-37.389773388435955,-37.01212985913604,-36.65123075534368,-36.390387233189806,-36.2807346655127,-36.304086786235814,-36.383914435870466,-36.44520398333965,-36.41853591,-36.19819603134885,-35.67336375658687,-34.84231697475007,-33.8739675758594,-33.030865899207626,-32.52988075423714,-32.4607975824095,-32.678060284121486,-32.54992566225849,-30.982245076743343,-27.216255443430764,-21.879116633274155,-16.81635671930635,-13.405287235676774,-11.55519812502232,-10.481361064179772,-9.460944073042391,-7.984520027101453,-6.124400256999727,-4.583754822386538,-3.9463173719305975,-4.083162378843205,-4.348090069912546,-4.1497188350771115,-3.33335679
7kg_10bpm,3AB,-4.2808805,-10.11793992719278,-17.44871881976503,-25.120166065536658,-31.932859398196516,-37.1661897414567,-40.68319825658272,-42.73396218317503,-43.688447510107366,-43.82556656167437,-43.27254044363023,-42.119432069822494,-40.54591501611678,-38.79838636046873,-37.06087202246375,-35.376652631684536,-33.70273509471702,-32.030122158882904,-30.447860624683603,-29.100200806540624,-28.105401649999997,-27.504767729709094,-27.25540750860432,-27.27578291047607,-27.489699980443834,-27.813176770285637,-28.11434916796415,-28.220927866533877,-27.998523606002546,-27.450209318213936,-26.75247231837315,-26.16387523659933,-25.864624286093974,-25.86534993709303,-26.040968139484075,-26.22774201918875,-26.29593789906616,-26.17938816465861,-25.879583558674447,-25.454935863229526,-25.001855799999998,-24.629411056001334,-24.421108580554602,-24.39513400347894,-24.498646677545466,-24.650718013609776,-24.80845584237828,-25.01547048075609,-25.390748704646683,-26.02791980395732,-26.8927547022592,-27.869340819313614,-28.903628038657086,-30.043477666233382,-31.3458083842616,-32.78324259788003,-34.230143805146895,-35.51092881771701,-36.4815438819541,-37.10388432241875,-37.44511251,-37.62886076224656,-37.79774581115368,-38.05611374097915,-38.39735180714771,-38.697667212496775,-38.79681880320058,-38.597744998446345,-38.12289310906952,-37.51153406073463,-36.96007599607669,-36.62451193398756,-36.53701926394154,-36.58996730571201,-36.61795296878737,-36.541083579644315,-36.432277630604126,-36.40819780983259,-36.46737486619104,-36.49302145373381,-36.408944729999995,-36.26365708783582,-36.099847878181876,-35.6382897337087,-34.05372554840787,-30.341951996252316,-24.368054269185492,-17.602583031260792,-12.265342221014437,-9.477853191537154,-8.572933351623886,-8.048245118973451,-6.8798710386138415,-5.072039749363611,-3.2637741783704515,-2.0317451405024505,-1.5427673659178318,-1.5951333338580063,-1.8188477044285416,-1.881145589906097,-1.65355684
7kg_10bpm,4AB,-3.50172941,-9.435854106639328,-17.624991230843218,-26.609002459615333,-34.53066217672988,-40.13712066352325,-43.31302283775532,-44.74799252961908,-45.20252767492812,-45.092733945140694,-44.54274775243608,-43.59136580603943,-42.31275563246037,-40.790885464960375,-39.048131918412686,-37.07682323372587,-34.972666578701265,-33.007528674787046,-31.51471046161479,-30.646235910623556,-30.224587480275773,-29.876379120748492,-29.354523668054142,-28.750296619348763,-28.370090862129704,-28.399524359999997,-28.713137491506963,-28.975508237057166,-28.8861012618853,-28.384427625766033,-27.690958182452093,-27.1299413713345,-26.880103533433097,-26.8977650344697,-27.060833843138305,-27.319158119118146,-27.669025684331075,-28.047255488020244,-28.31318719216575,-28.34233389198156,-28.12365870890489,-27.757627135027825,-27.377599647026454,-27.079464867278023,-26.898223091522407,-26.819493593221452,-26.799300153646293,-26.79388749088967,-26.80856911899271,-26.906407941739886,-27.144157470000003,-27.50921707780678,-27.955620405579932,-28.503219983673755,-29.23706389183147,-30.159480758390934,-31.112420821310266,-31.944516450610315,-32.7252104518997,-33.70663504970718,-35.06286322602793,-36.69109314648475,-38.2793137300384,-39.53475242861995,-40.32703279097494,-40.70158308760084,-40.83873502181299,-40.966323183433055,-41.237374545460376,-41.66396070495417,-42.11028009395412,-42.31877532552353,-42.04599696455399,-41.31254555956493,-40.52768358924948,-40.176804239999996,-40.273949898041536,-40.32983240365061,-39.90802123689179,-39.071428392676125,-38.32808102099207,-38.10803785133798,-38.09737030813009,-37.037063200108655,-33.500274094096895,-27.362153599538374,-20.517974167897,-15.513297763709183,-13.283044491697382,-12.712143379348044,-12.245186465932827,-11.335266539334837,-10.290130190064588,-9.274009454661709,-8.006578309722235,-6.359241862066042,-4.784778496426566,-3.8959136290261167,-3.7038718712309993,-3.5497214555329966,-2.84583656
7kg_10bpm,5AB,-2.86674107,-8.405404609194948,-15.56315081472149,-22.927211291461916,-29.244832828983313,-33.89821830266452,-36.86520104932584,-38.49564205968942,-39.28610650177922,-39.64292806286896,-39.72732981888196,-39.51589274141575,-38.9949624368558,-38.26159216629428,-37.466732725307594,-36.71200195117442,-36.0043899680751,-35.296823190313845,-34.56161123411546,-33.81266844940078,-33.04921204817991,-32.20135378513088,-31.18393843173866,-30.05091986189252,-29.07948069676689,-28.614547610625536,-28.782457630061074,-29.357992087960618,-29.914390935239396,-30.1097669761441,-29.87362633028597,-29.39197023333172,-28.939401921911653,-28.681379854480685,-28.57270005902265,-28.424953031368496,-28.099014805856,-27.62506092681629,-27.120913413479972,-26.669618004401705,-26.328555921397072,-26.18511867930411,-26.319684149188546,-26.712969673315126,-27.209016303346818,-27.58498805322879,-27.680644560762932,-27.502825305278456,-27.240472591635243,-27.17519542863322,-27.513488945482546,-28.241910638171365,-29.153724841814917,-30.03770496519641,-30.82035455739561,-31.528634580078673,-32.187494380711776,-32.81796909388644,-33.49048304892982,-34.289274655252505,-35.201629359905944,-36.11117265822271,-36.937537352102524,-37.72622595859355,-38.557307822634776,-39.395001779225076,-40.07897236721403,-40.46407153343941,-40.53904987264601,-40.40747490331,-40.17397147778232,-39.889729986286966,-39.61451532474849,-39.461121391498985,-39.512083765825615,-39.69591225847924,-39.76371967270802,-39.457039852308256,-38.75161322953584,-37.93105800458573,-37.4459134110871,-37.665156457864434,-38.54109283114566,-39.244683022138304,-38.17857701887521,-33.842270275444186,-26.275750788744727,-17.74379595378707,-11.342773825957256,-8.472885791887222,-8.043084290091144,-8.137276579716476,-7.86473220213207,-7.4142546525276956,-6.967554637157087,-6.342201930417539,-5.50125299340482,-4.7292645545539305,-4.160306334418942,-3.50926255790836,-2.47397857
7kg_10bpm,6AB,-2.06310925,-8.553857524999941,-17.1616922525465,-26.376873678553423,-34.42403491687937,-40.071861448404604,-43.13152823426169,-44.26781802501109,-44.33858380782251,-43.87967698204871,-43.058408719312176,-41.90627848929917,-40.50497600721775,-38.997813632231775,-37.50082973993996,-36.04735761009811,-34.624779117071256,-33.25650602506397,-32.03904394212861,-31.088607480321812,-30.44513670607653,-30.027302034901545,-29.691135540782813,-29.345798214684102,-29.00887362010863,-28.75028333761832,-28.596051634382835,-28.498227843357025,-28.380281984160458,-28.198496603711316,-27.965601043597676,-27.70919151637493,-27.413560951714896,-27.040397889879863,-26.60417280371933,-26.180959070318913,-25.833674529249528,-25.559400082614417,-25.31477148746708,-25.072139775775973,-24.865063157190455,-24.78102096762487,-24.875970460955244,-25.10693459486825,-25.382356139503507,-25.667417972143358,-26.023963239317435,-26.55278639367517,-27.304109171925408,-28.22649588608921,-29.168609495790726,-29.94622217209864,-30.462029022466982,-30.79276469139058,-31.15314252465637,-31.742826437557866,-32.613213552963344,-33.68023852652607,-34.831348485271874,-35.97887938170074,-37.03818499397764,-37.934980940522074,-38.65027931277014,-39.20683841978967,-39.61571332287564,-39.86009190365506,-39.9235365367748,-39.826787909695284,-39.64591144932792,-39.48492529891363,-39.399070151057856,-39.32721451361134,-39.11753761973894,-38.65016748413459,-37.957911675406535,-37.254982081391276,-36.82447518614944,-36.78837641274194,-36.981952862704986,-37.16385506899517,-37.36639121246911,-37.923367779094264,-39.02044914997264,-40.10223253822195,-39.717065706815994,-36.25460910558476,-29.377424644519618,-20.96336773263449,-14.142644714337411,-10.884717523620132,-10.680918500178093,-11.471679364031338,-11.444101444400639,-10.097410479494272,-8.088433329275086,-6.315729489246932,-5.161432992894261,-4.441925730683852,-3.806916035627267,-3.0790390620751484,-2.28561333
7kg_10bpm,7AB,-3.11249623,-9.140827150465972,-16.734942866856898,-24.76192310945708,-31.986356424457302,-37.47568210230837,-40.869572515953315,-42.427192144742854,-42.798599286604215,-42.64127436556518,-42.29138988010868,-41.7059985217507,-40.7205826375447,-39.35490836200435,-37.83667503954168,-36.33809910780353,-34.836416057943126,-33.319706970382676,-31.986645478647517,-31.0381324150032,-30.380938810391733,-29.76679502211504,-29.16296808522637,-28.84856375816173,-29.114075986938396,-29.87256968221328,-30.60858845211946,-30.768188021587004,-30.231256298301275,-29.372135769277467,-28.682895196169625,-28.40025163411695,-28.451229829557377,-28.641758839569736,-28.82252132797859,-28.913270738064856,-28.912576937040956,-28.908237843178554,-28.96559208156479,-28.996157978546456,-28.847044728219295,-28.51183084801736,-28.123948753337338,-27.750637350334287,-27.36275913409781,-27.058653186515603,-27.112406163996027,-27.679506398818695,-28.56042497269687,-29.375619943603322,-29.936165756724996,-30.354224345203107,-30.842638750084557,-31.504264897382946,-32.28902225043104,-33.087398978569006,-33.8490572551608,-34.62279261305009,-35.497380705186025,-36.500990698602216,-37.534155796669005,-38.40394391166155,-38.95339055113534,-39.18598396404557,-39.25516510722912,-39.31005873329288,-39.37796964024571,-39.41444764635261,-39.427133560309635,-39.53599610734642,-39.89833254733326,-40.508944070285466,-41.12564033745672,-41.47393134424576,-41.45793644215379,-41.136713527374816,-40.620452445910594,-39.988773986655254,-39.254281850250756,-38.44158239167839,-37.69298489446085,-37.20015013096092,-36.88966411627238,-36.11615590962493,-33.85486383755942,-29.579619163994916,-24.091015074340962,-19.069401578338663,-15.571223956164461,-13.480053680598981,-12.381269029900452,-12.094845978840327,-12.209610050971177,-11.92883478918597,-10.786879262391293,-9.161738100257473,-7.810978693238985,-6.966424206661788,-6.125922086922975,-4.760039664176902,-2.97535347
7kg_10bpm,8AB,-2.95999648,-9.067789927607873,-16.96579987831862,-25.44154081206568,-32.9704209941288,-38.477161743675794,-41.781765201562,-43.393120256878916,-43.95509876946424,-43.82916144696145,-43.026334849324485,-41.420930001914044,-39.055717771821726,-36.30149300147754,-33.72489322873239,-31.816451323404625,-30.816995613302407,-30.70664709163498,-31.23648974761266,-31.990885183266677,-32.5803285698619,-32.831239456738956,-32.771720041029745,-32.486037018040676,-32.015784814197104,-31.37663519999999,-30.621983600788617,-29.864555784773156,-29.247852086245302,-28.873113316542224,-28.72552998516135,-28.69082825972762,-28.659936113060564,-28.604335956574594,-28.533405092262377,-28.406071657051488,-28.14262962861347,-27.750181483263066,-27.38245174749021,-27.21336049127438,-27.255461572092603,-27.349029997661763,-27.329485221511618,-27.164171180973277,-26.96220586932735,-26.892766478416938,-27.084415640837204,-27.56920955244683,-28.28388760369561,-29.100882050017063,-29.880470929999998,-30.570637693819197,-31.28784353499694,-32.244644189277366,-33.54779760376813,-35.07289196908344,-36.55380904730855,-37.7773077898817,-38.662399540609506,-39.21073582660925,-39.47664702815657,-39.57259214382874,-39.635383195235356,-39.74702615452824,-39.864655383698434,-39.85675984353948,-39.64171773728042,-39.292541736736794,-39.004928340795395,-38.95156370745128,-39.110975113786616,-39.222556597870465,-39.01663977579168,-38.54724087459597,-38.174362601898935,-38.12233912,-38.23237684174131,-38.237884490697176,-38.049525343189586,-37.73096146275284,-37.39959903144766,-37.20627144124154,-37.24823346927713,-37.300300057059964,-36.59784803525172,-34.13857055293322,-29.582241591045545,-23.930344395714645,-18.960641405317574,-15.843032785709077,-14.504972022508964,-14.115250074233638,-13.73576668920432,-12.700249435928821,-10.921724635071245,-8.975828180539583,-7.596950098218208,-6.929681114461317,-6.352939412102061,-5.146156714251409,-3.28086837
7kg_10bpm,10AB,1.15320114,-1.6820934276115034,-7.5484558082111,-16.766683019951117,-27.543655992884702,-36.683613388711564,-42.08921094105064,-44.06156100405211,-44.08483153670852,-43.096694862927045,-41.21831480520935,-38.65209393791185,-36.13549469706149,-34.30797853602361,-33.154813048537015,-32.253812349935906,-31.307008150843444,-30.32378567538482,-29.434865540502305,-28.7692887878258,-28.51344468985011,-28.88833668987124,-29.916668825868104,-31.21541113263757,-32.184127067863535,-32.53097474999999,-32.404553055668025,-31.96678792558318,-31.18367504011339,-30.074047310246996,-28.857115498006042,-27.73064415723856,-26.712419096016024,-25.81660618972277,-25.199917720692373,-24.974720869886553,-25.04094811670422,-25.23630619013033,-25.498748569359854,-25.74334932172702,-25.750268630938628,-25.372375078356697,-24.7711056012641,-24.247002686593273,-24.002204719255946,-24.154760518365503,-24.717058948113312,-25.537809637730895,-26.413039276086582,-27.23451920319321,-28.085923110000003,-29.228052949235924,-30.82845344710263,-32.605465859198496,-34.0180702559468,-34.97236872601219,-35.949475340010615,-37.29932638027926,-38.791280820225246,-39.937627927892564,-40.47155279338247,-40.442906440116225,-40.11338807890642,-39.823387948486015,-39.77374354874245,-39.83141292409283,-39.66470327597652,-39.11785153370454,-38.34677675559302,-37.62535801449363,-37.27233915921258,-37.57466952311074,-38.40706421726258,-38.94072827854127,-38.20188337455124,-36.246230440000005,-34.405237788657175,-33.901987995918425,-34.62393207861502,-35.708856233181464,-36.30587375062589,-35.51262320570175,-32.84958121290182,-29.211235355582033,-26.374171751823653,-25.28069962453095,-25.29832387851038,-25.002108637729147,-23.407563176417653,-20.695685478606844,-17.92381100036106,-15.957218616222084,-14.829549926209848,-14.094519341972408,-13.342981547342065,-12.162967047792389,-10.004895225532808,-6.777363070358371,-3.4341737560576697,-1.1635394430169357,-0.17488427
7kg_10bpm,11AB,-5.05763799,-15.689616782510006,-27.914944943602794,-37.676806004476106,-42.815080154402686,-44.143982379869406,-43.858346676626276,-43.385183134978945,-42.87176656709181,-42.021622030347075,-40.62158189849432,-38.48564414151403,-35.64147602212373,-32.69610568437814,-30.600976496336834,-29.817891929057687,-29.890867479404555,-29.987650703843283,-29.769831975761104,-29.47691075506695,-29.373760268652923,-29.403134346395333,-29.306733397852607,-28.99723391736772,-28.676514427106998,-28.594184071504916,-28.7770228661624,-28.969334002536197,-28.895837045723304,-28.51059266414164,-27.952675876396086,-27.42213278895671,-27.08377102635302,-26.93821190832913,-26.783070016965137,-26.416877460024153,-25.88119379946285,-25.426155700473814,-25.237053440342255,-25.292337058294457,-25.46113666486613,-25.663235407534025,-26.013399344749853,-26.743641238332334,-27.885357022610314,-29.15529701383991,-30.307148760867776,-31.40802499158641,-32.559248076818484,-33.65135769856789,-34.5784638943649,-35.368082520520666,-36.12276321336563,-37.038629291835825,-38.25013563571622,-39.59099257853773,-40.713798133249405,-41.40863417018214,-41.647062475150626,-41.49121835482702,-41.05718897403877,-40.39891143501712,-39.5659955723496,-38.930229933027924,-38.824984501051226,-38.74541610265718,-38.036909173458525,-37.015864579512396,-36.52439182016015,-37.03223750464661,-38.11107368584934,-38.66252819432752,-38.12104749298718,-36.802811467577285,-35.545545385420695,-35.15486804834466,-35.529162101338514,-35.73749837514934,-35.009651828880315,-33.49692830490361,-32.17015187602398,-31.8489877494691,-32.14799423795175,-31.67900422590303,-29.78105186002175,-27.40443131212092,-25.78186709596724,-25.17759541346993,-25.291243565988307,-25.76496189658818,-25.91512272402893,-24.870467723659143,-22.38597585375059,-19.22332713660661,-16.581729297626126,-14.941370304229464,-13.603311717920514,-11.615121939949278,-8.894431024641104,-6.1535862346377135,-4.05254948
