cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,2.75052354,-2.9599536370432915,-12.66575381825238,-24.813749137727818,-36.2618421108854,-43.84920505884512,-46.37133484801249,-45.15895356399353,-42.726701680119675,-40.9176375991188,-40.154028813924576,-39.898095821317604,-39.44605453671129,-38.417394919060975,-36.84187976505171,-35.01490429754338,-33.30422987230496,-31.985948702545006,-31.143504795140352,-30.691105382641243,-30.506632162885534,-30.521525684013262,-30.671096586088346,-30.841980053440082,-30.916379096272177,-30.833526363243408,-30.62051683619496,-30.381317133426496,-30.246323469081293,-30.319170093011287,-30.62758509651891,-31.109238163967184,-31.655429337880218,-32.16703629113535,-32.566735778728216,-32.80229727776875,-32.88152916075569,-32.8814960316426,-32.89709853420041,-32.97356582722537,-33.10036797222166,-33.274125098689225,-33.53854013790966,-33.93223240342602,-34.406188718263515,-34.82604218262794,-35.072871183538155,-35.125802067657865,-35.038257671637,-34.873113953665026,-34.68178296868688,-34.517750269618226,-34.43269268216994,-34.43776678552961,-34.47430276027854,-34.443121919325684,-34.281228133053894,-34.007958634609224,-33.69943581058296,-33.4353359480794,-33.271536426928556,-33.2474533052763,-33.38687972001946,-33.658160006378495,-33.94160873835967,-34.07711616436319,-33.95759708889624,-33.57850467469759,-33.022897014353454,-32.44067479539353,-32.018356982079666,-31.881710686531214,-31.975401537189263,-32.056332568372476,-31.838355358348327,-31.179487517678037,-30.19031887664189,-29.181356219550565,-28.46951273215998,-28.18509701625117,-28.218707544578482,-28.338119430835093,-28.363883050721185,-28.249393104244316,-28.043718012127272,-27.83672735183258,-27.739096061252138,-27.820836408419442,-27.888310348287003,-27.27446869980346,-25.093438428120912,-21.06995187030974,-16.212341823678194,-12.31132838988865,-10.417568378130067,-9.927980171560728,-9.314608771039477,-7.6243489569621286,-5.200427472485638,-3.0576119479169392,-1.80266801
7kg_10bpm,2BC,-1.93640595,-7.035901948695532,-14.559369837320137,-23.683312085957102,-32.736129207774106,-39.84978866193974,-43.88638011458241,-44.95273971792108,-44.08893465690466,-42.488824471373164,-40.92841055904224,-39.674009844312536,-38.679806237442406,-37.81454816565004,-36.98706129586008,-36.15122451865426,-35.24865394340806,-34.20869217759193,-33.046603771339605,-31.94014729688093,-31.16291613406273,-30.895400263091823,-31.075701072228725,-31.42664947957031,-31.636107849708594,-31.553184492296506,-31.251252213194938,-30.915822227074013,-30.673357958747907,-30.517549001373993,-30.37279055357478,-30.20195823702956,-30.046236107655012,-29.977012068296375,-30.025339267395978,-30.155537098105665,-30.310442052081612,-30.47957048635583,-30.717161892616875,-31.091838493946497,-31.615853819958183,-32.211289246996316,-32.73201107567802,-33.02299564122203,-32.98067470493826,-32.60272075268652,-32.01963867697502,-31.467640818380126,-31.1845816619911,-31.28827740473057,-31.7248028158101,-32.3144982117285,-32.85320502224497,-33.20441232359294,-33.336644273775306,-33.30468422554831,-33.19545299278539,-33.08225080713372,-33.02342891243628,-33.07813540142516,-33.29463485397858,-33.67054820378517,-34.129191337041696,-34.54124125330004,-34.78057343128981,-34.78715298046873,-34.5966828049141,-34.30293714026653,-33.9950564166781,-33.73209331118172,-33.546283083646,-33.436411354428145,-33.34759369571362,-33.179898224372195,-32.84512762270169,-32.33722867774733,-31.758972715071003,-31.267922408980606,-30.949826322264332,-30.69135844797565,-30.1487195733487,-28.87663777794704,-26.60769852524336,-23.534602720403235,-20.313929936023822,-17.597894785154466,-15.401500105856375,-13.052291179109583,-9.995890887675413,-6.661164416285193,-4.2578453187030325,-3.546686382562615,-4.007527667584999,-4.32123454590039,-3.55512905901614,-1.9176942759305085,-0.43808626737876033,0.06286596951388593,-0.3539182703637278,-0.9923219019785968,-1.21946262
7kg_10bpm,3BC,-1.23527409,-7.807829161547412,-17.091222598231752,-27.42137010156702,-36.44492515798709,-42.331770182857795,-44.72198393245121,-44.62742502894595,-43.479226905025435,-42.23084083532938,-41.13937418998724,-40.083464937638986,-38.92488797013116,-37.6403499361814,-36.286081219982215,-34.94426174203999,-33.70454286138871,-32.65090923346038,-31.832989486159626,-31.23823124351628,-30.800233119999998,-30.457650078638558,-30.20337483081698,-30.05670646310476,-29.99814375437486,-29.95446358258859,-29.851483653426357,-29.671414631287956,-29.464986546942995,-29.32135416570656,-29.313626359578997,-29.452615142199456,-29.683199382708093,-29.92377860757026,-30.119522438514352,-30.271628692043617,-30.417069946249054,-30.588150735704417,-30.805135719049204,-31.09786051465114,-31.49941956,-32.0014471604646,-32.51839470073481,-32.91451973536552,-33.08391536460132,-33.01250838556115,-32.77597553532168,-32.49421571955762,-32.284680783298654,-32.244073009973555,-32.446609478648305,-32.9169991980041,-33.58700795882009,-34.29360883365338,-34.851534381043145,-35.14757406221816,-35.18236277134003,-35.05165429198881,-34.882984845404934,-34.76135655609646,-34.69867006,-34.65849645667266,-34.59255747597317,-34.46677950054867,-34.268026507162965,-33.99116913908035,-33.63658044017959,-33.218778026156635,-32.759673646557005,-32.28279872516323,-31.83312161053659,-31.480790056988607,-31.27111742511729,-31.167573386224895,-31.059477874802493,-30.8283512740047,-30.41839726719529,-29.881351441665032,-29.38305705681015,-29.124981970711975,-29.144313770000004,-29.10403120303324,-28.314859021476664,-26.140592865550197,-22.60374098302341,-18.659522243330702,-15.664143425345259,-14.320530760574428,-14.095607214814452,-13.686929980744441,-12.06939705588274,-9.227048324268793,-6.0457770182795025,-3.5260156267602065,-2.081299006433227,-1.5320951192405705,-1.527196556706825,-1.782574149557915,-2.0321983326352866,-2.0278126062837836,-1.68511632
7kg_10bpm,4BC,-1.59467922,-8.94910222866099,-18.745744261637522,-29.294917316895244,-38.375059442662874,-44.28064164196811,-46.63681592068263,-46.315334515795996,-44.641571504986025,-42.665155018477,-40.936193522907836,-39.62370518718146,-38.669940554933326,-37.88860711184813,-37.0713122987237,-36.10604215984586,-35.01933549715806,-33.91769561062824,-32.90423590861469,-32.042942162106414,-31.364545963802478,-30.875767123441143,-30.556082385719733,-30.35599398504357,-30.21351744663821,-30.08182849,-29.945422042947236,-29.818532482218348,-29.738027438077214,-29.743089583362124,-29.839014518098562,-29.97566433954961,-30.07087436623473,-30.06529424182352,-29.975466401827276,-29.910700048773656,-30.031094535074352,-30.464205684874226,-31.225965229399428,-32.181711483925774,-33.079671580051944,-33.663265174043545,-33.804641852554745,-33.55914526625041,-33.09902831778999,-32.58978966951658,-32.11022289937571,-31.657661944238985,-31.216878886665743,-30.81819939833336,-30.53125623,-30.417851637320666,-30.486550291567767,-30.69208291805271,-30.992202691446007,-31.410845117914054,-32.03443212831833,-32.926548476918185,-34.03447695611889,-35.19011452747201,-36.20801004675955,-36.98141409031644,-37.48933046631508,-37.73732472946732,-37.720137501043574,-37.4400286162988,-36.93792218726692,-36.299149368387845,-35.632906424639366,-35.037123865407935,-34.56555183293344,-34.21937259974368,-33.96813215247342,-33.77191198211622,-33.58034994723018,-33.31693406000001,-32.87621855141877,-32.14997565108109,-31.084081815014713,-29.74804102304244,-28.36881804063593,-27.281271025412153,-26.772010826686923,-26.852905824683948,-27.108365893267848,-26.793589110950183,-25.22819608911037,-22.300131323190985,-18.704989311336746,-15.571279352930262,-13.606519572382798,-12.570044832955478,-11.6334912526835,-10.196658248191289,-8.321972260083538,-6.47768282639902,-5.032529791624135,-4.042968438489734,-3.338375910142969,-2.6689691469489647,-1.8610961
7kg_10bpm,5BC,-2.15261504,-9.237226349291152,-18.273287770055333,-27.81187000597395,-36.160134755046805,-42.04446436882327,-45.09976883997827,-45.8146180927978,-45.03462930245601,-43.5002852334967,-41.72520821299363,-40.07543195140832,-38.788489262104235,-37.91055140929036,-37.29173650161966,-36.703254516683785,-35.99433591614821,-35.16769685155098,-34.333138169828054,-33.609321698776384,-33.068891544841755,-32.7294972188508,-32.5498648271149,-32.44007989197925,-32.29012008157193,-32.00715321749715,-31.563621147079417,-31.023877711421143,-30.51220285608824,-30.13531572027743,-29.920290804931977,-29.817714744501544,-29.751821263978503,-29.67327731586564,-29.59535811961457,-29.58781527924917,-29.719757048349198,-30.0050379871455,-30.398240183639807,-30.831576456090346,-31.252166593895865,-31.62867034482357,-31.9417895862567,-32.185030720523145,-32.365660087364866,-32.491445185869814,-32.561278793688764,-32.57018173668203,-32.50454877743901,-32.33785132610434,-32.05683031062712,-31.70163120149672,-31.372349510549956,-31.18533149358454,-31.21922321031324,-31.486067242647337,-31.936254226476066,-32.48353739246246,-33.0244402657308,-33.46405258575343,-33.74690796233671,-33.86182591152027,-33.82934002144903,-33.692703590890126,-33.49771925239179,-33.25745743544652,-32.95261398233987,-32.592187593862995,-32.264439955695806,-32.092585881381865,-32.12287355153125,-32.2640457350412,-32.34615125208872,-32.25081582139756,-31.988186767064523,-31.658588993218455,-31.346482236406953,-31.050063895314473,-30.70792786976123,-30.280744945152577,-29.81929159918561,-29.48246754822204,-29.47163276100572,-29.848596647802033,-30.300420678017904,-30.038513119335303,-28.044819411999256,-23.722366391356168,-17.594983147787627,-11.299888036453247,-6.586334923260372,-4.232091374118359,-3.933140429396191,-4.933112387685854,-6.434757920656604,-7.614527088751569,-7.735696290754424,-6.505428126220514,-4.308427707307687,-1.9895934987407793,-0.31742369
7kg_10bpm,6BC,-1.37357061,-9.89951902381349,-21.442656741138656,-32.841529721247234,-41.012728306900016,-44.70947459970492,-44.86493550868616,-43.39135450044323,-41.73564772227708,-40.376831216779735,-39.21939556053018,-38.13935108393639,-37.18892580420416,-36.45202047570724,-35.844796396561684,-35.152696725612344,-34.262322016759825,-33.30449954868744,-32.549922427726706,-32.165637811447596,-32.082377995056895,-32.077163408739345,-31.95077066816977,-31.64402870641621,-31.240177251720976,-30.880623511221202,-30.663096458603807,-30.58359664766189,-30.55674933259391,-30.490135086720347,-30.346847181131952,-30.1677577545853,-30.053137870353144,-30.104011058591116,-30.357935591461153,-30.77366655305053,-31.26611145484918,-31.74924982445083,-32.16067804220626,-32.461501688156254,-32.61984941890839,-32.61111546962719,-32.445070751904304,-32.19546184767193,-31.984428863128556,-31.910009508236058,-31.96877572412289,-32.0451630600764,-31.999201401320708,-31.78538041079921,-31.492643339193126,-31.27772188004415,-31.25757963732361,-31.447421324763756,-31.78392478314243,-32.195168971337885,-32.64262259774928,-33.112375363815076,-33.611637238318075,-34.178925447461744,-34.86712885764954,-35.683744196760806,-36.53391546975302,-37.236625759557064,-37.607828658966866,-37.55348091557294,-37.1344858333479,-36.55025860144819,-36.01068266185743,-35.599420251651296,-35.270874828710205,-34.95440371522823,-34.62642895590472,-34.277139451977504,-33.85450556901445,-33.30481405990263,-32.66994754590634,-32.09744790268406,-31.714496850690477,-31.48373152936112,-31.20593678553395,-30.6681902005187,-29.79862948584884,-28.679890627284678,-27.391565619132287,-25.84581562671255,-23.8196969576971,-21.188017958240977,-18.163860337512773,-15.280037533792083,-13.00647775700634,-11.380357857476724,-10.111304723209926,-8.990166216544974,-8.050507760677348,-7.335880653316405,-6.675929293414645,-5.791006850977134,-4.5401796893696,-3.031521078255256,-1.56478489
7kg_10bpm,7BC,3.23940254,-2.9438971141768318,-14.18926237,-28.19102629624373,-40.60218864,-47.627190015837755,-48.52682116,-45.58159714882579,-41.81478574,-39.02383944542652,-37.47736742,-36.62840590791554,-35.87799127000001,-34.96456439775714,-33.93335224,-32.9228344539713,-32.04531445,-31.385424730247696,-30.985855220000005,-30.789769235816006,-30.64242302,-30.394069798897394,-30.00184015,-29.52688063414854,-29.05711185,-28.653130031310795,-28.350268760000002,-28.187303669692035,-28.21372178,-28.44516905940876,-28.826634530000003,-29.277762560799033,-29.77970794,-30.391907570420987,-31.173951120000005,-32.09304250089213,-33.00452096,-33.73345345666404,-34.193928629999995,-34.42621009544536,-34.52715594,-34.57579824994331,-34.60037891,-34.57949544218761,-34.46932226,-34.23228902144604,-33.88588885,-33.53503972303029,-33.30144782,-33.19889001610669,-33.10266553,-32.89244112975995,-32.60963580999999,-32.42717979833615,-32.49314575,-32.83236217637052,-33.34705973,-33.85936173686567,-34.17279836,-34.166865236885336,-33.88633332,-33.537724856386944,-33.36863431,-33.47820868377173,-33.70995819,-33.78609560661992,-33.57628347,-33.20068888002499,-32.8747721,-32.70535287201719,-32.63471007999999,-32.53395492112627,-32.32153844,-32.006283557031914,-31.67344525,-31.442942579356142,-31.38947326,-31.46018493382136,-31.4714175,-31.214789245757792,-30.594075840000002,-29.66965672118033,-28.602278679999987,-27.55404284027151,-26.54223452,-25.326070864358535,-23.53040969,-21.01298277273851,-18.14152834,-15.576001715506703,-13.65985172,-12.196323586262416,-10.92896981,-9.968873905585719,-9.516864859999995,-9.356044914165645,-8.86637581,-7.540410760187826,-5.422791430000001,-3.072686452103148,-1.17014353
7kg_10bpm,8BC,4.31208896,-1.1477859641439823,-11.849568984011256,-26.029794807112925,-39.419260485773385,-47.57341533478082,-49.107553957195975,-46.38246524992485,-42.872051073421716,-40.46150392272825,-39.1048704415585,-38.04459447251205,-36.86548214259949,-35.685296482858966,-34.72123560482585,-33.902373477171245,-32.971707590080605,-31.86309556032524,-30.82959516881883,-30.148746420620494,-29.826191309587543,-29.67810652465585,-29.592203195935728,-29.574931298227543,-29.599937809200803,-29.546917417538726,-29.316000822554972,-28.96452729276221,-28.689512699066942,-28.659998989831184,-28.871427801215393,-29.167153580789186,-29.391338927972605,-29.51353104508048,-29.626982627659984,-29.86029727833128,-30.286724929288443,-30.88824999886379,-31.579053823022004,-32.26669646956889,-32.902337046032805,-33.465509015829475,-33.89308499402617,-34.073360434476854,-33.95491401787521,-33.64846958255074,-33.38519014070728,-33.34835212122763,-33.53835702780934,-33.813435189971614,-34.0367484,-34.145802273343264,-34.12941133377347,-34.0081660309297,-33.82953673427141,-33.65784172768347,-33.55150635893019,-33.510086463421445,-33.47405554035564,-33.45660444919144,-33.613685796132316,-34.09403073719015,-34.83924508018595,-35.597367337499286,-36.13794078164829,-36.40854431746773,-36.48629266429697,-36.44718716405823,-36.31146907205963,-36.056588499653145,-35.63818621334381,-35.02144258326906,-34.247027466698526,-33.453178510231446,-32.78978256832753,-32.31692234168211,-31.99051427478696,-31.72164611117441,-31.400443354318476,-30.901139945788405,-30.18272693162822,-29.41721389587726,-28.91796594924337,-28.816684784358703,-28.752891023713843,-27.943047437021413,-25.75640614099017,-22.4056886249029,-19.03389189180721,-16.83313353041421,-15.911512209076973,-15.169063573466238,-13.411678729147265,-10.557964715520233,-7.706091454876256,-6.018920676864584,-5.632352682443596,-5.693685071594387,-5.2968757853880275,-4.167595552408879,-2.60706376
7kg_10bpm,9BC,-3.72090792,-11.598936757794606,-21.775810626736146,-31.894861034269113,-39.35599673673027,-42.864446846900044,-43.033889847718534,-41.54300649693472,-39.8465568115824,-38.57426288692885,-37.69955420934512,-36.90942012725223,-35.904091358003086,-34.6320965930757,-33.33395937538158,-32.32683522175722,-31.73491420843087,-31.423502026326293,-31.147211801832338,-30.73791071482903,-30.232621026406402,-29.83007149181185,-29.69251144149514,-29.78745046418541,-29.932841959909126,-29.993474465174664,-30.00812038268827,-30.117408750563325,-30.385706521492846,-30.740453449100087,-31.075079033840424,-31.361770553411382,-31.652049624243194,-32.01296278819577,-32.44430939778271,-32.82449474346737,-32.99628170960783,-32.92450616220254,-32.746734557386084,-32.66866603790716,-32.822877135840024,-33.17977763029982,-33.572110942795426,-33.81475582838278,-33.816799340960465,-33.61237802009851,-33.31331599528325,-33.02486011899588,-32.801841699557826,-32.680449786211554,-32.70994871495124,-32.92701131043819,-33.32404043788067,-33.82707952075157,-34.2942557570027,-34.58621589419843,-34.6589968002495,-34.55721285405733,-34.34827746656298,-34.13814766893571,-34.080206131400345,-34.23939025404833,-34.514653027169004,-34.77503930670092,-34.95946644004327,-34.99427281088559,-34.77767433086433,-34.30766699000027,-33.745742119927726,-33.32913386761665,-33.21141477699184,-33.34748842412924,-33.55559715869687,-33.67071785888741,-33.61104802318444,-33.37452036274096,-33.00253947809676,-32.534559004844134,-31.984851219747988,-31.358848388468335,-30.65250669870677,-29.841662395760828,-28.95005972203859,-28.087738491054935,-27.315797287856856,-26.48542514457985,-25.284295450069106,-23.51792599780471,-21.333574387899564,-18.99477097873055,-16.500140862944928,-13.789246621331813,-11.246147779884097,-9.572022310902339,-9.14246551910074,-9.67155955717685,-10.350561165204565,-10.222615776672411,-8.722254607543853,-6.038331858915847,-3.0296605
7kg_10bpm,10BC,1.34886848,-7.459122354481911,-20.4734620576879,-34.340113673052976,-44.7485594392092,-49.09953071356662,-48.03074348839654,-44.367176590242885,-40.82534123590865,-38.62159445980229,-37.565006577441245,-36.891864525081644,-36.00511961924375,-34.75616023932489,-33.333973900028155,-32.014421194980564,-30.984998094338,-30.308325127561776,-29.955881299648954,-29.85161731748754,-29.905866983550432,-30.040912554708747,-30.208699882681124,-30.37609171628311,-30.484117460819675,-30.452438890000003,-30.241358044519345,-29.897066474404465,-29.52622188832702,-29.23251336875823,-29.079563294678575,-29.105775776981986,-29.339145517678173,-29.777846702033738,-30.372408168989832,-31.04514032635231,-31.734369741189045,-32.41086485887842,-33.051979691236745,-33.610092699898416,-34.00499781799619,-34.154238461161704,-34.02429805020509,-33.67678317047534,-33.28981464464179,-33.09605699189785,-33.23885426027149,-33.658299137393314,-34.13051241342826,-34.43496386674604,-34.49738609,-34.38398993467734,-34.18730281254344,-33.95850652987106,-33.74129615180768,-33.60836331314921,-33.619476950491844,-33.756318128385885,-33.927183539915916,-34.062783755444855,-34.202231462140055,-34.440417590277406,-34.792886233375306,-35.15599157677989,-35.38157859181279,-35.344196723071605,-34.97277100985778,-34.31067329353816,-33.55620512674179,-32.964389152954176,-32.67541258299812,-32.65410627425041,-32.76562454262484,-32.88140354221217,-32.95066663531264,-32.99113032000001,-32.99207993061028,-32.85927000434369,-32.491690677601405,-31.870492021092275,-31.06196722356141,-30.200825122571857,-29.49467813111375,-29.164515020182808,-29.252270454458507,-29.394158715706922,-28.803718427857977,-26.66931146125077,-22.821379137352228,-18.053094370310482,-13.587714903094781,-10.242518256800619,-8.256705681319556,-7.5563252347368435,-7.727078601413404,-7.99261971391318,-7.612489942139016,-6.29224526031356,-4.261782049587824,-2.1291252902756708,-0.58066336
