cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-2.37797987,-10.74319030725348,-22.55408784096616,-35.215996118395765,-45.34316435511394,-50.83529218906464,-51.95076107811144,-50.52690471374751,-48.47530475898303,-46.914375570412574,-46.14666065207437,-46.014434863716204,-46.23841094704493,-46.5719587065639,-46.80343161520551,-46.782959533394234,-46.5506352675704,-46.37650292499078,-46.51060097607043,-46.85443515940312,-46.96738030267232,-46.43687987457085,-45.2034633559577,-43.506808676444116,-41.59714929853283,-39.60078096,-37.625424067840484,-35.85636605019265,-34.467329799359845,-33.43705236148993,-32.52291356007286,-31.46945675967244,-30.226478264040566,-28.95322785903979,-27.836509069395714,-26.927035486928805,-26.138108177664783,-25.36939041506246,-24.622288156705192,-23.994612324500835,-23.55268861317588,-23.25041139951452,-23.003295819045547,-22.80195203795119,-22.721000433994252,-22.823775681186675,-23.08333012331395,-23.421351214208443,-23.814462991893546,-24.30601312552528,-24.89315584,-25.46787639998937,-25.928647655646923,-26.3080120603642,-26.743863341475386,-27.3503345189133,-28.118783179414827,-28.914404266089356,-29.565921544623865,-29.99600212909648,-30.291033987913103,-30.628545941567264,-31.09716884733908,-31.574432291401315,-31.8182499867329,-31.7331684311537,-31.53416193277419,-31.584826008666738,-32.09462782518805,-32.98815318705069,-34.00040911074622,-34.87144427376665,-35.47769368239922,-35.8436485556203,-36.1159842650996,-36.50937538,-37.12601610364409,-37.70160377271249,-37.56919131085757,-36.09957497392099,-33.43282774444073,-30.72954549056772,-29.326195825825998,-29.511977873434233,-30.322540972378384,-30.448597594387262,-29.210881765048644,-26.8396403010057,-23.995257104738577,-21.039632749544676,-17.874523696814833,-14.435863083648563,-11.029816214748484,-8.150916570924888,-6.180001751778927,-5.149695007630155,-4.788054262984141,-4.711924021979282,-4.505038270352,-3.804151144168263,-2.56144091
7kg_10bpm,3CA,-3.12831478,-11.778210172441478,-23.517797742061905,-36.14382411788933,-46.88803696281397,-53.79761079622472,-56.535863751359464,-56.132103510197666,-54.15021322405259,-51.96499849608059,-50.39021216450614,-49.59216808541834,-49.25459824497947,-48.92884883182647,-48.36209960739456,-47.606389455437565,-46.894469251671936,-46.42475655572493,-46.22242374290125,-46.153680010948534,-46.0390403921428,-45.75535288777654,-45.25879240728565,-44.53820142405063,-43.56134044274102,-42.26451767,-40.60412927075871,-38.62278019966015,-36.46603709916165,-34.339804247540165,-32.43350732459721,-30.852696693427962,-29.5994227741988,-28.615098512840174,-27.849525504952762,-27.30199003673351,-27.009323547660788,-26.989755605162838,-27.180306641750544,-27.435425514662214,-27.60069072267506,-27.58741405461269,-27.36786969867775,-26.924741233716237,-26.251526180523687,-25.41193869698137,-24.566327897179097,-23.90420324489252,-23.531170990441638,-23.412104735558742,-23.43686324,-23.55200741533566,-23.803777001222677,-24.229599391788128,-24.742087140406294,-25.178723927693458,-25.473694800064127,-25.726556734055748,-26.0779727465286,-26.56911793176499,-27.159474797941222,-27.833120772511144,-28.60956903710923,-29.452792442884906,-30.24818799650585,-30.90449290025541,-31.44176847983896,-31.95518779809759,-32.50264846018312,-33.05236937100596,-33.541182500100085,-33.95241891256411,-34.33169196990846,-34.756410501926524,-35.29519580115881,-35.96324594000001,-36.67181104319708,-37.18013299503419,-37.10201653198534,-36.06258007182935,-34.0246843940548,-31.554667203026817,-29.637672793609976,-28.989911013820464,-29.4978118553582,-30.349394102585965,-30.637990872251265,-29.861648294543606,-28.035782664325456,-25.476217130986555,-22.4467445689147,-18.99186390973346,-15.205305981506257,-11.551943374936652,-8.644103830841694,-6.724591594769492,-5.563937167744894,-4.6543374101752875,-3.5586615392030745,-2.252142786326591,-1.05217684
7kg_10bpm,5CA,-0.63075967,-8.61358647552887,-20.85971580484643,-34.70745426869397,-46.26536140619518,-53.07089266582499,-55.31128777280652,-54.686653206846195,-52.83753508958785,-50.87641020325679,-49.50503210810206,-48.95780702117207,-48.93082299960668,-48.8705426989128,-48.469162939376005,-47.83487257332313,-47.217211843200694,-46.702342457838,-46.18657898312986,-45.50136836957607,-44.49457329713015,-43.061005180672275,-41.20880239123867,-39.105048073385646,-36.95325671113151,-34.859080193032064,-32.89352732608302,-31.217799477744375,-30.042093776906988,-29.48280445159067,-29.47411333001643,-29.767773967940435,-30.0395205337733,-30.07837975723738,-29.90285564519675,-29.66012950945846,-29.438471907042935,-29.207493034957533,-28.92601756451611,-28.65387405153865,-28.461922589286026,-28.279983412133046,-27.936193662964516,-27.34143512068796,-26.603679746055327,-25.949557246779005,-25.566190383845697,-25.534455541686917,-25.8475571766348,-26.41291305025646,-27.097362540272904,-27.852423407540357,-28.681826191866875,-29.47472113221262,-30.06629077154486,-30.45375512119816,-30.782305846693205,-31.14168104200391,-31.448602189186488,-31.54476447858659,-31.419161551912357,-31.325358192310123,-31.622452490267808,-32.41201312079977,-33.40782315176812,-34.2755972421259,-34.97170308856299,-35.65035876648236,-36.39574676467281,-37.12380140779077,-37.673130857224265,-37.94243104642083,-37.954447365096115,-37.80782121993596,-37.6097488929014,-37.47247236140248,-37.49650738430779,-37.65094724077067,-37.588786203564446,-36.70873101218855,-34.75863268532395,-32.483334359400196,-31.183607485771635,-31.266521840136214,-31.725188400984948,-31.298330452704917,-29.768116387002898,-27.93205127708722,-26.53397429053038,-25.612786074781102,-24.772083456176134,-23.459187233656735,-21.044787726540534,-17.348286553568947,-13.147485512135189,-9.681349398683377,-7.588300346349882,-6.532437395814094,-5.666208389010795,-4.454180440345875,-2.95081627
7kg_10bpm,6CA,-4.02145774,-12.910797169347171,-24.890092862448952,-37.27512392358497,-46.98604280448221,-52.303015708564644,-53.536659738210844,-52.26934181885821,-50.21116884094548,-48.56442945867658,-47.848256827998796,-47.9582900184859,-48.42352610892214,-48.7697720854611,-48.80179781150731,-48.64465666540285,-48.52895031877348,-48.541619854961844,-48.579249607292994,-48.44741900049381,-47.92685175637563,-46.83828879819487,-45.1829955948313,-43.22800919506805,-41.33092363543496,-39.646002739908916,-38.05676582558275,-36.368597683694645,-34.546035956517336,-32.80596904474536,-31.50106860930971,-30.81401759506815,-30.515909318977243,-30.14168296297399,-29.44797993820412,-28.625334810378845,-28.034781522950425,-27.805257079786585,-27.771344672665013,-27.73270471908168,-27.619019599584455,-27.40684208432125,-27.031102305241564,-26.466495491436863,-25.842537580675476,-25.389502304370584,-25.264704713933334,-25.465338405024337,-25.858149033739135,-26.249762162148073,-26.47773856,-26.49874368784618,-26.44155936325286,-26.565710410821623,-27.106158697875852,-28.0894298361069,-29.252809718880147,-30.212111185682694,-30.780994141766136,-31.07093975344759,-31.28838596943036,-31.54480739979777,-31.849475197044292,-32.15702014354213,-32.40930491692139,-32.63930913083915,-33.02270334680551,-33.70542957735997,-34.59173067939191,-35.43218841286595,-36.11103183349721,-36.700232041639275,-37.17677975429895,-37.208176704872756,-36.366028268943765,-34.62779581030983,-32.67461132753314,-31.512299035149816,-31.544333275020335,-32.16054471174691,-32.359864975444616,-31.595900667787195,-30.13328966810863,-28.79795275450428,-28.27201883305116,-28.463081364236597,-28.64515655457039,-28.17464128374564,-26.86862240221496,-24.79480798463319,-22.11357704392953,-19.253925557176338,-16.841712247857156,-15.171477108608789,-13.961144670773445,-12.652465511697683,-10.883970437436084,-8.714125701388497,-6.408623455847309,-4.176110078923089,-2.1971369
7kg_10bpm,7CA,2.70892626,-1.622870503884851,-11.573640400619743,-25.679384998543004,-39.819676743127005,-49.78927256000001,-54.05626908816033,-54.05581936394543,-52.26688516805013,-50.48029999222763,-49.372742349999996,-48.836263054165784,-48.46962688807379,-47.959847420872556,-47.21926316155929,-46.31065283999999,-45.351811222777386,-44.4431820438743,-43.6123505235839,-42.81730958198921,-41.99414288999999,-41.084556460582085,-40.088881676941966,-39.13882633872626,-38.403407751350855,-37.89659714,-37.44041042236709,-36.85567902319755,-36.16408953191326,-35.51446179249266,-34.919876079999995,-34.175283989851565,-33.134949964619196,-31.998854899222998,-31.187449119959663,-30.92204043,-30.99634950732809,-30.973767084292877,-30.607079688886177,-30.019587879017994,-29.46693982,-29.03189572431096,-28.613804024797986,-28.11363712051757,-27.53884977512348,-27.01282337,-26.72838569551719,-26.79632609251401,-27.124216744978213,-27.525766710554887,-27.933309409999996,-28.418102414085062,-29.008402684224745,-29.58614249849847,-29.961340127147547,-30.022796249999995,-29.85333760922338,-29.69198158794683,-29.75502142475069,-30.11425249497848,-30.733206659999993,-31.524969768980835,-32.33370419926375,-32.987707271181925,-33.426685093224016,-33.73906184999999,-34.09778460725494,-34.60769904649794,-35.19807149098171,-35.74335035722179,-36.23837044,-36.76454166264659,-37.33768261805077,-37.75736311096962,-37.509933224093885,-36.03912118000002,-33.46349589827889,-30.980443621577784,-29.96715778390815,-30.512362463585035,-31.33282895,-31.09470320751937,-29.585097350007864,-27.749552989882247,-26.571303878891648,-25.974156790000002,-25.244624291541314,-24.062676913013348,-22.664751821776953,-21.46110565195799,-20.596875250000007,-19.6549918362985,-17.79028250672733,-14.428355688035147,-10.172251562649013,-6.74644545,-5.355274205282606,-5.382587548048761,-5.163057694374745,-3.784017245771691,-1.84064167
7kg_10bpm,8CA,-3.24760269,-4.045105907633117,-2.798375188326662,-0.3296149633413428,0.034034060021327174,-6.068799151967453,-19.832916792018363,-36.333688239194224,-47.70532821631718,-50.4321439917413,-47.72094549999999,-44.49405713820674,-43.131976607679704,-43.51579043086101,-44.53653784583221,-45.29852788291849,-45.53199557620627,-45.46940538654168,-45.652171367593134,-46.3672096648376,-47.13361036,-47.13528542297686,-46.10130240669641,-44.46740069874652,-42.85705247983669,-41.558212880892206,-40.40706573251486,-39.05271350123537,-37.24918570899807,-35.1827949397641,-33.53298236,-32.77207441697617,-32.62797527850569,-32.542368065399295,-32.25821166232617,-31.748376133633247,-31.0056331419425,-30.238163904837787,-29.919935129871963,-30.199791680442104,-30.525801299999998,-30.25509612411357,-29.418886828248983,-28.571679818666055,-28.075813012499694,-27.839905164712782,-27.65682356912497,-27.561333044609697,-27.723905077560843,-28.100173677901935,-28.435948030000002,-28.57519115740508,-28.523935922443926,-28.350263177544708,-28.17943539195103,-28.137190332777376,-28.33733137230922,-28.901668599453068,-29.860958793791163,-31.08310617855742,-32.27226025,-33.15261343612591,-33.77790679898325,-34.44076248179152,-35.172781087193215,-35.64978914968596,-35.62934613984242,-35.31858035084164,-35.150055662349644,-35.26823299770787,-35.501291800000004,-35.62905059178378,-35.22630889967075,-33.7572472849763,-31.630225579444048,-30.379147993297945,-30.556144450897023,-30.790148884929312,-29.817756766688145,-28.13437382990258,-26.950832049999992,-26.239730163879855,-25.283376468348912,-24.26447591544942,-23.525162848372222,-22.720935636679407,-21.716458250566546,-20.817011833594183,-20.061967544165718,-19.328545698820836,-18.79009352,-18.55375419309715,-18.327057466516806,-17.46139624029053,-15.072681216188279,-11.136966271514579,-7.443038307257864,-5.689407196855647,-5.268178394344657,-4.421657984044508,-2.74144301
7kg_10bpm,9CA,4.19181192,2.784615981343373,-4.264868280254154,-18.061175912619326,-34.261642549141094,-45.624649792744144,-49.021021358634975,-47.63819650055987,-45.908814272775054,-45.39883984520916,-45.617201325942865,-46.1213980703298,-47.03228968044296,-48.37888035949068,-49.55991928119021,-49.867957954295406,-49.43226781031176,-48.8524674234716,-47.99540828573603,-46.191099688235056,-43.49601382625533,-40.93687001351107,-39.226230164732534,-37.86576999700777,-36.03085263221086,-33.75291372328909,-31.686197851527027,-30.241157957022253,-29.41215772678339,-28.92631441416767,-28.430993109924614,-27.88451813660972,-27.559563959713202,-27.56546179006014,-27.66298430499329,-27.578407357948905,-27.324225115531743,-27.191474428799992,-27.440526932036548,-28.01024728804198,-28.58904328707217,-28.994176100647785,-29.301333065796605,-29.692115997770024,-30.262621361576947,-30.886170105071386,-31.274989052644752,-31.182030994068427,-30.656399128492204,-30.138562955512743,-29.994917892317552,-30.193959053106326,-30.57262245021454,-30.994874766225248,-31.36245476376646,-31.742822846343213,-32.33565344003951,-33.17741423058963,-34.02514396419542,-34.58163693194884,-34.85699755913273,-35.08292445753708,-35.243446638506384,-35.25917658700446,-35.42683933779047,-35.90903335448296,-35.746191855628574,-33.64821836183294,-30.4458378123222,-28.63317333655708,-28.57808388481618,-28.246176301177023,-26.656728017733375,-25.14708671162375,-24.639317545604506,-24.114669717045622,-22.876659380211407,-21.71695839529581,-21.197523866037617,-20.83730039356087,-20.162111264927976,-19.382763264101918,-18.933546950741697,-18.777916078511605,-18.583334602628632,-18.34701918131182,-18.237373812898717,-18.16789897735472,-18.154472632153695,-18.33062969938782,-18.164296359534166,-16.70166342821237,-13.941897946052634,-11.30282251632152,-9.98954845719872,-9.57747021520854,-8.709181243230967,-6.99053658599338,-5.049834923582699,-3.1834091752357936,-1.51960531
7kg_10bpm,10CA,-0.32990119,-7.776237700047691,-20.6603505958741,-36.11487715840028,-48.437784115070926,-53.87283646147737,-53.449347826552774,-50.75358430950231,-48.50207438608265,-47.42497895029085,-47.03346829645737,-46.71005553650554,-46.183987649458906,-45.43033008861948,-44.603161151666114,-44.0153904686852,-43.85169455023789,-43.89223372818179,-43.7053962196623,-43.09730775856725,-42.210204035153104,-41.15703891354605,-39.76867331464271,-37.88225707213729,-35.81322454040031,-34.18406560952375,-33.183859809358296,-32.400245595957756,-31.462900846369656,-30.49771810983347,-29.86743834688716,-29.681205672257324,-29.740651352978375,-29.803034885892462,-29.745307230914868,-29.56760180943237,-29.282503064340244,-28.827701280258523,-28.12492266821397,-27.24072082023517,-26.49884517346617,-26.338478553722215,-26.921087047567944,-27.88590120829188,-28.642879784377712,-28.9582416305124,-29.110651219927323,-29.437164987547817,-29.9327727494387,-30.361989621532853,-30.535365624228465,-30.387026883887952,-30.063147218274807,-29.987670291498105,-30.530922443964954,-31.600338739909095,-32.74840191868745,-33.61494606989483,-34.20429708232258,-34.73872381089954,-35.257710265581665,-35.537833105599944,-35.436164403332434,-35.06237224456729,-34.62989073397326,-34.30579107830562,-34.12229120522101,-34.001448728037246,-33.954877521072234,-34.09672866226214,-34.187873035144484,-33.48576288755335,-31.697924537103763,-30.00366009042575,-29.942343609264814,-31.127585605163617,-31.614598637928875,-30.288171961261455,-28.06290579011095,-26.73323433976272,-26.755861274245145,-26.89797095149373,-26.20897600215058,-25.109931732211653,-24.392254131199614,-24.205423939461845,-24.27770534560064,-24.285271060652853,-23.813747487073254,-22.455157948960967,-20.253229865420536,-17.969904831008304,-16.43565433519497,-15.675281782208463,-14.951511145472146,-13.489703999842705,-11.191395127263661,-8.500639042005844,-5.870561013855314,-3.5870637773518728,-1.83763286
7kg_10bpm,11CA,-3.47367471,-11.920887056152043,-23.02116190120753,-34.46272238248264,-43.43810858887263,-48.31592762785668,-49.56213563797593,-48.89967467233866,-47.80150291599099,-46.94327561854514,-46.506294531644976,-46.46227079064262,-46.66195968856199,-46.92882672293647,-47.123950960196325,-47.11900924947159,-46.82809690060642,-46.29323776641894,-45.66154353332844,-45.04545626686795,-44.423631248762355,-43.654713219567,-42.58387171596798,-41.21745712226606,-39.7714407059018,-38.46391043854493,-37.30542401916369,-36.14280370960109,-34.84173033130143,-33.41652899845009,-32.0274570172336,-30.88576770849855,-30.181188445551538,-29.986120528163543,-30.12969290255532,-30.23840592371666,-29.982039044365997,-29.316878719127978,-28.535059718371848,-28.058717834805392,-28.10487314305105,-28.499472439749663,-28.83637865359652,-28.852356118590514,-28.635221398690415,-28.473211895245488,-28.553607107293548,-28.81644318844543,-29.0590916884877,-29.174519839230676,-29.26182347487259,-29.470538192983728,-29.777153154882633,-30.016742845893926,-30.15633849754931,-30.395651880695034,-30.917243681740192,-31.634941292529724,-32.28011510242795,-32.658273580975255,-32.749238665797805,-32.65693417564164,-32.48815886643064,-32.23554276978057,-31.854655395031806,-31.456799332863913,-31.325810591089308,-31.7073905415181,-32.52611638836704,-33.215124523125276,-32.91867495112348,-31.271158437656585,-29.162371878490646,-28.142887730775566,-28.67062663893656,-29.58308666596748,-29.47924621368994,-28.170922716696065,-26.76498153746452,-26.3737458922442,-26.783050003950812,-26.834615001521918,-25.966021269234368,-24.691888976435063,-23.653875631122883,-22.91195090116343,-22.215922837749556,-21.451940569168617,-20.6890609231344,-19.899676422328866,-18.783621415423415,-17.157240025764292,-15.453890457957883,-14.267944957722122,-13.468254005384907,-12.260997238004364,-10.067663630157867,-7.239248663479858,-4.637638813368796,-2.7227350191882773,-1.4289477
7kg_10bpm,12CA,-2.58898533,-12.261342061760777,-24.923311563629877,-37.313325727640574,-46.08234812703299,-49.96024381840777,-50.12519776225466,-48.728934921497626,-47.385187952439665,-46.73432417037312,-46.68383431743098,-46.854318416580014,-46.996186085975864,-47.079620523589774,-47.10388630917436,-47.02079034902807,-46.86278531707975,-46.77528201969675,-46.809114757632216,-46.748363493775194,-46.273758695510686,-45.28161136973431,-43.94385990846159,-42.47818483742262,-40.94029299431183,-39.266381599257834,-37.48269542706699,-35.78206003489145,-34.39704583909724,-33.455665755576625,-32.882516348314425,-32.41815676849072,-31.83644090120007,-31.124897446885054,-30.4387982722503,-29.956648989336326,-29.7837077911208,-29.906466841377036,-30.17563988254161,-30.35725856039498,-30.273550969398944,-29.912525760958037,-29.406315028225592,-28.920125832427843,-28.558921003119234,-28.345741189691076,-28.23048044033717,-28.133155640042904,-28.041535104889377,-28.045866514734453,-28.218688044959826,-28.51396666108073,-28.841566418615006,-29.14912621523172,-29.352975604370307,-29.331311450395102,-29.105222646986633,-28.899508309743336,-28.948386894451247,-29.321607141041166,-29.915625907577386,-30.516712483917775,-30.908646581541554,-31.019509945394283,-30.976158933585314,-31.01839760172192,-31.339645837339738,-31.978864227666705,-32.86138876333193,-33.90690764529457,-35.03892458449592,-36.091225289877244,-36.79121161249017,-36.97881176104805,-36.82719048986724,-36.71845689389555,-36.88727565916205,-37.1501279390845,-36.906195414298665,-35.51540751942626,-33.01411177957586,-30.53655068000491,-29.468256327386637,-29.894703719948506,-30.485397471777503,-30.085986631256425,-28.893090602787048,-27.8272267564703,-27.14328917002384,-26.17322968450392,-24.24122987952841,-21.3459302209297,-18.054445539734253,-15.065394908778114,-12.72360533027837,-10.852005180353576,-8.985229365445138,-6.846814900518898,-4.6864065433050515,-2.8769422895190147,-1.48969591
