cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,10AB,L,AP,HeavyHand,14.769358280061399,8.03039984754019,14.072661628366841,16.16133869040098,18.541666656472444,AB
15kg_10bpm,10AB,L,AP,postRiCTO,14.455098345975738,8.079643496051025,14.017548064421872,16.14349626020905,17.589679645428525,AB
15kg_10bpm,10AB,L,AP,preRiCTO,14.4388553549539,7.885224980149469,14.017548064421872,16.14349626020905,17.62266076604867,AB
15kg_10bpm,10AB,L,ML,HeavyHand,16.410622351825467,18.305457073170665,15.530088886271342,20.339624267264167,9.708873326916741,AB
15kg_10bpm,10AB,L,ML,postRiCTO,16.100209035703053,18.505411313555477,15.471676818832593,20.34412932566772,7.038968710200434,AB
15kg_10bpm,10AB,L,ML,preRiCTO,16.364353862612496,18.51750299209748,15.471676818832593,20.34412932566772,9.079017111990012,AB
15kg_10bpm,10AB,L,Resultant,HeavyHand,25.628685762266667,25.591756755652455,9.20976685630517,5.191810190941061,42.59467514248228,AB
15kg_10bpm,10AB,L,Resultant,postRiCTO,6.892931337436571,5.448460788497846,9.313769519258413,5.199008874989637,6.828164868021498,AB
15kg_10bpm,10AB,L,Resultant,preRiCTO,22.53337425611426,25.875234153316125,9.313769519258413,5.199008874989637,34.91773575753103,AB
15kg_10bpm,10AB,L,Vertical,HeavyHand,27.02911696808714,29.88381819349937,9.349666434935166,2.591070658043366,43.46022809862038,AB
15kg_10bpm,10AB,L,Vertical,postRiCTO,6.110964931522775,6.142497925552322,9.438217700984826,2.598241562949227,4.079525792217429,AB
15kg_10bpm,10AB,L,Vertical,preRiCTO,24.246768480690466,30.235634672477527,9.438217700984826,2.598241562949227,36.22996716564843,AB
15kg_10bpm,10AB,R,AP,HeavyHand,16.334439554263593,6.450543609505135,12.26647521736085,19.94863822792054,21.6596071366134,AB
15kg_10bpm,10AB,R,AP,postRiCTO,15.838178230716224,8.093639944812937,12.37652007763853,19.973710720167368,19.508161446338406,AB
