cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,0.02776608,0.7197377218638563,2.8077427344805783,5.678637724313397,7.7626624793372425,8.411800704309933,8.632705380738779,8.678308594917656,8.673478249200194,8.719247332140247,8.903981423286597,9.294387863373027,9.909331799168855,10.696749425411658,11.532815501861451,12.248621135764566,12.675498082113366,12.693351100042205,12.266393315717055,11.454122667396415,10.391343848215083,9.240703583246331,8.133227821099581,7.120664836635911,6.161090734734183,5.14492346,3.9490840467823105,2.4936247457515215,0.775634292454079,-1.1310942328272935,-3.104123353832655,-5.010245426813658,-6.736117947216938,-8.204355704870677,-9.377309373547453,-10.253624464930105,-10.86049187523322,-11.242901902566013,-11.45180624356296,-11.533479857173544,-11.521673546024218,-11.434111226613258,-11.275872536893335,-11.051258181548155,-10.78061328923354,-10.512124833107393,-10.317059242755006,-10.264135010524525,-10.382226925161598,-10.631972616826003,-10.906371320000002,-11.065555224756892,-10.99059542868961,-10.629287228308982,-10.011412244831286,-9.22796582268505,-8.38731400439804,-7.571183409681641,-6.810539674525548,-6.088842274331923,-5.365619636859527,-4.604589500125779,-3.791436279313461,-2.935020398242845,-2.0564118105000677,-1.1759441662617989,-0.306550767178248,0.5448320185337643,1.3712961554364231,2.160427173583181,2.89288869445408,3.5459063659114003,4.0989867167205265,4.537573681523197,4.852398969103775,5.036602259999999,5.085389113094682,5.001253863810828,4.802523061864368,4.5283819966002135,4.2337837292655705,3.9730597455507546,3.777806912945207,3.6380040257340296,3.4937842941114186,3.241417919165019,2.754316936126629,1.9075797011307587,0.6542300260924965,-0.7823165288496549,-2.0144421578470677,-2.634850178123949,-2.4056656467331745,-1.4246967695864423,-0.14790154055825758,0.8082620903372073,1.0252278734176898,0.5872248785031947,0.0815051051660756,-7.952264502702298e-08,0.0
7kg_10bpm,2AB,0.25102014,1.9488536092599769,5.508949272954862,9.704457417775062,12.46527054034361,13.949829682737139,15.087870582068428,15.880287173419758,16.309919568217058,16.357728943687032,16.08336955340027,15.540516002355295,14.793482179155403,13.947968906949892,13.068936861034738,12.197447047931306,11.348707076170415,10.51802868535119,9.697435297254454,8.878136967668418,8.049280517140431,7.194103216949955,6.278755710406333,5.265100344249523,4.122214364646761,2.8240697599999995,1.3683328065725073,-0.20663086420995108,-1.8596111680956937,-3.542226193766652,-5.209721182660064,-6.841458043452343,-8.429213611489754,-9.976510696373296,-11.479581669792239,-12.911459757046279,-14.20186535077515,-15.281119780568634,-16.07424420934339,-16.48671135115907,-16.527351851448117,-16.232972318937748,-15.661526992930344,-14.918507045864681,-14.113613116109228,-13.329177033413584,-12.638093061706963,-12.057761579242195,-11.57964558575749,-11.169420925480065,-10.75853424,-10.282523433872633,-9.68217733350991,-8.917370334705943,-8.006617834936883,-6.990285844398698,-5.939888781859763,-4.9448688078243075,-4.067822934654886,-3.3537920680546387,-2.7961271761062614,-2.3505519471243668,-1.9686349637863476,-1.6018073473737204,-1.224929309494459,-0.8399917076502261,-0.46847884122228317,-0.13518726674735548,0.14803441751666552,0.3816263894151564,0.5838700527452378,0.7783557339440801,0.9813306562242154,1.2034936291024927,1.44613914426397,1.71558025,2.032723277803626,2.4276291816769695,2.9232664909155917,3.5260849816729136,4.1892185904012305,4.798157031622319,5.208229966644797,5.202139791149064,4.679107338825939,3.6174385260484927,2.075652058876915,0.3440003845298768,-0.9064095916005152,-1.3018308111037271,-0.9325604702548014,-0.3463011786484961,-0.010646095807071102,0.0072274791106746025,-1.4135690550640648e-12,2.191033226090371e-22,-3.235867549073794e-32,4.444258681623627e-42,-5.377811095496818e-52,4.832192830807454e-62,0.0
7kg_10bpm,3AB,0.20147894,2.1401049753808183,6.296359736899384,11.033338385169442,13.509454598981218,15.07103961576547,16.18134433350068,16.794083275915945,17.041440139961413,17.00185600951828,16.7688071606562,16.43967287215415,16.04998322050756,15.60039142835534,15.066406916033058,14.396180604629201,13.573940961710862,12.611918675486693,11.538147362246892,10.427765128880988,9.329253049999995,8.27152995001887,7.234539208624769,6.1681040477815365,4.997408552903835,3.6730250324678493,2.139151292064559,0.4157442108021966,-1.461778523272464,-3.449794562670266,-5.471668639631346,-7.474018622864453,-9.397680561198792,-11.205836313093547,-12.84623058835129,-14.278028698238009,-15.482003574208425,-16.401478895645194,-17.054700806780808,-17.453946854737456,-17.59847215,-17.555838257675525,-17.35014044218472,-17.00847227193382,-16.560055918548354,-16.007497839463397,-15.364676697975142,-14.651775173699164,-13.891455364153533,-13.130099971553332,-12.405737416325886,-11.75874609416457,-11.185005947170954,-10.662085956509873,-10.125029631207983,-9.501409349859351,-8.706671316708878,-7.6993141959393085,-6.490971647744117,-5.1115950829790275,-3.67676935,-2.28485847938795,-1.0529438821072974,-0.023223809208180728,0.7763667910516497,1.371951579019107,1.8251502089035858,2.173680958407499,2.453128721687999,2.668260512308658,2.790530057896605,2.813684644079821,2.7367591822656783,2.5892719110749916,2.4404662250734988,2.3656637433946206,2.4354068478574176,2.6625217889988724,3.0316341869387067,3.44147551706359,3.782116170000001,3.900498929357471,3.7395430683015265,3.2656283574808675,2.501278852108551,1.6294066695488199,0.8286180271744589,0.26473560956189895,-0.005437681265355846,0.04105411883900494,0.3099777724134391,0.7005928862380091,1.1398211052771743,1.5242630050339285,1.7991210131092037,1.9197061723892068,1.842350501831334,1.5702318474988621,1.1451090159828194,0.6551212456845966,0.24713611
7kg_10bpm,4AB,0.05160022,1.5897299592532494,5.478541605902574,10.562416904448646,13.571844989569023,15.282938206169167,16.492285477588975,17.07486469109928,17.148439930699492,16.806391468168616,16.213745654484075,15.547223620752632,14.912679291894008,14.352025740566473,13.830003322182952,13.272608570120676,12.596817280180057,11.763300814500418,10.746369456842908,9.604089851264117,8.38950550479511,7.152000804285386,5.913890304769606,4.658667550864736,3.3331011069191816,1.89273802,0.29712563555794735,-1.451367307250414,-3.2972587389287127,-5.16711324224574,-6.962581886941351,-8.616243409395997,-10.054773645345707,-11.278752674429189,-12.300339121558904,-13.115188799605159,-13.76756580593365,-14.261362290124207,-14.58187238774873,-14.741177922849465,-14.727550983090037,-14.546307696322751,-14.2319057070253,-13.809277544913998,-13.323445312065058,-12.811667131226475,-12.302357708449676,-11.815305962640881,-11.35932926835234,-10.944368268173816,-10.56507865,-10.216794872192978,-9.889273155667015,-9.56412898809407,-9.22519476009579,-8.856848439574252,-8.455033201761907,-8.01708500299062,-7.5470210454240805,-7.049703131012826,-6.523213069761479,-5.968018646389931,-5.384375921434538,-4.768958688032132,-4.126208755214095,-3.454497519752679,-2.7425545922263805,-1.984005485613762,-1.1678125344007366,-0.29324736297703957,0.6122770267242325,1.5038558522503567,2.3074865233076487,2.9604970302330864,3.386533813473889,3.5693383899999995,3.5391359035471353,3.3444581394370223,3.111537940261088,2.945971874811296,2.9781643627043395,3.245320237403545,3.7559918773722267,4.447086578274193,5.17298805136292,5.662090288647986,5.266020044818239,4.084107170637093,2.510611209431939,1.1284851556088782,0.28141912467655583,0.016417612711888956,2.1254254314630343e-08,2.2275720837743567e-18,-2.9756200160774105e-27,-8.208828727843339e-37,3.522005283293398e-46,1.8074042915409016e-55,-3.0139686239069596e-65,-3.212007751941905e-74,0.0
7kg_10bpm,5AB,0.75091515,3.6722483182149137,7.908022952448492,11.92082666031454,13.989822970524788,15.265421869430993,16.446625416509082,17.43160248702525,18.091396001014736,18.362201746380997,18.25069530265212,17.74893257400506,16.9942227320675,16.066921417356628,15.078166931918497,14.099217039059589,13.171114068942344,12.273971304326658,11.360967982984329,10.352024046533357,9.189954883052339,7.7933838021317765,6.176402159660607,4.352568162289282,2.3758573577638646,0.3281972847368068,-1.719106881121383,-3.7006896375917306,-5.572577550694098,-7.290819249073712,-8.852030490826154,-10.223643451112343,-11.408763700998204,-12.409411921572742,-13.21338577663916,-13.85988936483277,-14.3542300932542,-14.723253486716727,-14.984387784651993,-15.124540233471484,-15.15375149050831,-15.054528662185938,-14.829427317128676,-14.501794374905375,-14.093577841389124,-13.660007813166276,-13.240002595604802,-12.865340099706163,-12.538098124488943,-12.246871790744182,-11.953522098285239,-11.622983559560124,-11.220449509062549,-10.737633917461087,-10.160254371126985,-9.502655256476162,-8.768853605818524,-7.956387630177458,-7.0736060293408025,-6.116842535952226,-5.10904863533233,-4.082898375666843,-3.0961043114417204,-2.2008687430826255,-1.4575177809588484,-0.8858474704014571,-0.4675948748865641,-0.16930031288912206,0.09392132114104047,0.3887098923818462,0.7691886628830564,1.2437611219384324,1.8032593122716771,2.3878137496908627,2.9453074681540667,3.424518700330772,3.809271276701603,4.081574102362318,4.267942658028692,4.376580470758017,4.4086327397064,4.361230546013935,4.200449733498458,3.8971583351129695,3.413836781464835,2.7806831976290773,2.085958561037125,1.40977804172664,0.8509931389316184,0.4796306171486795,0.36887179888401717,0.49541665830964043,0.8351545435426881,1.2699290566707262,1.649547299744002,1.8585474029280422,1.7844167926564312,1.4407404907283652,0.92730952087467,0.4031682283730594,0.07918609
7kg_10bpm,6AB,0.06416624,1.5128968549218016,5.861199260788772,11.917861262620201,15.796852888802599,18.00050776464201,19.39690721866847,20.06284443141219,19.954346296676743,19.311753177925745,18.31351344631929,17.188952849999062,16.094448956856816,15.129611673902286,14.285295940111792,13.519771353508817,12.734541480138358,11.8383905639629,10.783374136964982,9.550500911634494,8.167980860163746,6.688174724271257,5.153588080538646,3.595546312990214,2.0080072262748687,0.37585687723869926,-1.3290697836431966,-3.1047062830802785,-4.927449784186751,-6.737845720133422,-8.472526739291293,-10.049900883155233,-11.453450710082574,-12.6333496556697,-13.635480231817738,-14.462277194868475,-15.1499232145433,-15.709162975341629,-16.13802976255756,-16.43617167974224,-16.567429926541333,-16.542526776740427,-16.323917035985062,-15.948805210878968,-15.425027994784644,-14.801369625923735,-14.119961702681302,-13.42447906462741,-12.742349358563867,-12.086764845243339,-11.44497990574292,-10.792985494308141,-10.103232015251026,-9.348294817603202,-8.520652411144534,-7.628257981191576,-6.696499660006809,-5.762707914784313,-4.87416299184056,-4.058060278291414,-3.3567188188137056,-2.7689191605628807,-2.303962411468641,-1.9428539674919725,-1.6604030492213104,-1.4225259105521075,-1.188443047605561,-0.9113719160191015,-0.565605627047855,-0.11572831132409792,0.4304417357543586,1.065040467321299,1.75057839232646,2.4426391814097044,3.0819969847704525,3.623864715396262,3.9850911798791517,4.146422937980213,4.03144251983125,3.6490005448285703,2.9974266219091734,2.1481378007543643,1.2148323293353762,0.3918196655065674,-0.16065346546215656,-0.2381394618794491,0.11574587852373956,0.8825841499484697,1.8368203880142722,2.7765668348703247,3.4925748698260257,3.883083365049962,3.918841315948592,3.7055699892367504,3.346481209912351,2.9687175613296723,2.6396748421347143,2.3570146062022346,2.0850634794926943,1.772503427980359,1.39201273
7kg_10bpm,7AB,0.3133038,2.145077295014777,5.76434029867212,10.118740619879029,13.28282207516193,15.044385609715048,16.405157978587315,17.283071416839437,17.653942971367186,17.529222704887932,17.06318391625052,16.37432613568781,15.55320849401276,14.652792535077856,13.684282825905443,12.63318930655032,11.4766652886429,10.227729904254835,8.913337970384395,7.563689394922578,6.19740499371325,4.8038011358618276,3.348035906235993,1.7743568611941354,0.0567825644599885,-1.7903971234032907,-3.7140318057128114,-5.603151103600934,-7.334408549814057,-8.8020900127987,-9.908117891120911,-10.651621396368123,-11.094359748945683,-11.323965948711713,-11.45349506976126,-11.591837578613443,-11.794381383331991,-12.081328981101823,-12.422833118527347,-12.76786298400678,-13.063402387162398,-13.248983937592863,-13.302740197282395,-13.215750438403477,-12.991933531046245,-12.661496866814344,-12.260213377500687,-11.812290775371983,-11.326895580898823,-10.804484185847146,-10.235969232352414,-9.611840859593052,-8.93404324396341,-8.216413743710289,-7.472507451694175,-6.711490005800904,-5.936054473461531,-5.14056471312604,-4.317616576308539,-3.4683397535227773,-2.609659853134564,-1.7675163478199662,-0.9820816132303737,-0.2805553247146106,0.3237931410880106,0.8295710296887758,1.2514644038695169,1.6142550132510698,1.9294914853418972,2.1928511761376015,2.396395400545959,2.531028582828139,2.5931488903302076,2.593288437429375,2.5596828160697296,2.515565235879201,2.479319191432831,2.4560439842527813,2.441957670104961,2.4341291542909245,2.4403979633597666,2.479714235365253,2.5755446704255265,2.747124346910518,2.9493528893660215,3.1139466690891346,3.160964472983596,2.990148353861769,2.585068579125885,1.985515012539199,1.2945958734086116,0.6874541220084783,0.30967800430382364,0.2340571178460644,0.469389092024112,0.8532867164559147,1.2078845281248758,1.3789973829329467,1.2812209422120866,0.9525596087109373,0.52443183
7kg_10bpm,8AB,0.17223173,1.9270297933396574,5.615001830316166,10.412627667395046,13.638732164001542,15.597305559501711,17.000872196568608,17.74380203444883,17.965825217354098,17.823946999484804,17.531683339580855,17.248305804619886,17.01574082520522,16.755262962858104,16.317845642036083,15.542249770732221,14.281285671251132,12.573556994731593,10.499738654611358,8.236081559706726,5.99566321346526,3.926236541564376,2.1244109860440314,0.5408309309209294,-0.905652959554848,-2.339265200000004,-3.8511710142899083,-5.471596263827074,-7.165155652789876,-8.835702889847925,-10.388631939208686,-11.719393191696001,-12.805739626005883,-13.633659200569827,-14.196771541837553,-14.548758276702006,-14.71452183491657,-14.715800497678522,-14.60257936438664,-14.398485280700491,-14.11668479150478,-13.773881302190338,-13.372244562636833,-12.913716563386219,-12.42151622344963,-11.91973957379049,-11.442200842749576,-11.006901738900881,-10.615296246744553,-10.245873555795125,-9.854580189999995,-9.399916925485762,-8.833539430801414,-8.153429164826047,-7.366731511694896,-6.494881765357735,-5.588226996940322,-4.684654020349804,-3.8303269610592903,-3.0537880508483335,-2.3794214995402205,-1.8397949758909005,-1.4237572372461291,-1.1192222487713273,-0.8975813813630913,-0.6925401370631353,-0.4472754982340386,-0.09228570010258497,0.38871597252921897,0.9866040903641793,1.655145288883308,2.299366660946377,2.83579910058493,3.16223967541804,3.267650302080968,3.16845388,2.9166408322186936,2.6299199054571454,2.3959652706538432,2.3055870151645985,2.369960951215535,2.570809692018127,2.8619805692904574,3.159562897412379,3.401730998469707,3.4893699364405326,3.358837270349549,3.0030290768569503,2.4214654823371786,1.7216571162857726,1.0220073517062882,0.49117350442721897,0.27374320324352963,0.4171868455024171,0.9223634302818289,1.5512790669443282,2.0562860877307405,2.2394097251771443,1.985768193129368,1.3901247680245437,0.70317994
7kg_10bpm,10AB,0.00647088,0.12247132865419276,0.9886208496055405,3.919541327927283,8.345330218968758,12.142042046486525,15.201755292869837,17.099928880510692,17.770153323042226,17.470993905118185,16.591936950795304,15.461316293193779,14.246481034654812,12.963382205137021,11.553173406009257,9.967834212580055,8.224190196964969,6.410982981370604,4.6540872023868465,3.0603619826666035,1.6701045760065496,0.4454074460972457,-0.6970211159016977,-1.8271753941777567,-2.951550232659941,-3.9999518100000024,-4.85904292571738,-5.436805443899661,-5.719162293108503,-5.7894239627692725,-5.806471251553582,-5.953440447351135,-6.374731485757081,-7.125289786460934,-8.152246407708096,-9.31596059257691,-10.442084579023465,-11.383407811992445,-12.064477285618738,-12.488935390598098,-12.709685633538998,-12.783795843829912,-12.741063570256967,-12.582064321913597,-12.299316107583504,-11.900530238827931,-11.414913489609958,-10.878769435440873,-10.3130432239097,-9.71097560309948,-9.044832529999997,-8.28505930660493,-7.417333528377329,-6.448611109247277,-5.402788861084711,-4.313507021303416,-3.2204103173623664,-2.168721623789695,-1.2069011019306404,-0.37889549500185393,0.2874442720383935,0.7905713271669801,1.1587523298799196,1.4442048181489608,1.709021795030285,2.007845438799822,2.3749875981184543,2.822487133575676,3.347221525177128,3.9343519785898247,4.545303218105528,5.0968663194036585,5.456989022035892,5.4787536867063915,5.063549261934102,4.213907130000001,3.0413132795148963,1.7353178526088462,0.5271351361821622,-0.3411482229966052,-0.6663040511839934,-0.36915891933405315,0.42728745030106563,1.4030376073186457,2.136446246418108,2.3398593439568978,2.01871025449018,1.4360213777053907,0.9331107863063082,0.7339968754346599,0.8527864872781707,1.1336823085525898,1.36728089103794,1.4014451965981394,1.1970033203689838,0.8246002353661747,0.4212862439486702,0.12413138006328421,-0.0012367539240468505,-0.004578369613358721,0.0
7kg_10bpm,11AB,0.05107639,2.216068315888891,8.620734723790159,13.786880092977219,15.641803836679093,16.407037474631526,16.293270738245933,15.65035879068105,14.816448273378695,14.010606119240366,13.293390816673423,12.589982229380576,11.751348386940988,10.645583101237927,9.231386733181525,7.579105360935906,5.850502875198307,4.237169942800731,2.890388746936563,1.8733117921976015,1.153137992691056,0.6309931477622588,0.18779342247884104,-0.2792484428986314,-0.8423396071345092,-1.5455500256370425,-2.4108660090620466,-3.441392513851546,-4.616577555351964,-5.889188169358376,-7.197189682311216,-8.476413973339714,-9.67291262902591,-10.75069202081542,-11.689957242405864,-12.479463028252844,-13.110430653881837,-13.578029031268764,-13.88858696893901,-14.064352425004866,-14.13940129099803,-14.147304960958426,-14.106191061234092,-14.008272280283812,-13.81864165806533,-13.486759138880606,-12.961923688006788,-12.210169406030344,-11.230987280843946,-10.061814714063338,-8.767275019681437,-7.416371414850433,-6.0593732880179685,-4.719392834331952,-3.4044771572737087,-2.131348411799417,-0.9412439958484506,0.110817385826797,0.9932828084013022,1.734675971180239,2.425836258640946,3.152363677633639,3.909760192554688,4.585465308379608,5.040643841481569,5.235017412655704,5.272106244615592,5.309585657949201,5.411718430371593,5.480601084296217,5.32723180342047,4.817351896756899,3.9701580134985117,2.942686428190305,1.9333320053018588,1.098217246262614,0.5160668545696062,0.19367808990907928,0.09183214475703108,0.14007254495234508,0.2592861324554686,0.39267218040074026,0.5239236576565134,0.6733329885338291,0.8642620521882347,1.0899983621263114,1.3062990959093232,1.4532298922322395,1.4889180256334735,1.4126184365497794,1.2626966814939913,1.094857267466423,0.954423723538647,0.8563690527091827,0.7878609085710381,0.7225181993160669,0.6362338061563931,0.5178038095688121,0.3726579274009311,0.22125575127416994,0.09203629
