cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,0.07641548,2.0885998245865305,4.97039311798404,5.630313235758952,3.5365078874469185,1.261691249164927,-0.6021627393782215,-1.903113720575051,-2.655247586090182,-2.870058113585118,-2.770617207054468,-2.4984722500991965,-2.229616147454122,-2.078321889354152,-2.1513614940581856,-2.4481012570407197,-2.955888707268476,-3.6211779549685903,-4.357289916295655,-5.091840128147443,-5.763049348921623,-6.341521108037276,-6.807388579347254,-7.182114803249478,-7.469856015834126,-7.6814408158039065,-7.82027177178899,-7.865954069788821,-7.8230493840038635,-7.682798006151967,-7.453240064322795,-7.157054964498554,-6.807288213840586,-6.426781198719833,-6.019379181626414,-5.5755026893865445,-5.0820904583003985,-4.510892035423659,-3.851227610604084,-3.1013347606285078,-2.2670221704488056,-1.3862759461986933,-0.493239819105572,0.36959552785333405,1.1759756058228659,1.896839763632401,2.5418967075166363,3.1137029873593836,3.624996972075305,4.0879063640096405,4.493859760257781,4.838890828331564,5.105987579827806,5.276029654292313,5.3525374477423755,5.328283679089906,5.223124619384988,5.050971845321429,4.817862141892167,4.535353489838323,4.1970379284021595,3.801119587820116,3.3519039930667325,2.855973945892114,2.3472899770204183,1.8644912958790352,1.4608055181017265,1.1713046254442026,1.0505714758908935,1.0874062876962747,1.27126435768883,1.5596257342621453,1.8849446938752152,2.18252305124406,2.4029951974492536,2.530335113843142,2.5792660428602803,2.6143635180091604,2.711455041748779,2.942832455379568,3.333328222680025,3.8850007635768,4.495208833899242,5.043400641356203,5.353633320389453,5.246557748350203,4.5563930215647845,3.458707543283173,2.1363647110371073,0.8481434491348399,-0.17431982073379515,-0.7928619777229798,-1.0020592442069258,-0.8954949268281013,-0.6100403340902182,-0.31160025034771094,-0.09974290025299411,-0.008764568518754453,0.0012581428276964514,4.66349480924215e-09,0.0
7kg_10bpm,2BC,0.82119004,1.4356052481466477,1.4067017953035004,0.718098177327654,-0.2794046042591812,-1.2905445162417764,-2.305365198264449,-3.287456795369586,-4.164359367302403,-4.884158761276579,-5.4094421322558,-5.750038427694684,-5.960574927080463,-6.104855461835464,-6.257363031287872,-6.473197662907798,-6.757566927359332,-7.1025054973367165,-7.452866469939218,-7.745029754259891,-7.939096966326398,-7.991008871106374,-7.909027183585203,-7.709254864167885,-7.430127648402067,-7.112750014301263,-6.78527284149794,-6.460969024901519,-6.133602826240809,-5.785737126104672,-5.384336669971862,-4.921100658732569,-4.3737938231813445,-3.7647361275488116,-3.1113755721414713,-2.450113777994501,-1.816505021146209,-1.2354772934013987,-0.7194754912227633,-0.26665502066072555,0.14483847321103718,0.5391045204425368,0.9452184210702075,1.391531251078702,1.8816802361016356,2.4223317050646025,2.987593359056866,3.5485567987468998,4.071415074084385,4.517097937902959,4.866379840001513,5.109377540031334,5.252951610081179,5.323415526650717,5.342873728247494,5.34044415758512,5.32780047837442,5.307229446014096,5.2598270713933895,5.16820043453298,4.993689828403033,4.726754927884153,4.349784268288706,3.8812020919693295,3.3512257902707856,2.807694815339499,2.306403241160982,1.9028778881235793,1.622998062239326,1.5013085461580358,1.5056214169643984,1.6365797141142955,1.8383111350920451,2.090946151276871,2.3643586780870445,2.646606542684475,2.9287366921526927,3.198153976854373,3.4173044797127172,3.5298686555490693,3.495672577908778,3.3092917196250733,2.964122352158156,2.5270616835057695,2.050245688776444,1.6184498828775848,1.2939526060111486,1.0834842187818652,0.9778308781198269,0.9168601029150848,0.844448143937732,0.7199446733448958,0.5352764667537291,0.3177269893112783,0.12031346618024363,-0.013736044558782287,-0.059053733948423365,-0.039448564692122434,-0.0026273408392719208,1.073933060007935e-07,0.0
7kg_10bpm,3BC,1.3928502,3.182447531412609,3.6321544732302344,2.5043873337690776,0.895074066313052,-0.4956320437813046,-1.6468896484993578,-2.6273816743050173,-3.411374089574681,-4.0420126788431405,-4.500779522696549,-4.844944046363848,-5.106363605621781,-5.356086997654226,-5.662110959820044,-6.0595777186713695,-6.586234006913254,-7.2110308317713505,-7.901911089952071,-8.5926003387218,-9.209470290000002,-9.708429544363517,-10.030604429289706,-10.181622717518293,-10.144839665080683,-9.95865043177554,-9.633804417989575,-9.207564545719013,-8.689182122316991,-8.096742989278347,-7.425881499481991,-6.681584114763746,-5.855188685283249,-4.9541151886661465,-3.9804595581024937,-2.952947962132453,-1.891192279345239,-0.8230986748280221,0.21945781010549584,1.209914650620782,2.1193420300000043,2.935736817209404,3.6483129496933073,4.263918048824178,4.789255910860957,5.237641609789457,5.615189638882314,5.924266602559127,6.157303301196271,6.305034499707597,6.356683885398959,6.308446845975021,6.165423514720923,5.940189786330462,5.653804264645652,5.325897769212304,4.976512899336991,4.619528674583343,4.267453128382648,3.9327427279512865,3.63104824,3.3841520195851578,3.212253187117807,3.138412832609485,3.1672910361858757,3.300878926933705,3.513590768435141,3.7792506495065847,4.057026087817256,4.311429665012027,4.515877425456822,4.647998885697205,4.706420996004715,4.683688626101503,4.58921073023539,4.415437327332441,4.166713533613336,3.8265027795193287,3.378800354538631,2.8051039117416425,2.1642345699999925,1.5099402393144994,0.9219283211274771,0.477875904467231,0.2138060844500529,0.16585409700484918,0.2728639857999284,0.48738295610428106,0.6935084541741732,0.8115341442892127,0.7928017788165663,0.6260349614733279,0.38573723287703937,0.1388561743939468,-0.023518430083471927,-0.07726268107585096,-0.044561945031580785,-0.006737205182984005,1.1581907488027155e-10,-1.674325267591268e-19,0.0
7kg_10bpm,4BC,1.70563152,3.067290870328226,2.5017408661284866,0.7219703091172395,-0.9042866655419192,-2.03074446416682,-2.864914041689214,-3.453623665246675,-3.9131541773349445,-4.257967917618405,-4.532832232199871,-4.749960666066582,-4.948601772326153,-5.1706382435964064,-5.450452725956607,-5.822840162716162,-6.279377170423905,-6.796549890857068,-7.320353245133959,-7.78467774739879,-8.138471563118845,-8.34069899754629,-8.386761447115394,-8.294353400641942,-8.096145222220509,-7.83350707,-7.534224327260432,-7.216297331040298,-6.879327031328322,-6.515489086274846,-6.108568018548192,-5.652944013188964,-5.138912703356859,-4.578690991037405,-3.9768768329959157,-3.354020969171132,-2.7214567867663755,-2.090687258661872,-1.4667757552677407,-0.846401032810098,-0.22152388604484233,0.41637848740912137,1.0804813334204284,1.7711755263311872,2.4908578092638027,3.2267605177161034,3.9616032079290004,4.671966269239864,5.3211821444351495,5.878924511800899,6.29699497,6.54701127844981,6.59352040818432,6.431453174920492,6.073395900855461,5.557672629879507,4.950553481207504,4.321042665144161,3.738501038946109,3.2552149797530774,2.8851284023157526,2.631197372179932,2.4557062026848966,2.3318969698392302,2.224791077577747,2.119853512626113,2.0150044098682,1.9204089956278478,1.8450491098688482,1.8031998761407988,1.790807544603916,1.8144507362376558,1.8682193963343134,1.9684762733690182,2.1223395651658636,2.3608209800000006,2.6841336175102466,3.096651211551529,3.5595268671350233,4.017965246995911,4.409342822389469,4.653277810967244,4.673285335744502,4.470290421211245,4.120754785882443,3.714279061647864,3.316848545726378,2.9492359055202506,2.582915038852407,2.1647320220752397,1.6525529612013103,1.0655444298014665,0.46060693448977735,-0.0382083999307518,-0.3445461456955289,-0.4079550490489506,-0.2880221332751897,-0.10007431430448603,-0.008762758834846696,2.1120064277824774e-10,0.0
7kg_10bpm,5BC,2.30630277,3.8256325333264014,3.655413255754788,2.1179248515757383,0.43210548439612234,-0.7956777952477474,-1.7148344995628688,-2.3519915243504514,-2.8198355963842525,-3.1212517128983523,-3.3128756174776286,-3.4154874090590415,-3.4981960592004424,-3.6359209809323056,-3.894969292269783,-4.338175251687267,-4.956281704720344,-5.717477268040635,-6.527548654298696,-7.28880257214358,-7.910706542597371,-8.33995385906262,-8.569978425108186,-8.63552973541976,-8.589413160116973,-8.48436367045056,-8.34762856387327,-8.180609722104258,-7.953393051570327,-7.640297251820251,-7.202775666465871,-6.651682333282878,-5.991479492327611,-5.274786146529474,-4.544403892281718,-3.842076507898137,-3.2070889265880873,-2.6364261262722297,-2.136408149970563,-1.675190614492858,-1.2302868262875055,-0.7711768714404392,-0.2694731326639553,0.28643383155354196,0.9079669309140116,1.5814035366001855,2.2896878859805954,2.9988379894539388,3.672612558884781,4.275779235313172,4.780142893587409,5.17148568230267,5.451424766781267,5.632060981549319,5.736920463676189,5.784443966398002,5.791272845274242,5.75755493661482,5.680855076918624,5.54332375799133,5.342505630968685,5.064418630996617,4.724849690900778,4.324821511060477,3.8883348337138894,3.4236296315428922,2.9496490994821274,2.4853580767546752,2.0546986031661585,1.7088395895771398,1.4834114221867256,1.4551000926868496,1.641388733318671,2.083361744331955,2.7306569728289745,3.5261739729778974,4.3440728607698285,5.050594386212344,5.518119196616262,5.651611612262559,5.426752829802676,4.8878043617028135,4.146375018524204,3.3441959212667314,2.5625786446168943,1.9072530381033461,1.4319958614407178,1.0639218168099402,0.6992838105002114,0.31195582886429346,-0.05971716891211959,-0.27478079780597736,-0.2781404213259953,-0.10923562379508718,-0.006924836508445259,1.571838686541106e-10,-6.080552617272356e-19,1.5410320512634572e-27,-2.9387232057970637e-36,3.6967039824639964e-45,0.0
7kg_10bpm,6BC,2.49416901,5.142313401196225,5.402117383899295,3.0882753410803656,0.0029647875092532507,-2.109663137356013,-3.3168326988892085,-3.7857181378546407,-3.861655705611236,-3.805098416872045,-3.811688712864364,-3.9508985325292296,-4.2500587666045035,-4.637216076303792,-5.060684473549715,-5.463087468975202,-5.812935262234093,-6.095763022576448,-6.317355378058979,-6.475626482702778,-6.584018965343849,-6.63395372530566,-6.630266720704016,-6.565104908243839,-6.4376671388963205,-6.249196739029098,-5.996245661812055,-5.688394248811671,-5.319091917757733,-4.9041840377850985,-4.4478541598039705,-3.968502791597838,-3.4842417831409263,-3.0194828679532386,-2.5926852833075684,-2.2292815982235257,-1.9263287542720093,-1.6866288534934888,-1.4798269030080566,-1.2741194059840832,-1.0267020390118546,-0.7063030391139629,-0.28413037607556363,0.2270515723411988,0.8189894408605156,1.4410656993855164,2.0507525382832203,2.604125229207763,3.069734963001918,3.425322703617833,3.676302957927639,3.8117699728190315,3.858555498255308,3.8137448246412924,3.701068759882185,3.531716793958185,3.3283838913383548,3.1137793914729444,2.911416936460182,2.7340503681269053,2.5937898324654025,2.4821544669920566,2.394979857367725,2.324473393169371,2.2708206727398417,2.2424281959446355,2.2465568720922566,2.2982764987638133,2.3915982240465934,2.52728421050297,2.6917141570998417,2.8802534964221502,3.092275831120211,3.33113760775463,3.6035303541493464,3.899601539676673,4.197304691893079,4.45525326838696,4.615057310512417,4.626442112934952,4.452952359154389,4.034942092145258,3.4320553163502296,2.7452954522143402,2.1239621268672293,1.679434368509719,1.4386841288892687,1.3654634855804222,1.3465049486155256,1.262381327004855,1.0205218154625755,0.6516125932386264,0.2187782500144837,-0.11539100586366725,-0.2647307539600479,-0.2196052054418577,-0.08152015290953489,-0.004192868760275162,-2.2592631882549502e-10,-3.074834389870657e-19,0.0
7kg_10bpm,7BC,0.09369032,1.7243259614863546,3.4753630400000004,3.7874810345030103,2.4410256699999997,0.8719000523635105,-0.69173895,-2.056441111413756,-3.1114603999999995,-3.7792297853190786,-4.08669865,-4.167275275976884,-4.1739048,-4.2985944267291725,-4.65928385,-5.340178147123841,-6.283334420000001,-7.371885597208264,-8.44487764,-9.340441420108572,-9.96153473,-10.213599513956058,-10.15757477,-9.842951736274177,-9.33334049,-8.722596215463728,-8.056781800000001,-7.3706690507682975,-6.68492349,-6.013756448482866,-5.37269255,-4.770763589441424,-4.215393980000001,-3.6963144555444827,-3.1897576,-2.660824113470196,-2.0720664800000006,-1.4007525189047254,-0.62363096,0.23871112647223383,1.15892001,2.0950334344448716,2.9957283800000005,3.8204331308068826,4.5229465300000005,5.100832614028495,5.54941502,5.876987320804796,6.11325763,6.270242576748364,6.357928270000001,6.382207408452763,6.33336043,6.204575515503326,5.99492805,5.695067639717253,5.31585338,4.874731531674826,4.3960519,3.927417424705366,3.51201441,3.2084037189830026,3.02813809,2.9689986318634443,3.0028379600000004,3.0617544201510825,3.08835893,3.027062215793932,2.8689877000000004,2.625982098753817,2.351570959999997,2.1118316161025374,1.97555463,1.9868366951217544,2.14168531,2.4155525016204984,2.72571658,2.990691150342162,3.10998119,3.035366254001381,2.7503900400000005,2.2479792532079372,1.612457599999992,0.9178612549585476,0.27138974,-0.20052199721711172,-0.38807956,-0.29624211728021377,-0.07914856,0.10805388403386364,0.15355276,0.08311243461846682,0.00507778,-0.004428847244074976,-5.344362238916827e-23,-3.265852752103669e-20,1.9267853884466235e-45,4.3624205564740636e-39,1.3293794844063718e-64,-5.827180389343933e-58,0.0
7kg_10bpm,8BC,0.0892727,1.4381120010060835,3.2046115060108744,3.9604943466021663,3.0459167053321825,1.7383536386730707,0.5076906638294026,-0.5232147447383837,-1.3237307680302899,-1.94459026657017,-2.4439692034094764,-2.8839939159983636,-3.3146819859836363,-3.761288977586997,-4.244028027367416,-4.765676970086012,-5.320514449568229,-5.890169329917113,-6.438803966399542,-6.931077214698773,-7.331148849646118,-7.614109059452871,-7.78138350592892,-7.834968806895354,-7.771446276910881,-7.605117643419055,-7.335714156189902,-6.952752452267607,-6.471627640401232,-5.907329357694447,-5.278229315759868,-4.615273369187239,-3.945833228666929,-3.291781692638832,-2.6697134134411886,-2.080709046787048,-1.5179134703628705,-0.963230438113669,-0.39094951244418574,0.21905676710510133,0.8832326264285186,1.59072472203894,2.3152440431757575,3.015096349821694,3.638831652834259,4.151798509232394,4.528118664166428,4.756675215487336,4.865204793010036,4.876777871883042,4.8104287800000005,4.69241102106104,4.528616603941334,4.311769234462479,4.035406826155416,3.696504940727642,3.296248251900958,2.853789467266681,2.4015318816288387,1.974442317962816,1.6148092450926244,1.340121776358207,1.155909871016342,1.0584090054115773,1.012498461174641,0.9898404345975689,0.9647751723639708,0.9225272666061215,0.8651961844341054,0.8072704338025276,0.7790839676282679,0.8130354927755338,0.9430916249285173,1.2127345518368777,1.6222642089415453,2.162806041555501,2.804871745224668,3.4686981432670208,4.072153656276904,4.514736023642491,4.711675302137489,4.629570356233318,4.257170021622173,3.6029337790756655,2.797307141337523,2.0017260702540525,1.3825143039484231,1.003004193669368,0.836713320727784,0.7869088958489749,0.698965862809451,0.4811942888757879,0.1128821369565545,-0.31756811255982353,-0.6549547436008697,-0.7864811119646522,-0.6805995025410454,-0.42303859009837225,-0.15971730824080888,-0.02097140056600509,0.0
7kg_10bpm,9BC,1.07970853,2.359345913470306,2.903364061883035,2.721672809113729,2.088108862168542,1.4369368201130577,0.6957423426730566,-0.17993304130853893,-1.1296463464584483,-2.0372689761949627,-2.7820670740152553,-3.332087406804083,-3.7275624504291747,-4.05985340165629,-4.431888512268295,-4.9247988933179645,-5.545082285261582,-6.233460941640443,-6.8890391819759635,-7.39827187261094,-7.6620523084034,-7.636015766267516,-7.360294425273506,-6.916585948026785,-6.413235405759613,-5.955648443756729,-5.6247804485737705,-5.43043699558986,-5.336096534444468,-5.269660162171855,-5.145799867989259,-4.879717456965824,-4.438635838454013,-3.833947473291768,-3.1158416939101934,-2.3578624646274093,-1.6378968034563242,-1.0097233277652022,-0.4817992987524208,-0.02849449295981185,0.39862521769300907,0.8549243447970811,1.3891394722021864,2.0171710560984684,2.731152440021993,3.499701108014915,4.273541004549989,4.985919838703387,5.577309361866192,5.999813228437931,6.222797776811533,6.235887310970892,6.039649604300405,5.668008252765315,5.161279735719722,4.561347899900645,3.9088202015862574,3.2380378840994815,2.5753623482296617,1.9385926459124418,1.3464854693632275,0.825267323145586,0.4086378276419907,0.13665029242347457,0.01245737129322058,0.015805717436170253,0.10023412214164368,0.21124882564633654,0.31262121021937356,0.4178053827100497,0.5853752312107898,0.8893673284090728,1.3794634848045855,2.04748803969227,2.793533250669622,3.4733452898187394,3.960502898812475,4.189500536285583,4.176165093147154,4.00282987970253,3.7640823868593025,3.4635314357989113,3.0703992170334247,2.543438605695648,1.8694358979391164,1.1533603439046414,0.5571069546244847,0.22956393895117239,0.22275756008538133,0.45467594693917,0.6991656998167041,0.7403886766308442,0.4845477146666397,0.0035011702550491776,-0.505378801994767,-0.8156360430042304,-0.8121550152979313,-0.5624772998630208,-0.24878032091926056,-0.04488783455748539,-0.00064805
7kg_10bpm,10BC,0.48661495,1.469167582096678,2.484685287659317,2.632777183841069,1.8448150433741082,0.652049458472779,-0.715380975284393,-2.0195311356618566,-3.0856879898716025,-3.800955371334013,-4.200142646599678,-4.3542782517279965,-4.4367928817473485,-4.588591064406379,-4.94208880663777,-5.495538321451266,-6.199884126581458,-6.933810096398027,-7.565726070095494,-7.981848663038446,-8.125464943338708,-8.019966926882212,-7.687796550330847,-7.219778801935362,-6.67624633811095,-6.10378395,-5.533783574963574,-4.978792515230838,-4.446563446959629,-3.941214575793355,-3.474302594183519,-3.054622750656113,-2.684881423607996,-2.3695075567985846,-2.0886833671345126,-1.8239494657607411,-1.5481520091402894,-1.2389917275386222,-0.873953710030364,-0.4362895079197806,0.07792346512432444,0.6810177612458302,1.3593907677886332,2.095411357771012,2.8612151662656746,3.610948177346738,4.298299611658683,4.867282810636011,5.289150016447874,5.521700049226595,5.557600730000001,5.411744003505736,5.081755300954058,4.626412982530637,4.087852861319068,3.523589699488969,2.992715541362938,2.5462801098740773,2.2205185178211515,2.015687029397748,1.9302859976711815,1.9195328831829157,1.9401424843803146,1.9393961196635974,1.8770371883471566,1.7222012686370562,1.4587564648872284,1.109191223233429,0.7063447753270061,0.32058932112623156,0.02147338733174921,-0.09189515440711288,0.015364411916678686,0.3568959066967057,0.9125812122671733,1.57382094,2.2375034308323336,2.7801106802738853,3.1358389903716475,3.2547908511056467,3.186526984871667,3.0066764267986494,2.8089337083466455,2.648256191771197,2.547543524922606,2.5035024456952475,2.4636330334450065,2.369743309341965,2.1769797784911904,1.8814616199733252,1.4875080721716119,1.0500251470112323,0.6237986465763331,0.2638618651542874,0.023508326115126363,-0.08405661945451376,-0.08405083316389356,-0.03591692482614645,-0.0033416087930279214,-3.516049049490406e-08,0.0
