cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,0.0065448,0.36758986194336885,1.814787822034,4.256897860950372,6.060105759178763,7.420832013295442,8.340503239649399,8.722417044485645,8.611307240096316,8.066398207538755,7.325475451543749,6.552865310628489,5.912758740363849,5.470201000542869,5.268234073214819,5.227357892460965,5.275233103065536,5.318158388677739,5.29526039692733,5.169382633858877,4.96324313153008,4.720091442595167,4.504342830772585,4.362380568649552,4.328466536655488,4.394836796644256,4.528116542805295,4.685898816247678,4.821198606499067,4.9037097329645425,4.921610702188287,4.886449528413956,4.807930217175367,4.705519179101091,4.582358213522806,4.429429049706026,4.235841190391124,3.9821413964656296,3.6685954131696175,3.305209290785229,2.913250371930233,2.523927205999084,2.1616880866185735,1.8362076363552826,1.5380033145056908,1.2434871929893794,0.9221182853048213,0.5481500964833449,0.1106599458266761,-0.37768786135595583,-0.8998183973274246,-1.424739828097706,-1.9328367239177147,-2.4104737007201265,-2.857233615211614,-3.266261527657271,-3.629727184485428,-3.929901033061156,-4.131166299745055,-4.2260806800153095,-4.202300850687222,-4.089815924471667,-3.937566284726772,-3.8146078557829646,-3.7785783155040287,-3.8773830454470803,-4.125378047482552,-4.493497052859936,-4.9531542767327545,-5.442757596292229,-5.924223272901948,-6.3684380344640985,-6.772489120952343,-7.139104167096093,-7.486221587156528,-7.828360619061304,-8.181824216820836,-8.557739368064757,-8.967915724527273,-9.410781093927044,-9.86646679185371,-10.274723396106666,-10.549268712540643,-10.558022678235048,-10.132896390897042,-9.086972207177618,-7.312399222454184,-5.172559527345684,-2.9938996629915975,-1.1616644184212597,0.0841935497657937,0.6413374049472226,0.6663875286845151,0.40214877193897286,0.08890649429602013,-0.09684115513867221,-0.1278257369481585,-0.06772222869237063,-0.005879565292586338,-1.3637975486720482e-08,0.0
7kg_10bpm,2BC,0.42944368,1.7526303051842091,3.996225052603263,6.463410568126414,7.879295594791894,8.897463694195443,9.575890242490546,9.929972932578545,9.938328580880002,9.668280886051594,9.185787398059471,8.575499856759732,7.928389557925456,7.321149703368875,6.807502574873026,6.44180481878965,6.211396221805641,6.134133828631017,6.151118228029276,6.233911783570504,6.328519817492858,6.3931881656183265,6.403935718659435,6.348181572133552,6.235580080348823,6.091042162475991,5.945872815693307,5.831731657676737,5.77813741341096,5.784149770667323,5.848748630445378,5.931853432034085,5.985798501008746,5.968609575577334,5.824929310987337,5.543853411692139,5.116074036590881,4.56915932655577,3.9442664199828994,3.2867120639845444,2.6421134430655338,2.045946913567776,1.5076053934150282,1.0382244195594739,0.6126030544443507,0.21570108101963928,-0.18174417556149408,-0.6062619301635331,-1.0736018391592212,-1.6005409839589815,-2.187323154484289,-2.8271071121690388,-3.5010120615808926,-4.175562656095255,-4.806619713681018,-5.354710483598426,-5.758154474793156,-6.017152820403973,-6.093969960100144,-6.04725019779838,-5.909815231615913,-5.755289422418877,-5.648022349599894,-5.627048308146712,-5.709413964907743,-5.877806300468856,-6.089563259124817,-6.298816310784455,-6.468022778297102,-6.570206295294357,-6.618511803407031,-6.624814985060228,-6.624170570218684,-6.64364903447234,-6.694253738511941,-6.779457562979557,-6.8837381459152365,-6.983474282494948,-7.019543246725472,-6.928633579419619,-6.701711809708562,-6.3617678257353685,-5.917847521916082,-5.412439236921334,-4.859371173120386,-4.29494096280331,-3.7314017639683636,-3.1873579977759623,-2.6736113903681256,-2.200207664175039,-1.7788798155934278,-1.415700068206534,-1.11300291029116,-0.8650547739158617,-0.6510629558210397,-0.4602711279236251,-0.2703336767074118,-0.11180115904923522,-0.006160788134484816,2.430663067243897e-07,0.0
7kg_10bpm,3BC,0.46626922,1.7530347750904163,3.6302202757828637,5.328275245116036,6.340071045028502,7.350894117503944,8.270236103193096,9.03896377291562,9.54400723867348,9.795312739520703,9.728654088436162,9.424455911870172,8.89733917397932,8.254689681234321,7.5689077959309055,6.921055691196613,6.390924928659703,6.000692213681406,5.789782024338096,5.7219854939145325,5.77918542,5.898953223476716,6.03238331938847,6.138229224981744,6.189148960306485,6.19340590325504,6.172990104681144,6.165234292724842,6.209941231727256,6.320976484037708,6.498486024163779,6.707177764956673,6.894517484550513,7.008093496405897,6.989119342047776,6.817748483680344,6.476309613634493,5.989725507177288,5.38270394021558,4.698734968638814,3.9751877099999957,3.2452937269139417,2.5336731203604366,1.8516001491642347,1.2011981372783136,0.5721896885688108,-0.05513883550610043,-0.7056518091162076,-1.408514135305809,-2.1848267093127873,-3.044565869173543,-3.976291573820904,-4.94164477179,-5.881929131103323,-6.720111112352217,-7.382441979067051,-7.818268660878297,-8.007257094738655,-7.988826322987534,-7.829585110991887,-7.63637118,-7.5065056192349555,-7.509347055075246,-7.67438186367433,-7.962017002863151,-8.305585697403734,-8.61106691270837,-8.799384457227784,-8.844181698893651,-8.756042037512492,-8.614818497027004,-8.515167788641461,-8.542230108281974,-8.756960449253098,-9.126053701418716,-9.57521127623082,-9.959425852079772,-10.102130917514694,-9.835472926420097,-8.989946896944256,-7.712151609999983,-6.141013223782262,-4.569203773749117,-3.2266930180348448,-2.2490433182743637,-1.7076879081156775,-1.473221630690178,-1.4342340692462854,-1.4111047954700875,-1.310646821335849,-1.1156152291269772,-0.8607449668716688,-0.6168422688488523,-0.43401009900846166,-0.2998576666227848,-0.1994193338342194,-0.08706181387911946,-0.013893821304888757,2.4734470193373186e-10,-3.5757105181559587e-19,0.0
7kg_10bpm,4BC,-0.47919854,0.0755925800000884,2.6550671579930585,5.8582854357320455,8.401495456994363,10.24471219027789,11.423349376693087,11.76530110810556,11.530096998097985,10.786625289105087,9.829208452887825,8.838221914145118,7.96198611297379,7.311881251271416,6.877841181876261,6.652804247669785,6.560611689095339,6.543300263253642,6.542365767601635,6.5193727721108665,6.459326850392063,6.362531980999012,6.243850976651651,6.125227904895643,6.027818521274716,5.96696095,5.949166352350356,5.965521553653687,6.001072421676816,6.032063549196335,6.034382378548784,5.992574436982803,5.8874067872926705,5.720523534136447,5.478338719804096,5.173403763081908,4.795175690815748,4.362746799387575,3.873114925317434,3.3486534904163268,2.795737260857463,2.230818066180596,1.6606022459333023,1.089526199544334,0.5163199942209041,-0.06295513037365306,-0.6567936910269768,-1.2716197432284293,-1.9188622807824551,-2.603011424018975,-3.3295315199999997,-4.090861884138816,-4.868472700564839,-5.628749342960551,-6.321071144875753,-6.889815290463881,-7.284034459107757,-7.463081216611845,-7.431774089054584,-7.207151788892982,-6.863847341286819,-6.474202420797229,-6.122424722803562,-5.880318971417712,-5.764616142019904,-5.788954088186208,-5.894879300364655,-6.033774860373832,-6.144560886113236,-6.172942792832212,-6.1227059623841775,-5.998310782781885,-5.856539886941768,-5.761944181177151,-5.759948450220821,-5.90877066,-6.1956697928081175,-6.609024510591682,-7.080437231533192,-7.529281000357513,-7.876504131500137,-8.013513174443583,-7.8184816066331795,-7.281817747777182,-6.502009498759023,-5.605235124094048,-4.715792088909947,-3.930783417023528,-3.2930110075882144,-2.7922787791718777,-2.395025113668669,-2.0481195703256545,-1.7236115801657172,-1.395553210691383,-1.0693488797375723,-0.7328768074619488,-0.41868795740004117,-0.13974750372521844,-0.01366452856783729,3.4427032388110044e-10,0.0
7kg_10bpm,5BC,-0.15379751,0.7843281757237078,3.1568805345326267,5.870940112828781,7.898620737998341,9.333678952298474,10.256128127270518,10.527677716895782,10.32642942444876,9.676393486134065,8.798951972266288,7.820408198400777,6.890402252353525,6.120437327537575,5.54614452081821,5.194266092166602,5.013541100886688,4.956994260481528,4.9456042481150995,4.916547333708104,4.8220373532993595,4.644921348306957,4.403851213761336,4.145289495469413,3.9382771994540793,3.841202645428077,3.906855372019769,4.131412382152085,4.491913503676885,4.913445024590227,5.309612515304996,5.610270254649956,5.7370059475537385,5.69806922896027,5.478472726559901,5.151262332157182,4.757831586252059,4.363412582497207,4.015688759206483,3.7283560667902655,3.5141741527348946,3.3449175661648756,3.1930992290130717,3.016507350320233,2.7691041822429607,2.4214930988719963,1.9443354563760031,1.3454047495289192,0.641897840243135,-0.11581524634796073,-0.8724468085843177,-1.5678979613673942,-2.1629438709953854,-2.641365987071887,-3.0258446529043206,-3.3618998089435093,-3.707715338131499,-4.119391035512596,-4.61468184632893,-5.191754940453994,-5.803429454122623,-6.3900807256178345,-6.907068780718748,-7.306505697784776,-7.609618467861687,-7.825751697548414,-8.006949781645131,-8.179499874847966,-8.354451359006601,-8.514525224853575,-8.630881513569536,-8.661602475301445,-8.602812552697705,-8.461727443820015,-8.296267838727736,-8.177304301242447,-8.171662446864827,-8.321887303184157,-8.598237374371134,-8.912931340026212,-9.104340618126438,-8.998554971406488,-8.424954240846638,-7.3174955112236,-5.556229840925035,-3.465088545577356,-1.5722963950722288,-0.28532266774584675,0.1949437823845216,0.08136646419846139,-0.33225271196603573,-0.599871460560428,-0.552450758475495,-0.21559073797214384,-0.014362093411284024,3.323420498553319e-10,-1.2856429469390397e-18,3.258284423172393e-27,-6.213495713871314e-36,7.816133994920115e-45,0.0
7kg_10bpm,6BC,-0.77965655,-1.1768609206170533,0.3928892379800365,3.948981156579157,7.606695393573292,10.231626615650937,11.894675508399326,12.460262217290126,12.12258974869732,11.167186244098316,9.920097791461384,8.677670531792083,7.668142212147074,6.931566333641904,6.486535025626141,6.232619588220795,6.087603540666451,5.973310828738537,5.851358683207281,5.713421040680903,5.575101695578202,5.456666152615687,5.365486312157506,5.29962578755219,5.241552659313109,5.171639470257094,5.068981931890138,4.928583366495112,4.74324036151528,4.528003056524235,4.290759006691824,4.043721991256678,3.791560280243332,3.532911538361905,3.263588154736879,2.976757882991794,2.6757141996340956,2.3668610210718977,2.0647258566100417,1.7827966915207403,1.5272130825312487,1.291727599755496,1.057473569181081,0.8008140053308599,0.4878916207619261,0.11239411743928514,-0.33242224315248303,-0.822626470772138,-1.3286240095112791,-1.812668268931515,-2.25250585530977,-2.6310557661074876,-2.9692843608994264,-3.2916665012244533,-3.6350274211400397,-4.0264495094719965,-4.471900779819565,-4.951942459049922,-5.425543649867934,-5.85069022433744,-6.172539372008902,-6.389495932850995,-6.498906789723632,-6.542198900895639,-6.563495173462769,-6.612009967774644,-6.7133124858651145,-6.885853355999629,-7.104992341592075,-7.346318808372221,-7.572286332781575,-7.7547521532318155,-7.879411567617348,-7.9513949048436245,-7.9818344961070995,-7.992195613576204,-7.990654709668695,-7.975570240013042,-7.925988505709894,-7.812273335375512,-7.600692044866554,-7.177248352076037,-6.543403334678579,-5.73393772595249,-4.866376332802008,-4.010655312140804,-3.2394188684241914,-2.586208440887185,-2.0583832146190217,-1.637291652745972,-1.3067441540297038,-1.03390706040501,-0.8103185594440888,-0.6069562185651005,-0.4167775094666035,-0.23356373521294777,-0.0766873085695345,-0.004162279115665189,-2.3420458220253083e-10,-3.1875007186651233e-19,0.0
7kg_10bpm,7BC,0.00500026,0.631193421750719,2.8738028,5.999144081241772,7.830005909999999,9.107926933309749,9.860194500000002,10.07347512348058,9.89381032,9.439535122063365,8.861915400000003,8.267361925214363,7.71440433,7.228063132127729,6.81224551,6.480109858241777,6.2307039600000005,6.053205352435019,5.926473589999999,5.800987353062431,5.63913903,5.411037371889234,5.140485,4.87121453746649,4.67847857,4.605701101085562,4.67228931,4.849134109074156,5.056206559999999,5.210872066723296,5.233823190000001,5.10193868324571,4.81138843,4.41017399174986,3.9570152699999994,3.501344745134286,3.0751487300000004,2.680805216707045,2.30338737,1.9124094977695905,1.48581778,1.0043451310108784,0.4812070600000001,-0.06301033778828978,-0.59108099,-1.0720174951282038,-1.4869278300000002,-1.8427869697939365,-2.1859421099999996,-2.580427010053082,-3.1040450800000006,-3.7895940064108107,-4.64305815,-5.585375180174867,-6.498325009999999,-7.230738951777273,-7.67477219,-7.8058419413281825,-7.63669515,-7.326246254479497,-7.0176985300000005,-6.874604268374615,-6.9515351,-7.240483880151623,-7.66224875,-8.075522861410866,-8.37087126,-8.46766047997839,-8.3853977,-8.166135031032066,-7.888848389999996,-7.610484164001368,-7.346732260000001,-7.0652244711042265,-6.71559552,-6.236438036067871,-5.612960220000001,-4.870792539769956,-4.05809478,-3.2549073760032172,-2.51369018,-1.8834316694591464,-1.362718529999995,-0.9576074315202834,-0.68964348,-0.5668465046457538,-0.62097456,-0.8210482517530756,-1.0304218800000002,-1.1163465569963023,-0.98471288,-0.6506270278294479,-0.26097252,-0.02830847113661701,-2.4728822906214185e-22,-1.510945297121003e-19,-1.401298464324817e-45,2.0182718953335215e-38,-1.9750780911180381e-63,-2.695942368829572e-57,0.0
7kg_10bpm,8BC,0.03218964,0.8522188285011125,2.9269171567970105,5.675644769201534,7.40227821653647,8.463415553025477,9.188060465219687,9.522168003382644,9.497861024139365,9.218757000020991,8.781843458810012,8.28529039943435,7.796815543199527,7.341875161564235,6.930161298507339,6.552865774952616,6.204160689052772,5.877897387524549,5.5601204916574645,5.235807924530823,4.8931376056082,4.5358533589851255,4.191291501036928,3.9020862787574417,3.732086624490123,3.7044690844345407,3.819045585780439,4.045307742890351,4.29750430491535,4.500757811469926,4.584603070008507,4.518315457593378,4.315090550054445,4.001282090271614,3.620163252733518,3.213922911003201,2.8058853980923906,2.4084118140577373,2.0186062549052366,1.6280388262898824,1.2231786597511607,0.7933788782675706,0.33427484629286036,-0.1529370085586784,-0.6548016843540241,-1.1523840226784154,-1.626932635625929,-2.0629823520289827,-2.4644106102732324,-2.8440936373793013,-3.226982240000001,-3.638017808429006,-4.089808105103476,-4.581325978309005,-5.082199193680743,-5.550658019576235,-5.935262720803892,-6.191600518698913,-6.313196587645507,-6.313143085361384,-6.232935106487035,-6.137074423005254,-6.067213561367084,-6.045205181208224,-6.043674834548544,-6.0170064321858465,-5.905927609911279,-5.675781129773555,-5.334488097022884,-4.917423338695718,-4.497380889163213,-4.146173134658435,-3.9191903066568843,-3.8655663930618105,-3.969950876530539,-4.211832147625782,-4.560991647932167,-4.95552834452404,-5.3411391111059725,-5.651805498286908,-5.8163635841185375,-5.7821536114101555,-5.497983514383163,-4.888780929502375,-4.018769730137615,-3.02545831732782,-2.089470618033681,-1.373290695549852,-0.9535137712704096,-0.8535531533876923,-0.9729727426483764,-1.1822594365639862,-1.3653689779120541,-1.4313424790901272,-1.3485581730999006,-1.135731271462364,-0.8450233650338345,-0.5262745378129984,-0.23170797308615335,-0.044222084571982144,0.0
7kg_10bpm,9BC,-0.13386367,0.47069179990369964,2.3568161426674763,4.884778785518074,6.654783836846474,7.79351865962553,8.464193522750271,8.676918370428455,8.489950527082176,7.99793446351508,7.310685756403632,6.555851095467861,5.823243191910627,5.177306119066417,4.655634520057211,4.276538592304841,4.020443272742382,3.852282943487163,3.7306097175965833,3.6185499938103556,3.496000795150789,3.3695745712150345,3.2664911436101063,3.216651549674501,3.2381097696032533,3.328597768543632,3.4670538828927606,3.6211048890486364,3.7704276860205237,3.907468545479935,4.033902764861017,4.149892589869494,4.244130756290536,4.292064559972224,4.2644158284901845,4.139413869602471,3.9108754005846342,3.6029019888872127,3.2559828956592787,2.9083638565806678,2.584509104752114,2.285399575286202,1.9827013089630419,1.6299730036289821,1.180334697792749,0.6006889856098819,-0.11433816961453716,-0.9349203537095385,-1.7782191196075539,-2.5497669345841367,-3.160961408771795,-3.558757689535709,-3.7439520076826422,-3.811210949629814,-3.8934079807537376,-4.11550321854029,-4.547748890707465,-5.1710430745763905,-5.855741793946734,-6.422467241456415,-6.72530674836962,-6.700435704842946,-6.391321152505365,-5.937957841817662,-5.5272284487410275,-5.287279459843698,-5.26616306305169,-5.425427687329789,-5.662357209811111,-5.849543419174942,-5.905059525404403,-5.802822969197891,-5.571652519717956,-5.279939462315305,-5.015058327778875,-4.840121840452174,-4.78196740067219,-4.828231535445605,-4.933434525267691,-5.030727947213318,-5.059270468295222,-4.951346997353988,-4.706987928928138,-4.377294534030669,-4.0163147280441995,-3.653464831869158,-3.273857242770642,-2.838860406088864,-2.3164618929927494,-1.7053473281158449,-1.0716195618293114,-0.5162397866543325,-0.12949521705357814,0.04607333839235504,0.03289426459343688,-0.08759867755790188,-0.2027792838560175,-0.2357972270120958,-0.16973550811792476,-0.055182885809414904,-0.00211064
7kg_10bpm,10BC,-0.43564683,0.04143361540244039,2.325709979613182,5.483406097659638,7.851167436682213,9.449217530584567,10.207992696153639,10.323467380953126,9.933575509605369,9.252042253880008,8.459545803850073,7.66177560005597,6.925691603310007,6.281157091073812,5.77763816257324,5.428764475985095,5.259383482108073,5.2846642611269825,5.457830006385613,5.736126864039535,6.0428983523111395,6.313837416275489,6.488157650055803,6.5487842765870345,6.500932269465313,6.35966619,6.17163846985437,5.963433231459502,5.75195814101821,5.533754377892072,5.289100620200607,4.994970333631569,4.641213016092065,4.2210582298653465,3.761569711682741,3.2879415932053897,2.8323880429287986,2.4133942806303694,2.0413354971770032,1.708410142745018,1.3935635237108606,1.0683798093572965,0.7015803875540509,0.27083340381914367,-0.2512086861256252,-0.8541161207821122,-1.5288544637678663,-2.2465278453162587,-2.96673955942062,-3.6455060416142877,-4.24076919,-4.729887534317699,-5.080518830656166,-5.312774946428911,-5.443736158217765,-5.501798157230399,-5.531669690186404,-5.565612487082143,-5.632966940451687,-5.744962093053698,-5.907615684798975,-6.101852341223977,-6.301466138813462,-6.463680928561683,-6.5566657742833225,-6.555036267392982,-6.454350904976991,-6.288231685934663,-6.095717325244432,-5.9258716893290515,-5.802189539139002,-5.729610255255859,-5.671071733623628,-5.587305783127508,-5.436701741824426,-5.223804330000001,-4.977469598557021,-4.765139196862031,-4.643761667339683,-4.66240660304717,-4.79781744873919,-4.9889249596841285,-5.1289418897185595,-5.072438671517904,-4.7269956070022685,-4.1205222744311065,-3.3917158842324104,-2.6741515135440688,-2.1038829927943485,-1.7310482107433878,-1.5706899932984162,-1.5311160779446997,-1.518831351007736,-1.4594637068992213,-1.2809930842634,-0.9820336718240877,-0.608322761586866,-0.23903884577298024,-0.0265385528768331,-3.8842739713618476e-07,0.0
