cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-2.39954706,-11.562526474430287,-24.959821935018304,-39.52036824167632,-53.036933798831285,-64.12838840460671,-71.62233105739092,-74.57922485323957,-76.9595057791665,-79.70751562796346,-82.07888444059955,-83.49568716487845,-83.67126923724068,-82.61750386395947,-80.55452791948817,-77.78674666749397,-74.58092494910673,-71.12469301618955,-67.53468889661853,-63.90351895209821,-60.366741923378356,-57.12704390139878,-54.434613904870744,-52.53273369258637,-51.59190437226771,-51.65831495998437,-52.627665567582184,-54.26829302054009,-56.266925995577225,-58.29677129519686,-60.117853382340776,-61.59172289305312,-62.67587672662453,-63.39187255114613,-63.79303098762072,-63.94684391897975,-63.93361286399546,-63.84913768271244,-63.79616937274649,-63.865468016502476,-64.09638972186788,-64.46609536662086,-64.90660076846487,-65.33786664452673,-65.71053949091494,-66.03551243448211,-66.38750946236766,-66.87945027435043,-67.61646870314937,-68.64482532180394,-69.92740789312077,-71.33076863683266,-72.68757954216835,-73.86531369515865,-74.81864722269628,-75.60551649740022,-76.35621622926487,-77.20948297982241,-78.24614748199444,-79.45074976463471,-80.71575861899562,-81.88306281673893,-82.80134562202986,-83.39720163303795,-83.67614561163896,-83.7160710701093,-83.63202981405217,-83.53475351306095,-83.49353769057029,-83.5139873927285,-83.53813076090117,-83.46906786153762,-83.21100768443945,-82.70832282087109,-81.98415054639075,-81.10709363935932,-80.15801201992315,-79.19377882084304,-78.23723528089148,-77.30414267582815,-76.45301899917102,-75.82448539743449,-75.63364680197672,-76.10036910049133,-76.96225304039584,-76.67214943391521,-74.87488283036286,-71.26610443052517,-65.68896874773652,-58.30158902832436,-49.61003948142144,-40.34850810006835,-31.274366551271605,-22.975828625503553,-15.772039399455762,-9.792551373366233,-5.069561668227579,-1.7266516778534926,-0.13674057432432773,-1.338791545938108e-08,0.0
15kg_10bpm,10BC,0.0,-0.23865376651356796,-7.333399301243042,-22.73734618372027,-41.973466234036664,-60.28371975000001,-72.80732964637643,-77.1130774092019,-76.03673655345295,-75.24565696601263,-74.69643361000001,-74.29658430365382,-73.97517088303255,-73.72905572853044,-73.59105455695475,-73.6788885,-74.04260203464001,-74.74933111065027,-75.74824226389718,-76.93550834980205,-78.13708883,-79.18373268526993,-79.85642721328884,-80.11129634515176,-79.84463697978138,-79.16627475000001,-78.1645464510614,-77.00994421743283,-75.84547027314737,-74.78524138688465,-73.85086839000002,-73.03914186663245,-72.27453797477914,-71.51051959135809,-70.73114184168789,-69.96799606000002,-69.29708541064373,-68.78342409650779,-68.50603453286656,-68.43481372873364,-68.55338759,-68.74580618910953,-68.91755174928794,-68.97658287653307,-68.87212168796692,-68.58386177000001,-68.15263913826803,-67.61394830908571,-67.04447028084167,-66.50782060026461,-66.06137349,-65.76282322178565,-65.65438046241425,-65.75290670244355,-66.07714442480248,-66.57657115,-67.22442380949286,-67.92674737575179,-68.61026831697517,-69.2006093584802,-69.63945525,-69.88561430455596,-69.94064647732596,-69.79434117372202,-69.50881543041878,-69.12641366,-68.74532092300824,-68.4653965947855,-68.38563051783026,-68.57464779639443,-69.06674719000002,-69.78768551953944,-70.63087458171402,-71.40799951038258,-71.90034291601623,-71.97953778,-71.54766406895742,-70.6709704601167,-69.54490039254108,-68.50709535367922,-67.8595988,-67.13912952773128,-66.31297050333526,-65.4456214450911,-64.26826964237361,-62.30182155000001,-58.99369818373799,-54.07965005734653,-47.45534595503141,-39.670984140093395,-31.296610260000005,-23.163931501450897,-15.90036436993343,-9.883561877519847,-5.2364368349302834,-2.0572464500000005,-0.25424936859061,-2.1503891185998987e-06,2.7506273161981405e-15,4.971814015014755e-24,0.0
15kg_10bpm,10CA,0.0,-0.0027674861761381527,-9.029857713846704,-31.80208326174448,-57.82640543983093,-77.54003121513341,-84.45016193456807,-89.40027953316395,-94.37621355149145,-98.45928474194109,-101.04770801028084,-101.95305661729196,-101.40951473120936,-99.95420840586829,-98.12504545779076,-96.32705460380359,-94.7455025385791,-93.37904908851056,-92.13640578131246,-90.91715890684252,-89.62734456335858,-88.13825311543951,-86.26990061174408,-83.83969073427374,-80.74186357757404,-77.0376038133834,-72.96685245615586,-68.87314911145432,-65.07834716364057,-61.78653541814766,-59.07320830116715,-56.97836121132921,-55.552464779365856,-54.906198112817734,-55.109661324305115,-56.05324919470382,-57.368493827416714,-58.49296091428221,-58.88483294775142,-58.29332852509963,-56.92482380633022,-55.42472908788689,-54.5838524457732,-54.972614274545954,-56.720785483017515,-59.49580746562576,-62.657198490240276,-65.48941079932315,-67.40582108063157,-68.08359264045049,-67.4881947819238,-65.92102443953111,-63.920444338660715,-62.078788001715274,-60.88511916495153,-60.57256799881028,-61.075297346448906,-62.11813458115913,-63.38742653863627,-64.68148860297211,-65.96004807154414,-67.28034601889321,-68.67517358988195,-70.08439970457877,-71.37221102602501,-72.40635360653283,-73.13590756943516,-73.6143889894266,-73.95789488689857,-74.27024388721905,-74.57980107390378,-74.81955468314868,-74.86244329100856,-74.58586939456333,-73.94611733116359,-73.03828688174211,-72.1107337231649,-71.5123577358534,-71.57258785514172,-72.47135485902191,-74.10816442652428,-76.0805547324193,-77.84015381994246,-78.8502519100415,-78.76586830450654,-77.54830209399582,-75.4074530206427,-71.68920592462977,-66.77113969203536,-61.613152389854655,-56.71538935108045,-51.94605058204338,-46.744293265620236,-40.53242037673195,-33.16159797506536,-25.09625811336879,-17.209775028616264,-10.361698687228177,-5.085387008638438,-1.6395607305324107,-0.10478054
15kg_10bpm,11AB,-0.57373607,-6.615423109128819,-18.674555227524042,-33.98420061316762,-49.55592446761608,-62.72067087477895,-71.54467717163023,-74.60554463240999,-74.9717464101423,-76.51972588220973,-78.85492582012274,-81.24479187670883,-82.94641908888322,-83.46468564044568,-82.69063143595409,-80.87811301642543,-78.4871952463894,-75.97394321021059,-73.61716484621165,-71.44935837253388,-69.30722903,-66.96618541645498,-64.27676558993724,-61.26222681444385,-58.10798210445598,-55.06906352709229,-52.390170100260214,-50.25506318202798,-48.78938372869035,-48.09117253073916,-48.24909189816848,-49.32083225292319,-51.274764653856664,-53.932458069029686,-56.96004429459988,-59.932900357886666,-62.4636928531461,-64.3237247658311,-65.52520372513631,-66.30996447974617,-66.99484697000001,-67.825662320298,-68.87157360022753,-70.00664012545934,-70.98573145163395,-71.57102409974887,-71.64946035818134,-71.291776809186,-70.73420289319915,-70.29503192097776,-70.26162042963165,-70.78689111566113,-71.84272413035895,-73.23393010187215,-74.66857622838145,-75.89382594352698,-76.7812172040937,-77.35497040535407,-77.7504031490988,-78.11753328574709,-78.52076468000001,-78.88406498169564,-79.01277805991329,-78.68812124490371,-77.79764047332387,-76.44503127094033,-74.98324390275226,-73.92778850405246,-73.78932856483698,-74.84400124571039,-76.96826714810975,-79.71405855149672,-82.45673663496409,-84.59812143572232,-85.74093235799769,-85.76725864050297,-84.81685134093924,-83.19222381356785,-81.24618694750724,-79.30466343804265,-77.65216961000002,-76.5661485697825,-76.347558970948,-77.3089029726727,-78.94537524384711,-80.29160376897899,-80.71675922668888,-79.24398672196145,-74.98991277801163,-67.67876397438602,-57.927032405282276,-47.10508683111079,-36.80087452567721,-28.175664580977692,-21.57073968626139,-16.56440257479605,-12.399773581535273,-8.500717097574634,-4.806289507360979,-1.7898887109832136,-0.16086268
15kg_10bpm,11BC,-0.29478438,-8.503466871218139,-25.7076095444287,-45.58496529948372,-62.31192077848175,-71.88752193491615,-72.35208150630937,-71.15803433904144,-70.90816212330746,-71.4760844726144,-72.45259315833987,-73.50164709306961,-74.31620438698037,-74.80208268491684,-74.96900304374527,-74.9545440232341,-74.94141239279193,-75.07503832767875,-75.40902148143704,-75.8983154148787,-76.44483648270413,-76.9150130973698,-77.21878512624541,-77.306093776758,-77.2229547683175,-77.0185298098955,-76.76446313492241,-76.49380165723122,-76.19401207751238,-75.8256922408513,-75.3440338874958,-74.71450454465486,-73.97105273526539,-73.16275432421662,-72.37527438926982,-71.66931139750898,-71.0940816929502,-70.61762212796675,-70.18541998069715,-69.70416716716926,-69.10223559897935,-68.32589406321348,-67.3866064973195,-66.35685179501512,-65.34615623682114,-64.48313536761165,-63.865000089974856,-63.59377429676966,-63.6364722750483,-63.97618672691982,-64.53605773473157,-65.2287096158395,-66.00185656273925,-66.80958350059355,-67.63711219782945,-68.47793781006085,-69.31565581270608,-70.11893812463163,-70.83145321359987,-71.40571418525505,-71.77282278792613,-71.92258195375531,-71.8729978672023,-71.65471273799841,-71.36572507209905,-71.0818108613886,-70.88565564731684,-70.81752653974976,-70.91429463697806,-71.16312754462565,-71.53949505879531,-72.0288564265795,-72.5856767186851,-73.18263795120353,-73.77308146928931,-74.29688131424655,-74.65251948282919,-74.72310961411317,-74.41984464883946,-73.60303910095952,-72.37000948723627,-70.86475264414243,-69.44552337082374,-68.48217256743715,-67.51867159660553,-66.2430542976692,-64.71286743662422,-62.55321497453981,-59.196785512721235,-54.17604236015477,-47.31011024841744,-39.09941986548602,-30.24444812202075,-21.67869713349405,-14.047975889393657,-7.948454037584724,-3.4375205017438257,-0.6832560346348096,-0.0037043807295299067,-1.9272135089975463e-11,0.0
15kg_10bpm,11CA,0.0,-0.08335582430552735,-2.259211522851125,-8.056581324292727,-16.670509368940017,-27.61318573534768,-40.33662423404874,-53.97842772466882,-67.39778598581157,-79.2411092689593,-87.84146476215065,-92.51799699198241,-96.29083800809656,-99.26532760088548,-101.04456556829892,-101.43596124067818,-100.52107111578906,-98.62096699423688,-96.18314717959244,-93.64585646952152,-91.33384631567282,-89.41387541596542,-87.90524932347635,-86.72263252059116,-85.72778261273844,-84.76814334,-83.69858519161554,-82.40131647372557,-80.80049377355652,-78.87407502730534,-76.6688866860275,-74.30021817641153,-71.9238769689998,-69.68736859230675,-67.67904341198324,-65.90033187686383,-64.27783310721424,-62.71247642011508,-61.14403986056073,-59.59939310263521,-58.197678990017536,-57.10542387368736,-56.45990327536093,-56.30256705314891,-56.56152374328216,-57.083106893671825,-57.705023525903705,-58.32902085604722,-58.93627736841769,-59.55433094977127,-60.20578324000001,-60.87407906582387,-61.506738789106265,-62.04477068644479,-62.45022383047488,-62.712599674233644,-62.83827263112386,-62.841464259814074,-62.749458244947995,-62.61711435462943,-62.53333842740259,-62.6046622923772,-62.91741634759034,-63.49973109721826,-64.301440115475,-65.20801413201166,-66.09747002847544,-66.89640386439675,-67.60137737197071,-68.25963528257444,-68.91916228482661,-69.5826805922418,-70.19742041652394,-70.69055806643254,-71.0329307953906,-71.29402166000001,-71.64968017176004,-72.32248699131706,-73.46869066783103,-75.0602074035237,-76.8260735750392,-78.30741910096235,-79.02006312973026,-78.65935736887987,-77.28946540002714,-75.37363546641205,-73.41292789539202,-71.08241951537573,-68.69158078754482,-66.2554688912959,-63.33195822276211,-59.33442385020503,-53.894966033671565,-47.09623936056751,-39.45904914539128,-31.70972964091598,-24.47638066470704,-18.095696316528656,-12.625181265582507,-8.010238704310414,-4.26568303
15kg_10bpm,12AB,0.0,-6.1592562086136,-22.64860523977946,-42.43305008430254,-59.550987388999,-69.93171826590043,-71.78091771466785,-72.82821104316304,-74.65191883228738,-76.53019144189658,-77.97233440283455,-78.83463738575878,-79.20672869422418,-79.19008344335562,-78.74423070341994,-77.70471160166635,-75.93966712837454,-73.51246199850262,-70.72248404070707,-67.9872671274124,-65.65316488593872,-63.854830118965005,-62.49356512349027,-61.36301040947913,-60.30730201735595,-59.30404684715735,-58.45470676965613,-57.90800855397055,-57.77785994942079,-58.10059830455658,-58.83632231102612,-59.891386192950876,-61.139149173859536,-62.43384439319009,-63.624475942062254,-64.57254538546441,-65.17017946468964,-65.35531835671674,-65.12342324143728,-64.54174761161543,-63.77092681604817,-63.05971045872581,-62.69828658133444,-62.95412507580096,-63.9947267782421,-65.827039044704,-68.28079419400358,-71.03616701015798,-73.68812397105874,-75.83335783618598,-77.15998464000002,-77.5195947918846,-76.96500011654521,-75.74424149647933,-74.25033903944124,-72.93195571387848,-72.1808671057696,-72.23828064971278,-73.1435112804476,-74.73549399795141,-76.74085476556299,-78.87936860611728,-80.91820727751482,-82.67745281922065,-84.00223432325359,-84.7460112730515,-84.80543877781678,-84.19931544178333,-83.13247012073731,-81.97268554871,-81.1152288321872,-80.79109869163743,-80.92914413867166,-81.15920224133258,-80.96660572107463,-79.9228166499329,-77.8882644180123,-75.15489570158313,-72.44619290606823,-70.73050391613964,-70.9385527536754,-73.59623267057664,-78.41560148767138,-83.44101259147467,-86.54285631168354,-86.1524049422785,-81.62821227384838,-73.56996553062166,-63.519971672550014,-53.2471855310956,-44.03438546090163,-36.3387397014799,-29.923293746039697,-24.281119478094265,-19.04499401332817,-14.15564865861277,-9.769230382596296,-6.0549024048121955,-3.1051816923329967,-1.0207967617119735,-0.05473999
15kg_10bpm,12BC,0.0,3.3480495025054436e-51,-3.1004423407159846e-41,1.164190597518358e-31,7.271886743976988e-22,-1.3768509881707415e-11,-0.13136490802879427,-4.783559268033688,-18.859773171647223,-37.32355167306684,-56.11320175246519,-70.63199045807603,-76.45237494516255,-76.22505448411617,-75.44690807708986,-74.58114629640365,-73.80711215135638,-73.29471110935208,-73.19696223168178,-73.59288551412408,-74.40781445859102,-75.5125394198009,-76.7110742623011,-77.76749829224863,-78.51608340295364,-78.86045248,-78.75339765840377,-78.31375850603268,-77.65824762753553,-76.90936099008188,-76.17174316066645,-75.48651544474937,-74.84675434168588,-74.21685410883323,-73.55666404321283,-72.85304570691223,-72.116037655082,-71.37241338307736,-70.64437442733566,-69.93027618207164,-69.20630455053215,-68.43223364108562,-67.59056161053418,-66.69635011172102,-65.8119318700506,-65.04543108430184,-64.49718451198049,-64.24155445293549,-64.33418668660858,-64.70530599186361,-65.27506801,-65.95455148937053,-66.66173211078724,-67.3507510271015,-68.0066968784673,-68.6216939897299,-69.18090790857593,-69.65546028179396,-70.00688891497965,-70.18280683099027,-70.1836373632624,-70.02939222731067,-69.76317320718097,-69.45383205489892,-69.17579701837634,-68.98635197053085,-68.93644910731557,-69.04741272079352,-69.30849953109619,-69.69456856757778,-70.16956366239755,-70.67976522202547,-71.1949641152116,-71.7028067645073,-72.20492245159312,-72.69681896000002,-73.14555129114432,-73.47056509806528,-73.55850242144227,-73.3349855896777,-72.79306647505399,-72.04692759711531,-71.41895626530062,-71.28748065659661,-72.04408588999124,-71.5471959430354,-68.20229187564554,-61.97222446089392,-52.80518522163436,-41.273623360895776,-28.646607152337552,-16.54923139240127,-6.98184637074129,-1.3220129726649983,0.0002050452272542501,-3.133247111482654e-14,1.6548354419855557e-24,2.6493039974778485e-34,-7.055558002885899e-44,7.619028146804234e-54,0.0
15kg_10bpm,13AB,-2.81481003,-9.09858987318994,-17.52617019778597,-26.99271986324125,-36.870011336099004,-46.84345037655874,-56.60144619278089,-65.54480368345939,-72.64593170321655,-76.56994194591715,-78.04781316362009,-79.0567930262549,-79.6448347975324,-79.94538525079143,-80.04901458252205,-79.8920411368972,-79.2602200018893,-77.90721607600123,-75.70941701983882,-72.75493688804868,-69.31414939662474,-65.72478495804407,-62.280539620345266,-59.195838266651805,-56.64851775325424,-54.8380569117063,-53.98899908742689,-54.2779742448729,-55.72684044656473,-58.13246662739823,-61.07585232478114,-64.00706825092938,-66.38613149168354,-67.83018562019632,-68.20070454383404,-67.61188839997244,-66.37892087885604,-64.92166198708111,-63.647459973888076,-62.84937429532784,-62.64907763422758,-62.995745385146066,-63.71515784480627,-64.58937055497579,-65.43881675572052,-66.17860328407417,-66.8311883714927,-67.49681114826645,-68.30179064152938,-69.35057412978307,-70.6962728603734,-72.32742283780694,-74.16235792547741,-76.05136457895206,-77.79663719084151,-79.19387668760321,-80.08367666248867,-80.39538697450881,-80.16634532062974,-79.52924496904312,-78.68208577733517,-77.85509846064569,-77.27089532125346,-77.09023171613588,-77.35489498183601,-77.95744056501371,-78.66611961905917,-79.20605572087838,-79.36053714124614,-79.04015362833404,-78.28930560038069,-77.24232847698615,-76.0696683143315,-74.94742082390563,-74.0512684166243,-73.5478466219951,-73.55670133421643,-74.08466554499682,-74.97143350087447,-75.9026180140007,-76.52309081466511,-76.62438790247761,-76.32935034302386,-76.16187920733273,-76.86855120553788,-78.0365764072091,-78.95753121617268,-78.86176040988403,-76.45922918336878,-70.73666951515949,-61.701599636623655,-50.567344575413884,-39.220132319451125,-29.299130473654277,-21.492413765440638,-15.487075596324638,-10.528900604447674,-6.138858109050853,-2.5010452961284595,-0.33777910732223165,0.0
15kg_10bpm,13BC,-1.53477829,-9.495633136011921,-21.904248151427495,-36.23087992313013,-49.761578599887166,-60.99584424243886,-68.26684062790464,-70.88653641661261,-70.22133462113524,-70.00175806360144,-70.24443619106779,-70.88106958177225,-71.84099366522072,-73.0767746997886,-74.60273072678135,-76.37083162555082,-78.32576279718593,-80.37537655507603,-82.34877883730728,-84.05908697017566,-85.25128854405298,-85.80795819599163,-85.60060348560529,-84.68440792561836,-83.27395190813705,-81.60713130965098,-80.00218020396773,-78.64358920284525,-77.64976192845398,-76.88408623964854,-76.16845184256425,-75.240326981528,-73.94950113710004,-72.21416304482618,-70.12868103236436,-67.90396446165805,-65.79709164363278,-64.05136633097847,-62.79709603210455,-62.173044393276164,-62.05191764303427,-62.33468402692206,-62.86492930307877,-63.4531339315047,-63.96066751312702,-64.27299106422835,-64.35277434699243,-64.16986133203174,-63.78390366374029,-63.27669056465755,-62.76098198500804,-62.36772487555153,-62.208261319036154,-62.40428976771828,-62.956257326241946,-63.87092491594331,-65.07349252244548,-66.4408486370479,-67.85668324028836,-69.19329339289926,-70.37385886273576,-71.31511898684379,-72.03251222398944,-72.53910789352653,-72.8624885383711,-73.07484276053394,-73.22447250804882,-73.37128441473602,-73.55967277935684,-73.8280840804065,-74.18304031722194,-74.60147242738239,-75.0274312135667,-75.36627325667638,-75.51804206982791,-75.34698445231753,-74.8338339369841,-73.98027357371716,-72.9296043160475,-71.93518545832428,-71.35374344758038,-71.2740878880925,-71.15646473141216,-70.95351788979418,-70.42580505368504,-69.12341480919223,-66.39458243807763,-61.987902944567416,-55.814190713055304,-48.22295542957423,-39.97318328360589,-31.764582113615635,-24.27657733314203,-17.802143435084524,-12.511233828420753,-8.178412360767036,-4.649376178704091,-2.0372882238424133,-0.39111455855591093,-0.0039317069174054035,0.0
