cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-0.3172333,-8.94400254494201,-24.679581003745355,-37.355004220643586,-39.02794307627581,-39.04797941125918,-39.3796479153408,-39.8461038887939,-40.23003350574696,-40.241864913405124,-39.77764392747141,-38.78063577610573,-37.37822442917278,-35.80754956511955,-34.33485834284587,-33.16561082839827,-32.414398810858906,-32.10050662176702,-32.09493781192739,-32.29326175879834,-32.55271779059716,-32.79979333104076,-32.996676387813075,-33.15341999186262,-33.28314449751686,-33.39866464872037,-33.49899799410957,-33.566636754300404,-33.59042704658927,-33.557400386366716,-33.467072904009854,-33.332265247815805,-33.160907835099806,-32.96817088959621,-32.7565446812585,-32.52034185473221,-32.2533080262689,-31.94297395840063,-31.59142632680487,-31.207895307699093,-30.811923431005848,-30.42986340786562,-30.087578389228128,-29.801289204545775,-29.57218482916152,-29.403187846145723,-29.277293354645817,-29.19407060402332,-29.162702392809514,-29.199172479763316,-29.35079381043251,-29.63706257211175,-30.081897804851867,-30.68835221897783,-31.409899684028858,-32.197505684574516,-32.96887103071241,-33.658131064792585,-34.19237517836938,-34.562402360637016,-34.75354036102767,-34.799903201675015,-34.74594259262504,-34.6257975700778,-34.48034692926868,-34.32255085642964,-34.152170503695956,-33.96139289060527,-33.73636312106553,-33.481977892177035,-33.21213926609919,-32.96110556765606,-32.764646957696094,-32.67022624861184,-32.69411151511779,-32.83323068830156,-33.06094345121778,-33.30645933206253,-33.49097670883757,-33.53477927820375,-33.402995578150325,-33.077803007839115,-32.66528310369067,-32.30110329116844,-32.12941826429799,-31.835593650941536,-31.261198394004943,-30.445058300254157,-29.23127932097579,-27.383397208424107,-24.77422488277492,-21.350404678270888,-17.345689416335823,-13.0972383674473,-9.03323196029407,-5.495882511888543,-2.767704581203099,-0.9612474068565344,-0.06628545987439566,-1.4023507462213854e-07,0.0
7kg_10bpm,2BC,-7.10002881,-18.43609383860652,-30.080513821201308,-37.99495795218643,-39.05337424556507,-39.40502233520381,-40.01012888951571,-40.661810902679626,-41.151682539584456,-41.32724861550488,-41.08001422080102,-40.40866609860394,-39.41772828867812,-38.24446797478478,-37.07693364838859,-36.085875251750515,-35.336503848503355,-34.917647703881165,-34.73033093162188,-34.72950601371549,-34.79132929214322,-34.826126204747304,-34.77481562126167,-34.60393413887578,-34.31912370817173,-33.94777023726959,-33.52013248730262,-33.07222434507429,-32.62663985245063,-32.19520355770418,-31.78441006036072,-31.387151710505293,-30.99913470067332,-30.612579195571605,-30.222882404932136,-29.829001979657114,-29.43294649715708,-29.039809153120583,-28.656676037989577,-28.291184485490366,-27.948064140916166,-27.63382101799999,-27.346631608244675,-27.093783115092386,-26.87177275497844,-26.69721235423314,-26.57424132706044,-26.53332282696133,-26.586842731913745,-26.765126542232625,-27.07401324512739,-27.513238465022294,-28.06465105559513,-28.685961310407222,-29.33337390001365,-29.957524649083766,-30.510975113823143,-30.986411807756348,-31.366840688213667,-31.69024116939188,-31.983710508758197,-32.28623771978846,-32.62861010289129,-33.01976865601093,-33.4536393187893,-33.90652038513124,-34.344333257981646,-34.73005276569943,-35.04000874643637,-35.240067715039984,-35.33720180507767,-35.30257431173453,-35.16432797255694,-34.910822756697655,-34.57822240673134,-34.19514611356462,-33.81940591445538,-33.522781483988325,-33.22443377152721,-32.807820680292366,-32.35570897338006,-31.902571193660833,-31.410178250318733,-30.765546097340646,-29.80211077336898,-28.41020112184253,-26.43647781973555,-23.942529376197577,-20.969627620132012,-17.727539998724207,-14.417522742473025,-11.251998875712516,-8.39587195740649,-5.950140204655638,-3.931663799102213,-2.361075038748597,-1.1653448919374525,-0.40581594685063405,-0.019237488794852216,6.96601003277406e-07,0.0
7kg_10bpm,3BC,-6.80820228,-20.34809300819167,-33.31614338793774,-39.33218405916132,-38.67828576214412,-38.38469155694302,-38.53195358087307,-38.91747496477406,-39.386994034059256,-39.75341650676205,-39.832062716438514,-39.60950191928572,-39.0467354191629,-38.286805914744576,-37.448629813933096,-36.67758551604794,-36.108804097354515,-35.7620668846437,-35.65922303986281,-35.70504000311365,-35.812469609999994,-35.87741226792276,-35.8017824974831,-35.55557583492167,-35.10612591497175,-34.49786528087722,-33.76519637572145,-32.97660983236539,-32.191342525755246,-31.4571780231966,-30.81833948595007,-30.284322498978987,-29.863935495133745,-29.532610255819236,-29.26562897666434,-29.025437796921757,-28.778944859406746,-28.505089003348562,-28.194929010605904,-27.860113781797985,-27.525932609999998,-27.22397479651893,-26.991021581984207,-26.84934703546054,-26.816249696277723,-26.888221853507872,-27.055497850376693,-27.29858345226436,-27.598954898293993,-27.941483210342923,-28.3171061052178,-28.72223429133013,-29.15562756921064,-29.61548700116947,-30.095530353645774,-30.5858980361418,-31.072366578952142,-31.541183984095824,-31.982158659643105,-32.390104947483266,-32.768943330000006,-33.12550815649831,-33.47107401196379,-33.813131304216824,-34.154528477206306,-34.49059759014817,-34.81033848398427,-35.09629200669597,-35.33259687246375,-35.49735166553465,-35.58087816923142,-35.565040630224814,-35.45397543358758,-35.244359755353074,-34.96441518461651,-34.64555901757205,-34.34730737480386,-34.142206801762306,-33.88821888951301,-33.437478277494854,-32.86737818999999,-32.17658681422516,-31.323987052652566,-30.198472145858716,-28.716749744625965,-26.76353390495108,-24.367176830115,-21.535185735806788,-18.443177549558214,-15.23177924257023,-12.098380302669346,-9.211936245679851,-6.646371112736283,-4.509869037182061,-2.740433536224891,-1.4196437459770235,-0.4672748249819972,-0.05657880763435048,9.40602446047804e-10,-1.3597712154099208e-18,0.0
7kg_10bpm,4BC,-7.88432461,-21.91355814736936,-34.527149098649936,-38.67562939050401,-38.47161405086065,-38.48891694226482,-38.806559779760335,-39.33984177598506,-39.870463853402114,-40.17851849516992,-40.173635851188564,-39.731788951660484,-38.96117412449764,-37.942724948663894,-36.86065504697507,-35.87987834143509,-35.10288232515227,-34.60977195159319,-34.37653493137589,-34.36598795848638,-34.49640171384854,-34.692106309273825,-34.8886157690929,-35.03609218403837,-35.10195117235997,-35.06567654,-34.90872432945704,-34.62942252337566,-34.22105317600095,-33.70643690933441,-33.10198391036993,-32.45109365170052,-31.789357737275605,-31.152894607188426,-30.575583297945307,-30.061244362510546,-29.623139411677514,-29.235360845134327,-28.885041249871207,-28.540703206375074,-28.175793060140943,-27.778101209146648,-27.33600124029997,-26.86732762235233,-26.399263581128853,-25.97040424126207,-25.637836054930222,-25.4335506857537,-25.403633340253403,-25.546017301667934,-25.860686159999993,-26.310188346921368,-26.85588917346883,-27.45381983941433,-28.068796638264164,-28.682170036515682,-29.29178991314485,-29.90904241034554,-30.5511541482217,-31.234439567293897,-31.959603692232495,-32.718062729556436,-33.48003460212867,-34.20534538333199,-34.85934136612269,-35.391761205908836,-35.801069839115875,-36.05529185244291,-36.19214927334072,-36.20543615009069,-36.14038570428279,-35.99808659894432,-35.80375291421528,-35.55117257725811,-35.25434001762478,-34.92002099,-34.58055517684871,-34.291142666534704,-34.11218927729134,-34.140762279211884,-34.4295544571313,-34.93884877551144,-35.23123317880255,-35.13917397507051,-34.57435454577158,-33.41290959043094,-31.569011015920726,-29.03861884675687,-25.889930470270173,-22.318252066131475,-18.53301217784579,-14.788093373844061,-11.287336532436447,-8.155306153493965,-5.501527697251051,-3.2988484872594435,-1.642192179151567,-0.4811861376219968,-0.04188050565124185,1.0253841710170684e-09,0.0
7kg_10bpm,5BC,-9.97645421,-22.881771759173482,-34.20854043087822,-38.46734240089017,-37.819242082706104,-37.20534024180999,-37.0495817514989,-37.37317968455635,-37.92985639710822,-38.53812238798575,-39.003880700824524,-39.16023767036212,-39.007269261485504,-38.54335531836928,-37.90016368156595,-37.181309210798666,-36.49873117673321,-35.92222894630799,-35.47101980479731,-35.14303693724177,-34.911761902198606,-34.75848779846505,-34.669364867780864,-34.6358497492767,-34.64674141578303,-34.67823923688462,-34.692190641899465,-34.649336174350864,-34.502016443206706,-34.23761792063172,-33.83909743026432,-33.3392126168328,-32.75752771211037,-32.1399321912962,-31.516018599737542,-30.908284851296518,-30.335523000470918,-29.796427368422634,-29.301505404106372,-28.845510126324136,-28.44235555051798,-28.092205184267655,-27.813648312532077,-27.60709450078248,-27.486826007334496,-27.44691938435041,-27.491248640257304,-27.608434995055354,-27.79425962696407,-28.03683815275055,-28.328128140808797,-28.656830075044255,-29.01129859782569,-29.377236254741455,-29.73927067119292,-30.079506492359954,-30.385563069508972,-30.643689923750127,-30.85511715802877,-31.01996087227723,-31.154678910898756,-31.273474671507095,-31.394680179622505,-31.535231949864688,-31.69942687065798,-31.89396938372,-32.10840876854489,-32.3373143152749,-32.569264451829966,-32.797937889326086,-33.022168367269224,-33.24463934538819,-33.471152160838315,-33.706830632140324,-33.950119019387564,-34.193052072929454,-34.42015937553112,-34.613340693538994,-34.763065653142625,-34.87350795310532,-34.97576535664013,-35.12201738361179,-35.39031584479219,-35.81241017453013,-35.486385101626084,-33.97892263285161,-31.344208886223942,-27.755674757314935,-23.315154596591583,-18.29531847929514,-13.076347645913533,-8.06718993746793,-3.948585974191497,-1.0161095508157694,-0.050615256571755446,1.093877485662589e-09,-4.231591743716139e-18,1.0724384633075699e-26,-2.0451228099554294e-35,2.5726184831822756e-44,0.0
7kg_10bpm,6BC,-6.4077909,-17.742360137889552,-29.585399176875743,-37.16131501587064,-38.50243026022203,-37.95065533564431,-37.738529711928955,-37.81953514360206,-38.03751109401347,-38.24156937248492,-38.28721493602637,-38.133961728327776,-37.76092907141821,-37.28214048775167,-36.80009103149516,-36.42479968630814,-36.22052261652786,-36.19448494460741,-36.2862001516664,-36.4132438552339,-36.48798855380194,-36.43170358488919,-36.238435985731854,-35.91483779278171,-35.5111779208887,-35.07575916045367,-34.645126362760685,-34.22748282294244,-33.8065410898781,-33.35244574669746,-32.82992461560916,-32.228518027079694,-31.555228124963566,-30.843254518459123,-30.136819310796792,-29.488599639753478,-28.919366009951947,-28.455005011977143,-28.07418130241109,-27.761951116418018,-27.49064346411417,-27.241711633921735,-27.009461272063238,-26.796770595820476,-26.6248700579281,-26.506201579717214,-26.4661265931215,-26.51351800985455,-26.655094412943438,-26.89007536432904,-27.199338964341322,-27.57137125750046,-27.973213961257006,-28.383047211552608,-28.779805658593908,-29.153467343488433,-29.509348143243574,-29.865746536744254,-30.255875077604436,-30.704526369230937,-31.251897926801316,-31.891127148207715,-32.61968028408544,-33.39567723908981,-34.171149344121275,-34.885026257847215,-35.500487015914786,-35.96994185680754,-36.31493899817888,-36.53781307861299,-36.685476355271575,-36.78309823879499,-36.84594872654782,-36.86654783217275,-36.80731416003538,-36.64789486945475,-36.35126048989599,-35.9633233027753,-35.55297805925929,-35.254936868870075,-35.194596321498274,-35.10326328569116,-34.83765918841213,-34.33851561584855,-33.4811403333503,-32.01421602079926,-29.808067914473455,-26.798791691063233,-23.11683130834184,-19.05741455226581,-14.946284769169901,-11.114944792958921,-7.817452942617736,-5.104858518152852,-3.0039047268292283,-1.4460640583996502,-0.41489802396727093,-0.02018946825228464,-1.1011506102489329e-09,-1.4986548634184159e-18,0.0
7kg_10bpm,7BC,-0.61181502,-12.169309757426564,-27.86080565,-38.151556034340274,-38.09032903999999,-37.62469585207594,-37.56394726,-37.77226130728408,-38.03346888,-38.166312884376964,-38.03689258,-37.644624358221684,-37.04055169000001,-36.36578089230879,-35.74838623,-35.29896281275715,-35.0479532,-34.96643430548332,-35.00498136,-35.07093430383468,-35.10305804,-35.04216449328324,-34.87787898,-34.60843359335997,-34.2396283,-33.80612767128675,-33.330921350000004,-32.84206051463616,-32.36222581,-31.90607980984616,-31.479281400000005,-31.07589560069705,-30.688018550000002,-30.30415359020089,-29.917985649999995,-29.529615366142774,-29.14901008,-28.791662858977336,-28.487530579999998,-28.260632634977874,-28.13302268,-28.140259864671542,-28.271599280000004,-28.518744694826673,-28.86179431,-29.251531987985135,-29.65234202,-30.028978667586923,-30.367853420000003,-30.66690470767713,-30.94032782,-31.208468790395155,-31.48925563,-31.793869391206364,-32.12150736000001,-32.46564981812142,-32.80980926,-33.138323905626635,-33.42978496,-33.671699907630924,-33.85435767,-33.96145015277766,-34.00197251,-33.982959225834534,-33.92134531,-33.85288958044204,-33.81295965000001,-33.84604181882174,-33.97388119,-34.21444656095603,-34.55956021,-34.972782913336744,-35.411196600000004,-35.81290595287268,-36.12700682,-36.2920166382887,-36.27914431999999,-36.08524872980178,-35.70848054999999,-35.22640195583968,-34.72594119000001,-34.353494963728075,-34.23696793,-34.487488882308156,-34.68798055,-33.56538597790401,-30.990929800000004,-27.00026407164201,-21.905180790000003,-16.117647759602043,-10.358056820000002,-5.337837116251329,-1.77575362,-0.16889646216722493,-1.429755839403766e-21,-8.736571487270299e-19,3.923635700109488e-44,1.1670029833593456e-37,-1.458519205748705e-62,-1.5588448685547704e-56,0.0
7kg_10bpm,8BC,-0.72012129,-10.906555427787902,-25.20128257946933,-36.32234273875394,-38.26269132973621,-38.05071298589575,-38.26988201446526,-38.77851740849907,-39.29775147202575,-39.58386138617009,-39.47477989747609,-38.91206049741957,-38.05293145965485,-37.07778341218469,-36.2130078171489,-35.59973286442337,-35.27358694608621,-35.19664233397999,-35.22926527119847,-35.241630553255376,-35.132081684719424,-34.84840466393475,-34.41156721002181,-33.861437027476626,-33.25665349900011,-32.66256650165915,-32.123988986843884,-31.688427268685157,-31.36991507364148,-31.169110995973025,-31.075592114380115,-31.047537403067242,-31.03540173011918,-30.99175295061122,-30.874708079817914,-30.67619317566862,-30.405479879013292,-30.091089611239827,-29.781372951408592,-29.514366570678284,-29.329884577999394,-29.241072361902024,-29.247803406498225,-29.346159561809046,-29.517557458405186,-29.73820011207999,-29.987089354253406,-30.237085561634927,-30.460854872798127,-30.634155719492007,-30.726694100000003,-30.737513421865742,-30.67637483970294,-30.57208970214426,-30.483825570798295,-30.471536950512718,-30.599866637079717,-30.914081853477896,-31.408538546696388,-32.056319624853835,-32.79409550363606,-33.52763618799534,-34.181716603374376,-34.67657197312093,-34.99917846234787,-35.16311790791356,-35.2046897033408,-35.1976734874717,-35.206571769806345,-35.28160926332954,-35.44580160501637,-35.67567119276952,-35.926775711458255,-36.12238151186152,-36.197489348313816,-36.10737538157248,-35.81877595701407,-35.379862936187855,-34.861916261455036,-34.3686460206121,-34.0292670450814,-33.94120270528903,-34.18384628000688,-34.42015287911701,-34.35487222486811,-33.88864867952134,-32.84072709878908,-31.149681301123714,-28.791906753163858,-25.794804505068186,-22.37213851087142,-18.75678957204553,-15.176560511502538,-11.843391053174294,-8.863714287654382,-6.280226701503974,-4.1180111849540415,-2.3273615523036946,-0.9444392832006748,-0.16672165236387734,0.0
7kg_10bpm,9BC,-6.05024357,-17.708832141208006,-29.360236556303313,-36.32852273136048,-36.44637906782805,-35.8692880115791,-35.944666118658624,-36.4641126195053,-37.11865643270428,-37.598306210828376,-37.654822395845855,-37.258457617838395,-36.517702128652736,-35.644224170290755,-34.88368976178584,-34.46309140149313,-34.463219421259474,-34.81551344066479,-35.33755872451967,-35.78705105687852,-35.93025635350115,-35.63686275711357,-34.95883551381203,-34.05493995000525,-33.14164720797795,-32.418990275143585,-32.01975655596679,-31.918269776274528,-32.017334982896614,-32.18279916770823,-32.293812594071944,-32.270342263316756,-32.11431232946945,-31.870697725295713,-31.6005337759814,-31.356143736665373,-31.166164453665036,-31.024332121946554,-30.903076370828476,-30.77482644761212,-30.625849205104196,-30.465789928370658,-30.331550169995783,-30.267754767528846,-30.309340046084333,-30.46823035288206,-30.727955477751646,-31.049301116512208,-31.378383181206452,-31.679066795552668,-31.93624522990614,-32.15649606084677,-32.36106395157923,-32.57337578818967,-32.80068824818328,-33.030358703122744,-33.23275474313781,-33.3697284326135,-33.41194785764752,-33.36430782045991,-33.25912890738301,-33.152615869626885,-33.1096005509414,-33.18913201824721,-33.39661991254395,-33.69791241890769,-34.024158027830985,-34.29453032965189,-34.436660017875866,-34.43935358560821,-34.342853936217246,-34.22277121735747,-34.16278560243833,-34.226604975531146,-34.417852958632565,-34.674955902910945,-34.904793023124306,-35.01450690185467,-34.950626916341015,-34.737968031990974,-34.469927623306944,-34.022869529134965,-33.4660697380415,-32.92085309486098,-32.354026439770244,-31.56373143698454,-30.294626469271336,-28.34835423157396,-25.67668652112155,-22.397336430326302,-18.835054032782363,-15.340986912511527,-12.179815158807425,-9.477936617261374,-7.229386595245835,-5.343533572825455,-3.697217916292206,-2.253084106700298,-1.0644013614528909,-0.25690703279378496,-0.00787281
7kg_10bpm,10BC,-7.65502092,-19.487576101387113,-30.882670506901466,-36.75995859034725,-37.385613873894215,-37.7488524799206,-38.32364909107888,-38.8516246385843,-39.126207150381575,-38.99315574639219,-38.46933386971427,-37.616677436114394,-36.637315531377986,-35.71455501963638,-35.046656129324916,-34.68931941356418,-34.64651813223055,-34.84992474253842,-35.15639720549625,-35.455695496026536,-35.65881733970652,-35.74399050162702,-35.70824903134946,-35.594555588417236,-35.429086821274,-35.21590548000001,-34.949151476294624,-34.60423584964066,-34.15750898699916,-33.61346034722905,-32.977645871294854,-32.283661389239164,-31.5642315892011,-30.85060279910146,-30.16628970979552,-29.527831789864848,-28.955331461586486,-28.45453028359366,-28.042356508566254,-27.72777253719338,-27.505652753738797,-27.380338928189186,-27.33097078094727,-27.34226760195218,-27.408408806479784,-27.519081034454665,-27.684011752315094,-27.924991934359063,-28.25699803425173,-28.707451094257507,-29.278847190000004,-29.95252639151231,-30.70469980894062,-31.475418325117985,-32.21639263107376,-32.87320846610427,-33.43016543754687,-33.8771444104318,-34.230755484614576,-34.51958230087938,-34.7571529802189,-34.95241621449273,-35.097250013896165,-35.16130200754105,-35.13715691369055,-35.01719406188627,-34.81789295939568,-34.58477197359699,-34.36905941822104,-34.226224941934575,-34.18481514702799,-34.27214222062926,-34.45583276445722,-34.69929139114819,-34.94281838605682,-35.12569791,-35.189945653367,-35.09408182369841,-34.84405966783959,-34.45888713329895,-34.03140354381346,-33.66815398441478,-33.52345735753695,-33.331856957577834,-32.899129177420434,-32.22587778576383,-31.2299460108651,-29.737230751044986,-27.60948962031389,-24.8354261155889,-21.456716197962947,-17.737599251113878,-13.9332418156632,-10.32808835405307,-7.098097854219767,-4.379756765773439,-2.2653290617864816,-0.7727410275043177,-0.07758304195860159,-1.0797993502161831e-06,0.0
