cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-1.21417471,-8.26177360794883,-18.10554723054466,-27.112995702806874,-32.467367704559955,-34.35117190018684,-36.55007983962064,-38.893907694912876,-40.82337729275165,-41.92827048267101,-42.02785346889051,-41.178840210843866,-39.61979476275767,-37.67852743106889,-35.676654873858745,-33.86009521393488,-32.36858843102398,-31.240232243092724,-30.437361825315094,-29.880041882984195,-29.478275821509698,-29.15788721198462,-28.876092946981426,-28.623416843505506,-28.411444256288597,-28.25132867,-28.13376934101312,-28.02300645959211,-27.871211207508605,-27.64685365325999,-27.359508503669737,-27.06343304628606,-26.83512467311199,-26.737672870240548,-26.793448946050322,-26.979178208137636,-27.241233902736475,-27.51875644709759,-27.763638192000357,-27.952674407505874,-28.090675453109306,-28.204456543966355,-28.330243193658767,-28.500540254558356,-28.736538180656094,-29.047577431014375,-29.434624138565233,-29.894462810711122,-30.423667984097566,-31.021350487023106,-31.68740029,-32.41430860846646,-33.17750213389862,-33.93434890846039,-34.637737267686674,-35.258502489445235,-35.80205685747505,-36.30655009522494,-36.821819953465805,-37.381356418931176,-37.98378504239745,-38.59323860354422,-39.155750747543,-39.62073261883855,-39.9570264122596,-40.15883618911059,-40.24227317086187,-40.235787540202026,-40.16825323637764,-40.05831170460972,-39.908284467393166,-39.70535258561464,-39.430975177348856,-39.07578336103213,-38.65247096940865,-38.19718787000001,-37.754083632174655,-37.34771210123074,-36.95904423373987,-36.52511065155723,-35.97389143752869,-35.28612583185875,-34.554068040707506,-33.997984997630574,-33.91398520414639,-34.55909128715265,-36.01617080567131,-37.876488842413394,-38.610948754511746,-37.4468646843143,-34.175265460122816,-29.102987383220686,-22.99966885204169,-16.813156275632906,-11.324472816385546,-6.929921321986695,-3.654826863791269,-1.3812006395935243,-0.16246232299135677,1.5681205338438064e-07,0.0
7kg_10bpm,2AB,-2.08638111,-10.17934598074195,-20.539590063811993,-28.71632876699332,-31.909491185744297,-33.11214901444152,-34.7911210087607,-36.56224140135145,-38.07192564235072,-38.983815161179734,-39.19870810534416,-38.70949202409707,-37.573101263563515,-36.05169728033528,-34.368753009939056,-32.73887239751456,-31.33921624387351,-30.239571346135204,-29.456851511663054,-28.979293447716735,-28.716096184077525,-28.611972584390532,-28.624170241068153,-28.703775045431097,-28.813923954925542,-28.918612679999995,-28.977735832200665,-28.969507770147107,-28.888322892806126,-28.74525179305109,-28.580662285093712,-28.425976778488003,-28.302372897050557,-28.202845942922195,-28.097069649392424,-27.9446956795677,-27.69976457657907,-27.35419989770349,-26.92133663198497,-26.444437232898974,-26.003678703795728,-25.675894315577974,-25.5426233182664,-25.660513471731406,-26.026953835791808,-26.61830146594724,-27.388513487702696,-28.243785044595743,-29.122385480596343,-29.978816310858328,-30.80377735,-31.617794852814075,-32.45514897190084,-33.35533696882573,-34.33411753617435,-35.39358946880455,-36.52612288045089,-37.69595349088956,-38.86666532878047,-39.986001069959954,-40.98617871821908,-41.80542032382468,-42.37998090300493,-42.64389492865458,-42.62137815017307,-42.348436806084784,-41.885709443005254,-41.34679824109565,-40.81710825783457,-40.36173011494142,-40.00786904151433,-39.73109420777723,-39.48550306049022,-39.195615140593326,-38.79408028458943,-38.23273113,-37.4792567670165,-36.57544805092964,-35.6200417991351,-34.76656491978297,-34.253012168773004,-34.26676913710898,-34.94976343716913,-36.41118470794227,-38.4332161549266,-40.71713236092642,-42.46123227087814,-40.29955733943199,-34.13733429109922,-25.37397114506993,-15.967864837797062,-7.857107085707004,-2.222647845224583,-0.12046052342106944,2.1008460057105502e-11,-3.256313078530459e-21,4.809145609919974e-31,-6.605056234207301e-41,7.992501617777946e-51,-7.181603877827468e-61,0.0
7kg_10bpm,3AB,-1.73699823,-11.307462354108923,-22.87551046031949,-30.627728155719783,-31.817668459196458,-32.86269844893846,-34.78059880901021,-37.11639128502542,-39.24919639219005,-40.73608654925993,-41.186266310629186,-40.64060274415017,-39.16790892158004,-37.086895718222856,-34.76558423090768,-32.53079527090182,-30.629049470487015,-29.1597235155807,-28.205480214707507,-27.63725862824445,-27.376417919999994,-27.320655447735078,-27.364100631583927,-27.45135640970325,-27.544602609491488,-27.633439725505745,-27.721802580727292,-27.821842486293974,-27.943300960165068,-28.094490490174284,-28.264779100070392,-28.437115795927692,-28.578474623536515,-28.658659138721042,-28.64098958542108,-28.50483036667803,-28.253157249618457,-27.88467985017393,-27.438445275016797,-26.946819492529627,-26.448521389999993,-25.981745916720065,-25.583256595099208,-25.29960194567825,-25.163424810089243,-25.23537277542921,-25.554904972526213,-26.130372817292375,-26.992228871757675,-28.06856289727307,-29.296250591000742,-30.591354138481158,-31.863815120288884,-33.05438895441681,-34.13134940623293,-35.109983202139546,-36.0109909744906,-36.87376955311965,-37.72059409013192,-38.54930910705492,-39.33481156,-40.0358513412121,-40.58700197363018,-40.967803176663054,-41.15366834267189,-41.15921486710647,-41.03515692702157,-40.82252151307387,-40.57539567478546,-40.32232524326191,-40.07283382532471,-39.814218823797574,-39.5224113444558,-39.158665374348345,-38.70563664586699,-38.15179349384957,-37.53236520526728,-36.92944160573177,-36.48919732015765,-36.381876245076455,-36.74046485,-37.74816811389583,-39.29771751302381,-41.151596892574524,-42.460823124090375,-42.78763730840847,-41.76009958136258,-39.29160159400742,-35.66685618085752,-31.193760036600967,-26.497738419117532,-22.01404606122468,-18.073418987510603,-14.737425905419677,-11.940093783078416,-9.54995881428504,-7.379343840125744,-5.373960978649241,-3.53413573895799,-1.9135861398745944,-0.72080559
7kg_10bpm,4AB,-0.38226402,-8.451603407766886,-21.256059344222223,-31.392507316410608,-33.29009387914658,-33.47893694164242,-34.67915285725407,-36.61906213944887,-38.67709272762885,-40.33680907928419,-41.08672229140133,-40.812507182100056,-39.49546217343492,-37.42379925401297,-35.00694352739947,-32.62252829748985,-30.593443138182824,-29.05466900326934,-28.111409086031173,-27.63420940568023,-27.509883847927583,-27.62640808640487,-27.83085297449182,-28.036509232803134,-28.163726774670867,-28.180451719999997,-28.068531607498116,-27.848243633299692,-27.57412655226138,-27.314192997888142,-27.149763592953594,-27.131708942129336,-27.310425668395187,-27.652365057799404,-28.101704004768283,-28.568053466499478,-28.946516773315576,-29.15601899380263,-29.123097825479856,-28.869394473614346,-28.421069090215152,-27.8544845722476,-27.261911009638016,-26.72624221771858,-26.315242211033976,-26.055003641662143,-25.973139421807666,-26.044849457162638,-26.245278908639158,-26.564174347372507,-26.968271300000005,-27.450629325289608,-28.02023551391139,-28.677078047675288,-29.439667301642714,-30.327860943186195,-31.33837470423412,-32.47326902019649,-33.70309986433567,-34.981312479972054,-36.25536317907733,-37.471719874413814,-38.60136780540866,-39.615994908903836,-40.531293278890395,-41.35277075070504,-42.064055892225596,-42.651583207262355,-43.06630410671055,-43.239625577638456,-43.15336080244944,-42.78007699052278,-42.15521261427268,-41.36396261480788,-40.498692281360775,-39.68656229,-39.02592845008679,-38.64666054570398,-38.59620182487497,-38.908573060788804,-39.62832839348523,-40.64555330606957,-41.857742963915136,-43.06922966028165,-44.06287285352581,-43.75830848796917,-38.676570838688384,-30.04869868526224,-19.84266226011339,-10.422553150910892,-3.371374392872472,-0.2846150452548633,-5.004949335950081e-07,-5.2454841541032535e-17,7.006986555748009e-26,1.9330140348450978e-35,-8.29361394800763e-45,-4.2560735252490953e-54,7.097289812898277e-64,7.563632121444171e-73,0.0
7kg_10bpm,5AB,-3.33302942,-13.467562414387212,-24.208274766232197,-30.968035107320965,-31.679284785697003,-31.22177245506574,-31.728299819796803,-32.84579981917165,-34.273807622489066,-35.59404665673496,-36.5363730978105,-36.848833618546806,-36.61282923441243,-35.90252177721459,-34.93545426055692,-33.91016731735294,-32.99611082219015,-32.25613715815142,-31.70816089279499,-31.308870207116957,-30.990547673484162,-30.70575102148573,-30.42092441376479,-30.134011681601805,-29.86424069929316,-29.634827688941034,-29.47954495646296,-29.40947738118313,-29.429927672450418,-29.535607375055296,-29.692856024922378,-29.866070364867383,-30.00317993464742,-30.0605709971257,-29.984883013999177,-29.77416541268044,-29.42083480523768,-28.962615756136973,-28.447198509150308,-27.929633606443375,-27.459189577013746,-27.076850375695994,-26.80535407233171,-26.643049787534547,-26.60271964529889,-26.657268885111133,-26.803882921454974,-27.03666054125644,-27.34749006067921,-27.751976033766926,-28.24184936600661,-28.821208603120247,-29.48767093898944,-30.224395520254642,-31.028765586569143,-31.882924588758943,-32.77781075908301,-33.701434355039886,-34.63378808716343,-35.550953114152584,-36.425351514128586,-37.233823001842225,-37.94551216915856,-38.55995804580246,-39.06324045889818,-39.46380710480385,-39.77500853360117,-39.99978357131654,-40.163542876464454,-40.271986622808555,-40.33234254967022,-40.346645012840455,-40.29719435991467,-40.17936886907382,-39.976217074187524,-39.6848245675781,-39.32889875133861,-38.952932519392334,-38.64272694881703,-38.502770837597524,-38.664118260474105,-39.1789710766524,-40.12596959946873,-41.186833370523935,-41.78367340755631,-41.58277231975168,-40.46316079145014,-38.220345422186675,-34.99156865802253,-31.011481394015213,-26.580184115087903,-22.142190876313357,-17.989876461888752,-14.328762089059333,-11.179514743752941,-8.5384656422247,-6.229553342495051,-4.206506286488102,-2.4582012632287396,-1.0365279188029197,-0.21155938
7kg_10bpm,6AB,-0.57555088,-8.383765191323134,-21.543572928592518,-31.45772184987693,-32.79455954877888,-32.052386014565805,-32.55403022702276,-33.84864045933696,-35.59433120686374,-37.227525872450784,-38.31003247871237,-38.55398061003624,-37.94637886363829,-36.58715537794538,-34.8328559060024,-32.99459923230402,-31.36426056114864,-30.15355668938795,-29.377754936970895,-28.994158565764653,-28.86155343472569,-28.83001642577866,-28.77651863844415,-28.647516824995723,-28.428367999827035,-28.17925133163901,-27.964003628582844,-27.839118518097244,-27.83354885381637,-27.93686424970162,-28.102582084987542,-28.269287258293296,-28.382575353349825,-28.381338102633936,-28.262286540985244,-28.01283087121867,-27.662388799875348,-27.240371203308765,-26.78873928726771,-26.348525363585086,-25.969484833969233,-25.678404858345655,-25.530501091196488,-25.52969201041339,-25.706202485558517,-26.049604750789715,-26.545587840622385,-27.16451721514744,-27.85831989496073,-28.586649157409184,-29.308534217987205,-29.99514500053225,-30.64403095779208,-31.261861032596563,-31.87484532193675,-32.51161042144895,-33.205083687137424,-33.969271264272635,-34.825146606380876,-35.751753363030716,-36.73692841055245,-37.73547027543935,-38.699978234035164,-39.57333071661597,-40.305923971717036,-40.84146395086065,-41.175543758515104,-41.26749858942989,-41.172657972598756,-40.894904722258836,-40.49838709558475,-40.01469177380177,-39.48178146498388,-38.92324899643211,-38.360063181445256,-37.817244059522864,-37.35488192870583,-37.03249157587473,-36.98176140572987,-37.28620242924673,-38.054633398193154,-39.26043690660762,-40.57259010327733,-41.698978289897546,-42.404487755048606,-42.28696797041024,-41.25415454648338,-39.10160726684549,-36.03767302625716,-32.28210181574446,-28.229809855248334,-24.254240027882314,-20.659888473227838,-17.5650798394281,-15.046498573171451,-12.93333578055986,-11.127457941408348,-9.454809634330806,-7.829947733409201,-6.2150339369812055,-4.61974187
7kg_10bpm,7AB,-2.28612989,-11.316327791274926,-22.33960454591179,-30.12916687703731,-32.333950186391256,-32.24803843493684,-33.28466820897955,-34.99127116141647,-36.867960582268026,-38.32639051975035,-38.994930639123126,-38.75452572741103,-37.66902625040968,-36.02037195087106,-34.18695863314946,-32.44737064002059,-31.023598527266486,-29.96268999729142,-29.227998371933428,-28.758918936025704,-28.493543111332595,-28.379611713909334,-28.40322323232182,-28.561930758071327,-28.817176206625398,-29.11473317962508,-29.390167048907326,-29.571966399771497,-29.632596258282707,-29.572924469527955,-29.420428325758277,-29.236403179720472,-29.074875870366867,-28.975887922165224,-28.965297465330146,-29.027597439702713,-29.137161795373643,-29.25448792865017,-29.332121540958685,-29.33665097440299,-29.248567266506416,-29.06243823821437,-28.815318768175846,-28.549052531952373,-28.317621665747367,-28.174369346553906,-28.148495099427713,-28.252225829502493,-28.486226656055976,-28.80731380470718,-29.180568441412216,-29.577366629091614,-29.99022059202828,-30.442554901298593,-30.978970530522368,-31.671012302621115,-32.54361606904938,-33.59154998048061,-34.77074029256116,-35.98152599115266,-37.112330699170336,-38.07065919513213,-38.76637026225201,-39.20506807083058,-39.42603033462484,-39.49818165359154,-39.52594470372972,-39.60635119791341,-39.80247267418196,-40.15210635441226,-40.613994179579,-41.11189770076886,-41.54174977408181,-41.7732025762964,-41.73239220689924,-41.38349133763876,-40.729474025509276,-39.88653332708562,-39.00138416489016,-38.239095283759774,-37.78907177517181,-37.733366912587414,-38.09562829491297,-38.806954349842975,-39.298488721590815,-39.21980691131461,-38.39994216627339,-36.681230502760414,-34.170758513694125,-31.01050514302192,-27.4023929143749,-23.647566033184482,-20.0042768396455,-16.647366849089163,-13.703738130067345,-11.146654558542297,-8.89664028011748,-6.870408441822283,-4.988086853751623,-3.2305133835468194,-1.68595589
7kg_10bpm,8AB,-1.29380704,-10.822204017075222,-22.779962567272126,-31.252963283257078,-32.47694942364954,-32.07541751472135,-32.830112700418844,-34.37306235225014,-36.06505628868507,-37.35101675706642,-37.72570115071741,-37.129881206883624,-35.6687222167941,-33.70428600483963,-31.733765275904315,-30.14138800024497,-29.237418317915925,-29.003324508234744,-29.338356876453698,-30.010544068978653,-30.72681550818564,-31.284962809241723,-31.52907599540379,-31.466739368714546,-31.14290421768419,-30.656092279999996,-30.135618594894808,-29.66915926295839,-29.329149403000788,-29.120347003390144,-29.030145981309957,-29.021620441839804,-29.033761297408024,-29.018240601984214,-28.921466757127995,-28.722658457918826,-28.409736513918443,-27.981972664165887,-27.478989202627133,-26.938326835874147,-26.418269490339334,-25.975907254515906,-25.66392974325345,-25.548513234489143,-25.63623971267291,-25.934777977134765,-26.44655143671119,-27.116033439805587,-27.911671057304318,-28.808938657312407,-29.77431842,-30.796823411684592,-31.87231394099501,-32.984276325292974,-34.118952121333685,-35.253823861117496,-36.36268469697801,-37.421067544036774,-38.392880473437046,-39.264317582261306,-40.01830588379711,-40.62666655565223,-41.098611441113334,-41.42999716343573,-41.60002683670285,-41.62151684957665,-41.48944027036532,-41.18651136907738,-40.747471861142856,-40.20238490545503,-39.60148171993628,-39.02091616436456,-38.520113342620725,-38.16515996785996,-37.95420381436967,-37.86761929,-37.86468848488293,-37.88157895809929,-37.89092775474077,-37.9043776139622,-37.980734707497,-38.19230344029467,-38.63698083133404,-39.30601883893479,-40.1447679288039,-40.73149311321435,-40.46827733791628,-39.24485690755535,-36.92915457437446,-33.77633810649732,-30.03532262464173,-25.98820529043975,-22.022591269487087,-18.351420274505475,-15.131801657845074,-12.324339956315969,-9.820205246324981,-7.551448665669325,-5.395050177631168,-3.3669746381191614,-1.67056086
7kg_10bpm,10AB,-0.25678583,-7.429803387748826,-19.44877022960777,-28.96834447307846,-32.09782793082149,-31.456680242960882,-32.612860011084166,-35.14985712471067,-37.94606733842389,-39.82754333231677,-40.05488973050238,-38.579855524967535,-35.96715796961189,-33.06456229103735,-30.620575282937857,-29.036035098456253,-28.327738590254494,-28.261139270307773,-28.542172023945355,-28.963936692258024,-29.45706283900335,-30.052371661136426,-30.801512963258226,-31.705825316138455,-32.68332682279216,-33.57852348,-34.207034087364775,-34.417508928562235,-34.14337417998585,-33.42698863334466,-32.412586361548705,-31.310883338667004,-30.340577235423186,-29.664602579385885,-29.34419027092281,-29.3271069633787,-29.472829636486054,-29.604126505721023,-29.5657509784782,-29.26970503942092,-28.71370357179509,-27.971465668955,-27.163916082112127,-26.424667003809475,-25.870819253141676,-25.584117383634172,-25.6024204894837,-25.92019950171865,-26.497745193032056,-27.27767946294244,-28.2042899,-29.239576390433854,-30.37242252273313,-31.618253541758587,-33.00480886252915,-34.54103161557901,-36.17899953975593,-37.79068475883315,-39.184306779703086,-40.1725735548428,-40.672898053418756,-40.78446891134766,-40.78140604089637,-40.99701387964852,-41.63921283519883,-42.640155463295194,-43.65465113412087,-44.24560040328756,-44.1566722196518,-43.475932026141756,-42.5481314325542,-41.692774501017624,-40.96604264835412,-40.177822136146034,-39.14113415158944,-37.91612047000001,-36.82615308188603,-36.23830608939315,-36.29680200513512,-36.80845986342672,-37.34098497123472,-37.46187544585241,-36.97946015806134,-35.91634862894274,-34.1782547034836,-32.22672107839747,-30.36344260037977,-28.574117419400757,-26.637740576953647,-24.321433970813587,-21.533192361562012,-18.364264435944428,-15.031527534904837,-11.776611813619104,-8.782433915005647,-6.1434564779465575,-3.893055916354834,-2.063511050622224,-0.7395412714021239,-0.0703201420379271,0.0
7kg_10bpm,11AB,-0.4799768,-10.99637298389992,-27.13117141370362,-32.80719641393464,-33.015660876334564,-34.736329625638945,-37.1592643002249,-39.309223060300006,-40.41798599201156,-40.14353637157556,-38.60129557519913,-36.22930743120944,-33.60863991112635,-31.261953514749454,-29.504549992345332,-28.42596033194391,-27.931202995780076,-27.831682539492505,-27.941166389369112,-28.13715753328416,-28.375739993602004,-28.667887527783506,-29.03929229873058,-29.49594978431994,-30.008395024867774,-30.51627263130443,-30.94824736948589,-31.24486196349071,-31.376847533880884,-31.351927420281836,-31.19621552197575,-30.93297831763638,-30.572108873070057,-30.113255884624056,-29.559709098011492,-28.930909151601664,-28.265255548967737,-27.614979099433874,-27.04005145492141,-26.605080592587342,-26.376803832182834,-26.415514693213602,-26.758876723889973,-27.406342408736208,-28.30165532432835,-29.335837822928912,-30.382209973581123,-31.333846079921965,-32.142713693320886,-32.84287048141935,-33.54249055643702,-34.383797480419496,-35.48255837391769,-36.86812728704903,-38.4456940287165,-39.99961183954999,-41.24817915674918,-41.94649693808256,-42.00173645203103,-41.54045967853548,-40.895120165592736,-40.43592389453432,-40.355929451350406,-40.56618376085724,-40.774245794377855,-40.72585715386383,-40.411272893846224,-40.047652559839705,-39.84669015775004,-39.79573384352472,-39.67405499460125,-39.281780817747006,-38.644699354487074,-38.003066884663546,-37.61360897577037,-37.5506929910754,-37.630433229579786,-37.52495069137151,-36.96188669957525,-35.882484266372394,-34.5025709310259,-33.14118353915086,-32.032924715853824,-31.42351171091207,-31.25744254317855,-31.209262031922766,-30.864279925248486,-29.917632636606264,-28.29004514173256,-26.121610822072316,-23.66784068378892,-21.179095339928118,-18.817763261030912,-16.632946701914282,-14.602335364390404,-12.683239472805381,-10.843971409533928,-9.06944151261437,-7.35293279576859,-5.695147129920372,-4.11789181
