cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-0.36067307,-9.91085828460956,-26.5407869910497,-38.94073918469599,-39.5537297167985,-38.692014625594894,-38.48305474400378,-38.7583530298041,-39.26111066030264,-39.677465799691724,-39.76037806340122,-39.332815055682204,-38.3576642384861,-36.96353652617177,-35.2857889451779,-33.57009527468301,-31.987666154087613,-30.68875157166962,-29.69625551984442,-29.03226895786523,-28.609742859125728,-28.35299014930001,-28.195383347835374,-28.077214800145327,-27.982094054190952,-27.915384046856566,-27.8939813116716,-27.952158114868276,-28.094462611831734,-28.330085716733645,-28.649291350322184,-29.028838896258712,-29.45362190867204,-29.8977432453824,-30.34732526139573,-30.790905106613103,-31.224261662377412,-31.645716671953085,-32.06014174615015,-32.47410237779688,-32.89801700008523,-33.339205848008,-33.804710504536274,-34.29170293243901,-34.788273312480364,-35.268059153487435,-35.69888765866629,-36.0376819881272,-36.24002483805059,-36.28945290418734,-36.14796189666549,-35.84988736845765,-35.421814333663605,-34.91886485054977,-34.40927478777629,-33.960348969834044,-33.61960586871065,-33.410423382422266,-33.3472711580671,-33.39071946522804,-33.512946055007966,-33.66660846447005,-33.81841710518379,-33.94248261427746,-34.036654481726906,-34.10486387973907,-34.160660109424725,-34.215267751297695,-34.2729873452659,-34.32651829388102,-34.360560074757196,-34.35068386860219,-34.28234344439122,-34.13367672527339,-33.90592637666411,-33.60305013597879,-33.22781643859085,-32.79983672339647,-32.327617383994436,-31.833353537908295,-31.346281710662794,-30.92829181753807,-30.646032556526816,-30.602024872464696,-30.841608999095214,-30.95058694825571,-30.63883200225759,-29.89150584195352,-28.56467385376202,-26.50741231130441,-23.720603577179403,-20.24987672058262,-16.368981585737306,-12.378805254287899,-8.629561582280445,-5.352059873632508,-2.7685998905814455,-0.9907141316814678,-0.07021516344914752,-1.5038002427309082e-07,0.0
7kg_10bpm,2BC,-7.35443796,-19.04798377819532,-30.84428479438492,-38.55204376222086,-39.18308457263191,-39.16710258236314,-39.56448005552538,-40.173594119017714,-40.788324415541055,-41.199337482037144,-41.226631213245085,-40.784685986924586,-39.89550414736599,-38.615780801811574,-37.113354094080485,-35.52056870872597,-33.98082529576698,-32.6269939556314,-31.481419880713826,-30.6107141056193,-29.961962133097803,-29.524138937017185,-29.233876145258133,-29.0448938828368,-28.908827216063813,-28.786005046592376,-28.65059264463761,-28.49136225645214,-28.30698647595117,-28.113707333988682,-27.93706821263212,-27.80117940410744,-27.750685609759085,-27.79678969336706,-27.97210166624191,-28.267414595717227,-28.676986462083743,-29.168901685900618,-29.701859617207518,-30.231245556592413,-30.71525110151778,-31.114740588237108,-31.424009305032,-31.62474297682653,-31.750893787197118,-31.81487599668462,-31.858102907248238,-31.911338445319245,-31.998043083829995,-32.137308983550135,-32.32948299178993,-32.56614885535874,-32.830176749429775,-33.0991562978783,-33.35436602145094,-33.587152128601026,-33.7934410706938,-33.98577249754683,-34.17642366937412,-34.37730277901558,-34.59611536154219,-34.82647087559657,-35.05487282753528,-35.263403604169724,-35.43346038560627,-35.55529099638984,-35.63121477997399,-35.66852858870346,-35.68431150830599,-35.68636932960772,-35.67760384210786,-35.641238243688726,-35.56360917360212,-35.41272655797841,-35.190651368927625,-34.902367478710644,-34.59056209487764,-34.30886310015796,-33.9535971549411,-33.37841260603847,-32.63599885557095,-31.76106167032914,-30.710667032279083,-29.445934686879852,-27.86057893378914,-25.955313680941813,-23.66994532298615,-21.10071595963754,-18.31152432151695,-15.447883191755999,-12.643114311652077,-10.01465760897509,-7.647772778919387,-5.5893033114152235,-3.828693001954545,-2.389833059798252,-1.224827058652791,-0.44081860571486814,-0.021452713749696584,7.86605957266535e-07,0.0
7kg_10bpm,3BC,-7.12962173,-21.514531657947696,-35.46694169934373,-42.071168774851714,-41.48016192380431,-41.21932123320554,-41.3727912154411,-41.72965841664608,-42.09177131361494,-42.254093070010576,-41.97607720683103,-41.25328581561389,-40.009097193541685,-38.421848494204866,-36.60201950300418,-34.74772500972085,-33.02693137463724,-31.524228638378915,-30.3379816248544,-29.428602140527737,-28.797592879999993,-28.354194826843955,-28.0527055931256,-27.821957594392337,-27.624122281214788,-27.43205170894805,-27.238115995431787,-27.04837195783517,-26.881714209397032,-26.75771642878549,-26.708052521188048,-26.748512930976453,-26.905773494266647,-27.17869520932584,-27.57268563068635,-28.065059185212174,-28.634754867811203,-29.24537310243066,-29.860334841974208,-30.44660892855256,-30.973396259999994,-31.42736763102953,-31.80121992551793,-32.10618590258254,-32.35970014827645,-32.586607299387204,-32.81179296785228,-33.05330750374003,-33.32041557052138,-33.609492771068304,-33.90553587102675,-34.18744686976436,-34.43149159919578,-34.61990866392964,-34.74494343339325,-34.80931194590926,-34.829222315918955,-34.824916335689785,-34.82107014933216,-34.83730646144189,-34.88503703000001,-34.96718538111694,-35.0733231793374,-35.18741421383748,-35.28665349849672,-35.34684133653798,-35.3494324252224,-35.27362210751355,-35.11239356720182,-34.85034598381556,-34.49103478622813,-34.02999584916239,-33.49444906323694,-32.92145473756601,-32.386207007796585,-31.999311824334775,-31.862883259547928,-32.11559325197688,-32.57958293124039,-33.039059977424635,-33.36550377,-33.3352785792756,-32.75837504133554,-31.389136629680717,-29.26823400464336,-26.394353893620966,-23.096764309185918,-19.605043599445768,-16.237638356337502,-13.1955949170226,-10.521528721791787,-8.249253344594214,-6.230006789243697,-4.463892950320227,-2.8523921061766857,-1.5302359945524762,-0.5126398244729835,-0.061903321231488666,1.0263462482174069e-09,-1.4837257666445246e-18,0.0
7kg_10bpm,4BC,-8.59081185,-23.476249523908727,-36.42598263189354,-40.33515473879497,-39.82628808786582,-39.758172462120704,-40.139326208778265,-40.85231796978486,-41.590850529822944,-42.0617839615127,-42.125559544672385,-41.582936358921515,-40.53756829458995,-39.02439274636439,-37.260257907474994,-35.41634737882997,-33.65767249465812,-32.12009309173941,-30.847367127072104,-29.866474017557582,-29.135203392281266,-28.607537659556304,-28.222059989225116,-27.923062721465776,-27.668723676106712,-27.428207130000004,-27.188134157751715,-26.949377221386733,-26.727695463760416,-26.549208093882815,-26.4562562900201,-26.478732275064502,-26.66869887852397,-27.02469360251665,-27.575664095592522,-28.267530049475514,-29.076206025783865,-29.919301484998105,-30.721240068983366,-31.426589630210096,-31.949916413109595,-32.29541091787306,-32.41593729860204,-32.36105773861059,-32.134464344205156,-31.796796759332217,-31.382544954548802,-30.942637894220265,-30.523358456687166,-30.16551441812517,-29.920408689999995,-29.822882966950274,-29.91780072133583,-30.22667649281954,-30.762304155237576,-31.514876409064936,-32.4431874297498,-33.49321671627314,-34.57920202244334,-35.6125989336355,-36.510443868819664,-37.186030984711444,-37.617717906387306,-37.766633212073835,-37.697609736605806,-37.44534242436779,-37.120274008745206,-36.80889412858711,-36.57787387864639,-36.48976010986472,-36.509633506794316,-36.598082224893155,-36.65756219600275,-36.56287844232959,-36.25755340451844,-35.65944102,-34.83154043434481,-33.85293088138762,-32.89013901179715,-32.15070866504116,-31.785893374719894,-31.851205250087716,-31.96167247259623,-31.93241983729419,-31.580333164434155,-30.6749405844533,-29.055284989506077,-26.693776598362312,-23.6881944648024,-20.296927047174297,-16.783777947740038,-13.41397133999662,-10.362683060817403,-7.6672333364809395,-5.360820432375079,-3.352248044707082,-1.7405567072146144,-0.5285179246686416,-0.04710247873991055,1.1589399365613559e-09,0.0
7kg_10bpm,5BC,-10.19494414,-23.322286233305483,-35.023967244327466,-39.866039181804844,-39.85118787704234,-39.896126681300814,-40.30647454008194,-40.947360822113325,-41.55121296393878,-41.85612704031076,-41.76022619285234,-41.12507561677505,-40.07039854735475,-38.67005027462504,-37.13117431089981,-35.612388593102,-34.24496755471205,-33.11380863704958,-32.21993123056078,-31.541825560642,-31.013389233680517,-30.578028510498516,-30.18458592481157,-29.804732897463328,-29.4272811304472,-29.05349409268915,-28.69071380946089,-28.34470229853598,-28.02361191358175,-27.7316014212686,-27.484890906969436,-27.29396986347432,-27.195368133842663,-27.199140934003015,-27.354983311103407,-27.649757264369853,-28.117872093495265,-28.711393895491753,-29.420418915818736,-30.177344012239175,-30.926932671848395,-31.61092385652928,-32.16230794428306,-32.558230212990196,-32.763904157429664,-32.80420828146858,-32.69851739028702,-32.50815759131243,-32.29004045835998,-32.10930319536232,-32.01741506342493,-32.04936651161268,-32.214934000228546,-32.50414636575067,-32.88220558981043,-33.30478778766403,-33.72209936738207,-34.083237890016065,-34.360366493252016,-34.522162411932285,-34.579001206339804,-34.52755921435371,-34.40402111996774,-34.226947235169376,-34.03456003814895,-33.85992745312628,-33.72699469378874,-33.673324197198426,-33.69934729967706,-33.82333330918474,-34.014101426685755,-34.24171624264743,-34.444240526679444,-34.5443463601724,-34.48082552809818,-34.188895849279405,-33.677256210112965,-32.989089963272875,-32.262044294196784,-31.67824261043103,-31.463038126260606,-31.806712524135662,-32.848175141742594,-34.52910221349915,-35.731449566848234,-35.57342179468358,-33.661983968236136,-30.05686611358457,-24.94497994056783,-19.02897064020486,-13.050337689176251,-7.691083049956937,-3.6147758428753765,-0.9046148183123364,-0.044853101957959156,9.710035316699698e-10,-3.756262087472249e-18,9.519727291394044e-27,-1.8153966026302023e-35,2.283639315692024e-44,0.0
7kg_10bpm,6BC,-7.00201744,-19.275709421707713,-31.900433359466998,-39.705667061400284,-40.7564163952965,-39.87372559349523,-39.47608599102639,-39.530051042145814,-39.824258629602596,-40.12883537456375,-40.19485731205975,-39.91292024569235,-39.16146110820425,-38.067925495891686,-36.71229256444676,-35.27296494656813,-33.88549544765465,-32.66813883541219,-31.662004680995338,-30.909806164728284,-30.350064881407373,-29.963582206590274,-29.669010365517533,-29.417535309357596,-29.157265122093747,-28.859639904764467,-28.511188961910836,-28.129650579827928,-27.748921644617024,-27.417638608258777,-27.198910444430926,-27.135298967965095,-27.25878278011256,-27.57652505487514,-28.048074191882627,-28.634373668438975,-29.253597464542796,-29.83482057375607,-30.323691113792034,-30.678670705867436,-30.89416636495335,-30.991850011029246,-31.00268360153218,-30.975822538926558,-30.946485107038566,-30.937157311614225,-30.95595939856033,-30.993952679701113,-31.040558040100287,-31.089489463665526,-31.146026069398598,-31.23494780798572,-31.379201258149237,-31.620701230370493,-31.968988421298633,-32.43418396666554,-32.99676459556519,-33.6224809443192,-34.270348021877254,-34.899696976633756,-35.46599189872912,-35.953428563773585,-36.33622178770662,-36.611903249879546,-36.77825804602448,-36.83657340941891,-36.80698118371555,-36.69589710460071,-36.537955161058555,-36.351215081494146,-36.159012464861924,-35.97110410428833,-35.78610379885899,-35.594086791883626,-35.38006857881457,-35.141898832598066,-34.886828270757555,-34.64682064153123,-34.4697380985215,-34.40749776858979,-34.485748273372906,-34.32083370745521,-33.739698539257134,-32.672885195010124,-31.16763766640012,-29.141334848339064,-26.64646656974475,-23.723770213913088,-20.501751854538117,-17.147821501108513,-13.84256717026429,-10.717452530891578,-7.920180093264346,-5.444540856616339,-3.3525618900999707,-1.6662338686379272,-0.4849512103980367,-0.023488313698546256,-1.2752778337707274e-09,-1.7356402566567583e-18,0.0
7kg_10bpm,7BC,-0.6920675,-13.795476576003853,-31.354439039999995,-42.299377924385695,-41.45083927,-40.232624654110474,-39.649599970000004,-39.58586837919676,-39.7219488,-39.75800145888355,-39.41891468,-38.62986195297275,-37.39847358,-35.89953857290777,-34.33235774,-32.87915979389259,-31.650762480000004,-30.66562958199937,-29.91800332,-29.312575813483253,-28.780370599999998,-28.26350797034136,-27.73221114,-27.190139880396643,-26.671976770000004,-26.224285202259004,-25.902377500000004,-25.77165707134341,-25.853138009999995,-26.17956984050859,-26.752989030000002,-27.532392678375533,-28.485873419999997,-29.541406682096582,-30.625466670000005,-31.663137090626588,-32.59121985,-33.37723696742488,-33.98469687,-34.437871342196544,-34.758518499999994,-34.95761099977728,-35.067412190000006,-35.091441314307,-35.0165807,-34.84942310778173,-34.59096591,-34.26188847938298,-33.90876692,-33.581521491155996,-33.33638281000001,-33.20030406964468,-33.191181230000005,-33.2872821301703,-33.44677932,-33.626174522160994,-33.78118423,-33.89142667505882,-33.94872997,-33.978639267365075,-34.0123951,-34.098300352669355,-34.26712497,-34.5377255020748,-34.91088482,-35.33070579903571,-35.72737551000001,-35.99189979219417,-36.04804374,-35.82678404332598,-35.32390938999998,-34.62440361268515,-33.84140212,-33.14488303149576,-32.66280968,-32.5154158233826,-32.70147883,-33.15236589359702,-33.77616868,-34.429392038510386,-35.03232391000001,-35.5395370326817,-35.986343270000006,-36.41649930995404,-36.3203997,-34.49532077622158,-31.01233258,-26.198627914511295,-20.62179584,-14.799436058920234,-9.38090747,-4.8416467013627065,-1.64604797,-0.16316407619127363,-1.401166409482402e-21,-8.566129784943639e-19,3.923635700109488e-44,1.1442359316166945e-37,-6.684879693014898e-63,-1.5284333766501062e-56,0.0
7kg_10bpm,8BC,-0.78327884,-11.93709285070672,-27.665981610050295,-39.84212747482599,-41.74138794421959,-41.11544101131117,-40.84545778274371,-40.835046098516905,-40.85328159743308,-40.68180561195594,-40.16117585819376,-39.202144650868966,-37.904047295199064,-36.39095702008573,-34.829416028839574,-33.378734369781306,-32.128182389904524,-31.138081734090907,-30.390315221415886,-29.83512700060483,-29.422677691068976,-29.089701470240108,-28.783042323761432,-28.47319582586387,-28.149017001536315,-27.82550222471322,-27.52850565675426,-27.298933037944618,-27.161047917767085,-27.126798909899716,-27.20290573224851,-27.377245044977087,-27.63651034618837,-27.98131274591835,-28.422524372817104,-28.96343519888598,-29.607391674404756,-30.34830491976533,-31.13689024679545,-31.921748549309562,-32.632800072356325,-33.21674673711364,-33.6465890207362,-33.90844120914692,-34.02624013150185,-34.04431692800668,-34.00160531624966,-33.93748024932584,-33.87928688753322,-33.83831251561742,-33.816870980000004,-33.803853764344474,-33.78714563637571,-33.752096160077365,-33.69027252238064,-33.6030537109197,-33.50159313126049,-33.414373615399114,-33.37670838359652,-33.428328027443875,-33.61816802729807,-33.95529702388714,-34.438320079978816,-35.04899366459164,-35.712310860435764,-36.352167278050246,-36.87190602171416,-37.1891010038443,-37.26413082783971,-37.07544795340026,-36.65068002427926,-36.06799561527456,-35.399261073336376,-34.72586443562104,-34.113365089074165,-33.603547782061334,-33.242105941384274,-33.0402210945527,-33.00925773912497,-33.16912077731675,-33.51632019464289,-34.02603517096951,-34.66392031011433,-34.986513042227756,-34.6949302643747,-33.74478937119013,-32.06811375429848,-29.792739797567098,-27.03401813451027,-23.937064073086997,-20.729309311602407,-17.574004240903083,-14.590634782490794,-11.834978825073776,-9.273081932849422,-6.877134706594142,-4.675089150098094,-2.6981646939997246,-1.0992524220545548,-0.19146155446644392,0.0
7kg_10bpm,9BC,-5.75324306,-17.0071513184205,-28.969494911675977,-37.253920518568286,-38.95573329731501,-39.66782574703826,-40.56034796933718,-41.31808270251884,-41.64193484255803,-41.33696764038671,-40.337661067321186,-38.83527291236791,-37.07687054226516,-35.32704856848783,-33.79896852645459,-32.630477755805416,-31.817931927056122,-31.284091770200355,-30.92390358795722,-30.636897632775533,-30.352202793826805,-30.04282141889451,-29.72509467999368,-29.435875348956248,-29.216217501799466,-29.098342196366357,-29.102936700812908,-29.219263424407135,-29.432794732321437,-29.72464751042891,-30.0751451050238,-30.46531930720408,-30.870179850824453,-31.267070469471744,-31.6363837308141,-31.96607586903047,-32.253928584967035,-32.51124585536297,-32.75375884551761,-32.99208870126124,-33.22647013748239,-33.44350527079811,-33.61529542406454,-33.71574209195907,-33.726602539594225,-33.64737421497914,-33.499747282771025,-33.32750389284279,-33.187224964610216,-33.12266422728619,-33.15516035985791,-33.27568222433547,-33.44522484245782,-33.60010727261168,-33.686039435962876,-33.673713826015394,-33.56930026977132,-33.414909871778875,-33.28028431219853,-33.22520430936741,-33.278942166643425,-33.43387321245467,-33.65227484425845,-33.88401107142539,-34.09531138394049,-34.28472148253836,-34.47375592734531,-34.68852317738018,-34.93701205543863,-35.18352903172667,-35.36400700830493,-35.410881553938104,-35.28392657319342,-34.99124299497982,-34.610308628965825,-34.248142271968,-33.996878716466846,-33.90860679166431,-33.982864225774186,-34.171424268383404,-34.35946045203456,-34.19107400328655,-33.54132572116003,-32.47394882543807,-31.06765568394234,-29.433002233901338,-27.6222899814303,-25.64377155932208,-23.475332128911106,-21.08876990739845,-18.503255380581535,-15.79688948699553,-13.088446008418252,-10.50156969206877,-8.129783612711034,-6.016563404709998,-4.138026784370141,-2.499791505313821,-1.1689517382449552,-0.2784222703654804,-0.00836816
7kg_10bpm,10BC,-8.74286099,-22.62897572057757,-35.951049731941964,-42.32142718021518,-42.245145509638185,-41.759851343218536,-41.60640198625147,-41.5729107630383,-41.4457801949166,-40.99640827818053,-40.149434681796464,-38.87961499647374,-37.330529730517824,-35.667647422883554,-34.06827137190855,-32.64980933126686,-31.47352892682345,-30.56529698952928,-29.86896123531085,-29.35756578417903,-28.984311157432046,-28.707356378081222,-28.503941186677487,-28.335978425801084,-28.177319277264107,-28.004053580000004,-27.812063493083535,-27.61405605996003,-27.448908898424932,-27.36031533798666,-27.407543222999127,-27.626480057791284,-28.022030516927178,-28.60620921862079,-29.316833354389377,-30.105715549528522,-30.90807885391766,-31.667099924019354,-32.33722305676486,-32.892273490298564,-33.33582669424774,-33.66589246430851,-33.91195426789626,-34.09561492548667,-34.23005046933117,-34.33223998886437,-34.40223429966296,-34.43286167742998,-34.418548093368,-34.3461400949445,-34.21279878,-34.02474429062484,-33.78822304175729,-33.53148193541926,-33.280849132227175,-33.075379910407456,-32.94228556763536,-32.91310359299767,-33.004981720675694,-33.20836011021513,-33.51519213537854,-33.87924441932203,-34.255341678469435,-34.58354644400755,-34.823909651007945,-34.94505224338613,-34.93691511263848,-34.832906552917116,-34.67051923060275,-34.511067147236744,-34.39987203616517,-34.3788343371979,-34.43786161931334,-34.54863161006771,-34.65008090270428,-34.67600341000001,-34.563196203075876,-34.27824627408303,-33.85063901337993,-33.341331583593984,-32.88278463139198,-32.60172798493477,-32.66447542547441,-32.75137025050163,-32.59384798552669,-32.08650266024959,-31.10073292317443,-29.455433062462163,-27.086444314215438,-24.085568137173624,-20.588587381138122,-16.906301151585676,-13.27561058596615,-9.92654947921915,-6.9369186121447814,-4.38081993241722,-2.3251493396611167,-0.8126585696417742,-0.0831764911262201,-1.1694810585101956e-06,0.0
