cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,10AB,L,AP,postRiCTO,14.455098345975738,8.079643496051025,14.017548064421872,16.14349626020905,17.589679645428525,AB
15kg_10bpm,10AB,L,ML,postRiCTO,16.100209035703053,18.505411313555477,15.471676818832593,20.34412932566772,7.038968710200434,AB
15kg_10bpm,10AB,L,Resultant,postRiCTO,6.892931337436571,5.448460788497846,9.313769519258413,5.199008874989637,6.828164868021498,AB
15kg_10bpm,10AB,L,Vertical,postRiCTO,6.110964931522775,6.142497925552322,9.438217700984826,2.598241562949227,4.079525792217429,AB
15kg_10bpm,10AB,R,AP,postRiCTO,15.838178230716224,8.093639944812937,12.37652007763853,19.973710720167368,19.508161446338406,AB
15kg_10bpm,10AB,R,ML,postRiCTO,17.26540409439589,21.0453640833097,20.734309049832973,8.970172318033,15.535863247678419,AB
15kg_10bpm,10AB,R,Resultant,postRiCTO,3.622417814035423,5.955610737826143,2.760896644398809,1.0711224423150068,2.904467196364673,AB
15kg_10bpm,10AB,R,Vertical,postRiCTO,6.299815966689792,6.307531570033389,9.188764317532751,3.5632078306558688,4.745791442326993,AB
15kg_10bpm,11AB,L,AP,postRiCTO,13.809682889047135,8.065904686053583,12.462171527214334,15.81066290925643,16.987440508631234,AB
15kg_10bpm,11AB,L,ML,postRiCTO,16.389573824657635,17.215841921502914,13.113509203703995,23.336825253942717,8.335541154211844,AB
15kg_10bpm,11AB,L,Resultant,postRiCTO,6.620264413002943,5.821164915943256,8.787275744992316,5.291555064203373,6.041681235192193,AB
15kg_10bpm,11AB,L,Vertical,postRiCTO,6.384741882785325,7.594217964265636,8.877970717775517,2.824743671761729,4.4094114195957435,AB
15kg_10bpm,11AB,R,AP,postRiCTO,14.100163627756109,7.455856563796964,10.621765621624732,19.051069123501815,16.16787249698985,AB
15kg_10bpm,11AB,R,ML,postRiCTO,15.696656626468238,19.843272768466022,18.19496041124457,6.760627332487588,14.70470155412385,AB
15kg_10bpm,11AB,R,Resultant,postRiCTO,4.8681696203205655,5.801449083797152,3.111240935726564,1.78917984617256,6.878510898845321,AB
15kg_10bpm,11AB,R,Vertical,postRiCTO,6.685069782358138,5.6664445948672295,8.543647571451443,3.2146505511219234,7.912487207554051,AB
15kg_10bpm,12AB,L,AP,postRiCTO,13.663428516459652,8.105568272721166,10.190534847996963,16.922557371356067,16.93609314201947,AB
