cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,3.59976083,4.784949394454612,5.587399453370047,5.987536481037441,6.077322966600817,5.985673225119151,5.817849514941572,5.633762043883029,5.4606718754665176,5.316336987226672,5.2194710500623245,5.180587599480097,5.184094816490566,5.179725086096933,5.0945734814354005,4.862159999198271,4.452580220476148,3.88626577211535,3.2240860689789788,2.541217528315941,1.9007602255171179,1.3399779856833396,0.8713321452860171,0.49135302400853936,0.18884392781772227,-0.05147282999999999,-0.24883394839922912,-0.4272285203673536,-0.6151300013912547,-0.8427837276213423,-1.1363842256247376,-1.5104694587826097,-1.9623780821110188,-2.472962816032631,-3.014057427668205,-3.557743987632672,-4.080946678870444,-4.563597429856639,-4.984577025232495,-5.320721089421196,-5.550694580085077,-5.662170422028155,-5.6598915646656955,-5.5722530656890195,-5.453220504931318,-5.375639766967063,-5.413900006995084,-5.619266372479013,-5.997140345959317,-6.497402727061506,-7.0241069,-7.461670351466647,-7.7076523181534995,-7.70103908220486,-7.4382369859397635,-6.972189450261652,-6.392256630146854,-5.78740468132591,-5.2048244422890555,-4.625310155264843,-3.975518678359695,-3.1797379875172957,-2.2268399696209737,-1.209704061754932,-0.30195984197356723,0.32782127941824774,0.6197224912159491,0.675942988263906,0.719150894678241,0.9731698679928384,1.5406248378064855,2.3556739840256258,3.235659788697436,3.9882310977023434,4.501202991288335,4.766397209999997,4.840237079382197,4.782931445608478,4.62149029916645,4.3553103479401685,3.990237035410134,3.569479150332559,3.1750673261343305,2.8949673620032117,2.7743279753863708,2.7811626496550343,2.810263768422514,2.72743608940139,2.4313274498473754,1.8972002537315469,1.1752062844388524,0.3425377067435859,-0.5605485493695979,-1.5662728098007408,-2.755200616456598,-4.17579165734723,-5.744866633010837,-7.178556736127621,-7.99106424128583,0.00019512429559375992,0.0
7kg_10bpm,2AB,10.05552865,8.863569831799323,7.99332292981855,7.653241556600299,7.865545662906466,8.510030044417848,9.29315261415177,9.943615075367138,10.253839110085275,10.094257190410989,9.52817172544086,8.650936715963962,7.582025556263051,6.460060526871255,5.35490026040317,4.302298274398085,3.3121282030524886,2.388410738847093,1.5499255822217206,0.8410744112405241,0.2787733896978585,-0.1312288241914309,-0.4070890200015282,-0.6230838500569809,-0.8597681166603072,-1.1979611099999998,-1.7060821263415227,-2.395128847705774,-3.2527597821420557,-4.244947912425912,-5.286800649067105,-6.304399522696671,-7.215057449471482,-7.952684346889063,-8.489466117493789,-8.813020756192149,-8.929133848589872,-8.89151454279061,-8.738486655793032,-8.502346776765974,-8.22071307581722,-7.914160362609546,-7.59868005124809,-7.292711567317005,-7.01390768090146,-6.778387270740547,-6.600847940873568,-6.469032886912808,-6.361533918588288,-6.2420022704175695,-6.069274280000001,-5.816292528090897,-5.4648833867909685,-5.011849044480967,-4.47664504071199,-3.8749630139597233,-3.219076055604923,-2.5307150955593407,-1.8271031824921193,-1.1329251617816394,-0.48420129590172506,0.08391476567539727,0.5355468242205941,0.8328410131237434,0.9817722074003047,0.9929827359737051,0.8861213600298193,0.7159570926264682,0.5349599415011371,0.4018540586900486,0.37718675123044476,0.49102314184954315,0.7531131370878265,1.1509974002941867,1.6149250567475808,2.08214435,2.488761478502069,2.806589888877524,3.05507648531757,3.2847004607886356,3.5720107372963317,3.9574490779159652,4.431275181316194,4.909765988874266,5.243974812003619,5.292797166353111,4.922478360278798,4.098873701029498,2.8960981079720183,1.4122786205228266,-0.2326781772099506,-1.913852844259096,-3.5447432253925406,-1.136378770280238,2.0429261871511522e-10,-3.1665373109737685e-20,4.676558623346401e-30,-6.42295642412126e-40,7.772150272520342e-50,-6.983608788021493e-60,0.0
7kg_10bpm,3AB,5.81839985,6.561851278448858,7.304959201476685,8.045163197105865,8.75438175207369,9.375327141136317,9.848184709143435,10.075491672399734,10.049304200129004,9.761855277564726,9.230846135498437,8.532082192481072,7.706350043437979,6.799301007748662,5.841933586653206,4.850617646792314,3.852042431107178,2.874946269756932,1.9700609105329248,1.170717779979794,0.5104868599999981,0.011357716001802567,-0.35427246457135236,-0.6102746532548169,-0.8097235144067046,-1.0038881136506348,-1.2446382222607741,-1.5687972474234382,-1.9980952529311904,-2.561517851504294,-3.237410498454919,-4.009630877382454,-4.836376277392583,-5.660350514381525,-6.42289767046865,-7.073613447559118,-7.595796489994587,-7.973282936113018,-8.245174781847279,-8.446123324520078,-8.61098911,-8.77001764445495,-8.930936640182807,-9.083491429835567,-9.206178405715152,-9.265618495186818,-9.232176476072686,-9.092803034686609,-8.826825531224944,-8.461018414391765,-8.020839860358588,-7.540416051005481,-7.057166987283694,-6.587685724375659,-6.125010074613133,-5.63904480141739,-5.080105649494874,-4.404766514548226,-3.5997812582183317,-2.662375849263235,-1.6617150700000003,-0.6669979346092889,0.22710937676885282,0.9704405480449623,1.5258669800099245,1.9040128553300342,2.1595138036788275,2.3422869763079035,2.510608864848369,2.6872079084894893,2.8592378164136707,2.9788839143807126,2.987765832952588,2.8215037398273872,2.495030679148114,2.0535912716017464,1.6248931594994338,1.3459421785197154,1.378232903063751,1.7803584714708824,2.5214445400000094,3.50903445421053,4.505978710047378,5.301573776167036,5.666194853679443,5.55271421800904,4.958544124368056,4.0517442676906095,3.053611403792188,2.178051879171173,1.5351505795999072,1.0987694692413408,0.7190307002124129,0.1639177616695948,-0.7510537659690798,-2.105613173749287,-3.7219285876172448,-5.29596457857148,-6.367137931385553,-6.598657661818655,-5.58578518
7kg_10bpm,4AB,5.04594556,6.240967267408661,7.515010632025064,8.734263761804147,9.739412079493935,10.449359411769231,10.812045652875405,10.772473159999453,10.410538552404706,9.768960330154272,8.915792566351278,7.9378557940941015,6.88293207246348,5.793253536170045,4.694226342023137,3.605326978214089,2.5487424698571735,1.5453106444069096,0.630113019354796,-0.18635768705300407,-0.8990123371037647,-1.4994128423033164,-2.0117723727184345,-2.440752745834741,-2.7827914407723355,-3.04292534,-3.214584147062871,-3.3066952136939607,-3.3479418025768206,-3.3716210750788953,-3.41984531814947,-3.517242907456955,-3.6814191956345996,-3.8973485477109127,-4.1460092548364695,-4.407848452133513,-4.668598307978002,-4.9258392709409495,-5.181923748478862,-5.43699850224513,-5.684373499562254,-5.909387153324373,-6.100897608771935,-6.248926157469174,-6.357709272696676,-6.4405872364992405,-6.511627458904442,-6.584935440594522,-6.664919357502871,-6.748450813761897,-6.824312309999999,-6.8798221866894895,-6.895633805501211,-6.8612499509153375,-6.759784748171917,-6.573201435176822,-6.298766308404429,-5.927711183337555,-5.469751651576275,-4.946201783897825,-4.372337617098919,-3.767136035013057,-3.135066770873896,-2.4646336352999385,-1.7529347855235022,-1.0077917940715624,-0.27090071974989105,0.387304571651322,0.885044486988511,1.1478836825115184,1.2005722216209849,1.1117340720799092,1.0441225697428083,1.1468451610035206,1.5481197937561355,2.22945383,3.067582397385395,3.8582521790683773,4.396763817066917,4.574284172262426,4.346285638414602,3.897221304277197,3.413697367762465,3.1303934670432225,3.155108874538603,3.522523388480961,4.129916190112303,4.802934120081124,5.351647392090933,5.58618339494074,5.376185140743329,4.51452952397506,0.0005358427582165019,5.615950349639409e-14,-7.50186016039905e-23,-2.069534579826039e-32,8.879356563236113e-42,4.5566618638084297e-51,-7.598541151832392e-61,-8.097819230612085e-70,0.0
7kg_10bpm,5AB,9.00776465,9.4562474705299,9.852366991498762,10.266757767716259,10.729308875278587,11.212325024286184,11.625171209426526,11.873875832624755,11.843730922990787,11.478994863732243,10.787489031160938,9.76601003050535,8.532236328974326,7.152749917248335,5.719395758213065,4.296065344676417,2.9400450160561196,1.6735224696166227,0.5239041068541741,-0.48601801033368774,-1.3518696686470792,-2.034972224659402,-2.552952268688525,-2.9091612559484057,-3.1318967248764458,-3.2802058059754717,-3.412279172718587,-3.595172526664258,-3.8755227091047537,-4.287788634306823,-4.810151389009073,-5.4149826947260875,-6.035380744526717,-6.614360827675692,-7.090488600552987,-7.453036370513602,-7.694321525863306,-7.846403578376351,-7.945662369828902,-8.022099198460392,-8.097174615730898,-8.172916091747737,-8.23733187799004,-8.27543560022504,-8.26305678825733,-8.19585943248744,-8.065983131895706,-7.874950518694556,-7.633135201623167,-7.340764565678684,-7.011678679812608,-6.651176596732095,-6.267333961668425,-5.870941342230941,-5.471002080758713,-5.076469457114973,-4.691312791904692,-4.313365620923786,-3.9322356361079898,-3.5309588301012464,-3.094345556154182,-2.6155276870889064,-2.0973737764416565,-1.5670501605818965,-1.0590273178714813,-0.6107795665352427,-0.24027862979948428,0.043649360026143044,0.2834235423804259,0.5281334848504644,0.8443099500695468,1.2715555141148067,1.8520901540899197,2.546866273099041,3.314493825446945,4.074000678323066,4.753320864235432,5.256404125745277,5.550319031698493,5.596756866625372,5.387762942954721,4.979068674214849,4.421032936042168,3.8354385945760763,3.3318654760280566,3.0363765519806347,2.9843515940710157,3.1847577405808716,3.495829812314613,3.7302950427605204,3.6001385033673086,2.9446496258673704,1.6075746689925579,-0.2992651654109793,-2.511382585692357,-4.583647133438126,-6.072075648235068,-6.52708241583892,-5.732513938550506,-3.7934741824940237,-0.82473001
7kg_10bpm,6AB,0.77614224,5.7426571414232646,7.781053264894649,9.7094100304848,11.252030679748744,12.321887013633287,12.777167698423563,12.759266167511154,12.29402855207388,11.541807023642772,10.589861090947391,9.52518439493909,8.396165898325181,7.2195341683961445,6.004759799178934,4.745316833017682,3.4577496131092196,2.165010193657962,0.9137467011937934,-0.23577814319658447,-1.2131739889405788,-1.9771314614798623,-2.4765891959976045,-2.758538955652346,-2.8450736717022336,-2.8559737311666558,-2.8868486435845733,-3.0314251790241635,-3.350042731448514,-3.8604685573827697,-4.525302193467926,-5.297903957631101,-6.102008138799895,-6.873785967943459,-7.573035122003401,-8.16266331458412,-8.635573456589622,-8.985473721437337,-9.210277274963984,-9.321549605118689,-9.309925396788795,-9.201217893737047,-8.992450265432064,-8.719077728272948,-8.399010728084065,-8.059978543311873,-7.717501977659851,-7.375829729544621,-7.027058922312849,-6.651695625608569,-6.240810726244148,-5.78542029491092,-5.307300285695217,-4.836454366078543,-4.414522606632557,-4.073795776972305,-3.8334558036106485,-3.6722633279091625,-3.55524799394488,-3.421165787887824,-3.202960914071681,-2.870381529751809,-2.4043246941884333,-1.8380728184507462,-1.22764993006371,-0.6527855029828379,-0.17353454985501782,0.14003143630624404,0.3076617225197372,0.3426616749349467,0.33317922423518176,0.3669440327168198,0.5393164295724178,0.9085166731798374,1.5092718517206225,2.2841017418995726,3.158493134689952,3.992108821189343,4.629102115663686,4.971219507860989,4.941061582601655,4.565086357740385,3.9493646841269707,3.259998129927565,2.6782945452314113,2.424668735344875,2.546923430940615,3.1131419815412955,3.9879006418954597,5.010614894750857,5.924915465105182,6.504436226139056,6.480633186542749,5.808448989324306,4.331495703985206,2.2789562659203377,-0.2069419375586659,-2.7750348799471154,-5.089535154150375,-6.784618819776353,-7.64585569
7kg_10bpm,7AB,5.34371699,7.463471372651896,9.104440835429154,10.179983439643156,10.719612175479314,10.820844630607862,10.640337864485618,10.31622370089025,9.917146045758217,9.455662367106804,8.906623031933226,8.225161548568197,7.3628846149411356,6.294693849009575,5.0574723682635625,3.710064917036402,2.3456942835043746,1.0760666074445213,-0.014896193103430462,-0.8634352710965526,-1.4411087707365888,-1.8004784378317809,-2.005480536286369,-2.1406725038125924,-2.3026579405528182,-2.55080394261028,-2.9132143543004574,-3.3779441190735082,-3.8800176384739022,-4.349256834606978,-4.7045067810258585,-4.8981026033081125,-4.929502955711071,-4.8295232409831295,-4.66407157148477,-4.518247576985303,-4.453083703012363,-4.517024536047783,-4.721655923259122,-5.054938700578913,-5.502689304124738,-6.05263773100561,-6.668536789501356,-7.314504375844176,-7.934547992728712,-8.451444055351299,-8.79755364459111,-8.918082565057109,-8.763155605599755,-8.383558265332073,-7.844429451425094,-7.236595084311418,-6.661920996274139,-6.173278547722046,-5.769921930139324,-5.3896243592109645,-4.9216275369235065,-4.27126414792263,-3.3711469293412524,-2.2357280252970755,-0.9754874908059394,0.2737308899341059,1.3419810218891228,2.135626497261453,2.6370138412275614,2.8843036134140205,2.9702224915813287,2.987823726838394,2.9748321969557625,2.917150476807608,2.7725072786036677,2.509335118992134,2.1246417935097703,1.6679232785545326,1.231126656628827,0.901118093568545,0.767380628547105,0.8564578821258274,1.1499495367898853,1.603499676721074,2.142433169779314,2.6776193124127974,3.144450116479714,3.4885051843196133,3.6987788740663934,3.797145615906272,3.820798821525821,3.8201494459131524,3.8339162730422394,3.861660120608311,3.847203511808533,3.6589819260230856,3.133426141129477,2.0957573021795626,0.35656621326221094,-1.9913169222935618,-4.728240559353887,-7.413709783990388,-9.399313474256603,-10.140699297826679,-9.25168485
7kg_10bpm,8AB,6.21680221,7.38311005166383,7.965963075881784,8.63605756582938,9.337140803109511,9.982648100208854,10.470270216105202,10.67231747299238,10.534675834259417,10.01251902309034,9.105696894451706,7.916890277279572,6.533822158048494,5.073983022017372,3.64944838784793,2.3447626033424918,1.2441436081591026,0.37484182327697363,-0.23149003372479182,-0.5536639486825434,-0.6473625706252282,-0.5667558146249458,-0.41006666850367035,-0.29803203052324784,-0.33049451609046615,-0.600652460000001,-1.1039241876392007,-1.815519460914843,-2.671061673573896,-3.5714498562939707,-4.447580990559869,-5.236723810794679,-5.920064906756047,-6.485313959950151,-6.919097040025167,-7.237386383645658,-7.4466031828271495,-7.559657775377736,-7.616731991699303,-7.647516505002103,-7.681207549197871,-7.7300600806562585,-7.790523893347478,-7.842738987353704,-7.8614685478342885,-7.822724639787001,-7.697503000221907,-7.485735227536521,-7.189325089921526,-6.81924217712475,-6.413176359999996,-6.0018389990162335,-5.6192469482764364,-5.275542862801461,-4.9623351589500615,-4.644917565643835,-4.2760668111242115,-3.815694406416169,-3.2244780256534247,-2.5233221918451774,-1.7429004244377784,-0.9377660131644245,-0.17212549014192027,0.507807459391387,1.0519819319882309,1.4619541058887942,1.7411853351158972,1.8961074245709146,1.9718110616768036,2.0006057838628513,2.019937482675802,2.061481676895357,2.139578667718431,2.2577386005662796,2.394694897409918,2.5293628,2.6342827773769506,2.6938099997127445,2.696151772460731,2.6232662488336556,2.4815002137293916,2.283348775511674,2.0694547796523852,1.9193994335632982,1.918716207394478,2.19060835623412,2.7494854030984928,3.5588598023661193,4.488246013030689,5.277009042090733,5.669590881854657,5.303592260432744,4.082357064660371,2.0119947699089136,-0.7780354299839646,-3.7834893894942567,-6.523921961382442,-8.338970827611753,-8.881018741749378,-7.990572027078866,-5.57574711
7kg_10bpm,10AB,0.69487928,2.4036226959884135,4.887032666057422,7.430968954584384,9.440639746646518,10.58966125357048,10.841197554974174,10.368043577101805,9.430499444337347,8.268310767503527,7.04045465881945,5.818909001098528,4.6198903442923935,3.4452619658394585,2.309712743370673,1.2430275135760795,0.274006040359376,-0.586385127416158,-1.3468895572703108,-2.019925850698759,-2.5988394771344745,-3.045307339581437,-3.2975868126549095,-3.29717164840435,-3.0207543785401194,-2.504206119999998,-1.8474828009499304,-1.1952492870528924,-0.698316839980894,-0.47183481428110174,-0.5653526288282026,-0.9554235784549268,-1.5650039219379366,-2.298623740586737,-3.072687205138984,-3.8264008429281016,-4.516867603484541,-5.11460567067016,-5.609977240628487,-6.022718086117583,-6.3973723757054435,-6.77871654475951,-7.181601047249577,-7.578176831774625,-7.913740653922687,-8.140483708165114,-8.244538252926194,-8.24703156557344,-8.179712133519498,-8.054682311727547,-7.851482609999999,-7.530548054681116,-7.0614394761488875,-6.443907803250166,-5.703244131527757,-4.861430751529339,-3.909736464374611,-2.811382000304773,-1.5394770574633827,-0.12885350283275754,1.2964325527076077,2.549355146123766,3.4556895666496037,3.9401352376480476,4.071823458667741,4.0370701382347844,4.046873168277598,4.2252328411781175,4.5411875436569815,4.831064851529515,4.90885620975204,4.70193642061101,4.317245562895546,3.976694621161555,3.851970475523158,3.91301092,3.909336388810146,3.5160960111879955,2.556627453781953,1.153466657621304,-0.29435745853658846,-1.3064227191734528,-1.5822627803366167,-1.1552148498393968,-0.3344938318251154,0.5022878691536758,1.1158327472461438,1.4818784289194114,1.7030288036254504,1.8470344858378842,1.8587805824087742,1.6243983813938376,1.1314404493184131,0.5772478819151569,0.30554874760479667,0.5853702263987712,1.3844989638369891,2.31841165377777,2.8422100320383707,2.576095014593424,0.0
7kg_10bpm,11AB,0.56318245,4.472812912941853,7.345957316844054,9.799991207722226,11.372262074701164,11.92982663201647,11.611620984276996,10.680622956704052,9.382561401045889,7.880567563438525,6.27021522402527,4.629936709043561,3.056234200974429,1.6503701049486887,0.48075584237387564,-0.43636241554846816,-1.1318750323450038,-1.6541956805379479,-2.0397622413565633,-2.3028755291096736,-2.4442193756629216,-2.4654141561286784,-2.377950289057906,-2.2042859298996063,-1.9755307494852126,-1.7296830846335391,-1.5101810046471584,-1.363860028717677,-1.3343051836467534,-1.4461177515511552,-1.6958591481463434,-2.0525263247520833,-2.4700178231258927,-2.912420706502558,-3.375542162463915,-3.8900165332867624,-4.502749813202239,-5.247321570151398,-6.119817041611141,-7.071922188175393,-8.022735363164092,-8.88196837604949,-9.573386373819242,-10.045723441329454,-10.27604962219183,-10.265582533740874,-10.021336648575103,-9.547056938025008,-8.8463409324707,-7.934320676252969,-6.854582868165103,-5.687397574172412,-4.536183154467848,-3.492972152544691,-2.5996410816666278,-1.828994515227669,-1.1006295333466733,-0.32612634649881705,0.5415024299691286,1.484350045893644,2.4310998787849645,3.303600821078402,4.059089021992731,4.700291598897145,5.254285847506812,5.733013708762951,6.1058412842994505,6.305402726788784,6.265322864355111,5.965184025393658,5.45113477354555,4.816839841793763,4.159604192251097,3.544308460927564,2.998651397012946,2.532579635449837,2.147819900665677,1.820204858595008,1.4746188307899257,0.9889857491488877,0.25714829881629153,-0.7170864653869238,-1.765469431416713,-2.5989263082988527,-2.9412225558697465,-2.6717463062471465,-1.8826419744260239,-0.8127690664943983,0.29121874738536485,1.289693087700606,2.1640606703390572,2.9316561857835954,3.530956526137226,3.770162344512672,3.381670303219935,2.1630471055709637,0.1437423942153123,-2.3183316786095136,-4.574107539590616,-5.8769971010440125,-5.67554853
