cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,8.8750386,8.743322641654384,8.17521428466014,7.3799334378328165,6.623200690663522,6.059351146968964,5.762749011004097,5.665435856484183,5.654685192554888,5.549107458316473,5.206321958031813,4.484557952397768,3.4007375254373424,1.9666101553114612,0.300244064625775,-1.4825964232413473,-3.2825917150042234,-5.034387214258794,-6.707506987631957,-8.291476812911084,-9.78347612624261,-11.136880785781953,-12.319633168605638,-13.27771174789744,-13.963580872275461,-14.407622000000002,-14.629682669630172,-14.723890454175168,-14.76598962502246,-14.822329609605648,-14.915445639702163,-15.030949209225042,-15.108108700374279,-15.079059374083588,-14.831047579633394,-14.329684392423104,-13.528798615966569,-12.438010792916543,-11.131487356783294,-9.67065124585937,-8.166787434297797,-6.693016789726708,-5.313136291151376,-4.039904646722939,-2.8820758777360997,-1.8126677904868205,-0.8065399679304696,0.15363469288943332,1.0877658516629471,1.999260905281709,2.8861964600000003,3.7426123987041024,4.547791195155044,5.291995269789538,5.956882110069878,6.5286972556030705,7.014277529514526,7.411814413460492,7.748042885021025,8.042291923271911,8.312960212760125,8.573038357196344,8.821407634474294,9.047324211895802,9.23650171413082,9.362377050632398,9.419106372142426,9.393167340440616,9.283386886463738,9.09936252077015,8.835126196303198,8.504193048131313,8.103730416215381,7.629516059547612,7.088171570886157,6.4757508,5.809069653189824,5.104711077811132,4.387718835358495,3.690199041042663,3.0511570912472465,2.5097213056188346,2.0898034790665285,1.831023014427408,1.7046926215471252,1.687643665069551,1.716908790550331,1.7271131832860018,1.6500812352182002,1.4693726464220491,1.199710399561406,0.9145769399228088,0.7233328005162833,0.7869925381630878,1.2406021289963645,0.1155654914819258,4.4417633648358915e-11,2.4842824086694717e-20,1.1591017870215287e-29,3.7998638779075946e-39,0.0
7kg_10bpm,3CA,5.56974464,6.2598548139214385,6.9648332421211565,7.55907583327291,7.970005629267474,8.164386378409173,8.173648426555275,8.007224333253642,7.7129923591538665,7.270269258931839,6.691885054956611,5.902464395976971,4.902909886108421,3.618488358381819,2.0805584365707372,0.29362936069383727,-1.656965875362108,-3.670452682494648,-5.625222525595116,-7.3988448662585515,-8.886843354284158,-10.054789741424067,-10.87274821197525,-11.434610410551523,-11.804603096056937,-12.12623015,-12.517803005467275,-13.04287994458545,-13.765824609112553,-14.638157035355283,-15.60701550666242,-16.57216681218158,-17.424043617923,-18.07754592175785,-18.46084518247592,-18.527601494581045,-18.27639198064458,-17.684195631727217,-16.80150228387786,-15.615670281965636,-14.213715098558447,-12.608804658783745,-10.902133025303149,-9.152153585338462,-7.432673931139533,-5.812122016942621,-4.3176978023790005,-2.978170620020755,-1.780631212231779,-0.7071704707472861,0.27177256000000005,1.1906746463548123,2.0727270971843854,2.9380147724364094,3.7912211016873254,4.631102329274969,5.442021762830769,6.215376887555083,6.9227967492961096,7.5626527263785395,8.110536840641682,8.572870775037153,8.94035385112576,9.224467060977643,9.430279152754249,9.568955233249147,9.650553974990816,9.678597996574897,9.658526832411658,9.583259042075465,9.456266400080505,9.265067307004204,9.02172808177037,8.719139964251447,8.376907013988705,7.9985757600000005,7.599453642368261,7.185878994885205,6.764770673841107,6.3400428617316615,5.916143424613623,5.500284615066068,5.103708730485424,4.740089441070281,4.428986639100225,4.177814757091851,4.0021247273397815,3.8840913106030364,3.8134210901015564,3.7505867323765036,3.6523934967681533,3.4904202006562155,3.2343023977791487,2.9042355101320285,2.55179925810892,2.275066651775493,2.222076274444072,0.7767422148443976,8.259006056209432e-09,-2.961293155033996e-17,0.0
7kg_10bpm,5CA,7.0246715,4.5357624593914325,3.226590924068292,3.087010158546341,3.742104750947156,4.741995118803652,5.69339535405007,6.308810999868494,6.3973453120095005,5.9627486571349255,5.060237422881876,3.773981550829566,2.1964061940461392,0.42023955955430864,-1.44022927110743,-3.2891070098058224,-5.036056194189658,-6.601914186248758,-7.9392425238697735,-9.058399768450643,-9.994590139174779,-10.800087906094165,-11.519356701348443,-12.173818162836922,-12.744425599009059,-13.186834549282683,-13.453304552754213,-13.50272800684971,-13.365382205374024,-13.097588666404688,-12.771772413327936,-12.449663261879712,-12.153322966956374,-11.843733849366238,-11.446106219844571,-10.875577850602378,-10.058759199314613,-8.97367607196018,-7.666282226643285,-6.210633406515992,-4.700906314637545,-3.241530023603026,-1.9209293158876792,-0.7944318364825371,0.11318829205619087,0.8117149931270132,1.3397096915569926,1.7861014183082293,2.2319333676356212,2.746361433834765,3.3727396526196407,4.118585980098309,4.9406288553714255,5.781600366128466,6.57766605712996,7.267523756685706,7.810388598920488,8.196259958558274,8.427787687964637,8.516437587586987,8.467586085803717,8.297202800404078,8.016670999877489,7.643012841070926,7.205132766044912,6.745700323044775,6.312057598437606,5.934427471517496,5.621621774618635,5.35945616231627,5.1145838349194666,4.853411216503908,4.559905487997391,4.238541946728634,3.912823467957757,3.6151488231229716,3.364953984425119,3.163050144910966,2.991760545221821,2.819905429952043,2.616820817274933,2.3666990298358916,2.0686551467680214,1.7340288580427057,1.380672251820802,1.0275476273769133,0.6880723866712897,0.37615450903009584,0.1132199180304241,-0.06467694801502784,-0.12466856703435603,-0.04208719568333777,0.18289510549379923,0.5244000163993643,0.9389376734260406,1.424768213323227,2.0595841554153025,3.0032482133185474,4.504248503586018,6.677258370222718,9.45798088
7kg_10bpm,6CA,8.15680543,7.6693374758786,7.284501861575926,7.032232773807281,6.916195772215177,6.9319690618779,7.016121902645523,7.105125000733744,7.091661683589186,6.883240454506499,6.38931990069614,5.509930494213608,4.273591279750544,2.7076710055072057,0.9017537845300788,-1.000829060017491,-2.8829317771903455,-4.635964993761664,-6.220896283186672,-7.623055681752314,-8.878852628257803,-10.042351755498764,-11.147685546876618,-12.211925746393446,-13.222649234636215,-14.13492719483644,-14.907292751667734,-15.515259444546318,-15.92635709653164,-16.170654129099912,-16.276266031635107,-16.25793563541446,-16.14583178623215,-15.93557497001074,-15.58384424006472,-15.06543489397196,-14.33958429574611,-13.356594946022073,-12.144867646104096,-10.721757730740764,-9.13142791698693,-7.449991340423032,-5.737040934764127,-4.064384178359138,-2.4891096081621673,-1.076024416302592,0.11996477634748295,1.0822589780941227,1.7886036995973313,2.280296020507631,2.63218984,2.9301863776347563,3.2813835592043494,3.754525898227679,4.409543218841837,5.22509199294764,6.15678494150595,7.139382616459311,8.086132296260377,8.933809363444784,9.603445294144464,10.077078644297488,10.33244561765924,10.344085899578888,10.15272599061893,9.777493595611698,9.250899452439278,8.627973773215624,7.940770722172056,7.219695756105396,6.4858608758444625,5.753368779434495,5.042235972865392,4.377662521449474,3.80304993925785,3.3650239149473062,3.0916552860128137,3.016799275487015,3.1139260965720426,3.3282787383556363,3.5829547182188217,3.773509824685345,3.82404943527577,3.6507553220572775,3.268193196129183,2.714540677490923,2.069125992542994,1.4637562844184235,1.0109052019090625,0.8432977361785303,0.9766950946190515,1.4014978546077346,2.031467151538315,2.7085158105307086,3.2975625545610847,3.7013926200320135,3.9589292535555507,4.2091929443301455,4.730266092217543,5.773403054815612,7.59708287
7kg_10bpm,7CA,0.0,2.568713983485135,2.2719244024513015,3.2100388110239417,4.882208481258178,6.6523245200000005,8.02945890503822,8.758447766544489,8.79163275822852,8.211845707798584,7.24761848,6.060646228819668,4.744883031062229,3.3332008397828488,1.8256808111336147,0.24186008000000442,-1.3773906517494638,-2.974146588648025,-4.490639012972039,-5.911402921054989,-7.258383139999999,-8.56722538829955,-9.863027546298861,-11.135070827005547,-12.337823841084475,-13.411678780000003,-14.304569883256157,-14.97517054869654,-15.424147426525696,-15.666448517192736,-15.712507299999997,-15.566005024336002,-15.213247593111024,-14.667222138698081,-13.934843506706748,-13.03444389,-11.992726602676733,-10.856695074739225,-9.676421381863747,-8.494718367787671,-7.344804660000001,-6.248648688793263,-5.202427975817327,-4.194935791561142,-3.2144099541142874,-2.2579970900000053,-1.3368638629039715,-0.4684469814657069,0.3328032637262525,1.0663357052582103,1.74995344,2.4251506559143285,3.129235559283996,3.887743520002173,4.707615196024388,5.57020636,6.43553005077641,7.256918300619067,7.983968312955103,8.554941956238578,8.934803669999999,9.103798790495507,9.062985357527074,8.83495095807312,8.464321407646459,8.016636659999998,7.542674339626321,7.082581155190958,6.666421165798422,6.307136509057169,6.007640670000001,5.763507955475803,5.5605803708359165,5.368633345687873,5.143132742095113,4.838871990000005,4.420934758672466,3.8760840539664887,3.247755750462527,2.6186603052087194,2.0893216499999996,1.7557228371739042,1.6948634440868335,1.8815001075641316,2.2473757807179546,2.6823388599999953,3.0506275333748447,3.2241870634097505,3.1296932793341212,2.743462907530044,2.0998955000000086,1.2949865116160126,0.5056859045711405,-0.08151404009083422,-0.2762402356197852,0.10901777000000001,1.1969985655260722,2.9791494278956887,5.371262776312893,8.076977616084948,0.0
7kg_10bpm,8CA,-0.04474904,-1.4766817919349264,-1.2067752005569288,0.08569823140847617,1.9465831614389224,3.8990556577729305,5.583987700381311,6.841251356550994,7.698853333600588,8.282404456515863,8.696714510000001,8.942480528731862,8.908369740512533,8.42907145127209,7.386801034923284,5.810011693341692,3.862079075783488,1.7768963348151097,-0.24114089980637354,-2.0984955523206534,-3.8232755900000046,-5.509058907754046,-7.2320452621739255,-8.990732585521952,-10.696675274060159,-12.215334842564825,-13.435164586045156,-14.323364818411294,-14.942492843240492,-15.416994474179818,-15.84411999,-16.233741680331335,-16.500187641009056,-16.508138744228294,-16.143867019197938,-15.368806404185317,-14.227014525333045,-12.810258613347465,-11.2099270863863,-9.488272560860008,-7.681734229999989,-5.82274323651336,-3.960333642929249,-2.1661002723838116,-0.5200721150238793,0.9029354979071417,2.050218305041101,2.9064984904308635,3.5042997077544302,3.9264464264459655,4.291853380000001,4.721061221038457,5.289743834777696,5.992701114215834,6.742272799102212,7.41003945224871,7.887327141755578,8.138875994897976,8.214127793167052,8.196411300320227,8.146995489999998,8.065830951097166,7.894065856732475,7.555661132719803,7.01013330836354,6.28382620881053,5.463041314609122,4.656410625259651,3.9510574524743176,3.386245441222077,2.958065019999996,2.6422762880385795,2.4181726609116594,2.2818229327826423,2.2345245712598714,2.2608182550557188,2.315525880596369,2.331675125790953,2.2493151887248937,2.0488765268894724,1.7661647599999966,1.4756839277427187,1.2505910123058783,1.1252986999397316,1.08882488841302,1.111597774691829,1.1800493282379725,1.304018867500385,1.4795048656945144,1.637346431893351,1.6311971400000003,1.296062286065647,0.5583808288534485,-0.4679662792350036,-1.4694753651028123,-2.0297794351809237,-1.791329437347241,-0.5976662691233997,1.4670096694891344,4.156700388520683,7.16667083
7kg_10bpm,9CA,0.60496628,5.378154892738863,5.3029027041852315,5.995451814431896,7.224198661722993,8.541969936103447,9.493782634455112,9.827969876564522,9.47005555071878,8.45925378042791,6.885898708829775,4.862400665105814,2.550329522859026,0.1425219765804296,-2.179192299135158,-4.2812637778397775,-6.112081192963442,-7.699272641336868,-9.147055644380046,-10.547283744869578,-11.93298759418204,-13.244433583413489,-14.336325182363355,-15.04549783786413,-15.29617631757605,-15.12486124336078,-14.66648556795249,-14.07869459712148,-13.453642587812904,-12.774422569717455,-11.951852245768261,-10.907863780873328,-9.640094863933129,-8.232555555758882,-6.819128418937752,-5.510067273990952,-4.354052748402145,-3.3399673180835223,-2.4193551901150623,-1.5365808686709377,-0.6521149701039938,0.2427624906195636,1.1368557175713327,2.01661079260285,2.8813444844313074,3.744398769480618,4.611503752937536,5.452626351279677,6.191398568663665,6.727841871910543,6.977084307032806,6.954707487456279,6.757860114217481,6.528182945093534,6.3833087599952165,6.357593185188739,6.380124641990136,6.317878279868211,6.06013089954487,5.577043553393654,4.937431126838601,4.276795279374723,3.72689489207324,3.347421407174618,3.1190275571554187,2.976417952266242,2.8629066158025926,2.769732500770903,2.7251929353693574,2.7444983870541906,2.787347762736304,2.7610796834348497,2.5624666514928656,2.159063303191685,1.603795147434255,1.0080334928091959,0.4938537933071253,0.15140236394736903,0.021269259074027682,0.07681173848705322,0.26832848311863494,0.5389566377706004,0.840987482207953,1.1376763812050767,1.396286548310996,1.58194360101318,1.6583832853169669,1.6007617982050037,1.4139934114339345,1.1486542939775637,0.9034105458574566,0.7796120221186605,0.8355613175396936,1.0510871863980196,1.3505695702579532,1.6959587193120071,2.2052388556624924,3.169805494367073,4.939125154322236,7.709587073710793,11.33656496
7kg_10bpm,10CA,3.78216538,2.729182371626173,3.017065699727079,4.272173688216877,5.929787676262781,7.455746512765127,8.498723289204296,8.932874299196394,8.807419463995522,8.245789070371435,7.3510185703077795,6.164522831541043,4.67849639282595,2.878397016938336,0.7894252664263434,-1.4981315654025402,-3.8408935071659176,-6.078940297437501,-8.079260249557345,-9.768367388832104,-11.14161369108937,-12.246886117108517,-13.149586435486889,-13.893962756186166,-14.479245406414384,-14.863167037212007,-14.988547277874115,-14.82131773534607,-14.387115720350183,-13.76485338160408,-13.053504096704438,-12.33643324316943,-11.65201752057672,-10.98965626866305,-10.30965601077863,-9.57140082600966,-8.751957625572288,-7.847496991430714,-6.863837547140536,-5.808137645013768,-4.688660950650295,-3.520176218953189,-2.3273735558960524,-1.1433565483169277,-0.0029887547215943825,1.0672965489441233,2.053144820076974,2.952449514772777,3.773550488986662,4.5307884207551234,5.2392420798201895,5.908714095803249,6.538149055676826,7.113628912921613,7.612406487346884,8.011290807457593,8.293334635217422,8.447915277103048,8.46503454415605,8.329890181320703,8.029053779884293,7.567361155907714,6.972684914292035,6.289596206117196,5.566436171026765,4.842095554572552,4.144887894297623,3.5020740761200004,2.948811831823686,2.5259550561258655,2.2654806958070948,2.1721643527350825,2.2126516015880116,2.31764051159532,2.3981451579289446,2.3717924638086356,2.191948267189702,1.8789147519672311,1.5205661112511941,1.2383099022364281,1.1366795249437887,1.2501158824359628,1.5200737913397582,1.8159265612556768,1.9916228746371347,1.9512478411490068,1.6917631444102657,1.3038662786963238,0.9327617873960643,0.7192864207092521,0.7459569591093699,1.0097471838968075,1.4301761782447584,1.88226639844096,2.2635515299413917,2.5577023978622844,2.8685297765834292,3.412548714167264,4.450163566129896,6.169721365472426,8.56483671
7kg_10bpm,11CA,6.31679833,6.482741032129565,6.859304668169603,7.345685923683082,7.829018634212408,8.201987703821395,8.366213407003574,8.269269207538455,7.908634227887934,7.300354346152915,6.468271431433707,5.439496037082958,4.242874259634163,2.887117931006761,1.3757442021508504,-0.28716772471991114,-2.0625779353259888,-3.901579265650477,-5.732608885502759,-7.448997000541533,-8.958162735803286,-10.18878210561641,-11.108454077103437,-11.716761032878525,-12.10726217544742,-12.378013257023614,-12.620042348580775,-12.902159147097674,-13.24271887154096,-13.609357459983682,-13.938918118595499,-14.145639765107932,-14.147248660984785,-13.907600896079188,-13.421968296809062,-12.718456822576233,-11.855958823305473,-10.914286239995361,-9.94773218711106,-8.989770748779293,-8.049099102075635,-7.109515755563134,-6.149229161463875,-5.150120371972291,-4.1033774365525435,-3.027281027063137,-1.9528586794826877,-0.9200522591139578,0.0225758945077311,0.8461525069534095,1.5451401298377825,2.1352446860644387,2.6518894192829956,3.1509349025329483,3.681637830158662,4.27594085882569,4.944516102507198,5.666109288556075,6.390135611508579,7.057790972379587,7.607435307329943,7.977135253614034,8.155469790451475,8.147836907683848,7.983955670851556,7.709710272143654,7.3977030309924325,7.104874212263065,6.875151415285795,6.735537546002882,6.664427854993345,6.609445541224288,6.4964800716137825,6.2347017764755766,5.764360963443379,5.0854386080707625,4.250990334104683,3.3692319500170624,2.5949125653095484,2.0550255448276187,1.828015657234906,1.9300594199819,2.2977510248532598,2.7789714508415053,3.226279728377126,3.5062248238637195,3.5110489502443647,3.25234613236325,2.790626905759136,2.230633708405119,1.7058327401061115,1.3262580944949072,1.1494091091002243,1.1893056950520955,1.4361561117719248,1.8451083917567979,2.3866073967820354,3.0522242636520454,3.856263589373862,4.81932418412392,5.95081621
7kg_10bpm,12CA,6.27608846,7.69526668444479,9.058348286857617,10.060622147798838,10.57456502813838,10.602523878517108,10.239025610273877,9.694270472039017,9.112317690622865,8.561118417758928,8.012191031646886,7.359689103448276,6.489111813941531,5.299275554360638,3.7483311464986353,1.8976723905978798,-0.16770402881234578,-2.3391129589157793,-4.49391079357405,-6.547109029916673,-8.441328459445172,-10.118252259331543,-11.568349192716486,-12.774472594559477,-13.7190642971839,-14.388041140707575,-14.831347989939982,-15.104470402669168,-15.285912309021553,-15.470367903455148,-15.715496398903923,-16.028678856093332,-16.35693257282938,-16.58844051173189,-16.6118445819481,-16.336717599313424,-15.692985209360337,-14.74207599598864,-13.556986205866524,-12.227203300603824,-10.840881498690175,-9.448240980311146,-8.057940479400454,-6.654409269281669,-5.219858582728491,-3.7589234910843357,-2.300722984974597,-0.9085322708590635,0.35346047250572576,1.4344578106733772,2.3019721099199857,2.947129505829688,3.427383670278136,3.80149893393073,4.139050817632181,4.509555136101994,4.9503875448588825,5.470234891133814,6.0538409375158455,6.655478654054885,7.231343543399632,7.74465426997797,8.160919570964587,8.477175717054633,8.692271161704042,8.806333478629162,8.81998286291617,8.743158836354127,8.579684468480462,8.330013140877538,8.000773323593872,7.597654908949326,7.122783463517243,6.575077063612195,5.975308953046099,5.352315989270939,4.747602594175319,4.21847258572495,3.7982487114246526,3.498035069259349,3.2996950455062324,3.1434781081503993,2.9582970323398716,2.689717902200759,2.3053873398324347,1.8375498804680124,1.3553591734596264,0.9459986929624185,0.7203046488405974,0.7278782831334077,0.9852156488784481,1.471768132916249,2.119834679003963,2.8261007371787024,3.5078013784927458,4.103369089303263,4.618284790131559,5.1335487257522585,5.779203638471943,6.75222642548029,8.16806075
