cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,0.98632687,9.450088995321513,8.02959912115771,5.9267754890166495,3.5365098906980124,1.2616912491649284,-0.6021627393782215,-1.903113720575051,-2.655247586090182,-2.870058113585118,-2.770617207054468,-2.4984722500991965,-2.229616147454122,-2.078321889354152,-2.1513614940581856,-2.4481012570407197,-2.955888707268476,-3.6211779549685903,-4.357289916295655,-5.091840128147443,-5.763049348921623,-6.341521108037276,-6.807388579347254,-7.182114803249478,-7.469856015834126,-7.6814408158039065,-7.82027177178899,-7.865954069788821,-7.8230493840038635,-7.682798006151967,-7.453240064322795,-7.157054964498554,-6.807288213840586,-6.426781198719833,-6.019379181626414,-5.5755026893865445,-5.0820904583003985,-4.510892035423659,-3.851227610604084,-3.1013347606285078,-2.2670221704488056,-1.3862759461986933,-0.493239819105572,0.36959552785333405,1.1759756058228659,1.896839763632401,2.5418967075166363,3.1137029873593836,3.624996972075305,4.0879063640096405,4.493859760257781,4.838890828331564,5.105987579827806,5.276029654292313,5.3525374477423755,5.328283679089906,5.223124619384988,5.050971845321429,4.817862141892167,4.535353489838323,4.1970379284021595,3.801119587820116,3.3519039930667325,2.855973945892114,2.3472899770204183,1.8644912958790352,1.4608055181017265,1.1713046254442026,1.0505714758908935,1.0874062876962747,1.27126435768883,1.5596257342621453,1.8849446938752152,2.18252305124406,2.4029951974492536,2.530335113843142,2.5792660428602803,2.6143635180091604,2.711455041748779,2.942832455379568,3.333328222680025,3.8850007635768,4.495208833899242,5.043400641382174,5.364192521102278,5.353772563774853,4.865747040442106,3.9556487474038295,2.682057891301179,1.200557279588641,-0.2863289428943313,-1.5646717420211422,-2.47697272603893,-2.929100475130784,-2.838278351117887,-2.3099927495646444,-1.4145626639620759,-0.34575447434549184,0.7096982741427879,2.880825574356793e-06,0.0
7kg_10bpm,2BC,4.73561451,3.123753181864991,1.844093000349192,0.7376426356816339,-0.2794046777643957,-1.2905445162417761,-2.305365198264449,-3.287456795369586,-4.164359367302403,-4.884158761276579,-5.4094421322558,-5.750038427694684,-5.960574927080463,-6.104855461835464,-6.257363031287872,-6.473197662907798,-6.757566927359332,-7.1025054973367165,-7.452866469939218,-7.745029754259891,-7.939096966326398,-7.991008871106374,-7.909027183585203,-7.709254864167885,-7.430127648402067,-7.112750014301263,-6.78527284149794,-6.460969024901519,-6.133602826240809,-5.785737126104672,-5.384336669971862,-4.921100658732569,-4.3737938231813445,-3.7647361275488116,-3.1113755721414713,-2.450113777994501,-1.816505021146209,-1.2354772934013987,-0.7194754912227633,-0.26665502066072555,0.14483847321103718,0.5391045204425368,0.9452184210702075,1.391531251078702,1.8816802361016356,2.4223317050646025,2.987593359056866,3.5485567987468998,4.071415074084385,4.517097937902959,4.866379840001513,5.109377540031334,5.252951610081179,5.323415526650717,5.342873728247494,5.34044415758512,5.32780047837442,5.307229446014096,5.2598270713933895,5.16820043453298,4.993689828403033,4.726754927884153,4.349784268288706,3.8812020919693295,3.3512257902707856,2.807694815339499,2.306403241160982,1.9028778881235793,1.622998062239326,1.5013085461580358,1.5056214169643984,1.6365797141142955,1.8383111350920451,2.090946151276871,2.3643586780870445,2.646606542684475,2.928736692150143,3.1991319202831576,3.438144339638144,3.614763775523804,3.688309537711205,3.6372101182644987,3.435033181491105,3.121960652898256,2.735740977817631,2.3617383153647444,2.095770517317506,1.9785498554707048,2.050248318145214,2.254741763796365,2.4978346673108924,2.642952158240241,2.5379468086934147,2.0499069040748963,1.140119694009002,-0.21299070661000172,-1.8483519059885618,-3.595845323112549,-5.238297194036782,0.00026326508082302166,0.0
7kg_10bpm,3BC,8.80886954,6.533273397523612,4.412628068578377,2.5067145798181287,0.8950740623135937,-0.49563204378130454,-1.6468896484993578,-2.6273816743050173,-3.411374089574681,-4.0420126788431405,-4.500779522696549,-4.844944046363848,-5.106363605621781,-5.356086997654226,-5.662110959820044,-6.0595777186713695,-6.586234006913254,-7.2110308317713505,-7.901911089952071,-8.5926003387218,-9.209470290000002,-9.708429544363517,-10.030604429289706,-10.181622717518293,-10.144839665080683,-9.95865043177554,-9.633804417989575,-9.207564545719013,-8.689182122316991,-8.096742989278347,-7.425881499481991,-6.681584114763746,-5.855188685283249,-4.9541151886661465,-3.9804595581024937,-2.952947962132453,-1.891192279345239,-0.8230986748280221,0.21945781010549584,1.209914650620782,2.1193420300000043,2.935736817209404,3.6483129496933073,4.263918048824178,4.789255910860957,5.237641609789457,5.615189638882314,5.924266602559127,6.157303301196271,6.305034499707597,6.356683885398959,6.308446845975021,6.165423514720923,5.940189786330462,5.653804264645652,5.325897769212304,4.976512899336991,4.619528674583343,4.267453128382648,3.9327427279512865,3.63104824,3.3841520195851578,3.212253187117807,3.138412832609485,3.1672910361858757,3.300878926933705,3.513590768435141,3.7792506495065847,4.057026087817256,4.311429665012027,4.515877425456822,4.647998885697205,4.706420996004715,4.683688626101503,4.58921073023539,4.415437327332441,4.166713533493864,3.8273083649239106,3.4020153780370497,2.882822337295016,2.297832139999993,1.6784713983300132,1.0858469727318003,0.6045577112607959,0.29437386098107315,0.25235453671685737,0.46621868585171744,0.9528480673543409,1.5850644453744667,2.224128680016756,2.6905559276444544,2.734358669919183,2.292307361028642,1.2040979721581695,-0.3361183193689427,-2.1715825529493746,-3.9274894815514485,-2.485349902686309,4.2727522346038427e-08,-6.176855613766338e-17,0.0
7kg_10bpm,4BC,8.91476235,5.654931239034382,2.8656938229561146,0.725608964561634,-0.904286665583329,-2.03074446416682,-2.864914041689214,-3.453623665246675,-3.9131541773349445,-4.257967917618405,-4.532832232199871,-4.749960666066582,-4.948601772326153,-5.1706382435964064,-5.450452725956607,-5.822840162716162,-6.279377170423905,-6.796549890857068,-7.320353245133959,-7.78467774739879,-8.138471563118845,-8.34069899754629,-8.386761447115394,-8.294353400641942,-8.096145222220509,-7.83350707,-7.534224327260432,-7.216297331040298,-6.879327031328322,-6.515489086274846,-6.108568018548192,-5.652944013188964,-5.138912703356859,-4.578690991037405,-3.9768768329959157,-3.354020969171132,-2.7214567867663755,-2.090687258661872,-1.4667757552677407,-0.846401032810098,-0.22152388604484233,0.41637848740912137,1.0804813334204284,1.7711755263311872,2.4908578092638027,3.2267605177161034,3.9616032079290004,4.671966269239864,5.3211821444351495,5.878924511800899,6.29699497,6.54701127844981,6.59352040818432,6.431453174920492,6.073395900855461,5.557672629879507,4.950553481207504,4.321042665144161,3.738501038946109,3.2552149797530774,2.8851284023157526,2.631197372179932,2.4557062026848966,2.3318969698392302,2.224791077577747,2.119853512626113,2.0150044098682,1.9204089956278478,1.8450491098688482,1.8031998761407988,1.790807544603916,1.8144507362376558,1.8682193963343134,1.9684762733690182,2.1223395651658636,2.3608209800000006,2.6841336175102466,3.096651211551529,3.5595268671350233,4.017965246995897,4.409345679208685,4.667543385195145,4.771824474819656,4.72862366977308,4.591062084859418,4.432170265033604,4.313781005912031,4.258373923813496,4.227261080243978,4.1102797120776,3.7424694257029003,2.976774174894132,1.6556177672216852,-0.18720683323643675,-2.4860917109712117,-4.932420564278743,-7.135497013170615,-8.732363297791084,-4.288643346864788,1.0337692730970228e-07,0.0
7kg_10bpm,5BC,9.92112108,6.976403152144238,4.307981025640076,2.1438435943185588,0.43210548570168755,-0.7956777952477474,-1.7148344995628688,-2.3519915243504514,-2.8198355963842525,-3.1212517128983523,-3.3128756174776286,-3.4154874090590415,-3.4981960592004424,-3.6359209809323056,-3.894969292269783,-4.338175251687267,-4.956281704720344,-5.717477268040635,-6.527548654298696,-7.28880257214358,-7.910706542597371,-8.33995385906262,-8.569978425108186,-8.63552973541976,-8.589413160116973,-8.48436367045056,-8.34762856387327,-8.180609722104258,-7.953393051570327,-7.640297251820251,-7.202775666465871,-6.651682333282878,-5.991479492327611,-5.274786146529474,-4.544403892281718,-3.842076507898137,-3.2070889265880873,-2.6364261262722297,-2.136408149970563,-1.675190614492858,-1.2302868262875055,-0.7711768714404392,-0.2694731326639553,0.28643383155354196,0.9079669309140116,1.5814035366001855,2.2896878859805954,2.9988379894539388,3.672612558884781,4.275779235313172,4.780142893587409,5.17148568230267,5.451424766781267,5.632060981549319,5.736920463676189,5.784443966398002,5.791272845274242,5.75755493661482,5.680855076918624,5.54332375799133,5.342505630968685,5.064418630996617,4.724849690900778,4.324821511060477,3.8883348337138894,3.4236296315428922,2.9496490994821274,2.4853580767546752,2.0546986031661585,1.7088395895771398,1.4834114221867256,1.4551000926868496,1.641388733318671,2.083361744331955,2.7306569728289745,3.5261739729778974,4.3440728607698285,5.050594386212344,5.518119196616262,5.651611612262559,5.426752829802676,4.8878043617028135,4.1463750197943074,3.347665882995172,2.64106287681311,2.10876628688343,1.7739692376595535,1.5433317960506319,1.2525420487042687,0.7366782309938176,-0.2030343936933687,-1.549533906249508,-3.2578202878438933,-5.032546993927835,-3.241058235238213,7.356460721966807e-08,-2.8457975287050403e-16,7.212280657984103e-25,-1.3753702604019163e-33,1.7301175928922826e-42,0.0
7kg_10bpm,6BC,16.59341092,12.0775170152602,7.399902086243549,3.275361700808244,0.0029473512600694226,-2.109663137356022,-3.3168326988892085,-3.7857181378546407,-3.861655705611236,-3.805098416872045,-3.811688712864364,-3.9508985325292296,-4.2500587666045035,-4.637216076303792,-5.060684473549715,-5.463087468975202,-5.812935262234093,-6.095763022576448,-6.317355378058979,-6.475626482702778,-6.584018965343849,-6.63395372530566,-6.630266720704016,-6.565104908243839,-6.4376671388963205,-6.249196739029098,-5.996245661812055,-5.688394248811671,-5.319091917757733,-4.9041840377850985,-4.4478541598039705,-3.968502791597838,-3.4842417831409263,-3.0194828679532386,-2.5926852833075684,-2.2292815982235257,-1.9263287542720093,-1.6866288534934888,-1.4798269030080566,-1.2741194059840832,-1.0267020390118546,-0.7063030391139629,-0.28413037607556363,0.2270515723411988,0.8189894408605156,1.4410656993855164,2.0507525382832203,2.604125229207763,3.069734963001918,3.425322703617833,3.676302957927639,3.8117699728190315,3.858555498255308,3.8137448246412924,3.701068759882185,3.531716793958185,3.3283838913383548,3.1137793914729444,2.911416936460182,2.7340503681269053,2.5937898324654025,2.4821544669920566,2.394979857367725,2.324473393169371,2.2708206727398417,2.2424281959446355,2.2465568720922566,2.2982764987638133,2.3915982240465934,2.52728421050297,2.6917141570998417,2.8802534964221502,3.092275831120211,3.33113760775463,3.6035303541493464,3.899601539676673,4.197304691893079,4.45525326838696,4.615057310512417,4.626442114981004,4.455298482163853,4.090559769804719,3.5860763244497584,3.0134564507342976,2.489489227734331,2.1418764840924553,2.034130741291012,2.1863789884783134,2.500929831742202,2.797858853736153,2.792617779894311,2.30223957056107,1.0556253789377625,-0.8276283448306035,-3.2002801745447766,-5.615079606613293,-7.584797223060103,-5.023926483549975,-2.7060754022386825e-07,-3.682941302121369e-16,0.0
7kg_10bpm,7BC,6.55517938,5.890459943848721,5.01664965,3.8690558640603427,2.4410256699999997,0.8719000523635105,-0.69173895,-2.056441111413756,-3.1114603999999995,-3.7792297853190786,-4.08669865,-4.167275275976884,-4.1739048,-4.2985944267291725,-4.65928385,-5.340178147123841,-6.283334420000001,-7.371885597208264,-8.44487764,-9.340441420108572,-9.96153473,-10.213599513956058,-10.15757477,-9.842951736274177,-9.33334049,-8.722596215463728,-8.056781800000001,-7.3706690507682975,-6.68492349,-6.013756448482866,-5.37269255,-4.770763589441424,-4.215393980000001,-3.6963144555444827,-3.1897576,-2.660824113470196,-2.0720664800000006,-1.4007525189047254,-0.62363096,0.23871112647223383,1.15892001,2.0950334344448716,2.9957283800000005,3.8204331308068826,4.5229465300000005,5.100832614028495,5.54941502,5.876987320804796,6.11325763,6.270242576748364,6.357928270000001,6.382207408452763,6.33336043,6.204575515503326,5.99492805,5.695067639717253,5.31585338,4.874731531674826,4.3960519,3.927417424705366,3.51201441,3.2084037189830026,3.02813809,2.9689986318634443,3.0028379600000004,3.0617544201510825,3.08835893,3.027062215793932,2.8689877000000004,2.625982098753817,2.351570959999997,2.1118316161025374,1.97555463,1.9868366951217544,2.14168531,2.4155525016204984,2.72571658,2.990691150342162,3.10998119,3.035366254001381,2.7503900400000005,2.2479792532079372,1.6124575999999924,0.9178441482465992,0.27545615,-0.21690592736044134,-0.47172062000000003,-0.42848394216377506,-0.14525145,0.27402182723320323,0.60692263,0.6303253694925046,0.11340202,-0.56000379154589,-6.754963677261162e-21,-4.128872701582133e-18,2.2420775429197073e-43,5.515214712863067e-37,-9.480374837366583e-62,-7.367045566049808e-56,0.0
7kg_10bpm,8BC,5.22187107,5.427316054696781,5.089283016401,4.248778053099287,3.0464091641400337,1.7383536386729643,0.5076906638294026,-0.5232147447383837,-1.3237307680302899,-1.94459026657017,-2.4439692034094764,-2.8839939159983636,-3.3146819859836363,-3.761288977586997,-4.244028027367416,-4.765676970086012,-5.320514449568229,-5.890169329917113,-6.438803966399542,-6.931077214698773,-7.331148849646118,-7.614109059452871,-7.78138350592892,-7.834968806895354,-7.771446276910881,-7.605117643419055,-7.335714156189902,-6.952752452267607,-6.471627640401232,-5.907329357694447,-5.278229315759868,-4.615273369187239,-3.945833228666929,-3.291781692638832,-2.6697134134411886,-2.080709046787048,-1.5179134703628705,-0.963230438113669,-0.39094951244418574,0.21905676710510133,0.8832326264285186,1.59072472203894,2.3152440431757575,3.015096349821694,3.638831652834259,4.151798509232394,4.528118664166428,4.756675215487336,4.865204793010036,4.876777871883042,4.8104287800000005,4.69241102106104,4.528616603941334,4.311769234462479,4.035406826155416,3.696504940727642,3.296248251900958,2.853789467266681,2.4015318816288387,1.974442317962816,1.6148092450926244,1.340121776358207,1.155909871016342,1.0584090054115773,1.012498461174641,0.9898404345975689,0.9647751723639708,0.9225272666061215,0.8651961844341054,0.8072704338025276,0.7790839676282679,0.8130354927755338,0.9430916249285173,1.2127345518368777,1.6222642089415453,2.162806041555501,2.804871745224668,3.4686981432670208,4.072153656276904,4.514736023642491,4.711675302137489,4.629570356353403,4.257616059131036,3.6432929592738343,2.9084251636992295,2.1752657874804147,1.5980490686265438,1.2536332415003004,1.1508913451345477,1.215179800807759,1.2384357497029919,1.0033461797102496,0.2855751726666036,-1.0121106669619253,-2.763106217379849,-4.703011218498217,-6.347321602200225,-7.248269502298567,-7.072859506027198,-5.529663576327766,0.0
7kg_10bpm,9BC,7.63429134,5.502344422160105,3.9037388993118536,2.8266819649341914,2.088111739666677,1.4369368201130577,0.6957423426730566,-0.17993304130853893,-1.1296463464584483,-2.0372689761949627,-2.7820670740152553,-3.332087406804083,-3.7275624504291747,-4.05985340165629,-4.431888512268295,-4.9247988933179645,-5.545082285261582,-6.233460941640443,-6.8890391819759635,-7.39827187261094,-7.6620523084034,-7.636015766267516,-7.360294425273506,-6.916585948026785,-6.413235405759613,-5.955648443756729,-5.6247804485737705,-5.43043699558986,-5.336096534444468,-5.269660162171855,-5.145799867989259,-4.879717456965824,-4.438635838454013,-3.833947473291768,-3.1158416939101934,-2.3578624646274093,-1.6378968034563242,-1.0097233277652022,-0.4817992987524208,-0.02849449295981185,0.39862521769300907,0.8549243447970811,1.3891394722021864,2.0171710560984684,2.731152440021993,3.499701108014915,4.273541004549989,4.985919838703387,5.577309361866192,5.999813228437931,6.222797776811533,6.235887310970892,6.039649604300405,5.668008252765315,5.161279735719722,4.561347899900645,3.9088202015862574,3.2380378840994815,2.5753623482296617,1.9385926459124418,1.3464854693632275,0.825267323145586,0.4086378276419907,0.13665029242347457,0.01245737129322058,0.015805717436170253,0.10023412214164368,0.21124882564633654,0.31262121021937356,0.4178053827100497,0.5853752312107898,0.8893673284090728,1.3794634848045855,2.04748803969227,2.793533250669622,3.4733452898187394,3.960502898812475,4.189500536285583,4.176165093147154,4.0028298796941835,3.768276657575333,3.505848332709669,3.1842507535936617,2.7370806831150576,2.1150772778008284,1.3893743073326488,0.7240050296167502,0.3264004947144193,0.3518757482609515,0.8118170847763486,1.4388246906846518,1.7966599810843498,1.4252607111424362,0.01293425793080471,-2.445876562247031,-5.489223607505443,-8.280713549954077,-9.954179695272947,-9.838595688367267,-7.6842436597518455,-0.74436792
7kg_10bpm,10BC,2.54624354,2.927785506793632,3.0480284208024577,2.678847757517429,1.8448150786288886,0.652049458472779,-0.715380975284393,-2.0195311356618566,-3.0856879898716025,-3.800955371334013,-4.200142646599678,-4.3542782517279965,-4.4367928817473485,-4.588591064406379,-4.94208880663777,-5.495538321451266,-6.199884126581458,-6.933810096398027,-7.565726070095494,-7.981848663038446,-8.125464943338708,-8.019966926882212,-7.687796550330847,-7.219778801935362,-6.67624633811095,-6.10378395,-5.533783574963574,-4.978792515230838,-4.446563446959629,-3.941214575793355,-3.474302594183519,-3.054622750656113,-2.684881423607996,-2.3695075567985846,-2.0886833671345126,-1.8239494657607411,-1.5481520091402894,-1.2389917275386222,-0.873953710030364,-0.4362895079197806,0.07792346512432444,0.6810177612458302,1.3593907677886332,2.095411357771012,2.8612151662656746,3.610948177346738,4.298299611658683,4.867282810636011,5.289150016447874,5.521700049226595,5.557600730000001,5.411744003505736,5.081755300954058,4.626412982530637,4.087852861319068,3.523589699488969,2.992715541362938,2.5462801098740773,2.2205185178211515,2.015687029397748,1.9302859976711815,1.9195328831829157,1.9401424843803146,1.9393961196635974,1.8770371883471566,1.7222012686370562,1.4587564648872284,1.109191223233429,0.7063447753270061,0.32058932112623156,0.02147338733174921,-0.09189515440711288,0.015364411916678686,0.3568959066967057,0.9125812122671733,1.57382094,2.2375034308323336,2.7801106802738853,3.1358389903716475,3.2547908511056467,3.186526984871667,3.0066764267828083,2.810398240722601,2.681482584749003,2.662827041126322,2.756289726535549,2.9103764171779067,3.065739476196762,3.151007000595037,3.1192835227595586,2.9047840888809566,2.495405608394357,1.880847216225508,1.0636981867736632,0.13668582669975335,-0.788858715348682,-1.5311227416169906,-1.9403016717812294,-1.8307982708818944,-0.0001475663103888353,0.0
