cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,-0.94138529,-8.718236677423652,-8.430257945277583,-8.72882575054923,-9.714880950618817,-11.169867091919215,-12.879243550924537,-14.506162148500374,-15.803431521438073,-16.481002360548068,-16.530377396299524,-15.919693795960852,-14.765700906018997,-13.278618560026235,-11.658501954580517,-10.147473921383703,-8.915690751187102,-8.090012426340802,-7.629759668336969,-7.471746568390817,-7.4138691393514895,-7.27970784984647,-6.879186304979909,-6.167770727272851,-5.129157810785899,-3.872444514973123,-2.5307222978019386,-1.2477283944597473,-0.11200118931929985,0.8236792918318534,1.5664648032463528,2.172604478122831,2.690045541282683,3.188540527796197,3.706840480885786,4.270874457395802,4.878019971522038,5.517758419458078,6.159049584756343,6.770272166155799,7.305338821104599,7.740150763473151,8.03900310245867,8.19255874963749,8.211654582182387,8.096401397826094,7.89347053354621,7.62642055227707,7.325108878858963,7.00867004463003,6.682213502184013,6.343151706075082,5.982534660306318,5.589978602400206,5.165929715628128,4.712286504442824,4.245260691065215,3.7818091329951704,3.345307461692541,2.9502650723888766,2.615632084780995,2.3511070976032165,2.1593114327118195,2.0565298775508594,2.032301206116166,2.0915460467627045,2.2284067504018576,2.426306407507533,2.674287416677981,2.942153666711704,3.2062844441711973,3.439190870965374,3.6275506019215946,3.759500309750301,3.8483144760062116,3.9148025895502587,3.99472573162034,4.12291318791291,4.338231449092555,4.657996142044956,5.070026442364559,5.534420001453174,5.952073762222732,6.190926174799701,6.083398482610364,5.536208370911279,4.403437447955561,2.802440809622493,0.8763164056727281,-1.0647441342101884,-2.6885530215214595,-3.5973765496920627,-3.6219533876594996,-2.74698102918941,-1.1147419271134849,0.8029770021045064,2.5313438277591205,3.5841503549292373,3.764146786101654,7.806362229879656e-06,0.0
7kg_10bpm,2BC,-6.12569626,-7.217010823125933,-8.837843670612644,-10.752005543702008,-12.840325602411484,-14.918327752553784,-16.823816523136394,-18.460952675762726,-19.698526318683676,-20.497405594999,-20.807227232668968,-20.62509081890112,-19.99718055351486,-18.951906349896127,-17.60878359055556,-16.030131896907665,-14.3511032536229,-12.660293684363882,-11.033156937421499,-9.53608429113813,-8.164282371454483,-6.916521180646408,-5.748698171440231,-4.62017728000459,-3.4935968919692835,-2.3457077927832377,-1.1697984684859266,0.022617477093277043,1.212178823542401,2.3770495658498114,3.4851530112127262,4.530149853141365,5.483370237734501,6.354438845026639,7.130817197559401,7.824251468898743,8.431522580862548,8.954260619345437,9.385028901039096,9.707024558355418,9.91096302307053,9.967967553424277,9.889235971811345,9.651438088343415,9.299976467735844,8.84142447634473,8.33060120439053,7.801414300348017,7.289239032974138,6.822157449034005,6.411304745312469,6.060884797683424,5.767456905160952,5.5195455341556965,5.310056547435497,5.123764187721241,4.9513294518019375,4.779103158975741,4.5950346743233,4.395677672366839,4.180662746686377,3.96350347248978,3.767244119082801,3.61629031330447,3.5372251845847815,3.5428411818558025,3.6251669648362337,3.7629578993192414,3.9108970371798417,4.017921144265437,4.052411706675456,3.9734394554087284,3.8094294649725655,3.5840874775775573,3.3615353815525078,3.21068337589392,3.1750517231793283,3.283268527125821,3.5170721016948465,3.822684785086123,4.128791435579549,4.36186774408952,4.452259232356064,4.39842735791968,4.187395874559238,3.892976983143449,3.5673394540426,3.2707924627963036,3.0439582338186053,2.8807201014781496,2.7498051231552743,2.594896575022191,2.353811962081236,1.9782042355460334,1.4646407893533515,0.8324806815370348,0.16671348897765564,-0.41398083936875324,-0.815957605759881,3.8734657023775614e-05,0.0
7kg_10bpm,3BC,-10.43294933,-10.358226237209044,-10.725996741168348,-11.476227372425864,-12.652761039887846,-14.070856003223398,-15.59842439551412,-17.041604445806108,-18.178042130898405,-18.939599768046293,-19.16548846275708,-18.951463070461333,-18.281638721753986,-17.332672432446785,-16.190272772499775,-14.990171163906997,-13.812237407503488,-12.690722575683054,-11.633239044194362,-10.60211914905831,-9.549098769999997,-8.433189423176968,-7.208446791041115,-5.875635358973905,-4.434036441455034,-2.9266483091711795,-1.39912654880096,0.09621125736954236,1.5042563704933491,2.802762571521375,3.969085096990241,5.022554243665342,5.97797409436957,6.867915149340497,7.707627223733683,8.503464373927383,9.233850469919382,9.87028192538869,10.360634914100798,10.674005705002944,10.773185189999998,10.664038970422343,10.35970971301738,9.907359111988816,9.35887387046002,8.770088028257103,8.189023230981364,7.645962047684725,7.156985130236392,6.721983932142648,6.332770146283423,5.978547951954518,5.650014935999093,5.3432231570485955,5.05873480493645,4.801610615936103,4.578713391707895,4.398981987816638,4.269068580092259,4.196156780063461,4.179141339999999,4.214362015593641,4.28406860391219,4.365594367462045,4.427066845135251,4.435194628657143,4.368124245781896,4.210867396247271,3.9813313479862984,3.7105645374558396,3.458009659998649,3.2949737243757498,3.2779588066880745,3.465276647949945,3.843050479284719,4.383216743553788,4.972986906046462,5.470334945755012,5.730724302959589,5.576618897697958,4.976637399999989,3.8815411345492574,2.4702026955475374,0.9361565972330365,-0.4260730913547979,-1.2695624738532851,-1.4558206225659887,-0.7762563908160779,0.5436336521803019,2.3175939246128534,4.085246892199034,5.348046910687565,5.848953971686695,5.225478155804592,3.752193463757525,1.6207241758039863,-0.5572361297172725,-1.0275797588026212,1.948122735092529e-08,-2.8162814485492385e-17,0.0
7kg_10bpm,4BC,-4.88883597,-4.401036393143365,-5.302464204645125,-7.541217825178145,-10.475164989888567,-13.659385931593238,-16.582979565635313,-18.750824638698553,-20.122696076290406,-20.494603065362124,-20.186121775042793,-19.33029680372751,-18.265866607916575,-17.204430208617534,-16.27483821811905,-15.528754984235299,-14.89927087552562,-14.284921502020277,-13.574346746175417,-12.66013655052032,-11.49805440689419,-10.067687462909683,-8.402727970563951,-6.565202325359742,-4.63554660711834,-2.71323345,-0.8943525057735005,0.7428011273112644,2.1289366356598842,3.263716307449079,4.145621103032964,4.855308303985526,5.453440767382892,6.031973379949883,6.658151194492277,7.357785905615143,8.144045469504759,8.96795646512216,9.767053667571135,10.47901417569054,11.003493600843298,11.328961454112855,11.3875829722406,11.230321041602604,10.859180524376695,10.351734893373077,9.754081513172403,9.126025616412178,8.508002744471927,7.922161449057311,7.379989419999999,6.877657013873772,6.4105173761396745,5.9736544115436905,5.569035555646562,5.2053385357266295,4.896127677685094,4.6591486803426285,4.5040205504342286,4.441749810999575,4.461400659885139,4.5547959657437325,4.690570512769372,4.840593378406274,4.970166536435653,5.039991050313402,5.034190009770741,4.91823262031101,4.71008171724706,4.404657391851673,4.051292492210046,3.695248020102169,3.3920332832137228,3.221409845300345,3.2054926562787447,3.39315194,3.73888734035508,4.191654611507732,4.639626860037141,4.938773901528399,4.976371626352421,4.632533415680448,3.9008650372616676,2.830492638426165,1.5772618212204446,0.3656231960518923,-0.5716263543064556,-1.0405584104263725,-0.9374733531123081,-0.3427865244852356,0.5654111299871125,1.4572224838561927,1.986275240465452,1.9368474608949868,1.1560190867566646,-0.13167535279332251,-1.6181094125599393,-2.8172208805662344,-1.4607864174606486,3.481391160207579e-08,0.0
7kg_10bpm,5BC,-9.00584049,-7.52925251871484,-7.106942044047758,-7.916806396629887,-9.580685992640742,-11.892130518408715,-14.367952274458693,-16.613803256744948,-18.393641650229792,-19.39990663157265,-19.708867751135585,-19.2446923690433,-18.24690624938842,-16.830011044461816,-15.24092669427682,-13.659468587553071,-12.246630673773424,-11.119110243367551,-10.291251810461194,-9.725032784160687,-9.282946826401874,-8.801797263751821,-8.10053842032411,-7.060745188963319,-5.625330413591846,-3.8593529086373115,-1.8886568150419942,0.10559575564831794,1.9333495121427058,3.4890329765118957,4.6736473585721745,5.543211292115105,6.120835679347843,6.5346624981029455,6.8510138865898735,7.146895712213377,7.453319659069107,7.7702189869568326,8.076480798954865,8.344966480740634,8.53538352890789,8.638656207410605,8.63314218954805,8.537381733980661,8.35919230464273,8.130316904635455,7.872733314690518,7.610733869441665,7.358114854385477,7.1189371915813595,6.888047079498061,6.651899285143988,6.395240709359506,6.102650722886256,5.7680763479910295,5.391082492083727,4.985301601794973,4.571308694084345,4.175279583618294,3.8332555383986624,3.5664993177556252,3.415720538095037,3.3797697518939263,3.4884073399442483,3.708395515306459,4.0367037629569165,4.415340850341404,4.795746886042657,5.122012760519893,5.322107352797938,5.375355979498189,5.238962309276393,4.9475879877984585,4.526520395005396,4.055220857692821,3.6110828002829827,3.2704373225743186,3.093379904267021,3.0885801806405384,3.22708677086098,3.4204925965791593,3.5580763437303684,3.512978661166665,3.2080767731621926,2.607208306019357,1.7815134248689464,0.8586784390578142,0.008698992842059172,-0.5790860632088211,-0.8379232208205429,-0.7152035772247435,-0.3499487876526796,0.12178087878088631,0.5342427682958466,0.38344500668711784,-8.738328089243248e-09,3.380363658726058e-17,-8.567064658277476e-26,1.633725378794198e-34,-2.0551098865410003e-43,0.0
7kg_10bpm,6BC,-5.71747124,-6.1155453795188,-7.719436883522643,-10.30245862447883,-13.296922310241717,-16.241989950581143,-18.73059331808465,-20.449695054714386,-21.298596304427306,-21.324994583071074,-20.63160839323629,-19.4801426055767,-18.022087356968523,-16.47356764811051,-14.941674666734341,-13.490535598339852,-12.13959420896501,-10.878775342041234,-9.678276678382517,-8.5129737709779,-7.352739852473321,-6.1750216652470495,-4.967675829480297,-3.722816100928372,-2.4459063408754953,-1.150958524018066,0.1382073134863691,1.3975151950057585,2.588269754721321,3.6978106538461506,4.698599643128136,5.591135588562619,6.375330412483428,7.058548696834396,7.6601143640507185,8.181329805659068,8.641612374143715,9.031628437625729,9.353963137387462,9.591409774784559,9.728785253045446,9.755468604388575,9.652195561905243,9.435783581502855,9.099020881221728,8.684211274614412,8.212707805291574,7.722672986518903,7.242393379131926,6.7965331063785746,6.392495356121563,6.036576415232931,5.71212933723376,5.408589866094162,5.109712738112419,4.809076812798873,4.510110175882883,4.224947040447523,3.9769724161855,3.780246896044623,3.664347823429629,3.6269517940184888,3.6811721327682507,3.819793106082716,4.037141999452588,4.321467270849608,4.6458294370871505,4.974274836699423,5.259824942154216,5.437811754072838,5.474275851046292,5.3426708278142545,5.066300514841519,4.707253769286736,4.353810045330655,4.081069101389333,3.959232640399583,3.951313683580003,3.9846731664574193,3.9119463360876114,3.5882142316004377,2.880045111761827,1.8078334380995194,0.4376412064112714,-0.9610045992335536,-2.066142748745219,-2.6007040283206417,-2.345537356734516,-1.2931426843896545,0.32335739779049705,2.120726079512754,3.6416906194507273,4.35747297058222,4.159520597407299,3.001493362844729,1.275395734095589,-0.5127530813209751,-1.0116203988336818,-6.158468948650191e-08,-8.38161406369239e-17,0.0
7kg_10bpm,7BC,-5.72110695,-7.1322103618937485,-9.09331301,-11.425948405337676,-13.850075599999998,-16.061808599517523,-17.810888760000005,-18.880952177509055,-19.285940419999996,-19.055220822042898,-18.35738801,-17.416418244248252,-16.40239573,-15.444461927541825,-14.56650207,-13.725559991847485,-12.818368920000001,-11.760795904168402,-10.46716571,-8.960554945259908,-7.29355029,-5.546128387043898,-3.81831121,-2.166841548029735,-0.63045655,0.8067244078196115,2.15113836,3.397084997761114,4.532526749999999,5.5176617628670055,6.317632520000001,6.938508592947806,7.38903095,7.721076788604668,7.98952798,8.231813123609774,8.4663473,8.683934689987087,8.84954011,8.93053553739187,8.90296277,8.738721907638965,8.465299960000001,8.108353667590368,7.70916412,7.31762978097187,6.9675747,6.6794714717050505,6.43950438,6.222132781189721,5.98407483,5.693445456418019,5.32870937,4.9017161908074645,4.44898425,4.022139230072315,3.67411492,3.4335352521173457,3.32560568,3.3196633567156586,3.3810769900000004,3.4656940080205496,3.5274145299999997,3.53889023818052,3.4794707800000007,3.3612938851942564,3.19855539,3.019230331652027,2.85520808,2.7375034000006915,2.695367039999999,2.7401531988144607,2.88613446,3.128589600101585,3.4504340000000004,3.836275301458232,4.247955010000001,4.642131556206266,4.94152278,5.0598924098015985,4.906097560000001,4.3276209510100445,3.3216508099999853,1.9136667866011916,0.24488656,-1.3719709568092293,-2.60218123,-3.054404228669383,-2.62354124,-1.3139128645767868,0.5203205,2.326873728464148,3.49958108,1.965465024263415,1.594597425849099e-20,9.74735476449209e-18,-6.726232628759122e-43,-1.3020201467587755e-36,5.347903754411919e-62,1.739196431775422e-55,0.0
7kg_10bpm,8BC,-8.11659199,-7.9654021182003305,-8.435562836378004,-9.621741774381535,-11.479349006445405,-13.674798184291795,-15.84821503591706,-17.627734314542618,-18.712867593310776,-19.024259876019414,-18.569647175089308,-17.459910588491457,-15.967290553520671,-14.290542084666699,-12.623137007554012,-11.102642008801297,-9.798760640225485,-8.759155677031774,-7.956337491153268,-7.322953035586828,-6.76961835002208,-6.166988710680928,-5.408973998071852,-4.4219139072159095,-3.161190508393906,-1.6965785410006764,-0.10850240804163888,1.4894449593123205,2.979820841250631,4.284534048872824,5.3382840336701225,6.134582091767365,6.710279111931757,7.107538037206458,7.389259076050658,7.619616269271323,7.833410450418905,8.041853191340655,8.229525464596339,8.36859569906241,8.419372799281541,8.366035827178123,8.20938861671022,7.958700229482375,7.641753739085015,7.28721458088057,6.914247001855176,6.536158440869661,6.15915423750936,5.785889036918362,5.421017389999999,5.071044484794053,4.745979808007157,4.4631584949777565,4.237529719461373,4.080109768046175,4.001589477269774,3.998473009206925,4.049169441415404,4.12704761325561,4.1932951817570565,4.215049144470632,4.171448762022243,4.047282578337088,3.8610997256554325,3.634933478730968,3.395564874848312,3.1693982088412205,2.9687729414642683,2.796795835477445,2.646582625118096,2.5086710178707823,2.381558003430002,2.278749718507179,2.2221213838628744,2.2376470050798902,2.356703218435904,2.570153330698157,2.844667255614636,3.114127619643088,3.2773707477941088,3.2482037015951484,2.9539093953492186,2.3732154171060933,1.5986609315562328,0.7602899525533958,0.06671449946800989,-0.31706557466299307,-0.3022197732159376,0.12336384925291333,0.7601705392810106,1.354241402922709,1.61065844111493,1.3022638986868504,0.4280978879508362,-0.8562820859309216,-2.1404277013250095,-2.9173864880396128,-2.7522311757466755,-1.1935766028412185,0.0
7kg_10bpm,9BC,-3.89451368,-3.8443469316249996,-5.082602514869248,-7.287467933761598,-9.944302249930438,-12.454006302718085,-14.372981053372262,-15.47767461915139,-15.760972519391686,-15.3971621080462,-14.668423457529277,-13.901104076102158,-13.287987729814649,-12.87434547441437,-12.546165043624768,-12.046497110873405,-11.10230162904896,-9.575093969420253,-7.525779434988403,-5.225050038717895,-3.092068625302689,-1.549921098456624,-0.7733633788740706,-0.691437037288416,-1.0191647429535273,-1.3685048418579753,-1.36266412105745,-0.8484520280883106,0.1401314134153629,1.4263791388584606,2.7699689683043647,3.9286738250436337,4.766814074266276,5.257586434607549,5.457970737917414,5.477730673089508,5.444167554815119,5.467927956004624,5.599782888131413,5.836452389059376,6.131871045002847,6.41602393228605,6.614678460495492,6.689577431968317,6.633017129481441,6.463259204674733,6.211663234791275,5.9070546055296616,5.57342614197329,5.222614852464717,4.866857917624511,4.525243978263386,4.2280365919383005,4.003979289333381,3.868866791588548,3.8217678543100204,3.8455687257910443,3.914518215669357,4.0028863917844655,4.095204057817375,4.186178083536212,4.272596539224439,4.34630337841003,4.388433437348429,4.381106612887751,4.3136695126163955,4.18931582051583,4.023226481531183,3.8322904745732367,3.6238058806683378,3.3859638371827163,3.0964178159177203,2.736391436108371,2.3048535192317803,1.8366775159074087,1.3922066272576668,1.0369801951805935,0.8237753154833084,0.7753470885393567,0.8706017671865883,1.0278570979710944,1.1474328532852351,1.1281366122470664,0.9019146209955489,0.4639496981090744,-0.05728983560913424,-0.46174475304418183,-0.521624462771391,-0.06562927795591926,0.947280763525443,2.281827761294888,3.5239848339110336,4.2064870773896965,3.95900756497342,2.6537255610584563,0.5644372753120327,-1.6454115198495514,-3.2314855723566778,-3.551624569714435,-2.279870552392969,0.10138758
7kg_10bpm,10BC,-5.25172216,-7.684938442178829,-10.360308584228076,-13.035080225996982,-15.453458749411977,-17.433280044347086,-18.756283886359274,-19.448537466875656,-19.497321581070313,-18.991011185528258,-18.100632947401756,-16.93779982747488,-15.642875721580708,-14.296971154553948,-12.948892901469797,-11.624338354837352,-10.33998608864078,-9.122532993463663,-7.988711301247,-6.963326976523947,-6.0449301632724515,-5.199236588916491,-4.371775478211828,-3.482653915531995,-2.47090078283023,-1.2737559600000001,0.0761469985862152,1.528928437488295,2.9724768248432176,4.293708618502947,5.373302792714146,6.157748359100432,6.663668947387617,6.915474765193387,7.0382683444972765,7.116748118771926,7.229492856833513,7.400894545774392,7.6211406485886375,7.840109617837802,8.00630236931084,8.065070599459675,8.006924967309109,7.846848050765246,7.614355013775657,7.364227986935765,7.129413470754435,6.925472070465493,6.736904670343899,6.531648800257374,6.270790320000001,5.936142746259832,5.518733983466981,5.059178345053752,4.601666217149512,4.207474371972368,3.908549738103254,3.726210563138697,3.645104593931602,3.622903137925918,3.61439334629192,3.5739981523804776,3.482045218639655,3.335049931761048,3.1696085976303885,3.0268586576828223,2.9588554977128774,2.987902504711268,3.1260698001606917,3.3398375645770932,3.5753782647592547,3.758526469248043,3.830502303704745,3.756369736678657,3.5234556859942217,3.19479633,2.839112407455052,2.5494551434551305,2.3771086878194607,2.344019575444224,2.378843866615449,2.378620976806998,2.185101232456962,1.7269280036043624,0.9834405005308167,0.059473676986763944,-0.8232431303550858,-1.3936566633570706,-1.4131939305033685,-0.8248489722118929,0.3625453489357118,1.807083171492034,3.1696599217493766,4.019745107604852,4.204731823110629,3.6952327162148255,2.769444132703269,1.8611747230554654,1.4582314433203871,0.0001735069340606447,0.0
