cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,37.79576542573399,35.55118380153824,33.883089548980294,33.277682607232826,33.85821622321272,35.460911067620245,37.70993748895344,40.092563257273376,42.08049700074465,43.270358087457716,43.480898659769544,42.772647702424464,41.39349603306761,39.67711020005113,37.931759918344625,36.35873539741955,35.028326970752346,33.913679623909275,32.951938275678984,32.09303781960313,31.31584066557938,30.619325726383728,30.009769158945712,29.495828882189972,29.086273694938683,28.781992133817035,28.56711950791286,28.41177632120788,28.288156756886803,28.18759500044578,28.12578562754,28.13324082797975,28.237576338776297,28.448166793256735,28.750426564802265,29.109621671783103,29.479995989022825,29.815927640563057,30.08328614724366,30.2683142845354,30.380124951254043,30.44502171356527,30.4965652418433,30.56858956320334,30.693807490643387,30.902977290446803,31.21953378857224,31.65294016321185,32.1977370124002,32.83686388225413,33.54124332030071,34.26633559240329,34.95657262670816,35.561748655181,36.055711295050095,36.44610435559516,36.77154840217502,37.08775914775808,37.44638939397558,37.87408952797291,38.36164151017022,38.86882480344184,39.34163152995467,39.73207185544493,40.011863782299095,40.1768660811196,40.24349776207323,40.239790622409224,40.193829227911536,40.122639888556186,40.02517645675428,39.883081891803734,39.67088055387836,39.37237442234831,38.9946380374289,38.56973080614907,38.13957399766495,37.72950325000226,37.32562006790426,36.874075802373156,36.31247966982378,35.625406147151196,34.896564004078385,34.32489157057028,34.18694373294912,34.74658920855632,36.12275333852311,38.1608187589288,40.41035542893656,42.27243016401928,43.23334802818792,43.02631824041329,41.65267470372865,39.37323385473268,36.84855077835823,35.31804255209195,36.134384216491306,39.448822895311366,43.886036485816845,-0.0011678957789809303,0.0
7kg_10bpm,2AB,35.95992449722878,34.206464460145824,33.32035299798702,33.418207656299685,34.438354778988646,36.19444964899127,38.30649580005291,40.39303670111211,42.10397983306436,43.10229724551145,43.3071795765512,42.72288025042603,41.415027859471145,39.665908031535466,37.70609484704393,35.75116988448071,33.9845619594484,32.49507518786384,31.32411666378825,30.485320134782942,29.90535051563843,29.5301644898106,29.308388217577246,29.18382219696348,29.122943240431752,29.104774542785428,29.116798525609827,29.167577735274026,29.27162037510057,29.440056091798812,29.689072215834923,30.01293582886736,30.38833499735593,30.77942600564885,31.14785984735217,31.450577111914594,31.631590081539322,31.67383828920371,31.558318878734656,31.267470602490167,30.85613297167999,30.391283324193363,29.964411370551055,29.68206938390969,29.607920144186355,29.770501945560085,30.16520696871192,30.710883633143023,31.340388925639566,31.991959980885852,32.628657629024346,33.24828166876827,33.869284284118024,34.527485199652645,35.25603399462573,36.078136464836966,37.007223941776104,38.0208844382323,39.08177876836016,40.1299023437527,41.08536710916231,41.875805018446805,42.43100445181481,42.681707640106765,42.65148607575673,42.37729501957261,41.92004929540652,41.39085869724092,40.87088246468441,40.42070646172757,40.06580943601095,39.7841113655051,39.53336269175371,39.2421655546122,38.845655667363246,38.29762633043592,37.56990040469227,36.709658417453475,35.8200073758403,35.052615086319506,34.626649521132485,34.70030073105183,35.390147959300315,36.79143421302408,38.71909401439532,40.90916770633155,42.95332054787393,44.377100202583556,44.90314410772093,44.41764199499628,43.00898269981584,41.143993696209,39.26099016255062,8.6216820155662,-1.5041947765392361e-09,2.331503170716822e-19,-3.443323159524757e-29,4.729185794311573e-39,-5.722589448376433e-49,5.141990898351628e-59,0.0
7kg_10bpm,3AB,39.66636965544834,36.77423913296499,34.815045619199545,34.06901496829299,34.69826063651075,36.414290437847804,38.81361504279108,41.40018935507781,43.62376738469183,45.084261680622184,45.44506783356343,44.796723606262205,43.230311666229,41.06077034926344,38.62917761333445,36.21270195881108,34.02442587208444,32.16171344138736,30.726293722366417,29.66578699959009,28.959424003442734,28.54581920421906,28.32515689054215,28.22328327713501,28.174080693369337,28.154259947411656,28.16585910839065,28.249997747858146,28.448194262205504,28.79301611493393,29.283785920774143,29.89185462107345,30.55533201355483,31.212311671797465,31.783996541862585,32.21186107706178,32.47360967294144,32.527046650613016,32.40973210176648,32.15157738858855,31.780382612209706,31.357183982915394,30.91526140113806,30.49730279562419,30.141446488120277,29.9022054122985,29.83266310547693,29.967755192864495,30.363473805491545,30.991947071626413,31.817469613243496,32.77531135508635,33.77092336547974,34.731737226777845,35.601478107233625,36.373188468345184,37.04960379052535,37.67079872654339,38.2773186039704,38.88930489994911,39.50922547618456,40.10489472376747,40.606948466194616,40.978780539227444,41.17982475786188,41.211569070739515,41.11682703651936,40.93092207363905,40.70555772486709,40.468490215837555,40.22836504359062,39.97476118291957,39.686562602437924,39.33154647594124,38.89902438009972,38.382586800182104,37.81450506090691,37.26464489307028,36.85662124471457,36.74087263935892,37.04962732695394,37.9805343318282,39.47538988574219,41.41643306871924,43.456596757961094,45.16268662027699,46.08910940593115,45.97057707055727,44.89533564668426,43.02557937864175,40.856388505287185,38.755876588043556,37.09516744608383,36.07453500770692,35.92103699356824,36.81269023740039,38.61578900578401,41.11358912194818,43.89167436115775,46.60441897165555,48.93939210224675
7kg_10bpm,4AB,41.24658503059809,39.29247708491209,37.45005505368698,36.22619464222778,36.07640129405204,36.93197004390434,38.57819583220598,40.66232172416147,42.67733395449832,44.20541912147935,44.832726783074776,44.49200810645378,43.16665384077106,41.10313998279098,38.649525574913625,36.10753253052415,33.76264716190868,31.77401667040579,30.29927548490708,29.314145520447415,28.763029369127427,28.5486946830579,28.502606494661237,28.51411931924047,28.489015423607377,28.402163989823798,28.253565289596317,28.09122031798401,27.99189203476279,28.026115179575285,28.24985330230239,28.672361451464326,29.285225591925386,30.023569148712372,30.81476099776554,31.55718839764393,32.162344301706405,32.55230431070861,32.650048422112675,32.47851137200711,32.05517642274613,31.45135569117096,30.76660930453883,30.08761339767417,29.496584548033873,29.034508365923358,28.739703731089996,28.599880957499174,28.59807573527181,28.730762863353096,28.966058152570955,29.295258813366072,29.72180954045783,30.23910559101962,30.860555981285227,31.603265953707062,32.46673819894225,33.45582339278888,34.545848754316026,35.69405057739104,36.8490480393859,37.957727052107224,38.99051930084609,39.91791771214157,40.75617330854514,41.511490735469394,42.168898284004264,42.71759437872613,43.11328059442637,43.295180088003505,43.25110699856134,42.95275427363904,42.41785833389376,41.70407493228029,40.86959141512737,40.031911072178936,39.3059877401581,38.8498085963691,38.74226637361823,39.02511604284055,39.74197091652609,40.77778779205019,42.03447426371244,43.317744778790676,44.39615420128971,45.01420415070444,44.955671441091,44.195490911911975,42.74153546961015,40.83968576411965,38.78845304539474,36.933722129822115,0.005577624475374818,5.845681712093327e-13,-7.808738328525649e-22,-2.1541929135129576e-31,9.242583898591278e-41,4.743060972248152e-50,-7.909374243792467e-60,-8.429076262625113e-69,0.0
7kg_10bpm,5AB,42.62889155256256,39.958363464195216,37.48597897366139,35.70237398440316,34.874668506445126,35.04185564739553,36.14391792797858,37.74863300027976,39.46752504739233,40.85106505707367,41.65095794226377,41.64412665924219,41.007723090123115,39.872429391142376,38.506061458706554,37.123636682995055,35.89567133563926,34.857244341520115,33.99596245353401,33.23618557839211,32.50985458842447,31.779502590208708,31.074061764207478,30.447930428126014,29.968872874696697,29.682902162998644,29.616256029399025,29.758736139769255,30.086828412216505,30.562877058812653,31.12942588687809,31.719957575715213,32.26357461619909,32.70150812328972,32.96379343800023,33.05176626739986,32.9514245793021,32.70257819400986,32.352819539142615,31.94180429563103,31.51758624141956,31.10672487176049,30.731594003365863,30.405204675551666,30.15379303065134,29.983935662603635,29.913368682010358,29.951194479583652,30.08951672402542,30.336466854264756,30.66854011675375,31.07721927064842,31.55067157847662,32.07534993515966,32.65009397599686,33.26907727405969,33.930583738760845,34.62796436677909,35.348865304855586,36.0736395819058,36.78290924280848,37.45984235525684,38.078079323539804,38.634640142817794,39.108871075586386,39.49836616236593,39.80700180621827,40.03143208792012,40.1948876814002,40.30338971200844,40.36671919139635,40.39022266072201,40.35954496243841,40.27027116150818,40.10300157576179,39.84961872237917,39.52961478785283,39.18290019229248,38.89525318366336,38.770223920810274,38.93777079554394,39.44984128330621,40.383213626706485,41.63110640312529,43.056100528092784,44.409111768077324,45.45148981222523,45.896479593860036,45.636316321638525,44.670430028496234,43.08958382134833,41.23669034760073,39.47083224453578,38.235918197600895,37.857433013279326,38.67193029626,40.49747253809799,43.113113777382054,46.02472504225343,48.79405345967316,50.9169120133582
7kg_10bpm,6AB,8.711368998839252,41.12675738537934,38.80059744394484,37.14448884756946,36.55493233913977,36.9201142177425,38.10150233465081,39.651191996501225,41.26884382451384,42.608986397969055,43.355796209696265,43.28915454034081,42.394456146079776,40.74390001270485,38.67196608416838,36.466700782004594,34.42586926045981,32.75540312140041,31.49218482979425,30.617194726475947,30.02569359278345,29.59995657844354,29.235133965286064,28.88460627247787,28.532774578409505,28.242309671768524,28.083524301947264,28.123448093992156,28.39532221523269,28.877857408837034,29.499526754722577,30.158029854091,30.772589009324708,31.24704106670334,31.576792967778825,31.735834336984404,31.752828180288642,31.64797924120711,31.449549039565397,31.19180194705175,30.89841614877611,30.60184270268131,30.331052827845568,30.112699943027803,29.981531303769813,29.961080329942355,30.067892116215784,30.30316804114506,30.639416754895723,31.04521259268173,31.475632448716883,31.892526983977582,32.283119754643394,32.64598829604617,33.00763445297612,33.403215736555666,33.87675063603582,34.45466835461108,35.16718859348885,35.99414811101884,36.9200589517985,37.88796163371539,38.83918413268394,39.70618968669949,40.43320048982089,40.96131782748072,41.28668769484798,41.36997475403339,41.26890546438533,40.990326436299824,40.60153652141921,40.137434572015614,39.63722483756365,39.123008094674795,38.609566042554576,38.11443785735284,37.68297955256909,37.36793713056389,37.28920613294824,37.53555301124672,38.226500445439605,39.406210681360776,41.01799940802545,42.90941654260572,44.80623766668822,46.32695920463019,47.24404750951354,47.26079884450667,46.426251176425524,44.83252632182374,42.78388419943927,40.625829979945806,38.72320564111203,37.29622034298932,36.66196849329489,36.794776086787024,37.80017439072651,39.4823927345066,41.64837988274009,44.00357677125446,46.29172115346408
7kg_10bpm,7AB,42.880880194407034,40.11594571305667,37.51530437748913,35.73582006870032,35.119212299338976,35.732618981395035,37.29092800181914,39.287458411832255,41.24713520117719,42.62986233444195,43.13840976967817,42.68899492815046,41.3623620340675,39.44162805140976,37.29590861936467,35.19197114403045,33.34443537167066,31.82702801265022,30.64218047357784,29.766913817927275,29.163487654578255,28.784586870934433,28.612416641095816,28.64347927856203,28.853539016497635,29.209833693299945,29.66289270348991,30.133572328383412,30.558589491905625,30.884183753863987,31.071976477335056,31.14435963526377,31.148507067900567,31.139324370105864,31.175308079518647,31.279839222826613,31.449961411220137,31.65917928541801,31.85662246492063,31.994673152143122,32.034143523036086,31.942225078014474,31.740037561850478,31.460484572986083,31.155707325064373,30.890092664106636,30.70792515627563,30.632111388862537,30.668547919395813,30.78077110837589,30.93717154476367,31.11247241061627,31.304959318330283,31.544921496972915,31.882038831623227,32.390538047686626,33.09768606533756,33.999529078779155,35.053514936427376,36.162504190549456,37.21694096573118,38.1240305844839,38.791374617314574,39.219559051438836,39.44246131733609,39.52443927191674,39.5670005576624,39.66607206875605,39.88445495387424,40.259752010435115,40.74994912657461,41.27774282540769,41.73776686584405,41.99789690065506,41.98261338186236,41.65352292132294,41.00983887448528,40.165940157139694,39.26854097963004,38.48441409072724,38.006550586963016,37.922295003409516,38.25937721968247,38.97935799139429,39.907672717482406,40.84047228179029,41.57123427830369,41.871806548618665,41.66992112132468,40.96051122193084,39.82118123378212,38.468405719953104,37.13722596308179,36.05217129753605,35.532668279236674,35.82199860277549,37.13621970603346,39.50827711055347,42.55444755824761,45.69466103904016,48.40878993347446
7kg_10bpm,8AB,38.97874131069666,40.677118831315305,38.06174864100975,36.13234750697939,35.41369440439529,35.85097413304444,37.19166723984437,38.978902229082664,40.70045897036467,41.93527870184161,42.29382418856237,41.74672634103769,40.36876479300851,38.43155143300686,36.3351409476741,34.37545138948304,32.8174341254564,31.750789651711333,31.215853425969808,31.136249126849933,31.308464281749767,31.530486564974275,31.603282134119638,31.478780862501107,31.169384012550747,30.76499139602064,30.406755325539905,30.200991384131832,30.228122198281813,30.47355046999707,30.883794530291876,31.36278742804062,31.815117599242598,32.166209386676115,32.343673582230295,32.336961703135216,32.13653681297952,31.74582774408197,31.225701160729606,30.624570722788363,30.005521737237995,29.431692445800262,28.953313529336135,28.63254316347797,28.488727442259382,28.543102967942417,28.815700729425714,29.264849060321268,29.86211516014753,30.576693469820846,31.362884794596898,32.19972782989793,33.07436407611682,33.97807665554738,34.90705315387107,35.850797564588085,36.796550716503596,37.72527854432968,38.60216808844143,39.4079572412406,40.11804017054435,40.69641132047082,41.14585012024854,41.459559514102224,41.616580796561045,41.62967071049089,41.49262811721395,41.187641072907894,40.753270834920464,40.22836731277792,39.67137933996473,39.15382997674429,38.717579967125225,38.39925294126718,38.187203642293305,38.0674165658097,38.017214855623855,37.99458561529718,37.97981336967701,37.988411584604684,38.0792541870874,38.3299315139736,38.841566466414854,39.59156642550391,40.50141680040717,41.398208708491424,42.0716020099789,42.362684632048385,42.093978945572225,41.321500521636786,40.13658715505811,38.70153230474463,37.31496003737071,36.23725709811304,35.86407430741428,36.44418676630869,38.180881858411276,41.15319679464357,44.8460233017154,48.63810170812903,51.712532558127506
7kg_10bpm,10AB,43.760111855944686,41.79512583098738,38.621353007860705,35.451094867354726,33.66367688358459,34.039773470210235,36.29710947842939,39.445607223382105,42.35871228950309,44.07162754210342,44.00910422039939,42.187967870575555,39.196728114381564,35.89170869533436,33.00614322547255,30.926254712455666,29.695741287272845,29.1386875577654,29.015060845649234,29.15506764795237,29.50448402534837,30.076380392548458,30.879163063313552,31.87398055749185,32.95956073396843,33.97340728205006,34.720861206830975,35.03637324350429,34.846378641204005,34.2000591946707,33.2577511637821,32.24676399279287,31.399168850488365,30.889696494915334,30.787070543070268,31.03139199044763,31.453511300687328,31.838463689711542,32.00517931160505,31.86246027298327,31.420054235569076,30.762060414306067,30.005693889364135,29.267362781610643,28.64610870960651,28.219607305753463,28.04038612214992,28.126742789471546,28.457012054683698,28.97978005211659,29.63973459955996,30.403531629802465,31.271476435427697,32.27298497801505,33.44917273094713,34.822142318184525,36.35477754533037,37.9193750619778,39.30724240513749,40.30212917905441,40.797489513132405,40.88832627816869,40.86178998465872,41.064570005260656,41.707510628310125,42.7175226788206,43.740481480478046,44.339939156673736,44.28822355446381,43.705040643998245,42.90912816392053,42.14834687687169,41.44691474869873,40.63436705235177,39.54238260741337,38.24538692957814,37.08904062723272,36.454165232363955,36.48610557931822,36.988793746787074,37.52249915324193,37.650322994627366,37.18625140853271,36.27347494070362,35.26858333165363,34.55849888703687,34.411010033659984,34.87354664269058,35.74756195152476,36.68728099460723,37.37975875863316,37.687957556413885,37.68372770935493,37.577234657619236,37.602948619399235,37.94156678725104,38.69636779872327,39.84843233088218,41.17423985862497,42.26060914822218,0.0
7kg_10bpm,11AB,12.525059512529781,38.55519498798939,36.30696324239458,35.70609873014841,36.640698210779746,38.56136096810349,40.79846586362764,42.66363651229031,43.58122023922957,43.254439847999514,41.72759541074371,39.307493273739226,36.45609490368627,33.666089753073095,31.325903766580247,29.65104162899715,28.65848081160962,28.211118939190733,28.112852662044766,28.20251399030604,28.401595250235207,28.700235445721653,29.110075027583644,29.62578251155759,30.21339385289915,30.818362723801137,31.382146550334006,31.856869306795577,32.21432838897738,32.44852811014188,32.56319601480397,32.56239379893702,32.45067282209149,32.23666788284453,31.936981684206383,31.57563152272241,31.179345723171796,30.7756440184959,30.398378268288273,30.095987050854106,29.932192930271032,29.972391545466852,30.260122101514938,30.796962236437263,31.52481282943259,32.33043957820606,33.08210074198288,33.67453598717565,34.07814234242666,34.3620059900247,34.671972163393406,35.17480864352561,35.99677715678052,37.17397551670016,38.61468626557722,40.090754284468694,41.29397885465463,41.96308387762937,42.0139925906636,41.58435694672734,40.98877658630451,40.57361623029626,40.54568415041503,40.829298954109355,41.093767665511464,41.06148454105295,40.76464231095694,40.43885002254116,40.255274338930434,40.188992715031226,40.03307879292929,39.57783213022818,38.86003347396594,38.16190362633077,37.74834588718954,37.66819420484652,37.73151853223068,37.62578056528245,37.093597816983475,36.08435824022208,34.79589576476331,33.5766237160059,32.78910892935676,32.701872838785405,33.38198667352031,34.60570557808577,35.91601782415623,36.850070626063584,37.16935169571246,36.93735329045973,36.417573736780334,35.90195409984265,35.589875795936294,35.57313504800938,35.89445995213654,36.56681073532582,37.56275546027554,38.815903184397136,40.22479196881946,41.636992958239176,42.83280157989351
