cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,4.75944864125018,45.85790556594495,43.7200883110419,41.658320149734585,40.1712682158451,39.41741859788005,39.381114975528874,39.7732616207712,40.282003063144195,40.59070467319931,40.524394800484174,39.95313167553716,38.87470010788691,37.42386340170128,35.74170604118431,34.06273295278943,32.55420342244227,31.355943798542885,30.47775170670583,29.925273513921713,29.603444197646237,29.434439477290947,29.353181879733935,29.307731671600155,29.28364664594618,29.28459987916746,29.321232660490388,29.413500716992317,29.559142199074234,29.760132952068634,30.009247485582783,30.2947903797051,30.609985460775935,30.94059598035288,31.276046536431956,31.60357431393243,31.917464071701474,32.212683522913736,32.49835739128261,32.788869874169166,33.10447008042589,33.463332397172934,33.87734696062766,34.342818033024656,34.84210592995746,35.34091478811885,35.80114691682216,36.176098988060424,36.42104129545028,36.52092578358223,36.437337957943264,36.20302709059533,35.840087755511966,35.39737270783067,34.94011492247984,34.53062950062455,34.21598821229232,34.0178311239691,33.94582189805702,33.96129166303695,34.035158447212666,34.126465231979324,34.211474984701056,34.275354794981716,34.32610191284224,34.37516787038826,34.4398518566603,34.528944655849934,34.64498664076258,34.772344215758466,34.89069539043111,34.9708295251763,34.99569539462933,34.940493729786766,34.805599309178696,34.59553155202823,34.31738110529565,33.99851589459835,33.65784221733307,33.32544762801124,33.03100983227516,32.82106651067478,32.72114428779458,32.762656419744346,32.96689745775192,33.34873160034135,33.98808432020244,34.919127450776216,36.15707347884121,37.57676113292462,38.963722015729545,40.012714954857785,40.57138289630105,40.6170323587268,40.25227404921764,39.750003352254126,39.331973294918164,39.176758845454835,39.62291466410699,9.331851985572284e-05,0.0
7kg_10bpm,2BC,42.74672175929495,41.739410487321265,40.814427894621566,40.15955513703045,39.96839029428158,40.18572339245716,40.772054993030466,41.513002434467474,42.18767204720842,42.599484461044256,42.58257708409668,42.07128177209176,41.11008487491918,39.77495467832175,38.24784619452137,36.67574045900211,35.198617089757704,33.94987358764619,32.93116001619995,32.18482499958011,31.635400737321724,31.24746163075971,30.95452499712915,30.7138060676542,30.49277859585474,30.270878638304602,30.03747309142928,29.791121800595114,29.53461424828557,29.279885448089228,29.04614815063855,28.84977768198724,28.723864788786457,28.67854712390423,28.741066932683754,28.90993077800479,29.1863574451426,29.550439010722652,29.971242007313318,30.4105538822056,30.829018804295607,31.186593509272797,31.474349282431774,31.672363939439066,31.812501520494635,31.907687989241257,31.998397867110395,32.11375609102997,32.27388728807937,32.49265353553206,32.766774421289846,33.08553045252797,33.43158822416128,33.78354969389238,34.11984210619606,34.428041347680086,34.69205184003514,34.919987801938206,35.11168161243685,35.285669493795496,35.450727096990086,35.61388281175501,35.77240400294307,35.91984177604381,36.04661203851149,36.147067303946095,36.2213438972716,36.27037305711116,36.30205946008697,36.31719281891719,36.31753036313561,36.28862673713615,36.221945218420515,36.091153078854234,35.899654192558486,35.653061950422995,35.3902576418334,35.168895797180895,35.05207814083338,35.09647235662611,35.34595403078335,35.786964919352585,36.40682594422794,37.11881033630804,37.83597117766671,38.46320349784083,38.86738233799699,39.0192708726279,38.85556851397509,38.438994285518916,37.848565715843634,37.223723813805876,36.73072041111884,36.54791982211245,36.81976303555129,37.738238456969114,39.30532828403032,41.60962440320635,44.75665441625411,-0.0020353828044242855,0.0
7kg_10bpm,3BC,46.03714723595389,44.79272978632303,43.53736420776957,42.51991814222619,41.971436456541824,41.87259127710709,42.223416478465865,42.77815476588824,43.29483522424893,43.56253484708202,43.32314374543678,42.59257491064893,41.30333463918643,39.66189599579292,37.80285304353116,35.944733549772884,34.27828170071237,32.89048901783368,31.880321570572047,31.18680057911251,30.78172644318963,30.545238762478913,30.396660431313826,30.25565432319997,30.071838460750126,29.8337134847553,29.54371263967214,29.230186351482896,28.92562554468884,28.661601422866312,28.472690482527025,28.374509009073076,28.385528884083477,28.501545964997543,28.72185293908668,29.03186454305215,29.418843920785577,29.863793376959475,30.342400368176886,30.830796249436172,31.29928120338935,31.730583364312608,32.109924847260174,32.44097097666565,32.73423346318223,33.009805638975116,33.28884425929286,33.5874383400045,33.913808302785114,34.26550634977266,34.63036502924247,34.99126913190126,35.326476124080486,35.614898950105434,35.83764055054411,35.97990886880228,36.04116711816425,36.03097292568741,35.97970857529331,35.922232529894465,35.89518748668703,35.923587859223154,36.01176005828179,36.15107040767256,36.31216543318257,36.459261483736654,36.55240303118054,36.55051734699211,36.43568571089412,36.19120490751741,35.83629069651489,35.385768234840924,34.885501274833054,34.386675896787416,33.958976815520636,33.69179000029479,33.64216105000854,33.89085406037372,34.43412170367534,35.30686069888423,36.43168946655089,37.716879365658,38.9714419291006,39.924035225290744,40.41672114316104,40.24499932780797,39.54578549282035,38.44268359948666,37.285900684662856,36.41040523341429,36.00841302439265,36.32924133089441,37.27514657526757,38.909999847915536,40.993811422431776,43.42749649111815,46.000765059767666,23.535753738560274,-3.9181070096318876e-07,5.664166782660598e-16,0.0
7kg_10bpm,4BC,45.84617115364605,43.64943464155492,41.936048691149,40.970133214773895,40.71283595632632,41.10705951705202,41.83140100283133,42.65280424993293,43.33652810114553,43.631127054162896,43.49393891931497,42.776358973508046,41.607407284052684,40.03876042840741,38.27974614510016,36.503190692992234,34.861312728245466,33.47698090185892,32.37205849705455,31.545359377129337,30.932470115473365,30.470318019596302,30.09664622453097,29.76595619036874,29.452341725761965,29.14232321488367,28.83317109929849,28.529481695340117,28.24371993607672,27.99460366531648,27.814777931740807,27.73066866735637,27.79009682967384,28.00040880959075,28.394453572685606,28.932107530765034,29.59435408049425,30.307905519369978,30.99914582295454,31.61582529521785,32.07276693015707,32.37504410307613,32.476422693239655,32.42779955644799,32.23499274966855,31.960166354780117,31.638422933425176,31.319181309844677,31.043073702021385,30.843081481281803,30.756605501444827,30.80589001292718,31.020176309532122,31.41175545000541,31.98689481899841,32.734457605201044,33.61734000348913,34.58561198868904,35.56583849398937,36.480085840528055,37.26189593209052,37.83701092106115,38.191717469989115,38.29274708168806,38.200658036511946,37.94943263681113,37.6394020901252,37.34955283360828,37.13624496325454,37.052116611501376,37.062755647953246,37.13073640971989,37.16942523302369,37.066413094188974,36.77351630084707,36.222683228481905,35.479953847002605,34.63075772394943,33.83140624144475,33.264127677822756,33.042790653116036,33.27350018121783,33.935034872015805,34.96609203966815,36.21482321589898,37.47287570685231,38.52508559436666,39.19057065314817,39.36909280901549,39.11823867262785,38.57656495861569,38.02493130477036,37.79593906545632,38.185171011134855,39.52162467235324,41.780706715708064,44.92106450953851,48.498566222942706,24.38341342474642,-6.007287753935096e-07,0.0
7kg_10bpm,5BC,44.96907162247033,43.1225112809289,41.665982073945486,40.84550616613937,40.628719070208525,40.981112516924824,41.626202038791625,42.344423726250014,42.907924491044284,43.073311606618894,42.805527519375,42.001145033171156,40.80872288629931,39.31987362322277,37.74459693363762,36.24972261832297,34.963096364748125,33.96742057748807,33.24442598492028,32.744249092416425,32.36760141914998,32.0335130866668,31.68513312478238,31.306195918994508,30.90716616962434,30.509748997294786,30.134755334431983,29.789479758879423,29.474676784994198,29.18146334601982,28.904864480837613,28.6475268826169,28.43236030290785,28.2857668673436,28.265887258212242,28.386724567125345,28.697336322159117,29.160490967586593,29.76996885882362,30.452897740115773,31.150251848265793,31.79675604171223,32.32154933112536,32.69892511168408,32.893247938228185,32.93145199845887,32.836201854285335,32.673895588578425,32.50456628533573,32.39294749624476,32.384036322072106,32.50176078201655,32.744439783785594,33.09405469629746,33.51577889757712,33.97014942310492,34.41607163242428,34.810715667290005,35.13121398201465,35.347736212444865,35.46730159080878,35.47722949777452,35.40718131710086,35.26433075183722,35.0909777640572,34.920743357300886,34.789680136574106,34.7415311367694,34.78023342291265,34.92041164354769,35.12337851196143,35.3501881899948,35.54023390696848,35.626578514527914,35.56981653198399,35.329630744732924,34.92570146431294,34.39538299486656,33.84108180089581,33.390000381883894,33.200323002734095,33.414540927763845,34.1639415695766,35.49083018871961,37.36182342200474,39.57435441753652,41.78390875514489,43.62998173156918,44.69982309659053,44.942419237201555,44.38489830177616,43.530607246841555,42.95475565978582,43.133170284170916,22.27975224499133,-4.859250158045019e-07,1.879768357877801e-15,-4.764013192175979e-24,9.084896131195014e-33,-1.142815071600164e-41,0.0
7kg_10bpm,6BC,49.72199670937255,46.9367807424279,44.32244425256126,42.44536368689674,41.4565297870543,41.21954397432711,41.36237720652751,41.61988402593026,41.80719003422179,41.82712391851918,41.57600106542717,41.035993894515535,40.13082909062188,38.97072422695916,37.622839983883715,36.23358835765327,34.91526790237514,33.7645681915542,32.81203944875269,32.09350456779784,31.552456276994974,31.170511802574786,30.870682796905022,30.60356220210976,30.316060789211736,29.977944085018798,29.57257912407238,29.11916903237415,28.6494977279383,28.218446690591144,27.89219871713746,27.72048257634848,27.740892374085487,27.965397812424477,28.356083931349698,28.874870378172936,29.438803431091774,29.976044873988318,30.42990673089984,30.756829821326917,30.948925860970387,31.026798036723086,31.022014306871608,30.987004453552334,30.961164737681944,30.97090570368234,31.02559447843234,31.114036746356117,31.22026185420669,31.330096672502194,31.443026988574914,31.576478737526987,31.75467478449217,32.019501318006235,32.38715108245494,32.87341793012682,33.46434683483037,34.12753405115112,34.81909857675497,35.49217447574446,36.092444771716984,36.6010351893298,36.99044108711248,37.264393225848046,37.42828288942841,37.49240323797907,37.481588021862315,37.40703029490657,37.299099560779865,37.1721186290619,37.04131514427926,36.91005787312426,36.773530175742025,36.62321904626959,36.447830740414936,36.249622576738716,36.03552020270611,35.83100875026698,35.66907474094863,35.585270647064604,35.611819920995835,35.781165687143755,36.089288403408005,36.53695928223773,37.05780502558353,37.576991209729755,38.00681764136632,38.274041218658084,38.3519839238141,38.28049995174497,38.15040309086657,38.112273733960166,38.42958795018556,39.301201059781434,40.96553093235901,43.385444357952615,46.30973709577588,29.020456601203772,1.5764243791965573e-06,2.1454976646293595e-15,0.0
7kg_10bpm,7BC,48.86445849215617,47.542229488907715,45.72553648956168,43.81331163255801,42.25446337441298,41.259890627367376,40.86309724107806,40.89920331084659,41.0536464268246,41.03761749028823,40.608933561000946,39.72381780097487,38.41327038355551,36.87139381068327,35.31042909496745,33.934473003379146,32.8644599656847,32.11489995616312,31.64689511189163,31.30690671882536,30.973243211682075,30.53559924025211,29.977932649816033,29.324326546286414,28.642516496488962,28.01801753238793,27.525900176409454,27.240028848013736,27.17789859074184,27.362169734905653,27.784548807931134,28.404622834877244,29.19527341079752,30.096629118963218,31.044351050538197,31.96707133458042,32.801487931497775,33.514008917704565,34.06837434184868,34.49175660356162,34.809558434139674,35.0347319185931,35.19842818173408,35.29885221070692,35.312424810108844,35.23705434262158,35.06482402668823,34.811087979942975,34.524697475776826,34.25920517859579,34.078919680647175,34.01990240123999,34.10753516106485,34.318163191178606,34.59558406995101,34.86311812825648,35.04752249884798,35.118698571600504,35.07364611353521,34.98065777958725,34.90595018492572,34.93205009511919,35.09600139970704,35.4131900951134,35.867770639338595,36.37096616452684,36.82464945338316,37.09826451651937,37.12152263163338,36.83938107703315,36.27040652506186,35.51378085975111,34.68598835904463,33.94772729505737,33.414744879277706,33.1960887863692,33.29146393559056,33.64146607478549,34.160938027891305,34.71585958118294,35.22991629607311,35.6603339606181,36.04821664451762,36.43993529477043,36.87228584018405,37.3195161616068,37.70678902754511,37.91463394148286,37.89209413777072,37.63923483035433,37.28702067417231,37.052567109479526,37.220505846052276,20.94916875441719,1.8007391063034391e-19,1.1004618157645472e-16,-1.0761972206014595e-41,-1.4699613274400441e-35,8.55664600705907e-61,1.9635268332028647e-54,0.0
7kg_10bpm,8BC,46.15174533460342,45.489170627762206,44.47404195946008,43.38248321829048,42.508809335891,42.01345929245574,41.8691974019536,41.933833301533525,41.96370152277528,41.75854663563246,41.182688293362745,40.17177619799599,38.83933895568545,37.31423565825763,35.76488683069365,34.34809507106108,33.151464342235904,32.23079128467556,31.558586716119095,31.07391707396384,30.714532307162585,30.409856206451497,30.109473215174162,29.788183983592685,29.439616263113702,29.082975756076415,28.743981181117466,28.4593925375383,28.250186406279393,28.12501688730361,28.086943098853364,28.128801413115117,28.248297496675683,28.456984165645594,28.776254853821868,29.215393699899327,29.778762507033242,30.45895389043563,31.204703917876614,31.963988143082734,32.667658370375044,33.26427692503469,33.72780820323138,34.04257004076382,34.226523035992976,34.31589908993916,34.34035448517489,34.331245543479376,34.315442843809585,34.30602316115033,34.30939233362628,34.3213406498153,34.33374596930243,34.333422431315874,34.30958640921234,34.25841755459272,34.18258815668633,34.10279161173799,34.053318019159434,34.076492175963715,34.22920258944421,34.5314610953579,34.98778491978532,35.58225249208596,36.2342421700096,36.86006260869701,37.354360201498416,37.63103481809654,37.65396092721443,37.40884357247766,36.93380231172,36.314626327395395,35.62803888118725,34.96139286686911,34.38188369293162,33.935463958646515,33.670574055077715,33.58936345546464,33.68562481771236,33.948730544888704,34.34201055399514,34.822942141798784,35.35817368418834,35.90745127198936,36.430596621148716,36.8815883641496,37.18050809139436,37.297918087782726,37.22587872112521,37.00812276426199,36.78972023529787,36.74010261975275,37.07588959758312,38.007212610212534,39.629002419644586,41.94523192934183,44.75910225767444,47.65546343244253,50.24910311739768,52.10779867701953,0.0
7kg_10bpm,9BC,41.40041990392693,40.058080773835314,39.27429262578408,39.12448490908614,39.57524476185469,40.451701309807376,41.439937943003336,42.21972578017047,42.51359895487278,42.15284468567537,41.08908515529197,39.525440048728406,37.71603388013761,35.93448576528146,34.4047503701558,33.27597497414365,32.54677701119081,32.1308343637203,31.90084830536015,31.724561983033237,31.498972854757902,31.180665290413557,30.79651200639592,30.40816938056228,30.08658021074465,29.887503030680037,29.843584629286855,29.93939547928325,30.14928617558877,30.439978623644894,30.777686552208085,31.131478291882427,31.475103494288756,31.79230516733746,32.07420285917945,32.31910066806345,32.53142419651514,32.72585448005328,32.91872223915126,33.12004392545682,33.32922001383363,33.53240195427629,33.70235740912541,33.8153375713892,33.857585583963555,33.834221210274386,33.77142721556942,33.71136283102811,33.6995599573971,33.758109456134235,33.8818467677065,34.041475706162636,34.19177698902599,34.28729875652035,34.30082633403172,34.229552489826645,34.100715592911286,33.96734859627187,33.889519516537746,33.89572878422667,33.97838676357239,34.10866135824897,34.25626324275489,34.40064278733597,34.54042078102916,34.690023074164614,34.873806343903794,35.11087488209835,35.394276811345335,35.66892813888302,35.85840743949384,35.894209333216914,35.747751164777966,35.44653795857756,35.08315982167274,34.76242449671934,34.55923263193322,34.50590313312039,34.592111636353486,34.77092329430382,34.9722486526507,35.14512223170463,35.26993744261732,35.36844576131404,35.50546967958979,35.75503356588221,36.155875670577984,36.68510511452631,37.26359612709526,37.785254565059894,38.16909826748079,38.39595460206271,38.52690366737732,38.75468988247563,39.42205396266662,40.86598938363023,43.045820808229735,45.53652193216847,47.73835653750941,49.194800057960606,9.940874260603403
7kg_10bpm,10BC,45.875049835460956,45.190464980000826,44.29895540670178,43.504502857613716,43.008099041317784,42.820537069395705,42.84632508072061,42.883089711001794,42.73113667143222,42.1989696391617,41.24539048446704,39.86586274126428,38.22589155899215,36.50601574135775,34.90633841455599,33.551191906646096,32.50665628801016,31.784316577853094,31.291899586220403,30.95932369503241,30.70228157342144,30.46796231130071,30.227025465778716,29.96563788353965,29.678202486585405,29.35861967920184,29.021074365687436,28.686007068170415,28.395414218722614,28.191177074513362,28.1286115638544,28.240092936323535,28.53039868382374,29.0128782637249,29.630874491107313,30.33960219877411,31.07617311150533,31.783089693382493,32.41337442368402,32.93950013992981,33.36503324088291,33.689724466581175,33.94644014230065,34.16101636061256,34.350342259279344,34.53217578888935,34.703407507116154,34.84765835335335,34.94872128515287,34.977653320005516,34.91971720328959,34.775595282792914,34.543884045254465,34.26353098620646,33.96998266490545,33.71448092166721,33.53729111858853,33.477335133382596,33.555772037703996,33.76185367053517,34.08656672456516,34.47782491526604,34.884109025149236,35.235807257346465,35.48545926004045,35.59622392139581,35.558046255107925,35.413324283721444,35.20939643509377,35.01760254917592,34.88577140003264,34.85313656775108,34.90168481893922,34.99933247577382,35.085875163626035,35.1025676627742,34.99137241197718,34.719356755083425,34.311277565142866,33.82271560097429,33.38338704926457,33.11800332308732,33.201094708095084,33.664623725708374,34.52806101457471,35.722981588908766,37.07264219359822,38.385862336981546,39.44962878613831,40.155958032595805,40.42642197890043,40.41969188759462,40.33279286563927,40.460776943937056,41.015662058327074,42.14212651613601,43.8088328567252,45.80201393084057,47.8706114229189,0.005174128551112623,0.0
