cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-87.24875628,-84.89915888730091,-81.6855569153695,-78.2304167153494,-75.26672785574523,-73.48304755275923,-73.2764394253477,-74.58060712963629,-76.95950577916648,-79.70751562796346,-82.07888444059955,-83.49568716487845,-83.67126923724068,-82.61750386395947,-80.55452791948817,-77.78674666749397,-74.58092494910673,-71.12469301618955,-67.53468889661853,-63.90351895209821,-60.366741923378356,-57.12704390139878,-54.434613904870744,-52.53273369258637,-51.59190437226771,-51.65831495998437,-52.627665567582184,-54.26829302054009,-56.266925995577225,-58.29677129519686,-60.117853382340776,-61.59172289305312,-62.67587672662453,-63.39187255114613,-63.79303098762072,-63.94684391897975,-63.93361286399546,-63.84913768271244,-63.79616937274649,-63.865468016502476,-64.09638972186788,-64.46609536662086,-64.90660076846487,-65.33786664452673,-65.71053949091494,-66.03551243448211,-66.38750946236766,-66.87945027435043,-67.61646870314937,-68.64482532180394,-69.92740789312077,-71.33076863683266,-72.68757954216835,-73.86531369515865,-74.81864722269628,-75.60551649740022,-76.35621622926487,-77.20948297982241,-78.24614748199444,-79.45074976463471,-80.71575861899562,-81.88306281673893,-82.80134562202986,-83.39720163303795,-83.67614561163896,-83.7160710701093,-83.63202981405217,-83.53475351306095,-83.49353769057029,-83.5139873927285,-83.53813076090117,-83.46906786153762,-83.21100768443945,-82.70832282087109,-81.98415054639075,-81.10709363935932,-80.15801201992315,-79.19377882084304,-78.23723528089148,-77.30414267582815,-76.45301899917102,-75.82448539743449,-75.63364680197672,-76.10049884439495,-77.36006822787668,-79.30071833690012,-81.59082766034012,-83.7498604919489,-85.28022770703157,-85.82323774599237,-85.27978749341705,-83.85888302879445,-82.03995037402345,-80.4575144173862,-79.73054366066997,-80.3302841826283,-82.36419284678543,-85.53568115532363,-89.22002173497556,-0.0002157736290358172,0.0
15kg_10bpm,10BC,0.0,-64.54337764244553,-84.22699012207397,-83.17154499503448,-81.7325527906043,-80.11334432000001,-78.52156970024906,-77.1221507078318,-76.03673654758971,-75.24565696601263,-74.69643361000001,-74.29658430365382,-73.97517088303255,-73.72905572853044,-73.59105455695475,-73.6788885,-74.04260203464001,-74.74933111065027,-75.74824226389718,-76.93550834980205,-78.13708883,-79.18373268526993,-79.85642721328884,-80.11129634515176,-79.84463697978138,-79.16627475000001,-78.1645464510614,-77.00994421743283,-75.84547027314737,-74.78524138688465,-73.85086839000002,-73.03914186663245,-72.27453797477914,-71.51051959135809,-70.73114184168789,-69.96799606000002,-69.29708541064373,-68.78342409650779,-68.50603453286656,-68.43481372873364,-68.55338759,-68.74580618910953,-68.91755174928794,-68.97658287653307,-68.87212168796692,-68.58386177000001,-68.15263913826803,-67.61394830908571,-67.04447028084167,-66.50782060026461,-66.06137349,-65.76282322178565,-65.65438046241425,-65.75290670244355,-66.07714442480248,-66.57657115,-67.22442380949286,-67.92674737575179,-68.61026831697517,-69.2006093584802,-69.63945525,-69.88561430455596,-69.94064647732596,-69.79434117372202,-69.50881543041878,-69.12641366,-68.74532092300824,-68.4653965947855,-68.38563051783026,-68.57464779639443,-69.06674719000002,-69.78768551953944,-70.63087458171402,-71.40799951038258,-71.90034291601623,-71.97953778,-71.54766406895742,-70.6709704601167,-69.54490039254108,-68.50709575172974,-67.90225021,-68.27391778528165,-69.75115368307888,-72.59096726404155,-76.52777500018804,-81.18624654,-85.88332235756292,-89.96009402291838,-92.62732050373248,-93.75179520447628,-93.04725985,-91.17084133664665,-88.69303138913628,-86.50065662341531,-85.2871281132483,-85.60816510000001,-88.14259038144576,-0.0008419341102442587,1.0769432109034597e-12,1.9465964428599866e-21,0.0
15kg_10bpm,10CA,0.0,-0.12967246228795248,-79.71075399026573,-78.15196502573411,-78.32223420541705,-80.50918814102985,-84.45016530130204,-89.40027953316395,-94.37621355149145,-98.45928474194109,-101.04770801028084,-101.95305661729196,-101.40951473120936,-99.95420840586829,-98.12504545779076,-96.32705460380359,-94.7455025385791,-93.37904908851056,-92.13640578131246,-90.91715890684252,-89.62734456335858,-88.13825311543951,-86.26990061174408,-83.83969073427374,-80.74186357757404,-77.0376038133834,-72.96685245615586,-68.87314911145432,-65.07834716364057,-61.78653541814766,-59.07320830116715,-56.97836121132921,-55.552464779365856,-54.906198112817734,-55.109661324305115,-56.05324919470382,-57.368493827416714,-58.49296091428221,-58.88483294775142,-58.29332852509963,-56.92482380633022,-55.42472908788689,-54.5838524457732,-54.972614274545954,-56.720785483017515,-59.49580746562576,-62.657198490240276,-65.48941079932315,-67.40582108063157,-68.08359264045049,-67.4881947819238,-65.92102443953111,-63.920444338660715,-62.078788001715274,-60.88511916495153,-60.57256799881028,-61.075297346448906,-62.11813458115913,-63.38742653863627,-64.68148860297211,-65.96004807154414,-67.28034601889321,-68.67517358988195,-70.08439970457877,-71.37221102602501,-72.40635360653283,-73.13590756943516,-73.6143889894266,-73.95789488689857,-74.27024388721905,-74.57980107390378,-74.81955468314868,-74.86244329100856,-74.58586939456333,-73.94611733116359,-73.03828688174211,-72.1107337231649,-71.5123577358534,-71.57258785514172,-72.47135485902191,-74.10816442652428,-76.0805547324193,-77.84015381994246,-78.8502519100415,-78.76586830450654,-77.54830209402846,-75.48763948682634,-73.14280983825327,-71.22062301772705,-70.44647622149725,-71.2825306481519,-73.7070177302928,-77.15048693896536,-80.58881406862292,-82.92204357981119,-83.45750598094916,-82.23427071132568,-79.96692600395684,-77.6199980447252,-75.8783386833284,-59.79174174
15kg_10bpm,11AB,-79.93395633,-80.62278550353088,-80.89428233217137,-80.40723342690927,-79.10149752595147,-77.28968926919305,-75.57669389378738,-74.6550534188187,-74.97174641014213,-76.51972588220973,-78.85492582012274,-81.24479187670883,-82.94641908888322,-83.46468564044568,-82.69063143595409,-80.87811301642543,-78.4871952463894,-75.97394321021059,-73.61716484621165,-71.44935837253388,-69.30722903,-66.96618541645498,-64.27676558993724,-61.26222681444385,-58.10798210445598,-55.06906352709229,-52.390170100260214,-50.25506318202798,-48.78938372869035,-48.09117253073916,-48.24909189816848,-49.32083225292319,-51.274764653856664,-53.932458069029686,-56.96004429459988,-59.932900357886666,-62.4636928531461,-64.3237247658311,-65.52520372513631,-66.30996447974617,-66.99484697000001,-67.825662320298,-68.87157360022753,-70.00664012545934,-70.98573145163395,-71.57102409974887,-71.64946035818134,-71.291776809186,-70.73420289319915,-70.29503192097776,-70.26162042963165,-70.78689111566113,-71.84272413035895,-73.23393010187215,-74.66857622838145,-75.89382594352698,-76.7812172040937,-77.35497040535407,-77.7504031490988,-78.11753328574709,-78.52076468000001,-78.88406498169564,-79.01277805991329,-78.68812124490371,-77.79764047332387,-76.44503127094033,-74.98324390275226,-73.92778850405246,-73.78932856483698,-74.84400124571039,-76.96826714810975,-79.71405855149672,-82.45673663496409,-84.59812143572232,-85.74093235799769,-85.76725864050297,-84.81685134093924,-83.19222381356785,-81.24618694750724,-79.30466343804265,-77.65216961000002,-76.5661485697825,-76.34755897094801,-77.30936826740823,-79.66212038714013,-83.27108463409779,-87.53880167928402,-91.42158370962112,-93.65479305682805,-93.20870937253673,-89.77099059354548,-84.03599413292068,-77.61017678142525,-72.52440766352221,-70.5379755830659,-72.52757205517244,-78.20262034249961,-86.21533353171758,-94.6205947676981,-101.40035418023595,-105.06532629
15kg_10bpm,11BC,-90.04276552,-87.9737672420769,-84.97449023286791,-81.42087292984405,-77.81728981553388,-74.66989712591597,-72.36989956096023,-71.1580343390393,-70.90816212330746,-71.4760844726144,-72.45259315833987,-73.50164709306961,-74.31620438698037,-74.80208268491684,-74.96900304374527,-74.9545440232341,-74.94141239279193,-75.07503832767875,-75.40902148143704,-75.8983154148787,-76.44483648270413,-76.9150130973698,-77.21878512624541,-77.306093776758,-77.2229547683175,-77.0185298098955,-76.76446313492241,-76.49380165723122,-76.19401207751238,-75.8256922408513,-75.3440338874958,-74.71450454465486,-73.97105273526539,-73.16275432421662,-72.37527438926982,-71.66931139750898,-71.0940816929502,-70.61762212796675,-70.18541998069715,-69.70416716716926,-69.10223559897935,-68.32589406321348,-67.3866064973195,-66.35685179501512,-65.34615623682114,-64.48313536761165,-63.865000089974856,-63.59377429676966,-63.6364722750483,-63.97618672691982,-64.53605773473157,-65.2287096158395,-66.00185656273925,-66.80958350059355,-67.63711219782945,-68.47793781006085,-69.31565581270608,-70.11893812463163,-70.83145321359987,-71.40571418525505,-71.77282278792613,-71.92258195375531,-71.8729978672023,-71.65471273799841,-71.36572507209905,-71.0818108613886,-70.88565564731684,-70.81752653974976,-70.91429463697806,-71.16312754462565,-71.53949505879531,-72.0288564265795,-72.5856767186851,-73.18263795120353,-73.77308146928931,-74.29688131424655,-74.65251948282919,-74.72310961411317,-74.41984464883946,-73.60303910095952,-72.37000948723627,-70.86475264414243,-69.44552336877662,-68.53360944444631,-68.6484811862492,-70.11811844611269,-72.92840335768777,-76.96626205676849,-81.46191989744044,-85.70813796785993,-88.84834833474584,-90.55309666027016,-90.67582259681072,-89.71994023031762,-88.43210643092577,-87.69877855291277,-88.08994402313459,-89.82183284003416,-42.09429017823972,-2.1935559859594477e-07,0.0
15kg_10bpm,11CA,0.0,-18.343755062278788,-70.97018649789541,-69.39068916589784,-69.50422726361265,-71.06197397645403,-73.64032268260078,-76.83997957094827,-80.42479212686466,-84.30441543634028,-88.40148908906679,-92.51799717265745,-96.29083800809656,-99.26532760088548,-101.04456556829892,-101.43596124067818,-100.52107111578906,-98.62096699423688,-96.18314717959244,-93.64585646952152,-91.33384631567282,-89.41387541596542,-87.90524932347635,-86.72263252059116,-85.72778261273844,-84.76814334,-83.69858519161554,-82.40131647372557,-80.80049377355652,-78.87407502730534,-76.6688866860275,-74.30021817641153,-71.9238769689998,-69.68736859230675,-67.67904341198324,-65.90033187686383,-64.27783310721424,-62.71247642011508,-61.14403986056073,-59.59939310263521,-58.197678990017536,-57.10542387368736,-56.45990327536093,-56.30256705314891,-56.56152374328216,-57.083106893671825,-57.705023525903705,-58.32902085604722,-58.93627736841769,-59.55433094977127,-60.20578324000001,-60.87407906582387,-61.506738789106265,-62.04477068644479,-62.45022383047488,-62.712599674233644,-62.83827263112386,-62.841464259814074,-62.749458244947995,-62.61711435462943,-62.53333842740259,-62.6046622923772,-62.91741634759034,-63.49973109721826,-64.301440115475,-65.20801413201166,-66.09747002847544,-66.89640386439675,-67.60137737197071,-68.25963528257444,-68.91916228482661,-69.5826805922418,-70.19742041652394,-70.69055806643254,-71.0329307953906,-71.29402166000001,-71.64968017176004,-72.32248699131706,-73.46869066783103,-75.0602074035237,-76.8260735750392,-78.30741910096235,-79.02006312973026,-78.65935736887987,-77.28946540002714,-75.37363696897758,-73.60031581407192,-72.64150817391639,-72.90326988468345,-74.35853838783453,-76.54141552571564,-78.703762983521,-80.08894616622844,-80.22686207061227,-79.1268138465926,-77.2739013047394,-75.41703838486902,-74.24062743578698,-74.07599508772226,-74.78223596076133,-75.83833316
15kg_10bpm,12AB,0.0,-82.79439757757787,-80.40150351961516,-77.15282152146543,-74.08349125444815,-72.1408218851434,-71.78084436188489,-72.82821104316304,-74.65191883228738,-76.53019144189658,-77.97233440283455,-78.83463738575878,-79.20672869422418,-79.19008344335562,-78.74423070341994,-77.70471160166635,-75.93966712837454,-73.51246199850262,-70.72248404070707,-67.9872671274124,-65.65316488593872,-63.854830118965005,-62.49356512349027,-61.36301040947913,-60.30730201735595,-59.30404684715735,-58.45470676965613,-57.90800855397055,-57.77785994942079,-58.10059830455658,-58.83632231102612,-59.891386192950876,-61.139149173859536,-62.43384439319009,-63.624475942062254,-64.57254538546441,-65.17017946468964,-65.35531835671674,-65.12342324143728,-64.54174761161543,-63.77092681604817,-63.05971045872581,-62.69828658133444,-62.95412507580096,-63.9947267782421,-65.827039044704,-68.28079419400358,-71.03616701015798,-73.68812397105874,-75.83335783618598,-77.15998464000002,-77.5195947918846,-76.96500011654521,-75.74424149647933,-74.25033903944124,-72.93195571387848,-72.1808671057696,-72.23828064971278,-73.1435112804476,-74.73549399795141,-76.74085476556299,-78.87936860611728,-80.91820727751482,-82.67745281922065,-84.00223432325359,-84.7460112730515,-84.80543877781678,-84.19931544178333,-83.13247012073731,-81.97268554871,-81.1152288321872,-80.79109869163743,-80.92914413867166,-81.15920224133258,-80.96660572107463,-79.9228166499329,-77.8882644180123,-75.15489570158313,-72.44619290606823,-70.73050391613964,-70.9385527536754,-73.59623267585948,-78.49754607877755,-84.61217737973928,-90.32534686235773,-93.9742804243939,-94.47713740876617,-91.76293728100278,-86.78783222282264,-81.12066408118945,-76.29766212098798,-73.25663788943785,-72.0984002488225,-72.26352343782939,-73.00115776148024,-73.8646451314356,-75.01490446273566,-77.11403680094126,-80.8599034689746,-86.40643266124813,-65.06430038
15kg_10bpm,12BC,0.0,3.615639525905217e-49,-3.348242571232584e-39,1.2572375458978875e-29,7.853086138587223e-20,-1.486894638321941e-09,-14.186680363484781,-81.55020816175055,-79.79800003339017,-78.5710160524109,-77.80484716538373,-77.31213963126766,-76.83478944457899,-76.22505448342612,-75.44690807708986,-74.58114629640365,-73.80711215135638,-73.29471110935208,-73.19696223168178,-73.59288551412408,-74.40781445859102,-75.5125394198009,-76.7110742623011,-77.76749829224863,-78.51608340295364,-78.86045248,-78.75339765840377,-78.31375850603268,-77.65824762753553,-76.90936099008188,-76.17174316066645,-75.48651544474937,-74.84675434168588,-74.21685410883323,-73.55666404321283,-72.85304570691223,-72.116037655082,-71.37241338307736,-70.64437442733566,-69.93027618207164,-69.20630455053215,-68.43223364108562,-67.59056161053418,-66.69635011172102,-65.8119318700506,-65.04543108430184,-64.49718451198049,-64.24155445293549,-64.33418668660858,-64.70530599186361,-65.27506801,-65.95455148937053,-66.66173211078724,-67.3507510271015,-68.0066968784673,-68.6216939897299,-69.18090790857593,-69.65546028179396,-70.00688891497965,-70.18280683099027,-70.1836373632624,-70.02939222731067,-69.76317320718097,-69.45383205489892,-69.17579701837634,-68.98635197053085,-68.93644910731557,-69.04741272079352,-69.30849953109619,-69.69456856757778,-70.16956366239755,-70.67976522202547,-71.1949641152116,-71.7028067645073,-72.20492245159312,-72.69681896000002,-73.14555129114432,-73.47056509806528,-73.55850242144227,-73.3349855896777,-72.79306647505399,-72.04692759711531,-71.41895626530062,-71.28748065967525,-72.0443078545754,-74.02790890218232,-77.08468030895678,-80.85424361599662,-84.70789880186074,-87.86228152471011,-89.8263339478786,-90.45066008638466,-89.93033770757333,-89.01349413546936,0.05289536123182234,-8.082813728940555e-12,4.268966396106836e-22,6.834389360632968e-32,-1.8201169286030718e-41,1.96547489281918e-51,0.0
15kg_10bpm,13AB,-85.54710214,-82.38468635791044,-78.77316166431267,-75.50910975632979,-73.17463335754806,-72.06199213464421,-72.16930762450184,-73.24321599315711,-74.86931299592588,-76.59281028433568,-78.04781316364,-79.0567930262549,-79.6448347975324,-79.94538525079143,-80.04901458252205,-79.8920411368972,-79.2602200018893,-77.90721607600123,-75.70941701983882,-72.75493688804868,-69.31414939662474,-65.72478495804407,-62.280539620345266,-59.195838266651805,-56.64851775325424,-54.8380569117063,-53.98899908742689,-54.2779742448729,-55.72684044656473,-58.13246662739823,-61.07585232478114,-64.00706825092938,-66.38613149168354,-67.83018562019632,-68.20070454383404,-67.61188839997244,-66.37892087885604,-64.92166198708111,-63.647459973888076,-62.84937429532784,-62.64907763422758,-62.995745385146066,-63.71515784480627,-64.58937055497579,-65.43881675572052,-66.17860328407417,-66.8311883714927,-67.49681114826645,-68.30179064152938,-69.35057412978307,-70.6962728603734,-72.32742283780694,-74.16235792547741,-76.05136457895206,-77.79663719084151,-79.19387668760321,-80.08367666248867,-80.39538697450881,-80.16634532062974,-79.52924496904312,-78.68208577733517,-77.85509846064569,-77.27089532125346,-77.09023171613588,-77.35489498183601,-77.95744056501371,-78.66611961905917,-79.20605572087838,-79.36053714124614,-79.04015362833404,-78.28930560038069,-77.24232847698615,-76.0696683143315,-74.94742082390563,-74.0512684166243,-73.5478466219951,-73.55670133421643,-74.08466554499682,-74.97143350087447,-75.9026180140007,-76.52309081466511,-76.62438790247761,-76.32935034302386,-76.16187920741231,-76.88933724543779,-79.1513384078552,-83.04452589653313,-87.86679260894985,-92.19960227944594,-94.4075954997179,-93.39163133341879,-89.23277722984236,-83.35843587676887,-78.06996643650922,-75.60846215668681,-77.20875462898333,-82.60237105130898,-90.16880682850824,-97.5935047350916,-102.67689173492607,0.0
15kg_10bpm,13BC,-89.37714515,-87.65728922231801,-84.9159949674954,-81.52978415756698,-78.10029987867952,-75.02498248759976,-72.68507016433249,-71.08627009714553,-70.22133461705299,-70.00175806360144,-70.24443619106779,-70.88106958177225,-71.84099366522072,-73.0767746997886,-74.60273072678135,-76.37083162555082,-78.32576279718593,-80.37537655507603,-82.34877883730728,-84.05908697017566,-85.25128854405298,-85.80795819599163,-85.60060348560529,-84.68440792561836,-83.27395190813705,-81.60713130965098,-80.00218020396773,-78.64358920284525,-77.64976192845398,-76.88408623964854,-76.16845184256425,-75.240326981528,-73.94950113710004,-72.21416304482618,-70.12868103236436,-67.90396446165805,-65.79709164363278,-64.05136633097847,-62.79709603210455,-62.173044393276164,-62.05191764303427,-62.33468402692206,-62.86492930307877,-63.4531339315047,-63.96066751312702,-64.27299106422835,-64.35277434699243,-64.16986133203174,-63.78390366374029,-63.27669056465755,-62.76098198500804,-62.36772487555153,-62.208261319036154,-62.40428976771828,-62.956257326241946,-63.87092491594331,-65.07349252244548,-66.4408486370479,-67.85668324028836,-69.19329339289926,-70.37385886273576,-71.31511898684379,-72.03251222398944,-72.53910789352653,-72.8624885383711,-73.07484276053394,-73.22447250804882,-73.37128441473602,-73.55967277935684,-73.8280840804065,-74.18304031722194,-74.60147242738239,-75.0274312135667,-75.36627325667638,-75.51804206982791,-75.34698445231753,-74.8338339369841,-73.98027357371716,-72.9296043160475,-71.93518545832428,-71.35369613484991,-71.54904196256906,-72.72450682351052,-75.11153628639231,-78.3771534280942,-82.1150890108037,-85.6198974502536,-88.22956428064143,-89.36010636314735,-88.717796782562,-86.61449358941867,-83.50901341135605,-80.32960958755889,-77.87368439904333,-77.05863249818306,-78.10653129970424,-81.00234348169553,-85.4729777598414,-90.60556906940629,-13.315349560973711,0.0
