cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-43.02355514,-43.64381649939395,-44.61793170888601,-46.01141821706058,-47.65305353312437,-49.36044866773559,-50.86430398499683,-51.983135846682025,-52.52524673264918,-52.519023246360916,-52.042694519424735,-51.22284994211856,-50.25666852855527,-49.263113116961975,-48.317162737731515,-47.41885532751566,-46.518939002169674,-45.544471002236214,-44.42141910201425,-43.09655479530179,-41.57263077921197,-39.84016383885744,-37.97174274822049,-36.0226627775554,-34.071680298608946,-32.18837609,-30.451025577565183,-28.904097454131044,-27.574295448619516,-26.500243648789183,-25.642867527032454,-24.997279866538182,-24.517420985228856,-24.152134001783793,-23.862601796842213,-23.591720554661258,-23.303086188343332,-22.965411376862214,-22.571814578040957,-22.122008905627315,-21.65041410220617,-21.19773091399081,-20.827080547038126,-20.582440801929764,-20.523789936199176,-20.665429312979395,-20.998679903306495,-21.515330492755588,-22.14618679205499,-22.850227829239767,-23.57868107,-24.305980081609384,-25.024645589522734,-25.74583906543214,-26.484079365893688,-27.248777473900862,-28.030029954207276,-28.800242015533332,-29.517400837055064,-30.141280330619757,-30.629905569218817,-30.99371679201728,-31.24608154921248,-31.445546526327114,-31.648526568628245,-31.915699192884595,-32.26326361622939,-32.688967142014484,-33.14804061418181,-33.584497106576016,-33.92817834036489,-34.15534335851164,-34.264055077488145,-34.30327027379529,-34.359767526238954,-34.54754448999999,-34.95211147158197,-35.61601062499906,-36.540656535114486,-37.59809150130454,-38.63374055800841,-39.440193380949616,-39.879003114598774,-39.78948720513308,-39.27519242267422,-38.44946339889562,-37.56849742386943,-36.86718777324313,-36.59565595426847,-36.78417693389229,-37.39507845484326,-38.26436133436892,-39.15921541679184,-39.86299856204723,-40.2393824893395,-2.143941795011821,-8.196697388830929e-10,-4.584420523944777e-19,-2.1389718025691476e-28,-7.012155256296255e-38,0.0
7kg_10bpm,3CA,-44.0917297,-44.63157119857642,-45.55723411182244,-46.913896826617844,-48.63563604520281,-50.58238942549862,-52.50770330399688,-54.12740226979801,-55.26141235892599,-55.63368230377698,-55.34255880343771,-54.3055731960447,-52.81167112397622,-51.008167543099994,-49.14022610722742,-47.38490243491758,-45.83249188989265,-44.51592624653445,-43.38440093708615,-42.34319756617998,-41.288683630263904,-40.12939693287959,-38.79034924897736,-37.270501304066286,-35.55351280728017,-33.71232173,-31.78509739500258,-29.850679593897613,-27.983897820245478,-26.237303681158327,-24.695060309294597,-23.392733953770012,-22.39553103781126,-21.72001467893084,-21.373417547955224,-21.33690221439301,-21.540344277844497,-21.920865693035662,-22.373520935221567,-22.816331847684726,-23.19006844809138,-23.44139284495384,-23.59487643054675,-23.66322358060188,-23.705587950445345,-23.771112661012125,-23.89244298870986,-24.090439260513353,-24.353481230785953,-24.656622834727987,-24.96627222,-25.25100670313085,-25.489797291002787,-25.683337937084087,-25.83895059772002,-25.98193869310016,-26.13600579761732,-26.315772196381914,-26.537292312912268,-26.79288688224502,-27.083488547839526,-27.40089045469736,-27.75065141338111,-28.140394562039727,-28.58912900790115,-29.112090056298992,-29.717352399445424,-30.402635560978712,-31.1387810811275,-31.886486113604338,-32.59324886634633,-33.18936366496518,-33.653857809794644,-33.932572489653765,-34.073621590328315,-34.10312331,-34.10907671544039,-34.18249776042602,-34.39112328622774,-34.78958415245181,-35.366418398418965,-36.06245549586205,-36.77959212833018,-37.40047265498301,-37.81412654033373,-37.99339373660978,-37.923750516067315,-37.72560330025796,-37.52497922162144,-37.45535044570981,-37.66853103743917,-38.15584995866243,-38.90622677996388,-39.772108512682614,-40.57203310120421,-41.12223870457363,-41.24281487075479,-12.410739257573516,-1.2742943765599961e-07,4.569023426212803e-16,0.0
7kg_10bpm,5CA,-39.14627891,-38.91633642423046,-39.75927013796509,-41.78979393343573,-44.72665634241337,-48.07000110595053,-51.25423727163912,-53.76007815648655,-55.146727755514334,-55.367653161812335,-54.556332121970705,-52.98425881332936,-50.98172803133473,-48.86704876759723,-46.85297178344963,-45.0060670447922,-43.29126731380582,-41.61024580867936,-39.85248069752102,-37.971538529536275,-35.99266650646331,-34.00398879489862,-32.143058382822126,-30.536665506723924,-29.25452906515314,-28.30773332492969,-27.650499576335122,-27.206754168279474,-26.870431935330323,-26.58360984808011,-26.328769005562076,-26.123980127805442,-26.007931593347415,-25.990540066534116,-26.046902476062677,-26.112129536886037,-26.09187203058826,-25.897817906833694,-25.506814786085876,-24.959385074419952,-24.357567758780277,-23.85163343860004,-23.57577008890334,-23.59534192324936,-23.904007077006117,-24.430916164530185,-25.06674355204645,-25.694877095250323,-26.252445720363763,-26.722301331930865,-27.124178172522903,-27.49801627086658,-27.878404315848478,-28.27777113569921,-28.69156998499174,-29.106164548900168,-29.510723730858693,-29.90708863430415,-30.306287902877035,-30.721669215934135,-31.161382927044627,-31.615478277324506,-32.06055554853266,-32.46709636302996,-32.810033447779276,-33.07741503819097,-33.29470207092148,-33.50096150644017,-33.73749375799891,-34.029355025768446,-34.3663373452251,-34.699586319120606,-34.973519960575544,-35.14774190623133,-35.21572111393113,-35.22576803337283,-35.251704125766814,-35.35725950242983,-35.57196998535446,-35.876391551625964,-36.18714931382171,-36.40918694231736,-36.46244525784971,-36.30755161518811,-35.95844072665123,-35.51744389045176,-35.10396761629372,-34.83956565402042,-34.82269088539075,-35.1010475431702,-35.63099528703795,-36.338387716833005,-37.12672485076549,-37.89296471794061,-38.539549243447325,-38.98221437543689,-39.12860364708933,-38.878741712662936,-38.105767280569786,-36.80185436418994,-35.04211263
7kg_10bpm,6CA,-43.6947854,-44.0142642299544,-44.63628299736368,-45.638075496468865,-47.01151021928832,-48.66814903018765,-50.34399210186572,-51.80141494994449,-52.736529635371454,-53.06998870999286,-52.775840845121515,-51.91553783008341,-50.72542699571677,-49.36671308721806,-47.98513635875884,-46.638608256152445,-45.315745567889365,-43.954210325760116,-42.4997091469586,-40.9144071396022,-39.209208309159266,-37.43202060585176,-35.63464272127404,-33.870393561928296,-32.16744182850276,-30.55285312468455,-29.041563308759507,-27.654632988109693,-26.45011720885983,-25.455217084451064,-24.688159090225,-24.173425720374702,-23.83725749678275,-23.614367453084164,-23.422459207255546,-23.190419568366742,-22.889996301423697,-22.53209779944185,-22.17892518847972,-21.902016319676687,-21.786413491425943,-21.860300802746924,-22.139473877553268,-22.594814774948727,-23.15998783766306,-23.781001513440536,-24.403940869380893,-25.002356553346946,-25.565357202624895,-26.09610537271479,-26.59744206,-27.05905630920989,-27.466596821611297,-27.809118920507174,-28.077791763887817,-28.303257831481826,-28.52892346991533,-28.82684515038745,-29.25216586776814,-29.839700962860906,-30.614415184120205,-31.512381200846548,-32.465350956577,-33.36281817277201,-34.11113533517933,-34.634808533412894,-34.887878661710275,-34.925846914452364,-34.81932924571645,-34.697335734798656,-34.67956439628139,-34.864636660695794,-35.28604886918231,-35.884623581408,-36.559148688507825,-37.1451764641433,-37.512552146370886,-37.53457620340649,-37.202030499267096,-36.58144924247819,-35.77359169367543,-34.95978967930332,-34.280248761719804,-33.89868248003342,-33.860159632339574,-34.17341241853383,-34.82205535162299,-35.64678349513491,-36.50501707430289,-37.19487088506952,-37.58403700188222,-37.58389967016304,-37.18477878384425,-36.53681307498245,-35.79613346534746,-35.1501385503082,-34.683191212950305,-34.38710557839923,-34.112390181468015,-33.66810795591547,-32.86058945
7kg_10bpm,7CA,0.0,-40.415232805245125,-40.51225705046433,-41.440771023151264,-43.19789746707578,-45.54495524000001,-48.06067120019239,-50.33334869532244,-52.01363537754707,-52.82717332664916,-52.79071394,-52.03988675390668,-50.77813892865515,-49.219024943976194,-47.54177227047046,-45.852324469999985,-44.18433076254837,-42.538588746384484,-40.90637560245183,-39.286528560481216,-37.693666629999996,-36.15514524036024,-34.707735177171706,-33.39950697054847,-32.2552105381904,-31.29339368,-30.51578364624416,-29.913013810186825,-29.44361807478479,-29.05842522464653,-28.707788819999998,-28.342192413838003,-27.90875102918359,-27.372638861119555,-26.710534384103312,-25.91884721,-25.02015761463277,-24.08496247967865,-23.213021630506535,-22.514763912254477,-22.09231061,-22.03851472551643,-22.33082324143974,-22.90674606731243,-23.661914708388508,-24.475130649999993,-25.23613511844397,-25.88992869802722,-26.42472113003937,-26.85629799107398,-27.2060834,-27.500194576525168,-27.7516629343959,-27.97428719748196,-28.190856146743513,-28.43972562,-28.761957750910216,-29.19607764418676,-29.77107963955828,-30.510467286309915,-31.39238701999999,-32.37225640095133,-33.37843217948342,-34.314617558067944,-35.06491627078707,-35.55647596,-35.75057718048972,-35.65481742343766,-35.30882838846158,-34.809294236919754,-34.24919251000001,-33.71619887187877,-33.295300944926105,-33.08200661928783,-33.13490998769687,-33.49744827999999,-34.17201871879975,-35.11060782934976,-36.165975939062804,-37.15010897127414,-37.86797358,-38.151101876961704,-37.871272248115254,-37.09180331624214,-35.94388130057294,-34.63499784000001,-33.42680416184379,-32.585061027027116,-32.2873452602397,-32.62568788249491,-33.58361131999999,-35.03873140139779,-36.685305586044976,-38.214000755726154,-39.32449812230886,-39.75810019,-39.386749402462435,-38.26873596438672,-36.5429296366339,-33.974632417761036,0.0
7kg_10bpm,8CA,-3.72821681,-35.500946211985436,-34.04571709505145,-33.377101887329154,-33.88566122019941,-35.75125392550216,-38.838250898118744,-42.67844858400591,-46.56772535967444,-49.76033671941502,-51.6980379,-52.18780857978698,-51.44863000503576,-49.982383602530156,-48.36537583624972,-46.987991561744636,-45.93373448978849,-45.04531991492862,-44.08700531244111,-42.912050825199664,-41.53124654999999,-40.06175054606614,-38.613704993151934,-37.205482573372336,-35.76597994940925,-34.21363902049144,-32.54731255078741,-30.87657577736661,-29.37463990778698,-28.16882401593887,-27.265869909999996,-26.565593631774636,-25.933183512970057,-25.29214426093775,-24.668085147370324,-24.15855632660681,-23.8558814253824,-23.780386353444214,-23.870017373116422,-24.029824439384466,-24.202477589999997,-24.407978855557303,-24.72663131444862,-25.229467433901252,-25.90713427639736,-26.65840579265373,-27.331439259647585,-27.805125709794833,-28.05607661351758,-28.16812473990715,-28.27720917,-28.487705962011354,-28.815118683364183,-29.192270964962056,-29.533343483391864,-29.811203505458412,-30.09266975073009,-30.507067903350347,-31.151009118364385,-32.01625469814478,-32.97609331999999,-33.839163446722296,-34.43947148388037,-34.706420738457346,-34.68216158651202,-34.48781750040838,-34.266751657508735,-34.1355954984784,-34.160393942923875,-34.35742553864842,-34.710949420000006,-35.186317250896685,-35.72964483894154,-36.26391200277232,-36.682460944611776,-36.86569676615332,-36.72487083461228,-36.25288274437734,-35.549807551236555,-34.799129299276146,-34.20096727999999,-33.89556112301363,-33.91605853381257,-34.18867527481094,-34.57538221288844,-34.9242128662048,-35.11483856490486,-35.0875471628886,-34.84815728640934,-34.4757680009837,-34.115578590000005,-33.94740296099083,-34.12774043221214,-34.72293960256846,-35.665176406349815,-36.756292989466424,-37.719979653145266,-38.27926703911393,-38.22729792650263,-37.4586209309105,-36.00577809
7kg_10bpm,9CA,-3.73356319,-36.838018687368155,-37.42302179216742,-39.27949604460645,-42.21219932421638,-45.66426276849209,-48.858308994849864,-51.12513043930483,-52.118525859383716,-51.8808741006791,-50.77589349808757,-49.31292666915103,-47.94526618975358,-46.870908572968666,-46.02777126725105,-45.193304670625196,-44.13468481390892,-42.72161720379368,-41.01592525621055,-39.1655566682467,-37.31425332677965,-35.52243957011926,-33.7499213402003,-31.904524480311217,-29.93858907339397,-27.90262403091083,-25.939997990656156,-24.22428644058276,-22.897541447851804,-21.97330491350075,-21.39586681745267,-21.081250965522273,-20.961196772961173,-21.0002047847661,-21.184861199268575,-21.507696064330826,-21.97063680264671,-22.577940169805764,-23.327834289837163,-24.206399248340638,-25.170378633602446,-26.171310833769628,-27.16370045777315,-28.111334795752278,-28.982338512355113,-29.741221941384044,-30.359986937633366,-30.828803341914774,-31.179447048526484,-31.489176173068483,-31.86108884737098,-32.3654670411059,-33.00004675782172,-33.68673139243531,-34.30612428805426,-34.75165106394514,-34.97415419786154,-35.004167749083834,-34.89532032419409,-34.691691979820824,-34.41910194793671,-34.121388864186116,-33.916643861961255,-33.994204353864845,-34.54094035061893,-35.60927682231692,-37.00426052247893,-38.26127481008008,-38.85435195988902,-38.46007884802425,-37.13858530878555,-35.33349789234545,-33.688305971035525,-32.708981408783806,-32.53425714826427,-32.965574026930554,-33.63533049715047,-34.21731373705267,-34.55724343126154,-34.702444710821986,-34.76581786656774,-34.82537132995935,-34.87600646123424,-34.85139986602656,-34.70333397431892,-34.460782951382164,-34.230681461244494,-34.150752752276745,-34.318800112330784,-34.738754741426575,-35.28541746195905,-35.79087704865479,-36.1187811933312,-36.23581768075341,-36.21640805345586,-36.16713030946787,-36.08163518143118,-35.77920222759192,-34.97358248861258,-33.457210495923384,-31.28832469
7kg_10bpm,10CA,-39.15977276,-39.507768239995755,-40.692931332905836,-42.70497816834486,-45.318131966658775,-48.11400600822668,-50.57988617661998,-52.25163343407908,-52.8551277988617,-52.38532512073092,-51.08450039150571,-49.361159552876316,-47.62007743206911,-46.108165134680746,-44.86945432024782,-43.77647121058134,-42.628543338794806,-41.26235906978094,-39.62434335079291,-37.780294560005665,-35.869651082202545,-34.03572977399023,-32.36756003177698,-30.877076573798185,-29.514473739251898,-28.209175626200143,-26.914843290274067,-25.63910047173414,-24.446894568636345,-23.43083319664558,-22.67443220931627,-22.219813214097226,-22.055650864919826,-22.13086891394034,-22.38050812089542,-22.748433081236428,-23.196267631623954,-23.699652517408207,-24.2414067425468,-24.809659525892684,-25.401031182247884,-26.022744200370376,-26.688373104673918,-27.407696917882788,-28.172552217798316,-28.949420094786237,-29.68425416088033,-30.31424030804852,-30.78700115662819,-31.07864963450144,-31.20324877951452,-31.20973940039594,-31.166934130865606,-31.143444674885753,-31.191535803715837,-31.341466791186136,-31.606618033461473,-31.991984551486983,-32.49607462672784,-33.100784487684365,-33.74824699835227,-34.328744090490815,-34.70454576695289,-34.75772804862329,-34.45597343807037,-33.89913952730438,-33.31486370788657,-32.995785713786354,-33.193712296677504,-34.01017250457672,-35.32878859774783,-36.82491245536276,-38.0613049928323,-38.64261278883995,-38.37422918737876,-37.341815321476716,-35.887966900641906,-34.48412744187726,-33.50992897433594,-33.1242731740893,-33.24513836667308,-33.63189365640407,-34.030458696642455,-34.296487457811885,-34.4418133603321,-34.59068922411061,-34.878910665772125,-35.35401332473105,-35.9298825205595,-36.41817768026861,-36.621178831608184,-36.438247879319015,-35.92786630315194,-35.309105574772424,-34.86014858507463,-34.77454151348258,-35.06010495049203,-35.502758334569286,-35.73620263005431,-35.392200854595174,-34.2712311
7kg_10bpm,11CA,-41.91576525,-41.07015423758497,-40.8151203985244,-41.42782411954634,-42.93127660282017,-45.124659529888206,-47.60775190261386,-49.84256001679504,-51.41820828816913,-52.10297017151687,-51.852738817962184,-50.855277524036524,-49.45440317440875,-47.94127515907769,-46.54006718233218,-45.376935591355725,-44.423723561178,-43.595042948508414,-42.77108181269338,-41.8073337893314,-40.6063845148283,-39.11296496143008,-37.32275650563358,-35.277395973156636,-33.11425757827643,-30.981678607990762,-29.027734492533593,-27.39653047789557,-26.152329073443656,-25.283540832018257,-24.735938852180098,-24.428462079659216,-24.260260641308644,-24.15185843368206,-24.06099313296767,-23.969726685986487,-23.876319599791273,-23.78465600964739,-23.699516352319314,-23.631669854347983,-23.614670645291934,-23.7013947290128,-23.9628298427879,-24.469091417139,-25.287400584926324,-26.37544657234341,-27.63894874591859,-28.932814030754216,-30.070188632294574,-30.90393547759429,-31.37592757903206,-31.510844083933826,-31.408696270563574,-31.242694075822726,-31.165111952520686,-31.2682840751536,-31.57417184743146,-32.01431316445017,-32.45974337814994,-32.78938674680167,-32.909118074584484,-32.76840573630768,-32.41889295813594,-31.9368238118528,-31.419672134481356,-30.978176380409494,-30.689916910834075,-30.600674608878258,-30.727386047591605,-31.073880747605866,-31.593352763396044,-32.238017013810584,-32.95866306055702,-33.70775515248902,-34.44308023574271,-35.13885615897863,-35.77724004540435,-36.3368111126662,-36.782490704845365,-37.06976756666802,-37.142438664416325,-36.949412400004405,-36.47253633623225,-35.79636830904552,-35.050836958742046,-34.410044908791555,-34.08388214226825,-34.16440310643036,-34.64622906178014,-35.41022755320465,-36.230349079406636,-36.84165399349273,-37.07224771437973,-36.86705206305794,-36.292908993065595,-35.57148955040706,-34.915059462360524,-34.46451110898429,-34.25853251733695,-34.19287430200357,-34.10028419
7kg_10bpm,12CA,-41.28586345,-41.550998135290975,-42.32160388281115,-43.62258691755643,-45.343967513663905,-47.30542967959104,-49.23517843063926,-50.84012633868609,-51.9177076475691,-52.35277136141446,-52.10620485830728,-51.3723706752181,-50.33627970889635,-49.19380222889088,-48.11178771826823,-47.15142286706148,-46.295107864467,-45.46786045842504,-44.56480808167202,-43.51121844509399,-42.26242989332799,-40.780762308387935,-39.085783178055465,-37.18759335800535,-35.10065457045654,-32.86049497969638,-30.56026326207472,-28.312187885451163,-26.26725929963575,-24.576656344542247,-23.315735578553113,-22.505505439497203,-22.12567547779477,-22.03719287455443,-22.112025598868424,-22.2445048967481,-22.35672685676923,-22.42168049304702,-22.4410399173906,-22.425621303145757,-22.386429866251163,-22.33450723322005,-22.28803809607893,-22.291751772637912,-22.42082171181003,-22.753581717163787,-23.354914739209388,-24.274035832530377,-25.432909639205498,-26.71878746118141,-27.989236918445616,-29.08655773053769,-29.93997235454149,-30.539574721538173,-30.92857755514382,-31.204617094307906,-31.46045383382025,-31.75058481581976,-32.093998932281565,-32.46180322545399,-32.81211979477614,-33.10746169759465,-33.31926446417698,-33.457986805467925,-33.541396325397145,-33.590064436897336,-33.61884031641705,-33.630487757114196,-33.61826304478769,-33.57280083987706,-33.495567434430455,-33.40023427569788,-33.305839305401,-33.234476087881646,-33.194882702613924,-33.18529559941861,-33.20114265230859,-33.24927772862541,-33.35432025373338,-33.56047101283244,-33.924443803235405,-34.479292157215696,-35.19367945193341,-35.99313071046835,-36.749690686527096,-37.324949566251284,-37.63849878301921,-37.674102227203605,-37.48231754905831,-37.209686428221126,-36.97103629157356,-36.84479594084119,-36.84315124237341,-36.9056387082017,-36.966721254410594,-36.969199997179075,-36.88610184860201,-36.70549094662147,-36.39631389560357,-35.870516477518564,-35.04955807
