cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,-84.04050986,-79.77288925298618,-75.84321078990357,-73.04309248332576,-71.78825357227944,-72.04222549705531,-73.27954299765798,-74.75027786442612,-75.78042166276155,-75.9638944226221,-75.26535112213105,-73.9784441091505,-72.57019307110504,-71.4822209816571,-70.96795865143496,-71.01558207770908,-71.38504208760754,-71.69646174367418,-71.60706825822753,-70.92342043555291,-69.65432532562744,-68.00251631331363,-66.30480954306232,-64.93888465052468,-64.21821482728225,-64.30218071922883,-65.14224909010022,-66.49359071060053,-67.96483929134168,-69.13348310383778,-69.68005312577795,-69.45179783192313,-68.49236313768097,-67.00822618952128,-65.29218139891141,-63.62748382424817,-62.20724273530281,-61.0956647272182,-60.24196500512099,-59.540273113158854,-58.897007057835864,-58.29884575739841,-57.81609493643559,-57.5667647866154,-57.661285332662985,-58.15471414172352,-59.028621136015516,-60.20497979563975,-61.57921345873836,-63.05254850582526,-64.55309722705368,-66.03898839787027,-67.49627413160992,-68.92766348653775,-70.34600056820393,-71.7688458133317,-73.2134953116987,-74.69145776889313,-76.20336985165552,-77.73674922870416,-79.26854770487233,-80.77177243109361,-82.2231555297938,-83.60841221322225,-84.91072451313266,-86.09959140832842,-87.12423514678382,-87.92207716902905,-88.43983497221603,-88.65404126494221,-88.57557513679598,-88.23689008942966,-87.66831095716223,-86.88885021303628,-85.93331199902534,-84.867498249485,-83.80879637186158,-82.90573836087299,-82.28230457193881,-81.97403964502922,-81.89549252332799,-81.86566280638394,-81.68596881881197,-81.23462726202541,-80.52420803958428,-79.71656460538397,-79.02101723672888,-78.60060781740927,-78.50295979738797,-78.65949041513139,-78.95428438806388,-79.32553718640924,-79.83420305173539,-80.64750029793497,-81.9300413807172,-83.71577398330281,-85.77585336149473,-87.67716652956156,-88.91581206242613,-0.0002102491000770523,0.0
15kg_10bpm,10BC,0.0,-72.40672414126078,-93.56126092288851,-90.90027196960914,-87.63989963134169,-84.39591777000001,-81.85170680120498,-80.28707506988219,-79.95187072976844,-80.55008558355681,-81.68771491000001,-82.77576281750193,-83.35779053736307,-82.99917273476103,-81.75160174338697,-79.59349570000002,-76.93398792742727,-74.04713517225355,-71.24685542672528,-68.71637534170999,-66.56491807,-64.75967020813839,-63.3135655443382,-62.128419343789986,-61.226669101590836,-60.58253453,-60.23437857697259,-60.1928885539325,-60.4387364175535,-60.94796611631878,-61.62632595,-62.41523367552856,-63.23069253553683,-64.03571558143543,-64.8239967849715,-65.61621805000001,-66.4526545681658,-67.36308175539075,-68.37860902458844,-69.47826075627547,-70.63815328,-71.78977844832885,-72.85821315611713,-73.7709001354689,-74.47727749204414,-74.94668946000002,-75.22196144070305,-75.34156325158847,-75.40962620985623,-75.50400439870812,-75.67293818000002,-75.91987619341397,-76.18007676952935,-76.35635641237448,-76.3107838189605,-75.98784151,-75.29907507612279,-74.35248810567457,-73.23757545615953,-72.13390875421219,-71.1926784,-70.53405398008216,-70.17067302293772,-70.09080932719615,-70.16516592160878,-70.29436456,-70.37518618486956,-70.3525527464077,-70.23313798267625,-70.05992454695928,-69.90226787,-69.81167446600469,-69.83414514677241,-69.94497870413062,-70.12048317331906,-70.31109972,-70.49978916324265,-70.71890734356167,-71.04913510653537,-71.6462354240631,-72.59973944000001,-74.07832883379436,-75.97880260721264,-78.20096500295186,-80.4296528497485,-82.32062869,-83.4981423228528,-83.81024999504636,-83.1554723606848,-81.91852873699209,-80.56080217000002,-79.73576081394518,-80.10317427235081,-82.0251408093337,-85.55058237344385,-90.38623957,-96.63810563623547,-0.0009356217267912406,1.1967818554699886e-12,2.163207195282733e-21,0.0
15kg_10bpm,10CA,0.0,-0.15537430660683196,-93.52159646947084,-86.05919746486947,-79.14368503737298,-75.37292715361842,-75.97754824281789,-80.46584631280112,-87.0532231369078,-93.53539337716045,-98.14084120747195,-99.9837742129752,-99.17164665782107,-96.59215672490575,-93.30285411148456,-90.23400180362697,-87.95692520583874,-86.64100485638386,-86.13950592309018,-86.13256968684344,-86.26009047204562,-86.20687176244269,-85.75646396022304,-84.81265488456832,-83.37578838921173,-81.53411198166773,-79.43451578172326,-77.23883360375046,-75.06794637174202,-72.9544591135601,-70.8299344151704,-68.55599141130864,-66.02104304134109,-63.22870559812178,-60.35180072261492,-57.720454370973385,-55.73672583294145,-54.742910509135434,-54.88944602384599,-56.04778397495929,-57.811687329449214,-59.57190167331909,-60.729868566284665,-60.90583276617274,-60.07078160143028,-58.556534221403105,-56.931475756165476,-55.78455110025896,-55.50931706916479,-56.16754482962696,-57.50606479008545,-59.05678648577657,-60.38639235310005,-61.271592287280654,-61.75106060524874,-62.0560273752876,-62.46851961063957,-63.187999997064324,-64.26444903936569,-65.6020736365786,-67.01249099926056,-68.287023237788,-69.29053421531879,-70.00762262213489,-70.54437795784051,-71.05892702785744,-71.64561837257614,-72.23857091120169,-72.61090536994338,-72.50069147668323,-71.8123483890398,-70.8381922061149,-70.20536268963319,-70.67422110641401,-72.77531762039685,-76.45333064993739,-80.90768206217619,-84.7683987583573,-86.61560559630406,-85.58476524783059,-81.90676713425876,-76.91502433838819,-72.29204494170163,-69.37246685220728,-68.59488823979292,-69.46446863313872,-70.98267996868975,-72.25393054513344,-72.92803370639936,-73.261113614993,-73.84207173834947,-75.08087082285051,-76.92864977787032,-78.90732018129142,-80.43847678017211,-81.23149335318988,-81.44101376183016,-81.4517020475802,-81.43339982170113,-80.99095912421119,-63.45436157
15kg_10bpm,11AB,-90.62351694,-86.07212132384461,-79.92308890408461,-74.04284177968817,-69.95210493281836,-68.36766575772863,-69.14826432445113,-71.51232161920444,-74.4209313098211,-77.03839341341178,-78.89235346796606,-79.85607726678532,-80.02092125349083,-79.5448272812123,-78.55791519426236,-77.14034096705402,-75.35096037497904,-73.270810811713,-71.0319150383077,-68.81669715471818,-66.82516589000001,-65.22380210834774,-64.10841402302403,-63.476932184925985,-63.25687989715619,-63.366567221953204,-63.737778396273626,-64.30862349069452,-64.99473929980944,-65.66687764034944,-66.16551476082807,-66.35540965920178,-66.1908601758975,-65.74648093134356,-65.18356755895216,-64.66314705298652,-64.2535074224206,-63.89298355479175,-63.4270072809044,-62.721687394764785,-61.76342702000001,-60.686697225997506,-59.73092104403354,-59.139525741666546,-59.06018506648569,-59.49289399729857,-60.30804991782588,-61.318409490944425,-62.363458386971914,-63.36376299441242,-64.32500197222939,-65.30207474715563,-66.35367369918322,-67.5168307481693,-68.80179735377307,-70.20409550797685,-71.70973425745143,-73.28203984395908,-74.84936251942517,-76.30982721915574,-77.55977953,-78.53618019613361,-79.25092862462685,-79.7977463311263,-80.32434095831462,-80.97833472427952,-81.8452599967172,-82.90499310363813,-84.02777469165036,-85.01260278064613,-85.68511312606675,-85.97677453454034,-85.95958130823253,-85.81930841682116,-85.75798186822584,-85.86683002993588,-86.0230962594001,-85.86925846032523,-84.91128918359,-82.73085669043138,-79.24939910000002,-74.94048773602334,-70.85497302195279,-68.39469099448846,-68.86237801989745,-72.7343656327169,-79.32617331092847,-86.90847488049224,-93.20817409129292,-96.28255904626882,-95.30957142738744,-90.93776780909906,-85.00492827831158,-79.75914586138559,-76.9686606943168,-77.34586981630154,-80.50555483043806,-85.36169073658549,-90.69347773567404,-95.52150496150963,-99.25183299
15kg_10bpm,11BC,-89.8277188,-89.7112783725797,-88.59535337301924,-86.82730462537737,-84.90393142602004,-83.34373898804891,-82.48674622861456,-82.4440547556725,-82.96023159196923,-83.67614791869589,-84.08538958439051,-83.85364014017728,-82.64250206172514,-80.60299762428782,-77.89455776620201,-74.84853015038793,-71.81216563984862,-69.0574848164333,-66.72892571019968,-64.82936079616259,-63.36588797302756,-62.20445214693673,-61.30356405971696,-60.66310371227183,-60.28512054260699,-60.23495360867807,-60.52538532089671,-61.108651436976345,-61.925507965093615,-62.81023564565332,-63.63430335179699,-64.26911289011323,-64.69457714260164,-64.93140766917352,-65.10041585539075,-65.34014632439504,-65.82672304668729,-66.64016549417833,-67.81233077421402,-69.31433961145665,-70.98068150895544,-72.64656073804399,-74.10692164364917,-75.23506098194676,-75.88429499535309,-76.08680863420042,-75.89631483055823,-75.40040900458038,-74.77557158523025,-74.15419748086724,-73.6726779312894,-73.39645112929003,-73.38023296336172,-73.56317679460567,-73.85755531900965,-74.12391396722364,-74.23196658853279,-74.0770632671896,-73.62910986894038,-72.97365805976793,-72.24189056536049,-71.63021686313552,-71.27765914824117,-71.31891926014295,-71.68117294126704,-72.27325519737302,-72.91159786786164,-73.43383522113368,-73.7050949061358,-73.70369954356578,-73.48055271025073,-73.11406170654377,-72.72885912782759,-72.3962494827701,-72.14708783500551,-71.94587440690265,-71.72974591849396,-71.4313998194145,-71.03912160504676,-70.62032030428279,-70.36156882929593,-70.51635122347906,-71.42427744387888,-73.20350556731259,-75.93901509651343,-79.31761655555074,-82.83406094317843,-85.71574500246138,-87.35196172598278,-87.29974499216172,-85.42511935549369,-82.39479454089417,-79.05818239146568,-76.6807596984996,-76.16216914737984,-78.51330475957688,-83.39552896823167,-90.21124265366863,-44.34502314646885,-2.333247158454642e-07,0.0
15kg_10bpm,11CA,0.0,-19.678207571492752,-78.15297190667296,-77.63315504361289,-77.75387894849685,-78.13219430931508,-78.49041949983807,-78.85547863145547,-79.54475321070608,-80.9361284389263,-83.19988673574079,-86.12234005025114,-89.1287674729312,-91.50030161519584,-92.6684773881213,-92.44547972114964,-91.0813147221695,-89.13109832046142,-87.21148831347126,-85.76945074441653,-84.96422698272212,-84.69216871425574,-84.7084832495303,-84.76748218703577,-84.71365445329266,-84.49863248000001,-84.15052794097895,-83.72287144576111,-83.24979587807283,-82.72667183334536,-82.10908473591599,-81.3254241553864,-80.30093342606618,-78.98854341631312,-77.39739481685108,-75.60572307803929,-73.74891007794929,-71.98465863118714,-70.44773461453434,-69.21068342411013,-68.2631615316033,-67.51438024253201,-66.81778201629959,-66.01244254339846,-64.96529534111409,-63.606452732144135,-61.95289526358048,-60.09995427151361,-58.19620841650423,-56.41868625610646,-54.9427762,-53.91256623162615,-53.416906831127235,-53.472745309710035,-54.019911081539476,-54.931507988095824,-56.04040959865688,-57.17638340804889,-58.20255722005176,-59.03931808268946,-59.67112513236087,-60.14131580896691,-60.541822248497574,-61.002236770975976,-61.6759767704552,-62.70395456560915,-64.15885149956463,-65.99806009668681,-68.03135341664394,-69.93217722451875,-71.31972712124131,-71.89616317919025,-71.59467380130296,-70.67126493237724,-69.67674748755871,-69.28801106,-70.04117815549394,-72.0701494337804,-74.97971481114804,-77.93999501768648,-79.9933284397645,-80.45521195032461,-79.20203656925831,-76.72795715761787,-73.96146012590486,-71.8572600617015,-71.04774069299145,-71.70588271881728,-73.55492980445298,-75.99900491474844,-78.30752592932883,-79.80690922052032,-80.06504831868536,-79.03150358046126,-77.07372839401432,-74.86842416072066,-73.17018182195741,-72.54976801906088,-73.21436398317576,-74.96921149006431,-77.30915609
15kg_10bpm,12AB,0.0,-85.05629293274679,-78.55856213340101,-72.6725284708991,-68.71643876279643,-67.22675142817111,-67.9516124217664,-70.07863275603322,-72.6101439872868,-74.70215496611237,-75.84459112037857,-75.87645313718482,-74.8962351964478,-73.15507744353563,-70.99431425381705,-68.8278712206469,-67.11700617579,-66.28138260368783,-66.54447836959065,-67.79784671011886,-69.5961434074365,-71.30727305589517,-72.39626664902437,-72.67623101931878,-72.33692142052436,-71.79412257698706,-71.44472392222313,-71.45796964088817,-71.71259532493048,-71.88802134503479,-71.64241910308124,-70.77910719360591,-69.32558764671445,-67.50484406307508,-65.6310448157469,-63.98869446037819,-62.74674887791016,-61.931872174295336,-61.45982499073315,-61.19585704256582,-61.01016996842826,-60.813073623366556,-60.552362721146395,-60.18882475224812,-59.686719847301504,-59.03851673942454,-58.315266010576245,-57.706448055592126,-57.50682863248641,-58.0344335140974,-59.508677930000005,-61.94877566730793,-65.14769552362418,-68.73695868514494,-72.3072465285725,-75.52527893039144,-78.19630123813637,-80.25370031554539,-81.71321231964872,-82.63733699698004,-83.11779055391143,-83.28432696829601,-83.32573050880849,-83.47847860929197,-83.96538740093436,-84.90497142064096,-86.23503720671866,-87.6985048648533,-88.91084750533102,-89.48400708759341,-89.1548371751831,-87.87115501497117,-85.81577566730806,-83.37334822589717,-81.04410739467482,-79.31104650608486,-78.49117947652253,-78.58941643999576,-79.25337788277105,-79.9279727206378,-80.11225779606085,-79.61963026066734,-78.70230540080956,-77.9259893045983,-77.8376520687064,-78.60106025570273,-79.82743103900079,-80.74101411055808,-80.62188530453608,-79.28074365032553,-77.26922965634078,-75.66985402679795,-75.54909851845025,-77.36291105300161,-80.65709325433967,-84.1808940097662,-86.43020956826716,-86.41517916831128,-84.13964715434406,-80.66265825995484,-54.3935248
15kg_10bpm,12BC,0.0,4.053886106581123e-49,-3.7540783431901905e-39,1.4096255402318e-29,8.80494766220733e-20,-1.6671190457611175e-09,-15.923166379379182,-92.4285187992316,-89.11880066876995,-85.02049402926963,-81.15684122454013,-78.59953052895689,-77.87194907148728,-78.86447983208117,-81.04729658211551,-83.4989214668317,-85.24204434846854,-85.67300143031206,-84.50180762007344,-81.89528286155422,-78.43041797677655,-74.65099344380592,-71.07656363181877,-68.03728876319248,-65.62688487966173,-63.83110710000001,-62.62459526308788,-61.89362422167512,-61.61414557078031,-61.78999983721683,-62.40364522954081,-63.34279523133417,-64.47600094145446,-65.63146816450441,-66.63482427393582,-67.38948615683805,-67.86598331634714,-68.08865007900228,-68.18254470615052,-68.25912383958561,-68.42557768120864,-68.77039115088758,-69.30974908166691,-70.02231885431952,-70.84203246368288,-71.64316360576261,-72.29725412185952,-72.69275796238516,-72.72503859700292,-72.43645506048605,-71.92527989000001,-71.35177864337474,-70.9286168315332,-70.79275492601774,-70.98715989983043,-71.45073928923074,-71.984296947293,-72.38140225139153,-72.49865171409805,-72.27469326001021,-71.85500248518703,-71.43297747272598,-71.21242527594087,-71.34861633274835,-71.8088166408668,-72.47697502980336,-73.16678066045603,-73.68147215812134,-73.92284747882721,-73.87914472791384,-73.61039818336587,-73.2738436321527,-73.00067889176255,-72.89142561593034,-72.98883933287814,-73.21108682,-73.41935971107591,-73.40375301106552,-72.95056867453307,-71.97625206728512,-70.54247276723056,-68.93878732905755,-67.73209694169672,-67.50712098045118,-68.78556123940686,-71.87872375219196,-76.29313417472389,-81.24961775079103,-85.61666560283048,-88.25238221196406,-88.70595721437456,-87.16530216095188,-84.52264536149113,-82.3863255137654,0.048976122926479126,-7.48392429055328e-12,3.9526608404926477e-22,6.328000899489258e-32,-1.685256861091267e-41,1.8198446464471583e-51,0.0
15kg_10bpm,13AB,-77.88862026,-75.96794499947761,-74.64550683318303,-73.80851570165477,-73.24694987900176,-72.78305815827296,-72.35894910725986,-72.05137554785992,-72.00067398530668,-72.29750896294593,-72.90062978169257,-73.636086076836,-74.27672439041471,-74.64214535420598,-74.65152913754753,-74.31009625674585,-73.66421625800108,-72.77626908377823,-71.74169308410464,-70.72569149651198,-69.97427581068845,-69.76809883010885,-70.32329583834579,-71.67837525180252,-73.62332153846432,-75.71732766522278,-77.40559239785783,-78.19771757837573,-77.83301988014817,-76.35959786166985,-74.1003243495075,-71.53150824728087,-69.11392395100415,-67.14287358502662,-65.6866569574799,-64.61948994713029,-63.706812072685004,-62.70453994398412,-61.442452940562504,-59.87309285248136,-58.08274125623724,-56.268324710425134,-54.68600506946517,-53.58192818285921,-53.12441039297613,-53.362367893759696,-54.227725958270824,-55.57877157451252,-57.2591352574117,-59.14066848423378,-61.13446076629708,-63.17957258341931,-65.231955722179,-67.26736748338482,-69.29204532273846,-71.34296153735933,-73.4658877310964,-75.67502541603048,-77.91321617363752,-80.03816234069204,-81.84522996993522,-83.11966553442704,-83.70607952319656,-83.57083241544382,-82.82660754773708,-81.70406188148081,-80.4862641053777,-79.44189994675186,-78.78542476632214,-78.66110091942298,-79.125010721164,-80.11268024060301,-81.41805467999713,-82.72811134462653,-83.72652256503838,-84.21872388905616,-84.19374256458305,-83.76561336628012,-83.0195171199098,-81.87348726666885,-80.08723699472252,-77.46959860007115,-74.20647583867623,-71.10501947246226,-69.48643742147674,-70.64562425452038,-75.12412073836455,-82.17871581258271,-89.79390383118178,-95.393690843722,-96.97879707722102,-94.10351330918056,-88.15515282964938,-81.76318443672282,-77.63886738539746,-77.44957853807323,-81.26197683029538,-87.71816418535666,-94.72036497558742,-100.2176137351631,0.0
15kg_10bpm,13BC,-87.75445195,-83.97154251032292,-79.98142552031169,-76.59317662947201,-74.50306306084043,-74.07168427124226,-75.5706351196452,-78.35956380781961,-81.85399719328164,-85.19886356442477,-87.7384023151922,-88.96162526195417,-88.73436053162676,-87.29984890185906,-84.91354953217923,-82.11801463632092,-79.29104910688156,-76.77193362977894,-74.65458757739047,-72.93928317357775,-71.51708880434478,-70.20404609998978,-68.86705649077108,-67.42201114147011,-65.8802747504774,-64.31042646407073,-62.83707112896386,-61.56459109495822,-60.6349725673147,-60.062862462734486,-59.87686035351515,-60.09106945234687,-60.63715074443317,-61.49904367922525,-62.62333643552717,-63.93534622481919,-65.3719417353672,-66.82571340092782,-68.20482953956616,-69.3829724216327,-70.30327534129759,-70.91482703842269,-71.18798066668319,-71.19685452232942,-70.99921345165295,-70.70391832362691,-70.41490889427664,-70.22996137572686,-70.21140796166381,-70.37960730579749,-70.75742444275132,-71.28246271163614,-71.90243284405969,-72.53355667451082,-73.08736794708426,-73.47662626400995,-73.63302279154829,-73.55496386155112,-73.25201962397233,-72.8225604148606,-72.37405220804459,-72.04110745052758,-71.90407272080189,-72.00313465229263,-72.33655135026105,-72.80699016440892,-73.32890103590142,-73.80536583484032,-74.18932044674243,-74.45863744081217,-74.63578641273773,-74.74078307953565,-74.75264859367462,-74.63026481637223,-74.30177092958957,-73.66702345703334,-72.74798949523515,-71.60422719976589,-70.44211225584397,-69.52792498015695,-69.21131780333745,-69.75398606110201,-71.23245174857563,-73.7061165564842,-76.76211355773327,-79.97972541185769,-82.72929576382187,-84.56712851206602,-85.14691982342617,-84.45739107866825,-82.9561298094765,-81.26043737735466,-80.2314987384139,-80.46198563609771,-82.57125044987248,-86.2915916634194,-91.1648871264111,-96.32987014410753,-100.7698123327715,-14.4319122464237,0.0
