cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,-37.64763894,-35.31095454673448,-33.40688070893462,-32.51096950435434,-32.8662831316451,-34.35117190020686,-36.55007983962064,-38.893907694912876,-40.82337729275165,-41.92827048267101,-42.02785346889051,-41.178840210843866,-39.61979476275767,-37.67852743106889,-35.676654873858745,-33.86009521393488,-32.36858843102398,-31.240232243092724,-30.437361825315094,-29.880041882984195,-29.478275821509698,-29.15788721198462,-28.876092946981426,-28.623416843505506,-28.411444256288597,-28.25132867,-28.13376934101312,-28.02300645959211,-27.871211207508605,-27.64685365325999,-27.359508503669737,-27.06343304628606,-26.83512467311199,-26.737672870240548,-26.793448946050322,-26.979178208137636,-27.241233902736475,-27.51875644709759,-27.763638192000357,-27.952674407505874,-28.090675453109306,-28.204456543966355,-28.330243193658767,-28.500540254558356,-28.736538180656094,-29.047577431014375,-29.434624138565233,-29.894462810711122,-30.423667984097566,-31.021350487023106,-31.68740029,-32.41430860846646,-33.17750213389862,-33.93434890846039,-34.637737267686674,-35.258502489445235,-35.80205685747505,-36.30655009522494,-36.821819953465805,-37.381356418931176,-37.98378504239745,-38.59323860354422,-39.155750747543,-39.62073261883855,-39.9570264122596,-40.15883618911059,-40.24227317086187,-40.235787540202026,-40.16825323637764,-40.05831170460972,-39.908284467393166,-39.70535258561464,-39.430975177348856,-39.07578336103213,-38.65247096940865,-38.19718787000001,-37.754083632174655,-37.34771210123074,-36.95904423373987,-36.52511065155723,-35.97389143752869,-35.28612583185875,-34.554068040707506,-33.997984997630574,-33.91398520414639,-34.55909128715265,-36.01616954612301,-38.102018609848805,-40.37230903860727,-42.23801254259873,-43.15706025559846,-42.8284245575377,-41.31338606777737,-39.04082571980228,-36.700039974472894,-35.05924971858534,-34.75726420339761,-36.10923689196706,-38.96657670507724,0.0010372010871602523,0.0
7kg_10bpm,2AB,-35.56347609,-33.479708312006075,-32.07256662253683,-31.534170047737494,-31.91077431020327,-33.11214901444124,-34.7911210087607,-36.56224140135145,-38.07192564235072,-38.983815161179734,-39.19870810534416,-38.70949202409707,-37.573101263563515,-36.05169728033528,-34.368753009939056,-32.73887239751456,-31.33921624387351,-30.239571346135204,-29.456851511663054,-28.979293447716735,-28.716096184077525,-28.611972584390532,-28.624170241068153,-28.703775045431097,-28.813923954925542,-28.918612679999995,-28.977735832200665,-28.969507770147107,-28.888322892806126,-28.74525179305109,-28.580662285093712,-28.425976778488003,-28.302372897050557,-28.202845942922195,-28.097069649392424,-27.9446956795677,-27.69976457657907,-27.35419989770349,-26.92133663198497,-26.444437232898974,-26.003678703795728,-25.675894315577974,-25.5426233182664,-25.660513471731406,-26.026953835791808,-26.61830146594724,-27.388513487702696,-28.243785044595743,-29.122385480596343,-29.978816310858328,-30.80377735,-31.617794852814075,-32.45514897190084,-33.35533696882573,-34.33411753617435,-35.39358946880455,-36.52612288045089,-37.69595349088956,-38.86666532878047,-39.986001069959954,-40.98617871821908,-41.80542032382468,-42.37998090300493,-42.64389492865458,-42.62137815017307,-42.348436806084784,-41.885709443005254,-41.34679824109565,-40.81710825783457,-40.36173011494142,-40.00786904151433,-39.73109420777723,-39.48550306049022,-39.195615140593326,-38.79408028458943,-38.23273113,-37.4792567670165,-36.57544805092964,-35.6200417991351,-34.76656491978297,-34.253012168773004,-34.26676913710898,-34.94976343716913,-36.41118470794227,-38.4332161549266,-40.717132283862654,-42.8356531344178,-44.30806570883962,-44.85462233007607,-44.35826274946581,-42.91207160059426,-40.998268477797005,-39.0730859208777,-8.564678347446637,1.4936910222340685e-09,-2.315222342695818e-19,3.419278520475984e-29,-4.6961620088140424e-39,5.682628750139345e-49,-5.106084505191575e-59,0.0
7kg_10bpm,3AB,-39.01984941,-35.968268387699915,-33.486433837003645,-31.98249512671193,-31.81766972029372,-32.86269844893846,-34.78059880901021,-37.11639128502542,-39.24919639219005,-40.73608654925993,-41.186266310629186,-40.64060274415017,-39.16790892158004,-37.086895718222856,-34.76558423090768,-32.53079527090182,-30.629049470487015,-29.1597235155807,-28.205480214707507,-27.63725862824445,-27.376417919999994,-27.320655447735078,-27.364100631583927,-27.45135640970325,-27.544602609491488,-27.633439725505745,-27.721802580727292,-27.821842486293974,-27.943300960165068,-28.094490490174284,-28.264779100070392,-28.437115795927692,-28.578474623536515,-28.658659138721042,-28.64098958542108,-28.50483036667803,-28.253157249618457,-27.88467985017393,-27.438445275016797,-26.946819492529627,-26.448521389999993,-25.981745916720065,-25.583256595099208,-25.29960194567825,-25.163424810089243,-25.23537277542921,-25.554904972526213,-26.130372817292375,-26.992228871757675,-28.06856289727307,-29.296250591000742,-30.591354138481158,-31.863815120288884,-33.05438895441681,-34.13134940623293,-35.109983202139546,-36.0109909744906,-36.87376955311965,-37.72059409013192,-38.54930910705492,-39.33481156,-40.0358513412121,-40.58700197363018,-40.967803176663054,-41.15366834267189,-41.15921486710647,-41.03515692702157,-40.82252151307387,-40.57539567478546,-40.32232524326191,-40.07283382532471,-39.814218823797574,-39.5224113444558,-39.158665374348345,-38.70563664586699,-38.15179349384957,-37.53236520526728,-36.92944160573177,-36.48919732015765,-36.381876245076455,-36.74046485,-37.74816811389583,-39.297717597090084,-41.247491963699254,-43.266302602217245,-44.961583888725045,-45.929536778274674,-45.897105237491495,-44.89002580834365,-42.99471379133794,-40.67466251521924,-38.35142676413353,-36.52999450227278,-35.452970169787456,-35.27920281081223,-36.02492170987728,-37.465036682467854,-39.44512405380547,-41.716967106314605,-44.06986225811275,-46.29395026
7kg_10bpm,4AB,-40.43855623,-38.343907541955296,-36.09602053546819,-34.21873430520173,-33.30367739924051,-33.478936941652904,-34.67915285725407,-36.61906213944887,-38.67709272762885,-40.33680907928419,-41.08672229140133,-40.812507182100056,-39.49546217343492,-37.42379925401297,-35.00694352739947,-32.62252829748985,-30.593443138182824,-29.05466900326934,-28.111409086031173,-27.63420940568023,-27.509883847927583,-27.62640808640487,-27.83085297449182,-28.036509232803134,-28.163726774670867,-28.180451719999997,-28.068531607498116,-27.848243633299692,-27.57412655226138,-27.314192997888142,-27.149763592953594,-27.131708942129336,-27.310425668395187,-27.652365057799404,-28.101704004768283,-28.568053466499478,-28.946516773315576,-29.15601899380263,-29.123097825479856,-28.869394473614346,-28.421069090215152,-27.8544845722476,-27.261911009638016,-26.72624221771858,-26.315242211033976,-26.055003641662143,-25.973139421807666,-26.044849457162638,-26.245278908639158,-26.564174347372507,-26.968271300000005,-27.450629325289608,-28.02023551391139,-28.677078047675288,-29.439667301642714,-30.327860943186195,-31.33837470423412,-32.47326902019649,-33.70309986433567,-34.981312479972054,-36.25536317907733,-37.471719874413814,-38.60136780540866,-39.615994908903836,-40.531293278890395,-41.35277075070504,-42.064055892225596,-42.651583207262355,-43.06630410671055,-43.239625577638456,-43.15336080244944,-42.78007699052278,-42.15521261427268,-41.36396261480788,-40.498692281360775,-39.68656229,-39.02592845008679,-38.64666054570398,-38.59620182487497,-38.908573060788804,-39.62832839348523,-40.64555330606957,-41.857742963915136,-43.06922966028165,-44.062872803797646,-44.608468511108306,-44.51888248653966,-43.77959465636129,-42.399840998953074,-40.60210396668746,-38.65400536449325,-36.87204709114388,-0.005572170277071206,-5.839965388339677e-13,7.801102388255227e-22,2.1520863903172108e-31,-9.233545842041703e-41,-4.738422869553538e-50,7.901639894559449e-60,8.420833711758588e-69,0.0
7kg_10bpm,5AB,-40.64262887,-37.913754166100695,-35.23798274063584,-33.057484602955356,-31.67942941992954,-31.221772455065846,-31.728299819796803,-32.84579981917165,-34.273807622489066,-35.59404665673496,-36.5363730978105,-36.848833618546806,-36.61282923441243,-35.90252177721459,-34.93545426055692,-33.91016731735294,-32.99611082219015,-32.25613715815142,-31.70816089279499,-31.308870207116957,-30.990547673484162,-30.70575102148573,-30.42092441376479,-30.134011681601805,-29.86424069929316,-29.634827688941034,-29.47954495646296,-29.40947738118313,-29.429927672450418,-29.535607375055296,-29.692856024922378,-29.866070364867383,-30.00317993464742,-30.0605709971257,-29.984883013999177,-29.77416541268044,-29.42083480523768,-28.962615756136973,-28.447198509150308,-27.929633606443375,-27.459189577013746,-27.076850375695994,-26.80535407233171,-26.643049787534547,-26.60271964529889,-26.657268885111133,-26.803882921454974,-27.03666054125644,-27.34749006067921,-27.751976033766926,-28.24184936600661,-28.821208603120247,-29.48767093898944,-30.224395520254642,-31.028765586569143,-31.882924588758943,-32.77781075908301,-33.701434355039886,-34.63378808716343,-35.550953114152584,-36.425351514128586,-37.233823001842225,-37.94551216915856,-38.55995804580246,-39.06324045889818,-39.46380710480385,-39.77500853360117,-39.99978357131654,-40.163542876464454,-40.271986622808555,-40.33234254967022,-40.346645012840455,-40.29719435991467,-40.17936886907382,-39.976217074187524,-39.6848245675781,-39.32889875133861,-38.952932519392334,-38.64272694881703,-38.502770837597524,-38.664118260474105,-39.1789710766524,-40.12598485150632,-41.395104592693485,-42.84431711075942,-44.21870542411725,-45.274260910865806,-45.72419702254203,-45.465546778783974,-44.5068813708364,-42.95032358902501,-41.134398852338464,-39.38828131583271,-38.08176205669243,-37.44752063472276,-37.75783398653994,-38.88460397131698,-40.7536536063356,-43.05769107415881,-45.46489218612484,-47.58635098
7kg_10bpm,6AB,-8.58850601,-40.201497726698605,-37.22903188572593,-34.57123209521701,-32.794469324498266,-32.05238601456588,-32.55403022702276,-33.84864045933696,-35.59433120686374,-37.227525872450784,-38.31003247871237,-38.55398061003624,-37.94637886363829,-36.58715537794538,-34.8328559060024,-32.99459923230402,-31.36426056114864,-30.15355668938795,-29.377754936970895,-28.994158565764653,-28.86155343472569,-28.83001642577866,-28.77651863844415,-28.647516824995723,-28.428367999827035,-28.17925133163901,-27.964003628582844,-27.839118518097244,-27.83354885381637,-27.93686424970162,-28.102582084987542,-28.269287258293296,-28.382575353349825,-28.381338102633936,-28.262286540985244,-28.01283087121867,-27.662388799875348,-27.240371203308765,-26.78873928726771,-26.348525363585086,-25.969484833969233,-25.678404858345655,-25.530501091196488,-25.52969201041339,-25.706202485558517,-26.049604750789715,-26.545587840622385,-27.16451721514744,-27.85831989496073,-28.586649157409184,-29.308534217987205,-29.99514500053225,-30.64403095779208,-31.261861032596563,-31.87484532193675,-32.51161042144895,-33.205083687137424,-33.969271264272635,-34.825146606380876,-35.751753363030716,-36.73692841055245,-37.73547027543935,-38.699978234035164,-39.57333071661597,-40.305923971717036,-40.84146395086065,-41.175543758515104,-41.26749858942989,-41.172657972598756,-40.894904722258836,-40.49838709558475,-40.01469177380177,-39.48178146498388,-38.92324899643211,-38.360063181445256,-37.817244059522864,-37.35488192870583,-37.03249157587473,-36.98176140572987,-37.28620242924673,-38.054628867463975,-39.309277704944975,-40.97492789079027,-42.89303596638848,-44.798225340576124,-46.32201341654613,-47.240764293945894,-47.24418516515338,-46.35551754217597,-44.6415862578431,-42.40486235095291,-40.01937975873154,-37.9159672027161,-36.357216696782814,-35.68763947398538,-35.814874295406305,-36.770963921430635,-38.30955442493715,-40.239334999424344,-42.311775510686545,-44.322793
7kg_10bpm,7AB,-41.91807383,-38.95722187366521,-36.00217736924358,-33.66307266008173,-32.33585140480769,-32.248038434936674,-33.28466820897955,-34.99127116141647,-36.867960582268026,-38.32639051975035,-38.994930639123126,-38.75452572741103,-37.66902625040968,-36.02037195087106,-34.18695863314946,-32.44737064002059,-31.023598527266486,-29.96268999729142,-29.227998371933428,-28.758918936025704,-28.493543111332595,-28.379611713909334,-28.40322323232182,-28.561930758071327,-28.817176206625398,-29.11473317962508,-29.390167048907326,-29.571966399771497,-29.632596258282707,-29.572924469527955,-29.420428325758277,-29.236403179720472,-29.074875870366867,-28.975887922165224,-28.965297465330146,-29.027597439702713,-29.137161795373643,-29.25448792865017,-29.332121540958685,-29.33665097440299,-29.248567266506416,-29.06243823821437,-28.815318768175846,-28.549052531952373,-28.317621665747367,-28.174369346553906,-28.148495099427713,-28.252225829502493,-28.486226656055976,-28.80731380470718,-29.180568441412216,-29.577366629091614,-29.99022059202828,-30.442554901298593,-30.978970530522368,-31.671012302621115,-32.54361606904938,-33.59154998048061,-34.77074029256116,-35.98152599115266,-37.112330699170336,-38.07065919513213,-38.76637026225201,-39.20506807083058,-39.42603033462484,-39.49818165359154,-39.52594470372972,-39.60635119791341,-39.80247267418196,-40.15210635441226,-40.613994179579,-41.11189770076886,-41.54174977408181,-41.7732025762964,-41.73239220689924,-41.38349133763876,-40.729474025509276,-39.88653332708562,-39.00138416489016,-38.239095283759774,-37.78907177517181,-37.733366912587414,-38.095628295541495,-38.83384196625189,-39.771046915987114,-40.70360900168658,-41.42983796140241,-41.733360376591705,-41.55094328609049,-40.87677896141369,-39.773561253695576,-38.43831682714098,-37.10808547482277,-36.02804017499021,-35.5096689296837,-35.70344887559394,-36.70054017495905,-38.510272597555456,-40.922680847566696,-43.588511506737696,-46.12300519
7kg_10bpm,8AB,-38.26545704,-39.72048933716363,-36.70460166441065,-34.08439430718683,-32.48453679058443,-32.07541751470092,-32.830112700418844,-34.37306235225014,-36.06505628868507,-37.35101675706642,-37.72570115071741,-37.129881206883624,-35.6687222167941,-33.70428600483963,-31.733765275904315,-30.14138800024497,-29.237418317915925,-29.003324508234744,-29.338356876453698,-30.010544068978653,-30.72681550818564,-31.284962809241723,-31.52907599540379,-31.466739368714546,-31.14290421768419,-30.656092279999996,-30.135618594894808,-29.66915926295839,-29.329149403000788,-29.120347003390144,-29.030145981309957,-29.021620441839804,-29.033761297408024,-29.018240601984214,-28.921466757127995,-28.722658457918826,-28.409736513918443,-27.981972664165887,-27.478989202627133,-26.938326835874147,-26.418269490339334,-25.975907254515906,-25.66392974325345,-25.548513234489143,-25.63623971267291,-25.934777977134765,-26.44655143671119,-27.116033439805587,-27.911671057304318,-28.808938657312407,-29.77431842,-30.796823411684592,-31.87231394099501,-32.984276325292974,-34.118952121333685,-35.253823861117496,-36.36268469697801,-37.421067544036774,-38.392880473437046,-39.264317582261306,-40.01830588379711,-40.62666655565223,-41.098611441113334,-41.42999716343573,-41.60002683670285,-41.62151684957665,-41.48944027036532,-41.18651136907738,-40.747471861142856,-40.20238490545503,-39.60148171993628,-39.02091616436456,-38.520113342620725,-38.16515996785996,-37.95420381436967,-37.86761929,-37.86468848488293,-37.88157895809929,-37.89092775474077,-37.9043776139622,-37.980734707497,-38.19230344029467,-38.63698083133404,-39.306018838934456,-40.145245938319334,-41.01783876846152,-41.72343702058632,-42.09350658369128,-41.92599034894779,-41.23967083291513,-40.10868554472295,-38.69462164302944,-37.31087617054428,-36.225805615596414,-35.795154613257495,-36.15486934284166,-37.36291513333112,-39.44435087632468,-42.078302233990335,-44.956650373629216,-47.65120852
7kg_10bpm,10AB,-43.69364857,-41.719149574249805,-38.42606209672915,-34.88201001974967,-32.27270139202583,-31.45668024285693,-32.612860011084166,-35.14985712471067,-37.94606733842389,-39.82754333231677,-40.05488973050238,-38.579855524967535,-35.96715796961189,-33.06456229103735,-30.620575282937857,-29.036035098456253,-28.327738590254494,-28.261139270307773,-28.542172023945355,-28.963936692258024,-29.45706283900335,-30.052371661136426,-30.801512963258226,-31.705825316138455,-32.68332682279216,-33.57852348,-34.207034087364775,-34.417508928562235,-34.14337417998585,-33.42698863334466,-32.412586361548705,-31.310883338667004,-30.340577235423186,-29.664602579385885,-29.34419027092281,-29.3271069633787,-29.472829636486054,-29.604126505721023,-29.5657509784782,-29.26970503942092,-28.71370357179509,-27.971465668955,-27.163916082112127,-26.424667003809475,-25.870819253141676,-25.584117383634172,-25.6024204894837,-25.92019950171865,-26.497745193032056,-27.27767946294244,-28.2042899,-29.239576390433854,-30.37242252273313,-31.618253541758587,-33.00480886252915,-34.54103161557901,-36.17899953975593,-37.79068475883315,-39.184306779703086,-40.1725735548428,-40.672898053418756,-40.78446891134766,-40.78140604089637,-40.99701387964852,-41.63921283519883,-42.640155463295194,-43.65465113412087,-44.24560040328756,-44.1566722196518,-43.475932026141756,-42.5481314325542,-41.692774501017624,-40.96604264835412,-40.177822136146034,-39.14113415158944,-37.91612047000001,-36.82615308188603,-36.23830608939315,-36.29680200513512,-36.80845986342672,-37.34098497123472,-37.46187544585241,-36.979473481563915,-36.03984082121019,-35.02949481187462,-34.36669643780617,-34.30354896173355,-34.82931298768347,-35.70684998205375,-36.60372992067419,-37.24097656132933,-37.495074526594685,-37.425777867187925,-37.235731238181536,-37.18644487269816,-37.499967312033256,-38.27369223478005,-39.431565674036364,-40.72797594161234,-41.80218980087712,0.0
7kg_10bpm,11AB,-12.3790282,-37.62061837421554,-34.48268299549856,-32.823952642350854,-33.01566087633522,-34.736329625638945,-37.1592643002249,-39.309223060300006,-40.41798599201156,-40.14353637157556,-38.60129557519913,-36.22930743120944,-33.60863991112635,-31.261953514749454,-29.504549992345332,-28.42596033194391,-27.931202995780076,-27.831682539492505,-27.941166389369112,-28.13715753328416,-28.375739993602004,-28.667887527783506,-29.03929229873058,-29.49594978431994,-30.008395024867774,-30.51627263130443,-30.94824736948589,-31.24486196349071,-31.376847533880884,-31.351927420281836,-31.19621552197575,-30.93297831763638,-30.572108873070057,-30.113255884624056,-29.559709098011492,-28.930909151601664,-28.265255548967737,-27.614979099433874,-27.04005145492141,-26.605080592587342,-26.376803832182834,-26.415514693213602,-26.758876723889973,-27.406342408736208,-28.30165532432835,-29.335837822928912,-30.382209973581123,-31.333846079921965,-32.142713693320886,-32.84287048141935,-33.54249055643702,-34.383797480419496,-35.48255837391769,-36.86812728704903,-38.4456940287165,-39.99961183954999,-41.24817915674918,-41.94649693808256,-42.00173645203103,-41.54045967853548,-40.895120165592736,-40.43592389453432,-40.355929451350406,-40.56618376085724,-40.774245794377855,-40.72585715386383,-40.411272893846224,-40.047652559839705,-39.84669015775004,-39.79573384352472,-39.67405499460125,-39.281780817747006,-38.644699354487074,-38.003066884663546,-37.61360897577037,-37.5506929910754,-37.630433229579786,-37.52495069137151,-36.96188669957525,-35.882484266372394,-34.50261118870575,-33.232085575610014,-32.49615340673535,-32.544458606771705,-33.34042150064736,-34.581951518922054,-35.837499661088245,-36.726038961823285,-37.055093071571285,-36.864281736674265,-36.3657972773329,-35.837007923739215,-35.51139779872553,-35.506999592552916,-35.84211760025183,-36.484747057422695,-37.400909725037,-38.568047048905036,-39.93907797324184,-41.38550066558902,-42.67029627
