cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,-45.26908404,-43.8166629202352,-42.45397707532913,-41.60682228731222,-41.40446562014648,-41.883444613211665,-42.89590833044251,-44.15749384240433,-45.40979828653396,-46.43681958500137,-47.14298460576022,-47.498080083150995,-47.6184113871961,-47.59158964879817,-47.52151110556468,-47.45060922444925,-47.36386019872762,-47.20233284432127,-46.8779618357827,-46.30021944384289,-45.43905031637193,-44.23248095447992,-42.748613499853434,-41.0337169796194,-39.16901396847982,-37.25377532,-35.37194695554772,-33.59277026727608,-31.955866105168305,-30.50261889903176,-29.21052100900942,-28.07771287002825,-27.070561330007333,-26.15305528617316,-25.305898461985354,-24.50009251002076,-23.73270786768047,-23.01275470039683,-22.353232129801842,-21.789291171140707,-21.332876545542526,-20.998455232076118,-20.79466163525051,-20.69712911062041,-20.69692184176351,-20.766936964721005,-20.892530119847546,-21.079407530691984,-21.33296428709838,-21.683077404733595,-22.15710704,-22.762059657346207,-23.517764777901995,-24.379379845505902,-25.31126404594919,-26.253332893458612,-27.15260308525244,-27.95189670402708,-28.63006531117295,-29.178359088761862,-29.60105417116443,-29.942662582675396,-30.24082676542644,-30.547802825085746,-30.89697180903188,-31.314350331998146,-31.781743001327328,-32.27394164626638,-32.750933365509674,-33.19272830077501,-33.6032549718005,-34.03632270021886,-34.56701935706857,-35.289138933579316,-36.22489436684198,-37.36565027999999,-38.55820284422981,-39.60868025089455,-40.22351553279676,-40.262480610449636,-39.59272484966883,-38.33986738053318,-36.766260405167166,-35.24137449492545,-34.10981513288481,-33.63212130788584,-33.8775216892386,-34.66834637473547,-35.791716219125675,-36.911341870801195,-37.82930854536806,-38.45822452481011,-38.91025901814731,-39.36921759328032,-40.054801810016826,-2.1880552066363013,-8.368008337520069e-10,-4.680234897940951e-19,-2.1836763062655684e-28,-7.158709278279366e-38,0.0
7kg_10bpm,3CA,-45.68001868,-45.536056975374144,-45.3991770659979,-45.42805567255464,-45.72614428329628,-46.33029598079016,-47.15105867064636,-48.072072336829876,-48.93034400663319,-49.5519825073714,-49.89511249257401,-49.86309592212835,-49.56020247573818,-49.02667661350683,-48.38875822133529,-47.73207349371696,-47.11561277340196,-46.557450222648534,-46.02811001322556,-45.46253065008104,-44.77687187680754,-43.90070088245289,-42.7540544327538,-41.34538434149273,-39.644814050012435,-37.7506066,-35.70813928707862,-33.6358960911573,-31.64021767099106,-29.798397570208422,-28.214753124207867,-26.917776148782153,-25.954463493679647,-25.307768382146723,-24.94470480477064,-24.809690064597202,-24.811723326386126,-24.870071896917466,-24.897720938891567,-24.81683307960311,-24.606332230097685,-24.226690635319468,-23.730699195408803,-23.143716135023126,-22.536695056768345,-21.971367151845193,-21.490557142282675,-21.13563594666278,-20.91198267375648,-20.819172173661048,-20.84362799,-20.965574620017183,-21.179221502183832,-21.473273696327528,-21.862794114280423,-22.342105619313138,-22.93813235981448,-23.628715569076878,-24.4245298100193,-25.28563668751583,-26.189894992695432,-27.09810115400195,-27.973254369456843,-28.788635162589262,-29.517871398398537,-30.14953876698892,-30.683008234149924,-31.12579616998097,-31.510731544004585,-31.878241525864222,-32.28559392473878,-32.8140411366714,-33.49772350264223,-34.41687851462613,-35.52155745751924,-36.77733976,-38.04299109843257,-39.127784845553414,-39.860135125833665,-40.03981574784161,-39.59734217855251,-38.55778264622297,-37.06646885574605,-35.41440748394616,-33.92767891925544,-32.88772113991902,-32.60527928119888,-33.0341542764151,-34.24856367217155,-35.90015694303145,-37.75689148180811,-39.494299548111314,-40.81217744014788,-41.58723359372528,-41.69394374996621,-41.175569401154554,-40.08793955557995,-11.71389067165806,-1.1969082880371917e-07,4.2915531196434783e-16,0.0
7kg_10bpm,5CA,-45.02016069,-43.9192694975997,-42.78204118904365,-42.14636025192395,-42.36696353624213,-43.45511852652343,-45.148464869232136,-47.002008813717744,-48.49143145194985,-49.292447661576674,-49.33115441305566,-48.74132400617913,-47.78911442656886,-46.783755593143134,-45.938068074631445,-45.30746462455923,-44.81947440950843,-44.306795545354895,-43.55938582401554,-42.43893902490572,-40.89123751352285,-38.959514879823374,-36.77068838049689,-34.53968390934034,-32.466102096261714,-30.70666761409811,-29.352784569678043,-28.44397458712959,-27.888162511714636,-27.583445206718995,-27.424345269153548,-27.324523147782305,-27.228490526785357,-27.11618881539732,-26.98616152696212,-26.83890124625242,-26.666645522954845,-26.450876452448377,-26.17236102526159,-25.815792864954112,-25.37615603154319,-24.858084552622397,-24.28883329929039,-23.705667592351933,-23.157213476720177,-22.703665796602447,-22.428669956484168,-22.38740430439801,-22.617216517802365,-23.11994541017208,-23.85793913276829,-24.753088354348037,-25.695351585768975,-26.595464843176366,-27.387314141539218,-28.032874605436103,-28.53545442028646,-28.929632716088864,-29.25775169858657,-29.566981468775268,-29.908863833256266,-30.3284243172562,-30.857820399866455,-31.514617360709916,-32.29687954934706,-33.18282040990596,-34.112558907335725,-35.01812997482813,-35.821189527971505,-36.43922067111291,-36.79663844055705,-36.887987411107716,-36.75475276124506,-36.499022416195515,-36.27349478512274,-36.23820563956711,-36.473178157118745,-36.96064556681221,-37.57907409119012,-38.112169520088045,-38.337973200424535,-38.12154493941878,-37.43969863357012,-36.38738101231203,-35.16106166380509,-34.01552122532281,-33.15340071108562,-32.71872315688048,-32.78902746666541,-33.362578649454385,-34.32346280728377,-35.53341777002593,-36.82320034555176,-38.00198878378887,-38.88948273553821,-39.355901940903586,-39.30517748937732,-38.68239144753331,-37.448283955680246,-35.716814698779494,-33.6661354
7kg_10bpm,6CA,-43.87292472,-43.07577039730238,-42.39460148156488,-42.116304156980185,-42.36097112455687,-43.168706095027574,-44.291494760134725,-45.5061622322377,-46.546015815321354,-47.27817360051908,-47.662125681615585,-47.74275978536182,-47.67908513866292,-47.584180675800916,-47.53872397459586,-47.529653298852075,-47.48015532076499,-47.25120021117204,-46.73652036752276,-45.83059111785849,-44.50803265722173,-42.835156438818174,-40.88243559825344,-38.79211701637793,-36.68970123569668,-34.69214963044154,-32.874673878977354,-31.262402311410717,-29.87923483277027,-28.677728376519568,-27.623500884886003,-26.706545948433387,-25.90453930713052,-25.226185648230757,-24.70530320663017,-24.32988154033601,-24.090756318988973,-23.95938455506662,-23.873094266154506,-23.785301114302435,-23.653859488206088,-23.469787780107808,-23.23978627079066,-22.992098750920327,-22.759918393966053,-22.57552877517069,-22.466417743291576,-22.445362699778368,-22.53359527004369,-22.740342498920487,-23.06569396,-23.521375587309404,-24.091965554071535,-24.756913136926126,-25.49849566438505,-26.27672407564821,-27.060927808742424,-27.817122415959407,-28.525943076722605,-29.178597763024904,-29.7694738857402,-30.31573280990178,-30.827439953354336,-31.312947447989,-31.782976173518556,-32.245788844373074,-32.7200759036026,-33.23156514475136,-33.814255621502994,-34.50008919363389,-35.284169504056756,-36.13962975417566,-36.985245140042814,-37.724654712379575,-38.242291999633515,-38.45992277521322,-38.37140137184597,-37.98415950778771,-37.3998016098739,-36.720154324526604,-36.04380910653677,-35.45394485471035,-34.999911616342025,-34.75088038578717,-34.72177555207637,-34.92937161062121,-35.38942128894177,-36.00330210492779,-36.662805202192374,-37.1889738622882,-37.4473336121935,-37.34675631185203,-36.88013452745222,-36.20408996947854,-35.492756215655,-34.95516099761295,-34.680632107527245,-34.66586335627212,-34.744228242893186,-34.68903585507829,-34.26093033
7kg_10bpm,7CA,0.0,-44.68518990656401,-44.17053702618573,-43.779433201269285,-43.67214150726664,-43.990892020000004,-44.7298948599594,-45.77187652450733,-46.898800130574365,-47.82356029106728,-48.32826545,-48.31831428539853,-47.808629886980036,-46.894693604139576,-45.71629827180694,-44.415549799999994,-43.073698738374986,-41.73851339665507,-40.44262756088128,-39.21462249769944,-38.08593515,-37.08555437550787,-36.22906577672118,-35.509635307699725,-34.87662642698868,-34.27645204,-33.65745568910792,-32.98099339319801,-32.24220744635074,-31.46637881607692,-30.695961049999994,-29.98065442076053,-29.37137934635644,-28.88047976669867,-28.496826967266603,-28.18437591,-27.890120667266185,-27.5574711234594,-27.15302648039042,-26.66752077175386,-26.113980440000006,-25.52171093739262,-24.93184678869744,-24.37976297997196,-23.900392986614225,-23.535747299999997,-23.333335163064653,-23.32889479982122,-23.54938981220784,-23.996124901909987,-24.64389809,-25.400636842015142,-26.170003003799202,-26.858469782591186,-27.392426209192255,-27.74339096,-27.952512149284384,-28.09115120547674,-28.25016080059196,-28.52986740234009,-28.987920839999997,-29.637729945953645,-30.452074860511196,-31.368696824972787,-32.294698828866174,-33.14097476,-33.84903320971404,-34.40313495548803,-34.8387218399651,-35.25879329277481,-35.77068696,-36.447719186680494,-37.289592322293586,-38.17687929677646,-38.88864818656091,-39.19666822000001,-38.9334988988404,-38.04058327324446,-36.7035232628987,-35.23215538389107,-33.95157188,-33.11874781958688,-32.86610051201117,-33.051709383119785,-33.45860603235177,-33.84912828,-34.04424103150214,-34.02134566938211,-33.91202975568418,-33.91430190287965,-34.22348020999999,-34.98666314927769,-36.139660557071586,-37.51540008798404,-38.86262696891435,-39.879645509999996,-40.28069762690779,-39.91171794442505,-38.71395761620862,-36.27353693443376,0.0
7kg_10bpm,8CA,-3.40308316,-32.7804595442778,-33.219019673978515,-35.114975531685815,-37.76544852019543,-40.35636720648358,-42.295231536396265,-43.36254404074148,-43.65891785439888,-43.447477517571066,-43.01268646,-42.59630520399037,-42.38836448934709,-42.527532782409224,-43.06750973348243,-43.92593389450622,-44.9012735558029,-45.72842546267165,-46.17080253313245,-46.09892613448494,-45.511643989999996,-44.49780750094161,-43.169526336914515,-41.61056545258759,-39.86620779035736,-37.97238261948707,-35.997097652305875,-34.05884633623391,-32.308795840796435,-30.866330079542593,-29.76769539,-28.964184705718193,-28.357193093022566,-27.86241869606385,-27.455622830463714,-27.17142202597406,-27.056932569565458,-27.11142537950401,-27.252956740746455,-27.33564577437394,-27.210806659999996,-26.79719337482543,-26.120684591903007,-25.318498169400357,-24.576898878162826,-24.060982512997978,-23.864842843640147,-23.99008851620679,-24.359410251184265,-24.849842119053015,-25.332927240000004,-25.71278814713376,-25.956835490813766,-26.110560816725897,-26.286517125818108,-26.62340186261691,-27.23476697751596,-28.157445201320098,-29.331002721725422,-30.635336370486684,-31.931647859999998,-33.10125861013295,-34.06368799192445,-34.774439117312134,-35.21949196500331,-35.42097187212492,-35.45279258890444,-35.447505916275354,-35.573511402592764,-35.97476153028564,-36.69870075000001,-37.63663574569754,-38.526943929422295,-39.05908023401953,-38.99626011344343,-38.28676411261834,-37.09176190530842,-35.717528689036804,-34.49124772934498,-33.64615161287887,-33.26585032999999,-33.29464138671235,-33.587425516079094,-33.96736807755956,-34.2750841911006,-34.39913273338766,-34.30431579767783,-34.033105030294415,-33.68622525456757,-33.40128982813855,-33.32148606,-33.56276097354866,-34.181381859973534,-35.14960669444157,-36.349798690071154,-37.591523031265496,-38.642518006832056,-39.259874845678986,-39.2181352036548,-38.33497940860264,-36.56350842
7kg_10bpm,9CA,-4.33429269,-42.71548952586939,-41.42577803639386,-40.19157553861177,-39.61282775535528,-39.924637503662986,-40.974901817434194,-42.3186217149371,-43.58131246242291,-44.5908891314615,-45.40048628370548,-46.183244255088184,-47.06927606572674,-48.015223861225685,-48.808140626325226,-49.14850615229777,-48.77221550092414,-47.51739381577257,-45.473541459763425,-42.841966167778004,-39.895981761455666,-36.91121137883351,-34.12337323475215,-31.697939399374704,-29.704635543088017,-28.150101759760055,-26.99269044589466,-26.16575738009094,-25.604180155673607,-25.226955072897976,-24.973571315571323,-24.796029798798973,-24.661668339706527,-24.554402160581986,-24.4739368655262,-24.43331199027127,-24.457954478246144,-24.58154039038792,-24.83746343530706,-25.25088034061347,-25.804749020823568,-26.453144190815944,-27.128474761920703,-27.759954052448073,-28.28722037104755,-28.667927392517807,-28.89229477518663,-28.97707842404334,-28.972634791625133,-28.957262719488487,-29.027099123554766,-29.261911533978466,-29.706903133054315,-30.35669958939919,-31.14692727424025,-31.964044265523963,-32.67783581476027,-33.21177258791672,-33.57161546359748,-33.840603569801644,-34.13523409815826,-34.5559715108451,-35.13370663326836,-35.834206302645164,-36.570917367439634,-37.21862429672233,-37.63238835106736,-37.67993360366598,-37.331485335685315,-36.65516565144697,-35.80825888006404,-34.97505078187751,-34.30715104742867,-33.868059947417336,-33.65272632003987,-33.62205143849873,-33.72741813348835,-33.92481783463233,-34.18143857134109,-34.471514126032275,-34.771137468861355,-35.03960825854718,-35.214271253851855,-35.22206256587501,-35.03685033772498,-34.711667015921726,-34.38016984301605,-34.2123880902476,-34.32995536317584,-34.72471744177483,-35.21286196764563,-35.56733185145794,-35.66349387465765,-35.607142036828435,-35.73872480276067,-36.414360333019765,-37.679928285380896,-39.11100195923723,-39.905819293984166,-39.25482459161349,-36.75794612
7kg_10bpm,10CA,-44.74460589,-43.77268005540342,-42.62681580307667,-41.85110038522845,-41.81870580160844,-42.583535231360344,-43.87505809752666,-45.2295805345304,-46.19463483018556,-46.51324344829472,-46.198593286929054,-45.506374352149535,-44.78241410916369,-44.278435195305285,-44.0616537918636,-44.01139241200665,-43.90046536052636,-43.50505139227828,-42.68675003431793,-41.42149305576956,-39.783182266548486,-37.90690107319955,-35.9514564927249,-34.069549493644416,-32.38549799572489,-30.978767719488033,-29.880311868625245,-29.076512637853124,-28.51618783995734,-28.13521536707465,-27.872331561177855,-27.670443993191245,-27.476369769578987,-27.24198373750064,-26.930310913874035,-26.525185165520163,-26.03832925830705,-25.508719168917555,-24.993503569395497,-24.554531937615764,-24.24639052233203,-24.108744937101612,-24.164014568364397,-24.417116301155783,-24.846623056078926,-25.40162832560781,-26.011181951601102,-26.597369303518295,-27.09808984964938,-27.489796677129895,-27.798794202820996,-28.09566819397728,-28.472795964284813,-29.01153245319535,-29.74979202554925,-30.662818438069582,-31.666806587810257,-32.645529186598836,-33.489227739947744,-34.122105368954834,-34.51156917543062,-34.66323109192493,-34.60027228997777,-34.359599397600086,-34.00644092404932,-33.644881336725,-33.4086025840552,-33.42351715313899,-33.75340543639832,-34.357901118725025,-35.09208865079794,-35.75796420354889,-36.18731694664279,-36.313699278711766,-36.193178156042244,-35.95776083951259,-35.73583741059426,-35.57816643933471,-35.442094516724985,-35.24396284908343,-34.928618213432344,-34.51913416990071,-34.11800123928395,-33.86608054026545,-33.88458811779281,-34.22632608521609,-34.85010572346253,-35.62106410447534,-36.33685778549747,-36.77891783299418,-36.785373098882786,-36.323637491042355,-35.529116565895656,-34.69890862666638,-34.180832674662824,-34.21930369257008,-34.838193326419876,-35.78651482653131,-36.60745437932051,-36.810034797234366,-36.07762785
7kg_10bpm,11CA,-41.23404293,-39.26868037267606,-37.94523006321918,-37.652442214568346,-38.42610386064197,-40.02980786921677,-42.03081682767983,-43.90746674083845,-45.325726228665985,-46.15832236084302,-46.45323590504012,-46.40669795983869,-46.23814083124237,-46.07119116880137,-45.938967628585715,-45.785171424165206,-45.520817985591556,-45.07401649607019,-44.40636634001902,-43.502373885080985,-42.40971003235012,-41.16492687908932,-39.8026630656144,-38.34904091185826,-36.84194010010759,-35.31757576570087,-33.81959937971294,-32.407237030254024,-31.139386959983657,-30.059796165241874,-29.196121677731302,-28.55730560212673,-28.111983264816764,-27.795928586177762,-27.544379130939888,-27.294805649263694,-26.998512444589235,-26.64561607337272,-26.253187663084713,-25.858397344186617,-25.51344995158671,-25.253476989290515,-25.095236763360315,-25.035263178727853,-25.056482452866355,-25.120495193181334,-25.199723128447857,-25.27852082611618,-25.35992284779906,-25.47014534573286,-25.648539376126525,-25.938633151711073,-26.383997276322486,-26.9983050366226,-27.754701619851,-28.59927172798405,-29.448288718959734,-30.19044604258111,-30.735492489266758,-31.01979048109481,-31.01911062134615,-30.762717645107173,-30.38246716465565,-30.038746596603318,-29.92082798458163,-30.25578771465742,-31.12821383122325,-32.52158231454519,-34.28564168207123,-36.1262976036997,-37.6571090310458,-38.574965631957845,-38.70743174998696,-38.035164923800664,-36.81877952486388,-35.421630674054036,-34.187862858601754,-33.39400902851126,-33.148594098779384,-33.347487875641384,-33.80877244695817,-34.316012001581356,-34.675511615427475,-34.825478021203374,-34.80623321504394,-34.73329299061498,-34.76834848676016,-35.00777340507528,-35.45623547973801,-36.02730186068109,-36.553083620120525,-36.86977159492813,-36.9001647445088,-36.66663169457587,-36.285744053297,-35.93929059341803,-35.743901360291815,-35.717196898883834,-35.76487844728381,-35.69964429916925,-35.37200564
7kg_10bpm,12CA,-44.84799438,-43.56097953528486,-42.075090211429966,-40.87027869364909,-40.281780825751,-40.453059099338525,-41.357167815065694,-42.664492948037534,-44.048072148860285,-45.23310938001346,-46.01257375142045,-46.39820526588767,-46.466456391610166,-46.335043041415744,-46.13097651771115,-45.92804922627727,-45.73468257953809,-45.50350706549498,-45.14817397275012,-44.58790365658947,-43.75890500333619,-42.600468775624705,-41.15459913405539,-39.47887018952171,-37.65730138298689,-35.80558849356193,-34.038231395932385,-32.441326373784825,-31.084288155065718,-29.987737292070296,-29.121189436484126,-28.445178016905693,-27.923178533329203,-27.508818914898615,-27.183528092109942,-26.944102846579497,-26.798294676529686,-26.72896772510869,-26.71238292986318,-26.709492319207254,-26.666195007082266,-26.54165302756966,-26.313978850358318,-25.983791408647512,-25.59715948426888,-25.219715639304894,-24.918035089543917,-24.76186637131935,-24.761005530225273,-24.893409663075264,-25.110703975459458,-25.344975045830772,-25.54223481466706,-25.6831242613129,-25.78042612067075,-25.883402823795723,-26.046612432179924,-26.31005381862373,-26.696720948953743,-27.178835378742317,-27.714211300275473,-28.263703345096012,-28.80555970345993,-29.35476561467313,-29.948620982801657,-30.631838712616094,-31.428403214568384,-32.299629783501814,-33.16898879152843,-33.9186892250482,-34.441454392278104,-34.70526121815578,-34.751224613196946,-34.708251138750185,-34.77918391613257,-35.12242960787932,-35.827165837131254,-36.862789111251374,-38.00244881229947,-38.9774956535743,-39.48145866417576,-39.29238365646246,-38.424944222005124,-37.04001342036129,-35.45327477996504,-34.0925469044459,-33.26996582279643,-33.158879158773274,-33.7963055500419,-34.889396652258704,-36.1321163107409,-37.2086296495061,-37.871775930522226,-38.10560724237294,-38.01274894191923,-37.77937026249052,-37.599222435946764,-37.531414344040705,-37.50451413266147,-37.31264376199761,-36.75131893
