cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,956.49925789,902.612884558883,853.8295614377872,824.071862733781,820.6304219292518,844.8713988079409,876.8167599325034,908.0123900277289,925.5047640715758,934.7609764935296,932.1735006171824,915.6645311163596,885.4406477706174,835.8436225192396,777.1294812288955,709.9978353331463,647.1978516539012,595.5528440233772,565.6054101736457,544.0267092904838,501.86858731116564,463.466056283267,449.9974588349319,438.7352496298502,417.387210757849,396.6536261750328,374.6302739255442,338.4036977814191,311.1380149766076,289.87421767707434,284.92050674476036,290.08044044094584,297.4401829110232,302.81235413472484,304.67195427366033,312.1827849003932,326.17212335389394,343.24417859880856,359.8244639591978,374.3287426465895,389.8210572832727,408.98343646162294,434.08874809468784,467.8242085788913,508.8722124324476,561.1209262665022,620.5749863304767,676.6153473957246,727.3197369815944,763.5526839891864,802.25760468,845.8857290564904,886.7247810883822,939.215940391972,983.1753825397864,1013.5341370595563,1036.1609181180143,1063.0741423784755,1085.3469429712711,1102.810976335871,1121.1956856747402,1137.653757195419,1153.3700374804926,1166.8624936137892,1158.626327894506,1139.6557150850417,1116.9082870708355,1104.9579644565076,1095.7612108436683,1083.0239060657377,1068.726047174561,1067.3265321082733,1070.9626084051238,1081.5884876273508,1079.4887112292952,1068.7930392652586,1064.9512988037397,1066.0928980530805,1067.6208058023437,1067.9420314177767,1065.464893741945,1061.744206990272,1053.8757203110924,1041.5407255055002,1034.127857677652,1034.4151067307823,1043.5588018971891,1063.9759837798704,1093.273581527943,1128.5569601574991,1181.038466141848,1217.7932220089758,1233.0837597162554,1251.7684195167692,1278.4406995055756,1326.1588626171588,1332.8987227373423,1286.4394941531273,1252.3211085603793,1193.0172486467306,1185.3996558
7kg_10bpm,2AB,852.53055009,819.5543349637321,782.8864316187662,752.2846590706441,734.7129666289063,733.6603117893683,744.8389456190428,760.8869097433337,774.6076536123637,777.6568856755557,767.4186852310368,744.8216571975353,714.0500866051117,677.5293387910122,640.2089426288666,607.1558790030962,579.2029300404519,554.5385610226683,529.8238924157398,502.08350368180413,471.2842571820095,439.31244872104355,408.66239184782074,380.8644957169789,357.341188002578,339.0370877826638,325.36320049394146,314.60697178459594,303.6740073937337,290.88824985545574,276.0167628968181,259.3997482134806,247.65662488591477,240.4539259373867,238.9070610468684,248.05930575184613,268.823821351972,298.50083437457226,333.74986785322795,371.6878869386934,410.70879756744176,450.24816331091586,490.52727010634544,531.6221914708991,573.5965229760784,614.3828115842852,653.2588361618933,687.7752493198968,718.7143920727899,749.314779368968,783.4125862853042,817.6384706482063,851.5849987170428,880.8979997519425,902.7334452606053,918.9691619830301,932.405256738136,944.7133871438818,958.5802259747112,974.6516422791077,991.3273869509266,1006.2042402173795,1017.9488313664577,1026.5140839632636,1033.5679959479276,1041.3187823032292,1050.357782743518,1059.4186852826058,1064.2635405069245,1062.47751620971,1052.8657138512162,1038.7182991756335,1025.5730327464792,1016.5794681347163,1011.9906650551857,1009.6913921990383,1006.4810368051635,1001.3868910809048,993.811831218884,981.9023314573434,963.0010059259465,936.1558727703816,903.4798054223864,870.5979539671092,847.8731938542048,846.5781662842003,873.241475209755,926.5566751538686,994.9573171181851,1060.8373342017546,1110.3939059482561,1139.0834208117326,1154.999370135731,1171.3222598719094,1205.2660614296394,1266.6216178104287,1335.278753146418,1377.6444558556293,1376.564626773939,1338.5615070714157,1274.23729606
7kg_10bpm,3AB,927.60766936,861.241888401001,794.4224686682,740.0575144463859,707.8549822361085,702.3751417818573,718.587680331829,744.1955800573342,767.812555483829,780.1393622785209,774.556289089639,750.9549716420444,713.263251213023,668.7731436138192,624.2278996206669,584.3116045626354,554.2199306224566,528.9501657464305,503.71786639268817,475.6094315891162,442.10513962420833,403.09746134832153,360.87554141622536,318.3876599646374,279.55447629617186,248.14785441412835,225.7164591045083,214.04967360173063,211.15070517534284,212.54414153285273,215.0658468726394,217.37919565772054,221.05825832013204,226.4141246690249,233.41468547179556,244.2582792567172,261.3561863664402,285.91666707091014,317.5900203004505,354.9055165135603,394.2699325301738,431.8581166057557,465.79648846915967,497.0895318950044,528.8992853364857,564.4019419957657,604.5333433352636,648.2440097358864,693.1456018742166,734.3592162098629,767.03249302,790.5051947924338,811.2943449041173,830.7750583167605,853.4277113156452,877.8548772138716,900.9842076762675,921.9347157541667,938.6324988884235,956.4215996486329,976.3464296195008,996.9311703541252,1015.1661752332476,1027.4488448150742,1031.602770690022,1028.014337380564,1020.3106039949769,1012.7929731798848,1007.5999458645629,1003.4991606755583,998.6865714594996,998.1390527090133,1004.0704507747563,1016.056917051749,1032.5011669303801,1051.112658769313,1069.9106292086217,1084.2061010995521,1090.934264725422,1089.5246805062673,1080.6412130012457,1065.747105140553,1047.4433738842206,1032.2529385750315,1024.6844601521877,1029.337827391488,1052.5571726146668,1083.4862674521669,1113.1581830513383,1133.1053208960307,1139.8369619527612,1136.7658754766474,1132.1850442671437,1137.120722405353,1159.821716316898,1202.5929691744896,1258.8984721848763,1319.745151995479,1375.7175577078644,1415.1326505511008,1429.37129542
7kg_10bpm,4AB,981.54939167,917.5556157891517,852.7244377065272,799.3706666251821,767.174120981461,760.7683229792582,777.707120208296,809.2957286053512,841.511088547915,860.9006633542554,858.8235750378498,834.2544154732537,791.5324658179004,737.7908056784485,681.6652801774039,630.3737872483462,590.1712833478697,556.5573388162003,523.9816754038446,489.8950664239654,453.33637510158997,414.5473999743384,375.1718161575198,336.5150795792213,298.98173172118055,262.9561600526642,228.38251181478168,195.18130367499973,163.6597821312448,137.51073001322385,124.4233699952742,120.15386632509063,123.8731591645389,133.31125390259893,148.77009502592102,169.39991773809334,193.912158760737,221.4989870835604,251.6063203781367,283.72618569495154,316.66411229158444,349.4188820667208,381.70644808838927,413.426738964995,444.60810312644384,475.2085372621873,505.13868347637043,534.5114382172668,562.8411138145631,590.0996458180997,618.2218591233471,649.3719373289899,683.1506278627021,716.5355958722847,747.7364575254855,778.6403339966314,810.3021173272723,846.9389627659918,887.9990150658505,930.1170029766672,968.2345558419036,1000.140548541844,1024.3857767711831,1042.8045310144953,1059.1488927310538,1076.8417355223992,1097.447505933306,1119.1851553490103,1139.3856846941896,1152.2594176920493,1153.9038895163098,1140.5359431324669,1111.267703430918,1069.9789517800782,1026.1185925887996,989.8582662723,966.0854307949871,955.319692030435,955.2166094364193,961.5249484708856,969.2270339331669,974.1986215518111,972.9852880256742,963.3478634884871,946.4967282709122,930.3106191776509,930.9483945851582,963.7447921157959,1028.7537463741219,1103.8465889457166,1159.6872679344249,1172.2337266104796,1138.7022780202838,1088.3012079995315,1051.8942960140791,1043.99905893647,1071.3730403711975,1132.9842960865894,1213.5807461098448,1280.254183912672,1309.49186558
7kg_10bpm,5AB,888.09369556,831.8368403483612,772.7459818847456,720.5785114765757,683.3536161354089,667.0665242100001,672.0926052889059,689.6692611736047,707.3068585762485,714.1320089016865,707.8394775299998,687.8656080244714,659.6954449935025,628.7802198330546,599.2706460768853,572.3485088399999,547.5844188463955,524.9784474715333,504.69004773504304,486.08483935061923,469.83606961,451.1813435261,427.1053516680576,397.33166092424364,363.3318253351625,327.89975866,294.24294329409173,264.5266869654071,239.4024023777207,218.67180505249388,203.16801999,196.98190016674047,199.94200315134063,207.6290035572116,220.19570674459712,235.46030779,253.34643227652475,275.5362806344147,301.7440770152291,330.69461653776614,361.47459929,393.16351430282344,425.20831280349387,457.8393161102502,491.03079135905097,523.6202081499999,554.1135304044878,582.265992529271,609.3642340808841,635.0222429986907,661.6539027599999,688.6895283499451,715.8585721028617,743.1219313180251,772.2326214649389,802.44564284,835.858692255112,868.5225159719461,901.622574033963,933.1370403194747,963.8683031199996,993.0996480411395,1020.8298841751897,1045.1606615242006,1063.918587424023,1076.03958853,1082.3045307003688,1084.1327872599552,1084.963747052247,1087.8115983793327,1092.86164281,1098.7907871426416,1103.0456219235132,1103.8353343403912,1101.0547477883674,1095.8545870300002,1089.6064916243995,1082.5609522505729,1074.3165818082384,1064.509058892716,1053.6145287200002,1043.040082065292,1034.8983985857305,1032.6392407209303,1038.2354759664443,1050.8525546,1067.0460749293059,1083.5036639152236,1098.7252676899463,1113.711365495603,1131.8411680199997,1157.9481959661782,1194.0592258866648,1246.5467137474207,1304.8594425863114,1363.52391871,1414.4264723923172,1449.7075986618042,1461.7342155381439,1444.0010509971435,1394.83059883
7kg_10bpm,6AB,954.93602384,879.7759016048878,800.9168159028787,730.8439326573267,682.2077375644874,662.2672600697395,671.0154394455722,700.0174533368997,732.722352221631,754.7328395035086,757.5376818402561,737.8929790169329,701.1194192929963,655.7116210172824,609.3511103583268,567.7304856696553,531.836180012442,501.442408966363,478.1695847803443,456.92148189729414,434.291992890114,408.99210639544816,380.09279286562764,346.7425831953497,309.4488990773479,271.0229985835595,235.17117612602146,204.54379825310343,181.2139350481513,167.26483645948505,160.51831518109518,156.94978068970036,158.84843952071753,166.80487781610077,182.3027943363791,204.87584886279382,232.40695540279745,262.6052375463378,293.958663515642,325.7233863235015,356.5768650000701,384.65875350682006,409.7861806692104,434.01800174965035,460.3436375709711,491.40326435260806,528.4034320157391,570.7058267951611,615.9072008300739,661.0187505579016,703.68867924,742.9998812561943,779.1745328507699,812.5939247774356,842.885376199197,869.0190047312225,891.1359592560266,908.7080372069316,925.9210138650337,944.920502563373,967.7865703659527,992.9060516378519,1016.0819622031606,1032.3220882833346,1038.5600751874663,1035.324935967976,1026.6939563738463,1017.3110828464388,1010.2530889081042,1008.1665517098924,1011.9908977339114,1020.3016124525908,1029.9619810200286,1036.7401055137157,1035.7374000315606,1028.3694537759263,1017.6130736870252,1007.0914249604057,1001.1222500313908,1002.2798619603564,1010.5632909351125,1024.6259399523783,1043.854608386764,1067.5477091419948,1093.7076002550607,1116.7981954412628,1132.2039485571072,1138.5195155861265,1135.2072330409258,1123.9240500777232,1109.3718340987896,1088.0648036732778,1067.8827632204582,1057.8321779575256,1059.301601984355,1074.7237840374914,1103.840678529913,1150.5672820533312,1211.7359430411007,1277.7127174571342,1334.96864147
7kg_10bpm,7AB,893.52432131,835.8541282909061,781.9215088370487,737.5867717481035,708.9805566296398,700.32929281787,712.3659506781763,738.1326019512526,763.7398864627938,773.8205254816273,759.7066763465718,725.0268837656696,678.888436688033,630.4946406307706,584.8456671620299,544.0524453314717,508.7881507204455,477.94684784496656,448.8841140223209,418.98240254502343,388.3729895790013,357.5316918324427,325.57481035912247,292.9490409825151,261.18134700464793,232.12855461515733,207.3814667458971,186.98464740589336,172.11667824244077,161.48899534751453,159.4284751285498,166.74455033432125,180.26636505694765,197.84119492010586,218.19974970337927,243.09068129942867,272.86331517451345,305.20551681439815,337.2523736118553,367.4670627534633,396.43729297538823,425.86069760956053,456.7930268666681,488.6824331650619,520.3563177074768,551.3046755713019,580.6481210561112,608.0009332904937,639.207055013708,676.0483480135688,716.5221647883081,756.126460419095,791.1448148907311,819.3101132940599,842.398382999271,863.5052956792016,885.3582861044295,910.0329448983399,936.4712159668043,962.2980552209258,983.7455519527821,998.0567009697493,1005.4307266166599,1009.7740713097886,1014.3603274607069,1019.7937563156124,1023.1561383321175,1022.2428896126693,1018.0402194830948,1015.7356836605244,1020.8463338678346,1035.1081059346207,1055.1358187469173,1075.0697247587168,1088.6280738747823,1090.859150754141,1082.4845890704914,1067.1433697838659,1048.5725075408775,1029.9022560574122,1010.9527341799189,992.911583428526,976.481395738573,963.7550054757359,958.2010675020149,963.2538128174086,986.7243180883888,1021.7609513378385,1058.1046235780261,1082.9953508977246,1089.4830674303894,1077.8031436921756,1051.272355625717,1024.0632857720398,1013.9301709945203,1035.237874534641,1093.683348292773,1183.7171423011314,1280.6981622372336,1355.31846019712,1384.27561836
7kg_10bpm,8AB,951.4755077,876.7894616506838,794.5292334389118,716.9618216011961,660.5398091897879,635.9671060622367,642.1659888073457,665.7977951243059,693.2641761908384,711.7596298101662,715.8567803684465,703.3342023264369,675.9474805958093,637.7873459631885,595.5566731891402,554.2258497275603,515.3209535916931,478.431607198742,444.22593779341065,411.9842102822645,380.3180732363076,350.5312539819225,324.06207561075536,301.2316334112362,282.7346789053275,268.70114402010245,255.61997339958023,242.6675983727216,229.8912607345758,219.2059342141101,213.9623019623472,212.2831044530895,212.81915695231038,218.49013427975274,231.1593755685878,251.16161320481115,277.01702269335254,305.4064871365442,333.8244983934351,361.4974163040531,388.28570719245977,415.15612731859085,444.695999351083,479.6738987846834,520.0911373363093,563.1728946258431,605.5941420199983,645.2005000579342,682.1747513166246,718.522511341891,755.12859354,792.0741337663286,824.919108896632,853.3935406769499,874.5138128807499,889.6024282267293,901.6175816894222,913.7925793732883,928.1671787993143,943.3350888733621,959.571157656117,974.0792363827546,985.8584753271626,995.7781555959257,1004.4873232604756,1011.2546065341353,1014.4818392893665,1015.3539976579145,1015.3981790532481,1014.8490105903735,1013.0933490885537,1009.7320548020734,1007.8064608552548,1011.4300422388451,1020.5874982907053,1033.4792582814678,1046.3948937154764,1054.2778238165095,1053.298398770826,1041.902480060652,1021.7545855491887,998.515187422088,976.8455865115748,959.3018015236912,947.8559075664177,944.7002207581511,951.3061538831257,970.785815760213,1002.696324834458,1041.9120371869274,1080.7218777569171,1105.769168311957,1107.925338650118,1090.336398368117,1070.972463722401,1064.8282697155198,1086.0693304496897,1143.8832183148154,1226.5295962269095,1305.0709218482134,1349.5797968
7kg_10bpm,10AB,868.88862188,810.4646647148276,740.8779746010741,672.8606066291742,620.4171183289491,597.241818449449,604.8944125802707,630.275427256572,653.0451161218394,657.1568687091195,640.6342475394717,610.2824499051578,573.5712476371003,534.1080457991818,493.78979691059345,455.55658882541803,421.0304456520926,390.42197747894517,362.7437976757004,338.2547379363915,315.8249477633806,295.8647890563444,278.2657603508869,262.19527718494277,251.4667716707341,252.90176537918845,262.53816574144616,277.359431443083,295.21116488065303,312.94657538667013,326.92956025282336,336.43253923567835,343.10769590853124,348.44734704395887,354.38419385109086,363.1067646826379,375.35278914391034,389.7348961266207,404.53066108032465,418.0478946526939,429.71966980617304,440.2890408762415,452.0539282045346,466.00659088722944,483.21874503275757,505.42499979408655,533.3228280811553,566.3236865883503,603.2846366824404,644.8956051228895,689.19418145,731.3134935100219,768.0107241835289,799.2941832474457,829.7297961445815,864.8628778196893,903.9175815786468,941.7874001329227,968.1085028615142,983.8894739009811,992.777666865632,999.1669982224057,1004.6895078298544,1012.7693688601585,1030.102401137039,1057.9924260864723,1080.5470941566723,1070.2777744326,993.3947717434103,874.5494140562814,785.9917953316891,794.1624179761236,898.9148205808258,1027.8177962380685,1073.6801733859998,1014.5606324185475,936.762771666524,892.0449276159686,891.9174465719988,933.654657224706,993.083240699783,1027.9682641859345,1015.0301953045603,967.9047974628952,919.3710559947481,892.6698627256673,893.9132786397251,916.5826600753919,944.9110177329958,966.164599431605,979.2232037863616,989.8737729105659,1004.7322748695603,1026.4947001330022,1050.4755898992296,1067.3196614319677,1070.1971648364618,1061.620926995772,1054.030436716867,1053.92901252374,1062.08348907
7kg_10bpm,11AB,862.37799285,770.01303323964,677.785800854727,620.9282770065266,613.6666065206452,641.9235471308183,675.2141106444495,687.8696260685973,673.8893802124951,643.7541599751628,613.275785052586,586.7118557843353,563.3474846202216,537.3010362156248,501.91872061651316,454.26828279809064,398.24626343668746,342.0466123840233,290.19694113828245,249.17560364181622,223.70888385,214.03372475048454,215.6506514267188,222.1494441819185,228.69458145595272,233.07378049105142,234.2447576155123,235.78877149585017,244.01138974183476,261.7037957228823,286.7496441126582,314.71179279616956,339.1207559839744,356.53454217630986,369.9138543290474,383.95782887597784,402.07422382392247,424.56318846430366,450.9426845869715,480.07274002403005,511.95762546,547.349746802098,586.0675113049879,628.398352857976,672.2104919660692,715.3354130315552,757.4241660021045,796.9288313530598,829.6940034233847,858.4255482817728,885.5561922554737,910.5814421128039,934.9094250878624,958.9967466088054,979.8690684057956,994.0651466131176,1000.5174705857175,1002.4572063237416,1006.4780661530385,1014.6862271022615,1022.2818954200001,1020.3478091088812,1012.4567405931986,1001.4826096420014,980.6470265343534,914.1852201677797,811.7484213316534,724.787817383915,744.8925167528922,874.191134293288,1001.131919165478,1050.6942621697715,1026.9565397775236,979.749055687365,939.9804686243026,918.0798848791746,912.043722891296,915.2652735647337,918.0692120439465,917.4593060289776,920.5686400100001,936.7347539175796,963.2697956915257,989.643941201734,1006.476436738869,1005.3036495916692,985.2143419011551,962.450647436005,947.8532867469097,941.3133481167761,934.7016219977469,929.0363600207141,927.405010229926,931.2293000209153,944.3578216049988,966.3590902410125,990.2018780342498,1012.4359677760324,1042.1143864221822,1079.9894722778477,1117.9244193
