cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,1198.91231267,1178.348784877316,1122.726422191961,1052.075473280404,996.7231335819507,969.6169923700002,957.3073630477356,955.825454831533,960.499463568306,964.5058450093296,962.15449283,948.7945569573883,923.163430815163,887.7272192678865,848.1819324636832,811.4636002799998,779.8831158374769,753.0422983856203,731.124860906808,713.998065439743,702.8844529700001,698.1035948144375,698.4771431870414,703.2981762416546,709.7016602483625,715.25663063,717.525278212557,719.0869386133911,720.381064240823,721.8435315983934,723.7938408299999,726.6063415271706,730.7738696631418,736.7154057646226,744.6280335205159,753.07607206,760.1848063198887,763.7761120458392,763.0076122782825,757.1404515169878,749.13367574,740.6247575602654,734.1305597483846,731.0792419373155,731.5300364050337,734.0503798299999,737.5725977989629,740.1856463669404,741.4244792593908,742.5158435936696,745.7442142100001,752.0532897102355,761.1704899782076,772.1761668835287,783.6366034031888,794.20589326,803.2584428048291,811.072979170829,819.5327321719363,828.7181484029221,840.0070675199997,851.3969573088285,861.3272241039764,867.7062299548223,868.6270850783311,866.20699457,862.4531571115245,859.9371936278686,859.9664460866155,862.0136550863577,865.57003374,869.3788063014949,871.6724045734134,870.6944080824272,864.8950760040747,854.84397101,841.5023410789678,827.5667648116911,814.3618775218838,801.8600231888704,790.03783406,776.9643202466492,762.6792040811475,747.8611710095942,736.2375654389666,733.44105777,747.206469390514,782.3776829929204,838.6983654707717,911.7419667961595,988.7568462799998,1055.895483029321,1102.1737262399827,1116.7788003587596,1101.252178010388,1070.92571587,1038.0450010028812,1011.1572928845918,996.8374347453487,1003.4517136799622,1028.14351854
7kg_10bpm,2BC,1041.59456865,1004.422579066612,975.1516196826536,959.6284857557697,955.8610756913854,964.3659306996682,981.2830745026791,1001.9321602252113,1020.0043255023577,1031.5652832595715,1033.8366855035335,1025.6312720102853,1008.2241402380864,983.9655332139765,955.821349241905,925.655766188523,894.5710496952753,863.3737914573107,832.0189802258803,801.6224996697407,772.71902438,748.6746734709927,729.9750419566224,716.6268849924122,707.4891292768223,701.6802710733355,696.5465734531695,690.8883723253296,682.6255774098925,671.5056990019158,658.7293531268047,646.228573133333,635.5407467510564,628.0570435371376,624.6487649419412,625.5997387723585,630.5710768312288,638.1428218100501,646.4663946368312,653.5896886928178,657.8212400899998,658.526155077271,656.5183606303708,653.4712231511724,650.9463754469394,650.2709073844977,651.6351214552424,654.3347325867383,657.6623888537341,661.1186508291906,664.6966550041192,670.2172530955168,678.5490938106935,689.3682068828754,702.2926465925115,716.9874335684633,731.8298883860839,746.7648600066084,761.3230106365502,775.1168348274362,789.21359035,803.2166003427566,817.1873706637401,829.1067221770792,838.8232010010325,845.8061750426563,851.8957079101832,858.0471104307745,864.816399089281,871.2347265479502,877.2457930046487,882.4996112082898,886.3390202539906,888.4352101798147,887.7550104823328,884.5534831008831,879.4800841523374,873.0842749684152,866.0666197679437,859.0550281052601,852.39179141,847.9925746608998,848.3238719465328,855.5198604198421,870.0029736513935,890.5928883076311,913.875487125588,934.4073288091511,947.1369798947579,951.0712348059602,948.6341113782385,947.1830793495361,954.6683375204725,975.124315809019,1010.4983483607048,1056.5869097009709,1105.1067312904706,1147.1024797663174,1179.3078645359913,1202.8518206302274,1221.82841643
7kg_10bpm,3BC,1169.79167074,1126.8579495823192,1077.693120569211,1033.31945484826,1002.9649512258534,985.8930648529838,978.1886489342759,978.7776489687259,986.3327384240575,997.4843558171075,1005.3078606299197,1001.8747387854464,982.6931743994631,951.8115140289177,915.8671223165225,882.4671799411349,855.495535514724,835.7012125785288,819.4788228475755,804.7711171928389,791.4142746456281,778.8793778725845,767.6342777839641,757.0630537979212,746.1482157055393,734.3838141123186,720.2005003290478,703.512248766609,685.970437614701,668.419335661091,652.5021322153601,639.7682760834583,631.37505393066,628.1384437734454,628.7541725713847,631.9356518700605,635.9300633557361,638.206478610867,637.8457282640711,634.8576055992194,630.368409671053,625.0009798956928,620.684554074384,618.001126990953,617.7784427542429,621.2376847311295,628.6047450915281,638.3773493457575,650.279746241133,663.2950887495805,677.1645904526895,692.1889185363733,708.5109696547663,725.6758071426608,743.1282609269545,759.5558013208334,774.8730518750683,788.7146826470959,800.3667875930877,809.5983248462521,815.8632254700434,820.0537273495453,822.6982781789972,824.4059165998065,825.8656847084521,826.7026622226501,826.9186795825879,826.0043095157621,824.9501969945308,825.0972628420045,826.2675476609446,827.9006380817733,829.0992495953435,829.3296780830542,828.2300851813611,824.9382254329835,821.3502049418522,818.2523265106466,818.8437534739596,825.6202566450154,840.2277058292706,863.6751576434656,894.2213317240595,928.7780266192302,960.9766719055376,985.1483890294857,997.3844499738436,997.5046705538687,988.7894206959575,977.6897893344585,970.8393320636523,973.8592652032239,992.0887711194822,1035.7034751132398,1105.2158082352685,1185.339683646724,1261.3030980245296,1319.1156083551357,1347.7584300615,1344.890026958042,1314.42084884
7kg_10bpm,4BC,1134.82322675,1070.8880534930913,995.6159282924444,946.799300988095,925.1588329776835,923.2698808088853,939.3024669682304,966.0935887692254,994.3644446998451,1014.7184386289806,1020.8421230969262,1011.518473319058,989.5734709761057,960.1846964465965,927.5101522557135,894.7786441715857,863.3178445847185,834.1126042708443,807.1916204669159,784.2374146075229,765.9863650281152,751.5556275748734,741.1232001511116,731.8671995070579,724.0774922285227,717.4794022231107,710.5111000138318,702.3170501703436,690.3490215142809,675.0776613914667,660.0496528388888,649.0624999199836,643.4834187594223,644.093689612439,648.8318394515647,655.5060272873886,661.2955571372045,663.9876337698224,663.2640087417495,659.9936422551992,655.5824152245843,651.7395714591861,648.8567386438372,644.9648804701457,638.0293869624925,625.9692284775309,609.1307974949221,590.1083584939294,573.2510906368702,562.0617142674008,561.3258460436631,570.0064653875471,586.8482221448822,609.9671540921099,637.319442412078,665.5111796366905,693.7623635957852,721.2466127183185,747.2379253573473,772.1075790417929,795.6731377713699,818.5677824414596,839.7034569190338,857.1672539475572,870.7488647267562,880.1803512653621,885.8681699713262,887.9412925124493,887.827842983907,885.4703524778308,883.1132868477914,881.7248040062736,880.9026492284522,879.9040895931921,877.9011144909714,873.8627929474801,867.500120470127,858.9661924717927,847.1404509174879,833.3795345905304,820.0470536231048,810.6788544936528,808.9643503226697,817.4822160381195,836.9754180976054,865.4885717644268,899.1850026122951,932.4016438652385,959.8652877005924,977.3070500945562,984.8162207966465,989.1248288858975,999.1837527799569,1023.538998157324,1071.396558932382,1149.9874155809644,1242.5679359128546,1327.5990365966604,1389.8289559854397,1417.8076053800621,1407.90172372
7kg_10bpm,5BC,1148.32312043,1104.446467953595,1041.23492861802,982.4530039061935,940.0259115425049,911.7248876319667,899.3706499067263,903.0299151778715,920.3796736080711,945.1256211610335,970.2034769593641,986.3285431686476,986.5372539707121,968.6061423461323,938.2860280487881,903.7054793429434,872.5919262626675,849.0273151247918,832.8283546850728,821.4177063855075,810.4690017402359,796.9311268661363,781.1967582165854,762.7240760112907,742.3656326488783,724.3617730499949,713.9130477090532,711.310569379204,713.1784060953659,714.7379263594116,712.7621140988379,706.8870659700199,700.0227979356945,694.6074388640262,692.1841021893085,693.7239423528458,696.2308024332534,698.1794044461471,698.160695251793,695.5682884183847,691.0862905781948,685.536644668819,679.4948841302548,674.0316096495083,668.4538388017004,664.5001945332438,660.7988380294685,657.641342297419,656.4869297058324,658.1535945811613,662.9357418636426,670.9059461322722,681.6913315194607,694.6695316926885,708.9471961153967,723.6368881700795,737.8951894724582,750.8274754184886,761.5062788175532,769.4771755893779,775.2854851095628,779.7139911852945,783.0116183141295,785.6172424736435,789.2808523871191,795.1237143434142,804.3817791347433,815.8134611631252,828.5050655562762,839.7546230975498,847.5821236940706,850.2018101007302,846.2815475614789,835.7958441074413,822.0559434937386,809.6865745399758,802.9700864578847,803.2700748120866,809.0138752969216,817.522039870931,826.5974072588817,837.5151751288822,852.0732488141919,872.7723968890541,902.7361540198082,943.1008583446601,992.9145510985142,1048.2430584350836,1103.5652332470472,1163.3881305786363,1210.5416928296481,1233.1144393039137,1238.0747112602903,1239.8048000914603,1254.6795178361829,1289.428000618207,1334.8145679107045,1369.108312241537,1374.6033421604366,1342.3425263515126,1279.28181095
7kg_10bpm,6BC,1216.80034699,1196.5717346993658,1131.7782324147151,1046.3673742586552,987.7018427463911,949.4095319925559,927.4654733786956,924.8252717933715,937.541333373042,954.8165682636386,966.2138141029214,965.1081607816782,950.4402792538672,926.9025638334849,901.4993824139955,879.2540211516741,863.4280324137927,849.453827963348,834.1675342642583,814.7715070920524,791.0079397614475,764.1184979436229,740.1338351269824,721.0050651781751,708.4842079311989,701.9005525099999,699.0551896415254,695.9532460286208,689.2838419320451,678.4693482545797,665.1178367469568,652.79700257324,644.4963498255335,641.8066263944705,645.7333929558704,652.5205199820114,659.8887762951084,665.210384686114,666.7767333629698,663.6481290795977,655.2607413166422,642.8375098166191,628.9876169207539,616.5940272955593,608.0729584346751,604.6942867162037,606.1233718591063,611.3241718206943,619.5881428564426,630.7046646542138,644.39064774,660.4129665709023,677.0551290385506,693.7344176101734,709.2472869736723,723.0156612149842,735.3685508817463,747.0500163854837,758.6219654758758,770.8554649169118,784.7329191889219,801.9723302849726,821.0305464992234,844.4967306607181,868.7262939349515,891.296623597096,909.2883279232155,920.6487383761603,926.250787736167,927.6784245966553,927.7741102489158,928.4252022013569,929.2657130667717,928.9918831015134,925.2011819533374,916.0962285,902.6452348103957,887.0654997006114,870.5538585172195,855.9293316700907,845.4662983577678,842.6524628806733,849.8660120587704,869.2931365413912,900.3500563777334,938.511468456015,977.4899591591461,1008.0201179561425,1023.8848979485878,1022.4799684258129,1008.5382047624084,993.8980499298382,991.7756048623872,1011.7339548130253,1058.7872943110983,1128.2218472250518,1211.4998162728655,1289.054535528157,1348.3334413504808,1379.575061372784,1379.63742463
7kg_10bpm,7BC,1212.40536226,1153.1176103372416,1065.2884412597732,977.8791298710958,925.3714713438633,897.1071709093101,895.0845941874044,914.962825487839,943.5958906987594,965.2459451048253,968.3656509954077,952.1940435802309,924.3715544904222,895.928214736169,874.8495757427194,862.0409219393459,853.7513164518955,842.3337375494951,823.227441235198,797.3065167821592,769.65057408,744.1372488152025,723.9534102196192,709.3377104196611,696.3337106034734,683.4736673639667,669.8302579857932,657.6942321485728,650.5697743631307,652.0370518009079,662.4602025036825,678.414560155145,696.2381352083795,709.8934502789182,716.8704540769756,717.8437056271255,715.0632699479405,710.8474126571388,706.2236143451225,701.5751448913118,697.79432066,695.6545205960635,696.9984545230404,702.0765560344831,709.2121661858337,715.6826538930019,719.0309966636252,718.7115028683804,716.4562147697794,715.841094669371,719.6151985697599,728.6291419806455,741.6435618024191,752.0721107025175,756.8858625175355,755.7049199626798,751.7381369462771,749.9676527505364,755.127375629669,767.9369202696661,786.2147625299999,806.5986015981056,825.867177918644,841.8273740079535,853.5732932407152,861.683133772035,867.0482807177631,870.9031174407834,870.3197736513299,867.7304418034431,864.3787222963363,860.9534449701024,857.4422676388823,853.6225385915733,850.6603494369355,850.3452160258731,852.9960324579835,856.5076521092175,858.0274823175541,854.5819292866418,844.62783666,830.4169011567802,817.5354010128626,814.5929630676842,828.7224725935246,862.2039709220782,910.3653724564865,963.3623029949975,1009.0601662648586,1036.8106103800012,1041.1445407180927,1026.9687346768867,1007.4304308228271,999.4535828576945,1017.6322177231191,1067.9366012628143,1148.2051783219952,1240.4971554155418,1312.1120002479738,1341.9210431409037,1322.65232905
7kg_10bpm,8BC,1116.71314886,1087.8048056436362,1041.9266737879527,995.4379631047758,964.3366559534311,947.98461536902,945.643956277919,957.8892601982245,979.2914838576806,998.845986492388,1003.0800717371519,984.5434767782627,946.4819167900155,901.0538352357273,862.1947083273933,835.381316668337,817.3369515428942,803.1328134069723,789.8805125344202,777.2556429460107,765.3772800582118,754.3334163450036,742.5232683929759,728.0792240036048,710.2276777695419,689.8070006377709,669.2337054366367,652.0680665408152,642.0237915977995,641.344415056832,649.3725907334031,662.135705416674,674.6049556512289,681.3033996025666,679.4129892493671,671.1574703175802,661.6439916544438,657.0945761976112,660.5932660666134,669.7033594815717,679.926737587331,688.1650491364351,693.3413709231214,696.6610385874884,699.0806181813787,700.8477019512171,701.8187019344293,701.8884635751259,701.0711118951695,699.7981013547856,699.0227528916918,700.1735945750494,704.2329084849534,710.138684577873,715.5312887058269,719.3350985519742,722.7228428400998,728.3224680551327,738.5524606160669,753.6711541989289,771.9722812737542,790.8823094115386,807.507745496521,820.8893533744866,831.563717789729,842.8396209666639,857.2009084397436,875.3716607544519,896.6310008184453,918.9543791529684,937.4790716180967,946.9173733187001,946.1066132916261,935.3060479251624,917.342555579257,898.1095770162718,879.1672833591624,861.7569377465825,846.0177751762217,832.2331584360387,820.7152482569571,811.2173928950681,806.4527606332655,809.2838731579304,822.9044129431027,847.4493270832028,878.949308470026,909.7866184394622,934.0777903968865,950.5210843011228,961.8737680087219,973.7114681394464,988.7681661188855,1008.245937186006,1031.5807581304216,1058.9769758324237,1090.4250271101464,1125.749241344972,1167.6046694022473,1217.7444868443592,1236.91453652
7kg_10bpm,9BC,1067.85563957,1014.3879610833078,965.9048472142127,932.3492431952318,916.5394057575705,916.4033119599999,922.1405018148831,928.5591079261887,933.8914930241233,934.0629599845496,925.5180105699999,906.178614826674,881.2095414880785,856.2280985999297,834.9738707894332,818.2505205700002,806.5924582827753,800.9398335114352,799.6021705232281,798.687096112843,794.3622923300001,786.2522109377616,775.1762495300626,761.7219153642243,747.2396308910193,734.80117516,726.6853171173107,722.502060863222,719.4460359689359,715.2803868842102,710.59800569,708.312707813303,711.0619305094617,718.9563027314891,728.1643880503899,736.56174056,742.2819561661381,744.6645635551076,744.153416355534,741.2417905795998,736.0597459,728.8543132395523,720.8231763434069,714.5683944152714,711.9316205206787,713.4067716200001,717.2486096355276,720.1163298876023,719.2493927401669,714.4323419869186,708.76939459,706.8362179897808,712.23608745738,725.4178910984552,743.751349008686,762.77660879,777.7345157042023,786.2301742611386,788.5415256541337,788.8741008779015,790.5240310199999,795.8178179740047,804.4265884000199,814.4603008789849,824.8339862037835,834.85254947,844.3073457353779,850.3365359138318,853.838863519332,855.4822197879299,856.0806615899999,855.5013431850722,852.5973545482144,846.9408280119954,839.6760008730953,834.1568168299999,832.870222447366,835.8703300048403,838.3199928474519,836.2751052393309,826.9709822800002,814.0270545299624,802.7320851683794,798.6034850334352,807.8806631937672,832.3707116999999,869.4676612136809,909.9892428605275,942.9147442399728,960.015131798563,959.2276169500001,945.9499656212289,928.4894862419246,919.862106202356,932.3842253392625,973.0153554199999,1041.4268824556868,1120.458726156101,1193.4940845864205,1238.4204798094167,1223.32020106
7kg_10bpm,10BC,1109.2275265,1030.1477972194807,953.3275689160776,902.5969322060517,881.3094890068857,888.5687839309617,917.423263150328,951.0582823442757,970.0823574981591,964.1137145376601,937.7382884178614,902.3569097650975,869.309370456568,843.8920600474247,827.3449863748308,818.7891835399756,814.024528885213,806.9924311260049,792.1034185532325,766.7764837328596,735.9599726881444,704.4512131997619,681.757387098886,670.8933784145352,670.9383629446687,676.1364493906065,682.6262835860864,687.6108581567074,691.1377378924533,692.4332795429123,693.6835514082817,695.149297759388,697.1602593202786,698.8570613450884,698.694769393653,695.9958271032017,691.6865712641459,687.3894226871225,684.4955460559936,683.0446560905335,682.9293296642531,684.0305835291808,685.0632289939952,685.0704626581046,684.4342605176314,683.4532327760118,682.1761423021861,682.5279848136707,685.0999534411695,689.6320014516518,696.0057867148132,703.2925526036437,710.5479074249041,719.596348010708,731.4357541689282,743.8441499658305,754.5920422772176,763.5594022929299,771.8607355545362,782.1586542928106,795.4085507930879,811.5909553736784,828.9734008042933,846.2703459594355,859.2066310337278,866.6131936463455,868.2254114305956,866.1897332297445,862.4403228540907,858.9424341430926,857.1117294141312,855.7987783262432,854.7531504027437,853.675851929163,853.5825876401877,854.7547199020975,856.6295794787993,857.4369626688797,854.6891140822163,847.2877938282653,837.6145677740112,830.1790899014912,826.2984105525991,826.2984107314275,831.8004123148817,846.3764028467328,871.9718876202429,905.8788284478684,942.8124314022255,974.8150902886371,993.8582908202753,996.9868740455777,989.5024549390481,983.7750138919461,994.2115598009037,1026.9377209146396,1081.1094185318589,1135.6955085912487,1156.4701046771695,1132.9582984187273,1082.72562232
