cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,571.69125765,556.520148447904,550.8633250650819,561.6203625890383,583.7717370065594,606.1877385493143,626.4729013601902,644.1486810735681,651.0479686469513,649.2668129357012,650.636614222553,657.6997044583865,656.9397731071076,661.0435744929218,662.0349290365707,665.3265773414594,657.683203829794,647.6575446649595,639.711844949046,630.9970958125884,629.4972562151567,627.3804569812389,613.6881852535195,604.5047165116351,600.1307232974085,584.8527332184336,541.0877679121005,539.5412042625019,498.27411830230375,486.88077860742465,466.4384606715545,403.11926553125085,332.36153515857916,268.96115082307125,233.81007599405766,226.8385211967283,232.78846356871048,237.8354492422535,233.01817327355283,215.96882754967822,195.71336177236637,181.906216205033,186.0999675452974,204.7293505517974,229.45804131019602,265.342781754332,284.84065345901735,288.15173741831256,264.4598855249833,234.85196349175058,205.75726332000002,189.19375280477956,194.4768270946725,209.85978325303768,223.4748748070738,232.41822909723103,241.11713847336677,250.73417476282037,272.95972595576234,297.84136263694694,309.7056119767525,321.7103893630462,328.5178742027222,326.8531394793024,319.48200091942283,315.27880911703676,331.91275161575913,345.91279134469863,356.8594866589582,364.62429864328,367.67693905853235,384.3125326606414,390.018595746101,392.3381020846052,387.1496808876187,376.7922375525293,364.54016585953707,351.71219434480605,345.6945357188267,344.9810191189127,339.78925574291424,328.81425121790386,310.6911338331533,286.5578392312435,265.8771943898947,260.00484674521397,274.6948071855237,305.0388823007734,330.7989026825853,352.5743239059698,365.39293010233536,349.8253577685107,322.03202507262745,305.6335911183402,306.30918115583626,327.8876314194764,330.0205188784024,308.3479097351554,300.304289684375,303.4593174205327,308.98679079
7kg_10bpm,2AB,-13.01871804,2.273701880434398,24.47657959919445,52.938153273174336,80.30895313082927,102.72486445532182,120.05305208895588,132.5121505769583,139.16450611577102,142.01764626266095,142.44197915090024,142.8783821471405,144.39828597918134,144.41397773814774,141.40661120487673,135.20660684187737,126.52121032285933,117.42958494501325,108.6884577081237,100.33134488041749,92.68620021630257,85.8973899737815,79.7978106270847,73.98738488110627,68.02066950735224,61.0132172803914,53.398018785085505,45.24959798134547,36.35357405729074,27.167094074350796,17.65401317409943,8.184366002165953,-1.7195518956503408,-11.649756126700982,-18.381739683730235,-24.835608425677705,-31.534679884065593,-38.335900456012574,-45.24083068551794,-52.157164033417786,-58.98108966406824,-65.5895405702938,-71.67898296384875,-76.83993459506831,-80.48461793191264,-83.31197964508296,-85.18456248437855,-86.5099255814156,-87.56727207032829,-88.43273635489325,-89.11956160157189,-88.60699386924107,-86.5245231792428,-83.0179856364921,-78.85074485917265,-74.63557711264639,-70.304761618608,-65.86932572467539,-61.351798287089515,-56.705673007440026,-52.513895720639155,-49.222381112946714,-46.85270358471996,-45.362274013872785,-44.584770230374986,-44.548546992741706,-45.76415468614035,-47.63403311921059,-49.672268053313736,-49.82909893594218,-47.28710180148572,-41.6007317598441,-33.679129529162836,-26.010629049923114,-20.177460339563137,-16.669181497472817,-15.222003902104342,-15.55858514573068,-17.33237333179553,-19.928929339509274,-21.85680542111184,-21.899136123066352,-19.65375131493977,-15.44091835002009,-10.276664285853132,-6.446392065721261,-6.602040129031911,-11.348184120245866,-20.220525573359044,-31.778916354508944,-42.709778160129815,-49.79527029486254,-49.916049311463766,-43.0664113338962,-31.551320037381284,-21.655939253139667,-9.39021331338439,3.917619515976093,14.671757736877598,15.553593996647818,8.99135237
7kg_10bpm,3AB,4.84167999,13.940566107270794,27.835272879811072,42.943577473083806,58.41416694977925,74.0402823498877,87.87528392425249,98.35589124733522,105.8190443104181,111.51723969935115,115.51036196829622,117.2520775040793,116.69207758048826,112.9693128382495,107.67890368343095,101.95239239704216,96.5732885345532,90.73229362267637,84.08007481433243,76.74299807799609,68.86369266838818,61.22757089036948,55.01280335176474,50.764342308521094,47.296457939808306,43.13464153474416,38.40766282000909,33.69069380544263,27.857550499396428,19.830382050296798,11.88285196243688,3.566039291943862,-3.8490999762867686,-9.559708261965104,-14.35613975271705,-18.447707110034614,-23.05443174625286,-28.998933150588314,-36.44109983100104,-45.113353126163794,-54.13554314469259,-62.41395155131028,-69.52849371948278,-75.50272600421758,-80.80591060797056,-85.49247409658265,-88.9283627687137,-90.6289755187824,-90.55386176816566,-88.54121797952037,-85.06485118,-81.13595622007551,-77.81306749410624,-75.20850127034898,-73.77944850752672,-73.70524721319015,-75.1038083986028,-76.64982922894386,-78.70784136149359,-80.12307946015298,-80.11629662193971,-78.53728521211528,-75.92351756715622,-73.39097576813013,-72.01757929141938,-72.18274392560625,-73.17849982037605,-73.75710210316822,-72.03850992748181,-66.87652679850689,-60.08464156127496,-53.29295281388572,-46.923955878834334,-41.16401586920991,-36.32040061826304,-32.215905191113904,-28.958137718936648,-25.928116750901506,-22.382325995828147,-17.98149638972573,-13.037004417712447,-8.262621587856538,-3.700242882897234,1.0186808286887628,4.6503152326202875,5.902597758646209,5.088145498025364,1.1218421954568183,-6.483588025731677,-16.67702110926439,-26.89253467214272,-33.493137730206826,-35.01241785942784,-31.857442790768886,-26.85103224973105,-23.78496157064736,-25.661208384489647,-33.90919309588331,-47.610507586143484,-63.795342386526315,-79.34804978
7kg_10bpm,4AB,23.48531936,25.90903219350871,29.902778523926887,35.29498447213245,43.39648567249397,54.20862244864614,67.63224681249244,83.03656916670778,98.4528010026331,111.93828080382576,122.30234079867367,129.18433002774537,132.78698045572204,134.0389253463014,133.6116393438857,132.07171211223425,129.40525138533874,123.27707767853526,114.72420984238909,104.55740546694702,93.97003414117816,83.99559396228061,75.57894250886793,69.20538911658117,64.5380469416805,60.66122679795485,55.79144323327369,48.90720915198056,40.00751024533199,29.976149552317313,21.57768350457305,15.677347328275552,10.074397910386862,4.8136679415527235,-0.6003219069204759,-6.487153946430524,-12.66133209855069,-19.45914380461355,-27.19825838622716,-35.61085862076008,-43.898115059638656,-51.12557928009697,-56.593815447787954,-60.186726509800046,-62.11586882113326,-62.91354957264318,-63.29170519194584,-63.48151538017451,-63.565558944636265,-63.812325902748384,-64.32242644880787,-64.8948009875805,-65.41390453016403,-66.27852001976837,-68.20036527182943,-71.26564678009234,-75.46487272835606,-78.80839577275356,-80.83065536615678,-81.13532445925765,-79.82017678719092,-76.60919513453612,-72.10252436137102,-66.71364169156854,-60.681293703088656,-54.14006791917262,-47.18450583207341,-39.795855750425005,-32.44223101764143,-25.94503397617097,-21.605774259998057,-19.87949645786687,-20.39896257414114,-21.532297998277752,-21.418090625429716,-17.943509686110897,-12.517144615752454,-7.280283816102463,-3.370740425784406,-1.0857039441483116,-0.23144086250397364,-0.19509068220683098,-0.8072141935321789,-2.0486534510000856,-3.0973781111842986,-2.7928615106965626,-0.9999519692136526,1.2921749101868019,2.948897947666693,3.7676687302314313,5.393152296323959,15.52240316966967,24.62654982924323,30.177545598779243,32.05314462031907,33.00144830422681,34.26846052058074,36.06845739561327,37.124431783007175,34.40875319530915,30.42345323
7kg_10bpm,5AB,41.00847369,40.61220581349333,42.13970930107998,45.03183830628003,49.35024530118691,56.09202513999999,64.29965435827822,73.53260106897112,81.4068823564854,89.63180465034225,98.16220080999999,102.87773862607021,104.08042592378914,102.97017138862523,100.98912059469619,98.48693615999998,96.2182377308504,94.32345629294645,92.42543105058594,90.02536120890447,86.86189716000001,82.17984364358546,75.92454859038322,68.56866928034593,60.70776300799821,53.31364568000001,46.81625905150244,42.00440525489181,37.16987448210472,30.266299256833214,21.18976686000005,11.924917931643671,1.8562269871273906,-4.806603616548367,-9.577101458144586,-12.61385937,-15.053994075193447,-18.21637502936078,-22.81388601617068,-29.249766843567347,-37.66485474,-47.32385020240203,-57.08006826445249,-65.68335230489237,-72.29021517410042,-76.53974453,-78.99443401613146,-80.7710808453371,-82.26338188904641,-83.96119117896816,-85.26087414,-86.39107228219697,-87.94603557540863,-90.88230833791161,-95.57113139091648,-101.89906018000002,-107.89907967671812,-113.24392057377648,-117.02476431574074,-119.76715567341779,-121.17896531,-121.45029005904232,-119.97967798777964,-116.74764550606052,-112.33002976721913,-107.96314059,-104.82444662402857,-103.59537570662938,-103.85010757718328,-104.93444199438075,-105.86292132,-105.56956239646689,-103.53228015727402,-99.8467507442628,-94.97538902453726,-89.39972548,-83.03835230269448,-75.77590011764926,-68.01993235815843,-60.56005272803627,-54.42309522000001,-50.41331950855035,-48.788772572034276,-49.36849292710636,-51.788229792274116,-55.390124169999964,-59.10069911907534,-61.71271255006978,-62.41277807300712,-61.06267854086587,-57.975889669999994,-53.40302991611936,-48.035208549802505,-44.79937944049087,-40.99808491120116,-37.68383963,-38.49280891578151,-43.134594522068795,-51.22144180014745,-61.94063169224607,-74.58964054
7kg_10bpm,6AB,24.08778914,25.862895427899158,30.940105296843136,38.418871438604725,46.92584420225709,56.20855853980392,66.86091144869611,79.12873128729328,92.41008084373136,105.85563551655068,117.34312739006062,125.52055852709084,129.31947399603447,129.53436244443304,127.52316030978625,123.91896760817916,118.31688841694094,112.86881476756588,107.3842665872042,101.26479993010331,94.22285304490217,86.60063779509821,78.91371171981424,71.31331383854226,63.72756917775996,55.90451494168146,47.35795538885163,38.684752051095614,31.012861687705435,24.762224035216175,19.519568473446903,15.516124175674857,10.466934103652594,4.831627480601369,-1.2264961344443877,-7.098543239775351,-13.020003724451671,-19.3770219125551,-26.29818146687155,-33.65084921515084,-40.911582096828774,-47.54603844298665,-52.74760973179467,-56.2764478765597,-58.25573361733906,-59.08652106013457,-58.9366421192278,-58.32420850291677,-57.96939094893739,-58.25555943465725,-59.22947590999999,-60.69591083932518,-62.034827440706785,-62.41319606943786,-61.3501018873332,-58.9745741852284,-56.0407080892909,-53.05530529519496,-50.770406602306345,-49.20058578105128,-48.02104041382205,-46.724309434516044,-44.706451922212985,-41.564062661078076,-36.94286422417632,-31.009548354257458,-24.42047494397627,-18.002852371693074,-13.029675375761766,-9.907747981735671,-8.631278441751801,-8.870439535429169,-10.142922697803096,-12.083143047657273,-14.499439441337888,-16.402601935535255,-16.658295897779553,-15.07909123935144,-11.950486287099,-7.453052499113491,-2.0984422581909756,3.6161911897536756,8.646572983494785,10.356001991003982,7.581324797852442,2.806657792385666,-2.319211831037704,-5.759925678825569,-6.369151538955978,-5.131473420900107,-1.18439945391384,3.700351178570723,7.711821098309789,10.14090643208847,13.776258076873283,20.0412912378566,25.45301804794566,29.681693593191092,32.07202360861696,31.486216064567078,27.22322251
7kg_10bpm,7AB,53.69515845,41.99780519390953,36.55851443386979,34.65653351388952,37.00732760234091,43.90359984208299,55.039158426873776,68.74013437673956,82.56308951959787,94.08444163866531,101.31705081080531,104.69836318196445,105.8579841762041,105.38233336471988,102.4765252460121,98.20094080068607,92.75779065670731,85.58332668061706,76.82685924493737,67.66388059937991,59.494447929101206,53.246578308264475,48.05092877363967,43.7572722008706,41.03142409230203,39.83519877319016,38.460458176548215,35.82455722803079,32.20204002910433,25.91271517962908,18.12689778913987,10.196137634169277,3.170300893805965,-3.995379179008123,-11.0990559319592,-17.979707726235688,-25.072740269825363,-32.354599733344195,-39.733998213841275,-47.269972509675064,-54.757255541431576,-61.68242174002617,-67.45424612018344,-71.46115089362137,-73.55478370338389,-74.83885289229268,-75.7704803971486,-78.10237503080212,-81.01583731175968,-84.6111521917233,-88.74617910572026,-93.43690881558769,-98.75084586567624,-103.72009370376452,-106.84159102115122,-106.91321056859506,-103.54125567999549,-97.19204044045577,-89.01510278973277,-80.57550665902443,-73.29368193385218,-67.81361014996853,-64.06270059314171,-61.89457296640962,-61.19820265376876,-61.41085134580339,-61.79298836470738,-61.738684707863555,-61.1500212846501,-60.627485917524886,-60.700987147792,-61.17898036167762,-61.7444414583061,-62.43863091310619,-62.984106235744434,-62.835758083700924,-61.72059265746777,-59.81346941055136,-57.448297099971754,-53.87799433933259,-49.8341177732154,-45.20927682815551,-40.19283150432639,-35.12118128970135,-30.451732612981257,-26.67635805170132,-24.122372118966688,-22.51467832981707,-21.32873619336181,-20.807378784045248,-21.20780452266257,-22.974063868318535,-24.330061759852338,-24.93509378884715,-24.670779545301034,-24.0124170126794,-24.021991028870435,-26.66887332008324,-33.21986552084394,-42.95237272167242,-52.94896945
7kg_10bpm,8AB,26.38810579,28.502449352209922,33.17470507076201,39.046974740264936,45.04846641633321,52.44471494777571,60.34938641396613,68.9206842037337,77.11563592498682,84.16502829718557,89.35975926394782,92.76864392706067,94.40566755557307,92.29968013815923,88.20660977313118,83.49990611309502,78.5677756230203,74.34922473423866,71.5406839682942,69.66003230204893,68.17836187967325,66.17426399829851,63.081418959100695,59.204663025234865,55.71153139446403,53.72318654285291,48.81339843846807,40.578526308144674,30.243611623272724,17.895459072781417,8.7262491674397,0.1950319206441913,-7.134126245832548,-13.76133200951603,-20.366158507344167,-26.89382170086241,-33.18222037727431,-39.14049349985884,-44.83468618323824,-50.215805334637714,-55.14385224364721,-59.63223629256254,-63.86269936932752,-67.88659736246098,-71.31282015543333,-73.6088996978564,-74.5670843443979,-74.5626841303169,-74.67646474109199,-75.66048152631313,-76.84199018,-77.09619841975406,-76.00123251777079,-73.55694293493639,-70.51911071485529,-67.44602032649648,-64.21235107089167,-60.08735820828891,-54.70402690520046,-48.90165307160926,-42.93377450408521,-37.703538217788456,-33.81087761980132,-31.424918249779807,-30.808989530508182,-31.857575529525235,-34.23973160250119,-37.41259467390196,-40.51220544770555,-43.29946099423513,-45.972881106335564,-48.45597489563214,-49.776600592873606,-48.947905945089346,-46.75788831433303,-43.588125153752955,-39.90287862524658,-36.06761073101506,-32.109843178113955,-27.863983949674843,-23.927724289357837,-20.831133809808705,-19.239441610010164,-18.793959501605432,-19.168542186814744,-19.69382174191824,-19.64818387422874,-16.93668336903542,-13.341490068787799,-9.873348954542772,-7.338031199999613,-6.370626909161157,-7.018289689232907,-9.770580192383973,-14.397886883857439,-20.063899641649495,-26.631582522802354,-31.839442937797397,-35.38009942627427,-38.30818832620544,-39.97718457
7kg_10bpm,10AB,29.14323245,28.044153544882242,26.4784906720786,26.119324360544763,27.476674528748372,33.57404375788549,47.80506861111527,70.65286720047247,100.2227173911961,123.12045107512022,133.75732118838707,131.77857572542908,121.90494051642152,110.22981240831706,99.34794508520154,91.65761647766425,86.57711767647702,81.66051222430394,75.04281160223584,67.38916346018189,59.91029047923004,52.49334987773763,43.16710063268984,32.04373333690703,19.287613189121917,9.887921730547573,3.9810196899483614,0.6678023581641741,-2.9137567221107243,-7.815861791802934,-13.218633505797936,-18.992593852422566,-25.05967934678476,-30.0509104330562,-33.635073417774414,-36.61415544326173,-40.10676532607742,-43.746153317818255,-46.819824680176026,-49.183012188658374,-51.39316608767343,-53.72896831965856,-55.836873235116265,-57.53350409960336,-58.864396113100085,-59.62500672554203,-59.781241132934596,-59.826657989937964,-61.30949106843059,-64.67963936437395,-68.4135672,-70.25083493827667,-67.6266636161748,-60.00178473933806,-50.09614863743352,-41.132302099248676,-34.40907314571472,-28.699075011931438,-23.47383593976579,-17.792862895159992,-13.187651349921882,-11.349793983631283,-13.79390050017741,-20.644547361894276,-29.995129859272417,-39.012447847857665,-43.93089320386979,-44.2434066139032,-46.734484204200086,-47.757528288095315,-48.35461128824576,-45.33169360546307,-44.35105438402085,-46.84079354916981,-55.819725002523306,-65.63035815133762,-67.8143443633514,-64.32130740594977,-62.840679496002544,-66.40473465886072,-69.52937451360285,-63.82650026334851,-52.204893031357095,-38.78909505289658,-28.610246476658595,-25.353679279808855,-26.75106783139055,-27.358029467550992,-24.24449586568467,-17.34570132591937,-10.059385311325348,-6.480172746245035,-8.751855476122994,-15.843130794636238,-23.62136927170679,-27.167118692609577,-24.60590335655479,-18.14101060840557,-15.240652703735922,-17.2860101298325,-25.80757801
7kg_10bpm,11AB,-5.43436457,-1.2833839110880878,9.761079767490449,22.64601973322831,35.1167121052992,46.09857345776262,55.63512146308628,65.25403103678498,76.64029936829175,89.86007994595587,102.71120205905167,108.34173840931008,106.57782472021309,98.07811989218727,85.94648921965117,73.529909007265,62.608440834220644,54.19049909298134,48.73261039223878,47.05610277424709,47.31699440000001,48.93591538824784,49.1232800047456,46.12222663703079,39.45883469277821,29.708703548368128,20.42536962027241,11.00158013467651,1.642998825164554,-7.409018854543874,-16.748844208005693,-27.094011226083015,-37.12805315517898,-44.51504481272001,-50.510431982573564,-55.67639897010029,-60.54051304970822,-65.30099007099065,-70.02416033497144,-74.44933475962455,-78.29151996000002,-81.42463007566253,-83.82373981323097,-85.08695181581204,-84.75814287749625,-83.22422762486357,-80.72816072017622,-78.23136544175013,-76.0810781546353,-73.25700399035634,-67.99150174131134,-60.11202801058235,-51.17171482858673,-42.7651265141122,-35.59375609073979,-30.08632862126609,-25.45378495421547,-20.427687485800675,-14.896932645369702,-11.258146679636225,-12.226936940000002,-18.500654455508013,-21.750786574431828,-16.954514368143823,-8.870597027130538,-7.156260813866027,-10.126774219377365,-7.43883694362998,0.5469803620264344,10.595881492097654,11.98538219326264,-0.4917607117299893,-14.169741670300436,-18.384672385009008,-16.11341373869241,-14.73104356431827,-16.219322429999885,-19.757692497987456,-23.43111887853518,-24.5712648064594,-24.23553123,-24.54038803188296,-25.838456815427268,-26.159330853254673,-23.147113194986645,-16.23924955555137,-7.247587834503572,2.9183890720966,11.140431323448862,13.038956838606975,10.649733429238363,6.700865483349724,2.5020661399249633,-0.1008541619412849,0.7988788479812289,2.6033036089002266,4.8780910477720765,4.963110431644691,3.5688881733849946,-0.6091220732909464,-4.77691758
