cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,6286.888572871499,6029.198293739085,5699.771988262187,5338.999737730521,5005.523211099719,4774.171106405783,4688.22296371542,4761.660144714328,4920.015846064868,5065.403384188245,5136.1885706212925,5114.146970787273,5006.561817068956,4842.962470492401,4656.156494200394,4479.271517405677,4318.797243048741,4175.226622896569,4037.066694299014,3885.9486007272835,3698.184494126812,3457.0336071830116,3175.936315617786,2874.350147500867,2592.1215892099417,2363.641951163211,2205.0437229650024,2116.8114350825695,2086.747325613414,2110.0635789894836,2181.989130885087,2284.667489981616,2400.8238788458216,2514.71591601878,2619.519487249027,2714.629838059982,2804.052071716368,2889.7393030632234,2966.5586641834534,3026.233056755764,3068.0387994344974,3103.1033918757303,3145.6319856019645,3206.344845635034,3291.550266636624,3398.9304037165025,3522.2018157886523,3646.6830283616755,3749.7447874777586,3831.8922272264863,3893.2268420458568,3941.732278537991,3984.59216113881,4032.5417745649747,4091.0939713459948,4161.212352620919,4233.44908410773,4302.335960019985,4363.47504899719,4420.155977730327,4479.2403112162765,4540.892155022195,4601.471203799862,4657.617048925522,4704.766215565866,4749.3541054133,4802.845843700259,4874.565756616491,4936.584186909506,4990.240632463022,5033.102084869347,5064.25572497851,5084.404181257225,5091.342054752343,5075.880861080978,5026.4263872355605,4947.488923619437,4862.863338847043,4798.421848919677,4767.63871707869,4765.2000499078995,4775.603646231298,4788.212281387546,4811.421741424098,4865.845700671113,4953.324600291344,5047.123931540371,5101.521332678706,5085.697331821741,5015.629889990259,4936.154564088175,4902.7769607774235,4963.270485900995,5147.465396532496,5448.232317675905,5802.1165266092985,6094.239733198898,6276.8851769719695,6336.805132124153,6292.175676765,6152.545155449391
15kg_10bpm,10BC,5930.870044031653,5947.8036790179585,5806.1515934086765,5540.226141454453,5172.751202150531,4780.60040872647,4411.051670162742,4254.149438690856,4237.439125100808,4295.163530350275,4388.630130436237,4474.056406087162,4509.030407618353,4476.385732908511,4393.504994740639,4298.113978001365,4225.618700707398,4192.099218934315,4194.1147914744015,4211.777432374715,4216.413797520936,4188.454990233384,4127.083256186407,4044.330975174163,3954.728061409407,3875.640808684865,3818.5915108649597,3786.181894986235,3768.6339727834043,3752.0673830208602,3725.2390753562213,3682.9567311018463,3629.6742580336836,3574.4720139562332,3526.8657003852145,3494.096994569172,3477.9680489721327,3479.6902469351808,3497.432859706301,3529.701058615035,3575.8815065284134,3628.8217564591996,3681.977095985418,3726.3682740592344,3758.5993083654907,3777.7304088876144,3786.0327457633334,3788.289582038161,3787.9072919425143,3788.9605173045375,3794.1368840656614,3803.8284157805774,3818.8600313136667,3839.203387103445,3859.1427719798376,3871.5666358497224,3869.3241244445708,3851.2824021196643,3826.339000354416,3807.990678293606,3808.9809953901695,3835.005882438595,3878.1362685098934,3921.1436285301756,3945.7914713672644,3944.459821357551,3917.6295741885124,3879.3954517247234,3848.1184639326607,3838.5797974382735,3854.326765089874,3889.8360160298644,3932.220599353178,3969.225178786387,3996.6941102826045,4017.550139675111,4033.133975118847,4044.0245282105093,4047.6468316387045,4047.744749314561,4054.3564794134763,4084.136856703572,4156.515746167922,4288.309858511564,4485.818439702546,4741.294349441771,5081.22286280908,5380.356168974355,5555.341574809107,5565.4504611757775,5420.944906472196,5196.437655081248,5013.788623899833,5000.676731796584,5227.123932738536,5657.329882196441,6158.823650365875,6562.029756192956,6709.085024712199,6550.809958107076,6157.788836347505
15kg_10bpm,10CA,6151.348247176592,5900.592522759209,5349.895714454033,4715.893188889207,4233.248401077358,4037.990868602995,4085.595729462975,4274.480687031986,4540.318355441984,4904.563086610574,5343.706303267039,5746.100731042358,5980.88950221532,6012.248751221701,5907.220508731606,5765.135892688341,5650.40360892705,5569.371547915817,5501.678922219057,5460.831883058347,5449.238411304093,5494.611727775201,5571.588626083995,5624.664964686062,5602.44902906501,5462.71433668248,5195.44707137539,4852.481722015728,4526.70049915808,4270.506626695192,4083.679203360274,3943.7314099531245,3823.3097048502545,3700.570615101585,3556.6244648703264,3383.909229384031,3181.61300645334,2959.6801785538114,2735.214735325364,2538.57215005696,2402.4686891606107,2340.3598094474733,2335.237072252126,2338.1409832655822,2302.274056221242,2227.856878353245,2159.247363908919,2146.6018163355216,2211.828052049033,2340.7500475832167,2489.9680053944167,2626.9892278734733,2748.556133289874,2861.8119513534775,2973.9138215256294,3082.1031385615606,3182.8413797090343,3276.3740028918187,3373.369470226577,3477.06685128778,3593.342538968146,3722.8399335209806,3864.40177836544,4018.1637635548673,4181.917069513694,4342.7971794312025,4487.033889172289,4601.578451995989,4679.140946898462,4723.834911368222,4758.85708554193,4798.344828406862,4822.807864182036,4815.702475751763,4785.381651518195,4776.340356334883,4840.041129298894,4983.945948946649,5167.0633454279105,5314.626619991537,5364.688244900535,5311.789643890003,5220.536218587587,5162.120978798273,5162.274202523833,5182.281224818775,5174.614582749656,5114.20770513647,5025.605311688896,4954.412961135686,4957.648466068397,5079.967113485478,5343.4741620511295,5696.1334024799435,6014.943070549632,6167.053761804067,6110.969146777421,5931.708873947464,5769.6798808069225,5682.744367125705,5583.014886779299
15kg_10bpm,11AB,6397.9201636808275,6151.771326705991,5808.732761208754,5426.605360045941,5057.930532702017,4760.139478365108,4585.9053472520245,4550.420195526841,4635.292122374636,4790.347303667413,4956.849393836507,5087.493826718218,5155.331262310245,5155.758629842323,5090.045483753879,4965.904534437018,4799.229966330647,4604.2069993443765,4377.934092616464,4123.717088719223,3848.0851233047265,3573.94667670363,3329.716685901591,3127.4286083066504,2955.5030375267265,2795.0919252817416,2639.9978585863696,2490.027882503348,2345.5429527972815,2207.0358333708145,2090.9387772168316,2013.180889132198,1997.9719469507468,2034.4357519449352,2107.0158204255017,2208.2247160268107,2335.3928013538366,2468.9497158896447,2583.773093201268,2671.7799270066544,2751.6030288087386,2851.502341003101,2985.219660140586,3143.7643971100365,3305.884470138581,3452.4813677154802,3579.82837077821,3696.056408006319,3809.144016666676,3918.287470586226,4011.084938161907,4079.6278818798146,4118.417982983731,4136.885691214629,4145.262024549696,4164.972714651127,4200.416416443671,4253.276722391533,4314.763314242698,4375.660220452131,4426.013051463927,4453.504226804643,4454.932271556019,4438.011900717798,4421.232098997627,4413.1649937568545,4406.221300561083,4401.282290883842,4430.746410821992,4525.492637119652,4681.9609639163755,4829.550069788212,4927.32842236884,4983.589725481732,5016.000085258488,5041.925505134688,5071.076955545134,5097.278683855799,5096.056529136972,5043.992318286027,4932.706386897138,4769.226176614355,4572.210101497517,4380.262685231239,4266.251388808006,4319.798724870945,4610.7212550090035,5112.721926696298,5677.597802315166,6076.188194138053,6115.591678958922,5788.25246094676,5295.489713141938,4923.763751227982,4879.091469334954,5154.922048357134,5582.046157003331,5992.410834690758,6294.880742377852,6481.112365863547,6521.432709881774
15kg_10bpm,11BC,5950.764162745637,5781.202322487511,5475.504922188176,5094.272237094041,4710.95037340617,4392.811409008551,4200.4246228562015,4157.610360812694,4198.9839612390315,4284.9846577387925,4371.729235296715,4413.335386800277,4389.45745671829,4313.675207392253,4216.658222143307,4128.011942316011,4062.858697680165,4026.612110462063,4007.620248384257,3986.092294787101,3950.751551853881,3902.2104320854046,3853.4095035181,3820.1158951876755,3816.803089527452,3846.6007488208206,3893.0242116821273,3934.091147386046,3944.9187044887467,3923.571316087669,3882.1556978848,3840.0824038405644,3806.5194090222653,3782.5209629887777,3760.596543484123,3734.8933166716115,3704.052519705432,3671.5066281380227,3645.952475511927,3633.048674396709,3633.5224064973454,3641.005941889648,3643.775510664151,3635.5146722072013,3618.8853029406628,3599.767091676408,3588.838973881514,3585.9220146537614,3586.717753560712,3584.0391082591636,3575.418445222575,3567.046199640184,3570.2471411487672,3598.8936971247267,3663.391946328797,3758.6135754091333,3868.8133286317207,3969.3028176258945,4039.301772260368,4068.5772426050203,4060.149991696252,4028.32914706844,3990.8915725605793,3964.683135109055,3958.1549260657425,3968.9617925712423,3987.916507942525,4008.0165110265543,4027.3124243754623,4048.6861669966847,4075.2718057576417,4102.754463603972,4125.7635002265515,4135.350818710865,4125.4547263992345,4103.495943601759,4083.1743599453453,4073.8470998790435,4073.9814832818456,4072.241260972982,4055.426201500651,4018.6586746185426,3971.9825264690257,3933.0874623380555,3926.5270111568193,3980.402097053845,4113.978838729001,4319.542178015577,4565.00414008909,4828.796224800679,5023.304589111631,5075.923759487575,5005.034191875534,4898.659990431061,4884.920730687168,5062.189389569711,5429.6006739127115,5876.591805563385,6241.864537754024,6393.841757750991,6280.981095466566
15kg_10bpm,11CA,5398.1697812234,4973.759088321573,4615.230130156644,4450.674473020392,4368.55397381353,4329.078181888376,4305.531998578168,4291.603824160954,4242.922839608211,4205.500247035256,4251.496108654709,4436.8176014234605,4757.445363649979,5127.3234205202,5435.155255471093,5597.043491450818,5593.930967371247,5475.5481635778815,5309.2958893197,5181.658482875886,5132.285402487556,5144.626881833585,5184.336652239023,5226.577572207893,5255.332578142262,5262.477403268171,5256.0106879634095,5245.323969963417,5234.679494993157,5219.463192888096,5178.51060914252,5085.507337280929,4930.664223676274,4752.189685202506,4581.706308283397,4454.423895402047,4351.521630774739,4236.255422890488,4099.0946501988965,3946.862264582609,3791.7344189281257,3646.2516958457345,3518.8378854565412,3409.600653073051,3305.448089848648,3180.677932148185,3029.8936608341155,2863.017471005889,2704.9582691595747,2579.323733503426,2495.493334736564,2439.722101234984,2391.5819997484073,2346.1134103780196,2315.151949940947,2312.4106359093394,2348.2486557745538,2428.7129875590294,2558.471610446385,2724.2576016300277,2904.489050669454,3079.667103606042,3234.143280064413,3353.513810213333,3437.7996850979584,3509.024574063915,3600.8802362370893,3733.436292987181,3911.9410676660386,4121.028709441049,4324.872672599271,4502.440379482325,4625.9613887763635,4685.149356794669,4687.163699255527,4659.545800273352,4647.418710672143,4697.375259465188,4835.383668662737,5037.480447007935,5244.590452932529,5382.719763693102,5412.528742125559,5358.183070263302,5285.439994649011,5246.409625782299,5248.4187489056585,5270.986487247759,5298.89682572529,5346.158842921438,5429.043190058484,5541.91122370456,5649.303790662292,5716.334158908304,5735.4206473583135,5746.378403346922,5793.625336391949,5876.477913098124,5948.1733166113745,5945.273492398426,5835.132362675153
15kg_10bpm,12AB,6164.202341228403,5872.274794359189,5391.30826473174,4879.285582866866,4480.70162467494,4264.809468700286,4230.061536774236,4318.100288550783,4445.917555370008,4561.594360490729,4638.374358092863,4672.801910265419,4684.011539392385,4668.951797045317,4602.813588474444,4462.003239096988,4234.197179663822,3945.03438821477,3647.5789256745543,3396.5458617513777,3204.17511686238,3062.1749024565916,2953.920148238813,2864.2722851683607,2779.3280997929965,2683.9653475160103,2572.7721416940963,2452.759375592487,2347.529763857896,2278.800697711208,2242.2863430418984,2236.2122026635166,2262.268015752104,2315.625222117855,2386.735630249364,2471.8889829777836,2578.301173832681,2710.390500761842,2856.1979034034107,2990.7076804511435,3099.0824212724087,3185.9065638971947,3270.524183202218,3368.8695857983475,3480.4298109434253,3586.852391524653,3660.052477619036,3687.1430499055014,3684.8486700181406,3685.727611457847,3727.303354094495,3828.3805765165944,3970.2937928439133,4113.251791468313,4213.502027147659,4264.265958616463,4299.333199903576,4350.780217663197,4419.172193987855,4484.642443024616,4527.682495835255,4546.69994481396,4552.573295033678,4571.216767749203,4628.608603636396,4747.636689895377,4866.263561814887,4927.281653697687,4901.090852835117,4817.694181805516,4747.5290180937145,4741.688269369304,4771.875872801439,4771.701422191516,4707.015932090759,4609.857073952134,4543.16390218698,4540.401429763571,4579.860400748672,4607.786121387277,4598.247033669578,4588.60267705592,4640.81173669694,4784.779381382446,4991.491316448006,5181.314861479152,5247.7713729880425,5125.475755051298,4865.060204084738,4586.118735921562,4394.406497219995,4364.545492983532,4531.27962537364,4872.763309766906,5300.657448027778,5704.417908994,5954.538264524743,5974.391201056712,5754.846945656757,5370.633611509481,4969.019510632278
15kg_10bpm,12BC,4523.711396388877,4887.590573786257,5308.159538318415,5673.188855278133,5886.402444222195,5894.3702995440435,5718.572363554242,5419.506727548685,5047.392077368585,4673.87839296123,4334.47390783691,4113.745696653235,4033.737184858828,4051.5199072800738,4147.691162295889,4279.52261479305,4394.628278226004,4458.010556359659,4461.47231210287,4421.398008510271,4373.055214150559,4337.555163746568,4314.110006776788,4291.072927005727,4257.523031368393,4206.471987295124,4134.663535982035,4046.26026086276,3945.9471302653333,3844.709706620953,3762.5948661829466,3716.957014942866,3711.681290684649,3732.460118293054,3754.975599071892,3751.9792015140038,3717.83684114946,3660.3588876672434,3601.7132379018703,3560.293544771326,3541.1544293835145,3543.6360009105792,3559.0204392234205,3575.5252905747852,3588.0366934052104,3592.7511415830063,3597.6279297972433,3607.135317974725,3626.972694818871,3652.073641127454,3676.7780192258833,3690.821946593038,3694.5998317298317,3701.4485970312626,3726.1303723620213,3772.772919168673,3830.505007081607,3879.743918610483,3901.2403424264016,3894.0362398105644,3871.7276263244576,3855.3517216661353,3861.8022079575253,3895.8620317995687,3950.170685532165,4010.164344721562,4060.4184928055856,4093.8558486078805,4106.551959302534,4101.726560048055,4083.6242461203174,4059.8411865065927,4041.903539744018,4044.144782475363,4073.7854860052266,4123.266479647073,4171.310724637997,4192.932799153159,4177.239875047882,4130.183000253127,4068.2288174498167,4003.306673521941,3936.8969682652314,3883.084354812777,3878.256895373996,3970.7982210619216,4193.584904383972,4534.7208885744785,4939.2940178909785,5388.271854172906,5657.400937816549,5653.951290012824,5423.0901101619975,5142.231333950553,5033.504312396827,5224.810698337808,5653.580288630022,6105.321267870112,6366.924045365759,6308.890503546925,5971.491859796181
15kg_10bpm,13AB,5769.274325867571,5596.077068274618,5402.179114416926,5207.270047465669,5020.611092389955,4847.308601595327,4692.828481494684,4576.908507614217,4523.030191984409,4560.17065772422,4643.418516793398,4733.260392803134,4805.571837023958,4854.814678830831,4883.175457032125,4884.79450058416,4839.829527225904,4734.753940067304,4554.6327174697,4308.070362191829,4016.651845132907,3719.5349260915964,3445.481781522058,3206.7417935165495,3007.3485971979617,2852.954875494186,2750.7315296702054,2692.407537623599,2660.6353108398266,2641.3867163262134,2625.752476094839,2586.9949718778425,2533.4391983363626,2488.6676724838244,2468.942821969478,2490.1143075552154,2548.804523237125,2623.6853475055154,2682.351389706699,2704.512175307061,2691.2098075666468,2666.383507247641,2665.440421034396,2711.095653484861,2803.381436167864,2926.222015098833,3055.3897638191133,3178.2994218821354,3308.5217470504135,3462.4266980094803,3642.2671499975845,3838.8399650794054,4031.5063686811554,4194.563823423205,4316.491900607219,4402.206429252774,4454.342335709174,4472.295913938176,4472.898560926959,4476.258799375198,4492.620626833152,4516.962534371516,4537.940897998012,4546.62808145273,4542.550884993,4536.9741575958715,4533.730258642855,4533.479904253556,4532.459201015775,4524.017283156704,4508.040754604807,4501.232325894796,4518.426199156881,4618.203438835148,4753.835292617417,4816.555529163179,4798.665739780514,4741.118050627183,4698.699177313442,4706.625048034543,4755.723432971452,4802.843035395284,4792.885171449863,4691.363763547463,4521.548501937444,4383.110704475995,4421.17394263019,4736.281443558817,5283.355563842351,5868.441011556776,6219.787424500965,6142.480358076601,5706.892645658765,5229.802960496439,5041.651114647937,5264.770391280193,5769.921974402547,6299.6349476376945,6644.449968237215,6727.64724179744,6542.526192353313
15kg_10bpm,13BC,5829.8429548152035,5690.66554796033,5426.7836044836495,5121.428288652571,4858.812576642297,4685.549614398959,4593.937238067338,4540.9684774229345,4478.992184094211,4416.284705687159,4387.50573886148,4379.55120809805,4374.571260394701,4361.022810402297,4338.21141454317,4316.341441802378,4306.699007446813,4312.982050370541,4333.197352526052,4365.637799366329,4406.224978181912,4445.994962325629,4467.769039413496,4450.750810084514,4377.38128861267,4247.855422510244,4082.1880515456965,3923.1256583047025,3801.4926896041297,3730.631386201408,3700.28810322571,3688.7223067178347,3676.2510389593676,3656.0504941356253,3629.488975249708,3596.9535387502947,3559.887606674405,3515.1273504842848,3464.6145211114062,3411.640413052629,3359.114210300008,3311.298548831269,3269.766090771943,3241.1205613259463,3230.097625168997,3241.635875273054,3279.3131800459732,3336.2127206789914,3402.8211233548805,3465.243731046127,3512.466948271674,3538.4950642631925,3549.9085787927597,3557.6858140398376,3572.659796550544,3601.919076255371,3651.027722966794,3718.2945884163696,3793.028208599928,3861.3897578832953,3913.544202225995,3948.686699135912,3972.4973996370495,3993.615139065332,4019.0450530170597,4050.177400112544,4084.135594293186,4115.717776875774,4138.847983968178,4155.730632885561,4173.134292195614,4201.337314044042,4244.890655106188,4294.850353742169,4334.823574979752,4352.118071815744,4342.669031030746,4309.63076044829,4261.01214539542,4206.952587656022,4156.804654924888,4126.0671679548805,4136.200279597886,4210.125879407242,4360.746551404174,4575.646535568414,4826.310658468706,5090.603603433645,5258.406002954111,5260.704835443126,5110.388695514029,4892.444657880669,4732.961712839877,4741.376183983164,4964.027181987094,5355.465121282955,5789.803561861593,6125.59044755905,6258.8425663358385,6165.899912505969,5896.398300542145
