cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,5329.786717876961,5138.342040271972,4986.563700251798,4931.656453292306,4970.9327842121975,5092.531946452991,5227.0060217249,5364.5039386591925,5442.761541283501,5451.544248420228,5450.769358345416,5455.142218509716,5350.374257428281,5188.299464377526,5008.202841387537,4813.2166774156285,4618.895213571251,4443.003528751704,4300.407372195185,4173.649966517486,4022.8790889619927,3882.4875556337256,3782.4558055737075,3726.026113040163,3662.101392572375,3581.3109582337506,3411.932164538492,2998.834761885773,2589.8940511274873,2272.08959167774,1964.7161054747498,1728.0938261898261,1509.5105582962942,1326.7285167094776,1240.7654571889705,1252.6263795766965,1327.6543861021928,1421.2037289612701,1497.0805432291243,1543.6593468780695,1584.5430186292865,1647.0843566729377,1759.4839156239907,1923.9819284024568,2126.8502901660713,2408.3754204206566,2741.173576308005,3045.626044910112,3215.4831193224786,3260.078485856195,3312.034837525229,3432.3839683593105,3616.684003589302,3871.6029043057065,4102.892651562253,4272.858432407307,4407.915600295496,4579.102659039803,4797.543071204596,4987.145137425885,5111.036497949004,5207.983323068689,5280.346479733168,5311.312718145753,5306.128996755541,5285.641176220685,5259.571232882857,5250.854024127858,5248.9408067265285,5246.424493545765,5261.696900793387,5334.666438049689,5379.5027661159165,5422.390626548383,5435.058548544937,5423.2433239921365,5403.8931592102845,5395.997829085674,5400.295665780592,5404.533384551882,5404.576749485109,5384.632068796279,5338.214726397841,5267.693470620802,5212.844195111725,5211.758633520552,5280.672012654776,5407.434997456085,5517.144646522955,5647.585602620285,5797.238187838699,5849.214611055621,5844.645003565833,5932.3926172465535,6018.3164104288035,6106.253889164109,6118.336236919555,6064.362535408722,5991.8357600945155,5900.19034756982,5975.273423185153
7kg_10bpm,2AB,4623.836952637255,4446.580837256297,4252.439956586531,4097.171165998613,4012.2372595325196,4011.224882435861,4076.9385589366593,4167.650564181809,4241.277743205815,4259.329910595602,4209.44841923331,4098.06981073494,3943.95314744884,3764.585751709921,3585.3115003292364,3431.3346811131623,3306.327401665458,3192.826808046773,3073.773483176045,2934.427207150678,2772.6287057179006,2597.8394653770943,2421.3348185848286,2252.292416326663,2102.474368839315,1981.4893115191464,1892.202583400032,1828.4137728466048,1775.222482414692,1718.4366174577242,1649.8042281762355,1569.299344426296,1496.768419081965,1439.6251980506906,1414.712595475414,1443.520642385065,1527.8906558708559,1655.5440592543755,1808.9918132140856,1972.2056429428678,2135.5460818069,2294.451264500142,2448.7834074555076,2599.0401036148187,2746.640718506895,2887.370896511809,3017.6601399845636,3128.6976904519943,3223.408206128199,3313.3068429126997,3410.8519784399764,3509.6806607531616,3606.7439659663128,3687.176551164475,3742.6989838726654,3780.869538508384,3811.872411965329,3841.421294101497,3877.7008334877837,3922.8342176014303,3971.1772624250116,4014.1484990682657,4046.2838113472385,4065.9703356726295,4078.222917574777,4091.329979403433,4109.305043822894,4131.017499290646,4145.699682852333,4146.505541430293,4128.237827622461,4097.048285426908,4067.234696924312,4047.7499841757626,4038.4733957755197,4034.279678466076,4026.137904141555,4010.924466711004,3985.1550515715303,3942.5939876067314,3875.481795694679,3784.217199279056,3680.1504460927613,3582.740562328109,3523.29319802552,3533.063867253513,3627.9743115093615,3802.433598628082,4022.3616233736548,4238.005025626045,4408.71131940323,4520.760465112417,4595.288654808723,4669.358505949553,4797.610779348654,4996.927101996252,5212.043717971325,5355.70881618508,5383.03514095245,5295.076666304853,5120.1898590546525
7kg_10bpm,3AB,4967.208372017919,4677.782374297241,4373.3497335987895,4122.504359954889,3976.939352942647,3956.1583414990496,4041.6924229481824,4182.022116510982,4319.860935076902,4404.2307845055975,4402.2291240868035,4311.335381744738,4148.156168810225,3953.0706486108725,3752.8346954187755,3567.1798461902936,3409.5752157610277,3266.9827190376964,3125.2081049261215,2969.766778576969,2785.4738583185667,2567.432913782971,2323.4412005628374,2067.91879227159,1822.0761502804692,1611.1164093145303,1454.7549618837497,1363.4759412166043,1327.184274276008,1324.5648282070376,1334.9323504026215,1347.3810233738322,1361.1152244665568,1378.3588510147536,1399.6732504875054,1437.9133556028007,1504.8624856564634,1606.1833917485642,1739.8018588767793,1896.6140655604202,2058.861050417007,2207.891360778221,2334.859338811099,2443.754898905132,2548.6572815963364,2664.528412915869,2797.4134524348483,2944.7661631361707,3097.471714051249,3237.0951517732233,3344.957523688952,3417.736172777085,3473.204400984245,3516.869394456014,3561.9514671278293,3608.644792795565,3652.4599889685014,3694.228632937402,3730.46084201171,3776.83007185703,3832.9417506322416,3890.6377636276616,3938.7156231649874,3966.2182080738385,3968.4464848469356,3949.3698793874373,3921.673290028267,3897.5881682336208,3883.2634591066803,3875.7655251952374,3870.735743668929,3875.5205695667523,3893.758055166431,3928.861245827563,3978.5961563738956,4036.9765911223576,4095.6327620646475,4142.4437318350465,4169.766429035416,4173.502399954891,4152.109821472558,4108.428030534696,4051.946311041283,4002.114856419277,3977.67862433017,3996.127608021794,4076.7763527363327,4181.723493101473,4282.17885353389,4351.896154366188,4381.438126668212,4384.139218497016,4387.277247765789,4425.264787943037,4522.706289248253,4684.60234003139,4893.85771834338,5117.449587757086,5319.818108573074,5464.805287715363,5529.687082655865
7kg_10bpm,4AB,5082.288677362754,4809.036214570693,4517.551213328761,4279.567599473046,4143.06115396533,4129.3971589547355,4228.211769639425,4397.29626364017,4570.402871728893,4684.338292302308,4701.556680017374,4616.290320266545,4443.93786362086,4208.986989523825,3954.1902350927385,3715.136450893019,3514.891678683338,3350.133524554994,3196.5616395765323,3036.508083398441,2857.593670840321,2652.6909799975124,2425.2392055486152,2183.9941824446155,1939.2256942931842,1698.2871033016643,1467.437724519627,1253.6690902223802,1063.3363469513808,908.6360977649451,806.5543574624185,754.6780006450663,752.4187920510442,796.4446409991206,885.0111980920396,1009.6647847936277,1156.8934103508636,1314.7080788146664,1475.55799528392,1634.764180844991,1789.1771727010134,1937.082766100691,2076.6991255139533,2205.6990804077855,2323.6726842153685,2431.8704181059884,2532.6216808000154,2629.3922011613113,2721.925102293021,2810.4499974077685,2901.768490950605,3002.1606130631158,3108.699114059065,3211.034725092852,3304.909191001352,3399.1446583747656,3499.7963413419575,3620.3886487507375,3756.015815230074,3893.1207796840467,4014.720001875736,4112.628674372556,4182.192428704506,4229.286261577378,4266.732305841459,4307.548982237451,4360.034155593541,4421.052727432601,4483.711541888536,4528.7877628458145,4541.8424839739855,4505.867554290824,4414.743909950026,4280.867943949223,4137.772201762688,4019.265505389183,3945.027350643016,3917.3444737720993,3926.6918911092416,3955.9674607447632,3987.2211910610536,4007.241370934562,4006.94600965519,3983.701284143489,3944.9822397974717,3916.6348414733857,3946.5006399044432,4075.270012495218,4296.318706362096,4535.942741100704,4701.549518558971,4735.805695968266,4633.815120687613,4473.8675348718325,4360.294111676837,4343.623806795337,4443.765467676843,4653.106075249916,4920.94966428769,5143.38295772545,5256.141826211901
7kg_10bpm,5AB,5050.886663958953,4775.346878779936,4469.775068487262,4190.037544180702,3987.756218035205,3899.290854940534,3925.787106419942,4025.9265293842755,4136.679098074781,4198.068643929929,4185.589264166179,4100.6641804288165,3968.6708894989524,3818.1293283780265,3670.069710360704,3534.953960597046,3412.474166689013,3300.461642772841,3198.8834005771,3102.6988727026082,3003.457429427341,2882.4526915334222,2726.3966675691413,2533.4582996197073,2313.4889856552727,2084.6651536253917,1866.171407269957,1670.877635718258,1506.1069708216785,1376.8141435669704,1286.6091340828984,1242.5765906357876,1242.2027381552616,1271.914172675004,1327.8061049283763,1399.7704151468515,1486.3083935976217,1591.0900626823102,1709.0755776504107,1832.9125529129687,1959.7931699748983,2086.014302340464,2208.2346748731165,2325.512856017852,2436.191383573186,2535.1155894788344,2617.6589193344953,2686.025876317221,2749.1134803001537,2810.0445148761755,2877.582127837744,2949.2756278957813,3022.678345788671,3096.525069961808,3176.6137147509976,3260.8502671945653,3356.1440153916105,3448.748543898937,3540.84507557909,3627.0129423210888,3712.2149779088613,3796.1244900704255,3878.8850397927545,3954.351224389658,4014.8163503686314,4056.688780630441,4083.3043157449265,4099.666107162675,4116.295530064921,4141.007365536173,4172.217633785836,4204.474095171245,4228.754112986327,4239.644531163795,4237.398496427123,4225.8205913045795,4209.342024112726,4190.137036515281,4168.203723522436,4142.877842133747,4115.394764280705,4089.6551049628497,4071.8625227379603,4073.486998500994,4100.88405117815,4151.030614003679,4212.073028518421,4271.753717753071,4323.463507425229,4369.379911383084,4421.332672451346,4497.565670785883,4606.821462285614,4758.156601480004,4933.308029938828,5119.854208321267,5304.078444313973,5460.4847086174195,5557.21679039758,5565.932326926464,5472.313587112122
7kg_10bpm,6AB,5072.386110384636,4748.5154426841855,4399.893386423302,4089.4876895656284,3877.1435717331324,3797.524946638633,3853.157213744562,4003.1262243302413,4173.172680262589,4293.9928239706005,4322.246595022261,4242.628275304307,4076.7102730281076,3862.9849072829297,3640.508423821907,3436.820861280546,3267.049756941893,3119.3372358992815,2989.272918261094,2860.881422775249,2721.614569561141,2563.9619565221597,2382.438115946609,2173.471649140631,1942.6561197586652,1707.8046695973471,1490.929266332243,1309.5379926558353,1172.6436090247532,1083.0793981394716,1033.6063450273648,1012.9110987925746,1025.8778570495094,1074.2884438386327,1161.971276177638,1280.8410859275484,1416.3791826240292,1556.6787016816806,1695.4789226832004,1829.032014101535,1952.4290642232306,2061.886218501844,2156.6827093333613,2244.924449598949,2337.48661109679,2443.407888784997,2567.108029312723,2706.918298503903,2854.9588946453423,3001.764182408991,3139.9842905317328,3266.4257222484225,3381.4166198259645,3485.5151213384424,3576.7498996148975,3651.3998225106006,3709.493090157348,3750.1789708714764,3785.286956933223,3821.667102156196,3866.356696547263,3916.2827321503537,3962.374562286277,3994.3071245774186,4006.3638434799723,4000.709992506575,3987.0476131937376,3975.4178880992476,3971.5841806523295,3980.4739358963,4004.5519020593124,4039.6643062866524,4077.5407368893357,4106.433878776974,4111.494464922276,4095.1702145247555,4068.1082192224167,4043.321038536123,4035.019520585818,4050.0992853285693,4088.121827435104,4145.086924161166,4218.719026133696,4304.058183281847,4393.882487181857,4478.142794611643,4545.63522737924,4587.848547163872,4595.381084928853,4570.465665772278,4525.7126951877235,4454.227799711686,4384.554608827901,4344.603399476258,4343.097438610303,4384.761757657836,4472.438281541003,4618.472599009956,4814.030776570784,5029.981802020229,5223.445861852235
7kg_10bpm,7AB,4866.990374977714,4617.584650108631,4369.48634997543,4159.419800019674,4021.9684705010827,3983.779518405433,4050.3593099107225,4190.911406315257,4340.018624354189,4421.999183380229,4390.834985747124,4253.473833294927,4045.782962545324,3812.641037258372,3586.9054204836566,3379.810113703643,3197.3863348731043,3034.11788810548,2877.737214856826,2718.90723843527,2552.9722865971435,2377.072183425015,2184.522530643421,1977.4884028657802,1765.7130997637837,1563.2619464922384,1385.1349361086218,1240.0938205580005,1134.2699829674511,1067.0640588703418,1046.274010291385,1074.058797568233,1138.1897398378792,1227.8817958485918,1336.404809106102,1465.834826750476,1610.7785191072053,1757.8573654258462,1894.4749039386468,2015.2213134493913,2124.47218843078,2230.8000926137724,2340.399776531011,2452.723687619523,2562.8659531506046,2664.7029771209036,2755.3959897541404,2835.284563783574,2925.1286980420864,3032.4897832898378,3150.3500637004568,3263.2253809775907,3358.8238523582727,3432.010922305141,3490.1647464692305,3542.755458342222,3595.95518485762,3655.5978172794885,3720.6435576030776,3787.2757448381294,3846.898900872863,3892.505192938198,3923.3690470078236,3948.281868823256,3974.4965097517606,4004.329575895903,4030.1275053401705,4044.9117243361934,4049.8971460067723,4058.673655722898,4087.6603598022484,4144.996207414636,4221.594892020138,4297.530727663308,4350.254101344665,4364.187634013564,4341.339275339418,4293.330281621915,4231.38877895817,4165.344193327291,4096.2575288268245,4030.551418779878,3974.2019023531416,3935.51107155964,3924.999059786312,3952.1936888838345,4038.2502137888864,4157.79235585734,4277.731998008311,4360.234042727636,4378.949284036965,4332.229514431075,4236.7852610547225,4140.326211582059,4102.2726484610275,4170.3418734426095,4362.021855233859,4660.15104619247,4989.263444145703,5255.155815100102,5390.07530200906
7kg_10bpm,8AB,5231.629945553565,4887.026777709738,4487.807213905775,4113.140181536122,3843.3968020368893,3729.309235473355,3771.4055258289427,3908.893820942287,4071.003426327503,4194.807259770689,4248.334513841168,4218.357618502003,4108.378614123468,3947.700677392675,3756.956785548405,3555.880442668468,3352.44962407194,3147.5342305678805,2942.735026913619,2736.0982596383387,2533.6448613297275,2347.6869984434247,2186.91799954575,2050.8464661218472,1936.6490160950723,1837.2052339979316,1739.830368073719,1641.114754410124,1546.041005808068,1466.037476044557,1412.580850699624,1381.6511152545156,1368.195420675408,1381.8549384411087,1431.3247131572195,1520.002398259833,1639.0962820422876,1770.4537099375832,1900.0906254770553,2021.313468884739,2132.6723780146303,2239.407878571676,2353.2917152259492,2484.429378732436,2629.8282335050053,2775.7229717755804,2908.901080907927,3023.6501007426796,3124.7394346274664,3222.2360946470785,3322.4627924403057,3425.0061331178904,3512.3125324512507,3579.2150988442163,3615.980511391579,3629.708968720109,3635.046973911746,3646.8671247061384,3675.040391017516,3715.1143580112685,3765.2538483897324,3814.1549898920834,3856.3169864343463,3892.9518686480233,3925.066047520023,3950.2437847626106,3965.119179519483,3972.3478738257045,3978.3088162939175,3984.812493541874,3989.900129115497,3990.254479118742,3993.654752238958,4011.517288047574,4044.790786971991,4089.507121391824,4135.397529379459,4167.332796351789,4172.7707590100135,4146.084663833779,4091.1150365624367,4024.3869378550007,3960.205739185368,3911.063289253995,3885.9410515319723,3892.3453084042217,3933.218928750498,4014.0714812788597,4130.77569508955,4265.291501733236,4392.081236268544,4471.18165287454,4476.366974808821,4419.183039413189,4353.952130938966,4333.645222204874,4406.1202508672695,4603.158329198808,4887.697304114176,5166.716143578383,5347.3118727629435
7kg_10bpm,10AB,4888.910205277485,4615.683712805368,4281.327603828988,3956.5840785265527,3719.145251772782,3636.6375755387307,3706.959116015315,3865.8138543350765,4006.878588677569,4053.7512392290064,3999.077923845969,3875.1407250899188,3710.3712246738837,3516.379167537877,3313.866501876388,3110.606049506337,2917.1333310671052,2738.6576795688256,2572.7425297746627,2415.3697051793915,2259.2273325987103,2105.988885163409,1963.9536801643887,1841.023639100506,1757.935150727093,1739.3234750158513,1776.6958854047634,1849.968479053185,1939.4794146121003,2023.685052139723,2080.779248905241,2106.119972020136,2111.631398708355,2111.7932482052524,2119.543880854521,2142.91694962806,2181.8725794373872,2228.679389143157,2274.2100385748013,2307.5272401510433,2324.29148262735,2329.8610619537626,2337.825742551969,2356.2266122717683,2392.4800723098865,2453.252196363239,2536.872004558165,2636.3747828480937,2747.016948251662,2874.0792466505163,3012.7597941069307,3146.951374408274,3264.901012438871,3365.1094674658457,3460.453915917118,3569.0701225797948,3690.084777521323,3805.934864692167,3885.55244364349,3935.681094116641,3971.39650688918,4004.8842516233917,4038.37231379087,4080.28892688305,4149.641393613941,4248.849572481118,4324.334921189478,4296.473646628761,4063.6857282496467,3704.651175655435,3449.61403672397,3492.1979299442305,3821.8112034641304,4231.4271755596765,4385.4634974721685,4207.009128030223,3956.76556627,3803.251973715948,3788.9641772308155,3913.917515214923,4102.699210505092,4223.795725095696,4192.956025780616,4044.858250292636,3879.9220222375725,3781.2267002777076,3776.0829524009737,3845.725534085923,3940.094577223492,4015.066014801944,4065.63968746058,4110.319531432982,4169.459058698796,4250.149247730368,4331.9481445535885,4380.248824764548,4373.412311632571,4326.081262203545,4274.240984485572,4250.587589348727,4264.909945002598
7kg_10bpm,11AB,4954.065307589345,4524.398888806625,4079.441671358571,3794.910105326184,3758.63790475878,3911.0340402254146,4101.813155157924,4198.764438381115,4161.436728694431,4032.8847695697327,3883.5279245334646,3756.9315061521506,3641.6093435747052,3508.0206753832035,3321.234511048821,3058.4836577172114,2726.262669132392,2362.4158578714523,2013.6811576972377,1726.8376631890342,1534.1473016857574,1443.8268397350382,1435.7425884860513,1469.6136944508687,1506.2637288926899,1523.59857769002,1520.9337403341574,1522.1910868388538,1560.1213060945588,1648.521785159252,1772.6931523473681,1902.939070880209,2010.0025761185348,2082.4046273546373,2133.0234454375186,2178.9501957748207,2234.2956089902486,2302.534945430869,2382.7292650909517,2471.0137247810726,2567.821150146458,2676.1270636114677,2795.7742685595445,2928.180631163053,3064.220359294761,3195.298616558186,3319.6374831168296,3427.8267928029086,3511.3166536609738,3585.3129124078137,3662.187256953324,3740.09056014479,3818.468691326368,3892.113506780567,3946.3174053716093,3969.8353108868855,3966.7070086234717,3957.2014939847363,3967.3701674515746,4003.135131433504,4043.909841469835,4055.0964048807627,4039.8924011933286,4012.2899008173495,3950.19179420148,3742.2019454494175,3422.4635813724235,3169.378783420896,3242.715544948011,3644.610909817577,4047.7820890672297,4215.791241504915,4150.590208924451,4008.6898907308455,3882.2552795654087,3803.45064792399,3779.6100634125132,3792.271963257033,3807.235497465552,3811.4336293684914,3823.3882265151133,3871.7297738561856,3952.6900928911955,4037.779251939994,4097.1298247461655,4099.319189672379,4036.788053178901,3954.230284363192,3894.185616618999,3864.8082622186184,3850.425545197756,3849.923958782635,3866.005698450592,3896.24006074819,3940.7813577687657,4001.3424631386533,4066.2732051616736,4132.273381628168,4225.340882334012,4347.5135376783455,4476.408832517908
