cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,4924.253816903444,4829.415320204152,4618.203260411348,4356.385827342763,4148.467051437641,4036.7920875533428,3984.063482069704,3974.015114629885,3984.5353988742013,3986.944919424856,3959.7984482008665,3888.40030271913,3772.146694706035,3624.638507474188,3467.790388185992,3322.572054408606,3195.910881103157,3087.7561385119893,2997.5304911636854,2922.734667593249,2867.410157744939,2836.1260189557497,2827.500795201911,2838.563575265445,2859.1888645717795,2879.8413134533444,2892.613834862065,2901.837325058992,2907.942547849275,2911.709872478702,2914.5133140125536,2919.469361597801,2930.677400816283,2951.6279648904333,2983.682331234778,3021.8776833670017,3057.8184217153184,3082.090775477686,3089.981520467884,3079.1181055933403,3058.1042663975713,3033.6412028073014,3014.2456403798546,3004.7008847024326,3005.4788562509575,3013.3824382006455,3025.500752341441,3036.419611291733,3043.935442942544,3050.0400470601826,3059.201878408687,3073.5882098307566,3093.1654884230948,3117.268077053117,3144.5869691629537,3173.393712952491,3202.3221996479433,3231.5479445850688,3264.3896007326707,3298.943601789407,3336.8784872437172,3372.389975356979,3401.280207356866,3418.750829280858,3421.16611847737,3415.9007720525838,3409.859641479623,3410.670936404371,3421.5646427891406,3439.7433292044707,3462.9303152750576,3487.067907901382,3506.87999394722,3517.291928496254,3513.155235065828,3495.6765997093435,3466.7172688021537,3433.112748704275,3399.010282132036,3366.3612273746917,3336.233851421066,3303.0503613805868,3265.9750890926157,3226.7856739303156,3196.8876486219865,3193.7233896300563,3240.3082523882244,3352.485104902462,3531.1784185869533,3762.9296158400175,4009.547664798803,4225.4707554396555,4376.60025610817,4430.412566957526,4392.133435073207,4313.836688444278,4236.526460157271,4182.621229114133,4165.936945729156,4207.534347316231,4297.318378266745
7kg_10bpm,2BC,4325.7079820438785,4191.612555723412,4083.3138034692142,4018.6804029701334,3993.8501477510777,4009.3476946413098,4052.418062596713,4107.860107064114,4155.548377606028,4180.725297025494,4172.3291365935265,4125.704071258575,4045.355841940498,3940.56306600089,3822.031252729883,3696.4327235215133,3569.3490807887433,3444.407551658704,3322.5106841270685,3207.5849002883847,3103.569165180632,3019.513042466337,2957.103990794571,2915.343316567753,2889.1490019113876,2872.5880920976374,2856.9300603387787,2836.823323185332,2807.4419372106086,2769.038260312807,2726.5931451837223,2687.0310931114,2655.843512050161,2637.0689364206364,2632.5637169190027,2642.272955757903,2664.5276587019525,2694.616632486888,2725.6233978203813,2751.200142680797,2766.6082609188625,2770.352723889003,2764.8484933182294,2755.7407886495894,2749.0449591842294,2749.225993996526,2756.7618000091343,2768.8962075178865,2781.8885896492884,2793.2452478679115,2803.511711938102,2818.6288473037043,2843.673516302128,2880.380875437479,2927.8385079066843,2983.2307700500623,3038.6279388428043,3090.914568960049,3137.1759620885987,3177.947359336383,3218.538439697253,3260.7190548990084,3306.8655776901132,3352.5619244030568,3397.160589363236,3437.2179305083873,3475.167196165473,3511.1838575402894,3544.962557883416,3573.3689828402967,3596.700853127493,3615.3741804275955,3628.9825471099734,3637.8639394544825,3639.5424438649557,3635.5746779090255,3628.231045512381,3618.674380963543,3608.9073513235085,3601.1548593165894,3595.5438625395145,3597.1639247821754,3612.4491576421606,3647.0972145170012,3701.95100830697,3773.608172407845,3853.2091407749713,3924.725525851128,3973.269494456644,3995.9640805101394,3998.423948713272,3998.7039480897843,4022.5130378006993,4086.4422441848033,4197.687390900465,4349.799502931484,4519.134879839791,4678.0346507182185,4814.64790258696,4929.565461091101,5030.607195833589
7kg_10bpm,3BC,4803.412693531778,4631.823493544635,4435.425413530853,4250.137483652083,4119.043209099673,4042.186590235683,4002.8274303389467,3993.2143689836803,4005.075516067498,4024.697362970987,4029.807425903277,3997.1595631991563,3914.4346778660624,3793.687669910668,3656.0512721662667,3524.7207920458463,3411.533298001879,3319.7833249751484,3242.5740297893353,3175.37535506202,3117.77668222154,3068.0220628746256,3026.855143557848,2991.8733976042254,2959.213756144461,2925.3337752194516,2884.5267647548644,2834.7090186213936,2780.3519274702717,2725.534277386695,2677.546922726061,2642.377156830192,2622.7131845255644,2619.191137515727,2627.5877061451715,2642.4595837774364,2657.722226015734,2666.8223913686975,2667.6945422884605,2660.691409819712,2648.7272766627475,2634.0660868312307,2621.984395407332,2614.009226924056,2613.019358009408,2623.5517381284826,2647.2740345588004,2680.026422060068,2719.8187867002716,2762.8250574850317,2808.1754393929687,2857.4553617301485,2911.8447914009657,2970.6485052564913,3032.4535108180157,3093.4413863078635,3153.165538030757,3209.821795862087,3260.437714206227,3303.46576968299,3337.1035229748095,3363.725739401759,3384.7635247370904,3401.9780913750515,3416.696766716123,3427.028627775975,3433.1590712286243,3434.497902059394,3435.2804501622513,3440.759113137026,3450.835676178041,3463.9615239397167,3476.635299774838,3485.998104441345,3489.631517686114,3484.313637227389,3475.7238621747824,3467.7285584349725,3471.2425356936246,3495.611921714184,3547.95749170281,3630.875760795367,3736.394022638484,3853.0306902172842,3959.6933056295934,4038.7790212513037,4079.1971633925305,4082.7729304750587,4061.9221668530877,4039.7508412974935,4039.1030349640346,4078.0773383894357,4169.840166284474,4336.992626742618,4582.467429513297,4859.976470599302,5125.258595846496,5334.614937052629,5457.6485451666695,5485.128341336419,5426.481727497932
7kg_10bpm,4BC,4633.397932252337,4396.614131550835,4128.887335453988,3944.436207184539,3849.446660469212,3823.557165001385,3862.045135752968,3941.757159550441,4030.095857771268,4091.662750539727,4102.62862093012,4056.136245321211,3960.7871975939024,3834.7052355170163,3695.76434050876,3557.7907968290897,3427.597996963724,3308.5428360261453,3202.0805168199677,3112.881611756244,3042.342521480663,2988.2200340384575,2950.0891227988504,2921.6678799069095,2901.6097534650735,2886.5227978599974,2869.5498371439526,2846.5859854197424,2811.46788517324,2768.180873775937,2726.538134848979,2697.7390341950327,2687.9029934953082,2698.652821557216,2723.444375694844,2754.135081285852,2780.574696922574,2795.1785937869918,2795.8202514162754,2785.683239438916,2770.516964195256,2756.429278882809,2745.470211920784,2732.4726181626215,2710.1460235646105,2672.242723880747,2618.9740952155457,2557.39974504735,2499.640384507241,2457.790042566341,2445.826130412988,2465.2700850218507,2514.591943436982,2588.913325761484,2681.8609984518266,2781.786754782147,2883.540486628842,2983.2390298925425,3078.5878330204955,3171.6681082785485,3262.6798913925386,3353.7064549391753,3441.0010082928293,3517.4979072251335,3580.5375862721075,3626.83851425715,3655.32646493468,3665.1412694972014,3661.7008636311834,3648.0759203158586,3635.712054224336,3631.9220719284444,3636.6336514259333,3646.3278893570073,3655.420676116931,3657.9994725845986,3650.824193001652,3632.9248165104286,3602.7340553363433,3566.638524746652,3533.317321050107,3514.191007464198,3520.230449296145,3558.9491685966436,3632.0500653502345,3732.0117412178024,3845.3092033200064,3953.327023125,4039.9762551506656,4094.1154147511775,4119.452134211248,4140.612108453627,4188.651636429501,4291.664375453836,4477.277796316232,4763.4781824820075,5094.859288422668,5411.30714342144,5653.704274727494,5785.231465560731,5796.085691213774
7kg_10bpm,5BC,4704.702382044076,4524.277166831068,4280.529567693593,4052.5152643196448,3886.972065497478,3776.319108701862,3726.2207464008084,3732.8338830927055,3782.6845746454665,3851.3680810239416,3914.607341238956,3943.812619001827,3919.2932224021697,3836.704964304358,3714.667583841195,3579.587173697374,3456.284767214831,3358.2939268037003,3285.9345929513574,3231.3169810157488,3182.0111058828147,3128.383016547436,3068.769371943544,3002.595788343266,2935.8404256149765,2880.9489049037998,2850.6694847969984,2844.3587444177047,2851.5968882166944,2857.878799491544,2853.9166345580115,2839.110113808744,2820.5093560718524,2805.9056251433676,2799.760190419581,2804.380814551654,2811.7815516306114,2817.028231361171,2815.7076384071725,2805.7228616533685,2788.970834243813,2768.7647968452766,2748.2730225377154,2731.5173408698965,2717.1287461095685,2707.9681191250697,2700.242274017167,2694.818660939693,2695.954039804344,2706.685989932161,2728.6324085261303,2761.923124064622,2804.9847654678942,2855.353322175317,2909.748226593081,2964.3446720925003,3015.104265667151,3058.295750923279,3091.14544476067,3114.1085276024373,3131.556073731477,3147.5008424006055,3163.0048760213895,3178.8735558644066,3199.1212206930145,3225.346261614663,3259.3628295945878,3296.4022085106676,3333.822106368543,3365.07218039938,3386.3997821449475,3392.6595236608487,3380.1764679661014,3351.421610379359,3316.3372065692456,3287.713493888501,3277.633851527289,3290.770370680255,3321.6489600677223,3359.7426636126065,3396.719137214671,3434.551715914629,3479.4636854482064,3542.1915635374376,3634.133083996052,3761.1462410387053,3922.236585498345,4106.772988509399,4299.259407886503,4507.7676390220195,4678.348822236307,4776.193090637062,4821.393096984171,4857.140768655956,4932.031311021228,5065.197238349736,5230.135555101574,5365.061267117981,5406.7048832449145,5323.7098273185175,5134.610766772896
7kg_10bpm,6BC,4968.649219018527,4858.864372663161,4629.477705634626,4329.012634647565,4106.889726968434,3963.980065188483,3883.37189228816,3869.596025031977,3904.9587900404335,3950.638004160879,3970.452844069841,3942.3368800137496,3865.1904485356367,3757.4763482064513,3644.4860460503714,3545.8522700295416,3471.3889161358065,3409.1682480792706,3346.3413966067637,3272.5910321485408,3186.6982148421766,3093.241747871238,3009.963823004748,2945.303233474835,2905.1052443017616,2886.4511316012986,2879.935667611552,2871.59947840503,2850.589130347529,2813.923370045476,2766.9228056980633,2721.5271982641907,2688.616052887785,2674.6656728719454,2681.3100445804475,2700.574033717616,2725.0257305627188,2745.168258544537,2753.3121133749546,2744.346682209324,2716.9656182111967,2675.3219148442163,2627.3898310868058,2583.384792285243,2552.3464730260366,2538.299542339544,2539.5747075745007,2552.687307693654,2575.756761140433,2609.100826842961,2653.092355494584,2707.2640055784723,2766.9416245866796,2829.6049484496425,2890.4165682590788,2945.9749630946894,2996.0856563699463,3042.4343379816883,3087.136110766773,3134.1674498379107,3188.5197040570056,3256.1126304109307,3331.736093147906,3419.766972593535,3507.0417122369477,3584.264893860338,3642.747919008288,3678.1031638768395,3695.5763507772226,3702.5710410934216,3708.8099519038915,3719.3237283751278,3731.234606221643,3739.129801395563,3734.533296603246,3711.400114447301,3673.624949653099,3629.5560995935143,3583.502412383049,3542.8710062082678,3514.1800459213946,3507.953156643213,3531.8485626625247,3592.713581105233,3689.6653359097286,3810.779753294863,3937.5758748501266,4042.4927070534977,4106.212355905788,4120.162662362469,4097.96104623192,4074.3078179740673,4087.6004274957522,4165.389105043779,4322.499616357717,4551.454888965816,4826.989164891834,5089.858244015827,5304.872556579434,5445.5297353591695,5488.525273494027
7kg_10bpm,7BC,4970.460851229092,4764.747197300698,4459.811750060884,4140.828046695123,3931.521323760736,3806.7327215985392,3773.8991023415697,3815.888544434671,3885.9225579803065,3931.105490313659,3913.685950079408,3832.0499216376,3711.1021764977013,3587.105849410663,3487.303519108118,3416.2167799681124,3363.4054490725816,3305.9730146015795,3229.3211565137344,3134.6013820835024,3036.3811100969474,2946.3894578865684,2873.127433890635,2816.4313326999254,2765.827931417148,2717.660260440031,2671.462898745622,2634.6605631864068,2617.9046747444436,2631.2940500268733,2675.7117767413497,2739.7238536446503,2809.8706075649684,2866.43916528381,2900.572166764436,2913.9210917077367,2914.1344145184753,2909.2689150163483,2903.897476089334,2899.1677947392973,2895.9776052797747,2897.9401831458945,2910.8094211392945,2935.0357642045574,2964.4013874148773,2989.1880214053326,3001.926438638657,3002.5573638365886,2997.8383324449333,2999.6235387262946,3015.484116774469,3045.5312338756685,3082.3602659848425,3109.454619922629,3119.217976850472,3111.7411344117763,3097.4772384197045,3092.2238806832215,3110.6204499610863,3155.4400448112265,3219.7833836942527,3291.1119117326975,3356.4216266612557,3406.8193036518624,3440.124091738014,3461.7937106657064,3476.9991912844316,3490.8954384403464,3500.4103019405566,3508.076611588031,3511.109801086639,3508.747832941295,3501.1091591492277,3489.7731926339907,3480.726642503637,3481.18395888878,3493.1927521225452,3510.122897497647,3521.9574519312164,3517.5823492284303,3490.758589351349,3449.1440234187303,3410.0948041528345,3400.4528203326395,3443.100326195675,3545.5331838319103,3694.774026074648,3863.6637451191004,4015.1575400590773,4116.52007962468,4149.952442103463,4129.236098597643,4093.2066117967315,4092.418943968344,4170.565496009889,4346.707164373082,4619.379357582929,4932.563653116575,5191.1746696798455,5331.29622694222,5311.097767660374
7kg_10bpm,8BC,4649.231859224182,4557.2787173471215,4393.576901402727,4211.255186290141,4076.112844529836,3993.587347471649,3962.437720096447,3981.715370392778,4028.0917579847555,4063.769137068522,4045.9813070412456,3953.236331393547,3798.412870628506,3620.4322399073353,3463.922951615741,3348.00771193306,3263.2201545832195,3194.6479939635797,3133.598725878792,3080.057729866312,3035.5955075011666,3000.07448775797,2965.23808461504,2920.9057087488395,2861.4015742926917,2789.2691574949095,2715.6646640250583,2656.6109201538243,2627.2168023988534,2635.2683375724937,2676.197155452305,2732.871641579042,2785.256793260305,2814.7479620364074,2813.9890207991366,2790.483236864902,2761.2900715232836,2747.6661154124495,2759.768371410475,2792.568212645987,2832.353623307237,2867.3777799058303,2892.3986970877754,2910.011140344628,2923.809730051153,2934.127633872475,2939.3908569201135,2938.59012315328,2931.8102603935113,2922.1444794229715,2915.7436044272386,2919.942032640732,2939.178580461798,2968.661442026123,2997.585407291458,3019.515242204573,3036.6060362997464,3057.1206538421834,3089.9569584695,3137.2094590268093,3195.01434024203,3255.6509472766393,3309.6908400413076,3353.2223712320865,3387.423655128091,3421.9542375734013,3464.6217274273763,3519.6703509200224,3585.8493191283656,3655.126109488613,3712.56483757263,3742.384346584336,3739.9012692980764,3706.3794396883904,3652.98468559897,3596.580653247937,3544.644508673264,3501.326275117041,3464.4949902855597,3433.157008373471,3407.550906837109,3386.207564400906,3376.3871429094156,3387.049689792677,3428.9502983171246,3503.652460456627,3601.3953398505123,3701.0137274710023,3784.8693925570933,3847.9411851740892,3897.5179426074938,3949.9957842745766,4013.1517713141666,4090.717736198607,4182.24270631527,4291.167209760024,4420.061463303564,4568.650539667079,4742.753690961874,4941.169665592206,5039.455127622268
7kg_10bpm,9BC,4383.595319338043,4192.221834730808,4012.720460325446,3881.305309216879,3811.9989156419665,3797.1605710573986,3809.2241148454445,3827.4844426424315,3838.514701913534,3824.4493569308074,3773.615425381363,3683.4127582398096,3575.556802596185,3470.8021419180764,3382.134046121062,3310.2928805522115,3254.2167055583104,3214.767443397854,3187.9857364473337,3164.944275672529,3137.47745615491,3104.974137527828,3068.2036639315343,3026.590260047451,2982.0477597695976,2941.6098094167505,2912.0584401292544,2893.233402572871,2878.859267142405,2864.5971650905813,2853.5701012219088,2854.5600414840933,2874.425315487395,2911.2771350510616,2949.5590683553455,2980.580845798945,2999.863614921565,3008.6684115417975,3009.0531467189676,3002.6153443369526,2989.082651722052,2967.870250382896,2941.885550985089,2918.9576994667564,2907.0341651622175,2910.0767219671347,2923.3566867017566,2935.618885076153,2936.828190908525,2925.1453180369067,2910.604560662625,2909.3526163259335,2933.934711127552,2983.9417856747996,3046.633465126087,3103.869803539357,3140.5941894500256,3153.9217243394974,3151.6462490166105,3151.1994885925083,3162.319366818379,3189.542014933615,3228.6822935776386,3270.9569969369727,3310.981721042614,3345.8736705705383,3376.1138045616713,3399.3247834542485,3419.6913535881977,3439.020963843398,3455.308765313026,3464.7005557965545,3462.998385767167,3450.1278026051564,3431.951459536426,3419.921334431986,3421.6739085350223,3436.909081790247,3450.223100861186,3449.8799567313586,3427.5613485639396,3394.3149092736826,3366.014466244891,3359.709307433192,3394.627853165743,3476.3002389904173,3597.2015818215264,3730.8532377748206,3843.4681739312314,3908.75494354805,3919.238359787774,3888.470272213246,3842.410033720996,3820.440135159908,3861.0040448065556,3988.9640201473303,4203.096501735104,4462.882391939729,4719.009674730999,4893.29335524574,4883.850964092356
7kg_10bpm,10BC,4578.201399294397,4326.051680315892,4071.3365643764187,3894.4307967539253,3801.8527598633686,3802.4185568765256,3874.116712696795,3963.8195972612552,4009.3103706632246,3975.9810311762885,3874.260504008635,3738.007946646887,3604.27021026102,3494.082775817822,3414.247274327638,3362.785868475173,3326.0512162721943,3284.4318750007296,3219.9009416202734,3125.144411229251,3014.3679336030636,2905.6581572188843,2826.800246056241,2787.8194971605485,2785.432007256796,2801.6034486780636,2822.9565252942625,2840.344169029586,2853.4169545850227,2860.65553558239,2867.0351104641877,2873.0899251398773,2880.094284122932,2885.90988044804,2886.7908277838624,2881.395664750951,2872.515409728899,2864.366792936771,2859.6732535651704,2858.279267931443,2858.789059060171,2860.3951746462762,2860.2027107329527,2857.116429384335,2853.485107155939,2850.6980710063353,2848.0071203764414,2847.848522899326,2851.053754525687,2857.365497081395,2868.0088665489357,2882.879719425924,2903.3373166466035,2936.1687923114605,2982.8304208022355,3034.2898969859257,3080.1523843135096,3117.238030087852,3148.3490506496023,3182.363924943959,3224.8923865004585,3278.3858803403086,3337.811167367304,3397.1132128012246,3441.112517576243,3465.9722997963463,3471.917708232029,3467.4382451968204,3459.872247659785,3455.6377627008505,3457.768509418931,3461.7728344229413,3465.1156748247336,3467.3211490895287,3472.127964545022,3481.5808139788332,3494.7184599375523,3506.1544457021855,3507.1474259055126,3493.02234584213,3469.622162697886,3449.2585441029632,3438.7834675937975,3442.5529041011323,3467.1142493678094,3522.3623849408714,3612.5826693856443,3730.988070608047,3862.1530341975094,3981.4514236583022,4064.4031308621347,4101.5134111071775,4107.962809401332,4119.836072099765,4179.549876101231,4304.562701180165,4493.461215742877,4680.936479655168,4763.28598372269,4707.544069561252,4562.902922591475
