cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,4826.157491299428,4642.08210140523,4486.616371456475,4415.067121578686,4457.153930339887,4596.512231144168,4774.6940639026325,4948.572603944834,5069.64608302605,5113.289096393679,5095.2827070208195,5044.05418924309,4986.571082790646,4935.890388104181,4902.0863074190875,4874.8582359612765,4836.3119851346055,4776.766958108281,4687.379054833319,4584.942091646368,4482.553986109104,4392.222981973647,4312.964453267825,4231.1253990998175,4136.443578548096,4012.0479561192087,3852.2299926953524,3656.5829793771886,3426.7856136744263,3173.9745073096856,2914.080616099383,2668.9116595358337,2457.0417944156584,2284.986393553194,2144.0284212615993,2017.0374421598603,1891.2023965151045,1770.6405309656068,1654.3339769752506,1540.5021524179851,1432.6749895805697,1336.270185158684,1257.2931572752339,1197.0156749631565,1150.745905184052,1111.599154093792,1076.0079947541606,1055.1858788226014,1065.9028154926057,1118.7410937983527,1214.9686531827226,1346.9592713234272,1500.0853861654027,1660.9320689851907,1815.7516878786078,1961.1765237779232,2102.1858210837377,2246.0952366273596,2397.56379129407,2553.2201082880883,2705.273360852939,2848.6664952476262,2980.5471015771654,3102.490716911499,3219.4953259930644,3331.844139720214,3433.8456714503104,3525.224536485031,3611.478055242367,3699.3445786142033,3784.8337992450247,3854.405486047459,3896.416748296423,3911.929488716219,3907.950981297785,3908.4205091824024,3938.205141915438,4005.2679921974577,4106.219308288933,4217.358978135979,4319.4783957348745,4390.072836787353,4407.711700102912,4370.9938005267595,4294.95275463757,4204.01715544646,4135.737890990203,4120.468792154214,4173.304911507104,4285.2734561929,4428.176686018291,4560.697746500494,4657.9019971995585,4719.337213694227,4766.148051063024,4817.218827064032,4877.387808968746,4929.917823637677,4942.056510002998,4880.7799984402845,4736.850863157038
7kg_10bpm,3CA,5000.008954848486,4871.237376657955,4747.7759522262695,4678.580709207399,4682.488455570281,4755.447074512116,4873.278510955683,4996.872411066934,5080.9057131126265,5103.17123567718,5056.101482218327,4963.509298808975,4854.232616402402,4760.298409902685,4696.012681353386,4662.697739360035,4650.561556809563,4648.414016311936,4643.928562364375,4627.7928800481495,4592.541123510906,4530.589006911242,4433.450342939456,4297.778058524418,4132.515600695308,3948.0879481015513,3756.2781832701357,3565.244271277859,3383.4462977852677,3214.204151126625,3056.853313713215,2908.3783364329993,2760.7479845502226,2610.4965050369165,2458.7934449556733,2308.400536986734,2162.4103005765137,2024.0212393245986,1896.4432983293111,1783.7320461685636,1683.2111821761632,1593.616524085156,1515.3238661747705,1449.3024941145345,1393.5905121720218,1344.0329378433935,1299.7416113513298,1263.1307684867986,1237.6500475890539,1222.4886231125347,1215.7447239846629,1215.3437548757731,1221.4068634523894,1237.1496121405398,1268.3981266981402,1321.889442561823,1401.9705267474858,1507.4742690398316,1631.921129772158,1768.6425584250794,1908.9909000339007,2050.3494720242325,2189.968114683009,2326.6127622573986,2460.0899703646523,2589.907663958657,2715.7810649456283,2838.2904338318167,2958.926794035616,3080.447920282526,3199.4551728519145,3310.3046332679605,3409.6895212681043,3498.157366111776,3580.7716032671915,3666.924887728038,3759.1020140398023,3857.8049218512406,3953.3006431517624,4034.403589439829,4090.8275434992297,4120.7336379363605,4124.971802131765,4108.007548597296,4078.7455553875807,4045.8715884616845,4026.812062197883,4033.0034994906064,4072.677413905414,4150.364228588505,4262.364350891953,4391.512077479337,4516.670607178259,4616.816842888173,4677.604724889065,4698.585337394573,4689.888519543614,4660.237430472675,4606.614266757322,4514.894146813081,4370.021326876093
7kg_10bpm,5CA,4639.037597472585,4501.05055333431,4345.797401797495,4265.426470830946,4316.019070533276,4444.499282228851,4604.344467354859,4757.936826936849,4900.252762735239,5007.877725717852,5062.467360630458,5049.516487120864,4968.440549605574,4853.06430741287,4715.2874668194745,4603.426561940289,4530.478921762464,4481.362593104922,4422.169084573294,4324.635750770109,4169.147169754288,3962.6873269448683,3729.9468141559782,3488.9810124162327,3264.3435964387936,3088.671495007971,2981.7261889875404,2931.8957294502434,2901.3054790620076,2853.2585648690833,2767.40404326604,2633.6123228374777,2459.535749028392,2266.300702697782,2083.7784307627603,1939.3532537418976,1841.4931039871399,1780.0777110030378,1736.23464559491,1694.1642451408015,1645.7346207285273,1589.4622789808348,1529.4027382485194,1476.776167396591,1442.050597978826,1432.0177705831804,1448.427730281961,1487.3438302409854,1541.8788533255213,1606.5404693965868,1679.357076421853,1760.9084169627008,1851.1946008039397,1949.2736054472168,2053.1174404204326,2159.999518638474,2267.078089532349,2382.162944550577,2505.814598320688,2631.095651043634,2747.131993583011,2844.087536039074,2921.3330453909443,2984.812630283865,3044.2137036247973,3113.480078672307,3202.499039692222,3311.9302870176907,3433.5359552769187,3551.5406860493977,3646.580098158676,3703.0677627707037,3711.3798196481844,3677.6939848816946,3620.2981104077144,3565.5858608983435,3541.71745553671,3566.364483704972,3637.8902590150474,3735.0746642279373,3818.7451406837476,3860.2089242184993,3851.4123416601965,3802.1071088456674,3731.681241976707,3662.4156332931584,3608.6402627295033,3575.9819485346457,3571.203431382032,3602.504491109759,3681.06143896736,3806.4777691453032,3963.2779481988755,4125.417566563793,4271.210550257796,4385.342637557592,4465.278425333337,4515.395237557088,4532.97502286902,4490.1811378121065,4337.417713296537
7kg_10bpm,6CA,4823.637300671636,4641.388797080348,4463.966070915345,4351.601561986904,4335.217195947105,4411.210980280433,4553.255283902176,4706.115001649371,4845.150416429559,4931.785756836018,4952.948378240243,4922.612481760506,4872.244794067857,4837.858270540899,4820.742076473221,4802.180052394602,4772.463516814075,4718.721969721167,4634.833936910096,4532.092989820072,4414.438309332734,4286.525508343976,4154.631535585395,4009.83833509428,3851.4429179910207,3679.3554966763722,3508.813965765122,3357.3297654533158,3230.484344125344,3122.3889554347156,3019.6315565021714,2906.6278624085844,2773.3277543083645,2617.0607610410684,2440.448103020016,2250.8488449723914,2056.4336920953147,1869.96969241704,1707.055013839926,1579.7651118382173,1500.158827002735,1463.673999672722,1451.5014426493958,1437.9543936321636,1407.9815131142004,1362.728573044496,1311.1953815068885,1264.4490581999855,1233.8258523272816,1228.0654501490972,1253.0350280419325,1310.0822482876447,1393.7832821728132,1494.3140886724993,1602.005418340482,1711.9859099157072,1826.590495021017,1952.766676419005,2089.0998012287405,2233.923659780361,2384.6717403742286,2537.3260657616843,2683.988629397305,2814.749668905587,2923.7212938547873,3011.4007668425215,3083.128766334718,3148.0778995607743,3216.392813583547,3294.1543804069147,3379.6287490804584,3468.596692036052,3557.7082300589454,3650.190824070287,3743.709640831391,3830.636961044135,3899.3508633672536,3936.9672480066465,3933.374823991713,3887.6353820685476,3810.8046820853915,3722.3765086732524,3644.6677431597013,3590.7206568191646,3564.9534991767673,3569.2900720042544,3604.1626623078187,3670.995552878309,3764.1622488006956,3870.180592964092,3969.5126158172116,4041.2549603779053,4068.5769161062253,4052.096073631769,4013.2134318074445,3983.4610362682197,3990.908997867482,4038.189867510728,4106.522531623973,4157.870813418902,4148.052401593527
7kg_10bpm,7CA,4867.5737504086865,4826.453092316125,4692.825477972215,4510.035165403832,4372.625806921018,4301.113646364359,4322.166793004688,4431.452260720959,4583.868601208867,4720.432393067711,4796.850622180401,4798.464671184428,4740.24420570523,4659.212338209604,4574.511751286883,4473.789803405742,4338.916004665526,4171.014212460395,3996.2370020277067,3843.7625207091137,3728.9074234213927,3667.191258931295,3642.8385076072923,3639.020493727765,3633.7347844298756,3611.843270704448,3581.926325257831,3553.5604662018172,3526.1541378137413,3488.916257823765,3422.421223284689,3306.193225465687,3134.920286231532,2918.86595195353,2684.060716668042,2459.425033620571,2259.2517204543096,2080.7486752697737,1928.6621031396842,1797.3660660564976,1679.9117198624804,1573.8801991120592,1472.2522914655135,1365.9674870722808,1252.8919180347968,1147.0349911087396,1068.0306304811736,1034.8749694750315,1058.4686596592724,1139.2496973316595,1252.3536494355901,1361.5272820464475,1454.328982010391,1540.6095172520804,1630.454089754551,1732.179235111193,1847.7793858785346,1978.0342735427273,2123.6599549834027,2284.485840004718,2458.0158440768673,2638.239289290948,2815.0656814683994,2976.3404166681903,3107.365416670664,3198.7493736423903,3257.8823519589046,3300.8220787519617,3342.5153392649554,3392.0704854297533,3449.9131849666906,3510.0846121562545,3568.5625090374774,3629.95753567199,3696.805140249605,3756.3618778223836,3799.5461363153686,3819.2563688892274,3819.4829689055023,3812.948918323109,3810.069364655445,3810.9903066803518,3810.6030067574543,3799.3861043654233,3772.936671482145,3735.17878518537,3696.9025094924195,3664.814092911596,3644.2844829776604,3646.2250836484063,3684.8609561097173,3766.8602290429662,3889.4084252079797,4035.3098576537595,4177.754365098193,4288.921991801087,4357.875659489502,4384.179393566778,4364.634960345818,4279.438747319709,4103.695786696075
7kg_10bpm,8CA,3968.6861508465518,3854.702231429404,3807.948556640567,3793.7146742850427,3785.1190632807625,3795.09303050897,3852.874465295664,3979.0696179681577,4248.321448572666,4528.573409384781,4719.645297378196,4767.687929133887,4696.862403454174,4573.189530815361,4483.886387255752,4471.385367703516,4519.159334666018,4571.895279930278,4568.987698603258,4504.647993278734,4412.786655703944,4324.944420079872,4240.810935599965,4143.451683315541,4017.3821351221536,3838.4861673139126,3618.178070814895,3395.5455360657884,3226.1696479346283,3130.849772487838,3087.7025603346365,3061.663651938133,3009.727714572283,2893.2334673255946,2702.885790527167,2464.577021966095,2221.97419013832,2009.2514340128532,1841.7545626250414,1702.2853495860898,1573.8141312808027,1451.0725243006875,1340.321417301727,1264.7232956585972,1259.7380999972238,1334.7539624232315,1458.6359295010814,1587.599454735877,1685.0816177135957,1731.526290068995,1753.1607694084505,1803.4091457159816,1902.3991702177386,2027.4218114203388,2143.45723490047,2228.5867980490552,2295.026394383686,2375.552381534791,2496.886359196428,2664.163981474687,2856.2206437716027,3039.87531312874,3189.366196058371,3290.74735924068,3338.7210004094154,3351.913638856788,3365.0622305150923,3401.747635387721,3460.5504910355676,3519.455281891021,3564.2881334975823,3604.6103419819083,3656.161565251736,3723.9399331590803,3796.114671128255,3837.4450091817844,3824.0643853510937,3763.0878502800297,3680.8379433594514,3601.2506144492536,3548.7822848929563,3530.300508310408,3543.037559897652,3575.592529273655,3608.590649395893,3630.642380300919,3642.513907242898,3642.412233338059,3626.8622004098374,3594.8451889874655,3557.7170377159873,3540.3143848300524,3568.25712849105,3658.790806387681,3815.2031167181203,4007.8344301304724,4171.492383786887,4267.572188147846,4297.586639007304,4269.579043518463,4171.415622647406
7kg_10bpm,9CA,4249.5612310852775,4151.337393870582,4046.938363723526,3978.698827719182,4002.4536939638538,4130.200350760453,4223.532577242032,4333.238091033814,4464.332944931431,4584.5069590857265,4661.2492429382255,4675.326245046631,4647.944824939461,4639.532649214668,4647.48309394356,4660.5856807795935,4661.291997902193,4621.546181211782,4519.17412387174,4371.680676414524,4199.677358219502,4017.0993515414943,3836.027806342565,3665.3900440042275,3481.647518324112,3273.676412915121,3045.0650795421234,2830.697653591766,2641.180566554763,2464.125969437041,2275.063655203169,2072.460646739861,1883.64804752854,1749.113590173369,1677.3976169375667,1631.6060592868935,1566.3503904288557,1457.5940895868011,1315.601891225752,1177.0082004295957,1087.3263692400676,1083.9264923975545,1176.6193005233556,1334.1503094991263,1506.6620299172846,1674.006693968135,1833.8583578734256,1972.2587171452042,2078.3626913846883,2153.1709508407125,2207.497286223746,2265.0021877093145,2338.7457618805342,2429.296285942604,2529.7104304459385,2625.0718566836126,2699.150559314189,2756.108499836176,2822.146290439284,2912.0836120302015,3016.9544742533017,3124.3269630681393,3219.963717034593,3293.3750892600788,3347.319940695689,3403.4286503902786,3506.797419037693,3665.6785360225413,3814.8793913438362,3867.836169563084,3796.2947136073035,3643.1270712178502,3476.5052350006754,3350.4574591832006,3293.6639849307962,3303.8983449162465,3356.8746836210694,3410.345320745043,3442.034323927711,3464.2925933181336,3508.3919117042847,3578.3547205907253,3645.292233874802,3677.273931371059,3669.743834488366,3641.9075101976773,3614.5744210770454,3592.9545363940733,3577.8809889762224,3580.2285585162185,3616.7839338740614,3693.736126568233,3791.487681794194,3870.657131520123,3919.970469601322,3984.587714231176,4119.137941655495,4311.528396905748,4460.2992099530065,4423.351382400079,4150.133837310494
7kg_10bpm,10CA,4763.447677670196,4605.695338587914,4355.624897954071,4114.656866603024,3982.2884430686686,4028.371094238911,4202.859997422351,4418.053806130212,4578.390728224051,4631.914810559246,4583.713284452071,4479.5062944966785,4377.434549375163,4350.327965422547,4417.0050914197955,4517.862788338561,4568.404396599129,4527.539312497698,4412.704713891094,4243.74972544271,4058.413159165372,3878.77408175267,3717.8068667095113,3583.3345294646933,3476.785848291172,3389.3876380755028,3311.0545952622815,3227.672835038378,3108.4831856099813,2933.512406199528,2712.262519226784,2480.520276992834,2273.974253285487,2108.45631711691,1982.5001297650974,1881.3831488938467,1797.4603027096018,1732.2174887431593,1680.030283613246,1623.8574380097384,1545.4105463349629,1446.4485686318171,1350.0672279290352,1287.7895711291028,1288.148820053436,1359.29273159363,1477.8650552713416,1610.7350355640417,1733.2429925214255,1835.0544672037654,1918.7316110367744,1991.7672083216428,2063.119137057989,2141.3199548803277,2231.7344904186484,2328.106473812226,2423.8810965447724,2504.965157338141,2574.244191713616,2641.5166531681125,2721.110115676079,2818.010629217073,2931.4402845182653,3042.786640621506,3121.944373129618,3154.239319089506,3153.657643743767,3144.716119451108,3152.2553704945904,3196.970759124409,3280.5687868616546,3394.4457906687744,3516.3981266046317,3613.972512930041,3651.07798290545,3626.888053962193,3568.8237952534605,3509.267645621471,3461.8830603180463,3420.5801276328543,3390.226985484393,3383.696879141125,3399.317476335282,3425.493112387778,3454.363117873581,3487.7767762344984,3527.402493813034,3577.0800738397015,3633.533086904694,3687.1013086814764,3726.1124196873902,3740.842088243108,3730.5982017179335,3711.7653543316064,3708.109240802569,3747.669020524411,3838.3891054913943,3969.2321853807807,4097.14715017618,4157.851297803358,4079.667109409654
7kg_10bpm,11CA,4311.565618663354,4098.469202453656,3966.0870577706023,3928.0095041751574,3988.082579121433,4134.058145206174,4311.787885460091,4457.969150870503,4540.49324798085,4550.384683061437,4524.939558797289,4501.194092979132,4501.371302483697,4515.760279386033,4510.974562134407,4467.862853656624,4390.06117050859,4299.5510171317965,4217.520941201302,4151.106935994433,4094.5255210314026,4028.4765831361196,3941.295730635714,3840.521070610011,3737.5924146067664,3642.4449922033305,3557.595138266336,3481.04927359689,3410.9087645294526,3346.138635403893,3270.646276301014,3166.832943806334,3028.614339477748,2860.460124090203,2673.4707183609744,2487.171124955334,2324.475956185097,2195.6257493134453,2090.9851996073253,2003.8070894866664,1931.9881336579106,1869.60000231321,1806.6288102839792,1732.7187675070393,1646.6322688013333,1563.580352200702,1511.570080056603,1515.3237202955288,1574.5776511842175,1669.2896761835643,1772.519842170203,1864.307440960235,1937.6762117009112,1997.6954913475706,2053.6243629416194,2111.028970313413,2169.4141499681023,2229.154735245158,2299.3342250883516,2379.7307802110536,2475.1104530854905,2587.45028074509,2712.3395814134383,2837.5330441231654,2948.874241658148,3037.642692897867,3104.609588268612,3158.1417777041393,3211.5667773448577,3276.2899612003357,3353.59542806362,3438.546340394273,3522.3105404662406,3595.777372822873,3650.0731736313655,3681.53534981834,3695.2807330694777,3702.11452612644,3710.67585408039,3728.853645062546,3754.3611020017534,3781.7735083070156,3796.0733894928785,3795.4827912549385,3779.6990080520586,3756.359387604842,3739.4304700644366,3741.0277731148753,3771.940066757229,3830.3349573881555,3904.1752743219117,3968.402818522677,3993.479215785133,3974.101044663388,3938.4524780906836,3929.3671029520206,3978.9003249968123,4088.785203336542,4222.406571883256,4329.345669211211,4355.773590897357
7kg_10bpm,12CA,4579.462006840529,4456.964752565814,4315.870676616051,4212.986392284624,4187.249772659001,4239.015845928397,4340.962821894391,4453.5037495583765,4575.517761548956,4705.9119535343825,4824.518400581434,4889.024864377125,4881.953928285762,4831.936390657401,4778.344056630252,4735.472007115008,4697.082269790764,4654.617272235165,4601.040289668189,4531.0819188912,4443.513221715366,4341.03658059417,4227.4086222087135,4106.137613950489,3985.6936697013266,3867.9914341024123,3748.1225917785164,3628.4276117715576,3509.673317696661,3389.676331091958,3261.3682601333376,3114.045544866633,2938.183631955956,2731.929379723899,2511.2747786045366,2290.3321512416587,2086.5645387711556,1913.8048189982715,1762.8648899671603,1603.7817860108282,1434.3520490432581,1264.3916631774366,1113.0790199768578,979.8984342284597,869.4946048531713,783.693609445082,725.3448062361978,689.3577790089915,671.9745908946941,677.588079090539,710.8822597324752,781.3881271257633,885.982435572902,1008.9636223660885,1137.373105162927,1274.3246515642516,1419.598634693251,1569.2862701302033,1728.452765891227,1913.313051790729,2124.5631002458863,2341.4030211677477,2543.8934309104457,2719.9977432055716,2866.223892086223,2990.7878731793217,3096.998672835898,3176.0480003125153,3225.3889943665536,3244.2016839682055,3243.0451788881314,3236.035065564987,3240.6935029262168,3264.03638246167,3309.7187749694394,3374.9280623633817,3449.244768943675,3526.5045866863643,3603.0891526544415,3678.9576662730924,3747.74145038158,3798.7686101659906,3826.900814906921,3833.3715747555825,3824.347625413016,3808.7147141955575,3798.38409619501,3796.9299895743015,3805.6957261883585,3824.833398649619,3859.933649108371,3919.2633508898675,3999.984522885865,4089.5014962672185,4171.497800701885,4243.111394502793,4313.077332273205,4393.567656768878,4486.827474115527,4559.3550906572,4554.783475049186
