cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
15kg_10bpm,10AB,6177.57857916,5925.826539901385,5604.042831848049,5251.638067079688,4926.103316473398,4700.599881447976,4617.999962943721,4691.752628159286,4848.685022009381,4992.438194260468,5062.3335910000005,5040.398083196977,4933.815194389723,4771.7556778239905,4587.422726304616,4413.911740334971,4257.316204605371,4117.707456220509,3983.1690013493057,3835.3947552917493,3651.33092973,3414.5499944799453,3137.801187072198,2840.086431601239,2560.959987946153,2334.3598976653893,2177.106986354479,2089.5796373671583,2059.7186563882888,2082.3660775984395,2152.6226377200005,2253.270422066989,2367.1666639413447,2478.6216819352453,2580.7184136435435,2672.7209511032124,2758.522997328616,2840.219784648749,2913.167965558385,2969.605452980163,3008.883317030001,3041.6094211197965,3081.3263420176413,3138.3212388585916,3218.7119768799844,3320.4163215854373,3437.4247600060985,3555.3649143050534,3652.4607753256123,3729.1407830996877,3785.5759103800006,3829.3937382982394,3867.728628295652,3911.2323890122257,3965.4586256613093,4031.2695568829113,4099.2890828922245,4163.734657645041,4220.288709637969,4272.450910849314,4327.227952370001,4385.123645740515,4442.720729507379,4496.871636074327,4543.2398699492205,4587.86472205939,4641.385314778156,4711.807536146247,4772.617931550062,4825.050749719166,4867.08991189,4897.692783294251,4917.603467887372,4925.020881197984,4911.021486662961,4864.496581971503,4789.5961633812285,4708.768507104533,4646.914553404073,4617.333264982785,4615.15235209,4625.540025819399,4638.06159645074,4660.146395082109,4711.292610919876,4794.156158522519,4884.415841421387,4938.964555168069,4927.411594323217,4863.155666053746,4789.9155267900005,4759.854705370443,4818.257491770986,4993.343257842792,5276.698757747863,5600.94372746221,5873.312614022997,6053.62591016932,6119.9510260117495,6079.055653106472,5946.75634703
15kg_10bpm,10BC,5733.90716216,5749.575518146658,5619.06797831758,5362.531799494783,5002.262720322844,4623.5400342318935,4269.088421140894,4116.3767467322195,4098.944812133439,4153.616393808238,4243.219096193655,4325.560639777091,4359.75396382483,4329.144900218783,4250.100544567049,4158.474282258795,4088.048324410089,4054.3341656719253,4054.312322144957,4069.425995476669,4072.769168490001,4045.7919070868097,3987.436511002243,3908.7126894701205,3823.1536987373,3747.1076845933812,3691.631554750752,3659.5414602179044,3641.870950652215,3625.732157366746,3600.4572694541835,3560.896319690964,3510.9331442453195,3458.9646451163776,3414.0250407087574,3383.104124261627,3367.9295196023745,3369.772539837897,3387.0040930106434,3418.220791994967,3462.67330713,3513.5801765406527,3564.642968158628,3607.231132892889,3637.9936587161033,3656.0381720743535,3663.5197252789753,3664.959515116741,3663.657926183252,3663.6686666186324,3667.6881078701854,3676.1619735122563,3689.9834146948265,3709.2768286253167,3728.653463634491,3741.2669461317046,3740.0863835097425,3723.729036679803,3700.4045894929745,3682.8940099794045,3683.4849828200004,3707.903398365027,3748.9093114415277,3790.274240745296,3814.6552593338474,3814.6072003820136,3790.296798671277,3754.83352816592,3725.5335746225655,3716.432903060825,3731.0691371504395,3764.299696549057,3804.202203757296,3839.6604681219887,3866.6472421046064,3887.743608059467,3903.9312147895193,3915.542828411524,3920.193523971054,3921.178211764191,3928.09700286,3956.741944076674,4025.5908099329013,4150.830099639218,4338.586685960433,4581.797100605316,4905.417914415916,5191.755697659608,5361.68193822821,5375.516114904182,5242.3345414216,5032.399675108351,4861.403317807492,4850.44245914385,5066.157463494135,5476.560513201921,5954.707745254568,6336.2492685008865,6476.886547564246,6333.054013401823,5968.35307808
15kg_10bpm,10CA,5961.67635589,5719.60166051616,5190.953831970315,4582.146439437266,4119.171581258694,3931.2472346292325,3976.470537925495,4158.079547761902,4413.847997862386,4763.483230402182,5185.213697990001,5571.315322620344,5795.66601667721,5824.445793149576,5722.545031600316,5584.685636102596,5472.882093872381,5393.249015589193,5325.839985786311,5283.795744753592,5270.569531809999,5312.19709106623,5384.634156604725,5434.6337701518505,5413.241502050676,5279.7071388169825,5024.239448252773,4695.863799819305,4383.516442256355,4138.076826651986,3960.03008555,3828.103897805416,3715.825652439869,3601.119959040926,3465.320605349082,3300.422612687148,3105.5975555444325,2890.743644509641,2673.1982946696285,2482.6957763506643,2351.08534011,2291.838083546072,2288.3507324301127,2292.636332740527,2258.829430671435,2187.1330863813487,2120.9658277689186,2109.490986603997,2174.2990235890584,2301.5808847072335,2448.80709199,2584.240362779195,2704.8165128177206,2817.4057891157127,2928.698195048918,3035.6141058271196,3134.4218056829804,3225.9146756174523,3320.8025682320012,3422.3614982497706,3536.1594897000004,3662.9183346630107,3801.3339438532603,3951.5005532477066,4111.350712171335,4268.413754192182,4409.187439014773,4520.743000337483,4595.801953279605,4638.47760237186,4671.763644510001,4709.708428658138,4733.279464497863,4725.936617907391,4695.650266715648,4685.857582545199,4746.865881209328,4886.441145424547,5064.77922953915,5209.068672106676,5259.092214780001,5209.071725580844,5120.640886913635,5063.5496902555005,5063.257809312358,5082.559174558268,5075.173431026644,5016.4652947792,4930.078211765688,4860.60234663101,4863.71876433,4983.259441162241,5240.917244948933,5586.025469738106,5898.779194783458,6049.829207875334,5998.310877003941,5826.231858953212,5670.011184514836,5586.386746838578,5490.38680996
15kg_10bpm,11AB,6279.00408489,6040.326133864519,5706.5471123760935,5333.862495156179,4973.296942047816,4681.544137618224,4511.169045781474,4477.414735948974,4562.258578474362,4715.788714426369,4879.7175152562695,5007.66244016098,5073.604651180178,5073.351243576243,5008.455619277441,4886.816586332704,4724.098144275012,4533.955482779849,4313.295009068389,4064.503425317834,3793.9481010740083,3524.5852343026336,3284.526275416911,3085.75763570782,2916.8329585106876,2758.9383319,2605.770290512085,2457.1486409479653,2313.489906282143,2176.054439804878,2061.308380423007,1984.7514455654405,1969.383310368586,2004.746357848322,2075.5597229751697,2174.4216786791512,2298.561711335505,2428.584008972974,2539.8096843846524,2624.398949243776,2700.7103953774063,2796.4585935244186,2925.00853147698,3077.372010874379,3232.5742776135667,3372.1648084003873,3492.835367263869,3602.8263182275405,3710.0739726545644,3813.73278295677,3901.78867904,3966.280021210569,4001.7560536305077,4017.326582055409,4023.1856408090753,4040.032614069784,4072.3537100713233,4121.7978242114505,4179.89716308223,4237.517760063512,4284.741969206412,4309.627758724528,4309.3936169245635,4292.010281461829,4275.614124287318,4268.406326481933,4262.727217822936,4258.8079151402935,4287.2395118895365,4377.565260506357,4526.706474752733,4667.599360507385,4761.354817779662,4815.778549845574,4847.36561230398,4872.455454540001,4901.005519783947,4926.637207272839,4925.833501725758,4876.063639117613,4769.827318717349,4614.527154509371,4427.9036002127095,4246.216328933116,4138.5021605705515,4189.577620632133,4465.958834682244,4943.133509737554,5482.22321974165,5863.589881983231,5904.58766471056,5597.1807783918475,5130.064841472784,4776.334366261755,4733.842907804481,4997.371971858364,5406.00146754109,5798.803664441103,6089.002651073354,6268.10842381352,6308.95842508
15kg_10bpm,11BC,5762.32666788,5600.402788710595,5306.538468165916,4938.609442444074,4567.974789756028,4260.499005306182,4073.9604437493304,4031.2294302626005,4069.4780770395073,4150.46535239038,4232.088658721154,4270.684329965655,4247.04144779086,4174.10038636315,4080.933166956153,3995.6073333353343,3932.5475566992723,3896.9231160704476,3877.803996728468,3856.6264905042285,3822.7692997654067,3776.659194678411,3730.193497109882,3697.992612655583,3693.808413633133,3720.7100297687093,3763.4118315407213,3801.3626329148574,3811.2691308913936,3791.2934189178095,3752.7365943823065,3713.6161076562903,3682.166213212434,3659.2157139209785,3637.740279300254,3612.3211142446635,3581.999409240258,3550.3280524257934,3525.73936462397,3513.659067352672,3514.7787019253806,3523.040958345267,3527.0945888180436,3520.627910953014,3505.9115020974677,3488.352594668474,3478.0142676044625,3474.8763302222014,3475.020977324732,3471.728167348385,3462.705940070692,3453.8924044779433,3456.162558724784,3482.9036867520485,3544.1063527632946,3634.842162936842,3740.038604943562,3836.11949967383,3903.2990619379248,3931.7505235990566,3924.3023588181727,3894.6075962086643,3859.6640440147507,3835.4522560973396,3829.891485386888,3840.6324339019093,3858.8770608853197,3878.018270482753,3896.3694849303906,3916.849030500899,3942.5268457263355,3969.3538400041566,3992.0801499179634,4001.9814375573064,3993.1928770482095,3972.426806223008,3952.621605524727,3942.8922952001803,3942.161236737431,3939.951922763838,3923.9696276649843,3889.4615135504023,3845.350484371109,3808.6216264676527,3802.6131344781625,3853.9697169689043,3981.0683794991132,4177.090973517111,4411.715109947024,4664.299311291061,4851.346969037899,4903.726364422762,4838.282934168719,4738.12479985305,4724.854433366349,4892.249041207525,5241.013102074304,5667.515231575702,6017.320482733592,6166.555914399911,6069.12363431
15kg_10bpm,11CA,5224.73545248,4820.8446346053815,4479.994748733923,4322.9905626589425,4244.254079099094,4205.844920236682,4182.157837195147,4167.1145219865375,4119.772604076984,4084.154387238101,4128.962093207188,4307.108808442231,4614.076720371267,4966.88928691773,5259.024300778748,5411.934182327677,5407.927108680477,5294.184665003119,5133.121033041102,5009.020729982844,4959.8041957627465,4969.902316652817,5006.896925304271,5046.829930966781,5073.763158483458,5079.502076190286,5071.999501352774,5060.196666391477,5048.53798099753,5032.943724931931,4993.770425396927,4905.741550974286,4759.027477023002,4589.403421814943,4427.360043818431,4306.833785353863,4209.841688954243,4101.807152899708,3973.0472341441873,3829.480863634172,3682.561731676266,3544.3534222268936,3423.3714707347485,3320.021534455742,3221.6276904305964,3102.9763278176642,2958.4818065584564,2797.757106600171,2645.07757965442,2523.524582989564,2442.320326,2388.2243675314776,2341.6014906581563,2297.7827944641094,2268.393537393165,2266.8481765455654,2303.225293355,2383.328070253099,2511.567176347703,2675.0137972449215,2852.4667422378475,3024.7113275505926,3176.383496807095,3293.2656787920464,3375.3053601925544,3444.25825787078,3533.2967909662707,3662.578559065295,3836.855093624645,4040.914892640113,4239.804211487186,4412.866494690052,4533.081755032825,4590.357356534965,4591.783282232932,4564.359315412893,4552.014279347806,4599.997743172567,4733.5212847005905,4929.378811666322,5130.2206370898375,5264.483858970322,5294.138174333024,5242.472488951825,5173.030067582593,5136.233423371086,5138.991775999175,5161.326532750721,5188.978731854974,5235.777827857893,5317.537618674914,5428.646929911636,5534.602632980023,5601.288866553732,5621.005065426328,5632.200366282709,5678.24203856978,5758.903301979591,5829.108030351899,5827.469285134579,5722.44696234
15kg_10bpm,12AB,6070.88461032,5784.851817398918,5312.695196592385,4809.303568339759,4417.080875846746,4204.966248190417,4171.865372216777,4259.681243551721,4386.706321608243,4501.128485911813,4576.453189721655,4609.6210911523995,4620.113032353039,4605.109698454287,4540.312876635627,4402.707051948481,4179.780037734225,3896.404484246502,3604.3825922543774,3356.976494410727,3166.52639165,3025.5078589805294,2917.9533217948124,2829.339974968294,2745.7568802644328,2651.8975636075206,2542.2363180539705,2423.8105198710095,2319.845356835177,2251.43354033799,2214.827099926882,2208.327200533202,2233.5074416063862,2285.4707986730377,2354.680640242045,2437.3331268834604,2540.303706161759,2667.777517938928,2808.0900717924565,2936.92633140798,3040.0512195500005,3122.263061186058,3202.434093393308,3295.8022510193073,3401.63561309986,3502.178090962274,3570.5571601417823,3594.571624621606,3590.5279707268933,3589.821050339648,3628.176760859441,3723.222127810643,3856.9844573051496,3991.3711339552583,4084.9175623080137,4131.377894275089,4162.749546669831,4209.489638375537,4272.506249053792,4333.572265866903,4374.53026967,4393.823851222393,4401.200180446161,4420.7306273373815,4476.837650916123,4591.372843542081,4705.644316302112,4765.39547599616,4742.671970752139,4665.076896618079,4599.061607104313,4594.11361281605,4623.315288142262,4622.418044571399,4560.04779341871,4467.789192404108,4405.313269394946,4403.823676136368,4442.165725129922,4469.0029996502435,4459.46288922,4449.136416188253,4497.210272631103,4633.059343228039,4829.843853516154,5012.729246855057,5079.3509711875695,4966.562847385976,4721.234964507315,4456.599193424289,4273.347034630842,4243.229110265469,4400.0752125207055,4724.120471041342,5130.915840691771,5507.820435938379,5735.146123668313,5757.820891397807,5565.974936142103,5204.828280088673,4824.02207051
15kg_10bpm,12BC,4400.62412017,4744.449303156722,5143.015735255068,5488.477761226343,5691.111904434361,5699.635785653112,5534.302262868316,5250.519592992012,4895.242392824843,4537.29907064495,4211.674270357334,3997.8546565074153,3918.86924373095,3933.7223328109753,4023.7762500125136,4147.466336142032,4255.067383095943,4313.539399660359,4314.875449245206,4274.833273685023,4226.442700972974,4190.060923912863,4165.43657332862,4141.501927943359,4107.851923787225,4057.9303800300004,3988.8011057293966,3904.4906871298444,3809.423276088287,3713.7935271036895,3636.2071572795644,3593.037012471141,3587.8385432646974,3606.935829756152,3627.362577383904,3623.7455685503496,3590.9975477033054,3536.7748772274826,3481.995274033323,3443.7891273117566,3426.7630806229727,3430.118239278425,3445.4050704588153,3461.4342961573293,3473.4541188823855,3477.8944826320258,3482.2902896237238,3491.098671984726,3509.7138256544195,3533.19432527174,3555.84606114,3568.0491213448254,3570.3845610311764,3575.777706123332,3598.483402571248,3642.5335729342937,3697.5844232627505,3744.844736051546,3765.813556377733,3759.4463609676154,3738.784881848269,3723.976112314611,3731.1677610374327,3764.8165041961706,3817.6848260320203,3875.715580246097,3924.171132201308,3956.3593905813036,3968.688958599263,3964.3359602559667,3947.397235000715,3925.1192582325393,3908.3043418857997,3910.682459016309,3939.3965598392933,3987.0327608399994,4033.4543694618133,4055.254601873141,4041.643357863929,3997.9731433997877,3940.1430961405326,3879.044412889385,3815.934849912533,3764.2536154321833,3758.768930394464,3845.56431028311,4056.1681197808853,4380.557384614902,4767.108298254103,5197.452878816988,5458.858498629614,5460.592290522791,5244.991822314741,4980.55860987541,4878.943751127296,5062.263155039458,5472.063275091077,5904.404775779574,6154.501877706893,6104.141900054635,5789.47279983
15kg_10bpm,13AB,5670.23130823,5501.360169291665,5310.666001967119,5118.411005390992,4934.769670957861,4765.442213682914,4615.611007984264,4503.863392080628,4452.597143224387,4490.19802219904,4572.129568165059,4659.844453854134,4730.173960013352,4777.892933267195,4805.129868681054,4806.292781115094,4761.93839377191,4659.158535756557,4483.475641552751,4242.364554812242,3957.1601482733126,3665.934720360868,3396.94531552869,3162.681396339067,2967.3558184533395,2816.2619819127062,2716.135668601659,2658.4303942223014,2626.4591413309317,2606.7775987206496,2590.052396944499,2550.956871482957,2497.7654319662224,2453.4342795097245,2433.4704872333427,2453.2140655025355,2509.1797920498166,2580.611632674888,2636.0968936020568,2656.0252899735433,2641.4958588321706,2615.7801279489354,2613.168105515327,2655.5300129543593,2742.895590897364,2859.781050372932,2982.717654124177,3099.464600809983,3223.2011966613823,3369.7373978058354,3541.513762137296,3729.696928896356,3914.08449604041,4069.5361391106744,4184.920919920215,4264.96581670904,4312.199974718199,4326.837824654581,4325.299563464961,4327.075419176616,4341.801877174235,4364.395766657277,4383.926305030565,4391.897984760152,4388.073554912131,4383.2356257718075,4380.813728491851,4381.170183232864,4380.849605010259,4373.701794502711,4359.625385537741,4354.451894639359,4372.439066862752,4469.195333440401,4600.376370077753,4662.084274336639,4646.494240676445,4592.414167023287,4552.347141692545,4559.9915779578705,4606.713012177447,4651.615300602049,4642.384222102324,4546.660171270302,4386.280234858175,4255.844435302739,4293.114318170247,4593.68231617514,5116.159474979505,5675.71616812564,6011.488381986645,5939.5608660046,5526.107471892997,5071.808371946273,4892.211425594818,5105.755387743035,5588.220171707208,6092.384458661125,6415.578935855917,6496.015048392844,6329.00303064
15kg_10bpm,13BC,5639.96480913,5502.604506275644,5247.160468597627,4952.957165109232,4700.709413446119,4534.813295753599,4447.35507520588,4396.7733494847225,4338.073955630655,4278.962253918977,4252.1910922380175,4244.926299663055,4240.2254005024315,4226.918659448689,4204.171347194779,4181.772765459818,4170.787972298524,4175.209005338542,4193.408776341533,4223.706969182661,4261.856120271926,4298.855281532278,4318.097183034416,4299.903449911855,4228.017864840357,4103.082311709438,3944.399344638768,3792.5023525090264,3676.493812492376,3608.723921373926,3579.3325571818705,3567.6495256631097,3555.054979018455,3535.1040545270366,3509.2700096288527,3477.9509102919938,3442.5922554910976,3400.121675365119,3352.282983828128,3302.0438763974016,3252.1326291329224,3206.6535671986467,3167.2011976593367,3140.1908138058902,3130.15785974066,3141.790174882507,3178.419035377911,3233.3640897627492,3297.520320298431,3357.6106026286866,3403.0550697917997,3428.02053178999,3438.7041522907693,3445.676897953822,3459.3974908927503,3486.801069491977,3533.279770133926,3597.2422231673404,3668.5675268771083,3734.0420209429917,3784.215806207314,3818.1692439830026,3841.1195056326246,3861.1736230143647,3885.039306060762,3914.040051680228,3945.677546560809,3975.449013648113,3997.641683306038,4014.2845178252796,4031.42724175925,4058.854067992421,4100.733055316038,4148.511741306284,4186.556070611008,4202.845547595422,4193.613741018311,4162.166842163413,4116.277764830463,4065.473525266496,4018.482190897318,3989.862534833382,3999.6569884594783,4069.3286007469874,4211.30486873801,4414.443234899918,4652.2516042940015,4904.596741868078,5067.326255216033,5074.1021136617655,4936.202072404798,4733.429826332676,4584.390925193058,4593.038422181042,4803.990191748202,5175.36107499091,5589.998521187507,5911.434098808244,6041.930729821278,5960.1259903215705,5710.62253313
