cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1AB,5211.99623308,5027.736446110579,4881.9403846993755,4829.774681106102,4867.848494596393,4985.239234833147,5114.715620060231,5247.712595768178,5323.83591902329,5331.417115186937,5330.9110669998545,5337.374247642967,5235.544724316931,5077.680778089271,4903.046872081415,4713.838645014167,4525.790475387527,4355.012214230569,4214.778769889691,4089.6502018628394,3941.5015412999255,3803.327356493004,3705.112739677626,3650.3909491916447,3588.4004454649594,3510.8983042867403,3347.876919415634,2930.4498853436016,2522.380341108917,2200.3054751830678,1887.1715445946197,1655.1892457922409,1442.1100670097412,1263.3992480403272,1179.8339490361666,1191.704291674414,1265.7359070167563,1358.468928562293,1434.3915051034512,1481.9309547359305,1523.322619398201,1585.0953881113785,1694.909040718301,1854.9751169517021,2052.2890966621976,2327.0166344706604,2654.76603318331,2955.5035862579116,3120.961289253217,3160.68712746259,3206.8086081500005,3321.1358496852413,3500.9000106916465,3750.0855384029246,3977.078509819511,4144.399791121268,4277.610636174278,4446.929728286503,4665.182579491556,4854.556264787026,4976.916405765757,5072.015024513128,5142.360746821925,5171.23232720756,5168.222344050524,5151.678140506252,5128.883334328333,5121.609197956028,5120.872961960629,5120.456837847178,5138.880381211484,5212.656365883788,5257.373347257089,5298.920406091535,5312.690691443709,5303.51575258809,5285.362001285055,5277.929258210392,5282.4117961532165,5286.72576112107,5287.606054539941,5268.666098717553,5223.921129639823,5155.741561148794,5102.316482412413,5101.451939866846,5169.238686816475,5292.9449428807275,5397.611681033931,5522.433371384799,5663.8837938434835,5710.333954505375,5704.005495917462,5790.763774917955,5872.979912145094,5951.480327039113,5962.257599220884,5918.31904726568,5851.803643670194,5770.3438896419875,5848.35423867
7kg_10bpm,2AB,4544.54511901,4370.401342827033,4179.681345223674,4027.167302626793,3943.5766262659527,3942.2218066661553,4006.523327461709,4095.4613029024067,4167.6196000833015,4185.328186547101,4136.451963400824,4027.2822883425824,3876.0866749416223,3700.2978915641215,3524.853914769925,3374.483406259376,3252.7399539670255,3142.1076365480967,3025.8150718391553,2889.413229451325,2730.708764542744,2558.983412339305,2385.265114128491,2218.6232737757,2070.7677301363246,1951.3152499048067,1863.254692122067,1800.5754477875225,1748.6781798298343,1693.419729687456,1626.4554902973716,1547.6905559910278,1476.136371327436,1419.3546760153872,1394.2730826273416,1421.8303695993804,1503.7250977658405,1627.9600005697441,1777.3620028959315,1936.1618818101647,2094.8500017333836,2248.8844231262183,2398.0795045850855,2542.928137993764,2684.8734478215947,2820.018375867904,2944.871667256598,3050.9392773261025,3141.0415407140995,3226.253239466883,3318.4687739501223,3411.9605168008748,3503.7007145451876,3579.4410435313744,3631.342827662308,3666.7287404243134,3695.4091420639515,3722.86116533642,3756.8502307153985,3799.4034957468266,3845.095725824945,3885.681195968076,3915.8648718037703,3933.996179064272,3944.8259294780773,3956.343207974609,3972.5359756778585,3992.5766905296055,4006.457491240555,4007.7633112313188,3991.4389875842735,3962.9708968237674,3935.665597123649,3917.9292471368667,3909.569687035105,3905.849197414854,3898.275341871835,3883.876582186672,3859.209558613608,3818.3134977732134,3753.8660734208065,3666.528661386901,3567.470425113136,3475.320214535622,3419.736888960206,3430.131814815475,3521.3070656993077,3687.7995075833906,3897.312388413693,4102.962446117211,4266.372789704719,4374.61821899983,4447.489492471209,4519.851634710175,4643.641524472417,4833.681910741072,5038.089147867676,5175.490106906748,5204.029491408217,5123.070227560752,4959.09091081
7kg_10bpm,3AB,4879.82372437,4597.79414007491,4300.500554877309,4055.3067523310797,3913.0009169545206,3892.605330697129,3976.328337680134,4114.098686156088,4249.760546555728,4333.150716595689,4332.013517501756,4243.810947395448,4084.7078542579397,3894.450924330962,3698.9880958904864,3517.521447203953,3362.8436117058945,3222.600739824334,3083.2003743963082,2930.4301580334586,2749.302719168023,2534.8521437017976,2294.585237094442,2042.630725580608,1799.8816266528993,1591.3070529604693,1436.6241352405996,1346.1479937691724,1309.9838230951134,1307.2504372935769,1317.4407151395023,1329.7252380955017,1343.038739651576,1359.602284375859,1379.9988130443483,1416.8953229129365,1481.813921334299,1580.2644781579286,1710.1810656176194,1862.5659282757035,2020.032014302155,2164.3445458180677,2286.8685033483316,2391.4722169416445,2491.8647400172367,2602.662703446339,2729.8632211401173,2871.0997603120236,3017.5619586400007,3151.453942642703,3254.71442081,3324.0697572653753,3376.2251043251053,3416.507982519165,3457.414644797239,3499.465056059442,3538.792290800025,3576.518799877464,3609.586151742266,3652.8459325715426,3705.640497407884,3759.923182470627,3804.8855405094578,3830.1239551856575,3831.3413715975335,3812.544902346132,3785.912380772993,3762.978042651675,3749.571687271155,3743.0035188446595,3739.1990588027747,3744.4008806059355,3761.780508482429,3794.9814987552454,3842.1152465496416,3897.60239731579,3953.310056909617,3997.9576032923346,4024.464374365238,4028.738627584224,4008.9974721048548,3967.782224184991,3914.2199139842323,3866.7009229576743,3843.426513229902,3861.2776002615633,3938.5534124987994,4038.9191152593053,4134.959788698765,4201.760853822374,4230.490330115111,4234.066389262402,4238.529556345541,4276.553512118418,4371.380187709615,4527.549390425358,4729.097124815931,4944.2302650875,5138.637879742538,5278.013395537791,5341.16474366
7kg_10bpm,4AB,4986.54864927,4720.619353326454,4436.241118802291,4204.100333640446,4071.181195666083,4058.351135130883,4155.523097725638,4321.3840012016835,4491.185648755773,4603.188602784701,4620.833220296893,4538.443264635524,4370.861198416683,4141.650630559175,3892.698326191101,3658.882755972206,3462.573528897382,3301.278765309557,3151.2359245970665,2994.904324691894,2819.839946767398,2618.7524985535724,2394.852634606975,2156.8029157341925,1914.9519726344581,1676.7090719171058,1448.482737669403,1237.416070858577,1049.904359117584,897.6702683170296,796.6071673401002,744.8860945255492,742.083458031458,785.1936527784143,872.4172955283814,995.3313848320443,1140.4561143122337,1295.7688347407718,1453.69388483892,1609.5605364767296,1760.3839708173243,1904.6212920241999,2040.5334071103991,2165.771067679057,2279.8947329970997,2384.158643537076,2480.9275783917283,2573.7076297880576,2662.338364417747,2747.0601722142515,2834.41788861065,2930.3708103217264,3032.0020451362543,3129.365419509246,3218.487791381969,3307.9940615018904,3403.8639719974585,3519.0478230045396,3648.64068223061,3779.509099534197,3895.398187877022,3988.4288165871108,4054.154475706156,4098.166700617776,4132.738313370889,4170.42671265379,4219.393372308223,4276.861945989322,4336.405995437001,4379.673933714312,4392.763613205935,4359.085341270894,4272.543947264963,4144.9380882225405,4008.463618733275,3895.4272951490902,3824.8873237933067,3799.0655451462994,3808.7345775846443,3837.335944942012,3867.6261111124,3887.019476879865,3887.0188218226535,3865.4666747491797,3829.754461014045,3804.54235849006,3835.127314369276,3959.6742682708946,4171.332122914105,4399.577857914632,4556.277450376768,4588.407661054255,4491.6581534323595,4339.375534808909,4231.389321411705,4216.164691696666,4312.544188851824,4512.919446022748,4768.8141335987775,4981.3807044373625,5090.31751119
7kg_10bpm,5AB,4972.02815611,4702.162915957733,4402.269541313601,4127.366392781599,3928.4592488123067,3841.3988478700003,3867.293846431817,3965.732425140485,4074.948370744556,4135.911233218377,4124.13444794,4041.250262470766,3912.073345181848,3764.5908270780087,3619.40432878069,3486.920849599999,3366.8788616759816,3257.0765684619264,3157.467415961056,3063.063354918013,2965.2092015400003,2845.7363520580884,2691.664033521563,2501.1670969614484,2283.9736938108445,2058.0253171900004,1842.233710922785,1649.270541196685,1486.493581452498,1359.001167219737,1270.2900508700002,1226.8057629376567,1226.004874508487,1254.8436852369307,1309.385805691105,1379.76684593,1464.4799794121068,1566.944636850367,1682.0729461356682,1802.596447071909,1925.8002860799998,2048.081676743244,2166.157921161566,2279.052195195356,2385.0977613144096,2479.2689642599994,2557.118708982347,2620.9115010377004,2679.465037067134,2736.064186148533,2799.1826662,2866.438567477443,2935.3698839689614,3004.6593502907594,3079.837281694751,3158.9305210599996,3248.5997820429225,3335.672469008917,3422.1288491909345,3502.8751207738446,3582.8499263600006,3661.907191908704,3740.2219786978267,3811.942127274007,3869.6523776711592,3909.88575627,3935.861125730206,3952.364645041341,3969.3774912275376,3994.1953694336294,4025.1517307100003,4056.9836425116428,4081.0455477819555,4092.2077087115963,4090.7461563664683,4080.27818697,4065.024307884906,4047.167920706805,4026.8026338712966,4003.32233908669,3977.8648314700004,3954.087098489833,3937.85085653397,3940.116150725532,3966.9427874258167,4015.43223091,4074.2458165255625,4131.596687086462,4181.057778251836,4224.6182364630195,4273.61170055,4345.618460050246,4449.125498808802,4591.750075050733,4757.435002293491,4934.80390348,5111.865060979917,5264.349962001901,5361.284178543576,5375.000164178939,5291.03959367
7kg_10bpm,6AB,4981.62802923,4666.232439656298,4326.272851886404,4023.4687081374036,3816.363828510047,3738.9087232885877,3793.6905896606045,3940.6514489208403,4107.304326619798,4225.819084941737,4253.725676667666,4176.08109087092,4013.8852262688747,3804.722788103503,3586.8831287945695,3387.338717363099,3221.298820928818,3076.699719850865,2948.826047713644,2822.341353617347,2685.0881519895893,2529.6495213013977,2350.5985346434686,2144.4493473576113,1916.7923665270835,1685.2352948564103,1471.5032473386236,1292.8863571449376,1158.141935293215,1069.7992253681662,1020.8795147764702,1000.557411309793,1013.4511347584431,1061.2485092356433,1147.5806864736192,1264.3296214083032,1397.1211267395568,1534.246264999715,1669.5944216736657,1799.4804790429648,1919.155648004717,2025.1300672730604,2116.736479294835,2201.850843439969,2290.9678527720484,2392.7544269215277,2511.4457776913364,2645.429969315965,2787.1290182789417,2927.49872054315,3059.54497543,3180.220778626965,3289.8354193481614,3388.89529904505,3475.474094382595,3545.9905467678445,3600.4271327039046,3638.032025593925,3669.9441617317075,3702.6806435604176,3742.9663674055464,3788.037066533105,3829.6201784202435,3858.37698138778,3869.2350207319187,3864.3008574380106,3852.5124045497823,3843.0068268620976,3840.9243383107596,3850.6719926608675,3874.562668583855,3908.681829283594,3945.3027639357065,3973.38938895136,3978.8722679610846,3963.913002456964,3938.7422629229477,3915.8631889226663,3908.83537219997,3924.115664637414,3961.249491475136,4016.4504464218585,4087.527742324247,4169.5505335279,4255.578654596037,4336.648100628716,4402.375291236645,4444.332843747183,4452.953084874226,4430.115666472841,4387.638084402593,4319.287701349162,4252.5153083049645,4213.842289800552,4211.910058467873,4250.964991135037,4334.004162247107,4472.762313273908,4658.922594213799,4864.8921613240655,5049.9014143
7kg_10bpm,7AB,4783.96555457,4541.109345314634,4298.79909995736,4093.352883043815,3958.8138903094277,3921.493419212174,3986.842858593698,4124.824046766262,4271.492225145089,4352.749339975022,4323.426020452567,4189.918107777154,3987.011899721985,3758.670323169742,3537.4206147782297,3334.28849411568,3155.282822331375,2995.014801299224,2841.4735738558443,2685.5784993088528,2522.5571108782874,2349.4271755961677,2159.590430792696,1955.1794120136794,1745.80739696237,1545.4181931407186,1368.9822661227313,1225.3921876869135,1120.6726924671793,1054.4551790704495,1033.8976659014668,1060.9875831646339,1123.8190129047828,1211.831815168808,1318.4246217255616,1445.42568255115,1587.3009720570972,1730.8568073790814,1863.7910845216024,1980.871132034925,2086.4374414044214,2188.905434021349,2294.3977779306456,2402.485425892031,2508.4060052500954,2605.974732843696,2692.454941872971,2768.2255941954813,2853.283787132674,2954.9610105519882,3066.500581226115,3173.0398714894563,3262.826362179975,3331.1668024585765,3385.291742349792,3434.2458331074445,3483.7212370780544,3539.1791615661664,3599.761996645232,3662.0960648776636,3718.266250864429,3761.76565560666,3791.810873823886,3816.4715508809563,3842.3886332739053,3871.8089773172433,3897.5968046123958,3913.12134093135,3919.377705647692,3929.0504159571246,3957.670441984054,4013.203445286957,4087.1431902577106,4160.420275015669,4211.3694550462205,4225.187770731902,4203.76550083983,4158.162127378699,4099.00554797723,4035.6524621935214,3969.2337846335336,3906.0757109408037,3852.1616523540524,3815.519646411579,3806.118888613435,3832.918674621971,3915.7704322176414,4030.2276292049273,4144.749781740935,4223.544614853445,4241.199558641683,4195.953431393665,4104.215372922395,4011.604887198578,3974.918595063965,4039.7347977974746,4222.6193685982635,4507.228632983112,4821.97662041011,5077.197118514636,5209.01998272
7kg_10bpm,8AB,5144.31238489,4807.646046590826,4416.790300991978,4049.983113866665,3785.9419852928336,3674.3084375958283,3715.8418331286875,3851.157576158587,4010.7988115491607,4133.125014345561,4186.634686938244,4158.275585573676,4051.2908542718437,3894.746326985816,3708.4034645130964,3511.4309242717127,3311.674762250154,3110.0718672013827,2908.1325110420084,2704.0063097408047,2504.0100040103166,2320.4273461969447,2161.8544873817227,2027.7390130332967,1915.0892383237328,1816.6553499758577,1720.2573617684648,1622.566983808561,1528.554778786625,1449.4464349792595,1396.2553340793363,1365.24573338383,1351.523531557327,1364.4030626134324,1412.3884042014029,1498.866858667652,1615.1771180020376,1743.4738959025744,1869.998778733627,1988.0910784790794,2096.3026593581694,2199.781133048517,2310.010597013007,2436.7383345112794,2576.9005073550693,2716.993934092849,2844.187227993733,2953.06902319878,3048.4516858102,3140.19210972539,3234.59968511,3331.267119199541,3413.220032131544,3475.2107246437763,3507.929330420517,3518.3584712047978,3520.870486317509,3530.0159948151336,3555.479665739762,3593.0213140770115,3640.6752630442816,3687.482391287361,3728.018318355363,3763.311379776341,3794.2323989012702,3818.4781213412343,3832.991548826745,3840.2088617045133,3846.331547269073,3853.172368756043,3858.864002772627,3860.0808314247392,3864.081622946704,3881.6084718229567,3913.636081215584,3956.5248912050897,4000.6222308044835,4031.607622164003,4037.5174626284456,4012.9391835843912,3961.3971310573047,3898.4899342127096,3837.7899937643715,3791.5436029927423,3768.5195438383294,3775.9112328913848,3816.3911932618385,3894.8758557686847,4007.209739534403,4136.064983201138,4257.036981459746,4332.285693159464,4337.085847196981,4282.551785471733,4220.155191965442,4200.740309759137,4270.086660967521,4458.652714980069,4731.168839454426,4999.027825719911,5174.04874942
7kg_10bpm,10AB,4810.99015069,4543.885636962093,4216.653266028056,3898.8631662858756,3666.9291071326898,3587.102986240279,3656.960862661039,3813.4337433091673,3952.0329052127854,3998.23532057412,3945.164284773239,3824.513743581977,3663.74258197558,3473.830782740318,3275.3645611232723,3075.701074726994,2885.291089113191,2709.4553288899547,2545.9359108372914,2390.6177498848747,2236.24093339499,2084.4418415183004,1943.6612492490963,1821.9757691648176,1739.7498527404368,1720.8107174687598,1757.1869802227848,1829.058400185459,1916.878260845676,1999.3260181115536,2054.892845887636,2078.9886439953284,2083.4194000148427,2082.6310598387063,2089.436957361005,2111.6121656626383,2148.969445948302,2193.9017314535163,2237.452605160702,2268.8100319247005,2283.6441594733587,2287.2497304388485,2293.023917129123,2308.9676475310257,2342.433675161526,2399.88265700413,2479.4581129492726,2574.1348536406545,2679.251930564334,2800.046020694631,2932.0730790800003,3059.9915593622063,3172.564379637364,3268.2549296984507,3359.1338448927,3462.4531811448537,3577.4956169025804,3687.4589051926714,3762.94200918601,3810.6732408057414,3845.283968031859,3878.225670786519,3911.3756705752226,3952.547222444784,4019.640866607937,4114.83321675602,4186.927337874671,4160.797453705108,3940.118197563822,3599.6292804540403,3358.529381071677,3400.396993279875,3714.3271936708334,4104.4331342716305,4251.633337560328,4082.313922082898,3843.679433815034,3696.5990446000083,3681.9538462410555,3800.3460296403064,3980.0869792510866,4096.298085031084,4067.9071380701944,3927.153409437064,3769.3146862755943,3674.2581748828143,3668.6518034457845,3734.8002454229236,3825.0360601932007,3897.047620489385,3945.940542124798,3989.340118626159,4046.581931634853,4124.29706503962,4202.584656687865,4248.137289744102,4240.378262690977,4193.758573903408,4142.212398349003,4117.818557913578,4130.46843229
7kg_10bpm,11AB,4878.42574372,4458.392498137273,4022.7298224844876,3743.6983662825555,3708.037068714405,3857.7190535525206,4045.4742375415535,4141.521499694894,4105.795342005365,3980.1589882477897,3833.4230174820873,3709.254043909298,3596.1923281800714,3465.241336005821,3281.964315619053,3023.666014329259,2696.29157106543,2336.894556867437,1992.0649219047837,1708.117536013001,1517.01133173,1427.0356787604483,1418.6044149709917,1451.9940775505875,1488.2781850519837,1505.3725727366113,1502.6482083259862,1503.777976788219,1540.9199394620925,1627.5995712085203,1749.2671294939655,1876.539293175503,1980.8405186474502,2051.1729728141668,2100.095584933618,2144.1316379008495,2196.986123547771,2262.1116364556888,2338.620545492857,2422.7868844445943,2515.0497583099996,2618.288438111516,2732.3711685629723,2858.691572403388,2988.3767388223623,3113.0856651244862,3231.065729303228,3332.984108206471,3411.0358205521643,3480.259741794939,3552.8555709326724,3627.051863732161,3701.8953179313,3771.875355012061,3822.565930947816,3843.243619593087,3838.36962503205,3828.068173425521,3837.552089134395,3872.3863446426785,3912.5435504600005,3924.583405891681,3910.9064027525787,3885.2561399040474,3826.5217106494915,3628.813997177958,3324.788371047032,3085.383334168242,3156.0001710236324,3538.200307453343,3922.0060324287,4082.7610335528257,4021.512058120668,3887.0745709423322,3766.7072005217146,3690.9550444055017,3667.8829588770805,3680.112192832294,3694.812857109295,3699.2824962878562,3710.83057397,3756.623112277961,3833.4322264765988,3914.534685565028,3971.51635839397,3974.10602046034,3914.7104597610683,3835.3118828433558,3777.05329285168,3748.399933703041,3735.2371086731155,3736.142547745445,3753.120552226488,3783.318461820513,3825.9567235866393,3882.896370719183,3943.862837687668,4006.324000386962,4094.812612537381,4211.2345360437,4334.56551567
