cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1BC,4776.07329717,4683.453540528201,4479.652216760224,4227.428280393261,4026.9104459435907,3918.52921391,3867.2180551113743,3857.2095535641006,3866.877877530973,3868.3579161926236,3840.9604604099995,3770.703741354226,3657.283807062185,3514.112826473095,3362.3515119119993,3221.860249639999,3099.203617380867,2994.4277007721125,2906.886023532806,2834.030911784398,2779.7170039500006,2748.5930045551554,2739.5583986165007,2749.7407796213674,2769.413212397624,2789.34400416,2801.9752082106265,2811.117710234472,2817.1017648695415,2820.6273494379334,2823.0354323299994,2827.449378184073,2837.9767741831324,2858.1132129407233,2889.2101421293173,2926.50535841,2961.807456538039,2985.953836210953,2994.2948026582844,2984.5709940810043,2964.90680801,2941.8011940412384,2923.4065758110814,2914.302504491861,2914.9667189333095,2922.46539538,2934.061259396328,2944.648236948636,2952.071472745699,2958.0772543666267,2966.6997715099997,2979.932443678317,2997.8027505329724,3019.8529217752753,3045.0997314127317,3072.1129337700004,3099.652781199816,3127.8295145899096,3159.58085447285,3192.909906402011,3229.1819840199996,3262.913600189927,3290.177197516862,3306.5653453625064,3308.819901135197,3304.01619471,3298.7620911368535,3300.267608279918,3311.529625933094,3329.7917022134725,3352.83492898,3376.7917118844653,3396.667156422374,3407.671417345763,3404.883100297614,3389.40131113,3362.8983098042495,3331.7470010357474,3299.896140114188,3269.3671061714886,3241.26502878,3210.3141263222365,3175.6398192605466,3138.9038412404707,3110.9446240321254,3108.36063421,3152.978838981895,3259.914287227483,3430.1301217120185,3650.7976793136663,3885.7101642300004,4091.39782483551,4235.521173023244,4287.323207519735,4251.809432470999,4178.77208675,4107.361499735982,4058.5159775346915,4044.843049593054,4086.01134636067,4172.36086675
7kg_10bpm,2BC,4198.40713762,4069.468075880819,3965.1451562914026,3902.408568910013,3877.7714642126693,3891.6383734807996,3931.8158069276587,3983.7956618359044,4028.408053167086,4051.4282572859447,4042.156153993686,3996.098602643638,3917.5866373708604,3815.5982419140237,3700.4300830922807,3578.4938567750737,3455.26921363804,3334.2898645783494,3216.495186634116,3105.6480692531877,3005.6775011999994,2925.0594215031733,2865.4157095107275,2825.7171690637706,2801.0113634292825,2785.400139868794,2770.549671591166,2751.246716904054,2723.039701271419,2686.2451558909142,2645.695575364938,2608.0451411850227,2578.570150279793,2561.0909148028527,2557.307095106583,2567.0924868143957,2588.811561426219,2617.9554236210083,2647.8488514214287,2672.433314094906,2687.24680809,2690.9099382367845,2685.710600762367,2677.0530867109455,2670.753739944278,2671.087856366259,2678.501307750836,2690.325445614314,2702.875098266282,2713.7003666285846,2723.364965680432,2737.543201772079,2761.258493051869,2796.3868931031298,2842.0898387504385,2895.5458504004964,2948.980554426863,2999.1830084309777,3043.259218493883,3081.8498103178244,3120.15998487,3160.115534437598,3204.161396781406,3248.2595775071113,3291.794153320431,3331.348553794846,3368.968424862665,3404.591397256747,3437.7583668894295,3465.4724298575384,3488.047670270676,3505.998268301206,3519.072792283203,3527.7065858156975,3529.609098628194,3526.3214310617354,3520.0201236440753,3511.7641035476486,3503.440875066425,3497.1856579210557,3493.0422227200006,3495.7816715377385,3511.4291878912727,3545.335245084846,3598.266586381106,3667.004763199063,3743.256307089156,3811.852847974052,3858.709607976157,3881.1089668155787,3884.2384884501876,3884.8851550756895,3907.5686066005997,3968.378205427249,4074.2330149704344,4219.513376648085,4381.920964471604,4535.202775264738,4667.970827090258,4780.547430383951,4879.95824055
7kg_10bpm,3BC,4658.42781922,4492.295411610232,4302.128191289095,4122.18087913378,3994.570735553585,3919.525210232199,3880.7732902902694,3870.598918714452,3880.8138681156183,3898.1287474482315,3901.3253144205796,3868.4462617661825,3787.9448427012267,3671.214392965077,3538.35791217786,3411.355293668683,3301.4293781116867,3211.786603362272,3136.241149447057,3070.6458988846252,3014.6125381626016,2966.4632703533657,2926.8391701343326,2893.4274122419347,2862.51835314761,2830.592616734372,2792.1644755631696,2745.0860542020696,2693.534621521675,2641.500295575742,2596.095375637727,2563.1031310922294,2545.0180462972294,2542.3020650621315,2550.915564722673,2565.5534886632827,2580.3757747754944,2589.2545511595717,2590.2877375616754,2583.8357141147176,2572.622978338896,2558.830575010028,2547.425470982245,2539.844550747734,2538.8556865624205,2548.8346250280692,2571.4407272015037,2602.756271469405,2640.797003255987,2681.8720817583044,2725.148238775885,2772.1821776797615,2824.151914140903,2880.4545024847403,2939.7738536679167,2998.5073448263033,3056.2218885296124,3111.153763514726,3160.4199823732115,3202.4825348127874,3235.615072716121,3262.0369926766007,3283.0873001635996,3300.4271269018627,3315.2536193356027,3325.7129280206386,3331.997081808942,3333.624512652548,3334.711288686021,3340.334285009504,3350.435234615295,3363.5579514493393,3376.3180031624465,3385.903434723235,3389.9136772996685,3385.242751347423,3377.274479216787,3369.7971689528567,3373.2668934696712,3396.6966559885473,3447.0159167447773,3526.649335337222,3627.8065963056147,3739.413839283652,3841.311995837178,3916.7759388163236,3955.363647843156,3959.014466802087,3939.709615542544,3919.641834403984,3920.6857598233782,3960.087872560847,4050.1001317428904,4211.504992706221,4447.167672993022,4713.147686134356,4967.520073545168,5168.788107223956,5288.441472858391,5317.543894422379,5264.78041265
7kg_10bpm,4BC,4492.10299056,4264.072786197945,4006.9786495364974,3829.0970470693737,3736.6185298725,3710.403539867216,3746.0452225565523,3821.471334905088,3905.412856204325,3963.7405789159043,3973.4735854794535,3927.8458013891823,3835.010685353094,3712.350499714467,3577.2516716681776,3443.171244934947,3316.8162409052725,3201.397874602256,3098.4032532895526,3012.2092350836074,2944.059724119193,2891.8648462145966,2855.1440753367037,2828.152862970593,2809.427221815665,2795.533827107395,2779.792655808554,2758.181077992454,2724.9988158701017,2684.25476698305,2645.16494596759,2618.307105342789,2609.6267896028903,2620.599198351989,2644.9982868081997,2674.9830688313987,2700.7931361405167,2715.158020356783,2715.9615627295034,2706.266437604044,2691.646526637829,2677.976578248045,2667.2889496598395,2654.7666330493116,2633.414026591126,2597.3020503646967,2546.554391035173,2487.787514859621,2432.407255702631,2392.011881316669,2379.842089602466,2397.7022601614954,2444.323666515377,2515.1525308046844,2604.1352618662636,2700.116499338343,2797.983645183838,2893.9279754092076,2985.7592752509163,3075.5196699511603,3163.460779712059,3251.575326883996,3336.2841981650395,3410.7909664670046,3472.4167212308444,3517.8447300044018,3545.8610542476463,3555.5338251731755,3552.0834282479673,3538.677872443504,3526.5486980142664,3522.9927509224663,3528.037159603014,3538.2430695302114,3548.0719558790556,3551.7009756623293,3545.877283203753,3529.56228324837,3501.404742850976,3467.641036346922,3436.6194775033528,3419.2335816097084,3425.885807174075,3463.691984263639,3534.227417058805,3630.2193018386793,3738.6677534321097,3841.7801872888554,3924.28016707798,3975.7493291179353,3999.9929730074223,4020.7176868368288,4067.7019898188787,4167.776896421403,4347.138351180346,4622.5244423573395,4940.971347283456,5245.897800513776,5480.198364627005,5608.79750913007,5622.48271294
7kg_10bpm,5BC,4562.25590984,4387.249881111078,4151.7821006638715,3931.3922015277767,3771.299179142977,3664.2527228991453,3615.6496687342706,3621.5188216658767,3668.5476263234877,3733.1295633710743,3791.9937563585686,3817.9922994622043,3792.5999255860315,3711.922091380365,3593.716431923328,3463.15477479394,3343.869934650064,3248.7745415161007,3178.235170024387,3124.7667824535447,3076.6550285096037,3024.745526516048,2967.2400967603403,2903.687280403501,2840.0426388142005,2788.0530421476387,2759.5171766972326,2753.681179342301,2760.657340316224,2766.7117094286773,2763.115434402142,2749.368636539108,2731.9899150623155,2718.379695264817,2712.7345166956657,2717.173778474622,2724.209981294054,2729.137746297682,2727.7648800451207,2718.0864169911265,2701.891616215325,2682.3976370589794,2662.733260398018,2646.780369638454,2633.30328046403,2624.8141751778767,2617.7436757577316,2612.9047596453865,2614.316543626921,2624.9158904050623,2646.3019871580227,2678.5971485950695,2720.279959670287,2768.9700368548924,2821.5079322628017,2874.1641343270926,2922.9732077574918,2964.2980344823823,2995.504818772468,3017.179406529559,3033.6986086495085,3049.0118303444247,3064.161664961005,3079.8732567018014,3099.843222524695,3125.429361731248,3158.1861123208923,3193.508461329622,3228.908049100862,3258.31654309557,3278.370818481421,3284.212282471672,3272.380944751284,3245.42850529696,3212.762062332972,3186.3967175006055,3177.717326644585,3191.203961849688,3221.6109647742323,3258.758413133233,3294.607226032693,3330.8717115449695,3373.5138101563225,3432.9673438022082,3520.185489866897,3640.905794158066,3794.3397434673475,3970.525788288566,4154.9153870353375,4354.696003051442,4518.631855354536,4613.885845016161,4659.3759929684775,4695.941323280611,4769.495587165764,4898.048514475524,5056.620043632237,5187.0480868589275,5228.582634825008,5151.173914158097,4972.13758479
7kg_10bpm,6BC,4817.12015121,4709.210141616642,4489.002174719134,4200.623576222379,3986.242694819666,3848.4085371615956,3770.733834857531,3757.174301287399,3790.469939114734,3833.2683356956636,3850.8579579366933,3822.142255203519,3746.26036233829,3641.082521226414,3530.935002571733,3434.8054434337746,3361.995275313543,3301.3573637322725,3240.433598106848,3169.2846555076503,3086.712882505041,2997.1152078235623,2917.2749199401374,2855.407281810844,2817.106002818087,2799.5294209500003,2793.5260717058995,2785.703077790917,2765.708506030649,2730.640606272362,2685.56622686072,2641.8971377987177,2610.107161193526,2596.4638415091845,2602.381144189401,2620.5561656003542,2643.89887460363,2663.2885986752594,2671.238843383956,2662.7198752498707,2636.5239257853955,2596.6227162530877,2550.5789554825496,2508.196420053636,2478.1831325305784,2464.3732970066426,2465.1439231329755,2477.1966215717425,2498.7797146611138,2530.281138523239,2572.16768248,2624.0175569920034,2681.430102081269,2741.944542048646,2800.860210365895,2854.800441445232,2903.4646828268724,2948.388918864103,2991.6070233005194,3037.030859103525,3089.573909800017,3154.9220343595034,3228.1098857884776,3313.0025300822995,3396.9481840291405,3470.9665290476064,3526.8241643717065,3560.507914797497,3577.201078171597,3584.1383848898545,3590.624821474324,3601.366848333111,3613.4886267389606,3621.740386801505,3617.99234927544,3596.465703249999,3560.931067922282,3519.435576386161,3476.1158649278586,3437.9013591190424,3410.945877051874,3405.2332689070495,3428.0680595874474,3485.9591665363414,3578.1280076479266,3693.402570314414,3814.3094554625477,3914.782977080202,3976.4909222183605,3991.2540700813834,3971.9015872210675,3951.2103178923107,3965.4512809450002,4040.64484672642,4190.809884061925,4409.386828952194,4672.4518426036975,4923.876136756934,5130.609434715157,5267.836446963481,5312.25835598
7kg_10bpm,7BC,4820.27759588,4623.075636201273,4330.69578435938,4023.7012235368456,3821.0661580252286,3699.5128771613654,3666.204974917392,3704.547117810431,3769.576771295569,3810.696930214991,3791.90220984532,3711.7453563933823,3593.9930841715427,3473.2571206517446,3375.6124301121936,3305.490812102913,3253.0725946607176,3196.6901299808283,3122.45610916225,3031.335307310294,2937.05874152,2850.729190637523,2780.2955528685175,2725.520038399034,2676.604231972105,2630.16796050842,2585.9745380892546,2551.099998172749,2535.6447962997577,2549.1186340413724,2592.338563544999,2654.3665805181745,2722.2389131905325,2777.142835800325,2810.5727879351475,2824.0624169438024,2824.9387250977743,2820.93319359868,2816.5052281551493,2812.743789890704,2810.34417936,2812.8426822412675,2825.716421522774,2849.3768418401646,2877.8387189008968,2901.7626914296143,2914.0546805684144,2914.788245582433,2910.486209209796,2912.4672979127504,2927.8436571824054,2956.5044203809643,2991.1645753679322,3016.4460084139255,3025.2925048794364,3017.9020880429466,3004.2388687235143,2999.3208633237928,3017.0444208617987,3060.084378299522,3121.87398984,3190.3289432607576,3252.85288155126,3300.8278512353263,3332.2349965090043,3352.561017842077,3366.9149223873737,3380.297483457212,3390.2957935663435,3398.888587367554,3402.8879526644064,3401.3409204010973,3394.374178648492,3383.6700249485693,3375.1052551933167,3375.6684427753366,3387.392796171031,3403.9745555959416,3415.802707063022,3412.164071071346,3387.0105564800006,3347.6701529388865,3310.637964830167,3301.4385216889623,3341.879356810169,3439.0991815814646,3580.859670323856,3741.62650293783,3886.2865058981815,3983.807546393902,4017.2275046414316,3999.490431010098,3967.291980815452,3968.496563943247,4044.507331858702,4213.472823327637,4474.39086064138,4774.001258253318,5022.57574024302,5159.599009236945,5143.70972468
7kg_10bpm,8BC,4513.05030425,4425.482367020071,4268.170916852069,4091.8130046885703,3960.2475842636422,3879.232398676545,3847.677196377702,3864.4720931242946,3906.9126342025693,3938.7697086848293,3919.3348646765508,3828.345155581402,3678.272793875078,3506.1780560945954,3354.5604783557897,3241.7601365600303,3158.845124043705,3091.6900845119694,3032.0601579145437,2980.0203762620245,2937.1592613482017,2903.3180347317007,2870.383849332433,2828.3302695155858,2771.5014777657007,2702.3083098346683,2631.6441936452097,2575.1322913751656,2547.412659073414,2555.9440796894146,2596.1766670212432,2651.4372358623286,2702.325055963348,2731.0308303998463,2730.6750230605935,2708.430677650622,2680.6071041484247,2667.577158188814,2679.0583423120984,2710.473987660721,2748.806181643447,2782.738023008225,2807.1602041595515,2824.441121643048,2838.0363050382953,2848.225657515186,2853.4248804548397,2852.616968632686,2845.8733235988025,2836.25247296455,2829.840663603692,2833.836204762873,2852.5760180856173,2881.4170896016,2909.841269501864,2931.4940664021856,2948.297439054792,2968.0973487196393,2999.4497789589655,3044.4502210728733,3099.5324340516795,3157.370865603029,3208.953512638833,3250.485593251615,3283.0423759923415,3315.756115643084,3356.063997253857,3408.192606893625,3471.055327553584,3536.8708149275394,3591.4581780905346,3619.881091006003,3617.61299482173,3585.8862371134273,3535.4872219121944,3482.273261331428,3433.5699885270665,3393.347797677843,3359.3664530091646,3330.5368141911904,3307.038886809256,3287.4234659489325,3278.5069825448627,3288.814031250534,3328.634127815222,3399.5330740198274,3492.4265631766016,3587.4004706611204,3667.7590763917415,3728.661922100228,3776.930802241356,3828.068451468589,3889.4054958066963,3964.4910277544986,4053.0029731372397,4158.437132076197,4283.444937047919,4427.7813328037055,4596.770392791193,4788.735279635956,4885.25040727
7kg_10bpm,9BC,4251.5302878,4067.6357830734087,3894.715849828138,3767.621714767013,3700.1093103299854,3684.82286559,3695.799740102595,3713.0008953844967,3723.031390053314,3708.4773135750816,3658.1885889700006,3570.014948838183,3465.0603914790117,3363.3127737694654,3277.210578846308,3207.30315363,3152.3574074812277,3113.0402140644983,3085.7149818698017,3062.175029967622,3034.96399652,3003.526120460421,2968.4299979954353,2928.9343030269947,2886.682126871668,2848.1461412499993,2819.745558939663,2801.411907913933,2787.382608133137,2773.7543689163313,2763.60396199,2765.2482302905023,2785.0773078141674,2821.105527543383,2858.2534919395034,2888.09586315,2906.4879609678314,2914.8984189737125,2915.3331508668703,2909.3174994437154,2896.54870581,2876.3790001260554,2851.523598083329,2829.4159944209405,2817.7869237207938,2820.58055359,2833.342040559874,2845.2934179100216,2846.7740335237354,2835.938163097618,2822.3554743499994,2821.5373360905587,2845.5266206960423,2893.794843802266,2953.8598438832832,3008.12151119,3042.2314460631665,3053.8154929579764,3050.8598604269314,3050.3019487225056,3061.36481722,3088.1448867070108,3126.3968088299193,3167.521332524745,3206.224886105333,3239.70529978,3268.5222139380644,3290.979902831706,3311.164709764649,3330.7627946111525,3347.48023941,3357.365108117283,3356.3775113486304,3344.551129165377,3327.6463764947543,3316.63096924,3318.7581228019676,3333.7087106520753,3346.8166187410425,3346.9693510242428,3326.2796006500002,3295.223961229868,3268.8453826830305,3263.3535423614553,3297.0248290108166,3375.10783052,3490.475652210156,3618.112937653364,3725.95534389662,3788.977964313824,3799.9954208900003,3771.61060417643,3728.493632471268,3707.9895983300867,3746.6603687818865,3868.38044415,4071.924920127072,4319.832387579325,4565.489189120805,4733.887380100073,4728.05518729
7kg_10bpm,10BC,4441.37269341,4201.129849491452,3957.6041686760786,3787.7741416641857,3697.584544208139,3696.347245314758,3763.076182547296,3847.1682387792152,3889.3277792071726,3856.478463787016,3758.2349911647925,3626.64651866769,3497.068614011646,3389.855412464535,3311.709463472748,3260.8090043734082,3224.136022450261,3182.9889486659026,3120.187591727189,3028.8430489612374,2922.3636020419076,2818.171678989374,2742.5393121569864,2705.0597654624003,2702.613656651503,2718.048431476911,2738.534143513728,2755.321771506735,2768.0257652287382,2775.270513691658,2781.627911738077,2787.5804450248907,2794.359671656197,2799.9762079951715,2800.9532802832537,2796.073986709202,2787.9786284980073,2780.603602033922,2776.407944233121,2775.2240982262874,2775.6466916587888,2776.890707822906,2776.3132396016063,2773.0415087551855,2769.3990193585073,2766.7327945603083,2764.2394104400964,2763.9526755493284,2766.5695845007203,2771.8850518723057,2781.195958587942,2794.6423074096465,2813.874729318177,2845.443030504984,2890.60593430369,2940.601835756934,2985.26085346464,3021.3154286816225,3051.3582544321043,3083.8733515816266,3124.4084615796046,3175.5018604092174,3232.4059812541395,3289.211775896944,3331.3524990290152,3355.1750059391693,3360.982732440939,3356.97972042308,3350.2309752692963,3346.8438318151907,3349.5760113872693,3354.08783013642,3357.8303702400713,3360.4000142205937,3365.405804103516,3374.8880285168207,3387.99606148243,3399.616065156511,3401.3553503382213,3388.6647665327096,3366.9707566032384,3347.8420773329,3338.017992565212,3341.9082020957767,3365.855085954237,3419.1633999875467,3505.7602807359476,3619.3204197443156,3745.267763863773,3860.219267170692,3940.9603938226232,3978.4375697749065,3986.949897878601,4000.590142389531,4059.5001015137095,4180.167562458831,4361.337579991284,4540.922022215914,4620.594175233883,4568.998473533092,4432.40172739
