cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,4686.6415055,4509.577008077369,4359.719110532573,4290.553994149545,4330.859376762922,4464.485416645764,4635.04573872713,4803.100391127892,4920.57260101719,4962.822657533778,4944.844479982621,4894.093794523429,4836.80707615577,4785.9932100304395,4752.526114480252,4725.139995160465,4687.30799404755,4629.690974221241,4543.573492691887,4445.034010460104,4346.584352528412,4259.826869846452,4183.846943159404,4105.686008349456,4015.532319161461,3897.0787534484384,3744.6058266954833,3557.3980195149816,3336.9696149421993,3093.9849726269126,2843.8570928908966,2607.7363119565352,2403.7973827075048,2238.537956860417,2103.3186758050488,1981.4301545258345,1860.310211914555,1743.958773337629,1631.1382336289248,1520.0534031984223,1414.3690786881207,1319.637499266706,1241.955890635417,1182.7409617000533,1137.459313001459,1099.3524112342384,1064.830790736279,1044.8598007416033,1055.9109719158055,1108.3492785747217,1203.3800336997201,1333.4421164678622,1484.1379979549383,1642.0578875671572,1794.065516396743,1936.8331325641618,2075.240936567157,2216.467072964582,2365.068414486947,2517.7395055763104,2666.8435861370685,2807.4285773721876,2936.737034599618,3056.3554759664003,3171.2202954119944,3281.569108991354,3381.7057521201186,3471.2129341501072,3555.514843291191,3641.2001039855877,3724.3805767578474,3791.852864450973,3832.294431417638,3846.790514986245,3842.312865552565,3842.2352575300683,3870.830710347428,3935.9434953612786,4034.205045219167,4142.591244088426,4242.248840021921,4311.214124224214,4328.788028563604,4293.409301216294,4219.368107982314,4130.762030219402,4064.211344890698,4049.4062063303027,4101.213888576564,4211.046152400986,4351.376284814511,4481.802804196085,4577.840919969223,4638.8909745266665,4685.481558166971,4736.096553447926,4795.635914662095,4848.039375915155,4861.510999919597,4803.8080407234365,4665.4971897
7kg_10bpm,3CA,4850.5474103,4726.319040319781,4607.411889243018,4540.731711462733,4544.708357825011,4614.887896586014,4728.284898678243,4847.787486898081,4928.99738011463,4950.619214886336,4905.273251912624,4815.392351363699,4708.770088454932,4616.407833129043,4552.337434365491,4518.197893275661,4504.564077780617,4500.820745033135,4495.204701695889,4478.795155068916,4444.315167475943,4384.361543504277,4290.6388837836175,4160.1546495127095,4001.5361438110444,3824.6970829873394,3640.782297396194,3457.571737736867,3283.238349732339,3121.0995695422866,2970.55934305008,2828.720643381238,2687.8378184030375,2544.3677687641934,2399.4040110309265,2255.421508929638,2115.147592266553,1981.7052646589534,1858.3396096369902,1749.2504883446568,1651.8595103965745,1565.0179605351937,1489.1145544010878,1425.0577176465251,1370.960928900969,1322.7499997149282,1279.617649638456,1244.0395965217933,1219.4893011650206,1205.1754949571675,1199.18970668,1199.4495677723396,1206.0322693390501,1222.0774947040752,1253.3064717321208,1306.343002650212,1385.4590551654653,1489.4926766026304,1612.050612273147,1746.5035665641785,1884.4297347020959,2023.2496970968284,2160.338652377083,2294.410041973208,2425.2318326151035,2552.31893401398,2675.4273288386066,2795.1944725656604,2913.168846131336,3032.091645969783,3148.5667898719403,3256.986882791302,3354.0533491645388,3440.269074097051,3520.6058612150164,3604.29785263323,3693.900976031737,3789.94327213906,3882.9515586386337,3961.944194327706,4016.890169748074,4046.005448652854,4050.180649756886,4033.751328223226,4005.3647987546306,3973.428235117651,3954.747855458618,3960.5020809982534,3998.9319050350014,4074.6495093746216,4184.24950280386,4311.178982410339,4434.740401734043,4533.910101302351,4594.735321826212,4616.595122707586,4609.303425279715,4581.431385925393,4530.187890667671,4441.966957981235,4302.18120385
7kg_10bpm,5CA,4504.09762597,4370.03159217195,4220.422504908984,4143.249545750021,4191.671153278991,4315.412612150691,4469.234231561865,4616.472588901497,4752.443599431561,4854.848129263465,4906.789157602883,4893.491654910325,4813.36459781363,4700.315808783232,4565.9679260351695,4456.627342430271,4384.9454319191445,4336.47538073964,4278.947720654315,4185.257229064944,4036.6369145725794,3839.4233387585705,3616.9623073276493,3386.3697253626588,3171.240412965146,3002.9879668124695,2901.0337466228193,2854.523988188183,2827.0716037236534,2783.0201678855674,2702.3015116224706,2574.7876738168075,2407.7031370195286,2221.293381272247,2044.6824908137812,1904.698137409517,1809.8190469883918,1750.3588148972467,1707.9804338246695,1667.2916800779224,1620.4288742991646,1566.0305026452118,1508.0489610129841,1457.3370061611229,1424.0663291828698,1414.8921930454835,1431.5712085704863,1470.2942036213249,1524.3686200979505,1588.444734724924,1660.59055836,1741.3215232376008,1830.560595056198,1927.3338844259047,2029.6503173720337,2134.791495175297,2240.109118700296,2353.2133144596073,2474.6840503135486,2597.672624590874,2711.5010909513753,2806.5432430427386,2882.1730757919427,2944.2046894737928,3002.1370639696515,3069.6869149461213,3156.590339957193,3263.4713533330596,3382.2086688942104,3497.2888636473276,3589.7959039803072,3644.5612146087747,3652.265387651009,3618.990571660101,3562.591406847241,3508.7982639620723,3485.1646988700863,3509.0392757088225,3578.873044096565,3673.909783407937,3755.952710883899,3796.935757533682,3788.7220975791683,3740.7291423301967,3672.046055953416,3604.439253582044,3551.95520525772,3520.1232820338946,3515.482033900538,3546.100315155924,3622.935437334717,3745.790668456826,3899.8000201195396,4059.5428279329476,4203.746073404423,4317.381677145165,4397.654574291738,4448.6017523004875,4467.5091807438885,4427.249233849233,4279.42206572
7kg_10bpm,6CA,4683.10510923,4508.125453774943,4338.012872135571,4230.4007232532485,4215.043463098774,4288.13078011619,4424.260728922018,4569.705518294357,4702.572831501695,4784.354147779197,4802.822489820529,4771.437252984957,4720.2429744908995,4685.446360040475,4667.4671031590215,4648.457969815993,4618.948269000301,4566.374477229806,4484.631219368716,4384.698354299586,4270.621921680531,4147.368484060136,4020.989276325395,3882.792804836775,3731.756194692479,3567.45883015,3404.569864875875,3260.0687559373882,3139.5156773763624,3037.3268421337875,2940.475002575087,2833.7185319816454,2707.1713743338773,2558.071254597996,2388.623046882477,2205.8140266904297,2017.5633928405732,1836.5928244309332,1678.213359155692,1554.1951003393503,1476.5878033311435,1441.1847163299801,1429.7635221093774,1417.0650527910561,1388.2926312309194,1344.512299890942,1294.497034756276,1249.1035131677572,1219.4882756429922,1214.2364240259546,1239.1094619500002,1295.4330200314548,1377.9148589643708,1476.9359837130905,1583.0352092103521,1691.4419896467832,1804.3034820014195,1928.3529751027643,2062.503725330434,2205.001649200859,2353.295542834767,2503.3953085067737,2647.4958661601627,2775.8252470949747,2882.5717889977836,2968.267040807249,3038.249245841039,3101.632490597292,3168.477510605486,3244.785163458608,3328.781204194205,3416.164182304506,3503.5665236481345,3594.0608597276687,3685.4165517937836,3770.28780997,3837.435777539787,3874.3116307090536,3870.984740182005,3826.439002392961,3751.3777061438736,3664.811285769378,3588.6253893138323,3535.6078603952988,3510.164765524413,3514.2290741518773,3548.3379672474616,3613.835316478478,3705.182876866633,3809.2681655182805,3907.043112383462,3978.0402953133125,4005.776331723239,3990.6667421503967,3953.542004429447,3925.2883087939435,3933.378400687305,3980.3937459747426,4048.024907699146,4099.152858785207,4090.62428897
7kg_10bpm,7CA,4722.90601738,4682.281968713511,4553.968400360518,4379.588871277385,4248.774514470743,4180.795496705792,4201.520759552497,4306.628504313237,4452.915609849526,4583.718866770841,4656.578373059805,4657.481111872159,4600.7873604139995,4522.045578672516,4439.622254264807,4341.750253547555,4211.120503529614,4048.636480819795,3879.4326755082193,3731.3481067019206,3620.1789047122,3561.5531882662785,3540.22383985077,3539.346625342781,3536.8216297553263,3518.060076461252,3491.166598109042,3465.487028781969,3440.645723966358,3406.1846655384334,3343.2715779363643,3232.0315166623627,3067.2106270736936,2858.8157874271874,2631.961064224215,2414.6752120791743,2220.802523292838,2047.6005525023033,1899.906365971444,1772.189774206008,1657.6970911863284,1554.1730380718243,1454.7488690233558,1350.4963903196524,1239.3472587241743,1135.2421134577733,1057.6953892983315,1025.46435137347,1049.2202055488945,1129.420806476323,1241.446391647333,1349.43361421119,1441.1846945710695,1526.4737806227251,1615.2566614774137,1715.6226270144182,1829.5414889608899,1957.8083798866664,2101.1184703680015,2259.266170487747,2429.772070409069,2606.7377775970067,2780.288296732997,2938.510835678246,3066.9588426129603,3156.4245472347257,3214.204377458791,3256.1001320014084,3296.7986605561186,3345.2396985630426,3401.82204643637,3460.648922863095,3517.7149173831444,3577.488863872975,3642.5129655214478,3700.504928419784,3742.527113461934,3761.6305164275705,3761.6859501866757,3755.216729888141,3752.4435781032766,3753.3242040301147,3752.8274823401516,3741.751649724168,3715.772032748313,3678.701049972481,3641.148032740457,3609.7458815233076,3589.7712095805455,3591.882341901892,3629.92311879162,3710.425212932012,3830.6414698381286,3973.7727787017748,4113.722612589019,4223.4397121847505,4292.1886427386935,4319.510126018545,4302.1396572105805,4220.563450568872,4050.32747478
7kg_10bpm,8CA,3855.38413395,3746.375122030918,3702.07010983309,3688.9124641787575,3681.1569434717057,3691.10974387695,3747.091964884142,3868.8332762847394,4126.670486764451,4394.616145559013,4577.087628083069,4622.249411766506,4553.018392380076,4432.548353529108,4344.630793371696,4330.067691116623,4373.489368358422,4421.59888328977,4416.679647120021,4353.093123960344,4263.605587182141,4178.753362478951,4098.6170597807095,4006.571738965959,3886.9165556137623,3715.7612909749264,3504.0311635098055,3289.9986300649152,3127.9431069425,3038.398348124246,3000.0670386899833,2978.6136452154315,2932.0957408797212,2822.8714925404124,2641.557724978877,2412.876117870148,2179.0524853180123,1973.347873296063,1811.1531826154094,1675.6978199010503,1550.2306821713782,1429.9646700516776,1321.3382941308428,1247.2409498635325,1242.6768617755076,1316.8903678579634,1439.2523073017433,1566.8024039842658,1663.5243157361456,1709.8899331696045,1731.4911613400004,1780.9585786160565,1878.3107156487797,2001.2796067451793,2115.172245982621,2198.8314305617364,2264.0004447796277,2342.8603928990365,2461.73530317533,2625.732535574263,2814.037516765102,2994.0267643685193,3140.478194429259,3239.725838929725,3286.4427326565346,3298.7973444875333,3310.867913985561,3345.917437257761,3402.770417327638,3459.9532922238463,3503.503091610465,3542.646409465256,3592.757674953072,3658.834602956837,3729.4039772365204,3770.0410705307095,3757.3741704259605,3698.135486249803,3617.7471368436986,3539.966299506981,3488.6956345925605,3470.636005187448,3483.085850524481,3514.8972695841803,3547.1467010350016,3568.7597321436624,3580.48650319164,3580.621518780872,3565.753397221866,3534.787165668302,3498.6836629601576,3481.609663550753,3508.696773825355,3596.9756661651586,3749.9536716104353,3938.9062940028552,4100.286911194096,4196.1235227643465,4227.586484062053,4202.29926662098,4108.36487289
7kg_10bpm,9CA,4132.24641914,4039.7104388742964,3940.8379760624834,3876.365399118715,3899.6696471080168,4022.0489051139452,4112.39527635478,4220.827010930983,4348.1248675689385,4463.613430509433,4535.564394859671,4545.562490547359,4514.644315723157,4501.5022608370045,4507.2102709298215,4518.591535413281,4518.206577105393,4478.424429035084,4378.795436764088,4236.92069606573,4072.291208634254,3897.3693528220206,3723.4788963074493,3559.533610945356,3383.182168541299,3184.075997930499,2965.5576809093723,2760.9589785685284,2580.1273891390674,2411.124873213031,2229.9506391626505,2034.8448870902582,1852.361838184645,1722.124116502648,1652.7681392159611,1608.6400252436044,1545.4276360125564,1439.4899818095726,1300.7598220837651,1165.0096615858674,1076.9183254843974,1073.4494515948584,1164.584959836148,1319.6687614022233,1489.573820773204,1654.3905264976177,1811.6784746395497,1947.830156222164,2052.2990255170866,2125.935541820425,2179.4122270849903,2235.984136720356,2308.428623151819,2397.2953513062753,2495.7975296235927,2589.2751641859513,2661.782134736136,2717.455507525803,2782.02857444954,2869.9677386343637,2972.4188238898837,3077.2471197517684,3170.6659698499916,3242.533326016983,3295.5381452679712,3350.6611425024316,3452.010109367803,3607.74963551643,3754.0781611727466,3806.234056644686,3736.498961237337,3586.519785722716,3423.0580112233765,3299.2951291722743,3243.2599054629263,3253.1119337007385,3305.0873496825566,3357.5528781396883,3388.4726199075626,3410.1727374322563,3453.320925917439,3521.874102430116,3587.6111502967096,3619.1878115857053,3612.0238224285454,3584.928455700273,3558.2000331483205,3536.9852023900617,3522.132608904292,3524.2772840730413,3559.9966217903952,3635.4868644377566,3731.7788423802826,3810.2280588437607,3859.526782051936,3923.7747838812757,4056.3577671556236,4245.830661212805,4393.298987620173,4359.734289393631,4095.11218608
7kg_10bpm,10CA,4619.40583646,4467.8540579290075,4228.92236400578,3999.565313395809,3874.101553786724,3919.022178640549,4086.330572461294,4291.9610910594,4444.053029824259,4494.192097266774,4447.497979952603,4346.573145912821,4246.316918163148,4217.0556782685635,4277.17060397831,4370.346549513179,4416.400838711272,4375.9475480024685,4265.310459498221,4103.577769414172,3926.6602817939,3755.491734867324,3602.252430142407,3474.3064575410317,3372.974665613229,3290.115215450957,3216.3742779855597,3138.3305403102613,3026.170702030122,2860.2723277830064,2649.0979569020656,2426.8300635372266,2228.0772301038405,2068.622488910868,1947.52040617868,1850.3558096205586,1769.5173397341925,1706.524790720293,1656.0256415562285,1601.3867122813144,1524.6715687230978,1427.6392226474886,1333.063146401371,1272.0644948806298,1272.8315791943942,1343.4056876142472,1460.6649167205826,1591.8971195672689,1712.835614873087,1813.3392246054214,1895.9374627674547,1968.0298532261147,2038.4571410575477,2115.601170715487,2204.567001605799,2299.2789650596915,2393.1915074291906,2472.4980277113214,2540.3424426079405,2606.398178621023,2684.6027454344,2779.6922137727315,2890.938416289899,3000.0946939361916,3077.6096810408058,3109.092950087265,3108.250977182078,3099.100224054157,3106.1106135682917,3149.776252267272,3231.773037556331,3343.5013419086445,3463.226038417592,3558.9286749174207,3595.1954877813446,3571.274544025927,3514.14011331211,3455.5786792919803,3409.04373768552,3368.512985209712,3338.7809105009806,3332.540865897707,3348.14903227995,3374.2026818038257,3402.877317555136,3435.750124022562,3474.5345199499575,3523.020248280869,3578.183027796259,3630.683837741634,3669.1501686182437,3684.095583877233,3674.7960688825574,3657.1052611730556,3654.2864452046356,3693.7631916066466,3783.3841662899727,3912.3710092413344,4038.635807343938,4099.319204486409,4024.36782962
7kg_10bpm,11CA,4192.00468225,3988.058938583309,3860.6032103735633,3823.196159696075,3880.04688539,4019.1749569310605,4189.06608394118,4329.02167851919,4407.8557265,4416.581538764557,4390.322710275071,4364.868915661595,4361.84302058,4372.911272528252,4366.614627237191,4324.264082956458,4248.813890620001,4160.817254937877,4080.426826696426,4014.9152917265606,3959.3109553800005,3895.6216977252184,3812.760275091895,3717.727552493836,3621.06474614,3531.876348090194,3452.241358452443,3380.147253190009,3313.88353018,3252.7303522062,3181.157568677323,3082.3200216957503,2950.28130845,2789.209393075928,2609.71477949915,2430.5990364956724,2274.17180145,2150.4232167760065,2049.89919427043,1966.1444899576893,1897.21153828,1837.3138765041995,1776.5920627509804,1704.8569927937763,1620.88969419,1539.7686905757394,1489.0983146254996,1493.2803044770674,1552.06131792,1645.7273509476088,1747.7656625789289,1838.4974606579517,1911.01906781,1970.2960404653788,2025.4624981926247,2082.025415652427,2139.51595768,2198.2905952267447,2267.1107081342534,2345.9913321543777,2439.4392418,2549.5411762506087,2672.0112768812764,2794.8328806160002,2904.0652338,2991.0819808045776,3056.6062953130063,3108.846834435935,3160.8986751599996,3223.9932717340603,3299.382538257248,3382.2602752590487,3464.0245950700005,3535.773704334775,3588.787591979402,3619.3936467752733,3632.49517023,3638.599746725464,3646.2829368217854,3663.4517005015223,3688.0479430800006,3714.7170528493207,3728.886321309699,3728.6002079132663,3713.53930753,3691.077174910512,3674.75312494755,3676.397111659397,3706.54011393,3763.5154661757706,3835.713860794817,3898.7097429491023,3923.6875751699995,3905.3607547944534,3871.102735285067,3862.734657754797,3911.68024635,4019.8326291879407,4151.582679493619,4257.628160809052,4285.26748183
7kg_10bpm,12CA,4456.19101833,4337.686818288723,4201.255721760275,4101.514984735598,4075.994751567423,4125.367172301907,4223.0167118178415,4330.125005172071,4447.279961761084,4572.655585496328,4685.9926371568135,4747.423503194308,4739.958145222046,4691.235440141499,4638.589410986046,4595.962112035175,4557.531031433731,4515.068865844902,4461.809442411759,4393.006689879137,4308.08877151544,4210.152032938641,4102.577964152628,3987.66688303663,3873.141814891377,3760.67339732,3645.309201749633,3529.816005413746,3415.588516901231,3300.6254333122943,3178.043320259556,3037.3180756655656,2868.808958107591,2670.860198369986,2458.9427724549714,2246.294471585803,2049.9226380340265,1883.5512792826023,1738.2997282325193,1584.1974404744228,1418.9795877684824,1252.3083653947301,1103.033071181285,971.3515061714452,862.0919177647003,777.0510522425491,719.151115246674,683.514586358723,666.3086616368872,671.9792777263397,705.05242438,774.9079776789476,878.5155645696627,1000.370399511177,1127.5930873907444,1263.0774419295697,1406.6364646685652,1554.4209055147574,1711.4830395284353,1893.8058536909787,2101.9863101398555,2315.487204450033,2514.6629014904574,2687.759784167411,2831.488016985084,2954.023160048876,3058.5803074874234,3136.3453946829336,3184.727993069625,3202.8786607508446,3201.3426871407687,3194.1581027539064,3198.6213488921653,3221.554451961799,3266.407221388509,3330.2906186499995,3402.9029886636304,3478.3205499096343,3553.101495072328,3627.3511976722352,3694.839794996057,3745.007137661867,3772.697062421661,3779.003655113771,3770.0511151557457,3754.6151313587734,3744.305056095007,3742.6972199487245,3751.0853462981227,3769.677322550413,3804.047045992001,3862.435601417166,3942.199128129944,4030.815541925116,4112.246749858586,4183.58055969269,4253.31151980476,4333.24950688677,4425.426826645318,4497.727297884632,4494.78698265
7kg_10bpm,13CA,4281.09699678,4201.117633950353,4087.036679452757,3984.224019019544,3966.653645889352,4062.7369700838713,4223.252723845852,4404.355985519411,4563.025599241405,4680.355607870356,4737.059958840001,4733.739570290429,4689.412453020215,4625.6232249076465,4572.950024992388,4551.54248937288,4558.087307844289,4561.297128114245,4525.15517681967,4433.739966326831,4282.626983719999,4096.506580169676,3903.537510594864,3714.6569552471383,3533.152048022184,3359.7022461403694,3188.2938410720503,3012.889487545326,2824.4531080067513,2617.6501081305573,2401.39517109,2180.959836039173,1960.5167976666094,1754.2920511532532,1584.1356941974486,1469.578456071711,1394.3148613926012,1350.23343161253,1323.1832349942827,1293.4139128570112,1246.29886948,1182.4556150267367,1120.123720573461,1087.596841712122,1111.8834924992418,1193.7905231990605,1306.3512380784484,1423.014540968304,1536.1135713699794,1659.3295983453452,1806.43879911,1969.6876880388115,2121.829340351147,2240.3989182056803,2334.0966488195,2420.297102479917,2513.368422472706,2617.3607662860363,2723.125149192146,2818.1604932535033,2896.0697085400006,2956.265140275194,3001.94194490061,3040.678703343653,3078.0753692848734,3114.236154504483,3147.7707465288927,3179.727988427441,3222.4624441098413,3292.2698788952393,3389.2430818200014,3489.49345811108,3562.6870978689053,3588.9657340374456,3575.9571664969394,3557.236856467546,3555.0689973624835,3572.4605719215037,3596.8757652370814,3620.9884268099004,3640.0656891900003,3650.554886356041,3660.1415502133605,3677.450320362355,3695.4308447969674,3697.6060409329466,3673.555445280505,3629.8755359629386,3585.916374539794,3563.584851755418,3585.86210337,3668.0544103930224,3790.6893176698495,3899.854886914779,3946.8760508345763,3920.237173156761,3855.482337370312,3813.8152377943375,3845.8580384073084,3964.750168370865,4146.81946543
7kg_16bpm,1CA,4497.21309415,4289.202398112964,4132.453443988388,4074.1664198385342,4110.372871002016,4189.339881669552,4320.060111752907,4427.926287946195,4477.475331948253,4474.7968383303605,4449.511869585617,4438.7879571476815,4446.063470190378,4471.354691122118,4491.599480191124,4495.572789659305,4460.128118827596,4388.484259046177,4300.514177954173,4221.1911846665,4147.947317378759,4062.668523334179,3950.416137913935,3807.0056266131082,3632.6716090323953,3433.5306943776422,3209.98413902349,2951.9451138643767,2665.0180229870916,2373.688164948495,2112.967571615592,1904.7208629826234,1758.6745087027102,1668.7320877836569,1614.746210895009,1566.8577580226386,1501.8843360811677,1422.805366671998,1352.0428454418386,1312.3947548229016,1312.1647268819381,1339.6121733569214,1378.6816988645094,1422.0666609415043,1473.0345499128223,1539.817909525373,1628.8487424371135,1739.228596749514,1863.2968573481162,1989.2190967185616,2104.2396713350236,2200.8239804192394,2279.0202961937025,2347.1655233976758,2411.7495537329346,2476.410615343367,2546.4482073543327,2626.3682828806654,2711.7717071761617,2794.06636888335,2871.8179858734193,2950.51078017218,3032.439583918089,3117.4135529457058,3204.0712601989703,3286.911429825137,3358.348503761726,3423.272064602333,3497.353603311798,3596.5946724116343,3728.751782964178,3879.16212168659,4004.752075371036,4050.5390415811758,3991.313077620236,3846.7759081015943,3664.9331608624166,3505.1155901061975,3412.01860999892,3397.897536651079,3443.372822946427,3512.509595286652,3578.017096624337,3624.4249396883147,3647.442294466274,3650.9448915450175,3648.474689842782,3658.2806611287747,3699.6269940613583,3782.9631823002233,3902.4135905230387,4028.4381705914475,4129.798017943918,4196.077793842764,4242.369352398711,4290.159188792398,4343.621891513737,4371.620803528422,4327.731676402025,4192.826724073514,3976.99707013
