cond,seg,p000,p001,p002,p003,p004,p005,p006,p007,p008,p009,p010,p011,p012,p013,p014,p015,p016,p017,p018,p019,p020,p021,p022,p023,p024,p025,p026,p027,p028,p029,p030,p031,p032,p033,p034,p035,p036,p037,p038,p039,p040,p041,p042,p043,p044,p045,p046,p047,p048,p049,p050,p051,p052,p053,p054,p055,p056,p057,p058,p059,p060,p061,p062,p063,p064,p065,p066,p067,p068,p069,p070,p071,p072,p073,p074,p075,p076,p077,p078,p079,p080,p081,p082,p083,p084,p085,p086,p087,p088,p089,p090,p091,p092,p093,p094,p095,p096,p097,p098,p099,p100
7kg_10bpm,1CA,36.96635865,37.49906239758571,37.1270724427326,35.93938913404589,34.03078889629426,31.678356969796052,29.59161470310691,28.27751993529444,27.420344194243896,26.744743141987332,26.03623931010655,25.199150479490058,24.251145389425275,23.22955993842099,22.308222249114515,21.3475768417959,20.629673401774454,20.200810296067733,20.145775868301108,19.997025714119445,19.71304793510822,19.062327283052166,17.94447882375247,16.659656303211513,15.21289631627101,13.881469594753863,12.70786929820052,11.637257136547325,10.65659911742707,9.720263413010962,8.791717806133374,7.867791000319341,7.10519973966646,6.71073854381095,6.317960074706214,5.93658911465705,5.484044240548663,5.121821761827297,4.6825616611571785,4.075589713826999,3.365494758725833,2.6530679927830216,2.0204944576130344,1.5309691005089825,1.2123673857416006,1.0570950967087194,1.0389153993026166,1.0832850380505552,1.1609490578332835,1.2415737140020753,1.2556246600189704,1.1564504917719132,0.9491519126662328,0.5357261931318203,0.20793295742324505,-0.03255634242147898,-0.20733658590280699,-0.34252137759006657,-0.4561407447951887,-0.5407041942295038,-0.5786920945433731,-0.564361498412331,-0.47460698173427196,-0.3068046412681494,-0.07101220195498743,0.20487580799364877,0.4662222022984806,0.6398123914793191,0.6952597635797574,0.6466657728231454,0.5344651556949384,0.40403119097029305,0.3120389404654479,0.31855599590058087,0.3681268234175677,0.401926075244701,0.3893507913985666,0.3094718859574322,0.22062262840023772,0.15227953153881085,0.16831693826577646,0.3351677669654992,0.737036831258209,1.3415187199674943,1.8356005019893666,2.279939873996714,2.590332562100667,2.7210797421235084,2.743076068249407,2.76328620743836,2.8860418867980595,3.1257326138979225,3.4992353381199686,3.869483080509834,4.151383711439479,4.327276041895214,4.472342518996672,4.772473444849807,5.351733749480824,6.232235411099427,7.21402859
7kg_10bpm,3CA,39.96064297,38.86095618857892,37.80540728259733,36.627048538554156,35.39397462332634,34.10561287491575,32.85752246714045,31.838148434180244,31.116271395176263,30.51957554859329,30.055305527844087,29.56996728803674,29.137191999908094,28.597888951917586,27.960426407374534,27.250533714882412,26.51754520336099,25.758494843933775,25.003585081014734,24.269996011587317,23.49887179679015,22.60006270668219,21.594430485536833,20.537785523655728,19.207610817463927,17.610059719530774,15.829063851452975,14.117624532263136,12.550063563533417,11.186976467677603,10.033512475639302,9.056139014473239,8.266574342577623,7.586887819327079,7.211854091164475,7.055486677146983,6.743393259655326,6.199670051595393,5.4617245813109925,4.6563457620453566,3.942048625735257,3.371720041151345,2.90477961318248,2.4767994689785136,2.0667929233143214,1.6544510265804604,1.2836384137112762,1.0166298482071945,0.86668251470546,0.8426918740228773,0.89008755,0.9644462088270226,1.0451323738021197,1.1158813001048227,1.1724165711260652,1.2196939321714695,1.2565246723410626,1.2683513607128458,1.2367780520973195,1.1140804599393395,0.9308485524101114,0.7039258127123985,0.5050330349298988,0.30485660784476215,0.09196044992761576,-0.1219903345295603,-0.29454203885426167,-0.3691035859624962,-0.35465747522453983,-0.2755735375498858,-0.17892509712989024,-0.10437064305969751,-0.07769979848781655,-0.1078862278814807,-0.18266485313833697,-0.27418515081641687,-0.3585286882579589,-0.3993963168325643,-0.3716815543208553,-0.29837153908929837,-0.16828781501613807,0.021301511862807793,0.2954529058045167,0.6463376343456054,1.047023554285719,1.4030001435701804,1.6015815981137322,1.60687593424904,1.5392590323452788,1.4944600698895343,1.5902397960350807,1.9209471669817104,2.4427421798768836,2.9794923579332906,3.583038223756047,4.144964516237708,4.605433648982018,4.958331077068427,5.264760677105341,5.622957748616465,6.14312558
7kg_10bpm,5CA,45.02555033,43.928107845244185,43.0528736654765,41.38805696823915,38.27912701319194,35.894004248126784,34.16193577941227,33.14972825853524,32.19921898800159,31.0358971709707,29.781757468517263,28.573738896350633,27.50985992126544,26.838463450312386,26.647627504215567,26.091472348396795,25.08169879150448,23.752333985679417,22.371176163575083,20.930958990330964,19.663249480507435,18.353085256855177,16.634760296329386,14.8284501678963,13.299952470327629,12.01885541664376,11.00178031365798,10.282845022111053,9.791207749128493,9.40440570389279,8.971550855979038,8.451151915324685,8.046793048006672,7.358164874933426,6.494928977222929,5.664052691024158,4.890939862312238,4.2018475916310365,3.5815589394069023,3.0318414627931447,2.5892495576072934,2.307327152612936,2.2376136592708455,2.2171187870098468,2.1755007567407176,2.069634580835477,1.9010879245788108,1.7363100388599748,1.643858555670463,1.6379364857669931,1.6830525000000003,1.7109155874795963,1.6608137413132333,1.5166598449082207,1.3122569286883716,1.0510782234884515,0.8233645290310093,0.5901137023694175,0.38091320236787246,0.17868253332058784,-0.001368846737626635,-0.11928612969620414,-0.18157325732257426,-0.17407884266394208,-0.15939708316049842,-0.20586845681102728,-0.3152856593751918,-0.4800953308280597,-0.6812397048051799,-0.9001960946938058,-1.0870735758446524,-1.1648346894421684,-1.0887320561998097,-0.887379670886505,-0.6507540215783102,-0.49590284552835356,-0.4734509879447723,-0.5674663082656344,-0.7210506047462677,-0.8426001818774147,-0.8193819943178503,-0.5725934663017199,-0.24875533249604198,0.06117771738072561,0.3563978425231568,0.5896006241378478,0.7521676394611603,0.8528255275770036,0.8738305318519536,0.8586669552527916,0.7701255113484575,0.6725120441275103,0.7267966811728931,1.0093629304370961,1.557296292721648,2.302920232675989,3.1419648971454537,3.9315344514776345,4.589043692628667,5.1893560818693985,5.91464009
7kg_10bpm,6CA,40.45599707,40.334636827999134,39.72968006430333,38.674876063135486,37.273585611661645,35.6353750321585,33.77461006922682,32.13042310203486,30.795800405250137,29.507876956505715,28.347435855511492,27.280005685182573,26.215049999496962,25.37568516338633,24.72587529729203,24.366567155968003,24.084243076464993,23.748747968019444,23.283333150530545,22.33969929078756,21.12578334534099,19.84756433047839,18.360215033483396,16.896866534015174,15.336106354512209,13.910778360000002,12.662710977973852,11.596639955931566,10.733563218579503,10.072514677810078,9.576045938883219,9.158633208979607,8.807870332038878,8.521645197881723,8.008471714026767,7.211396080275223,6.224515300425154,5.285414437339076,4.520577498814867,3.8007051163105983,3.1586393883492256,2.6263220966498118,2.2358650499675115,1.9636855558012556,1.8157295681457286,1.7069103625025204,1.6005840412277617,1.5126814096767771,1.4424908643290957,1.3811636735610684,1.3189362199999999,1.2444194029897506,1.1558935224009264,1.064330022405402,0.9835211504884959,0.9116942013744829,0.7315755410496873,0.44368863900762645,0.2344299857331595,0.061022885392157715,-0.05439214487074606,-0.09965859232984643,-0.09491874644472334,-0.07857393019121382,-0.09990695010528183,-0.17691195678156613,-0.2844022653651425,-0.37730968245134766,-0.406177815401693,-0.3526997731315551,-0.25137947145073747,-0.1345683706357349,-0.08717096735762996,-0.12117958654205802,-0.21939098997395803,-0.30352946,-0.28468773928188434,-0.12431433937444888,0.15839471814172526,0.4922732637844158,0.7872082546389632,0.9782206396333613,1.066121927896552,1.0595951696025216,1.0087039329990906,0.9684623233316351,0.975881392959332,0.9904165339089094,0.9895903756232055,1.0227320618298075,1.1497765476261521,1.410245753688802,1.83734676989086,2.3449912295451334,2.8467869182328767,3.3061377546630264,3.694820470060743,3.9537370622513537,4.134348346560423,4.338953379827187,4.67055803
7kg_10bpm,7CA,46.22134878,45.75003859340696,44.8984339242678,43.4841810105609,40.73186893192895,38.07020952733396,35.93103605626426,34.215296115189346,32.9098630765725,31.87697137393013,30.897279608419986,29.950511602962425,29.071456176646024,28.105668565635682,27.01663460876898,25.997621168260917,25.19515132793614,24.481825388793645,23.407211891814445,21.795384251311027,20.2134303159282,18.665105288406796,17.54195154559552,16.61623341057234,15.647924271246284,14.781853031908884,13.94203588482789,13.216866011172932,12.684909119085804,12.200197508227197,11.640070306399233,10.916843564862948,9.987281414768322,9.179782466608401,8.397403859959839,7.586328298705392,6.837841822129693,6.034863598939058,5.418083845917191,4.861875939297705,4.323528393846725,3.816873713275705,3.3048355264863973,2.740070005742677,2.1409132920328933,1.6082958825797244,1.2738356104507884,1.1201070897930843,1.061909980570094,1.2332128468016774,1.4210957989395425,1.4679046232516517,1.3915787926131256,1.2547800793807318,1.101055737631623,0.917559835349896,0.7495991240491517,0.6387391555229098,0.5434358776273523,0.3902061319496977,0.1529715958896947,-0.13588085705239047,-0.40492458761690725,-0.5951781540619638,-0.7058678151891244,-0.7453648423390334,-0.7247325374623633,-0.638717933296523,-0.5376707388587864,-0.44637005525116286,-0.3680115682826993,-0.31305907575851954,-0.3057534284675107,-0.37054758221617606,-0.4655296537922842,-0.5201259401681129,-0.5126691263153329,-0.440955429115413,-0.30490184182302876,-0.11437875453040959,0.14193474300408393,0.305194433363546,0.37807784658594557,0.4336192754482739,0.4918109712609103,0.5553211976567246,0.6380968764390014,0.7903014404406955,0.9916041221449503,1.1902688252187006,1.3028540936913173,1.3120317338956409,1.2433822630478544,1.1400077841897887,1.1243801661296937,1.3079549996482671,1.7281144367027552,2.3681750462895197,3.1788105411856984,4.102121358777355,5.14118318
7kg_10bpm,8CA,35.65773127,36.40611185515693,37.3963843024501,38.12650005087176,38.43380492830561,38.62064709137793,39.34910877083113,40.643553653301254,38.69750399946322,35.93930989896116,33.433437307087054,31.563262159053373,30.055369380000236,28.74307312009474,27.445726309196477,26.147517128116874,24.98122070471578,23.997334094759974,23.47337502705005,23.041640375380585,22.19225701105055,20.919248840218106,19.606647703645383,18.316526230289316,16.637206883659427,14.689656987864867,12.33657511327499,10.214834912269229,8.715049116164687,7.962546773962151,7.769486482126653,7.8399090529895465,7.998661929168333,8.138977504393472,7.93898436950514,7.2909707919623115,6.389034834253693,5.418954178205297,4.804063780169472,4.128993471780279,3.331211997020061,2.503585956283485,1.7530463883423384,1.1526841734332156,0.8921653188704226,1.0357558174211605,1.2193878578768198,1.4165812932312303,1.589709313583024,1.6371151384248617,1.5320633899999994,1.3193212188777992,1.0593636124251438,0.7637486759213366,0.37000152823054533,0.13637055308681717,-0.07327865528928579,-0.27783118226492876,-0.4611555415193091,-0.6103981507713541,-0.7462922455484462,-0.8886192752525756,-0.977139655593128,-0.8935432564601029,-0.7668151941267202,-0.7467076962715036,-0.8746424588859085,-1.0872306816851707,-1.2513888071771107,-1.2783992214584186,-1.1986370522224754,-1.114130536377575,-1.0639758073024244,-1.0086606790606083,-0.8565469085663072,-0.608037931441049,-0.2108880032522782,0.2101790885769222,0.45237306188395193,0.6368127595318166,0.7430841029942451,0.7884733193083013,0.7930769276176113,0.7732743385535285,0.77102798883006,0.8290284479357602,0.9397355332448473,1.1144088740855915,1.3338291930479054,1.5468789193545873,1.6540797844977873,1.561085290612613,1.2952897907863496,0.9753197997018603,0.7582375212160903,0.8335444275986306,1.2274443607849383,1.944355338909925,2.8051342161220125,3.6349601316484486,4.40836522
7kg_10bpm,9CA,37.91633401,38.99684538798623,39.228095034926305,39.90028872754516,39.54323972953838,35.7616717694338,32.86070952307297,31.187287016163157,29.531463577124935,28.01746763371886,26.691381507416175,25.75207283504458,25.083477097468776,24.24319901195437,23.689211556934875,22.987200427102426,22.082452615145925,20.87413379602146,19.512373256598373,17.724997453581636,15.847426889188533,14.129664542783095,12.527710083599207,10.765553963949557,9.34466152661297,8.16650991844168,7.5430785331887,7.30105780367231,7.1056011870229066,7.014517867037431,6.7303664509483045,6.086186166554381,5.34889052239473,4.723634686432819,4.229294211153731,3.8420422467900037,3.5014019334210214,3.1166813649834744,2.7136443288635026,2.2901152649720995,1.7893815349269746,1.265713630048809,0.9768957552313356,0.7469808942355246,0.4793063166650952,0.21631303699573465,-0.10966653310691696,-0.40747531223711786,-0.5862751774656367,-0.7171904821171745,-0.7775413804596176,-0.8100318831768007,-0.8883297734681744,-1.0346511021681657,-1.2187421431864276,-1.3969909723284408,-1.5052879341965142,-1.5141759567770028,-1.4914626330250682,-1.5417256777928507,-1.6953019467481452,-1.890069519823228,-1.940689224669371,-1.7662459813793823,-1.4656053634088162,-1.2241106153426005,-1.1602677163075121,-1.2031712313561735,-1.1477687556218819,-0.8476145863011179,-0.2786509489748055,0.22929438983788042,0.467514077155469,0.48805994638997907,0.279345843794969,0.11830478031356563,0.08066776588033399,0.09592822236774838,0.08395410746381157,0.0799643853039438,0.07615539169871427,0.056564028296482216,0.104271131423146,0.2292502765256184,0.39749190420280195,0.5708252052248974,0.6735639877991637,0.7070288243321945,0.681798905723213,0.5634495265629715,0.4180594707519492,0.3609719464426303,0.546778672388411,0.943229433332687,1.3989430378099004,1.8347869259385858,2.1682555359358755,2.6125185986650283,3.3917769834006957,4.559764800727446,5.94319977
7kg_10bpm,10CA,44.36958951,44.39951514065357,43.69519170902778,42.46448643139171,40.774399401622034,38.04777605452371,35.45903301367835,33.16185987399497,31.550220807142033,30.62394560870245,30.31176025584803,30.32623719982504,30.2652159563615,29.443973190802286,27.73243977979198,25.53956236822774,23.56369139311169,22.209889166772648,21.086543001303124,20.351830827306472,19.36496949019852,17.98177706779639,16.41659809140375,14.89903960390488,13.505615462690157,12.321621841700566,11.376445649650973,10.666021679735266,10.213382958131625,10.037952197825684,9.716574110593413,8.946773387663638,7.955927148737465,6.912834481059701,6.258720509149411,5.743895124594474,5.221600887957333,4.686541175844022,4.16203590223485,3.6261784567893467,3.0549395221746742,2.476208024711256,1.9543683807255008,1.5796100129327375,1.3930946097525339,1.5104718585044075,1.6083752705228227,1.601083455482164,1.537940589698148,1.4532861059728497,1.3337994921749998,1.1820429830360053,1.0439505501613389,0.9359400347620094,0.7587774393052221,0.5432584453539527,0.1949133248735213,-0.21078714886586303,-0.48711621215416107,-0.5806297895361163,-0.572571436500718,-0.5875915836324609,-0.6388238275741105,-0.7133467246933488,-0.7772249750130366,-0.7967837141810115,-0.7718040599178649,-0.7585877474953344,-0.7773676598845388,-0.7689521053252006,-0.7456771055834833,-0.7557810998829873,-0.7929957551535319,-0.8119436946095421,-0.7688166834954319,-0.6512856711128204,-0.48242363361186447,-0.3075093161447191,-0.14378937902666086,-0.04080361011860357,0.009947898190598256,0.08949166713579969,0.22420455872220182,0.42640827615613613,0.6418239722765033,0.7226047831423261,0.682010186972025,0.5321730343929656,0.37525350221942666,0.28595065439350453,0.3184868375493562,0.5125263020141282,0.8527698926977285,1.250675618188814,1.5790834434316854,1.876404073061374,2.1083517625494057,2.3436329951465726,2.564582665977581,2.985637090459936,3.6987829
7kg_10bpm,11CA,41.69533706,41.627034328316775,40.88103500366089,40.245240372421186,39.63448049,38.357982113118155,36.590132709578626,34.93774583294028,33.38933077,32.14423394306108,30.922113285485988,29.725479328240052,28.5075356,27.343342082461994,26.420627773520778,25.79675456253757,25.409024489999997,24.88061101575252,24.02956812849922,22.998823318772843,21.77427716,20.543307761854905,19.462740015386878,18.51960607339045,17.81561904,17.262552199569935,16.699258230196406,16.00910815612189,15.266556650000002,14.65978232932788,13.990144544014415,13.234782632811438,12.35352382,11.30774360870129,10.090250273497968,8.97266458003349,7.9751943999999995,7.117781930264181,6.458171536189941,5.887677688816634,5.390222030000001,4.934855624648309,4.457957924626455,3.9153507859875867,3.30898645,2.8461247739790054,2.5280265644062463,2.3241297817240976,2.24157008,2.2535486071471555,2.3240725640263733,2.380641408050642,2.37018498,2.281762053477582,2.1501858223975145,2.0116855920037846,1.8826726000000003,1.7540093861627848,1.527033423175894,1.3210268432814072,1.08320752,0.9270350130091297,0.8866461944016676,0.9448980164096283,1.04152842,1.1109388352453642,1.1530288141569487,1.1441330162442487,1.06870807,0.9583698103906858,0.838284564430068,0.7488747740848257,0.7205579100000001,0.768398305534131,0.8821424280332095,1.0016152934649412,1.04441623,0.9525338576454442,0.774578943683427,0.629945110917767,0.62530968,0.7402215079624402,1.0219611332770042,1.3390610453650795,1.67154369,1.978693630531071,2.204629966024644,2.325991243091262,2.31890643,2.2359228435773826,2.1484170867071604,2.124896892507569,2.22649783,2.4364199491983043,2.6947535839706593,2.9363760941753827,3.19015909,3.541953486368292,4.0382070819282685,4.652860146531226,5.35035486
7kg_10bpm,12CA,45.29137717,42.77406557103406,40.3954087798673,38.273279099937255,36.43604046849608,34.87970279440016,33.42402885026703,32.01538295217113,30.51809564859041,28.823344747937906,26.893546592703625,25.399586255863287,24.577276507865836,24.18595036905246,23.693518992647245,22.906514152263668,21.88719074350318,20.7056506210708,19.439636829022177,18.18773657983635,17.06866819068231,16.15506452744572,15.399779589636385,14.700876213503241,13.831858530753138,12.615478970000002,11.234542866289,9.916150219834451,8.654064552314058,7.760474715626683,7.262076737483998,7.001445278886033,6.753625757676536,6.627347925242748,6.446921319338926,6.122097456513946,5.969581312311281,5.896165934481632,5.831287806694739,5.657417415034417,5.270609584423491,4.618192995965711,3.580995365128131,2.560737231943281,1.737011197606448,1.1023849333168063,0.5972930054438329,0.2026668427333861,0.0008335174475219385,0.17966492013748836,0.29933897000000004,0.34959556436586875,0.3807675104769351,0.3944260672147362,0.38041293876807813,0.27696103777564013,0.16267989496641852,0.003227582142546302,-0.16293479820277584,-0.3330731572098199,-0.559528487796992,-0.8230169146561656,-1.0739811335549079,-1.2386125526589589,-1.263192465111224,-1.153564303927667,-0.9765235096230139,-0.8280349870854086,-0.7749807016566724,-0.8106482851112015,-0.8629982538168519,-0.8487515499143541,-0.7502346298623453,-0.6202604721137577,-0.5480001332574935,-0.53110989,-0.5516019053611687,-0.649926424164795,-0.7282772064439065,-0.6948924032365821,-0.5266269035259865,-0.29293583585784816,-0.05905875215568168,0.12197994187028814,0.2688741011029497,0.39620204161199585,0.46759669205139365,0.517474565937657,0.5188788675408925,0.5132350651987769,0.5661163049703668,0.6872570965466812,0.9665354674536994,1.3291909939660815,1.7971167746369296,2.339539121346203,2.919333198501622,3.493319780063114,3.9417879547136416,4.579583083325627,5.3829353
